tick_id,day,week,settlement_id,caregiver_id,recipient_id,ritual,care_reason,reciprocity_before,reciprocity_after,trust_before,trust_after,burden_before,burden_after,remembered_over_weeks,reciprocal_not_transactional,visible_reciprocity_marker
142,9,2,glass_harbor,Nia,Puck,lamp touch,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Nia->Puck:lamp touch
144,10,2,orchid_engine,Dax,Bea,gear-wash thanks,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Dax->Bea:gear-wash thanks
146,10,2,glass_harbor,Nia,Puck,lamp touch,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Nia->Puck:lamp touch
148,10,2,lichen_bridge,Rin,Kio,rope touch,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Rin->Kio:rope touch
150,10,2,moss_ward,Ari,Milo,door-watch blessing,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Ari->Milo:door-watch blessing
152,10,2,cinder_garden,Vale,Juno,seed-count chant,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Vale->Juno:seed-count chant
154,10,2,orchid_engine,Bea,Dax,valve pause,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Bea->Dax:valve pause
156,10,2,glass_harbor,Puck,Nia,net-knot thanks,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Puck->Nia:net-knot thanks
158,10,2,lichen_bridge,Kio,Rin,shared bowl,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Kio->Rin:shared bowl
160,11,2,glass_harbor,Puck,Nia,net-knot thanks,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Puck->Nia:net-knot thanks
162,11,2,lichen_bridge,Kio,Rin,shared bowl,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Kio->Rin:shared bowl
164,11,2,moss_ward,Milo,Ari,warm cup before work,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Milo->Ari:warm cup before work
166,11,2,cinder_garden,Juno,Vale,cool hand sign,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Juno->Vale:cool hand sign
168,11,2,orchid_engine,Dax,Bea,orchid cup,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Dax->Bea:orchid cup
170,11,2,glass_harbor,Nia,Puck,tea before crossing,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Nia->Puck:tea before crossing
172,11,2,lichen_bridge,Rin,Kio,signal hush,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Rin->Kio:signal hush
174,11,2,moss_ward,Ari,Milo,blanket share,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Ari->Milo:blanket share
176,12,2,lichen_bridge,Rin,Kio,signal hush,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Rin->Kio:signal hush
178,12,2,moss_ward,Ari,Milo,blanket share,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Ari->Milo:blanket share
180,12,2,cinder_garden,Vale,Juno,shade cloth bow,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Vale->Juno:shade cloth bow
182,12,2,orchid_engine,Bea,Dax,gear-wash thanks,meal or shelter care,0.74,0.77,0.7108,0.7234,0.323,0.334,True,True,Bea->Dax:gear-wash thanks
184,12,2,glass_harbor,Puck,Nia,lamp touch,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Puck->Nia:lamp touch
186,12,2,lichen_bridge,Kio,Rin,rope touch,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Kio->Rin:rope touch
188,12,2,moss_ward,Milo,Ari,door-watch blessing,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Milo->Ari:door-watch blessing
190,12,2,cinder_garden,Juno,Vale,seed-count chant,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Juno->Vale:seed-count chant
192,13,2,moss_ward,Milo,Ari,door-watch blessing,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Milo->Ari:door-watch blessing
194,13,2,cinder_garden,Juno,Vale,seed-count chant,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Juno->Vale:seed-count chant
196,13,2,orchid_engine,Dax,Bea,valve pause,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Dax->Bea:valve pause
198,13,2,glass_harbor,Nia,Puck,net-knot thanks,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Nia->Puck:net-knot thanks
200,13,2,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Rin->Kio:shared bowl
202,13,2,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Ari->Milo:warm cup before work
204,13,2,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Vale->Juno:cool hand sign
206,13,2,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.77,0.8,0.7234,0.736,0.334,0.345,True,True,Bea->Dax:orchid cup
208,14,2,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Vale->Juno:cool hand sign
210,14,2,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Bea->Dax:orchid cup
212,14,2,glass_harbor,Puck,Nia,tea before crossing,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Puck->Nia:tea before crossing
214,14,2,lichen_bridge,Kio,Rin,signal hush,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Kio->Rin:signal hush
216,14,2,moss_ward,Milo,Ari,blanket share,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Milo->Ari:blanket share
218,14,2,cinder_garden,Juno,Vale,shade cloth bow,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Juno->Vale:shade cloth bow
220,14,2,orchid_engine,Dax,Bea,gear-wash thanks,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Dax->Bea:gear-wash thanks
222,14,2,glass_harbor,Nia,Puck,lamp touch,meal or shelter care,0.8,0.83,0.736,0.7486,0.345,0.356,True,True,Nia->Puck:lamp touch
224,15,3,orchid_engine,Dax,Bea,valve pause,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Dax->Bea:valve pause
226,15,3,glass_harbor,Nia,Puck,net-knot thanks,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Nia->Puck:net-knot thanks
228,15,3,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Rin->Kio:shared bowl
230,15,3,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Ari->Milo:warm cup before work
232,15,3,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Vale->Juno:cool hand sign
234,15,3,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Bea->Dax:orchid cup
236,15,3,glass_harbor,Puck,Nia,tea before crossing,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Puck->Nia:tea before crossing
238,15,3,lichen_bridge,Kio,Rin,signal hush,meal or shelter care,0.83,0.86,0.7486,0.7612,0.356,0.367,True,True,Kio->Rin:signal hush
240,16,3,glass_harbor,Puck,Nia,tea before crossing,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Puck->Nia:tea before crossing
242,16,3,lichen_bridge,Kio,Rin,signal hush,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Kio->Rin:signal hush
244,16,3,moss_ward,Milo,Ari,blanket share,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Milo->Ari:blanket share
246,16,3,cinder_garden,Juno,Vale,shade cloth bow,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Juno->Vale:shade cloth bow
248,16,3,orchid_engine,Dax,Bea,gear-wash thanks,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Dax->Bea:gear-wash thanks
250,16,3,glass_harbor,Nia,Puck,lamp touch,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Nia->Puck:lamp touch
252,16,3,lichen_bridge,Rin,Kio,rope touch,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Rin->Kio:rope touch
254,16,3,moss_ward,Ari,Milo,door-watch blessing,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Ari->Milo:door-watch blessing
256,17,3,lichen_bridge,Rin,Kio,rope touch,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Rin->Kio:rope touch
258,17,3,moss_ward,Ari,Milo,door-watch blessing,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Ari->Milo:door-watch blessing
260,17,3,cinder_garden,Vale,Juno,seed-count chant,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Vale->Juno:seed-count chant
262,17,3,orchid_engine,Bea,Dax,valve pause,meal or shelter care,0.86,0.89,0.7612,0.7738,0.367,0.378,True,True,Bea->Dax:valve pause
264,17,3,glass_harbor,Puck,Nia,net-knot thanks,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Puck->Nia:net-knot thanks
266,17,3,lichen_bridge,Kio,Rin,shared bowl,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Kio->Rin:shared bowl
268,17,3,moss_ward,Milo,Ari,warm cup before work,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Milo->Ari:warm cup before work
270,17,3,cinder_garden,Juno,Vale,cool hand sign,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Juno->Vale:cool hand sign
272,18,3,moss_ward,Milo,Ari,warm cup before work,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Milo->Ari:warm cup before work
274,18,3,cinder_garden,Juno,Vale,cool hand sign,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Juno->Vale:cool hand sign
276,18,3,orchid_engine,Dax,Bea,orchid cup,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Dax->Bea:orchid cup
278,18,3,glass_harbor,Nia,Puck,tea before crossing,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Nia->Puck:tea before crossing
280,18,3,lichen_bridge,Rin,Kio,signal hush,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Rin->Kio:signal hush
282,18,3,moss_ward,Ari,Milo,blanket share,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Ari->Milo:blanket share
284,18,3,cinder_garden,Vale,Juno,shade cloth bow,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Vale->Juno:shade cloth bow
286,18,3,orchid_engine,Bea,Dax,gear-wash thanks,meal or shelter care,0.89,0.92,0.7738,0.7864,0.378,0.389,True,True,Bea->Dax:gear-wash thanks
288,19,3,cinder_garden,Vale,Juno,shade cloth bow,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Vale->Juno:shade cloth bow
290,19,3,orchid_engine,Bea,Dax,gear-wash thanks,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Bea->Dax:gear-wash thanks
292,19,3,glass_harbor,Puck,Nia,lamp touch,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Puck->Nia:lamp touch
294,19,3,lichen_bridge,Kio,Rin,rope touch,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Kio->Rin:rope touch
296,19,3,moss_ward,Milo,Ari,door-watch blessing,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Milo->Ari:door-watch blessing
298,19,3,cinder_garden,Juno,Vale,seed-count chant,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Juno->Vale:seed-count chant
300,19,3,orchid_engine,Dax,Bea,valve pause,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Dax->Bea:valve pause
302,19,3,glass_harbor,Nia,Puck,net-knot thanks,meal or shelter care,0.92,0.92,0.7864,0.799,0.389,0.4,True,True,Nia->Puck:net-knot thanks
304,20,3,orchid_engine,Dax,Bea,valve pause,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Dax->Bea:valve pause
306,20,3,glass_harbor,Nia,Puck,net-knot thanks,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Nia->Puck:net-knot thanks
308,20,3,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Rin->Kio:shared bowl
310,20,3,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Ari->Milo:warm cup before work
312,20,3,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Vale->Juno:cool hand sign
314,20,3,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Bea->Dax:orchid cup
316,20,3,glass_harbor,Puck,Nia,tea before crossing,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Puck->Nia:tea before crossing
318,20,3,lichen_bridge,Kio,Rin,signal hush,meal or shelter care,0.92,0.92,0.799,0.8116,0.4,0.411,True,True,Kio->Rin:signal hush
320,21,3,glass_harbor,Puck,Nia,tea before crossing,meal or shelter care,0.92,0.92,0.8116,0.8242,0.411,0.422,True,True,Puck->Nia:tea before crossing
322,21,3,lichen_bridge,Kio,Rin,signal hush,meal or shelter care,0.92,0.92,0.8116,0.8242,0.411,0.422,True,True,Kio->Rin:signal hush
324,21,3,moss_ward,Milo,Ari,blanket share,meal or shelter care,0.92,0.92,0.8116,0.8242,0.411,0.422,True,True,Milo->Ari:blanket share
326,21,3,cinder_garden,Juno,Vale,shade cloth bow,meal or shelter care,0.92,0.92,0.8116,0.8242,0.411,0.422,True,True,Juno->Vale:shade cloth bow
328,21,3,orchid_engine,Dax,Bea,gear-wash thanks,meal or shelter care,0.92,0.92,0.8116,0.8242,0.411,0.422,True,True,Dax->Bea:gear-wash thanks
330,21,3,glass_harbor,Nia,Puck,lamp touch,meal or shelter care,0.92,0.92,0.8116,0.8242,0.411,0.422,True,True,Nia->Puck:lamp touch
332,21,3,lichen_bridge,Rin,Kio,rope touch,meal or shelter care,0.92,0.92,0.8116,0.8242,0.411,0.422,True,True,Rin->Kio:rope touch
334,21,3,moss_ward,Ari,Milo,door-watch blessing,meal or shelter care,0.92,0.92,0.8116,0.8242,0.411,0.422,True,True,Ari->Milo:door-watch blessing
336,22,4,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.92,0.92,0.8242,0.841,0.422,0.433,True,True,Rin->Kio:shared bowl
338,22,4,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.92,0.92,0.8242,0.841,0.422,0.433,True,True,Ari->Milo:warm cup before work
340,22,4,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.92,0.92,0.8116,0.8284,0.411,0.422,True,True,Vale->Juno:cool hand sign
342,22,4,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.92,0.92,0.8116,0.8284,0.411,0.422,True,True,Bea->Dax:orchid cup
