continuity_tick_id,year,tick,phase,agent_id,market_slot_id,ritual_slot_id,technology_slot_id,prompt_id,turn_id,ceremony_step_id,sandbox_state,note
sandbox_tick_agent_377_westkeepers,377,360,triad,agent_377_westkeepers,market_slot_agent_377_westkeepers,ritual_slot_agent_377_westkeepers,tech_slot_agent_377_westkeepers,prompt_377,turn_agent_377_westkeepers,not_yet_available,pre_avatar_observer_mode,"Ka20 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_377_mossgarden,377,368,triad,agent_377_mossgarden,market_slot_agent_377_mossgarden,ritual_slot_agent_377_mossgarden,tech_slot_agent_377_mossgarden,prompt_377,turn_agent_377_mossgarden,not_yet_available,pre_avatar_observer_mode,"Mu21 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_377_ledgerkin,377,376,triad,agent_377_ledgerkin,market_slot_agent_377_ledgerkin,ritual_slot_agent_377_ledgerkin,tech_slot_agent_377_ledgerkin,prompt_377,turn_agent_377_ledgerkin,not_yet_available,pre_avatar_observer_mode,"Lo22 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_377_redstair,377,384,triad,agent_377_redstair,market_slot_agent_377_redstair,ritual_slot_agent_377_redstair,tech_slot_agent_377_redstair,prompt_377,turn_agent_377_redstair,not_yet_available,pre_avatar_observer_mode,"Sa23 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_377_wheelwright,377,392,triad,agent_377_wheelwright,market_slot_agent_377_wheelwright,ritual_slot_agent_377_wheelwright,tech_slot_agent_377_wheelwright,prompt_377,turn_agent_377_wheelwright,not_yet_available,pre_avatar_observer_mode,"Ni24 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_987_westkeepers,987,440,square,agent_987_westkeepers,market_slot_agent_987_westkeepers,ritual_slot_agent_987_westkeepers,tech_slot_agent_987_westkeepers,prompt_987,turn_agent_987_westkeepers,not_yet_available,pre_avatar_observer_mode,"Ka30 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_987_mossgarden,987,448,square,agent_987_mossgarden,market_slot_agent_987_mossgarden,ritual_slot_agent_987_mossgarden,tech_slot_agent_987_mossgarden,prompt_987,turn_agent_987_mossgarden,not_yet_available,pre_avatar_observer_mode,"Mu31 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_987_ledgerkin,987,456,square,agent_987_ledgerkin,market_slot_agent_987_ledgerkin,ritual_slot_agent_987_ledgerkin,tech_slot_agent_987_ledgerkin,prompt_987,turn_agent_987_ledgerkin,not_yet_available,pre_avatar_observer_mode,"Lo32 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_987_redstair,987,464,square,agent_987_redstair,market_slot_agent_987_redstair,ritual_slot_agent_987_redstair,tech_slot_agent_987_redstair,prompt_987,turn_agent_987_redstair,not_yet_available,pre_avatar_observer_mode,"Sa33 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_987_wheelwright,987,472,square,agent_987_wheelwright,market_slot_agent_987_wheelwright,ritual_slot_agent_987_wheelwright,tech_slot_agent_987_wheelwright,prompt_987,turn_agent_987_wheelwright,not_yet_available,pre_avatar_observer_mode,"Ni34 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_1597_westkeepers,1597,520,pentad,agent_1597_westkeepers,market_slot_agent_1597_westkeepers,ritual_slot_agent_1597_westkeepers,tech_slot_agent_1597_westkeepers,prompt_1597,turn_agent_1597_westkeepers,not_yet_available,pre_avatar_observer_mode,"Ka40 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_1597_mossgarden,1597,528,pentad,agent_1597_mossgarden,market_slot_agent_1597_mossgarden,ritual_slot_agent_1597_mossgarden,tech_slot_agent_1597_mossgarden,prompt_1597,turn_agent_1597_mossgarden,not_yet_available,pre_avatar_observer_mode,"Mu41 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_1597_ledgerkin,1597,536,pentad,agent_1597_ledgerkin,market_slot_agent_1597_ledgerkin,ritual_slot_agent_1597_ledgerkin,tech_slot_agent_1597_ledgerkin,prompt_1597,turn_agent_1597_ledgerkin,not_yet_available,pre_avatar_observer_mode,"Lo42 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_1597_redstair,1597,544,pentad,agent_1597_redstair,market_slot_agent_1597_redstair,ritual_slot_agent_1597_redstair,tech_slot_agent_1597_redstair,prompt_1597,turn_agent_1597_redstair,not_yet_available,pre_avatar_observer_mode,"Sa43 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_1597_wheelwright,1597,552,pentad,agent_1597_wheelwright,market_slot_agent_1597_wheelwright,ritual_slot_agent_1597_wheelwright,tech_slot_agent_1597_wheelwright,prompt_1597,turn_agent_1597_wheelwright,not_yet_available,pre_avatar_observer_mode,"Ni44 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_2584_westkeepers,2584,600,hexad,agent_2584_westkeepers,market_slot_agent_2584_westkeepers,ritual_slot_agent_2584_westkeepers,tech_slot_agent_2584_westkeepers,prompt_2584,turn_agent_2584_westkeepers,not_yet_available,pre_avatar_observer_mode,"Ka50 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_2584_mossgarden,2584,608,hexad,agent_2584_mossgarden,market_slot_agent_2584_mossgarden,ritual_slot_agent_2584_mossgarden,tech_slot_agent_2584_mossgarden,prompt_2584,turn_agent_2584_mossgarden,not_yet_available,pre_avatar_observer_mode,"Mu51 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_2584_ledgerkin,2584,616,hexad,agent_2584_ledgerkin,market_slot_agent_2584_ledgerkin,ritual_slot_agent_2584_ledgerkin,tech_slot_agent_2584_ledgerkin,prompt_2584,turn_agent_2584_ledgerkin,not_yet_available,pre_avatar_observer_mode,"Lo52 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_2584_redstair,2584,624,hexad,agent_2584_redstair,market_slot_agent_2584_redstair,ritual_slot_agent_2584_redstair,tech_slot_agent_2584_redstair,prompt_2584,turn_agent_2584_redstair,not_yet_available,pre_avatar_observer_mode,"Sa53 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_2584_wheelwright,2584,632,hexad,agent_2584_wheelwright,market_slot_agent_2584_wheelwright,ritual_slot_agent_2584_wheelwright,tech_slot_agent_2584_wheelwright,prompt_2584,turn_agent_2584_wheelwright,not_yet_available,pre_avatar_observer_mode,"Ni54 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_4181_westkeepers,4181,680,flower,agent_4181_westkeepers,market_slot_agent_4181_westkeepers,ritual_slot_agent_4181_westkeepers,tech_slot_agent_4181_westkeepers,prompt_4181,turn_agent_4181_westkeepers,ceremony_7_sensory_ecology_binding,avatar_entry_ceremony_mode,"Ka60 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_4181_mossgarden,4181,688,flower,agent_4181_mossgarden,market_slot_agent_4181_mossgarden,ritual_slot_agent_4181_mossgarden,tech_slot_agent_4181_mossgarden,prompt_4181,turn_agent_4181_mossgarden,ceremony_7_sensory_ecology_binding,avatar_entry_ceremony_mode,"Mu61 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_4181_ledgerkin,4181,696,flower,agent_4181_ledgerkin,market_slot_agent_4181_ledgerkin,ritual_slot_agent_4181_ledgerkin,tech_slot_agent_4181_ledgerkin,prompt_4181,turn_agent_4181_ledgerkin,ceremony_7_sensory_ecology_binding,avatar_entry_ceremony_mode,"Lo62 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_4181_redstair,4181,704,flower,agent_4181_redstair,market_slot_agent_4181_redstair,ritual_slot_agent_4181_redstair,tech_slot_agent_4181_redstair,prompt_4181,turn_agent_4181_redstair,ceremony_7_sensory_ecology_binding,avatar_entry_ceremony_mode,"Sa63 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_4181_wheelwright,4181,712,flower,agent_4181_wheelwright,market_slot_agent_4181_wheelwright,ritual_slot_agent_4181_wheelwright,tech_slot_agent_4181_wheelwright,prompt_4181,turn_agent_4181_wheelwright,ceremony_7_sensory_ecology_binding,avatar_entry_ceremony_mode,"Ni64 links generation, market, ritual, technology, sensory prompt, and playable turn"
