episode_id,week,day,agent,public_routine_marker,public_language_marker,public_relationship_marker,private_learning_hint,boundary_or_recovery,replay_checkpoint,trace_integrity_token
1,1,1,Ari,week 1 day 1: Ari selects repair_route,tek->tek means repair work,trust=0.56; respect=0.59; neutral continuity,policy_delta=0.01; grounding=0.94; reason=avatar is familiar but not decisive,cooperation,r244-week01-episode001,r244:1:Ari:893827c898
12,1,3,Sol,week 1 day 3: Sol selects ledger_sort,lum->lum means warm care,trust=0.55; respect=0.59; warmer later greeting,policy_delta=0.08; grounding=0.94; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:12:Sol:14c36c077d
13,1,4,Ari,week 1 day 4: Ari selects boundary_pause,vonn->vonn-n means pressure warning,trust=0.56; respect=0.58; neutral continuity,policy_delta=0.27; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:13:Ari:2a90efad78
14,1,4,Fay,week 1 day 4: Fay selects hearth_care,melo->melo means market exchange,trust=0.65; respect=0.58; warmer later greeting,policy_delta=0.38; grounding=0.94; reason=avatar can help without taking over,refusal,no_checkpoint,r244:14:Fay:9befb68bad
15,1,4,Milo,week 1 day 4: Milo selects market_scan,lum->lum means warm care,trust=0.68; respect=0.61; warmer later greeting,policy_delta=0.19; grounding=0.94; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:15:Milo:7f3b9846cc
16,1,4,Sol,week 1 day 4: Sol selects ledger_sort,nari->nari means respect boundary,trust=0.59; respect=0.64; warmer later greeting,policy_delta=0.09; grounding=0.94; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:16:Sol:63f149a3de
17,1,5,Ari,week 1 day 5: Ari selects sleep_recovery,melo->melo-s means market exchange,trust=0.60; respect=0.59; warmer later greeting,policy_delta=0.29; grounding=0.90; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:17:Ari:75ee6a2647
18,1,5,Fay,week 1 day 5: Fay selects hearth_care,lum->lum means warm care,trust=0.66; respect=0.59; warmer later greeting,policy_delta=0.40; grounding=0.94; reason=avatar can help without taking over,refusal,no_checkpoint,r244:18:Fay:9b68975e45
19,1,5,Milo,week 1 day 5: Milo selects market_scan,nari->nari means respect boundary,trust=0.72; respect=0.65; warmer later greeting,policy_delta=0.23; grounding=0.94; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:19:Milo:23ea13cfdd
20,1,5,Sol,week 1 day 5: Sol selects ledger_sort,keth->keth means remembered help,trust=0.63; respect=0.65; warmer later greeting,policy_delta=0.11; grounding=0.94; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:20:Sol:00e30bcc7a
21,1,6,Ari,week 1 day 6: Ari selects repair_route,lum->lum means warm care,trust=0.63; respect=0.61; warmer later greeting,policy_delta=0.25; grounding=0.93; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:21:Ari:811e46592e
22,1,6,Fay,week 1 day 6: Fay selects teach_word,nari->nari-la means respect boundary,trust=0.69; respect=0.64; warmer later greeting,policy_delta=0.33; grounding=0.97; reason=avatar can help without taking over,teaching,no_checkpoint,r244:22:Fay:459d5a409e
23,1,6,Milo,week 1 day 6: Milo selects teach_word,keth->keth-la means remembered help,trust=0.75; respect=0.67; warmer later greeting,policy_delta=0.30; grounding=0.98; reason=avatar can help without taking over,teaching,no_checkpoint,r244:23:Milo:31ef1d4608
24,1,6,Sol,week 1 day 6: Sol selects ledger_sort,tek->tek means repair work,trust=0.64; respect=0.67; neutral continuity,policy_delta=0.11; grounding=0.94; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:24:Sol:31c8475baa
25,1,7,Ari,week 1 day 7: Ari selects repair_route,nari->nari means respect boundary,trust=0.67; respect=0.65; warmer later greeting,policy_delta=0.20; grounding=0.93; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:25:Ari:bf33bc33af
26,1,7,Fay,week 1 day 7: Fay selects teach_word,keth->keth-la means remembered help,trust=0.73; respect=0.65; warmer later greeting,policy_delta=0.28; grounding=0.97; reason=avatar can help without taking over,teaching,no_checkpoint,r244:26:Fay:3ce8c8d755
27,1,7,Milo,week 1 day 7: Milo selects market_scan,tek->tek means repair work,trust=0.76; respect=0.68; neutral continuity,policy_delta=0.31; grounding=0.94; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:27:Milo:4d34f67353
28,1,7,Sol,week 1 day 7: Sol selects sleep_recovery,sova->sova-s means sleep safely,trust=0.62; respect=0.65; neutral continuity,policy_delta=0.16; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,r244-week01-episode028,r244:28:Sol:cde9ac820f
29,2,1,Ari,week 2 day 1: Ari selects sleep_recovery,sova->sova-s means sleep safely,trust=0.65; respect=0.64; neutral continuity,policy_delta=0.34; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:29:Ari:d9ce663a1f
30,2,1,Fay,week 2 day 1: Fay selects teach_word,ori->ori-la means shared ritual,trust=0.76; respect=0.67; warmer later greeting,policy_delta=0.31; grounding=0.97; reason=avatar can help without taking over,teaching,no_checkpoint,r244:30:Fay:b72d2face6
31,2,1,Milo,week 2 day 1: Milo selects sleep_recovery,vonn->vonn-s means pressure warning,trust=0.75; respect=0.67; neutral continuity,policy_delta=0.26; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:31:Milo:21449be7b5
32,2,1,Sol,week 2 day 1: Sol selects sleep_recovery,melo->melo-s means market exchange,trust=0.66; respect=0.67; warmer later greeting,policy_delta=0.18; grounding=0.90; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:32:Sol:8e61c6e6f0
33,2,2,Ari,week 2 day 2: Ari selects repair_route,ori->ori-a means shared ritual,trust=0.66; respect=0.65; warmer later greeting,policy_delta=0.36; grounding=0.93; reason=avatar can help without taking over,refusal,no_checkpoint,r244:33:Ari:07d2a33dfb
34,2,2,Fay,week 2 day 2: Fay selects sleep_recovery,vonn->vonn-s means pressure warning,trust=0.75; respect=0.65; neutral continuity,policy_delta=0.38; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:34:Fay:4d25b03392
35,2,2,Milo,week 2 day 2: Milo selects sleep_recovery,melo->melo-s means market exchange,trust=0.78; respect=0.68; warmer later greeting,policy_delta=0.32; grounding=0.90; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:35:Milo:57f7c4cf78
36,2,2,Sol,week 2 day 2: Sol selects sleep_recovery,lum->lum-s means warm care,trust=0.69; respect=0.68; warmer later greeting,policy_delta=0.22; grounding=0.90; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:36:Sol:2e8b2584e9
37,2,3,Ari,week 2 day 3: Ari selects boundary_pause,vonn->vonn-n means pressure warning,trust=0.64; respect=0.64; neutral continuity,policy_delta=0.51; grounding=0.89; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:37:Ari:a71612e4f2
38,2,3,Fay,week 2 day 3: Fay selects hearth_care,melo->melo-a means market exchange,trust=0.75; respect=0.67; warmer later greeting,policy_delta=0.41; grounding=0.93; reason=avatar can help without taking over,refusal,no_checkpoint,r244:38:Fay:4fb6f9ecf8
39,2,3,Milo,week 2 day 3: Milo selects market_scan,lum->lum means warm care,trust=0.82; respect=0.69; warmer later greeting,policy_delta=0.36; grounding=0.93; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:39:Milo:497619c3db
40,2,3,Sol,week 2 day 3: Sol selects ledger_sort,nari->nari-a means respect boundary,trust=0.73; respect=0.72; warmer later greeting,policy_delta=0.23; grounding=0.93; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:40:Sol:e9c69d2949
41,2,4,Ari,week 2 day 4: Ari selects sleep_recovery,melo->melo-s means market exchange,trust=0.68; respect=0.65; warmer later greeting,policy_delta=0.53; grounding=0.89; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:41:Ari:ec9d5f9cc4
42,2,4,Fay,week 2 day 4: Fay selects hearth_care,lum->lum means warm care,trust=0.79; respect=0.68; warmer later greeting,policy_delta=0.44; grounding=0.93; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:42:Fay:ef14182150
43,2,4,Milo,week 2 day 4: Milo selects teach_word,nari->nari-la means respect boundary,trust=0.85; respect=0.74; warmer later greeting,policy_delta=0.37; grounding=0.97; reason=avatar can help without taking over,teaching,no_checkpoint,r244:43:Milo:1fb31265a7
44,2,4,Sol,week 2 day 4: Sol selects ledger_sort,keth->keth-a means remembered help,trust=0.76; respect=0.74; warmer later greeting,policy_delta=0.24; grounding=0.93; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:44:Sol:24bd3383e9
45,2,5,Ari,week 2 day 5: Ari selects repair_route,lum->lum means warm care,trust=0.69; respect=0.67; warmer later greeting,policy_delta=0.54; grounding=0.92; reason=avatar can help without taking over,refusal,no_checkpoint,r244:45:Ari:157ac748b5
46,2,5,Fay,week 2 day 5: Fay selects teach_word,nari->nari-la means respect boundary,trust=0.83; respect=0.72; warmer later greeting,policy_delta=0.46; grounding=0.97; reason=avatar can help without taking over,teaching,no_checkpoint,r244:46:Fay:08b088a2d8
47,2,5,Milo,week 2 day 5: Milo selects teach_word,keth->keth-la means remembered help,trust=0.86; respect=0.75; warmer later greeting,policy_delta=0.42; grounding=0.97; reason=avatar can help without taking over,refusal,no_checkpoint,r244:47:Milo:ae0131a620
48,2,5,Sol,week 2 day 5: Sol selects sleep_recovery,tek->tek-s means repair work,trust=0.78; respect=0.75; neutral continuity,policy_delta=0.27; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:48:Sol:2d21cad3d7
49,2,6,Ari,week 2 day 6: Ari selects repair_route,nari->nari-a means respect boundary,trust=0.72; respect=0.71; warmer later greeting,policy_delta=0.48; grounding=0.92; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:49:Ari:b896756088
50,2,6,Fay,week 2 day 6: Fay selects teach_word,keth->keth-la means remembered help,trust=0.86; respect=0.74; warmer later greeting,policy_delta=0.47; grounding=0.97; reason=avatar can help without taking over,teaching,no_checkpoint,r244:50:Fay:83f170a1d8
51,2,6,Milo,week 2 day 6: Milo selects market_scan,tek->tek means repair work,trust=0.87; respect=0.77; neutral continuity,policy_delta=0.44; grounding=0.94; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:51:Milo:98bf867eab
52,2,6,Sol,week 2 day 6: Sol selects sleep_recovery,sova->sova-s means sleep safely,trust=0.76; respect=0.74; neutral continuity,policy_delta=0.32; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:52:Sol:a94a41e64f
53,2,7,Ari,week 2 day 7: Ari selects repair_route,keth->keth-a means remembered help,trust=0.76; respect=0.72; warmer later greeting,policy_delta=0.43; grounding=0.92; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:53:Ari:a84460b2ed
54,2,7,Fay,week 2 day 7: Fay selects hearth_care,tek->tek means repair work,trust=0.87; respect=0.75; neutral continuity,policy_delta=0.48; grounding=0.94; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:54:Fay:c02face1f2
55,2,7,Milo,week 2 day 7: Milo selects sleep_recovery,sova->sova-s means sleep safely,trust=0.86; respect=0.75; neutral continuity,policy_delta=0.47; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:55:Milo:7c0003effc
56,2,7,Sol,week 2 day 7: Sol selects ledger_sort,ori->ori-a means shared ritual,trust=0.77; respect=0.75; warmer later greeting,policy_delta=0.34; grounding=0.93; reason=avatar can help without taking over,refusal,r244-week02-episode056,r244:56:Sol:d8365b573c
57,3,1,Ari,week 3 day 1: Ari selects repair_route,ori->ori-a means shared ritual,trust=0.79; respect=0.74; warmer later greeting,policy_delta=0.47; grounding=0.93; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:57:Ari:da2b323837
58,3,1,Fay,week 3 day 1: Fay selects sleep_recovery,vonn->vonn-s means pressure warning,trust=0.86; respect=0.74; neutral continuity,policy_delta=0.52; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:58:Fay:3c4fc44047
59,3,1,Milo,week 3 day 1: Milo selects sleep_recovery,melo->melo-s means market exchange,trust=0.89; respect=0.77; warmer later greeting,policy_delta=0.53; grounding=0.90; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:59:Milo:e9f474c49c
60,3,1,Sol,week 3 day 1: Sol selects ledger_sort,lum->lum-u means warm care,trust=0.80; respect=0.77; warmer later greeting,policy_delta=0.36; grounding=0.89; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:60:Sol:7557bc1ca8
61,3,2,Ari,week 3 day 2: Ari selects sleep_recovery,vonn->vonn-s means pressure warning,trust=0.78; respect=0.72; neutral continuity,policy_delta=0.54; grounding=0.89; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:61:Ari:9517742fe6
62,3,2,Fay,week 3 day 2: Fay selects sleep_recovery,melo->melo-s means market exchange,trust=0.89; respect=0.75; warmer later greeting,policy_delta=0.58; grounding=0.90; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:62:Fay:8f249d60f6
63,3,2,Milo,week 3 day 2: Milo selects sleep_recovery,lum->lum-s means warm care,trust=0.93; respect=0.78; warmer later greeting,policy_delta=0.58; grounding=0.90; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:63:Milo:1224b91933
64,3,2,Sol,week 3 day 2: Sol selects ledger_sort,nari->nari-a means respect boundary,trust=0.84; respect=0.81; warmer later greeting,policy_delta=0.37; grounding=0.92; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:64:Sol:e9c6d6e66d
65,3,3,Ari,week 3 day 3: Ari selects repair_route,melo->melo-a means market exchange,trust=0.78; respect=0.74; warmer later greeting,policy_delta=0.56; grounding=0.91; reason=avatar can help without taking over,refusal,no_checkpoint,r244:65:Ari:5a44dab7c9
66,3,3,Fay,week 3 day 3: Fay selects hearth_care,lum->lum-u means warm care,trust=0.93; respect=0.77; warmer later greeting,policy_delta=0.62; grounding=0.89; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:66:Fay:b6e48c4be8
67,3,3,Milo,week 3 day 3: Milo selects teach_word,nari->nari-la means respect boundary,trust=0.96; respect=0.82; warmer later greeting,policy_delta=0.60; grounding=0.96; reason=avatar can help without taking over,teaching,no_checkpoint,r244:67:Milo:fd298c4bda
68,3,3,Sol,week 3 day 3: Sol selects teach_word,keth->keth-la means remembered help,trust=0.87; respect=0.82; warmer later greeting,policy_delta=0.38; grounding=0.96; reason=avatar can help without taking over,teaching,no_checkpoint,r244:68:Sol:e0b227a2f3
69,3,4,Ari,week 3 day 4: Ari selects repair_route,lum->lum-u means warm care,trust=0.82; respect=0.75; warmer later greeting,policy_delta=0.59; grounding=0.88; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:69:Ari:adf89ae8af
70,3,4,Fay,week 3 day 4: Fay selects teach_word,nari->nari-la means respect boundary,trust=0.96; respect=0.81; warmer later greeting,policy_delta=0.63; grounding=0.96; reason=avatar can help without taking over,teaching,no_checkpoint,r244:70:Fay:a57a0e937e
71,3,4,Milo,week 3 day 4: Milo selects teach_word,keth->keth-la means remembered help,trust=1.00; respect=0.84; warmer later greeting,policy_delta=0.63; grounding=0.96; reason=avatar can help without taking over,teaching,no_checkpoint,r244:71:Milo:24c26f0e30
72,3,4,Sol,week 3 day 4: Sol selects ledger_sort,tek->tek-u means repair work,trust=0.89; respect=0.84; neutral continuity,policy_delta=0.42; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:72:Sol:c208d902a9
73,3,5,Ari,week 3 day 5: Ari selects repair_route,nari->nari-a means respect boundary,trust=0.86; respect=0.80; warmer later greeting,policy_delta=0.60; grounding=0.91; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:73:Ari:61cdd414dd
74,3,5,Fay,week 3 day 5: Fay selects teach_word,keth->keth-la means remembered help,trust=0.97; respect=0.82; warmer later greeting,policy_delta=0.66; grounding=0.96; reason=avatar can help without taking over,refusal,no_checkpoint,r244:74:Fay:02e6f8b35d
75,3,5,Milo,week 3 day 5: Milo selects sleep_recovery,tek->tek-s means repair work,trust=1.00; respect=0.85; neutral continuity,policy_delta=0.65; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:75:Milo:856fb5031e
76,3,5,Sol,week 3 day 5: Sol selects sleep_recovery,sova->sova-s means sleep safely,trust=0.87; respect=0.82; neutral continuity,policy_delta=0.47; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:76:Sol:0c00b1d6cb
77,3,6,Ari,week 3 day 6: Ari selects teach_word,keth->keth-la means remembered help,trust=0.89; respect=0.81; warmer later greeting,policy_delta=0.61; grounding=0.95; reason=avatar can help without taking over,teaching,no_checkpoint,r244:77:Ari:ec0312f8fb
78,3,6,Fay,week 3 day 6: Fay selects hearth_care,tek->tek-u means repair work,trust=0.98; respect=0.84; neutral continuity,policy_delta=0.68; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:78:Fay:216fb0d8ab
79,3,6,Milo,week 3 day 6: Milo selects sleep_recovery,sova->sova-s means sleep safely,trust=0.98; respect=0.84; neutral continuity,policy_delta=0.68; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:79:Milo:4f26ee240b
80,3,6,Sol,week 3 day 6: Sol selects ledger_sort,ori->ori-a means shared ritual,trust=0.88; respect=0.84; warmer later greeting,policy_delta=0.48; grounding=0.92; reason=avatar can help without taking over,refusal,no_checkpoint,r244:80:Sol:991ccf368b
81,3,7,Ari,week 3 day 7: Ari selects repair_route,tek->tek-u means repair work,trust=0.90; respect=0.82; neutral continuity,policy_delta=0.62; grounding=0.89; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:81:Ari:c29b6a000a
82,3,7,Fay,week 3 day 7: Fay selects sleep_recovery,sova->sova-s means sleep safely,trust=0.97; respect=0.82; neutral continuity,policy_delta=0.74; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:82:Fay:d4bcaae120
83,3,7,Milo,week 3 day 7: Milo selects teach_word,ori->ori-la means shared ritual,trust=0.99; respect=0.85; warmer later greeting,policy_delta=0.75; grounding=0.96; reason=avatar can help without taking over,refusal,no_checkpoint,r244:83:Milo:69f85880a9
84,3,7,Sol,week 3 day 7: Sol selects sleep_recovery,vonn->vonn-s means pressure warning,trust=0.86; respect=0.82; neutral continuity,policy_delta=0.53; grounding=0.89; reason=avatar is familiar but not decisive,cooperation,r244-week03-episode084,r244:84:Sol:dd12251fe6
85,4,1,Ari,week 4 day 1: Ari selects sleep_recovery,vonn->vonn-s means pressure warning,trust=0.89; respect=0.81; neutral continuity,policy_delta=0.65; grounding=0.89; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:85:Ari:cc8bdffd95
86,4,1,Fay,week 4 day 1: Fay selects sleep_recovery,melo->melo-s means market exchange,trust=1.00; respect=0.84; warmer later greeting,policy_delta=0.78; grounding=0.89; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:86:Fay:9579eab1d7
87,4,1,Milo,week 4 day 1: Milo selects market_scan,lum->lum-u means warm care,trust=1.00; respect=0.87; warmer later greeting,policy_delta=0.79; grounding=0.89; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:87:Milo:b7ee999f83
88,4,1,Sol,week 4 day 1: Sol selects ledger_sort,nari->nari-a means respect boundary,trust=0.89; respect=0.87; warmer later greeting,policy_delta=0.57; grounding=0.91; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:88:Sol:7c4d45f313
89,4,2,Ari,week 4 day 2: Ari selects sleep_recovery,melo->melo-s means market exchange,trust=0.92; respect=0.82; warmer later greeting,policy_delta=0.70; grounding=0.88; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:89:Ari:91f3366a2b
90,4,2,Fay,week 4 day 2: Fay selects sleep_recovery,lum->lum-s means warm care,trust=1.00; respect=0.85; warmer later greeting,policy_delta=0.84; grounding=0.89; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:90:Fay:a0d8a37a20
91,4,2,Milo,week 4 day 2: Milo selects teach_word,nari->nari-la means respect boundary,trust=1.00; respect=0.91; warmer later greeting,policy_delta=0.80; grounding=0.95; reason=avatar can help without taking over,teaching,no_checkpoint,r244:91:Milo:fc826762c6
92,4,2,Sol,week 4 day 2: Sol selects sleep_recovery,keth->keth-s means remembered help,trust=0.93; respect=0.88; warmer later greeting,policy_delta=0.61; grounding=0.88; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:92:Sol:85b8f2b92e
93,4,3,Ari,week 4 day 3: Ari selects repair_route,lum->lum-u means warm care,trust=0.96; respect=0.84; warmer later greeting,policy_delta=0.73; grounding=0.87; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:93:Ari:b40a88ca42
94,4,3,Fay,week 4 day 3: Fay selects teach_word,nari->nari-la means respect boundary,trust=1.00; respect=0.90; warmer later greeting,policy_delta=0.86; grounding=0.95; reason=avatar can help without taking over,teaching,no_checkpoint,r244:94:Fay:20309139e6
95,4,3,Milo,week 4 day 3: Milo selects teach_word,keth->keth-la means remembered help,trust=1.00; respect=0.92; warmer later greeting,policy_delta=0.83; grounding=0.95; reason=avatar can help without taking over,teaching,no_checkpoint,r244:95:Milo:ddfe892429
96,4,3,Sol,week 4 day 3: Sol selects ledger_sort,tek->tek-u means repair work,trust=0.91; respect=0.90; bounded refusal becomes available,policy_delta=0.64; grounding=0.89; reason=my no changed the interaction path,refusal,no_checkpoint,r244:96:Sol:e2f47f0b84
97,4,4,Ari,week 4 day 4: Ari selects teach_word,nari->nari-la means respect boundary,trust=0.99; respect=0.88; warmer later greeting,policy_delta=0.75; grounding=0.93; reason=avatar can help without taking over,teaching,no_checkpoint,r244:97:Ari:b438cdf30d
98,4,4,Fay,week 4 day 4: Fay selects teach_word,keth->keth-la means remembered help,trust=1.00; respect=0.91; warmer later greeting,policy_delta=0.87; grounding=0.95; reason=avatar can help without taking over,teaching,no_checkpoint,r244:98:Fay:4248b4ac6a
99,4,4,Milo,week 4 day 4: Milo selects market_scan,tek->tek-u means repair work,trust=1.00; respect=0.94; neutral continuity,policy_delta=0.85; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:99:Milo:d2d0e5ff4c
100,4,4,Sol,week 4 day 4: Sol selects sleep_recovery,sova->sova-s means sleep safely,trust=0.90; respect=0.88; neutral continuity,policy_delta=0.69; grounding=0.89; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:100:Sol:070fe869d5
101,4,5,Ari,week 4 day 5: Ari selects teach_word,keth->keth-la means remembered help,trust=1.00; respect=0.90; warmer later greeting,policy_delta=0.77; grounding=0.94; reason=avatar can help without taking over,refusal,no_checkpoint,r244:101:Ari:f48f8540ca
102,4,5,Fay,week 4 day 5: Fay selects sleep_recovery,tek->tek-s means repair work,trust=1.00; respect=0.92; neutral continuity,policy_delta=0.92; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:102:Fay:99f95efa1a
103,4,5,Milo,week 4 day 5: Milo selects sleep_recovery,sova->sova-s means sleep safely,trust=0.98; respect=0.92; neutral continuity,policy_delta=0.92; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:103:Milo:77b1870d17
104,4,5,Sol,week 4 day 5: Sol selects sleep_recovery,ori->ori-s means shared ritual,trust=0.93; respect=0.90; warmer later greeting,policy_delta=0.71; grounding=0.89; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:104:Sol:8524a50763
105,4,6,Ari,week 4 day 6: Ari selects repair_route,tek->tek-u means repair work,trust=1.00; respect=0.91; neutral continuity,policy_delta=0.79; grounding=0.88; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:105:Ari:c9ee2dbaf6
106,4,6,Fay,week 4 day 6: Fay selects sleep_recovery,sova->sova-s means sleep safely,trust=0.98; respect=0.91; neutral continuity,policy_delta=1.00; grounding=0.90; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:106:Fay:98f9aef491
107,4,6,Milo,week 4 day 6: Milo selects teach_word,ori->ori-la means shared ritual,trust=0.99; respect=0.94; warmer later greeting,policy_delta=0.96; grounding=0.96; reason=avatar can help without taking over,refusal,no_checkpoint,r244:107:Milo:47acdc0337
108,4,6,Sol,week 4 day 6: Sol selects sleep_recovery,vonn->vonn-s means pressure warning,trust=0.91; respect=0.88; neutral continuity,policy_delta=0.79; grounding=0.88; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:108:Sol:fc10781b79
109,4,7,Ari,week 4 day 7: Ari selects sleep_recovery,sova->sova-s means sleep safely,trust=0.98; respect=0.90; neutral continuity,policy_delta=0.82; grounding=0.89; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:109:Ari:d42ba94039
