tick_id,day,week,settlement_id,resident_id,work_site,forecast_weather,planned_action,risk_before,risk_after,productivity_before,productivity_after,shelter_route_used,tool_protection,plan_visible,bounded_weather_risk
34,3,1,cinder_garden,Vale,seed shelf,heat,normal work with forecast check,0.299092,0.239092,0.6,0.614,False,True,True,True
35,3,1,lichen_bridge,Sol,rope bridge,rain,normal work with forecast check,0.285489,0.225489,0.6,0.614,False,True,True,True
36,3,1,orchid_engine,Bea,orchid bay,clear,normal work with forecast check,0.30912,0.24912,0.594,0.608,False,True,True,True
37,3,1,moss_ward,Fay,tool nook,clear,normal work with forecast check,0.30912,0.24912,0.594,0.608,False,True,True,True
38,3,1,glass_harbor,Puck,lamp pier,spray,normal work with forecast check,0.30984,0.24984,0.586,0.6,False,True,True,True
39,3,1,cinder_garden,Wren,ash path,heat,normal work with forecast check,0.30912,0.24912,0.594,0.608,False,True,True,True
40,3,1,lichen_bridge,Kio,lichen wall,rain,normal work with forecast check,0.299259,0.239259,0.576,0.59,False,True,True,True
41,3,1,orchid_engine,Cai,engine ring,clear,normal work with forecast check,0.298561,0.238561,0.608,0.622,False,True,True,True
42,3,1,moss_ward,Milo,rain gate,clear,normal work with forecast check,0.298539,0.238539,0.608,0.622,False,True,True,True
43,3,1,glass_harbor,Sera,net room,spray,normal work with forecast check,0.285099,0.225099,0.576,0.59,False,True,True,True
44,3,1,cinder_garden,Juno,ember bed,heat,normal work with forecast check,0.30984,0.24984,0.586,0.6,False,True,True,True
45,3,1,lichen_bridge,Luma,signal post,rain,normal work with forecast check,0.30912,0.24912,0.594,0.608,False,True,True,True
46,3,1,orchid_engine,Dax,gear wash,clear,normal work with forecast check,0.30912,0.24912,0.594,0.608,False,True,True,True
47,3,1,moss_ward,Tala,moss lane,clear,normal work with forecast check,0.295572,0.235572,0.594,0.608,False,True,True,True
48,4,1,cinder_garden,Juno,ash path,dry gale,delay exposed work and use shelter route,0.539092,0.339092,0.6,0.582,True,True,True,True
49,4,1,lichen_bridge,Luma,lichen wall,crosswind,normal work with forecast check,0.298359,0.238359,0.608,0.622,False,True,True,True
50,4,1,orchid_engine,Dax,engine ring,steam leak,short weather-bounded work shift,0.538361,0.408361,0.608,0.614,True,False,True,True
51,4,1,moss_ward,Tala,rain gate,cold rain,delay exposed work and use shelter route,0.524701,0.324701,0.608,0.59,True,True,True,True
52,4,1,glass_harbor,Nia,net room,wind,normal work with forecast check,0.298717,0.238717,0.576,0.59,False,True,True,True
53,4,1,cinder_garden,Pax,ember bed,dry gale,short weather-bounded work shift,0.540157,0.410157,0.576,0.582,True,True,True,True
54,4,1,lichen_bridge,Rin,signal post,crosswind,normal work with forecast check,0.298717,0.238717,0.6,0.614,False,True,True,True
55,4,1,orchid_engine,Eli,gear wash,steam leak,short weather-bounded work shift,0.539437,0.409437,0.608,0.614,True,False,True,True
56,4,1,moss_ward,Ari,moss lane,cold rain,short weather-bounded work shift,0.542041,0.412041,0.622,0.628,True,True,True,True
57,4,1,glass_harbor,Oren,salt steps,wind,normal work with forecast check,0.302067,0.242067,0.614,0.628,False,True,True,True
58,4,1,cinder_garden,Vale,seed shelf,dry gale,short weather-bounded work shift,0.542772,0.412772,0.614,0.62,True,True,True,True
59,4,1,lichen_bridge,Sol,rope bridge,crosswind,normal work with forecast check,0.288449,0.228449,0.614,0.628,False,True,True,True
60,4,1,orchid_engine,Bea,orchid bay,steam leak,delay exposed work and use shelter route,0.5528,0.3528,0.608,0.59,True,True,True,True
61,4,1,moss_ward,Fay,tool nook,cold rain,short weather-bounded work shift,0.5528,0.4228,0.608,0.614,True,True,True,True
62,4,1,glass_harbor,Puck,lamp pier,wind,normal work with forecast check,0.3128,0.2528,0.6,0.614,False,True,True,True
63,4,1,cinder_garden,Wren,ash path,dry gale,delay exposed work and use shelter route,0.538359,0.338359,0.608,0.59,True,True,True,True
64,5,1,orchid_engine,Bea,gear wash,engine heat,normal work with forecast check,0.301874,0.241874,0.59,0.604,False,True,True,True
65,5,1,moss_ward,Fay,moss lane,rain,normal work with forecast check,0.301882,0.241882,0.614,0.628,False,True,True,True
66,5,1,glass_harbor,Puck,salt steps,clear,normal work with forecast check,0.301886,0.241886,0.614,0.628,False,True,True,True
67,5,1,cinder_garden,Wren,seed shelf,cold night,normal work with forecast check,0.28733,0.22733,0.59,0.604,False,True,True,True
68,5,1,lichen_bridge,Kio,rope bridge,hail,short weather-bounded work shift,0.542939,0.412939,0.59,0.596,True,True,True,True
69,5,1,orchid_engine,Cai,orchid bay,engine heat,normal work with forecast check,0.301521,0.241521,0.622,0.636,False,True,True,True
70,5,1,moss_ward,Milo,tool nook,rain,normal work with forecast check,0.301499,0.241499,0.622,0.636,False,True,True,True
71,5,1,glass_harbor,Sera,lamp pier,clear,normal work with forecast check,0.288059,0.228059,0.59,0.604,False,True,True,True
72,5,1,cinder_garden,Juno,ash path,cold night,normal work with forecast check,0.302052,0.242052,0.582,0.596,False,True,True,True
73,5,1,lichen_bridge,Luma,lichen wall,hail,delay exposed work and use shelter route,0.542039,0.342039,0.622,0.604,True,True,True,True
74,5,1,orchid_engine,Dax,engine ring,engine heat,normal work with forecast check,0.301321,0.241321,0.614,0.628,False,True,True,True
75,5,1,moss_ward,Tala,rain gate,rain,normal work with forecast check,0.287661,0.227661,0.59,0.604,False,True,True,True
76,5,1,glass_harbor,Nia,net room,clear,normal work with forecast check,0.301677,0.241677,0.59,0.604,False,True,True,True
77,5,1,cinder_garden,Pax,ember bed,cold night,normal work with forecast check,0.303117,0.243117,0.582,0.596,False,True,True,True
78,5,1,lichen_bridge,Rin,signal post,hail,short weather-bounded work shift,0.542397,0.412397,0.614,0.62,True,True,True,True
79,5,1,orchid_engine,Eli,gear wash,engine heat,normal work with forecast check,0.288449,0.228449,0.614,0.628,False,True,True,True
80,6,1,glass_harbor,Nia,lamp pier,sleet,delay exposed work and use shelter route,0.530475,0.330475,0.604,0.586,True,True,True,True
81,6,1,cinder_garden,Pax,ash path,clear,normal work with forecast check,0.291967,0.231967,0.596,0.61,False,True,True,True
82,6,1,lichen_bridge,Rin,lichen wall,cold fog,short weather-bounded work shift,0.531172,0.401172,0.62,0.626,True,True,True,True
83,6,1,orchid_engine,Eli,engine ring,drizzle,normal work with forecast check,0.277166,0.217166,0.628,0.642,False,True,True,True
84,6,1,moss_ward,Ari,rain gate,mist,normal work with forecast check,0.305001,0.245001,0.628,0.642,False,True,True,True
85,6,1,glass_harbor,Oren,net room,sleet,short weather-bounded work shift,0.545747,0.415747,0.628,0.634,True,False,True,True
86,6,1,cinder_garden,Vale,ember bed,clear,normal work with forecast check,0.305732,0.245732,0.62,0.634,False,True,True,True
87,6,1,lichen_bridge,Sol,signal post,cold fog,short weather-bounded work shift,0.532129,0.402129,0.628,0.634,True,True,True,True
88,6,1,orchid_engine,Bea,gear wash,drizzle,normal work with forecast check,0.304834,0.244834,0.604,0.618,False,True,True,True
89,6,1,moss_ward,Fay,moss lane,mist,normal work with forecast check,0.304842,0.244842,0.628,0.642,False,True,True,True
90,6,1,glass_harbor,Puck,salt steps,sleet,short weather-bounded work shift,0.545566,0.415566,0.628,0.634,True,False,True,True
91,6,1,cinder_garden,Wren,seed shelf,clear,normal work with forecast check,0.29029,0.23029,0.604,0.618,False,True,True,True
92,6,1,lichen_bridge,Kio,rope bridge,cold fog,delay exposed work and use shelter route,0.546619,0.346619,0.596,0.578,True,True,True,True
93,6,1,orchid_engine,Cai,orchid bay,drizzle,normal work with forecast check,0.304481,0.244481,0.636,0.65,False,True,True,True
94,6,1,moss_ward,Milo,tool nook,mist,normal work with forecast check,0.304459,0.244459,0.636,0.65,False,True,True,True
95,6,1,glass_harbor,Sera,lamp pier,sleet,delay exposed work and use shelter route,0.516776,0.316776,0.604,0.586,True,True,True,True
96,7,1,lichen_bridge,Kio,signal post,clear,normal work with forecast check,0.295226,0.235226,0.578,0.592,False,True,True,True
97,7,1,orchid_engine,Cai,gear wash,cold draft,normal work with forecast check,0.293137,0.233137,0.65,0.664,False,True,True,True
98,7,1,moss_ward,Milo,moss lane,wind,normal work with forecast check,0.293111,0.233111,0.65,0.664,False,True,True,True
99,7,1,glass_harbor,Sera,salt steps,fog,normal work with forecast check,0.267576,0.207576,0.586,0.6,False,True,True,True
100,7,1,cinder_garden,Juno,seed shelf,dust wind,short weather-bounded work shift,0.545732,0.415732,0.596,0.602,True,False,True,True
101,7,1,lichen_bridge,Luma,rope bridge,clear,normal work with forecast check,0.304999,0.244999,0.604,0.618,False,True,True,True
102,7,1,orchid_engine,Dax,orchid bay,cold draft,normal work with forecast check,0.304281,0.244281,0.628,0.642,False,True,True,True
103,7,1,moss_ward,Tala,tool nook,wind,normal work with forecast check,0.290621,0.230621,0.604,0.618,False,True,True,True
104,7,1,glass_harbor,Nia,lamp pier,fog,normal work with forecast check,0.293435,0.233435,0.586,0.6,False,True,True,True
105,7,1,cinder_garden,Pax,ash path,dust wind,delay exposed work and use shelter route,0.535647,0.335647,0.61,0.592,True,True,True,True
106,7,1,lichen_bridge,Rin,lichen wall,clear,normal work with forecast check,0.294132,0.234132,0.626,0.64,False,True,True,True
107,7,1,orchid_engine,Eli,engine ring,cold draft,normal work with forecast check,0.280126,0.220126,0.642,0.656,False,True,True,True
108,7,1,moss_ward,Ari,rain gate,wind,normal work with forecast check,0.307961,0.247961,0.642,0.656,False,True,True,True
109,7,1,glass_harbor,Oren,net room,fog,normal work with forecast check,0.308707,0.248707,0.634,0.648,False,True,True,True
110,7,1,cinder_garden,Vale,ember bed,dust wind,short weather-bounded work shift,0.549412,0.419412,0.634,0.64,True,False,True,True
111,7,1,lichen_bridge,Sol,signal post,clear,normal work with forecast check,0.280711,0.220711,0.634,0.648,False,True,True,True
112,8,2,moss_ward,Ari,tool nook,clear,normal work with forecast check,0.296518,0.236518,0.656,0.67,False,True,True,True
113,8,2,glass_harbor,Oren,lamp pier,spray,normal work with forecast check,0.2973,0.2373,0.648,0.662,False,True,True,True
114,8,2,cinder_garden,Vale,ash path,heat,normal work with forecast check,0.297963,0.237963,0.64,0.654,False,True,True,True
115,8,2,lichen_bridge,Sol,lichen wall,rain,normal work with forecast check,0.270865,0.210865,0.648,0.662,False,True,True,True
116,8,2,orchid_engine,Bea,engine ring,clear,normal work with forecast check,0.307794,0.247794,0.618,0.632,False,True,True,True
117,8,2,moss_ward,Fay,rain gate,clear,normal work with forecast check,0.307802,0.247802,0.642,0.656,False,True,True,True
118,8,2,glass_harbor,Puck,net room,spray,normal work with forecast check,0.308526,0.248526,0.634,0.648,False,True,True,True
119,8,2,cinder_garden,Wren,ember bed,heat,normal work with forecast check,0.29325,0.23325,0.618,0.632,False,True,True,True
120,8,2,lichen_bridge,Kio,signal post,rain,normal work with forecast check,0.298186,0.238186,0.592,0.606,False,True,True,True
121,8,2,orchid_engine,Cai,gear wash,clear,normal work with forecast check,0.296097,0.236097,0.664,0.678,False,True,True,True
122,8,2,moss_ward,Milo,moss lane,clear,normal work with forecast check,0.296071,0.236071,0.664,0.678,False,True,True,True
123,8,2,glass_harbor,Sera,salt steps,spray,normal work with forecast check,0.270536,0.210536,0.6,0.614,False,True,True,True
124,8,2,cinder_garden,Juno,seed shelf,heat,normal work with forecast check,0.308692,0.248692,0.602,0.616,False,True,True,True
125,8,2,lichen_bridge,Luma,rope bridge,rain,normal work with forecast check,0.307959,0.247959,0.618,0.632,False,True,True,True
126,8,2,orchid_engine,Dax,orchid bay,clear,normal work with forecast check,0.307241,0.247241,0.642,0.656,False,True,True,True
127,8,2,moss_ward,Tala,tool nook,clear,normal work with forecast check,0.279232,0.219232,0.618,0.632,False,True,True,True
128,9,2,cinder_garden,Juno,ember bed,dry gale,delay exposed work and use shelter route,0.537243,0.337243,0.616,0.598,True,True,True,True
129,9,2,lichen_bridge,Luma,signal post,crosswind,normal work with forecast check,0.296552,0.236552,0.632,0.646,False,True,True,True
130,9,2,orchid_engine,Dax,gear wash,steam leak,short weather-bounded work shift,0.535798,0.405798,0.656,0.662,True,False,True,True
131,9,2,moss_ward,Tala,moss lane,cold rain,delay exposed work and use shelter route,0.509429,0.309429,0.632,0.614,True,True,True,True
132,9,2,glass_harbor,Nia,salt steps,wind,normal work with forecast check,0.296395,0.236395,0.6,0.614,False,True,True,True
133,9,2,cinder_garden,Pax,seed shelf,dry gale,short weather-bounded work shift,0.539327,0.409327,0.592,0.598,True,True,True,True
134,9,2,lichen_bridge,Rin,rope bridge,crosswind,normal work with forecast check,0.297092,0.237092,0.64,0.654,False,True,True,True
135,9,2,orchid_engine,Eli,orchid bay,steam leak,short weather-bounded work shift,0.523806,0.393806,0.656,0.662,True,False,True,True
136,9,2,moss_ward,Ari,tool nook,cold rain,short weather-bounded work shift,0.540198,0.410198,0.67,0.676,True,True,True,True
137,9,2,glass_harbor,Oren,lamp pier,wind,normal work with forecast check,0.30026,0.24026,0.662,0.676,False,True,True,True
138,9,2,cinder_garden,Vale,ash path,dry gale,short weather-bounded work shift,0.541643,0.411643,0.654,0.66,True,True,True,True
139,9,2,lichen_bridge,Sol,lichen wall,crosswind,normal work with forecast check,0.273825,0.213825,0.662,0.676,False,True,True,True
140,9,2,orchid_engine,Bea,engine ring,steam leak,delay exposed work and use shelter route,0.551474,0.351474,0.632,0.614,True,True,True,True
141,9,2,moss_ward,Fay,rain gate,cold rain,short weather-bounded work shift,0.551482,0.421482,0.656,0.662,True,True,True,True
142,9,2,glass_harbor,Puck,net room,wind,normal work with forecast check,0.311486,0.251486,0.648,0.662,False,True,True,True
143,9,2,cinder_garden,Wren,ember bed,dry gale,delay exposed work and use shelter route,0.521815,0.321815,0.632,0.614,True,True,True,True
144,10,2,orchid_engine,Bea,orchid bay,engine heat,normal work with forecast check,0.299992,0.239992,0.614,0.628,False,True,True,True
145,10,2,moss_ward,Fay,tool nook,rain,normal work with forecast check,0.300035,0.240035,0.662,0.676,False,True,True,True
146,10,2,glass_harbor,Puck,lamp pier,clear,normal work with forecast check,0.300015,0.240015,0.662,0.676,False,True,True,True
147,10,2,cinder_garden,Wren,ash path,cold night,normal work with forecast check,0.271325,0.211325,0.614,0.628,False,True,True,True
148,10,2,lichen_bridge,Kio,lichen wall,hail,short weather-bounded work shift,0.541866,0.411866,0.606,0.612,True,True,True,True
149,10,2,orchid_engine,Cai,engine ring,engine heat,normal work with forecast check,0.299057,0.239057,0.678,0.692,False,True,True,True
150,10,2,moss_ward,Milo,rain gate,rain,normal work with forecast check,0.299031,0.239031,0.678,0.692,False,True,True,True
151,10,2,glass_harbor,Sera,net room,clear,normal work with forecast check,0.273496,0.213496,0.614,0.628,False,True,True,True
152,10,2,cinder_garden,Juno,ember bed,cold night,normal work with forecast check,0.300203,0.240203,0.598,0.612,False,True,True,True
153,10,2,lichen_bridge,Luma,signal post,hail,delay exposed work and use shelter route,0.540232,0.340232,0.646,0.628,True,True,True,True
154,10,2,orchid_engine,Dax,gear wash,engine heat,normal work with forecast check,0.298758,0.238758,0.662,0.676,False,True,True,True
155,10,2,moss_ward,Tala,moss lane,rain,normal work with forecast check,0.272389,0.212389,0.614,0.628,False,True,True,True
156,10,2,glass_harbor,Nia,salt steps,clear,normal work with forecast check,0.299355,0.239355,0.614,0.628,False,True,True,True
157,10,2,cinder_garden,Pax,seed shelf,cold night,normal work with forecast check,0.302287,0.242287,0.598,0.612,False,True,True,True
158,10,2,lichen_bridge,Rin,rope bridge,hail,short weather-bounded work shift,0.540772,0.410772,0.654,0.66,True,True,True,True
159,10,2,orchid_engine,Eli,orchid bay,engine heat,normal work with forecast check,0.27315,0.21315,0.662,0.676,False,True,True,True
160,11,2,glass_harbor,Nia,net room,sleet,delay exposed work and use shelter route,0.527862,0.327862,0.628,0.61,True,True,True,True
161,11,2,cinder_garden,Pax,ember bed,clear,normal work with forecast check,0.290846,0.230846,0.612,0.626,False,True,True,True
162,11,2,lichen_bridge,Rin,signal post,cold fog,short weather-bounded work shift,0.529198,0.399198,0.66,0.666,True,True,True,True
163,11,2,orchid_engine,Eli,gear wash,drizzle,normal work with forecast check,0.266423,0.206423,0.676,0.69,False,True,True,True
164,11,2,moss_ward,Ari,moss lane,mist,normal work with forecast check,0.303158,0.243158,0.676,0.69,False,True,True,True
165,11,2,glass_harbor,Oren,salt steps,sleet,short weather-bounded work shift,0.54394,0.41394,0.676,0.682,True,False,True,True
166,11,2,cinder_garden,Vale,seed shelf,clear,normal work with forecast check,0.304603,0.244603,0.66,0.674,False,True,True,True
167,11,2,lichen_bridge,Sol,rope bridge,cold fog,short weather-bounded work shift,0.517505,0.387505,0.676,0.682,True,True,True,True
168,11,2,orchid_engine,Bea,orchid bay,drizzle,normal work with forecast check,0.302952,0.242952,0.628,0.642,False,True,True,True
169,11,2,moss_ward,Fay,tool nook,mist,normal work with forecast check,0.302995,0.242995,0.676,0.69,False,True,True,True
170,11,2,glass_harbor,Puck,lamp pier,sleet,short weather-bounded work shift,0.543695,0.413695,0.676,0.682,True,False,True,True
171,11,2,cinder_garden,Wren,ash path,clear,normal work with forecast check,0.274285,0.214285,0.628,0.642,False,True,True,True
172,11,2,lichen_bridge,Kio,lichen wall,cold fog,delay exposed work and use shelter route,0.545546,0.345546,0.612,0.594,True,True,True,True
173,11,2,orchid_engine,Cai,engine ring,drizzle,normal work with forecast check,0.302017,0.242017,0.692,0.706,False,True,True,True
174,11,2,moss_ward,Milo,rain gate,mist,normal work with forecast check,0.301991,0.241991,0.692,0.706,False,True,True,True
175,11,2,glass_harbor,Sera,net room,sleet,delay exposed work and use shelter route,0.505222,0.305222,0.628,0.61,True,True,True,True
176,12,2,lichen_bridge,Kio,rope bridge,clear,normal work with forecast check,0.293951,0.233951,0.594,0.608,False,True,True,True
177,12,2,orchid_engine,Cai,orchid bay,cold draft,normal work with forecast check,0.290536,0.230536,0.706,0.72,False,True,True,True
178,12,2,moss_ward,Milo,tool nook,wind,normal work with forecast check,0.2905,0.2305,0.706,0.72,False,True,True,True
179,12,2,glass_harbor,Sera,lamp pier,fog,normal work with forecast check,0.26,0.2,0.61,0.624,False,True,True,True
180,12,2,cinder_garden,Juno,ash path,dust wind,short weather-bounded work shift,0.543883,0.413883,0.612,0.618,True,False,True,True
181,12,2,lichen_bridge,Luma,lichen wall,clear,normal work with forecast check,0.303192,0.243192,0.628,0.642,False,True,True,True
182,12,2,orchid_engine,Dax,engine ring,cold draft,normal work with forecast check,0.301718,0.241718,0.676,0.69,False,True,True,True
183,12,2,moss_ward,Tala,rain gate,wind,normal work with forecast check,0.275349,0.215349,0.628,0.642,False,True,True,True
184,12,2,glass_harbor,Nia,net room,fog,normal work with forecast check,0.290822,0.230822,0.61,0.624,False,True,True,True
185,12,2,cinder_garden,Pax,ember bed,dust wind,delay exposed work and use shelter route,0.534526,0.334526,0.626,0.608,True,True,True,True
186,12,2,lichen_bridge,Rin,signal post,clear,normal work with forecast check,0.292158,0.232158,0.666,0.68,False,True,True,True
187,12,2,orchid_engine,Eli,gear wash,cold draft,normal work with forecast check,0.269383,0.209383,0.69,0.704,False,True,True,True
188,12,2,moss_ward,Ari,moss lane,wind,normal work with forecast check,0.306118,0.246118,0.69,0.704,False,True,True,True
189,12,2,glass_harbor,Oren,salt steps,fog,normal work with forecast check,0.3069,0.2469,0.682,0.696,False,True,True,True
190,12,2,cinder_garden,Vale,seed shelf,dust wind,short weather-bounded work shift,0.548283,0.418283,0.674,0.68,True,False,True,True
191,12,2,lichen_bridge,Sol,rope bridge,clear,normal work with forecast check,0.269204,0.209204,0.682,0.696,False,True,True,True
192,13,2,moss_ward,Ari,rain gate,clear,normal work with forecast check,0.29457,0.23457,0.704,0.718,False,True,True,True
193,13,2,glass_harbor,Oren,net room,spray,normal work with forecast check,0.29539,0.23539,0.696,0.71,False,True,True,True
194,13,2,cinder_garden,Vale,ember bed,heat,normal work with forecast check,0.296689,0.236689,0.68,0.694,False,True,True,True
195,13,2,lichen_bridge,Sol,signal post,rain,normal work with forecast check,0.262447,0.202447,0.696,0.71,False,True,True,True
196,13,2,orchid_engine,Bea,gear wash,clear,normal work with forecast check,0.305912,0.245912,0.642,0.656,False,True,True,True
197,13,2,moss_ward,Fay,moss lane,clear,normal work with forecast check,0.305955,0.245955,0.69,0.704,False,True,True,True
198,13,2,glass_harbor,Puck,salt steps,spray,normal work with forecast check,0.306655,0.246655,0.682,0.696,False,True,True,True
199,13,2,cinder_garden,Wren,seed shelf,heat,normal work with forecast check,0.277245,0.217245,0.642,0.656,False,True,True,True
200,13,2,lichen_bridge,Kio,rope bridge,rain,normal work with forecast check,0.296911,0.236911,0.608,0.622,False,True,True,True
201,13,2,orchid_engine,Cai,orchid bay,clear,normal work with forecast check,0.293496,0.233496,0.72,0.734,False,True,True,True
202,13,2,moss_ward,Milo,tool nook,clear,normal work with forecast check,0.29346,0.23346,0.72,0.734,False,True,True,True
203,13,2,glass_harbor,Sera,lamp pier,spray,normal work with forecast check,0.26296,0.20296,0.624,0.638,False,True,True,True
204,13,2,cinder_garden,Juno,ash path,heat,normal work with forecast check,0.306843,0.246843,0.618,0.632,False,True,True,True
205,13,2,lichen_bridge,Luma,lichen wall,rain,normal work with forecast check,0.306152,0.246152,0.642,0.656,False,True,True,True
206,13,2,orchid_engine,Dax,engine ring,clear,normal work with forecast check,0.304678,0.244678,0.69,0.704,False,True,True,True
207,13,2,moss_ward,Tala,rain gate,clear,normal work with forecast check,0.267061,0.207061,0.642,0.656,False,True,True,True
208,14,2,cinder_garden,Juno,seed shelf,dry gale,delay exposed work and use shelter route,0.535249,0.335249,0.632,0.614,True,True,True,True
209,14,2,lichen_bridge,Luma,rope bridge,crosswind,normal work with forecast check,0.294665,0.234665,0.656,0.67,False,True,True,True
210,14,2,orchid_engine,Dax,orchid bay,steam leak,short weather-bounded work shift,0.53313,0.40313,0.704,0.71,True,False,True,True
211,14,2,moss_ward,Tala,tool nook,cold rain,delay exposed work and use shelter route,0.500311,0.300311,0.656,0.638,True,True,True,True
212,14,2,glass_harbor,Nia,lamp pier,wind,normal work with forecast check,0.293782,0.233782,0.624,0.638,False,True,True,True
213,14,2,cinder_garden,Pax,ash path,dry gale,short weather-bounded work shift,0.538206,0.408206,0.608,0.614,True,True,True,True
214,14,2,lichen_bridge,Rin,lichen wall,crosswind,normal work with forecast check,0.295118,0.235118,0.68,0.694,False,True,True,True
215,14,2,orchid_engine,Eli,engine ring,steam leak,short weather-bounded work shift,0.513063,0.383063,0.704,0.71,True,False,True,True
216,14,2,moss_ward,Ari,rain gate,cold rain,short weather-bounded work shift,0.53825,0.40825,0.718,0.724,True,True,True,True
217,14,2,glass_harbor,Oren,net room,wind,normal work with forecast check,0.29835,0.23835,0.71,0.724,False,True,True,True
218,14,2,cinder_garden,Vale,ember bed,dry gale,short weather-bounded work shift,0.540369,0.410369,0.694,0.7,True,True,True,True
219,14,2,lichen_bridge,Sol,signal post,crosswind,normal work with forecast check,0.265407,0.205407,0.71,0.724,False,True,True,True
220,14,2,orchid_engine,Bea,gear wash,steam leak,delay exposed work and use shelter route,0.549592,0.349592,0.656,0.638,True,True,True,True
221,14,2,moss_ward,Fay,moss lane,cold rain,short weather-bounded work shift,0.549635,0.419635,0.704,0.71,True,True,True,True
222,14,2,glass_harbor,Puck,salt steps,wind,normal work with forecast check,0.309615,0.249615,0.696,0.71,False,True,True,True
223,14,2,cinder_garden,Wren,seed shelf,dry gale,delay exposed work and use shelter route,0.508938,0.308938,0.656,0.638,True,True,True,True
