tick,day,scene_id,room_width,room_depth,negotiation_ring_x,negotiation_ring_y,ceremony_table_x,ceremony_table_y,obstacle_count,navigable_cell_count,geometry_valid
79,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
80,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
81,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
82,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
83,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
84,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
85,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
86,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
87,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
88,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
89,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
90,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
91,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
92,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
93,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
94,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,144,0
95,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
96,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
97,7,v20-scene-d07,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
98,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
99,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
100,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
101,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
102,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
103,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
104,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
105,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
106,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
107,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
108,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,147,1
109,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
110,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
111,8,v20-scene-d08,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
112,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
113,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
114,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
115,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
116,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
117,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
118,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
119,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
120,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,148,1
121,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
122,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
123,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
124,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
125,9,v20-scene-d09,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
126,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
127,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,144,1
128,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
129,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
130,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
131,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
132,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
133,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
134,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
135,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
136,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
137,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
138,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,144,1
139,10,v20-scene-d10,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
140,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
141,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,147,0
142,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
143,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
144,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
145,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
146,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
147,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
148,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
149,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
150,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
151,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
152,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,147,1
153,11,v20-scene-d11,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
154,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
155,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
156,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
157,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
158,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
159,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
160,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
161,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
162,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
163,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
164,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,148,1
165,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
166,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
167,12,v20-scene-d12,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
168,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
169,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
170,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
171,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,144,1
172,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
173,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
174,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
175,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
176,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
177,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
178,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
179,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
180,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
181,13,v20-scene-d13,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
182,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
183,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
184,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
185,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,147,1
186,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
187,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
188,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,139,0
189,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
190,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
191,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
192,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
193,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
194,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
195,14,v20-scene-d14,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
196,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
197,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,148,1
198,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
199,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
200,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
201,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
202,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
203,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
204,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
205,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
206,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
207,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
208,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,148,1
209,15,v20-scene-d15,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
210,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
211,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
212,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
213,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
214,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
215,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,144,1
216,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
217,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
218,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
219,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
220,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
221,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
222,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
223,16,v20-scene-d16,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
224,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
225,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
226,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
227,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
228,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
229,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,147,1
230,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
231,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
232,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
233,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
234,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
235,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,142,0
236,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
237,17,v20-scene-d17,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
238,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
239,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
240,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
241,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,148,1
242,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
243,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
244,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
245,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
246,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
247,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
248,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
249,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
250,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
251,18,v20-scene-d18,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
252,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
253,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
254,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
255,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
256,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
257,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
258,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
259,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,144,1
260,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
261,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
262,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
263,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
264,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
265,19,v20-scene-d19,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
266,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
267,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
268,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
269,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
270,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
271,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
272,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
273,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,147,1
274,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
275,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
276,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
277,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
278,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
279,20,v20-scene-d20,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
280,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
281,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
282,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,145,0
283,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
284,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
285,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,148,1
286,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
287,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
288,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
289,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
290,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
291,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
292,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
293,21,v20-scene-d21,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
294,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
295,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
296,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
297,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
298,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
299,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
300,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
301,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
302,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
303,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,144,1
304,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
305,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
306,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
307,22,v20-scene-d22,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
308,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
309,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
310,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
311,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
312,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
313,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
314,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
315,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
316,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
317,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,147,1
318,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
319,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
320,23,v20-scene-d23,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
