tick,day,scene_id,avatar_x,avatar_y,avatar_z,agent,agent_x,agent_y,agent_z,distance_to_avatar,position_bound_to_negotiation,local_coordinates_valid
18,2,v20-scene-d02,4.682504,3.533904,0.18,Melo,5.47431,5.259545,0.48,1.898629,1,1
19,2,v20-scene-d02,5.024565,3.437456,0.1,Nari,4.789689,4.937218,0.62,1.518042,1,1
20,2,v20-scene-d02,5.170826,3.376082,0.12,Ori,4.600805,4.738863,0.44,1.477192,1,1
21,2,v20-scene-d02,5.58846,3.354447,0.14,Vonn,4.489146,4.072211,0.7,1.312889,1,1
22,2,v20-scene-d02,6.023329,3.175551,0.16,Sova,4.508334,4.022804,0.34,1.735813,1,1
23,2,v20-scene-d02,6.220572,3.240603,0.18,Keth,5.030714,3.504045,0.55,1.218673,1,1
24,2,v20-scene-d02,6.645226,3.348974,0.1,Melo,5.489567,3.336894,0.48,1.155722,1,1
25,2,v20-scene-d02,7.042861,3.49822,0.12,Nari,6.329819,3.303359,0.62,0.739189,1,1
26,2,v20-scene-d02,7.160172,3.484183,0.14,Ori,6.666406,3.379085,0.44,0.504827,1,1
27,2,v20-scene-d02,7.465548,3.70117,0.16,Vonn,7.39137,3.850493,0.7,0.166733,0,1
28,3,v20-scene-d03,7.597832,3.926577,0.1,Keth,7.549461,4.273105,0.55,0.349888,0,1
29,3,v20-scene-d03,7.743949,4.187756,0.12,Melo,7.474391,4.614683,0.48,0.504904,1,1
30,3,v20-scene-d03,7.817032,4.452589,0.14,Nari,7.007008,5.07541,0.62,1.021785,1,1
31,3,v20-scene-d03,7.577372,4.712079,0.16,Ori,6.71186,5.206066,0.44,0.996561,1,1
32,3,v20-scene-d03,7.508304,4.757453,0.18,Vonn,5.702958,5.301095,0.7,1.885423,1,1
33,3,v20-scene-d03,7.376072,4.980529,0.1,Sova,5.627297,5.290074,0.34,1.775959,1,1
34,3,v20-scene-d03,6.949563,5.174058,0.12,Keth,4.822484,4.963294,0.55,2.137495,1,1
35,3,v20-scene-d03,6.719937,5.332031,0.14,Melo,4.553754,4.66691,0.48,2.265995,1,1
36,3,v20-scene-d03,6.460162,5.249925,0.16,Nari,4.475611,4.115346,0.62,2.285982,1,1
37,3,v20-scene-d03,5.944467,5.324897,0.18,Ori,4.579724,3.891514,0.44,1.979169,1,1
38,3,v20-scene-d03,5.667747,5.355902,0.1,Vonn,5.272227,3.399426,0.7,1.996055,1,1
39,3,v20-scene-d03,5.404941,5.343734,0.12,Sova,5.341534,3.376615,0.34,1.968141,1,1
40,3,v20-scene-d03,4.930405,5.090998,0.14,Keth,6.279387,3.296707,0.55,2.244824,1,1
41,3,v20-scene-d03,4.737312,5.001996,0.16,Melo,6.771832,3.415454,0.48,2.579998,0,1
42,4,v20-scene-d04,4.36356,4.704998,0.1,Ori,7.35309,3.802455,0.44,3.122799,1,1
43,4,v20-scene-d04,4.313297,4.554843,0.12,Vonn,7.530092,4.462952,0.7,3.218107,1,1
44,4,v20-scene-d04,4.33367,4.392969,0.14,Sova,7.515804,4.513072,0.34,3.1844,1,1
45,4,v20-scene-d04,4.187176,4.228249,0.16,Keth,7.045549,5.052996,0.55,2.97498,1,1
46,4,v20-scene-d04,4.353249,3.869674,0.18,Melo,6.604101,5.239342,0.48,2.634829,1,1
47,4,v20-scene-d04,4.588285,3.72598,0.1,Nari,5.768911,5.3086,0.62,1.974478,1,1
48,4,v20-scene-d04,4.645791,3.605277,0.12,Ori,5.42558,5.247371,0.44,1.81784,1,1
49,4,v20-scene-d04,4.996658,3.514715,0.14,Vonn,4.655766,4.807834,0.7,1.337297,1,1
50,4,v20-scene-d04,5.389544,3.26018,0.16,Sova,4.618876,4.762988,0.34,1.688893,1,1
51,4,v20-scene-d04,5.571344,3.24605,0.18,Keth,4.46714,4.148732,0.55,1.426219,1,1
52,4,v20-scene-d04,6.007745,3.27501,0.1,Melo,4.631547,3.820996,0.48,1.480548,1,1
53,4,v20-scene-d04,6.443822,3.347942,0.12,Nari,5.213824,3.420941,0.62,1.232162,1,1
54,4,v20-scene-d04,6.624663,3.263885,0.14,Ori,5.539065,3.326145,0.44,1.087382,1,1
55,4,v20-scene-d04,7.015993,3.420077,0.16,Vonn,6.557692,3.348311,0.7,0.463886,0,1
56,5,v20-scene-d05,7.301015,3.580091,0.1,Keth,7.1098,3.587937,0.55,0.191376,0,1
57,5,v20-scene-d05,7.570901,3.812272,0.12,Melo,7.40712,3.872252,0.48,0.174419,0,1
58,5,v20-scene-d05,7.775002,4.063832,0.14,Nari,7.539356,4.41933,0.62,0.426507,0,1
59,5,v20-scene-d05,7.668119,4.326328,0.16,Ori,7.457479,4.647128,0.44,0.383773,0,1
60,5,v20-scene-d05,7.728028,4.390863,0.18,Vonn,6.814835,5.167684,0.7,1.198905,1,1
61,5,v20-scene-d05,7.715571,4.648452,0.1,Sova,6.747917,5.193399,0.34,1.11055,1,1
62,5,v20-scene-d05,7.39462,4.890402,0.12,Keth,5.819891,5.31309,0.55,1.630471,1,1
63,5,v20-scene-d05,7.251914,5.108673,0.14,Melo,5.316798,5.21557,0.48,1.938066,1,1
64,5,v20-scene-d05,7.056781,5.09622,0.16,Nari,4.690335,4.84555,0.62,2.379685,1,1
65,5,v20-scene-d05,6.580741,5.247282,0.18,Ori,4.535825,4.634703,0.44,2.134698,1,1
66,5,v20-scene-d05,6.317032,5.357626,0.1,Vonn,4.536504,3.964014,0.7,2.261069,1,1
67,5,v20-scene-d05,6.040046,5.424726,0.12,Sova,4.563851,3.9163,0.34,2.110569,1,1
68,5,v20-scene-d05,5.524733,5.247866,0.14,Keth,5.169935,3.438591,0.55,1.843735,1,1
69,5,v20-scene-d05,5.265973,5.22817,0.16,Melo,5.653988,3.30574,0.48,1.961197,1,1
70,6,v20-scene-d06,4.762354,5.012431,0.1,Ori,6.480024,3.330147,0.44,2.404261,1,1
71,6,v20-scene-d06,4.599435,4.904548,0.12,Vonn,7.29146,3.735969,0.7,2.934719,1,1
72,6,v20-scene-d06,4.49517,4.770301,0.14,Sova,7.332684,3.779149,0.34,3.005639,1,1
73,6,v20-scene-d06,4.217274,4.617405,0.16,Keth,7.544525,4.385654,0.55,3.335312,1,1
74,6,v20-scene-d06,4.250684,4.254358,0.18,Melo,7.412702,4.719706,0.48,3.196077,1,1
75,6,v20-scene-d06,4.357353,4.090081,0.1,Nari,6.870999,5.143725,0.62,2.725542,1,1
76,6,v20-scene-d06,4.296162,3.933548,0.12,Ori,6.555765,5.252178,0.44,2.616217,1,1
77,6,v20-scene-d06,4.542975,3.793409,0.14,Vonn,5.537093,5.27345,0.7,1.782917,1,1
78,6,v20-scene-d06,4.850805,3.477625,0.16,Sova,5.46374,5.257009,0.34,1.881993,0,1
79,6,v20-scene-d06,4.970111,3.39314,0.18,Keth,4.718563,4.873845,0.55,1.50192,1,1
80,6,v20-scene-d06,5.369197,3.345586,0.1,Melo,4.501112,4.559776,0.48,1.492591,1,1
81,6,v20-scene-d06,5.7947,3.339048,0.12,Nari,4.515826,4.005905,0.62,1.442296,1,1
82,6,v20-scene-d06,5.99215,3.175893,0.14,Ori,4.656795,3.790988,0.44,1.470209,1,1
83,6,v20-scene-d06,6.426579,3.256673,0.16,Vonn,5.427499,3.352126,0.7,1.003629,1,1
84,7,v20-scene-d07,6.814089,3.322383,0.1,Keth,6.080075,3.281362,0.55,0.735159,1,1
85,7,v20-scene-d07,7.181606,3.500487,0.12,Melo,6.591706,3.357247,0.48,0.607042,1,1
86,7,v20-scene-d07,7.49964,3.711026,0.14,Nari,7.253253,3.699805,0.62,0.246642,0,1
87,7,v20-scene-d07,7.518222,3.947277,0.16,Ori,7.42818,3.903628,0.44,0.100064,0,1
88,7,v20-scene-d07,7.709874,4.001441,0.18,Vonn,7.493477,4.572939,0.7,0.611095,1,1
89,7,v20-scene-d07,7.82992,4.264966,0.1,Sova,7.470881,4.621718,0.34,0.506143,1,1
90,7,v20-scene-d07,7.636683,4.528912,0.12,Keth,6.913059,5.124243,0.55,0.937044,1,1
91,7,v20-scene-d07,7.611554,4.784319,0.14,Melo,6.44309,5.277436,0.48,1.268256,1,1
92,7,v20-scene-d07,7.518937,4.822584,0.16,Nari,5.601388,5.285694,0.62,1.97268,1,1
93,7,v20-scene-d07,7.126059,5.035823,0.18,Ori,5.270404,5.199935,0.44,1.862898,1,1
94,7,v20-scene-d07,6.922675,5.217201,0.1,Vonn,4.578898,4.70724,0.7,2.398614,1,1
95,7,v20-scene-d07,6.68065,5.361214,0.12,Sova,4.549745,4.659992,0.34,2.243316,1,1
96,7,v20-scene-d07,6.173472,5.263928,0.14,Keth,4.501815,4.038472,0.55,2.072723,1,1
97,7,v20-scene-d07,5.895678,5.323133,0.16,Melo,4.720114,3.724658,0.48,1.984206,1,1
98,8,v20-scene-d08,5.320508,5.211468,0.1,Ori,5.351736,3.373494,0.44,1.838239,1,1
99,8,v20-scene-d08,5.078373,5.16759,0.12,Vonn,6.366179,3.308872,0.7,2.261256,1,1
100,8,v20-scene-d08,4.874834,5.086333,0.14,Sova,6.440996,3.322155,0.34,2.359065,1,1
101,8,v20-scene-d08,4.481765,4.973192,0.16,Keth,7.222302,3.672771,0.55,3.03342,1,1
102,8,v20-scene-d08,4.388927,4.635,0.18,Melo,7.470191,3.976919,0.48,3.150755,1,1
103,8,v20-scene-d08,4.363557,4.479638,0.1,Nari,7.509991,4.530255,0.62,3.146841,1,1
104,8,v20-scene-d08,4.170069,4.315706,0.12,Ori,7.390458,4.750726,0.44,3.249638,1,1
105,8,v20-scene-d08,4.289864,4.152164,0.14,Vonn,6.664541,5.221498,0.7,2.604336,1,1
106,8,v20-scene-d08,4.481276,3.797953,0.16,Sova,6.593724,5.242203,0.34,2.558964,1,1
107,8,v20-scene-d08,4.499639,3.661626,0.18,Keth,5.651305,5.293854,0.55,1.997624,1,1
108,8,v20-scene-d08,4.817485,3.550986,0.1,Melo,5.167611,5.160438,0.48,1.647096,1,1
109,8,v20-scene-d08,5.184852,3.472761,0.12,Nari,4.60694,4.747234,0.62,1.39938,1,1
110,8,v20-scene-d08,5.349706,3.232319,0.14,Ori,4.488686,4.526464,0.44,1.554402,1,1
111,8,v20-scene-d08,5.778443,3.233449,0.16,Vonn,4.601695,3.859911,0.7,1.333113,1,1
112,9,v20-scene-d09,6.204084,3.188927,0.1,Keth,5.007776,3.51638,0.55,1.240314,1,1
113,9,v20-scene-d09,6.629653,3.29532,0.12,Melo,5.461691,3.343489,0.48,1.168955,1,1
114,9,v20-scene-d09,7.028853,3.442739,0.14,Nari,6.300815,3.299393,0.62,0.742016,1,1
115,9,v20-scene-d09,7.148317,3.627106,0.16,Ori,6.63954,3.370873,0.44,0.569657,0,1
116,9,v20-scene-d09,7.456342,3.642793,0.18,Vonn,7.378062,3.833077,0.7,0.205757,0,1
117,9,v20-scene-d09,7.703378,3.882862,0.1,Sova,7.411802,3.878985,0.34,0.291602,0,1
118,9,v20-scene-d09,7.64243,4.139353,0.12,Keth,7.520769,4.497159,0.55,0.377924,0,1
119,9,v20-scene-d09,7.74935,4.403618,0.14,Melo,7.333797,4.819614,0.48,0.587994,1,1
120,9,v20-scene-d09,7.783011,4.466685,0.16,Nari,6.724376,5.20176,0.62,1.288815,1,1
121,9,v20-scene-d09,7.505353,4.719631,0.18,Ori,6.392898,5.286687,0.44,1.248643,1,1
122,9,v20-scene-d09,7.401303,4.953956,0.1,Vonn,5.37687,5.233944,0.7,2.043703,1,1
123,9,v20-scene-d09,7.23857,5.161942,0.12,Sova,5.306717,5.212282,0.34,1.932509,1,1
124,9,v20-scene-d09,6.787318,5.136972,0.14,Keth,4.630256,4.777404,0.55,2.186825,1,1
125,9,v20-scene-d09,6.539745,5.273811,0.16,Melo,4.466734,4.449476,0.48,2.230897,1,1
126,10,v20-scene-d10,5.961187,5.274709,0.1,Ori,4.568121,3.90945,0.44,1.950529,1,1
127,10,v20-scene-d10,5.684181,5.30776,0.12,Vonn,5.246206,3.408743,0.7,1.948868,1,1
128,10,v20-scene-d10,5.4204,5.297561,0.14,Sova,5.314838,3.385065,0.34,1.915407,1,1
129,10,v20-scene-d10,4.944243,5.246632,0.16,Keth,6.2502,3.293376,0.55,2.349624,1,1
130,10,v20-scene-d10,4.748948,4.959202,0.18,Melo,6.746003,3.405909,0.48,2.530009,1,1
131,10,v20-scene-d10,4.606045,4.841025,0.1,Nari,7.346145,3.794362,0.62,2.933198,1,1
132,10,v20-scene-d10,4.284868,4.699143,0.12,Ori,7.485867,4.009631,0.44,3.274419,1,1
133,10,v20-scene-d10,4.272167,4.541594,0.14,Vonn,7.438663,4.6796,0.7,3.169502,1,1
134,10,v20-scene-d10,4.331824,4.177067,0.16,Sova,7.408035,4.726443,0.34,3.124882,1,1
135,10,v20-scene-d10,4.224692,4.014548,0.18,Keth,6.769443,5.185447,0.55,2.801207,1,1
136,10,v20-scene-d10,4.428556,3.862936,0.1,Melo,6.276679,5.303618,0.48,2.343315,1,1
137,10,v20-scene-d10,4.698229,3.730675,0.12,Nari,5.438722,5.250776,0.62,1.690869,1,1
138,10,v20-scene-d10,4.785767,3.425396,0.14,Ori,5.124119,5.141534,0.44,1.749175,1,1
139,10,v20-scene-d10,5.160805,3.353604,0.16,Vonn,4.519348,4.601684,0.7,1.403271,1,1
140,11,v20-scene-d11,5.554972,3.198096,0.1,Keth,4.463027,4.168037,0.55,1.460524,1,1
141,11,v20-scene-d11,5.991022,3.225014,0.12,Melo,4.617886,3.838293,0.48,1.503866,1,1
142,11,v20-scene-d11,6.427448,3.295903,0.14,Nari,5.188439,3.430989,0.62,1.246351,1,1
143,11,v20-scene-d11,6.609323,3.409889,0.16,Ori,5.510867,3.332119,0.44,1.101206,1,1
144,11,v20-scene-d11,7.002331,3.364291,0.18,Vonn,6.529953,3.341471,0.7,0.472929,0,1
145,11,v20-scene-d11,7.353364,3.554739,0.1,Sova,6.602089,3.360099,0.34,0.776079,1,1
146,11,v20-scene-d11,7.41107,3.775349,0.12,Keth,7.319909,3.765249,0.55,0.091719,0,1
147,11,v20-scene-d11,7.646333,4.018978,0.14,Melo,7.515347,4.085523,0.48,0.14692,0,1
148,11,v20-scene-d11,7.812651,4.077516,0.16,Nari,7.462225,4.638374,0.62,0.661332,1,1
149,11,v20-scene-d11,7.666409,4.342231,0.18,Ori,7.306494,4.848832,0.44,0.621437,1,1
150,11,v20-scene-d11,7.687031,4.60413,0.1,Vonn,6.50615,5.264084,0.7,1.352782,1,1
151,11,v20-scene-d11,7.637003,4.85434,0.12,Sova,6.432296,5.279526,0.34,1.277538,1,1
152,11,v20-scene-d11,7.281771,4.884476,0.14,Keth,5.486968,5.262508,0.55,1.834183,0,1
153,11,v20-scene-d11,7.109511,5.086994,0.16,Melo,5.028567,5.094821,0.48,2.080959,1,1
154,12,v20-scene-d12,6.596196,5.193449,0.1,Ori,4.545812,4.653055,0.44,2.120401,1,1
155,12,v20-scene-d12,6.333463,5.305761,0.12,Vonn,4.527014,3.98248,0.7,2.23927,1,1
156,12,v20-scene-d12,6.056766,5.374907,0.14,Sova,4.55297,3.934431,0.34,2.082396,1,1
157,12,v20-scene-d12,5.541041,5.400086,0.16,Keth,5.145071,3.449187,0.55,1.990678,1,1
158,12,v20-scene-d12,5.281186,5.182335,0.18,Melo,5.625178,3.310273,0.48,1.903404,1,1
159,12,v20-scene-d12,5.051434,5.124493,0.1,Nari,6.466575,3.327309,0.62,2.287465,1,1
160,12,v20-scene-d12,4.624757,5.031077,0.12,Ori,6.791264,3.42292,0.44,2.698133,1,1
161,12,v20-scene-d12,4.492321,4.908091,0.14,Vonn,7.447871,3.935875,0.7,3.111347,1,1
162,12,v20-scene-d12,4.423024,4.56278,0.16,Sova,7.473716,3.98395,0.34,3.105119,1,1
163,12,v20-scene-d12,4.183118,4.403324,0.18,Keth,7.478481,4.606262,0.55,3.301606,1,1
164,12,v20-scene-d12,4.255949,4.238493,0.1,Melo,7.23864,4.913191,0.48,3.058049,1,1
165,12,v20-scene-d12,4.401818,4.077286,0.12,Nari,6.568926,5.248806,0.62,2.463497,1,1
166,12,v20-scene-d12,4.377965,3.728546,0.14,Ori,6.225243,5.309173,0.44,2.431217,1,1
167,12,v20-scene-d12,4.65869,3.600597,0.16,Vonn,5.22424,5.183057,0.7,1.680484,1,1
168,13,v20-scene-d13,4.95611,3.348627,0.1,Keth,4.735461,4.889856,0.55,1.556943,1,1
169,13,v20-scene-d13,5.353628,3.299247,0.12,Melo,4.508929,4.578579,0.48,1.533038,1,1
170,13,v20-scene-d13,5.778214,3.290731,0.14,Nari,4.507556,4.024624,0.62,1.467369,1,1
171,13,v20-scene-d13,5.975439,3.325527,0.16,Ori,4.642258,3.807973,0.44,1.417789,1,1
172,13,v20-scene-d13,6.410341,3.204273,0.18,Vonn,5.400076,3.359499,0.7,1.022121,1,1
173,13,v20-scene-d13,6.82806,3.325765,0.1,Sova,5.472256,3.340943,0.34,1.355889,1,1
174,13,v20-scene-d13,6.974451,3.48701,0.12,Keth,6.417275,3.317657,0.55,0.582345,1,1
175,13,v20-scene-d13,7.316684,3.683347,0.14,Melo,6.89121,3.465465,0.48,0.478017,0,1
176,13,v20-scene-d13,7.603777,3.70865,0.16,Nari,7.422633,3.895081,0.62,0.259942,0,1
177,13,v20-scene-d13,7.587057,3.955577,0.18,Ori,7.525448,4.119173,0.44,0.174812,0,1
178,13,v20-scene-d13,7.740524,4.21588,0.1,Vonn,7.366318,4.781636,0.7,0.678314,1,1
179,13,v20-scene-d13,7.821101,4.480753,0.12,Sova,7.328031,4.825972,0.34,0.601909,1,1
180,13,v20-scene-d13,7.588765,4.541197,0.14,Keth,6.616451,5.235861,0.55,1.19497,1,1
181,13,v20-scene-d13,7.526544,4.7884,0.16,Melo,6.106896,5.317571,0.48,1.515065,1,1
182,14,v20-scene-d14,7.138121,4.978873,0.1,Ori,5.296672,5.208947,0.44,1.855766,1,1
183,14,v20-scene-d14,6.936842,5.16187,0.12,Vonn,4.590984,4.725038,0.7,2.386184,1,1
184,14,v20-scene-d14,6.69633,5.307726,0.14,Sova,4.560464,4.678165,0.34,2.226717,1,1
185,14,v20-scene-d14,6.190006,5.412427,0.16,Keth,4.494494,4.057361,0.55,2.170476,1,1
186,14,v20-scene-d14,5.912376,5.273683,0.18,Melo,4.703639,3.740859,0.48,1.952074,1,1
187,14,v20-scene-d14,5.638415,5.291022,0.1,Nari,5.338935,3.37742,0.62,1.936895,1,1
188,14,v20-scene-d14,5.142947,5.265812,0.12,Ori,5.675958,3.302539,0.44,2.034341,1,1
189,14,v20-scene-d14,4.92002,5.201203,0.14,Vonn,6.687269,3.385749,0.7,2.533583,0,1
190,14,v20-scene-d14,4.742321,4.901994,0.16,Sova,6.755846,3.409496,0.34,2.506359,1,1
191,14,v20-scene-d14,4.380641,4.774434,0.18,Keth,7.401433,3.864242,0.55,3.154938,1,1
192,14,v20-scene-d14,4.323426,4.625959,0.1,Melo,7.542037,4.19674,0.48,3.247104,1,1
193,14,v20-scene-d14,4.336423,4.46488,0.12,Nari,7.396642,4.74237,0.62,3.072774,1,1
194,14,v20-scene-d14,4.182438,4.100037,0.14,Ori,7.20661,4.940251,0.44,3.138722,1,1
195,14,v20-scene-d14,4.341218,3.940427,0.16,Vonn,6.341591,5.294922,0.7,2.415812,1,1
196,15,v20-scene-d15,4.489936,3.619798,0.1,Keth,5.680231,5.298058,0.55,2.057513,1,1
197,15,v20-scene-d15,4.805212,3.507802,0.12,Melo,5.192751,5.170749,0.48,1.707507,1,1
198,15,v20-scene-d15,5.170523,3.427934,0.14,Nari,4.620182,4.764672,0.62,1.445595,1,1
199,15,v20-scene-d15,5.333922,3.385634,0.16,Ori,4.495539,4.54543,0.44,1.431088,1,1
200,15,v20-scene-d15,5.761865,3.184767,0.18,Vonn,4.58917,3.877577,0.7,1.362057,1,1
201,15,v20-scene-d15,6.19978,3.227462,0.1,Sova,4.623016,3.831703,0.34,1.688577,1,1
202,15,v20-scene-d15,6.392679,3.314027,0.12,Keth,5.292783,3.392361,0.55,1.102682,1,1
203,15,v20-scene-d15,6.805783,3.442929,0.14,Melo,5.793231,3.289116,0.48,1.024168,1,1
204,15,v20-scene-d15,7.185143,3.410864,0.16,Nari,6.626649,3.367076,0.62,0.560208,1,1
205,15,v20-scene-d15,7.278221,3.612894,0.18,Ori,6.933346,3.485656,0.44,0.367598,0,1
206,15,v20-scene-d15,7.55442,3.842651,0.1,Vonn,7.500037,4.04311,0.7,0.207705,0,1
207,15,v20-scene-d15,7.765522,4.092608,0.12,Sova,7.517672,4.092767,0.34,0.24785,0,1
208,15,v20-scene-d15,7.666039,4.154391,0.14,Keth,7.418177,4.711632,0.55,0.60988,1,1
209,15,v20-scene-d15,7.733434,4.419131,0.16,Melo,7.12839,4.999296,0.48,0.838254,1,1
210,16,v20-scene-d16,7.512362,4.660521,0.1,Ori,6.42148,5.281565,0.44,1.255277,1,1
211,16,v20-scene-d16,7.411256,4.895893,0.12,Vonn,5.404106,5.24161,0.7,2.036706,1,1
212,16,v20-scene-d16,7.25105,5.105263,0.14,Sova,5.333337,5.220834,0.34,1.921192,1,1
213,16,v20-scene-d16,6.801803,5.281958,0.16,Keth,4.644371,4.794543,0.55,2.211806,1,1
214,16,v20-scene-d16,6.555628,5.220671,0.18,Melo,4.471355,4.468732,0.48,2.215763,1,1
215,16,v20-scene-d16,6.286184,5.317687,0.1,Nari,4.562772,3.918052,0.62,2.220164,1,1
216,16,v20-scene-d16,5.768105,5.371037,0.12,Ori,4.732941,3.712492,0.44,1.95508,1,1
217,16,v20-scene-d16,5.496387,5.380582,0.14,Vonn,5.561257,3.321716,0.7,2.059888,1,1
218,16,v20-scene-d16,5.24576,5.148015,0.16,Sova,5.636104,3.308508,0.34,1.880467,1,1
219,16,v20-scene-d16,4.790069,5.076793,0.18,Keth,6.579266,3.353908,0.55,2.48386,1,1
220,16,v20-scene-d16,4.621698,4.971994,0.1,Melo,7.025557,3.535191,0.48,2.800525,1,1
221,16,v20-scene-d16,4.511047,4.840101,0.12,Nari,7.481785,4.000734,0.62,3.087041,1,1
222,16,v20-scene-d16,4.2261,4.48873,0.14,Ori,7.546441,4.230918,0.44,3.330335,1,1
223,16,v20-scene-d16,4.252091,4.326314,0.16,Vonn,7.277324,4.877803,0.7,3.075089,1,1
224,17,v20-scene-d17,4.220621,3.97428,0.1,Keth,6.795017,5.175609,0.55,2.840899,1,1
225,17,v20-scene-d17,4.421269,3.821967,0.12,Melo,6.305774,5.299955,0.48,2.394955,1,1
226,17,v20-scene-d17,4.68803,3.688627,0.14,Nari,5.466435,5.257661,0.62,1.751509,0,1
227,17,v20-scene-d17,4.773084,3.581936,0.16,Ori,5.148717,5.152395,0.44,1.614757,1,1
228,17,v20-scene-d17,5.146169,3.308457,0.18,Vonn,4.528379,4.62025,0.7,1.449988,1,1
229,17,v20-scene-d17,5.555011,3.273362,0.1,Sova,4.505896,4.571449,0.34,1.669033,1,1
230,17,v20-scene-d17,5.745838,3.280213,0.12,Keth,4.544306,3.949643,0.55,1.375433,1,1
231,17,v20-scene-d17,6.183959,3.330817,0.14,Melo,4.805188,3.650238,0.48,1.415288,1,1
232,17,v20-scene-d17,6.614376,3.22515,0.16,Nari,5.497486,3.335093,0.62,1.122288,1,1
233,17,v20-scene-d17,6.782414,3.361355,0.18,Ori,5.844998,3.285113,0.44,0.940511,1,1
234,17,v20-scene-d17,7.154336,3.535821,0.1,Vonn,6.83621,3.441168,0.7,0.331909,0,1
235,17,v20-scene-d17,7.477917,3.743337,0.12,Sova,6.900392,3.469744,0.34,0.639053,1,1
236,17,v20-scene-d17,7.502956,3.777305,0.14,Keth,7.46588,3.968545,0.55,0.194801,0,1
237,17,v20-scene-d17,7.701703,4.030022,0.16,Melo,7.549937,4.309216,0.48,0.317777,0,1
238,18,v20-scene-d18,7.6674,4.282215,0.1,Ori,7.322194,4.832302,0.44,0.649433,1,1
239,18,v20-scene-d18,7.691399,4.544445,0.12,Vonn,6.534055,5.257543,0.7,1.359395,1,1
240,18,v20-scene-d18,7.644566,4.795391,0.14,Sova,6.460664,5.273911,0.34,1.276952,1,1
241,18,v20-scene-d18,7.292212,5.026638,0.16,Keth,5.515014,5.268784,0.55,1.793619,1,1
242,18,v20-scene-d18,7.122392,5.030596,0.18,Melo,5.051827,5.106892,0.48,2.07197,1,1
243,18,v20-scene-d18,6.905569,5.200817,0.1,Nari,4.550761,4.66176,0.62,2.41572,1,1
244,18,v20-scene-d18,6.414173,5.332266,0.12,Ori,4.463598,4.434813,0.44,2.147129,1,1
245,18,v20-scene-d18,6.142081,5.421534,0.14,Vonn,4.668518,3.777821,0.7,2.207528,1,1
246,18,v20-scene-d18,5.86404,5.266974,0.16,Sova,4.709841,3.734681,0.34,1.918358,1,1
247,18,v20-scene-d18,5.355042,5.268779,0.18,Keth,5.449113,3.346596,0.55,1.924484,1,1
248,18,v20-scene-d18,5.109704,5.228966,0.1,Melo,5.963805,3.280278,0.48,2.127645,1,1
249,18,v20-scene-d18,4.90165,5.151297,0.12,Nari,6.779087,3.418212,0.62,2.555064,1,1
250,18,v20-scene-d18,4.502942,4.841118,0.14,Ori,7.064054,3.558315,0.44,2.864416,1,1
251,18,v20-scene-d18,4.403579,4.705137,0.16,Vonn,7.533924,4.153475,0.7,3.178583,1,1
252,19,v20-scene-d19,4.185241,4.363276,0.1,Keth,7.487105,4.587612,0.55,3.309476,1,1
253,19,v20-scene-d19,4.254651,4.198497,0.12,Melo,7.256222,4.897502,0.48,3.081888,1,1
254,19,v20-scene-d19,4.397153,4.036921,0.14,Nari,6.596376,5.241477,0.62,2.507496,1,1
