tick,day,ceremony_id,object_name,from_x,from_y,to_x,to_y,arc_height,motion_duration_ms,object_motion_traceable,object_owner_preserved
28,3,v20-ceremony-d03-t00,path cord,6.529129,3.701768,7.084731,4.036552,0.28365,420,1,1
29,3,v20-ceremony-d03-t01,tally beads,6.545097,3.847964,6.957196,4.207342,0.215032,455,1,1
30,3,v20-ceremony-d03-t02,ink ledger,6.47071,3.986208,6.853504,4.437705,0.307237,490,1,1
31,3,v20-ceremony-d03-t03,sap hook,6.3183,4.093588,6.52593,4.503033,0.238242,525,0,1
32,3,v20-ceremony-d03-t04,listening shell,6.113129,4.152302,6.126479,4.550548,0.326224,560,1,1
33,3,v20-ceremony-d03-t05,ember bowl,5.889205,4.15262,6.053649,4.545037,0.329858,595,1,1
34,3,v20-ceremony-d03-t06,path cord,5.683647,4.094488,5.721242,4.381647,0.328544,630,1,1
35,3,v20-ceremony-d03-t07,tally beads,5.530527,3.987542,5.496877,4.233455,0.322498,420,1,1
36,3,v20-ceremony-d03-t08,ink ledger,5.455226,3.849509,5.587805,3.957673,0.232723,455,1,1
37,3,v20-ceremony-d03-t09,sap hook,5.470226,3.70327,5.459862,3.845757,0.300839,490,0,1
38,3,v20-ceremony-d03-t10,listening shell,5.57304,3.573065,5.911113,3.599713,0.288816,525,1,1
39,3,v20-ceremony-d03-t11,ember bowl,5.746627,3.480476,5.910767,3.588307,0.278646,560,1,1
40,3,v20-ceremony-d03-t12,path cord,5.962212,3.440851,6.449694,3.548354,0.192017,595,0,1
41,3,v20-ceremony-d03-t13,tally beads,6.184061,3.460757,6.605916,3.607727,0.270026,630,1,1
42,4,v20-ceremony-d04-t00,sap hook,6.437994,3.58226,6.846545,3.801227,0.275605,420,1,1
43,4,v20-ceremony-d04-t01,listening shell,6.534294,3.714582,7.040046,4.131476,0.204587,455,1,1
44,4,v20-ceremony-d04-t02,ember bowl,6.54203,3.861063,6.997902,4.156536,0.296124,490,1,1
45,4,v20-ceremony-d04-t03,path cord,6.459921,3.997422,6.832775,4.426498,0.308303,525,1,1
46,4,v20-ceremony-d04-t04,tally beads,6.301575,4.101057,6.522051,4.519671,0.319106,560,1,0
47,4,v20-ceremony-d04-t05,ink ledger,6.093241,4.154789,6.234456,4.5543,0.326742,595,1,1
48,4,v20-ceremony-d04-t06,sap hook,5.869452,4.149712,5.88279,4.523686,0.329945,630,1,1
49,4,v20-ceremony-d04-t07,listening shell,5.667302,4.086667,5.602883,4.303917,0.328185,420,1,1
50,4,v20-ceremony-d04-t08,ember bowl,5.520299,3.976105,5.549438,4.281494,0.241752,455,1,1
51,4,v20-ceremony-d04-t09,path cord,5.452811,3.836351,5.54357,3.974366,0.311714,490,1,1
52,4,v20-ceremony-d04-t10,tally beads,5.476024,3.690573,5.535774,3.810498,0.299734,525,1,1
53,4,v20-ceremony-d04-t11,ink ledger,5.586091,3.562933,5.956912,3.61047,0.287799,560,1,1
54,4,v20-ceremony-d04-t12,sap hook,5.764766,3.474588,5.939533,3.563072,0.277885,595,1,1
55,4,v20-ceremony-d04-t13,listening shell,5.982433,3.440184,6.553846,3.574155,0.271638,630,1,1
56,5,v20-ceremony-d05-t00,path cord,6.286565,3.492726,6.8649,3.693968,0.270918,420,1,1
57,5,v20-ceremony-d05-t01,tally beads,6.449941,3.59296,6.92356,3.836126,0.196265,455,0,1
58,5,v20-ceremony-d05-t02,ink ledger,6.538735,3.727512,7.119678,4.109665,0.285545,490,1,1
59,5,v20-ceremony-d05-t03,sap hook,6.538229,3.87408,6.898739,4.223564,0.297222,525,1,1
60,5,v20-ceremony-d05-t04,listening shell,6.448507,4.008369,6.682417,4.483842,0.229359,560,1,1
61,5,v20-ceremony-d05-t05,ember bowl,6.284442,4.108118,6.613958,4.4967,0.319945,595,1,1
62,5,v20-ceremony-d05-t06,path cord,6.073228,4.156795,6.219945,4.556545,0.247225,630,0,1
63,5,v20-ceremony-d05-t07,tally beads,5.849875,4.14633,5.878399,4.507785,0.329992,420,1,1
64,5,v20-ceremony-d05-t08,ink ledger,5.651407,4.078457,5.695168,4.322775,0.247787,455,1,1
65,5,v20-ceremony-d05-t09,sap hook,5.510722,3.964429,5.437912,4.217351,0.320977,490,1,1
66,5,v20-ceremony-d05-t10,listening shell,5.451138,3.823144,5.543252,3.882007,0.31069,525,1,1
67,5,v20-ceremony-d05-t11,ember bowl,5.482533,3.678024,5.521926,3.85815,0.29863,560,1,1
68,5,v20-ceremony-d05-t12,path cord,5.599702,3.553121,5.894967,3.619295,0.286798,595,0,1
69,5,v20-ceremony-d05-t13,tally beads,5.783224,3.469142,6.046994,3.55287,0.277154,630,1,1
70,6,v20-ceremony-d06-t00,sap hook,6.095689,3.44549,6.410012,3.565074,0.270235,420,1,1
71,6,v20-ceremony-d06-t01,listening shell,6.30365,3.499838,6.92073,3.767984,0.191209,455,1,1
72,6,v20-ceremony-d06-t02,ember bowl,6.461278,3.60394,6.906342,3.789574,0.276956,490,1,1
73,6,v20-ceremony-d06-t03,path cord,6.542446,3.74054,7.082262,4.092827,0.286522,525,1,1
74,6,v20-ceremony-d06-t04,tally beads,6.533699,3.886997,6.926351,4.259853,0.298323,560,1,1
75,6,v20-ceremony-d06-t05,ink ledger,6.436487,4.019033,6.7855,4.471863,0.310402,595,1,1
76,6,v20-ceremony-d06-t06,sap hook,6.266923,4.114762,6.447883,4.526089,0.320756,630,1,1
77,6,v20-ceremony-d06-t07,listening shell,6.053115,4.158317,6.043546,4.536725,0.24767,420,0,1
78,6,v20-ceremony-d06-t08,ember bowl,5.830502,4.142478,5.97187,4.528505,0.249997,455,1,1
79,6,v20-ceremony-d06-t09,path cord,5.635985,4.069871,5.669282,4.336923,0.327352,490,1,1
80,6,v20-ceremony-d06-t10,tally beads,5.501807,3.95253,5.470556,4.179888,0.320174,525,1,1
81,6,v20-ceremony-d06-t11,ink ledger,5.450208,3.809906,5.607913,3.902953,0.309651,560,1,1
82,6,v20-ceremony-d06-t12,sap hook,5.489742,3.66564,5.498397,3.795494,0.297528,595,1,1
83,6,v20-ceremony-d06-t13,listening shell,5.613856,3.543645,5.988749,3.576063,0.285816,630,1,1
84,7,v20-ceremony-d07-t00,path cord,5.89164,3.447056,6.350038,3.540681,0.273648,420,1,1
85,7,v20-ceremony-d07-t01,tally beads,6.115559,3.448036,6.515853,3.578623,0.190117,455,1,1
86,7,v20-ceremony-d07-t02,ink ledger,6.320323,3.507357,6.976627,3.749903,0.271539,490,1,1
87,7,v20-ceremony-d07-t03,sap hook,6.471991,3.615185,6.88409,3.851814,0.277678,525,1,0
88,7,v20-ceremony-d07-t04,listening shell,6.545422,3.753649,7.021739,4.186469,0.287518,560,1,1
89,7,v20-ceremony-d07-t05,ember bowl,6.528445,3.899795,6.975441,4.210859,0.219427,595,1,1
90,7,v20-ceremony-d07-t06,path cord,6.423874,4.0294,6.766529,4.462122,0.31143,630,1,1
91,7,v20-ceremony-d07-t07,tally beads,6.249042,4.12098,6.441545,4.538718,0.321539,420,1,1
92,7,v20-ceremony-d07-t08,ink ledger,6.03293,4.159354,6.150694,4.542847,0.248078,455,1,1
93,7,v20-ceremony-d07-t09,sap hook,5.811359,4.138163,5.805202,4.499968,0.249962,490,0,1
94,7,v20-ceremony-d07-t10,listening shell,5.621057,4.060918,5.564449,4.25362,0.32688,525,1,1
95,7,v20-ceremony-d07-t11,ember bowl,5.493567,3.940424,5.514873,4.229996,0.319343,560,1,1
96,7,v20-ceremony-d07-t12,path cord,5.450024,3.796654,5.560907,3.919236,0.308599,595,1,1
97,7,v20-ceremony-d07-t13,tally beads,5.497643,3.653438,5.580057,3.762329,0.29643,630,1,1
98,8,v20-ceremony-d08-t00,sap hook,5.702508,3.497208,5.845868,3.586747,0.28069,420,1,1
99,8,v20-ceremony-d08-t01,listening shell,5.91156,3.444685,6.458089,3.554436,0.193138,455,0,1
100,8,v20-ceremony-d08-t02,ember bowl,6.135272,3.451058,6.460498,3.561077,0.27004,490,1,1
101,8,v20-ceremony-d08-t03,path cord,6.336562,3.515272,6.921151,3.736385,0.271907,525,1,1
102,8,v20-ceremony-d08-t04,tally beads,6.482063,3.626682,6.955096,3.888459,0.278431,560,1,1
103,8,v20-ceremony-d08-t05,ink ledger,6.547659,3.76682,7.104996,4.165128,0.288531,595,1,1
104,8,v20-ceremony-d08-t06,sap hook,6.522476,3.912459,6.865229,4.275363,0.300531,630,1,1
105,8,v20-ceremony-d08-t07,listening shell,6.410687,4.039456,6.607271,4.510749,0.312443,420,1,1
106,8,v20-ceremony-d08-t08,ember bowl,6.230824,4.126762,6.536862,4.521102,0.242293,455,1,1
107,8,v20-ceremony-d08-t09,path cord,6.0127,4.159904,6.135652,4.546927,0.328448,490,1,1
108,8,v20-ceremony-d08-t10,tally beads,5.792471,4.133389,5.803806,4.480219,0.329887,525,1,1
109,8,v20-ceremony-d08-t11,ink ledger,5.606641,4.051612,5.65347,4.273617,0.326372,560,1,1
110,8,v20-ceremony-d08-t12,sap hook,5.486014,3.928128,5.414343,4.163232,0.318486,595,1,1
111,8,v20-ceremony-d08-t13,listening shell,5.450585,3.783406,5.575848,3.829955,0.307535,630,1,1
112,9,v20-ceremony-d09-t00,path cord,5.554328,3.589041,5.813888,3.65819,0.290389,420,1,1
113,9,v20-ceremony-d09-t01,tally beads,5.719736,3.490246,5.950845,3.571744,0.199858,455,1,1
114,9,v20-ceremony-d09-t02,ink ledger,5.9316,3.442795,6.500407,3.549696,0.192665,490,0,1
115,9,v20-ceremony-d09-t03,sap hook,6.154802,3.454554,6.48977,3.585437,0.270003,525,1,1
116,9,v20-ceremony-d09-t04,listening shell,6.352345,3.523573,6.964031,3.816539,0.272314,560,1,1
117,9,v20-ceremony-d09-t05,ember bowl,6.491483,3.638413,6.945901,3.839492,0.279213,595,1,1
118,9,v20-ceremony-d09-t06,path cord,6.549154,3.780037,7.070384,4.14858,0.209559,630,1,1
119,9,v20-ceremony-d09-t07,tally beads,6.515798,3.92497,6.886899,4.309807,0.301635,420,1,1
120,9,v20-ceremony-d09-t08,ink ledger,6.396944,4.049188,6.712188,4.50088,0.23344,455,1,1
121,9,v20-ceremony-d09-t09,sap hook,6.212294,4.132101,6.366449,4.543343,0.323017,490,1,1
122,9,v20-ceremony-d09-t10,listening shell,5.992454,4.159966,5.963435,4.516972,0.328779,525,1,1
123,9,v20-ceremony-d09-t11,ember bowl,5.773865,4.128163,5.893358,4.506141,0.329771,560,1,1
124,9,v20-ceremony-d09-t12,path cord,5.592759,4.041965,5.625128,4.288702,0.245828,595,0,1
125,9,v20-ceremony-d09-t13,tally beads,5.479158,3.915659,5.453367,4.124738,0.317603,630,1,1
126,10,v20-ceremony-d10-t00,sap hook,5.467498,3.709915,5.45406,3.854725,0.301412,420,1,1
127,10,v20-ceremony-d10-t01,listening shell,5.566492,3.578447,5.898103,3.604372,0.20935,455,1,1
128,10,v20-ceremony-d10-t02,ember bowl,5.737344,3.483704,5.897419,3.592532,0.279053,490,1,0
129,10,v20-ceremony-d10-t03,path cord,5.951733,3.441389,6.4351,3.546688,0.272229,525,1,1
130,10,v20-ceremony-d10-t04,tally beads,6.174122,3.458517,6.593001,3.602955,0.270007,560,0,1
131,10,v20-ceremony-d10-t05,ink ledger,6.36765,3.532249,7.023072,3.797181,0.272758,595,1,1
132,10,v20-ceremony-d10-t06,sap hook,6.500236,3.650363,6.912933,3.904815,0.280024,630,1,1
133,10,v20-ceremony-d10-t07,listening shell,6.549904,3.79328,6.994331,4.2398,0.290601,420,1,1
134,10,v20-ceremony-d10-t08,ember bowl,6.508421,3.937311,6.944018,4.263222,0.222736,455,1,1
135,10,v20-ceremony-d10-t09,path cord,6.382663,4.058582,6.694721,4.492724,0.314418,490,1,1
136,10,v20-ceremony-d10-t10,tally beads,6.193475,4.136991,6.358339,4.551809,0.32371,525,1,1
137,10,v20-ceremony-d10-t11,ink ledger,5.972217,4.15954,6.069361,4.525388,0.329071,560,1,1
138,10,v20-ceremony-d10-t12,sap hook,5.755564,4.122493,5.73206,4.470767,0.329614,595,1,1
139,10,v20-ceremony-d10-t13,listening shell,5.579429,4.03199,5.534674,4.200842,0.325248,630,1,1
140,11,v20-ceremony-d11-t00,path cord,5.453972,3.843189,5.541514,3.984018,0.31224,420,1,1
141,11,v20-ceremony-d11-t01,tally beads,5.472925,3.697147,5.528943,3.819146,0.220308,455,1,1
142,11,v20-ceremony-d11-t02,ink ledger,5.579245,3.568153,5.944219,3.615494,0.288325,490,1,1
143,11,v20-ceremony-d11-t03,sap hook,5.755308,3.47759,5.925434,3.566059,0.278277,525,1,1
144,11,v20-ceremony-d11-t04,listening shell,5.971931,3.440469,6.539976,3.570735,0.27183,560,1,1
145,11,v20-ceremony-d11-t05,ember bowl,6.193207,3.462943,6.541044,3.580049,0.270052,595,1,1
146,11,v20-ceremony-d11-t06,path cord,6.382457,3.541287,6.969955,3.782624,0.273239,630,1,1
147,11,v20-ceremony-d11-t07,tally beads,6.508312,3.662515,6.977673,3.942762,0.200861,420,1,1
148,11,v20-ceremony-d11-t08,ink ledger,6.549909,3.806533,7.081112,4.219187,0.211656,455,1,1
149,11,v20-ceremony-d11-t09,sap hook,6.500355,3.949467,6.823247,4.324416,0.303834,490,1,1
150,11,v20-ceremony-d11-t10,listening shell,6.367863,4.067626,6.528075,4.532042,0.315376,525,1,1
151,11,v20-ceremony-d11-t11,ember bowl,6.174394,4.141424,6.456148,4.539763,0.24437,560,0,1
152,11,v20-ceremony-d11-t12,path cord,5.952018,4.158627,6.053484,4.531254,0.329324,595,1,1
153,11,v20-ceremony-d11-t13,tally beads,5.737596,4.116386,5.734284,4.447411,0.329418,630,1,1
154,12,v20-ceremony-d12-t00,sap hook,5.515612,3.970519,5.442906,4.226527,0.321383,420,1,1
155,12,v20-ceremony-d12-t01,listening shell,5.451914,3.830006,5.538507,3.89124,0.231224,455,0,1
156,12,v20-ceremony-d12-t02,ember bowl,5.479066,3.684519,5.516485,3.867215,0.299203,490,1,1
157,12,v20-ceremony-d12-t03,path cord,5.592567,3.558174,5.882535,3.624593,0.287315,525,1,1
158,12,v20-ceremony-d12-t04,tally beads,5.773603,3.471914,6.032589,3.555136,0.27753,560,1,1
159,12,v20-ceremony-d12-t05,ink ledger,5.992167,3.440037,6.583287,3.563655,0.271469,595,1,1
160,12,v20-ceremony-d12-t06,sap hook,6.212029,3.467826,6.565632,3.61146,0.270137,630,1,1
161,12,v20-ceremony-d12-t07,listening shell,6.396746,3.550677,6.998935,3.867938,0.273756,420,0,1
162,12,v20-ceremony-d12-t08,ember bowl,6.515698,3.674855,6.976858,3.891975,0.201724,455,1,1
163,12,v20-ceremony-d12-t09,path cord,6.549169,3.819776,7.04924,4.203131,0.292722,490,1,1
164,12,v20-ceremony-d12-t10,tally beads,6.491611,3.96142,6.83932,4.356596,0.304926,525,1,1
165,12,v20-ceremony-d12-t11,ink ledger,6.352564,4.076307,6.634463,4.524403,0.316314,560,1,1
166,12,v20-ceremony-d12-t12,sap hook,6.155077,4.145394,6.282621,4.554587,0.324998,595,1,1
167,12,v20-ceremony-d12-t13,listening shell,5.931884,4.157228,5.88712,4.491528,0.329537,630,1,1
168,13,v20-ceremony-d13-t00,path cord,5.643931,4.074375,5.677731,4.344928,0.327583,420,1,1
169,13,v20-ceremony-d13-t01,tally beads,5.506351,3.958734,5.474464,4.18929,0.240594,455,1,0
170,13,v20-ceremony-d13-t02,ink ledger,5.450598,3.816781,5.603778,3.912312,0.310192,490,1,1
171,13,v20-ceremony-d13-t03,sap hook,5.485912,3.672047,5.491129,3.803986,0.2981,525,1,1
172,13,v20-ceremony-d13-t04,listening shell,5.606441,3.548522,5.975038,3.57975,0.286323,560,1,1
173,13,v20-ceremony-d13-t05,ember bowl,5.792206,3.466682,5.976128,3.570472,0.276814,595,1,1
174,13,v20-ceremony-d13-t06,path cord,6.012414,3.440092,6.518638,3.558828,0.271147,630,1,1
175,13,v20-ceremony-d13-t07,tally beads,6.230564,3.473159,6.665605,3.632732,0.270263,420,1,1
176,13,v20-ceremony-d13-t08,ink ledger,6.410497,3.560404,7.061317,3.847541,0.194309,455,1,1
177,13,v20-ceremony-d13-t09,sap hook,6.522386,3.687363,6.932724,3.959586,0.282612,490,1,1
178,13,v20-ceremony-d13-t10,listening shell,6.547685,3.832993,6.958159,4.290818,0.293798,525,1,1
179,13,v20-ceremony-d13-t11,ember bowl,6.482201,3.973154,6.904015,4.312986,0.306012,560,1,1
180,13,v20-ceremony-d13-t12,path cord,6.336788,4.084613,6.618225,4.517931,0.31723,595,1,1
181,13,v20-ceremony-d13-t13,tally beads,6.13555,4.148896,6.273448,4.558785,0.325591,630,1,1
182,14,v20-ceremony-d14-t00,sap hook,5.821267,4.140461,5.818336,4.504473,0.329986,420,1,1
183,14,v20-ceremony-d14-t01,listening shell,5.628744,4.065611,5.570492,4.262519,0.24713,455,1,1
184,14,v20-ceremony-d14-t02,ember bowl,5.49776,3.946733,5.520232,4.239083,0.319777,490,1,1
185,14,v20-ceremony-d14-t03,path cord,5.450026,3.803534,5.557247,3.928681,0.309147,525,1,1
186,14,v20-ceremony-d14-t04,tally beads,5.493456,3.659749,5.57182,3.770429,0.217,560,0,1
187,14,v20-ceremony-d14-t05,ink ledger,5.620849,3.539211,6.019468,3.58871,0.28535,595,1,1
188,14,v20-ceremony-d14-t06,sap hook,5.81109,3.461902,6.007979,3.55127,0.196129,630,0,1
189,14,v20-ceremony-d14-t07,listening shell,6.032644,3.440635,6.618634,3.592874,0.270864,420,1,1
190,14,v20-ceremony-d14-t08,ember bowl,6.248787,3.478936,6.617923,3.604748,0.190429,455,1,1
191,14,v20-ceremony-d14-t09,path cord,6.423692,3.570456,7.010717,3.832121,0.274896,490,1,1
192,14,v20-ceremony-d14-t10,tally beads,6.528366,3.700025,6.991019,3.99837,0.283524,525,0,1
193,14,v20-ceremony-d14-t11,ink ledger,6.545459,3.846165,7.048321,4.271185,0.294883,560,1,1
194,14,v20-ceremony-d14-t12,sap hook,6.472138,3.984654,6.773305,4.370126,0.30709,595,1,1
195,14,v20-ceremony-d14-t13,listening shell,6.320556,4.092534,6.445796,4.547461,0.318122,630,1,1
196,15,v20-ceremony-d15-t00,path cord,6.023206,4.159679,6.150116,4.549029,0.328261,420,1,1
197,15,v20-ceremony-d15-t01,tally beads,5.802243,4.135924,5.816376,4.485374,0.249931,455,1,1
198,15,v20-ceremony-d15-t02,ink ledger,5.61406,4.056487,5.660091,4.282336,0.32664,490,1,1
199,15,v20-ceremony-d15-t03,sap hook,5.489849,3.934534,5.41777,4.172715,0.318934,525,1,1
200,15,v20-ceremony-d15-t04,listening shell,5.4502,3.790282,5.569585,3.838788,0.308089,560,1,1
201,15,v20-ceremony-d15-t05,ember bowl,5.501686,3.64764,5.551508,3.815851,0.295903,595,1,1
202,15,v20-ceremony-d15-t06,path cord,5.635771,3.530253,5.956392,3.596181,0.284396,630,1,1
203,15,v20-ceremony-d15-t07,tally beads,5.83023,3.457579,6.116615,3.544558,0.275476,420,1,1
204,15,v20-ceremony-d15-t08,ink ledger,6.05283,3.441665,6.663324,3.583538,0.190621,455,1,1
205,15,v20-ceremony-d15-t09,sap hook,6.266672,3.485147,6.636673,3.642828,0.190636,490,1,1
206,15,v20-ceremony-d15-t10,listening shell,6.436312,3.580819,7.025018,3.921555,0.275518,525,1,1
207,15,v20-ceremony-d15-t11,ember bowl,6.53363,3.712821,6.998836,3.946384,0.284458,560,1,1
208,15,v20-ceremony-d15-t12,path cord,6.542493,3.859275,7.019088,4.255816,0.295974,595,1,1
209,15,v20-ceremony-d15-t13,tally beads,6.461434,3.995903,6.784195,4.399648,0.228158,630,0,1
210,16,v20-ceremony-d16-t00,sap hook,6.221951,4.129385,6.38074,4.540782,0.322645,420,1,0
211,16,v20-ceremony-d16-t01,listening shell,6.002965,4.159995,5.977053,4.520805,0.248612,455,1,1
212,16,v20-ceremony-d16-t02,ember bowl,5.783487,4.130932,5.906669,4.510417,0.329836,490,1,1
213,16,v20-ceremony-d16-t03,path cord,5.599898,4.047015,5.632186,4.297271,0.326115,525,1,1
214,16,v20-ceremony-d16-t04,tally beads,5.48263,3.922153,5.455678,4.134366,0.318064,560,1,1
215,16,v20-ceremony-d16-t05,ink ledger,5.451119,3.777043,5.631386,3.859026,0.30702,595,1,1
216,16,v20-ceremony-d16-t06,sap hook,5.510591,3.635738,5.536471,3.756246,0.294812,630,1,1
217,16,v20-ceremony-d16-t07,listening shell,5.651186,3.521661,6.055629,3.560858,0.203464,420,0,1
218,16,v20-ceremony-d16-t08,ember bowl,5.8496,3.453721,6.058052,3.554254,0.194857,455,1,1
219,16,v20-ceremony-d16-t09,path cord,6.072944,3.44318,6.599633,3.576954,0.270417,490,1,1
220,16,v20-ceremony-d16-t10,tally beads,6.284197,3.491785,6.732779,3.667596,0.270882,525,1,1
221,16,v20-ceremony-d16-t11,ink ledger,6.448342,3.591478,7.090892,3.900367,0.276172,560,1,1
222,16,v20-ceremony-d16-t12,sap hook,6.53817,3.725736,6.94322,4.015459,0.285413,595,1,1
223,16,v20-ceremony-d16-t13,listening shell,6.538793,3.872304,6.913662,4.338902,0.297071,630,0,1
224,17,v20-ceremony-d17-t00,path cord,6.390143,4.053748,6.707508,4.487804,0.313912,420,1,1
225,17,v20-ceremony-d17-t01,tally beads,6.203279,4.134509,6.372887,4.549977,0.243354,455,0,1
226,17,v20-ceremony-d17-t02,ink ledger,5.98272,4.159822,6.083217,4.52883,0.328924,490,1,1
227,17,v20-ceremony-d17-t03,sap hook,5.765025,4.125492,5.744359,4.476197,0.3297,525,1,1
228,17,v20-ceremony-d17-t04,listening shell,5.586279,4.037209,5.539189,4.210125,0.325553,560,1,1
229,17,v20-ceremony-d17-t05,ember bowl,5.476111,3.909606,5.492948,4.185725,0.317171,595,1,1
230,17,v20-ceremony-d17-t06,path cord,5.452782,3.763835,5.582153,3.874821,0.305942,630,1,1
231,17,v20-ceremony-d17-t07,tally beads,5.520159,3.624059,5.622594,3.725119,0.293728,420,1,1
232,17,v20-ceremony-d17-t08,ink ledger,5.667074,3.513447,6.098743,3.567546,0.202554,455,1,1
233,17,v20-ceremony-d17-t09,sap hook,5.869173,3.450333,6.092499,3.542556,0.274271,490,1,1
234,17,v20-ceremony-d17-t10,listening shell,6.092959,3.445179,6.693105,3.620584,0.190254,525,1,1
235,17,v20-ceremony-d17-t11,ember bowl,6.301336,3.49884,6.690196,3.634872,0.271167,560,1,1
236,17,v20-ceremony-d17-t12,path cord,6.459763,3.602421,7.04294,3.884272,0.276859,595,1,1
237,17,v20-ceremony-d17-t13,tally beads,6.541982,3.738752,6.994969,4.054608,0.286388,630,1,1
238,18,v20-ceremony-d18-t00,sap hook,6.504628,3.943181,6.831097,4.316151,0.303265,420,1,1
239,18,v20-ceremony-d18-t01,listening shell,6.37561,4.062975,6.542027,4.528771,0.234881,455,1,1
240,18,v20-ceremony-d18-t02,ember bowl,6.184331,4.13918,6.470332,4.536955,0.324031,490,1,1
241,18,v20-ceremony-d18-t03,path cord,5.962498,4.159162,6.067507,4.534392,0.329198,525,1,1
242,18,v20-ceremony-d18-t04,tally beads,5.746881,4.11961,5.745914,4.453446,0.329525,560,1,1
243,18,v20-ceremony-d18-t05,ink ledger,5.573221,4.027081,5.625381,4.23088,0.324958,595,1,1
244,18,v20-ceremony-d18-t06,sap hook,5.470303,3.89691,5.401799,4.117406,0.316254,630,1,1
245,18,v20-ceremony-d18-t07,listening shell,5.455187,3.750676,5.609259,3.788911,0.304855,420,1,1
246,18,v20-ceremony-d18-t08,ember bowl,5.530378,3.612618,5.59492,3.76734,0.212652,455,1,1
247,18,v20-ceremony-d18-t09,path cord,5.683413,3.50562,6.034556,3.573298,0.281667,490,1,1
248,18,v20-ceremony-d18-t10,tally beads,5.888925,3.447418,6.201903,3.540139,0.193721,525,0,1
249,18,v20-ceremony-d18-t11,ink ledger,6.112848,3.447659,6.739543,3.609106,0.270131,560,1,1
250,18,v20-ceremony-d18-t12,sap hook,6.318066,3.506304,6.702027,3.679157,0.271491,595,1,1
251,18,v20-ceremony-d18-t13,listening shell,6.470562,3.613631,7.041962,3.976738,0.277578,630,1,0
252,19,v20-ceremony-d19-t00,path cord,6.549647,3.812903,7.053552,4.193806,0.292167,420,1,1
253,19,v20-ceremony-d19-t01,tally beads,6.496235,3.955241,6.848111,4.348751,0.22436,455,1,1
254,19,v20-ceremony-d19-t02,ink ledger,6.360567,4.071846,6.648188,4.520739,0.31583,490,0,1
255,19,v20-ceremony-d19-t03,sap hook,6.165133,4.143391,6.297254,4.553078,0.324676,525,1,1
