ritual_slot_id,year,tick,household_id,ritual_name,trigger,body_motion,sound_pattern,scent_material,social_effect,playable_observation,continuity_score
ritual_slot_agent_987_westkeepers,987,330,westkeepers,tool-return bow,"morning body check, market open, storm alarm, or conflict repair","chalk line, hand to arch",kasq3 repeated at phase square,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ka30's posture, ask meaning, join only after invitation.",0.902
ritual_slot_agent_987_mossgarden,987,337,mossgarden,cup-circle meal,"morning body check, market open, storm alarm, or conflict repair","cup pass, blanket fold",musq3 repeated at phase square,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Mu31's posture, ask meaning, join only after invitation.",0.902
ritual_slot_agent_987_ledgerkin,987,344,ledgerkin,counting-step chant,"morning body check, market open, storm alarm, or conflict repair","heel rock, thread knot",losq3 repeated at phase square,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Lo32's posture, ask meaning, join only after invitation.",0.902
ritual_slot_agent_987_redstair,987,351,redstair,three-mark witness pause,"morning body check, market open, storm alarm, or conflict repair","hand to wall, shell turn",sasq3 repeated at phase square,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Sa33's posture, ask meaning, join only after invitation.",0.902
ritual_slot_agent_987_wheelwright,987,358,wheelwright,vane-touch safety check,"morning body check, market open, storm alarm, or conflict repair","glove lift, wheel listen",nisq3 repeated at phase square,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ni34's posture, ask meaning, join only after invitation.",0.902
ritual_slot_agent_1597_westkeepers,1597,400,westkeepers,tool-return bow,"morning body check, market open, storm alarm, or conflict repair","chalk line, hand to arch",kape4 repeated at phase pentad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ka40's posture, ask meaning, join only after invitation.",0.926
ritual_slot_agent_1597_mossgarden,1597,407,mossgarden,cup-circle meal,"morning body check, market open, storm alarm, or conflict repair","cup pass, blanket fold",mupe4 repeated at phase pentad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Mu41's posture, ask meaning, join only after invitation.",0.926
ritual_slot_agent_1597_ledgerkin,1597,414,ledgerkin,counting-step chant,"morning body check, market open, storm alarm, or conflict repair","heel rock, thread knot",lope4 repeated at phase pentad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Lo42's posture, ask meaning, join only after invitation.",0.926
ritual_slot_agent_1597_redstair,1597,421,redstair,three-mark witness pause,"morning body check, market open, storm alarm, or conflict repair","hand to wall, shell turn",sape4 repeated at phase pentad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Sa43's posture, ask meaning, join only after invitation.",0.926
ritual_slot_agent_1597_wheelwright,1597,428,wheelwright,vane-touch safety check,"morning body check, market open, storm alarm, or conflict repair","glove lift, wheel listen",nipe4 repeated at phase pentad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ni44's posture, ask meaning, join only after invitation.",0.926
ritual_slot_agent_2584_westkeepers,2584,470,westkeepers,tool-return bow,"morning body check, market open, storm alarm, or conflict repair","chalk line, hand to arch",kahe5 repeated at phase hexad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ka50's posture, ask meaning, join only after invitation.",0.95
ritual_slot_agent_2584_mossgarden,2584,477,mossgarden,cup-circle meal,"morning body check, market open, storm alarm, or conflict repair","cup pass, blanket fold",muhe5 repeated at phase hexad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Mu51's posture, ask meaning, join only after invitation.",0.95
ritual_slot_agent_2584_ledgerkin,2584,484,ledgerkin,counting-step chant,"morning body check, market open, storm alarm, or conflict repair","heel rock, thread knot",lohe5 repeated at phase hexad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Lo52's posture, ask meaning, join only after invitation.",0.95
ritual_slot_agent_2584_redstair,2584,491,redstair,three-mark witness pause,"morning body check, market open, storm alarm, or conflict repair","hand to wall, shell turn",sahe5 repeated at phase hexad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Sa53's posture, ask meaning, join only after invitation.",0.95
ritual_slot_agent_2584_wheelwright,2584,498,wheelwright,vane-touch safety check,"morning body check, market open, storm alarm, or conflict repair","glove lift, wheel listen",nihe5 repeated at phase hexad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ni54's posture, ask meaning, join only after invitation.",0.95
ritual_slot_agent_4181_westkeepers,4181,540,westkeepers,tool-return bow,"morning body check, market open, storm alarm, or conflict repair","chalk line, hand to arch",kafl6 repeated at phase flower,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ka60's posture, ask meaning, join only after invitation.",0.974
ritual_slot_agent_4181_mossgarden,4181,547,mossgarden,cup-circle meal,"morning body check, market open, storm alarm, or conflict repair","cup pass, blanket fold",mufl6 repeated at phase flower,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Mu61's posture, ask meaning, join only after invitation.",0.974
ritual_slot_agent_4181_ledgerkin,4181,554,ledgerkin,counting-step chant,"morning body check, market open, storm alarm, or conflict repair","heel rock, thread knot",lofl6 repeated at phase flower,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Lo62's posture, ask meaning, join only after invitation.",0.974
ritual_slot_agent_4181_redstair,4181,561,redstair,three-mark witness pause,"morning body check, market open, storm alarm, or conflict repair","hand to wall, shell turn",safl6 repeated at phase flower,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Sa63's posture, ask meaning, join only after invitation.",0.974
ritual_slot_agent_4181_wheelwright,4181,568,wheelwright,vane-touch safety check,"morning body check, market open, storm alarm, or conflict repair","glove lift, wheel listen",nifl6 repeated at phase flower,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ni64's posture, ask meaning, join only after invitation.",0.974
