tick_id,day,route_id,clicked_button,branch_before,branch_after,mutation_type,localstorage_write_payload,branch_badge_visible,rollback_available,state_version_after,mutation_persisted
272,23,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 23}",True,True,23,True
278,24,central_repair_ring,merge-central_repair_ring,inner repair yard,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 17}",True,True,17,True
281,24,archive_signal,rollback-archive_signal,stone kiosk path,paper lane,rollback_direct,"{""animation"": ""playing"", ""branch"": ""paper lane"", ""routeId"": ""archive_signal"", ""version"": 23}",True,True,23,True
284,24,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 18}",True,True,18,True
290,25,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 19}",True,True,19,True
293,25,archive_signal,rollback-archive_signal,paper lane,paper lane,rollback_direct,"{""animation"": ""playing"", ""branch"": ""paper lane"", ""routeId"": ""archive_signal"", ""version"": 24}",True,True,24,True
296,25,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 20}",True,True,20,True
302,26,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 21}",True,True,21,True
305,26,archive_signal,rollback-archive_signal,paper lane,paper lane,rollback_direct,"{""animation"": ""playing"", ""branch"": ""paper lane"", ""routeId"": ""archive_signal"", ""version"": 25}",True,True,25,True
308,26,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 22}",True,True,22,True
314,27,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 23}",True,True,23,True
317,27,archive_signal,rollback-archive_signal,paper lane,paper lane,rollback_direct,"{""animation"": ""playing"", ""branch"": ""paper lane"", ""routeId"": ""archive_signal"", ""version"": 26}",True,True,26,True
320,27,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 24}",True,True,24,True
326,28,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 25}",True,True,25,True
329,28,archive_signal,rollback-archive_signal,paper lane,paper lane,rollback_direct,"{""animation"": ""playing"", ""branch"": ""paper lane"", ""routeId"": ""archive_signal"", ""version"": 27}",True,True,27,True
332,28,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 26}",True,True,26,True
338,29,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 27}",True,True,27,True
341,29,archive_signal,rollback-archive_signal,paper lane,paper lane,rollback_direct,"{""animation"": ""playing"", ""branch"": ""paper lane"", ""routeId"": ""archive_signal"", ""version"": 28}",True,True,28,True
344,29,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 28}",True,True,28,True
350,30,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 29}",True,True,29,True
353,30,archive_signal,rollback-archive_signal,paper lane,paper lane,rollback_direct,"{""animation"": ""playing"", ""branch"": ""paper lane"", ""routeId"": ""archive_signal"", ""version"": 29}",True,True,29,True
356,30,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""paused"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 30}",True,True,30,True
362,31,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""stepped"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 31}",True,True,31,True
365,31,archive_signal,rollback-archive_signal,paper lane,paper lane,rollback_direct,"{""animation"": ""playing"", ""branch"": ""paper lane"", ""routeId"": ""archive_signal"", ""version"": 30}",True,True,30,True
368,31,central_repair_ring,merge-central_repair_ring,outer bell path,outer bell path,merge_detour,"{""animation"": ""stepped"", ""branch"": ""outer bell path"", ""routeId"": ""central_repair_ring"", ""version"": 32}",True,True,32,True
374,32,riverbend_roofward,merge-riverbend_roofward,low plank crossing,lantern ridge detour,merge_detour,"{""animation"": ""paused"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 18}",True,True,18,True
377,32,signal_orchard,rollback-signal_orchard,dusk road,dusk road,rollback_direct,"{""animation"": ""playing"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 27}",True,True,27,True
380,32,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""paused"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 19}",True,True,19,True
386,33,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""paused"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 20}",True,True,20,True
389,33,signal_orchard,rollback-signal_orchard,dusk road,dusk road,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 28}",True,True,28,True
392,33,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""paused"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 21}",True,True,21,True
398,34,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""paused"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 22}",True,True,22,True
401,34,signal_orchard,rollback-signal_orchard,dusk road,dusk road,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 29}",True,True,29,True
404,34,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""paused"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 23}",True,True,23,True
410,35,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""paused"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 24}",True,True,24,True
413,35,signal_orchard,rollback-signal_orchard,dusk road,dusk road,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 30}",True,True,30,True
416,35,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""paused"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 25}",True,True,25,True
422,36,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""stepped"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 26}",True,True,26,True
425,36,signal_orchard,rollback-signal_orchard,dusk road,dusk road,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 31}",True,True,31,True
428,36,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""stepped"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 27}",True,True,27,True
434,37,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""stepped"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 28}",True,True,28,True
437,37,signal_orchard,rollback-signal_orchard,dusk road,dusk road,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 32}",True,True,32,True
440,37,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""stepped"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 29}",True,True,29,True
446,38,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""stepped"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 30}",True,True,30,True
449,38,signal_orchard,rollback-signal_orchard,dusk road,dusk road,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 33}",True,True,33,True
452,38,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""stepped"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 31}",True,True,31,True
458,39,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""stepped"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 32}",True,True,32,True
461,39,signal_orchard,rollback-signal_orchard,dusk road,dusk road,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 34}",True,True,34,True
464,39,riverbend_roofward,merge-riverbend_roofward,lantern ridge detour,lantern ridge detour,merge_detour,"{""animation"": ""stepped"", ""branch"": ""lantern ridge detour"", ""routeId"": ""riverbend_roofward"", ""version"": 33}",True,True,33,True
470,40,roofward_archive,merge-roofward_archive,glass stair,warm archive lane,merge_detour,"{""animation"": ""paused"", ""branch"": ""warm archive lane"", ""routeId"": ""roofward_archive"", ""version"": 25}",True,True,25,True
473,40,orchard_riverbend,rollback-orchard_riverbend,market plank route,fen track,rollback_direct,"{""animation"": ""playing"", ""branch"": ""fen track"", ""routeId"": ""orchard_riverbend"", ""version"": 32}",True,True,32,True
476,40,roofward_archive,merge-roofward_archive,warm archive lane,warm archive lane,merge_detour,"{""animation"": ""paused"", ""branch"": ""warm archive lane"", ""routeId"": ""roofward_archive"", ""version"": 26}",True,True,26,True
482,41,roofward_archive,merge-roofward_archive,warm archive lane,warm archive lane,merge_detour,"{""animation"": ""paused"", ""branch"": ""warm archive lane"", ""routeId"": ""roofward_archive"", ""version"": 27}",True,True,27,True
485,41,orchard_riverbend,rollback-orchard_riverbend,fen track,fen track,rollback_direct,"{""animation"": ""playing"", ""branch"": ""fen track"", ""routeId"": ""orchard_riverbend"", ""version"": 33}",True,True,33,True
488,41,roofward_archive,merge-roofward_archive,warm archive lane,warm archive lane,merge_detour,"{""animation"": ""paused"", ""branch"": ""warm archive lane"", ""routeId"": ""roofward_archive"", ""version"": 28}",True,True,28,True
493,42,riverbend_roofward,rollback-riverbend_roofward,lantern ridge detour,low plank crossing,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 36}",True,True,36,True
494,42,roofward_archive,merge-roofward_archive,warm archive lane,warm archive lane,merge_detour,"{""animation"": ""paused"", ""branch"": ""warm archive lane"", ""routeId"": ""roofward_archive"", ""version"": 29}",True,True,29,True
497,42,orchard_riverbend,rollback-orchard_riverbend,fen track,fen track,rollback_direct,"{""animation"": ""playing"", ""branch"": ""fen track"", ""routeId"": ""orchard_riverbend"", ""version"": 34}",True,True,34,True
500,42,roofward_archive,merge-roofward_archive,warm archive lane,warm archive lane,merge_detour,"{""animation"": ""paused"", ""branch"": ""warm archive lane"", ""routeId"": ""roofward_archive"", ""version"": 30}",True,True,30,True
506,43,roofward_archive,merge-roofward_archive,warm archive lane,warm archive lane,merge_detour,"{""animation"": ""paused"", ""branch"": ""warm archive lane"", ""routeId"": ""roofward_archive"", ""version"": 31}",True,True,31,True
509,43,orchard_riverbend,rollback-orchard_riverbend,fen track,fen track,rollback_direct,"{""animation"": ""playing"", ""branch"": ""fen track"", ""routeId"": ""orchard_riverbend"", ""version"": 35}",True,True,35,True
512,43,roofward_archive,merge-roofward_archive,warm archive lane,warm archive lane,merge_detour,"{""animation"": ""paused"", ""branch"": ""warm archive lane"", ""routeId"": ""roofward_archive"", ""version"": 32}",True,True,32,True
