frame_id,generation,simulated_year,household,elder_cohort,child_cohort,lineage_memory_hash,inherited_story_count,inherited_token_count,inherited_ritual_count,avatar_legacy_charge,welfare_clause_strength
82,14,728,Quietledger,Quietledger-elder-g14,Quietledger-child-g14,b12ff34af8e7,21,7,5,0.130215,0.9675
83,14,728,Orchardring,Orchardring-elder-g14,Orchardring-child-g14,e517a987c9ab,20,7,5,0.187015,0.9561
84,14,728,Rainloft,Rainloft-elder-g14,Rainloft-child-g14,28b9a2912196,21,7,5,0.141401,0.9645
85,15,780,Hearthnest,Hearthnest-elder-g15,Hearthnest-child-g15,a739af982126,21,8,6,0.176651,0.988
86,15,780,Routehall,Routehall-elder-g15,Routehall-child-g15,bc5425eeaeff,21,8,5,0.140567,0.9704
87,15,780,Marketroof,Marketroof-elder-g15,Marketroof-child-g15,124d093e4e7e,21,8,5,0.15937,0.9655
88,15,780,Quietledger,Quietledger-elder-g15,Quietledger-child-g15,c354b71506de,22,8,5,0.116208,0.9775
89,15,780,Orchardring,Orchardring-elder-g15,Orchardring-child-g15,48541cfc94e8,21,8,5,0.180298,0.9661
90,15,780,Rainloft,Rainloft-elder-g15,Rainloft-child-g15,1bd7bd278b4e,22,8,5,0.136814,0.9745
91,16,832,Hearthnest,Hearthnest-elder-g16,Hearthnest-child-g16,3b765c8652b0,22,8,7,0.172928,0.998
92,16,832,Routehall,Routehall-elder-g16,Routehall-child-g16,a246bbffad5b,22,8,6,0.131289,0.9804
93,16,832,Marketroof,Marketroof-elder-g16,Marketroof-child-g16,0a18e88ddb06,22,8,6,0.146371,0.9755
94,16,832,Quietledger,Quietledger-elder-g16,Quietledger-child-g16,44974926acdc,23,8,6,0.102524,0.9875
95,16,832,Orchardring,Orchardring-elder-g16,Orchardring-child-g16,dd6efbffbaf7,22,8,6,0.166178,0.9761
96,16,832,Rainloft,Rainloft-elder-g16,Rainloft-child-g16,01bb56d6bbaf,23,8,6,0.124206,0.9845
97,17,884,Hearthnest,Hearthnest-elder-g17,Hearthnest-child-g17,8928ac94ead5,23,8,7,0.165927,1.0
98,17,884,Routehall,Routehall-elder-g17,Routehall-child-g17,95392ec7559f,23,8,6,0.118058,0.9904
99,17,884,Marketroof,Marketroof-elder-g17,Marketroof-child-g17,0fc1bd6edfa3,23,8,6,0.133429,0.9855
100,17,884,Quietledger,Quietledger-elder-g17,Quietledger-child-g17,135488ccfa4b,24,8,6,0.090228,0.9975
101,17,884,Orchardring,Orchardring-elder-g17,Orchardring-child-g17,bdac9db9a305,23,8,6,0.16264,0.9861
102,17,884,Rainloft,Rainloft-elder-g17,Rainloft-child-g17,5e5cb3bd3f12,24,8,6,0.117469,0.9945
103,18,936,Hearthnest,Hearthnest-elder-g18,Hearthnest-child-g18,3011f23b79ea,24,8,7,0.160232,1.0
104,18,936,Routehall,Routehall-elder-g18,Routehall-child-g18,2c649a90f9b5,24,8,6,0.113217,1.0
105,18,936,Marketroof,Marketroof-elder-g18,Marketroof-child-g18,88ec461f3599,24,8,6,0.121201,0.9955
106,18,936,Quietledger,Quietledger-elder-g18,Quietledger-child-g18,deb7b01609c4,25,8,6,0.089087,1.0
107,18,936,Orchardring,Orchardring-elder-g18,Orchardring-child-g18,a53a30c9f88b,24,8,6,0.148567,0.9961
108,18,936,Rainloft,Rainloft-elder-g18,Rainloft-child-g18,c351fb62c854,25,8,6,0.113041,1.0
