episode_id,week,day,agent,interaction_kind,avatar_action,base_token,sleep_debt,boundary_pressure,relationship_trust_before,relationship_respect_before,vibration_hz,flower_phase_deg
119,5,2,Milo,offer_help,avatar helps without taking ownership,keth,0.738179,0.0332,0.768,0.786,2.907568,11.423916
120,5,2,Sol,ask_repair,avatar asks for route repair,tek,0.893894,0.4064,0.616,0.718,2.250901,135.53168
121,5,3,Ari,wait_respectfully,avatar waits until routine ends,nari,0.467621,0.0392,0.71,0.746,2.383956,275.439444
122,5,3,Fay,offer_help,avatar helps without taking ownership,keth,0.478447,0.0188,0.862,0.814,2.703273,58.947208
123,5,3,Milo,ask_repair,avatar asks for route repair,tek,0.646252,0.3932,0.79,0.8,2.977129,201.454972
124,5,3,Sol,interrupt_sleep,avatar requests action during rest,sova,0.941481,0.6864,0.616,0.718,2.332212,325.562736
125,5,4,Ari,offer_help,avatar helps without taking ownership,keth,0.55604,0.0392,0.732,0.784,2.473806,105.4705
126,5,4,Fay,ask_repair,avatar asks for route repair,tek,0.564051,0.3788,0.884,0.828,2.819024,248.978264
127,5,4,Milo,interrupt_sleep,avatar requests action during rest,sova,0.868227,0.6732,0.79,0.8,3.08137,31.486028
128,5,4,Sol,join_ritual,avatar joins ritual softly,ori,0.726696,0.2264,0.576,0.688,2.450684,155.593792
129,5,5,Ari,ask_repair,avatar asks for route repair,tek,0.731469,0.3992,0.754,0.798,2.584919,295.501556
130,5,5,Fay,interrupt_sleep,avatar requests action during rest,sova,0.917398,0.6588,0.884,0.828,2.910164,79.00932
131,5,5,Milo,join_ritual,avatar joins ritual softly,ori,0.782488,0.2132,0.75,0.77,3.177436,221.517084
132,5,5,Sol,repeat_pressure,avatar repeats request too soon,vonn,0.927755,0.6864,0.598,0.702,2.530478,345.624848
133,5,6,Ari,interrupt_sleep,avatar requests action during rest,sova,0.821287,0.6792,0.754,0.798,2.656332,125.532612
134,5,6,Fay,join_ritual,avatar joins ritual softly,ori,0.598874,0.1988,0.844,0.798,2.952415,269.040376
135,5,6,Milo,repeat_pressure,avatar repeats request too soon,vonn,0.749041,0.6732,0.772,0.784,3.193542,51.54814
136,5,6,Sol,trade_fairly,avatar trades at market value,melo,0.786539,0.2264,0.558,0.672,2.516321,175.655904
137,5,7,Ari,join_ritual,avatar joins ritual softly,ori,0.637753,0.2192,0.714,0.768,2.608991,315.563668
138,5,7,Fay,repeat_pressure,avatar repeats request too soon,vonn,0.723167,0.6588,0.866,0.812,2.896454,99.071432
139,5,7,Milo,trade_fairly,avatar trades at market value,melo,0.76429,0.2132,0.732,0.754,3.119629,241.579196
140,5,7,Sol,offer_warmth,avatar opens warm dry place,lum,0.612039,0.2264,0.58,0.686,2.428271,5.68696
141,6,1,Ari,offer_warmth,avatar opens warm dry place,lum,0.501937,0.2192,0.736,0.782,2.58682,176.594724
142,6,1,Fay,wait_respectfully,avatar waits until routine ends,nari,0.565144,0.0188,0.826,0.782,2.867768,320.102488
143,6,1,Milo,offer_help,avatar helps without taking ownership,keth,0.775575,0.0332,0.754,0.768,3.079727,102.610252
144,6,1,Sol,ask_repair,avatar asks for route repair,tek,0.662909,0.4064,0.602,0.7,2.383839,226.718016
145,6,2,Ari,wait_respectfully,avatar waits until routine ends,nari,0.511433,0.0392,0.758,0.796,2.486578,6.62578
146,6,2,Fay,offer_help,avatar helps without taking ownership,keth,0.738206,0.0188,0.848,0.82,2.769252,150.133544
147,6,2,Milo,ask_repair,avatar asks for route repair,tek,0.893925,0.3932,0.776,0.782,3.001975,292.641308
148,6,2,Sol,interrupt_sleep,avatar requests action during rest,sova,0.990552,0.6864,0.602,0.7,2.316262,56.749072
149,6,3,Ari,offer_help,avatar helps without taking ownership,keth,0.478461,0.0392,0.78,0.834,2.428957,196.656836
150,6,3,Fay,ask_repair,avatar asks for route repair,tek,0.646273,0.3788,0.87,0.834,2.726281,340.1646
151,6,3,Milo,interrupt_sleep,avatar requests action during rest,sova,0.941505,0.6732,0.776,0.782,2.996279,122.672364
152,6,3,Sol,join_ritual,avatar joins ritual softly,ori,0.653009,0.2264,0.562,0.67,2.331778,246.780128
153,6,4,Ari,ask_repair,avatar asks for route repair,tek,0.564061,0.3992,0.802,0.848,2.467146,26.687892
154,6,4,Fay,interrupt_sleep,avatar requests action during rest,sova,0.868242,0.6588,0.87,0.834,2.797918,170.195656
155,6,4,Milo,join_ritual,avatar joins ritual softly,ori,0.726714,0.2132,0.736,0.752,3.069138,312.70342
156,6,4,Sol,repeat_pressure,avatar repeats request too soon,vonn,0.763226,0.6864,0.584,0.684,2.437558,76.811184
157,6,5,Ari,interrupt_sleep,avatar requests action during rest,sova,0.917405,0.6792,0.802,0.848,2.578491,216.718948
158,6,5,Fay,join_ritual,avatar joins ritual softly,ori,0.782499,0.1988,0.83,0.804,2.914912,0.226712
159,6,5,Milo,repeat_pressure,avatar repeats request too soon,vonn,0.927768,0.6732,0.758,0.766,3.178478,142.734476
160,6,5,Sol,trade_fairly,avatar trades at market value,melo,0.884788,0.2264,0.544,0.654,2.53542,266.84224
161,6,6,Ari,join_ritual,avatar joins ritual softly,ori,0.59888,0.2192,0.762,0.818,2.682049,46.750004
162,6,6,Fay,repeat_pressure,avatar repeats request too soon,vonn,0.749049,0.6588,0.852,0.818,3.012475,190.257768
163,6,6,Milo,trade_fairly,avatar trades at market value,melo,0.786548,0.2132,0.718,0.736,3.274418,332.765532
164,6,6,Sol,offer_warmth,avatar opens warm dry place,lum,0.574743,0.2264,0.566,0.668,2.603747,96.873296
165,6,7,Ari,repeat_pressure,avatar repeats request too soon,vonn,0.723171,0.6792,0.784,0.832,2.734991,236.78106
166,6,7,Fay,trade_fairly,avatar trades at market value,melo,0.764296,0.1988,0.812,0.788,3.03045,20.288824
167,6,7,Milo,offer_warmth,avatar opens warm dry place,lum,0.612046,0.2132,0.74,0.75,3.261655,162.796588
168,6,7,Sol,wait_respectfully,avatar waits until routine ends,nari,0.45531,0.0464,0.588,0.682,2.587442,286.904352
