tick,day,resident,memory_key,debt_name,debt_before,debt_after,trust_before,trust_after,causal_action,visible_in_dashboard,persists_after_restore,history_not_erased
49,3,Ari,ari:repair_promise:audit:d003:s13,repair promise,0.267235,0.249235,0.536864,0.553864,return_tool,True,True,True
50,3,Fay,fay:care_favor:audit:d003:s14,care favor,0.25937,0.28337,0.671969,0.653969,interrupt_work,True,True,True
51,3,Milo,milo:tool_loan:audit:d003:s15,tool loan,0.251589,0.247589,0.652638,0.654638,wait_offscreen,True,True,True
52,3,Sera,sera:repair_promise:audit:d003:s16,repair promise,0.243901,0.225901,0.49102,0.50802,repair_trust,True,True,True
53,3,Tovan,tovan:care_favor:audit:d003:s17,care favor,0.236317,0.232317,0.332271,0.334271,move,True,True,True
54,4,Nia,nia:tool_loan:audit:d004:s00,tool loan,0.228848,0.210848,0.319995,0.336995,offer_help,True,True,True
55,4,Ari,ari:repair_promise:audit:d004:s01,repair promise,0.221504,0.245504,0.553186,0.535186,borrow_tool,True,True,True
56,4,Fay,fay:care_favor:audit:d004:s02,care favor,0.214294,0.196294,0.680417,0.697417,return_tool,True,True,True
57,4,Milo,milo:tool_loan:audit:d004:s03,tool loan,0.207229,0.231229,0.640216,0.622216,interrupt_work,True,True,True
58,4,Sera,sera:repair_promise:audit:d004:s04,repair promise,0.200319,0.196319,0.476915,0.478915,wait_offscreen,True,True,True
59,4,Tovan,tovan:care_favor:audit:d004:s05,care favor,0.193572,0.175572,0.310266,0.327266,repair_trust,True,True,True
60,4,Nia,nia:tool_loan:audit:d004:s06,tool loan,0.186999,0.182999,0.330856,0.332856,move,True,True,True
61,4,Ari,ari:repair_promise:audit:d004:s07,repair promise,0.180607,0.176607,0.539041,0.556041,talk,True,True,True
62,4,Fay,fay:care_favor:audit:d004:s08,care favor,0.174406,0.156406,0.68207,0.69907,offer_help,True,True,True
63,4,Milo,milo:tool_loan:audit:d004:s09,tool loan,0.168405,0.192405,0.644958,0.626958,borrow_tool,True,True,True
64,4,Sera,sera:repair_promise:audit:d004:s10,repair promise,0.162611,0.144611,0.478505,0.495505,return_tool,True,True,True
65,4,Tovan,tovan:care_favor:audit:d004:s11,care favor,0.157032,0.181032,0.315239,0.297239,interrupt_work,True,True,True
66,4,Nia,nia:tool_loan:audit:d004:s12,tool loan,0.151677,0.147677,0.316354,0.318354,wait_offscreen,True,True,True
67,4,Ari,ari:repair_promise:audit:d004:s13,repair promise,0.146552,0.128552,0.533595,0.550595,repair_trust,True,True,True
68,4,Fay,fay:care_favor:audit:d004:s14,care favor,0.141664,0.137664,0.686889,0.688889,move,True,True,True
69,4,Milo,milo:tool_loan:audit:d004:s15,tool loan,0.137021,0.133021,0.645732,0.662732,talk,True,True,True
70,4,Sera,sera:repair_promise:audit:d004:s16,repair promise,0.132628,0.114628,0.480173,0.497173,offer_help,True,True,True
71,4,Tovan,tovan:care_favor:audit:d004:s17,care favor,0.128491,0.152491,0.325705,0.307705,borrow_tool,True,True,True
72,5,Nia,nia:tool_loan:audit:d005:s00,tool loan,0.124617,0.148617,0.321214,0.303214,interrupt_work,True,True,True
73,5,Ari,ari:repair_promise:audit:d005:s01,repair promise,0.12101,0.11701,0.544154,0.546154,wait_offscreen,True,True,True
74,5,Fay,fay:care_favor:audit:d005:s02,care favor,0.117676,0.099676,0.676513,0.693513,repair_trust,True,True,True
75,5,Milo,milo:tool_loan:audit:d005:s03,tool loan,0.114618,0.110618,0.637417,0.639417,move,True,True,True
76,5,Sera,sera:repair_promise:audit:d005:s04,repair promise,0.111842,0.107842,0.451577,0.468577,talk,True,True,True
77,5,Tovan,tovan:care_favor:audit:d005:s05,care favor,0.10935,0.09135,0.298994,0.315994,offer_help,True,True,True
78,5,Nia,nia:tool_loan:audit:d005:s06,tool loan,0.107147,0.131147,0.330138,0.312138,borrow_tool,True,True,True
79,5,Ari,ari:repair_promise:audit:d005:s07,repair promise,0.105235,0.087235,0.561098,0.578098,return_tool,True,True,True
80,5,Fay,fay:care_favor:audit:d005:s08,care favor,0.103617,0.127617,0.692758,0.674758,interrupt_work,True,True,True
81,5,Milo,milo:tool_loan:audit:d005:s09,tool loan,0.102296,0.098296,0.629122,0.631122,wait_offscreen,True,True,True
82,5,Sera,sera:repair_promise:audit:d005:s10,repair promise,0.101272,0.083272,0.464994,0.481994,repair_trust,True,True,True
83,5,Tovan,tovan:care_favor:audit:d005:s11,care favor,0.100548,0.096548,0.317111,0.319111,move,True,True,True
84,5,Nia,nia:tool_loan:audit:d005:s12,tool loan,0.100124,0.096124,0.332974,0.349974,talk,True,True,True
85,5,Ari,ari:repair_promise:audit:d005:s13,repair promise,0.100001,0.082001,0.561311,0.578311,offer_help,True,True,True
86,5,Fay,fay:care_favor:audit:d005:s14,care favor,0.10018,0.12418,0.692157,0.674157,borrow_tool,True,True,True
87,5,Milo,milo:tool_loan:audit:d005:s15,tool loan,0.100659,0.082659,0.635634,0.652634,return_tool,True,True,True
88,5,Sera,sera:repair_promise:audit:d005:s16,repair promise,0.101438,0.125438,0.462129,0.444129,interrupt_work,True,True,True
89,5,Tovan,tovan:care_favor:audit:d005:s17,care favor,0.102517,0.098517,0.315822,0.317822,wait_offscreen,True,True,True
90,6,Nia,nia:tool_loan:audit:d006:s00,tool loan,0.103893,0.099893,0.328385,0.330385,move,True,True,True
91,6,Ari,ari:repair_promise:audit:d006:s01,repair promise,0.105565,0.101565,0.563642,0.580642,talk,True,True,True
92,6,Fay,fay:care_favor:audit:d006:s02,care favor,0.107531,0.089531,0.688173,0.705173,offer_help,True,True,True
93,6,Milo,milo:tool_loan:audit:d006:s03,tool loan,0.109787,0.133787,0.62894,0.61094,borrow_tool,True,True,True
94,6,Sera,sera:repair_promise:audit:d006:s04,repair promise,0.112332,0.094332,0.453009,0.470009,return_tool,True,True,True
95,6,Tovan,tovan:care_favor:audit:d006:s05,care favor,0.11516,0.13916,0.301015,0.283015,interrupt_work,True,True,True
96,6,Nia,nia:tool_loan:audit:d006:s06,tool loan,0.118269,0.114269,0.338672,0.340672,wait_offscreen,True,True,True
97,6,Ari,ari:repair_promise:audit:d006:s07,repair promise,0.121654,0.103654,0.553738,0.570738,repair_trust,True,True,True
98,6,Fay,fay:care_favor:audit:d006:s08,care favor,0.125311,0.121311,0.682573,0.684573,move,True,True,True
99,6,Milo,milo:tool_loan:audit:d006:s09,tool loan,0.129234,0.125234,0.632171,0.649171,talk,True,True,True
100,6,Sera,sera:repair_promise:audit:d006:s10,repair promise,0.133418,0.115418,0.443721,0.460721,offer_help,True,True,True
101,6,Tovan,tovan:care_favor:audit:d006:s11,care favor,0.137858,0.161858,0.303703,0.285703,borrow_tool,True,True,True
102,6,Nia,nia:tool_loan:audit:d006:s12,tool loan,0.142546,0.124546,0.326713,0.343713,return_tool,True,True,True
103,6,Ari,ari:repair_promise:audit:d006:s13,repair promise,0.147478,0.171478,0.570195,0.552195,interrupt_work,True,True,True
104,6,Fay,fay:care_favor:audit:d006:s14,care favor,0.152646,0.148646,0.679237,0.681237,wait_offscreen,True,True,True
105,6,Milo,milo:tool_loan:audit:d006:s15,tool loan,0.158043,0.140043,0.628642,0.645642,repair_trust,True,True,True
106,6,Sera,sera:repair_promise:audit:d006:s16,repair promise,0.163662,0.159662,0.447667,0.449667,move,True,True,True
107,6,Tovan,tovan:care_favor:audit:d006:s17,care favor,0.169495,0.165495,0.296706,0.313706,talk,True,True,True
108,7,Nia,nia:tool_loan:audit:d007:s00,tool loan,0.175534,0.199534,0.351029,0.333029,borrow_tool,True,True,True
109,7,Ari,ari:repair_promise:audit:d007:s01,repair promise,0.18177,0.16377,0.574405,0.591405,return_tool,True,True,True
110,7,Fay,fay:care_favor:audit:d007:s02,care favor,0.188196,0.212196,0.682578,0.664578,interrupt_work,True,True,True
111,7,Milo,milo:tool_loan:audit:d007:s03,tool loan,0.194802,0.190802,0.627216,0.629216,wait_offscreen,True,True,True
112,7,Sera,sera:repair_promise:audit:d007:s04,repair promise,0.201579,0.183579,0.433516,0.450516,repair_trust,True,True,True
113,7,Tovan,tovan:care_favor:audit:d007:s05,care favor,0.208519,0.204519,0.296735,0.298735,move,True,True,True
114,7,Nia,nia:tool_loan:audit:d007:s06,tool loan,0.215611,0.211611,0.3349,0.3519,talk,True,True,True
115,7,Ari,ari:repair_promise:audit:d007:s07,repair promise,0.222846,0.204846,0.565523,0.582523,offer_help,True,True,True
116,7,Fay,fay:care_favor:audit:d007:s08,care favor,0.230215,0.254215,0.689456,0.671456,borrow_tool,True,True,True
117,7,Milo,milo:tool_loan:audit:d007:s09,tool loan,0.237706,0.219706,0.624681,0.641681,return_tool,True,True,True
118,7,Sera,sera:repair_promise:audit:d007:s10,repair promise,0.245309,0.269309,0.427352,0.409352,interrupt_work,True,True,True
119,7,Tovan,tovan:care_favor:audit:d007:s11,care favor,0.253015,0.249015,0.294294,0.296294,wait_offscreen,True,True,True
120,7,Nia,nia:tool_loan:audit:d007:s12,tool loan,0.260813,0.242813,0.344474,0.361474,repair_trust,True,True,True
121,7,Ari,ari:repair_promise:audit:d007:s13,repair promise,0.268691,0.264691,0.575965,0.577965,move,True,True,True
122,7,Fay,fay:care_favor:audit:d007:s14,care favor,0.27664,0.27264,0.683788,0.700788,talk,True,True,True
123,7,Milo,milo:tool_loan:audit:d007:s15,tool loan,0.284648,0.266648,0.615846,0.632846,offer_help,True,True,True
124,7,Sera,sera:repair_promise:audit:d007:s16,repair promise,0.292705,0.316705,0.431413,0.413413,borrow_tool,True,True,True
125,7,Tovan,tovan:care_favor:audit:d007:s17,care favor,0.300799,0.282799,0.302025,0.319025,return_tool,True,True,True
126,8,Nia,nia:tool_loan:audit:d008:s00,tool loan,0.308919,0.304919,0.347167,0.349167,wait_offscreen,True,True,True
127,8,Ari,ari:repair_promise:audit:d008:s01,repair promise,0.317055,0.299055,0.591436,0.608436,repair_trust,True,True,True
128,8,Fay,fay:care_favor:audit:d008:s02,care favor,0.325194,0.321194,0.694173,0.696173,move,True,True,True
129,8,Milo,milo:tool_loan:audit:d008:s03,tool loan,0.333326,0.329326,0.623886,0.640886,talk,True,True,True
130,8,Sera,sera:repair_promise:audit:d008:s04,repair promise,0.34144,0.32344,0.425549,0.442549,offer_help,True,True,True
131,8,Tovan,tovan:care_favor:audit:d008:s05,care favor,0.349525,0.373525,0.292153,0.274153,borrow_tool,True,True,True
132,8,Nia,nia:tool_loan:audit:d008:s06,tool loan,0.357569,0.339569,0.353244,0.370244,return_tool,True,True,True
133,8,Ari,ari:repair_promise:audit:d008:s07,repair promise,0.365562,0.389562,0.59676,0.57876,interrupt_work,True,True,True
134,8,Fay,fay:care_favor:audit:d008:s08,care favor,0.373493,0.369493,0.692272,0.694272,wait_offscreen,True,True,True
135,8,Milo,milo:tool_loan:audit:d008:s09,tool loan,0.38135,0.36335,0.612083,0.629083,repair_trust,True,True,True
136,8,Sera,sera:repair_promise:audit:d008:s10,repair promise,0.389123,0.385123,0.435492,0.437492,move,True,True,True
137,8,Tovan,tovan:care_favor:audit:d008:s11,care favor,0.396802,0.392802,0.287735,0.304735,talk,True,True,True
138,8,Nia,nia:tool_loan:audit:d008:s12,tool loan,0.404376,0.386376,0.342061,0.359061,offer_help,True,True,True
139,8,Ari,ari:repair_promise:audit:d008:s13,repair promise,0.411834,0.435834,0.580602,0.562602,borrow_tool,True,True,True
140,8,Fay,fay:care_favor:audit:d008:s14,care favor,0.419166,0.401166,0.695809,0.712809,return_tool,True,True,True
141,8,Milo,milo:tool_loan:audit:d008:s15,tool loan,0.426363,0.450363,0.610239,0.592239,interrupt_work,True,True,True
142,8,Sera,sera:repair_promise:audit:d008:s16,repair promise,0.433414,0.429414,0.421477,0.423477,wait_offscreen,True,True,True
143,8,Tovan,tovan:care_favor:audit:d008:s17,care favor,0.44031,0.42231,0.303504,0.320504,repair_trust,True,True,True
144,9,Nia,nia:tool_loan:audit:d009:s00,tool loan,0.447041,0.443041,0.360047,0.377047,talk,True,True,True
145,9,Ari,ari:repair_promise:audit:d009:s01,repair promise,0.453598,0.435598,0.588579,0.605579,offer_help,True,True,True
146,9,Fay,fay:care_favor:audit:d009:s02,care favor,0.459972,0.483972,0.699549,0.681549,borrow_tool,True,True,True
147,9,Milo,milo:tool_loan:audit:d009:s03,tool loan,0.466155,0.448155,0.593202,0.610202,return_tool,True,True,True
148,9,Sera,sera:repair_promise:audit:d009:s04,repair promise,0.472138,0.496138,0.406869,0.388869,interrupt_work,True,True,True
149,9,Tovan,tovan:care_favor:audit:d009:s05,care favor,0.477912,0.473912,0.307311,0.309311,wait_offscreen,True,True,True
150,9,Nia,nia:tool_loan:audit:d009:s06,tool loan,0.48347,0.46547,0.363401,0.380401,repair_trust,True,True,True
151,9,Ari,ari:repair_promise:audit:d009:s07,repair promise,0.488805,0.484805,0.586591,0.588591,move,True,True,True
152,9,Fay,fay:care_favor:audit:d009:s08,care favor,0.493908,0.489908,0.701359,0.718359,talk,True,True,True
153,9,Milo,milo:tool_loan:audit:d009:s09,tool loan,0.498773,0.480773,0.593824,0.610824,offer_help,True,True,True
154,9,Sera,sera:repair_promise:audit:d009:s10,repair promise,0.503394,0.527394,0.406929,0.388929,borrow_tool,True,True,True
155,9,Tovan,tovan:care_favor:audit:d009:s11,care favor,0.507764,0.489764,0.29434,0.31134,return_tool,True,True,True
156,9,Nia,nia:tool_loan:audit:d009:s12,tool loan,0.511876,0.535876,0.356772,0.338772,interrupt_work,True,True,True
157,9,Ari,ari:repair_promise:audit:d009:s13,repair promise,0.515726,0.511726,0.604842,0.606842,wait_offscreen,True,True,True
158,9,Fay,fay:care_favor:audit:d009:s14,care favor,0.519308,0.501308,0.698524,0.715524,repair_trust,True,True,True
159,9,Milo,milo:tool_loan:audit:d009:s15,tool loan,0.522618,0.518618,0.610188,0.612188,move,True,True,True
160,9,Sera,sera:repair_promise:audit:d009:s16,repair promise,0.525649,0.521649,0.418223,0.435223,talk,True,True,True
161,9,Tovan,tovan:care_favor:audit:d009:s17,care favor,0.5284,0.5104,0.305417,0.322417,offer_help,True,True,True
162,10,Nia,nia:tool_loan:audit:d010:s00,tool loan,0.530865,0.512865,0.37234,0.38934,return_tool,True,True,True
163,10,Ari,ari:repair_promise:audit:d010:s01,repair promise,0.533041,0.557041,0.618152,0.600152,interrupt_work,True,True,True
164,10,Fay,fay:care_favor:audit:d010:s02,care favor,0.534926,0.530926,0.688255,0.690255,wait_offscreen,True,True,True
165,10,Milo,milo:tool_loan:audit:d010:s03,tool loan,0.536517,0.518517,0.592247,0.609247,repair_trust,True,True,True
166,10,Sera,sera:repair_promise:audit:d010:s04,repair promise,0.537811,0.533811,0.414474,0.416474,move,True,True,True
167,10,Tovan,tovan:care_favor:audit:d010:s05,care favor,0.538807,0.534807,0.300063,0.317063,talk,True,True,True
168,10,Nia,nia:tool_loan:audit:d010:s06,tool loan,0.539504,0.521504,0.376309,0.393309,offer_help,True,True,True
169,10,Ari,ari:repair_promise:audit:d010:s07,repair promise,0.5399,0.5639,0.602199,0.584199,borrow_tool,True,True,True
170,10,Fay,fay:care_favor:audit:d010:s08,care favor,0.539995,0.521995,0.687033,0.704033,return_tool,True,True,True
171,10,Milo,milo:tool_loan:audit:d010:s09,tool loan,0.539789,0.563789,0.583108,0.565108,interrupt_work,True,True,True
172,10,Sera,sera:repair_promise:audit:d010:s10,repair promise,0.539282,0.535282,0.390348,0.392348,wait_offscreen,True,True,True
173,10,Tovan,tovan:care_favor:audit:d010:s11,care favor,0.538475,0.520475,0.301449,0.318449,repair_trust,True,True,True
174,10,Nia,nia:tool_loan:audit:d010:s12,tool loan,0.537369,0.533369,0.359044,0.361044,move,True,True,True
175,10,Ari,ari:repair_promise:audit:d010:s13,repair promise,0.535965,0.531965,0.619031,0.636031,talk,True,True,True
176,10,Fay,fay:care_favor:audit:d010:s14,care favor,0.534266,0.516266,0.698707,0.715707,offer_help,True,True,True
177,10,Milo,milo:tool_loan:audit:d010:s15,tool loan,0.532273,0.556273,0.596422,0.578422,borrow_tool,True,True,True
178,10,Sera,sera:repair_promise:audit:d010:s16,repair promise,0.52999,0.51199,0.40912,0.42612,return_tool,True,True,True
179,10,Tovan,tovan:care_favor:audit:d010:s17,care favor,0.52742,0.55142,0.304948,0.286948,interrupt_work,True,True,True
180,11,Nia,nia:tool_loan:audit:d011:s00,tool loan,0.524565,0.506565,0.366683,0.383683,repair_trust,True,True,True
181,11,Ari,ari:repair_promise:audit:d011:s01,repair promise,0.521431,0.517431,0.619181,0.621181,move,True,True,True
182,11,Fay,fay:care_favor:audit:d011:s02,care favor,0.51802,0.51402,0.685295,0.702295,talk,True,True,True
183,11,Milo,milo:tool_loan:audit:d011:s03,tool loan,0.514339,0.496339,0.575633,0.592633,offer_help,True,True,True
184,11,Sera,sera:repair_promise:audit:d011:s04,repair promise,0.510392,0.534392,0.395398,0.377398,borrow_tool,True,True,True
185,11,Tovan,tovan:care_favor:audit:d011:s05,care favor,0.506184,0.488184,0.282994,0.299994,return_tool,True,True,True
186,11,Nia,nia:tool_loan:audit:d011:s06,tool loan,0.501721,0.525721,0.37317,0.35517,interrupt_work,True,True,True
187,11,Ari,ari:repair_promise:audit:d011:s07,repair promise,0.497009,0.493009,0.627369,0.629369,wait_offscreen,True,True,True
188,11,Fay,fay:care_favor:audit:d011:s08,care favor,0.492056,0.474056,0.698571,0.715571,repair_trust,True,True,True
189,11,Milo,milo:tool_loan:audit:d011:s09,tool loan,0.486866,0.482866,0.57574,0.57774,move,True,True,True
190,11,Sera,sera:repair_promise:audit:d011:s10,repair promise,0.481448,0.477448,0.386312,0.403312,talk,True,True,True
191,11,Tovan,tovan:care_favor:audit:d011:s11,care favor,0.47581,0.45781,0.284203,0.301203,offer_help,True,True,True
192,11,Nia,nia:tool_loan:audit:d011:s12,tool loan,0.469958,0.493958,0.387006,0.369006,borrow_tool,True,True,True
193,11,Ari,ari:repair_promise:audit:d011:s13,repair promise,0.4639,0.4459,0.621557,0.638557,return_tool,True,True,True
194,11,Fay,fay:care_favor:audit:d011:s14,care favor,0.457646,0.481646,0.682681,0.664681,interrupt_work,True,True,True
195,11,Milo,milo:tool_loan:audit:d011:s15,tool loan,0.451203,0.447203,0.58687,0.58887,wait_offscreen,True,True,True
196,11,Sera,sera:repair_promise:audit:d011:s16,repair promise,0.444581,0.426581,0.386609,0.403609,repair_trust,True,True,True
197,11,Tovan,tovan:care_favor:audit:d011:s17,care favor,0.437788,0.433788,0.292309,0.294309,move,True,True,True
198,12,Nia,nia:tool_loan:audit:d012:s00,tool loan,0.430834,0.412834,0.388832,0.405832,offer_help,True,True,True
199,12,Ari,ari:repair_promise:audit:d012:s01,repair promise,0.423728,0.447728,0.619159,0.601159,borrow_tool,True,True,True
200,12,Fay,fay:care_favor:audit:d012:s02,care favor,0.41648,0.39848,0.678369,0.695369,return_tool,True,True,True
201,12,Milo,milo:tool_loan:audit:d012:s03,tool loan,0.409101,0.433101,0.576649,0.558649,interrupt_work,True,True,True
202,12,Sera,sera:repair_promise:audit:d012:s04,repair promise,0.401599,0.397599,0.378814,0.380814,wait_offscreen,True,True,True
203,12,Tovan,tovan:care_favor:audit:d012:s05,care favor,0.393985,0.375985,0.286618,0.303618,repair_trust,True,True,True
204,12,Nia,nia:tool_loan:audit:d012:s06,tool loan,0.38627,0.38227,0.398603,0.400603,move,True,True,True
205,12,Ari,ari:repair_promise:audit:d012:s07,repair promise,0.378465,0.374465,0.615584,0.632584,talk,True,True,True
206,12,Fay,fay:care_favor:audit:d012:s08,care favor,0.370579,0.352579,0.683649,0.700649,offer_help,True,True,True
207,12,Milo,milo:tool_loan:audit:d012:s09,tool loan,0.362625,0.386625,0.575993,0.557993,borrow_tool,True,True,True
208,12,Sera,sera:repair_promise:audit:d012:s10,repair promise,0.354612,0.336612,0.38618,0.40318,return_tool,True,True,True
209,12,Tovan,tovan:care_favor:audit:d012:s11,care favor,0.346551,0.370551,0.288627,0.270627,interrupt_work,True,True,True
210,12,Nia,nia:tool_loan:audit:d012:s12,tool loan,0.338454,0.334454,0.391306,0.393306,wait_offscreen,True,True,True
211,12,Ari,ari:repair_promise:audit:d012:s13,repair promise,0.330332,0.312332,0.616402,0.633402,repair_trust,True,True,True
212,12,Fay,fay:care_favor:audit:d012:s14,care favor,0.322196,0.318196,0.702173,0.704173,move,True,True,True
213,12,Milo,milo:tool_loan:audit:d012:s15,tool loan,0.314057,0.310057,0.570306,0.587306,talk,True,True,True
214,12,Sera,sera:repair_promise:audit:d012:s16,repair promise,0.305926,0.287926,0.384836,0.401836,offer_help,True,True,True
215,12,Tovan,tovan:care_favor:audit:d012:s17,care favor,0.297814,0.321814,0.299164,0.281164,borrow_tool,True,True,True
216,13,Nia,nia:tool_loan:audit:d013:s00,tool loan,0.289732,0.313732,0.410492,0.392492,interrupt_work,True,True,True
217,13,Ari,ari:repair_promise:audit:d013:s01,repair promise,0.281692,0.277692,0.632274,0.634274,wait_offscreen,True,True,True
218,13,Fay,fay:care_favor:audit:d013:s02,care favor,0.273705,0.255705,0.677213,0.694213,repair_trust,True,True,True
219,13,Milo,milo:tool_loan:audit:d013:s03,tool loan,0.26578,0.26178,0.555827,0.557827,move,True,True,True
220,13,Sera,sera:repair_promise:audit:d013:s04,repair promise,0.25793,0.25393,0.362666,0.379666,talk,True,True,True
221,13,Tovan,tovan:care_favor:audit:d013:s05,care favor,0.250165,0.232165,0.300542,0.317542,offer_help,True,True,True
222,13,Nia,nia:tool_loan:audit:d013:s06,tool loan,0.242496,0.266496,0.401601,0.383601,borrow_tool,True,True,True
