tick,choice_id,lineage,agent,public_state,selected_branch_panel,mutable_state_panel,restore_panel,followup_panel,rollback_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
11,11,Marketline,Melo,choice 11: Melo/Marketline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.65; boundary=0.26,restore survives=True; restore_hash=33622f82d591661a,Melo: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-011; replay=03394dd845a9bc0e,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.17; flower=104.7,False,ssrm254_browser_world_v14_branch_state,111d90419b2bd572d4
12,12,Marketline,Melo,choice 12: Melo/Marketline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.25,restore survives=True; restore_hash=01dc9099bf453d6c,Melo: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-012; replay=618c73ca61f22090,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.17; flower=242.2,False,ssrm254_browser_world_v14_branch_state,82c5599167867daaa2
13,13,Marketline,Melo,choice 13: Melo/Marketline selected summary_then_decide,Request public summary before choosing access.; parsed=0.87; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.63; boundary=0.27",restore survives=True; restore_hash=2ad44363c9ac5da2,Melo: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-013; replay=1ae3522674d21f51,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.17; flower=19.7,False,ssrm254_browser_world_v14_branch_state,7422e8f3f42dcab8d8
14,14,Marketline,Melo,choice 14: Melo/Marketline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.34,restore survives=True; restore_hash=86c22ef8ad8dfbd0,"Melo: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-014; replay=bc7799437838adbb,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.17; flower=157.2,False,ssrm254_browser_world_v14_branch_state,1940eaa8374fa516a1
15,15,Marketline,Melo,choice 15: Melo/Marketline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.89; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.63; boundary=0.27",restore survives=True; restore_hash=b710eb7827c5e4be,Melo: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-015; replay=78a0efb63ff3d8cb,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.17; flower=294.7,False,ssrm254_browser_world_v14_branch_state,2d0d390839f01affe8
16,16,Ledgerline,Nari,choice 16: Nari/Ledgerline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.87; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.25,restore survives=True; restore_hash=72fcb8531be2b69f,Nari: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-016; replay=15e98df7cd107551,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.17; flower=66.9,False,ssrm254_browser_world_v14_branch_state,7a57d292620c33b25f
17,17,Ledgerline,Nari,choice 17: Nari/Ledgerline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.24,restore survives=True; restore_hash=c825dfb0c9651017,Nari: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-017; replay=4f203b481fb62d6f,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.17; flower=204.4,False,ssrm254_browser_world_v14_branch_state,42bd2643536db87a26
18,18,Ledgerline,Nari,choice 18: Nari/Ledgerline selected summary_then_decide,Request public summary before choosing access.; parsed=0.89; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.63; boundary=0.26",restore survives=True; restore_hash=e712e7a628f0efab,Nari: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-018; replay=14455a7f061c7d5d,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.17; flower=341.9,False,ssrm254_browser_world_v14_branch_state,ec3ea48ecd916ef98e
19,19,Ledgerline,Nari,choice 19: Nari/Ledgerline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.86; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.34,restore survives=True; restore_hash=f740ce5bb69e2a93,"Nari: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-019; replay=125a4fca1b7101cb,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.17; flower=119.4,False,ssrm254_browser_world_v14_branch_state,869e74729b6ab9537f
20,20,Ledgerline,Nari,choice 20: Nari/Ledgerline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.88; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.63; boundary=0.27",restore survives=True; restore_hash=d0c0f2303dcf6d91,Nari: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-020; replay=77130e0dbbbc4f4e,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.17; flower=256.9,False,ssrm254_browser_world_v14_branch_state,4d6b74d7063b910ebb
21,21,Orchardline,Ori,choice 21: Ori/Orchardline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.65; boundary=0.26,restore survives=True; restore_hash=c440986d718d7e89,Ori: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-021; replay=b37eafbc59271f12,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.17; flower=38.9,False,ssrm254_browser_world_v14_branch_state,a6059bc7e906e8bbb0
22,22,Orchardline,Ori,choice 22: Ori/Orchardline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.89; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.67; boundary=0.25,restore survives=True; restore_hash=d1fa017bf3679475,Ori: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-022; replay=b970adfeb69d4f07,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.17; flower=176.4,False,ssrm254_browser_world_v14_branch_state,f9f035f3b9dbd74b30
23,23,Orchardline,Ori,choice 23: Ori/Orchardline selected summary_then_decide,Request public summary before choosing access.; parsed=0.87; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.64; boundary=0.27",restore survives=True; restore_hash=aafc8ab0481b5a52,Ori: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-023; replay=3073784338ab41a0,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.17; flower=313.9,False,ssrm254_browser_world_v14_branch_state,9c4f181deffcdca517
24,24,Orchardline,Ori,choice 24: Ori/Orchardline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.86; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.58; boundary=0.34,restore survives=True; restore_hash=5f84df78f026d4eb,"Ori: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-024; replay=5a60c9e508a5c1cb,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.17; flower=91.4,False,ssrm254_browser_world_v14_branch_state,5a324f3c55836b0233
25,25,Orchardline,Ori,choice 25: Ori/Orchardline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.63; boundary=0.27",restore survives=True; restore_hash=53d1a9a51c716f9d,Ori: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-025; replay=a784c2082a064440,sound=mutate bell 2.40Hz; smell=Ceremony Center branch dust; temp=0.61; wet=0.17; flower=228.9,False,ssrm254_browser_world_v14_branch_state,5dabb29981d3e82063
26,26,Rainline,Vonn,choice 26: Vonn/Rainline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.25,restore survives=True; restore_hash=c57595a48e64dec4,Vonn: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-026; replay=b2a0d0fcdc3faedd,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.17; flower=2.8,False,ssrm254_browser_world_v14_branch_state,cf1623e60a44542e60
27,27,Rainline,Vonn,choice 27: Vonn/Rainline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.88; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.24,restore survives=True; restore_hash=f5c8751d80bafa2e,Vonn: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-027; replay=61e7ef9669a154ff,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.17; flower=140.3,False,ssrm254_browser_world_v14_branch_state,e150cf11963bb07ec1
28,28,Rainline,Vonn,choice 28: Vonn/Rainline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.63; boundary=0.26",restore survives=True; restore_hash=f6bceb98bec7895f,no follow-up generated for this restored branch yet,rollback=True; checkpoint=r254-choice-028; replay=8995788cd3243dbd,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.17; flower=277.8,False,ssrm254_browser_world_v14_branch_state,95edf567ba2e36d045
29,29,Rainline,Vonn,choice 29: Vonn/Rainline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.86; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.34,restore survives=True; restore_hash=3fa96ab0b9d1c3fc,"Vonn: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-029; replay=4b218e0de246c84f,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.17; flower=55.3,False,ssrm254_browser_world_v14_branch_state,0f504e5c89c84ec18f
30,30,Rainline,Vonn,choice 30: Vonn/Rainline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.88; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.63; boundary=0.27",restore survives=True; restore_hash=82c2642a30f92591,Vonn: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-030; replay=2e3ef1a17cf8c71e,sound=mutate bell 2.12Hz; smell=Rainwalk Threshold branch dust; temp=0.61; wet=0.17; flower=192.8,False,ssrm254_browser_world_v14_branch_state,b807c2e49f0eeafba0
31,31,Hearthline,Sova,choice 31: Sova/Hearthline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.65; boundary=0.26,restore survives=True; restore_hash=3f4371401cbbcc15,Sova: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-031; replay=61405dcd847ad768,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.18; flower=332.8,False,ssrm254_browser_world_v14_branch_state,03754ec52f300486c3
32,32,Hearthline,Sova,choice 32: Sova/Hearthline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.67; boundary=0.25,restore survives=True; restore_hash=adb07b3bd479ced3,Sova: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-032; replay=9275b8fc2c6ed0b2,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.18; flower=110.3,False,ssrm254_browser_world_v14_branch_state,22192da80be26da1d5
33,33,Hearthline,Sova,choice 33: Sova/Hearthline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.64; boundary=0.27",restore survives=True; restore_hash=2c79a4039a31c49a,Sova: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-033; replay=395dbfa5dc53879e,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.18; flower=247.8,False,ssrm254_browser_world_v14_branch_state,bf71fc86aff8115dc6
34,34,Hearthline,Sova,choice 34: Sova/Hearthline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.86; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.58; boundary=0.34,restore survives=True; restore_hash=0f3e111c83652bb3,"Sova: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-034; replay=e70594a643d16be5,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.18; flower=25.3,False,ssrm254_browser_world_v14_branch_state,40392984167023003f
35,35,Hearthline,Sova,choice 35: Sova/Hearthline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.88; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.63; boundary=0.27",restore survives=True; restore_hash=93ab912e3ca05898,Sova: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-035; replay=d325010da05a6c71,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.18; flower=162.8,False,ssrm254_browser_world_v14_branch_state,283f12c755bff7833a
36,36,Routeline,Keth,choice 36: Keth/Routeline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.89; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.26,restore survives=True; restore_hash=292f5521774f0dac,Keth: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-036; replay=c99ee03b8831ba97,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.18; flower=298.5,False,ssrm254_browser_world_v14_branch_state,3c7771d248e4f1d2d2
37,37,Routeline,Keth,choice 37: Keth/Routeline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.88; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.25,restore survives=True; restore_hash=62077aeacb3cd59b,Keth: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-037; replay=7d7f4f9290e28178,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.18; flower=76.0,False,ssrm254_browser_world_v14_branch_state,a5e561232554769e52
38,38,Routeline,Keth,choice 38: Keth/Routeline selected summary_then_decide,Request public summary before choosing access.; parsed=0.87; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.63; boundary=0.27",restore survives=True; restore_hash=8951d4e46bb90a6f,Keth: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-038; replay=18d2254c4d59f6ed,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.18; flower=213.5,False,ssrm254_browser_world_v14_branch_state,3fa32d644e318d0164
39,39,Routeline,Keth,choice 39: Keth/Routeline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.34,restore survives=True; restore_hash=1c02673847deeebb,"Keth: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-039; replay=7cfee7d7cfcfbc1d,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.18; flower=351.0,False,ssrm254_browser_world_v14_branch_state,175895f6f286d556b8
40,40,Routeline,Keth,choice 40: Keth/Routeline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.62; boundary=0.28",restore survives=True; restore_hash=a1d28dcd227e5958,Keth: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-040; replay=f491d93220f7a945,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.18; flower=128.5,False,ssrm254_browser_world_v14_branch_state,f280b10d31fac481b6
41,41,Marketline,Melo,choice 41: Melo/Marketline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.26,restore survives=True; restore_hash=cfd5ee03627d2826,Melo: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-041; replay=097b4cc8fbbd9299,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.18; flower=269.9,False,ssrm254_browser_world_v14_branch_state,2bde8cade8626c44ac
42,42,Marketline,Melo,choice 42: Melo/Marketline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.25,restore survives=True; restore_hash=57f19b1a0e942132,Melo: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-042; replay=134e8b9723aeb40c,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.18; flower=47.4,False,ssrm254_browser_world_v14_branch_state,c810dacfbc17dbfc80
43,43,Marketline,Melo,choice 43: Melo/Marketline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.63; boundary=0.27",restore survives=True; restore_hash=8458c25a8352604d,Melo: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-043; replay=d77bac364c8ad293,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.18; flower=184.9,False,ssrm254_browser_world_v14_branch_state,1169a79e6870414699
44,44,Marketline,Melo,choice 44: Melo/Marketline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.35,restore survives=True; restore_hash=feab23a151311cdf,"Melo: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-044; replay=9d72dfbf8bb3bcf7,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.18; flower=322.5,False,ssrm254_browser_world_v14_branch_state,1b48f8f019878ce6f3
45,45,Marketline,Melo,choice 45: Melo/Marketline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.88; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.62; boundary=0.28",restore survives=True; restore_hash=5d64485b9de785f5,Melo: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-045; replay=3beebd3219992ac3,sound=mutate bell 2.47Hz; smell=Market Measure branch dust; temp=0.61; wet=0.18; flower=100.0,False,ssrm254_browser_world_v14_branch_state,87b7db713e28b500a2
46,46,Ledgerline,Nari,choice 46: Nari/Ledgerline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.89; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.64; boundary=0.26,restore survives=True; restore_hash=5fe906b964f7f6bc,Nari: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-046; replay=627af2d7bf56194b,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.18; flower=232.1,False,ssrm254_browser_world_v14_branch_state,83822a9ac4839edc12
47,47,Ledgerline,Nari,choice 47: Nari/Ledgerline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.65; boundary=0.25,restore survives=True; restore_hash=809aeb9c637fd7eb,Nari: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-047; replay=ee73b726f1fa65dd,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.18; flower=9.6,False,ssrm254_browser_world_v14_branch_state,6ae42d83215e54a51a
48,48,Ledgerline,Nari,choice 48: Nari/Ledgerline selected summary_then_decide,Request public summary before choosing access.; parsed=0.89; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.62; boundary=0.26",restore survives=True; restore_hash=481b7df8ad255126,no follow-up generated for this restored branch yet,rollback=True; checkpoint=r254-choice-048; replay=c20ac9b5753e949f,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.18; flower=147.2,False,ssrm254_browser_world_v14_branch_state,c75981edacef42fa5d
49,49,Ledgerline,Nari,choice 49: Nari/Ledgerline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.56; boundary=0.34,restore survives=True; restore_hash=00513d7b31d566fa,"Nari: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-049; replay=bf0af04f4937caec,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.18; flower=284.7,False,ssrm254_browser_world_v14_branch_state,28e472c64a24cbcb0d
50,50,Ledgerline,Nari,choice 50: Nari/Ledgerline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.88; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.62; boundary=0.27",restore survives=True; restore_hash=955c29f183dac02f,Nari: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-050; replay=c7451bd55d0860e6,sound=mutate bell 2.06Hz; smell=Hearth Archive branch dust; temp=0.60; wet=0.18; flower=62.2,False,ssrm254_browser_world_v14_branch_state,06da15fcd340ddf0d1
