tick_id,day,settlement_id,snapshot_key,sensory_packet_count,tool_claim_count,dialogue_hook_count,task_consequence_count,sensory_memory_count,checksum,restored_sensory_visible,restored_tool_claim_visible,restored_dialogue_visible,restored_queue_consequence_visible,restored_sensory_memory_visible,replay_exportable
126,8,orchard,ssrm.v42.snapshot.orchard.8.0,22,13,14,22,22,v42-620031,True,True,True,True,True,True
141,8,roofward,ssrm.v42.snapshot.roofward.8.15,24,17,15,24,24,v42-684734,True,True,True,True,True,True
143,8,signal,ssrm.v42.snapshot.signal.8.17,24,9,17,24,12,v42-592817,True,True,True,True,True,True
144,9,repair_ring,ssrm.v42.snapshot.repair_ring.9.0,25,15,15,25,13,v42-766973,True,True,True,True,True,True
161,9,orchard,ssrm.v42.snapshot.orchard.9.17,27,17,17,27,27,v42-646875,True,True,True,True,True,True
162,10,riverbend,ssrm.v42.snapshot.riverbend.10.0,28,10,18,28,13,v42-712331,True,True,True,True,True,True
179,10,repair_ring,ssrm.v42.snapshot.repair_ring.10.17,30,19,19,30,15,v42-801162,True,True,True,True,True,True
180,11,roofward,ssrm.v42.snapshot.roofward.11.0,31,20,21,31,28,v42-677825,True,True,True,True,True,True
188,11,signal,ssrm.v42.snapshot.signal.11.8,32,12,22,32,17,v42-605054,True,True,True,True,True,True
197,11,riverbend,ssrm.v42.snapshot.riverbend.11.17,33,12,21,33,15,v42-728589,True,True,True,True,True,True
198,12,archive,ssrm.v42.snapshot.archive.12.0,34,22,21,34,16,v42-637020,True,True,True,True,True,True
215,12,roofward,ssrm.v42.snapshot.roofward.12.17,36,24,23,36,28,v42-702771,True,True,True,True,True,True
216,13,signal,ssrm.v42.snapshot.signal.13.0,37,13,24,37,19,v42-608113,True,True,True,True,True,True
233,13,archive,ssrm.v42.snapshot.archive.13.17,39,26,24,39,18,v42-662921,True,True,True,True,True,True
234,14,orchard,ssrm.v42.snapshot.orchard.14.0,40,27,23,40,28,v42-639280,True,True,True,True,True,True
235,14,repair_ring,ssrm.v42.snapshot.repair_ring.14.1,40,27,27,40,21,v42-782350,True,True,True,True,True,True
251,14,signal,ssrm.v42.snapshot.signal.14.17,42,15,28,42,21,v42-624518,True,True,True,True,True,True
252,15,repair_ring,ssrm.v42.snapshot.repair_ring.15.0,43,29,29,43,22,v42-786079,True,True,True,True,True,True
269,15,orchard,ssrm.v42.snapshot.orchard.15.17,45,30,26,45,28,v42-661158,True,True,True,True,True,True
270,16,riverbend,ssrm.v42.snapshot.riverbend.16.0,46,16,27,46,22,v42-716297,True,True,True,True,True,True
282,16,riverbend,ssrm.v42.snapshot.riverbend.16.12,48,18,28,48,24,v42-737010,True,True,True,True,True,True
287,16,repair_ring,ssrm.v42.snapshot.repair_ring.16.17,48,32,31,48,24,v42-805504,True,True,True,True,True,True
288,17,roofward,ssrm.v42.snapshot.roofward.17.0,49,34,30,49,28,v42-687486,True,True,True,True,True,True
305,17,riverbend,ssrm.v42.snapshot.riverbend.17.17,51,18,30,51,24,v42-732561,True,True,True,True,True,True
306,18,archive,ssrm.v42.snapshot.archive.18.0,52,36,34,52,25,v42-641972,True,True,True,True,True,True
323,18,roofward,ssrm.v42.snapshot.roofward.18.17,54,37,34,54,28,v42-706737,True,True,True,True,True,True
324,19,signal,ssrm.v42.snapshot.signal.19.0,55,19,38,55,28,v42-613718,True,True,True,True,True,True
329,19,archive,ssrm.v42.snapshot.archive.19.5,55,38,36,55,27,v42-647961,True,True,True,True,True,True
341,19,archive,ssrm.v42.snapshot.archive.19.17,57,39,37,57,27,v42-667548,True,True,True,True,True,True
342,20,orchard,ssrm.v42.snapshot.orchard.20.0,58,37,36,58,28,v42-645998,True,True,True,True,True,True
359,20,signal,ssrm.v42.snapshot.signal.20.17,60,21,40,60,28,v42-622917,True,True,True,True,True,True
360,21,repair_ring,ssrm.v42.snapshot.repair_ring.21.0,61,39,38,61,28,v42-787498,True,True,True,True,True,True
376,21,signal,ssrm.v42.snapshot.signal.21.16,63,21,43,63,28,v42-625929,True,True,True,True,True,True
377,21,orchard,ssrm.v42.snapshot.orchard.21.17,63,41,39,63,28,v42-662192,True,True,True,True,True,True
378,22,riverbend,ssrm.v42.snapshot.riverbend.22.0,64,22,40,64,28,v42-714677,True,True,True,True,True,True
395,22,repair_ring,ssrm.v42.snapshot.repair_ring.22.17,66,43,42,66,28,v42-807256,True,True,True,True,True,True
396,23,roofward,ssrm.v42.snapshot.roofward.23.0,67,44,44,67,28,v42-688520,True,True,True,True,True,True
413,23,riverbend,ssrm.v42.snapshot.riverbend.23.17,69,24,43,69,28,v42-739378,True,True,True,True,True,True
414,24,archive,ssrm.v42.snapshot.archive.24.0,70,46,43,70,28,v42-642349,True,True,True,True,True,True
423,24,repair_ring,ssrm.v42.snapshot.repair_ring.24.9,71,47,45,71,28,v42-791120,True,True,True,True,True,True
431,24,roofward,ssrm.v42.snapshot.roofward.24.17,72,48,46,72,28,v42-707436,True,True,True,True,True,True
432,25,signal,ssrm.v42.snapshot.signal.25.0,73,25,47,73,28,v42-611743,True,True,True,True,True,True
449,25,archive,ssrm.v42.snapshot.archive.25.17,75,50,46,75,28,v42-664570,True,True,True,True,True,True
450,26,orchard,ssrm.v42.snapshot.orchard.26.0,76,51,45,76,28,v42-646609,True,True,True,True,True,True
467,26,signal,ssrm.v42.snapshot.signal.26.17,78,27,51,78,28,v42-633549,True,True,True,True,True,True
468,27,repair_ring,ssrm.v42.snapshot.repair_ring.27.0,79,53,52,79,28,v42-792851,True,True,True,True,True,True
470,27,roofward,ssrm.v42.snapshot.roofward.27.2,79,54,50,79,28,v42-691812,True,True,True,True,True,True
485,27,orchard,ssrm.v42.snapshot.orchard.27.17,81,54,48,81,28,v42-665472,True,True,True,True,True,True
486,28,riverbend,ssrm.v42.snapshot.riverbend.28.0,82,28,49,82,28,v42-721687,True,True,True,True,True,True
503,28,repair_ring,ssrm.v42.snapshot.repair_ring.28.17,84,56,54,84,28,v42-811599,True,True,True,True,True,True
504,29,roofward,ssrm.v42.snapshot.roofward.29.0,85,58,53,85,28,v42-692140,True,True,True,True,True,True
517,29,archive,ssrm.v42.snapshot.archive.29.13,87,59,55,87,28,v42-669574,True,True,True,True,True,True
521,29,riverbend,ssrm.v42.snapshot.riverbend.29.17,87,30,52,87,28,v42-740326,True,True,True,True,True,True
522,30,archive,ssrm.v42.snapshot.archive.30.0,88,60,56,88,28,v42-647401,True,True,True,True,True,True
539,30,roofward,ssrm.v42.snapshot.roofward.30.17,90,61,57,90,28,v42-705451,True,True,True,True,True,True
540,31,signal,ssrm.v42.snapshot.signal.31.0,91,31,61,91,28,v42-608427,True,True,True,True,True,True
557,31,archive,ssrm.v42.snapshot.archive.31.17,93,63,59,93,28,v42-666272,True,True,True,True,True,True
558,32,orchard,ssrm.v42.snapshot.orchard.32.0,94,61,58,94,28,v42-647304,True,True,True,True,True,True
564,32,orchard,ssrm.v42.snapshot.orchard.32.6,95,62,59,95,28,v42-650604,True,True,True,True,True,True
575,32,signal,ssrm.v42.snapshot.signal.32.17,96,33,63,96,28,v42-632579,True,True,True,True,True,True
576,33,repair_ring,ssrm.v42.snapshot.repair_ring.33.0,97,63,61,97,28,v42-792194,True,True,True,True,True,True
593,33,orchard,ssrm.v42.snapshot.orchard.33.17,99,65,61,99,28,v42-669513,True,True,True,True,True,True
594,34,riverbend,ssrm.v42.snapshot.riverbend.34.0,100,34,62,100,28,v42-745334,True,True,True,True,True,True
611,34,repair_ring,ssrm.v42.snapshot.repair_ring.34.17,102,67,65,102,28,v42-839543,True,True,True,True,True,True
612,35,roofward,ssrm.v42.snapshot.roofward.35.0,103,68,67,103,28,v42-720448,True,True,True,True,True,True
629,35,riverbend,ssrm.v42.snapshot.riverbend.35.17,105,36,65,105,28,v42-770140,True,True,True,True,True,True
630,36,archive,ssrm.v42.snapshot.archive.36.0,106,70,65,106,28,v42-676874,True,True,True,True,True,True
647,36,roofward,ssrm.v42.snapshot.roofward.36.17,108,72,69,108,28,v42-742508,True,True,True,True,True,True
648,37,signal,ssrm.v42.snapshot.signal.37.0,109,37,70,109,28,v42-645489,True,True,True,True,True,True
658,37,roofward,ssrm.v42.snapshot.roofward.37.10,110,73,71,110,28,v42-733759,True,True,True,True,True,True
665,37,archive,ssrm.v42.snapshot.archive.37.17,111,74,68,111,28,v42-696153,True,True,True,True,True,True
666,38,orchard,ssrm.v42.snapshot.orchard.38.0,112,75,67,112,28,v42-678107,True,True,True,True,True,True
683,38,signal,ssrm.v42.snapshot.signal.38.17,114,39,74,114,28,v42-664386,True,True,True,True,True,True
684,39,repair_ring,ssrm.v42.snapshot.repair_ring.39.0,115,77,75,115,28,v42-825063,True,True,True,True,True,True
701,39,orchard,ssrm.v42.snapshot.orchard.39.17,117,78,70,117,28,v42-700077,True,True,True,True,True,True
702,40,riverbend,ssrm.v42.snapshot.riverbend.40.0,118,40,71,118,28,v42-749424,True,True,True,True,True,True
705,40,signal,ssrm.v42.snapshot.signal.40.3,118,40,77,118,28,v42-644873,True,True,True,True,True,True
719,40,repair_ring,ssrm.v42.snapshot.repair_ring.40.17,120,80,77,120,28,v42-837879,True,True,True,True,True,True
720,41,roofward,ssrm.v42.snapshot.roofward.41.0,121,82,76,121,28,v42-718122,True,True,True,True,True,True
737,41,riverbend,ssrm.v42.snapshot.riverbend.41.17,123,42,74,123,28,v42-768141,True,True,True,True,True,True
738,42,archive,ssrm.v42.snapshot.archive.42.0,124,84,78,124,28,v42-678910,True,True,True,True,True,True
752,42,orchard,ssrm.v42.snapshot.orchard.42.14,126,83,77,126,28,v42-698165,True,True,True,True,True,True
755,42,roofward,ssrm.v42.snapshot.roofward.42.17,126,85,80,126,28,v42-740493,True,True,True,True,True,True
756,43,signal,ssrm.v42.snapshot.signal.43.0,127,43,84,127,28,v42-645191,True,True,True,True,True,True
773,43,archive,ssrm.v42.snapshot.archive.43.17,129,87,81,129,28,v42-700888,True,True,True,True,True,True
774,44,orchard,ssrm.v42.snapshot.orchard.44.0,130,85,80,130,28,v42-675773,True,True,True,True,True,True
791,44,signal,ssrm.v42.snapshot.signal.44.17,132,45,86,132,28,v42-663416,True,True,True,True,True,True
792,45,repair_ring,ssrm.v42.snapshot.repair_ring.45.0,133,87,84,133,28,v42-824407,True,True,True,True,True,True
799,45,riverbend,ssrm.v42.snapshot.riverbend.45.7,134,45,82,134,28,v42-754363,True,True,True,True,True,True
809,45,orchard,ssrm.v42.snapshot.orchard.45.17,135,89,83,135,28,v42-701117,True,True,True,True,True,True
810,46,riverbend,ssrm.v42.snapshot.riverbend.46.0,136,46,84,136,28,v42-754753,True,True,True,True,True,True
827,46,repair_ring,ssrm.v42.snapshot.repair_ring.46.17,138,91,88,138,28,v42-847349,True,True,True,True,True,True
828,47,roofward,ssrm.v42.snapshot.roofward.47.0,139,92,90,139,28,v42-725122,True,True,True,True,True,True
845,47,riverbend,ssrm.v42.snapshot.riverbend.47.17,141,48,87,141,28,v42-773480,True,True,True,True,True,True
846,48,archive,ssrm.v42.snapshot.archive.48.0,142,94,87,142,28,v42-681188,True,True,True,True,True,True
863,48,roofward,ssrm.v42.snapshot.roofward.48.17,144,96,92,144,28,v42-744132,True,True,True,True,True,True
864,49,signal,ssrm.v42.snapshot.signal.49.0,145,49,93,145,28,v42-649128,True,True,True,True,True,True
881,49,archive,ssrm.v42.snapshot.archive.49.17,147,98,90,147,28,v42-703502,True,True,True,True,True,True
882,50,orchard,ssrm.v42.snapshot.orchard.50.0,148,99,89,148,28,v42-685545,True,True,True,True,True,True
893,50,signal,ssrm.v42.snapshot.signal.50.11,149,51,96,149,28,v42-665188,True,True,True,True,True,True
899,50,signal,ssrm.v42.snapshot.signal.50.17,150,51,97,150,28,v42-662109,True,True,True,True,True,True
900,51,repair_ring,ssrm.v42.snapshot.repair_ring.51.0,151,101,98,151,28,v42-837600,True,True,True,True,True,True
917,51,orchard,ssrm.v42.snapshot.orchard.51.17,153,102,92,153,28,v42-712174,True,True,True,True,True,True
918,52,riverbend,ssrm.v42.snapshot.riverbend.52.0,154,52,93,154,28,v42-752757,True,True,True,True,True,True
935,52,repair_ring,ssrm.v42.snapshot.repair_ring.52.17,156,104,100,156,28,v42-873410,True,True,True,True,True,True
936,53,roofward,ssrm.v42.snapshot.roofward.53.0,157,106,99,157,28,v42-742585,True,True,True,True,True,True
940,53,repair_ring,ssrm.v42.snapshot.repair_ring.53.4,157,104,101,157,28,v42-856472,True,True,True,True,True,True
953,53,riverbend,ssrm.v42.snapshot.riverbend.53.17,159,54,96,159,28,v42-777585,True,True,True,True,True,True
954,54,archive,ssrm.v42.snapshot.archive.54.0,160,108,100,160,28,v42-707546,True,True,True,True,True,True
971,54,roofward,ssrm.v42.snapshot.roofward.54.17,162,109,103,162,28,v42-772692,True,True,True,True,True,True
972,55,signal,ssrm.v42.snapshot.signal.55.0,163,55,107,163,28,v42-662439,True,True,True,True,True,True
987,55,riverbend,ssrm.v42.snapshot.riverbend.55.15,165,57,101,165,28,v42-788954,True,True,True,True,True,True
989,55,archive,ssrm.v42.snapshot.archive.55.17,165,111,103,165,28,v42-729640,True,True,True,True,True,True
990,56,orchard,ssrm.v42.snapshot.orchard.56.0,166,109,102,166,28,v42-713510,True,True,True,True,True,True
1007,56,signal,ssrm.v42.snapshot.signal.56.17,168,57,109,168,28,v42-686768,True,True,True,True,True,True
1008,57,repair_ring,ssrm.v42.snapshot.repair_ring.57.0,169,111,107,169,28,v42-859887,True,True,True,True,True,True
1025,57,orchard,ssrm.v42.snapshot.orchard.57.17,171,113,105,171,28,v42-729869,True,True,True,True,True,True
1026,58,riverbend,ssrm.v42.snapshot.riverbend.58.0,172,58,106,172,28,v42-771811,True,True,True,True,True,True
1034,58,archive,ssrm.v42.snapshot.archive.58.8,173,116,107,173,28,v42-716193,True,True,True,True,True,True
1043,58,repair_ring,ssrm.v42.snapshot.repair_ring.58.17,174,115,111,174,28,v42-876746,True,True,True,True,True,True
1044,59,roofward,ssrm.v42.snapshot.roofward.59.0,175,116,113,175,28,v42-757240,True,True,True,True,True,True
1061,59,riverbend,ssrm.v42.snapshot.riverbend.59.17,177,60,109,177,28,v42-793662,True,True,True,True,True,True
1062,60,archive,ssrm.v42.snapshot.archive.60.0,178,118,109,178,28,v42-716019,True,True,True,True,True,True
1079,60,roofward,ssrm.v42.snapshot.roofward.60.17,180,120,115,180,28,v42-770370,True,True,True,True,True,True
1080,61,signal,ssrm.v42.snapshot.signal.61.0,181,61,116,181,28,v42-660461,True,True,True,True,True,True
1081,61,orchard,ssrm.v42.snapshot.orchard.61.1,181,121,110,181,28,v42-708158,True,True,True,True,True,True
1097,61,archive,ssrm.v42.snapshot.archive.61.17,183,122,112,183,28,v42-729330,True,True,True,True,True,True
1098,62,orchard,ssrm.v42.snapshot.orchard.62.0,184,123,111,184,28,v42-711187,True,True,True,True,True,True
1115,62,signal,ssrm.v42.snapshot.signal.62.17,186,63,120,186,28,v42-682420,True,True,True,True,True,True
1116,63,repair_ring,ssrm.v42.snapshot.repair_ring.63.0,187,125,121,187,28,v42-859215,True,True,True,True,True,True
1128,63,repair_ring,ssrm.v42.snapshot.repair_ring.63.12,189,127,122,189,28,v42-879577,True,True,True,True,True,True
1133,63,orchard,ssrm.v42.snapshot.orchard.63.17,189,126,114,189,28,v42-736317,True,True,True,True,True,True
1134,64,riverbend,ssrm.v42.snapshot.riverbend.64.0,190,64,115,190,28,v42-769815,True,True,True,True,True,True
1151,64,repair_ring,ssrm.v42.snapshot.repair_ring.64.17,192,128,123,192,28,v42-878144,True,True,True,True,True,True
1152,65,roofward,ssrm.v42.snapshot.roofward.65.0,193,130,122,193,28,v42-754910,True,True,True,True,True,True
1169,65,riverbend,ssrm.v42.snapshot.riverbend.65.17,195,66,118,195,28,v42-794697,True,True,True,True,True,True
1170,66,archive,ssrm.v42.snapshot.archive.66.0,196,132,122,196,28,v42-714926,True,True,True,True,True,True
1175,66,roofward,ssrm.v42.snapshot.roofward.66.5,196,132,125,196,28,v42-760596,True,True,True,True,True,True
1187,66,roofward,ssrm.v42.snapshot.roofward.66.17,198,133,126,198,28,v42-780454,True,True,True,True,True,True
1188,67,signal,ssrm.v42.snapshot.signal.67.0,199,67,130,199,28,v42-669090,True,True,True,True,True,True
1205,67,archive,ssrm.v42.snapshot.archive.67.17,201,135,125,201,28,v42-727910,True,True,True,True,True,True
1206,68,orchard,ssrm.v42.snapshot.orchard.68.0,202,133,124,202,28,v42-708772,True,True,True,True,True,True
1222,68,archive,ssrm.v42.snapshot.archive.68.16,204,136,126,204,28,v42-730611,True,True,True,True,True,True
1223,68,signal,ssrm.v42.snapshot.signal.68.17,204,69,132,204,28,v42-681336,True,True,True,True,True,True
1224,69,repair_ring,ssrm.v42.snapshot.repair_ring.69.0,205,135,130,205,28,v42-855400,True,True,True,True,True,True
1241,69,orchard,ssrm.v42.snapshot.orchard.69.17,207,137,127,207,28,v42-734225,True,True,True,True,True,True
1242,70,riverbend,ssrm.v42.snapshot.riverbend.70.0,208,70,128,208,28,v42-769197,True,True,True,True,True,True
1259,70,repair_ring,ssrm.v42.snapshot.repair_ring.70.17,210,139,134,210,28,v42-872378,True,True,True,True,True,True
1260,71,roofward,ssrm.v42.snapshot.roofward.71.0,211,140,136,211,28,v42-749893,True,True,True,True,True,True
1269,71,orchard,ssrm.v42.snapshot.orchard.71.9,212,141,129,212,28,v42-711795,True,True,True,True,True,True
1277,71,riverbend,ssrm.v42.snapshot.riverbend.71.17,213,72,131,213,28,v42-784897,True,True,True,True,True,True
1278,72,archive,ssrm.v42.snapshot.archive.72.0,214,142,131,214,28,v42-708229,True,True,True,True,True,True
1295,72,roofward,ssrm.v42.snapshot.roofward.72.17,216,144,138,216,28,v42-775080,True,True,True,True,True,True
1296,73,signal,ssrm.v42.snapshot.signal.73.0,217,73,139,217,28,v42-664123,True,True,True,True,True,True
1313,73,archive,ssrm.v42.snapshot.archive.73.17,219,146,134,219,28,v42-733686,True,True,True,True,True,True
1314,74,orchard,ssrm.v42.snapshot.orchard.74.0,220,147,133,220,28,v42-709465,True,True,True,True,True,True
1316,74,riverbend,ssrm.v42.snapshot.riverbend.74.2,220,75,134,220,28,v42-767756,True,True,True,True,True,True
1331,74,signal,ssrm.v42.snapshot.signal.74.17,222,75,143,222,28,v42-680031,True,True,True,True,True,True
1332,75,repair_ring,ssrm.v42.snapshot.repair_ring.75.0,223,149,144,223,28,v42-857816,True,True,True,True,True,True
1349,75,orchard,ssrm.v42.snapshot.orchard.75.17,225,150,136,225,28,v42-731562,True,True,True,True,True,True
1350,76,riverbend,ssrm.v42.snapshot.riverbend.76.0,226,76,137,226,28,v42-773170,True,True,True,True,True,True
1363,76,roofward,ssrm.v42.snapshot.roofward.76.13,228,153,144,228,28,v42-776075,True,True,True,True,True,True
1367,76,repair_ring,ssrm.v42.snapshot.repair_ring.76.17,228,152,146,228,28,v42-879835,True,True,True,True,True,True
1368,77,roofward,ssrm.v42.snapshot.roofward.77.0,229,154,145,229,28,v42-759609,True,True,True,True,True,True
1385,77,riverbend,ssrm.v42.snapshot.riverbend.77.17,231,78,140,231,28,v42-788876,True,True,True,True,True,True
1386,78,archive,ssrm.v42.snapshot.archive.78.0,232,156,144,232,28,v42-713204,True,True,True,True,True,True
1403,78,roofward,ssrm.v42.snapshot.roofward.78.17,234,157,149,234,28,v42-779060,True,True,True,True,True,True
1404,79,signal,ssrm.v42.snapshot.signal.79.0,235,79,153,235,28,v42-666711,True,True,True,True,True,True
1410,79,signal,ssrm.v42.snapshot.signal.79.6,236,80,153,236,28,v42-666673,True,True,True,True,True,True
1421,79,archive,ssrm.v42.snapshot.archive.79.17,237,159,147,237,28,v42-738334,True,True,True,True,True,True
1422,80,orchard,ssrm.v42.snapshot.orchard.80.0,238,157,146,238,28,v42-716242,True,True,True,True,True,True
1439,80,signal,ssrm.v42.snapshot.signal.80.17,240,81,155,240,28,v42-679064,True,True,True,True,True,True
1440,81,repair_ring,ssrm.v42.snapshot.repair_ring.81.0,241,159,153,241,28,v42-857161,True,True,True,True,True,True
1457,81,orchard,ssrm.v42.snapshot.orchard.81.17,243,161,149,243,28,v42-732612,True,True,True,True,True,True
1458,82,riverbend,ssrm.v42.snapshot.riverbend.82.0,244,82,150,244,28,v42-769473,True,True,True,True,True,True
1475,82,repair_ring,ssrm.v42.snapshot.repair_ring.82.17,246,163,157,246,28,v42-880209,True,True,True,True,True,True
1476,83,roofward,ssrm.v42.snapshot.roofward.83.0,247,164,159,247,28,v42-760660,True,True,True,True,True,True
1493,83,riverbend,ssrm.v42.snapshot.riverbend.83.17,249,84,153,249,28,v42-794354,True,True,True,True,True,True
1494,84,archive,ssrm.v42.snapshot.archive.84.0,250,166,153,250,28,v42-712557,True,True,True,True,True,True
1504,84,riverbend,ssrm.v42.snapshot.riverbend.84.10,251,84,154,251,28,v42-787957,True,True,True,True,True,True
1511,84,roofward,ssrm.v42.snapshot.roofward.84.17,252,168,161,252,28,v42-776702,True,True,True,True,True,True
1512,85,signal,ssrm.v42.snapshot.signal.85.0,253,85,162,253,28,v42-664733,True,True,True,True,True,True
1529,85,archive,ssrm.v42.snapshot.archive.85.17,255,170,156,255,28,v42-734999,True,True,True,True,True,True
1530,86,orchard,ssrm.v42.snapshot.orchard.86.0,256,171,155,256,28,v42-716845,True,True,True,True,True,True
1547,86,signal,ssrm.v42.snapshot.signal.86.17,258,87,166,258,28,v42-689742,True,True,True,True,True,True
1548,87,repair_ring,ssrm.v42.snapshot.repair_ring.87.0,259,173,167,259,28,v42-865627,True,True,True,True,True,True
1551,87,archive,ssrm.v42.snapshot.archive.87.3,259,173,160,259,28,v42-719229,True,True,True,True,True,True
1565,87,orchard,ssrm.v42.snapshot.orchard.87.17,261,174,158,261,28,v42-735900,True,True,True,True,True,True
1566,88,riverbend,ssrm.v42.snapshot.riverbend.88.0,262,88,159,262,28,v42-776507,True,True,True,True,True,True
1583,88,repair_ring,ssrm.v42.snapshot.repair_ring.88.17,264,176,169,264,28,v42-884569,True,True,True,True,True,True
1584,89,roofward,ssrm.v42.snapshot.roofward.89.0,265,178,168,265,28,v42-764290,True,True,True,True,True,True
1598,89,signal,ssrm.v42.snapshot.signal.89.14,267,90,173,267,28,v42-687049,True,True,True,True,True,True
1601,89,riverbend,ssrm.v42.snapshot.riverbend.89.17,267,90,162,267,28,v42-795299,True,True,True,True,True,True
1602,90,archive,ssrm.v42.snapshot.archive.90.0,268,180,166,268,28,v42-717658,True,True,True,True,True,True
1619,90,roofward,ssrm.v42.snapshot.roofward.90.17,270,181,172,270,28,v42-774713,True,True,True,True,True,True
1620,91,signal,ssrm.v42.snapshot.signal.91.0,271,91,176,271,28,v42-664440,True,True,True,True,True,True
1637,91,archive,ssrm.v42.snapshot.archive.91.17,273,183,169,273,28,v42-736721,True,True,True,True,True,True
1638,92,orchard,ssrm.v42.snapshot.orchard.92.0,274,181,168,274,28,v42-717554,True,True,True,True,True,True
1645,92,repair_ring,ssrm.v42.snapshot.repair_ring.92.7,275,182,175,275,28,v42-864914,True,True,True,True,True,True
1655,92,signal,ssrm.v42.snapshot.signal.92.17,276,93,178,276,28,v42-688775,True,True,True,True,True,True
1656,93,repair_ring,ssrm.v42.snapshot.repair_ring.93.0,277,183,176,277,28,v42-864972,True,True,True,True,True,True
1673,93,orchard,ssrm.v42.snapshot.orchard.93.17,279,185,171,279,28,v42-739975,True,True,True,True,True,True
1674,94,riverbend,ssrm.v42.snapshot.riverbend.94.0,280,94,172,280,28,v42-772810,True,True,True,True,True,True
1691,94,repair_ring,ssrm.v42.snapshot.repair_ring.94.17,282,187,180,282,28,v42-881846,True,True,True,True,True,True
1692,95,roofward,ssrm.v42.snapshot.roofward.95.0,283,188,182,283,28,v42-762280,True,True,True,True,True,True
1709,95,riverbend,ssrm.v42.snapshot.riverbend.95.17,285,96,175,285,28,v42-797698,True,True,True,True,True,True
1710,96,archive,ssrm.v42.snapshot.archive.96.0,286,190,175,286,28,v42-719937,True,True,True,True,True,True
1727,96,roofward,ssrm.v42.snapshot.roofward.96.17,288,192,184,288,28,v42-784464,True,True,True,True,True,True
1728,97,signal,ssrm.v42.snapshot.signal.97.0,289,97,185,289,28,v42-674418,True,True,True,True,True,True
1739,97,archive,ssrm.v42.snapshot.archive.97.11,290,193,177,290,28,v42-736017,True,True,True,True,True,True
1745,97,archive,ssrm.v42.snapshot.archive.97.17,291,194,178,291,28,v42-739337,True,True,True,True,True,True
1746,98,orchard,ssrm.v42.snapshot.orchard.98.0,292,195,177,292,28,v42-721173,True,True,True,True,True,True
1763,98,signal,ssrm.v42.snapshot.signal.98.17,294,99,189,294,28,v42-693394,True,True,True,True,True,True
1764,99,repair_ring,ssrm.v42.snapshot.repair_ring.99.0,295,197,190,295,28,v42-867262,True,True,True,True,True,True
1781,99,orchard,ssrm.v42.snapshot.orchard.99.17,297,198,180,297,28,v42-743263,True,True,True,True,True,True
1782,100,riverbend,ssrm.v42.snapshot.riverbend.100.0,298,100,181,298,28,v42-804664,True,True,True,True,True,True
1786,100,orchard,ssrm.v42.snapshot.orchard.100.4,298,198,181,298,28,v42-737447,True,True,True,True,True,True
1799,100,repair_ring,ssrm.v42.snapshot.repair_ring.100.17,300,200,192,300,28,v42-885042,True,True,True,True,True,True
1800,101,roofward,ssrm.v42.snapshot.roofward.101.0,301,202,191,301,28,v42-764748,True,True,True,True,True,True
1817,101,riverbend,ssrm.v42.snapshot.riverbend.101.17,303,102,184,303,28,v42-817426,True,True,True,True,True,True
1818,102,archive,ssrm.v42.snapshot.archive.102.0,304,204,188,304,28,v42-726787,True,True,True,True,True,True
