tick_id,day,session_id,settlement_id,resident_id,phrase,phrase_memory,phrase_context,mastery_before,mastery_after,trust_before,trust_after,used_in_current_loop,remembered_from_prior_session,saved_session_visible,no_autonomous_language_claim,no_llm_call
16,1,session-001,glass_harbor,Puck,net keeper,shared crossing tea,recover_failed_work:seal fog catcher:net_room,0.18,0.187,0.57,0.575,True,False,True,True,True
17,1,session-001,cinder_garden,Wren,cool hand,kept the path cool,drop_tool:repair seed calendar:shade_tent,0.18,0.187,0.57,0.575,True,False,True,True,True
18,2,session-001,orchid_engine,Eli,gear lane,let orchid rest,execute_task:listen to valve pulse:gear_wash,0.18,0.187,0.575,0.58,True,False,True,True,True
19,2,session-001,moss_ward,Ari,ledger no touch,helped after rain,recover_failed_work:patch blanket loom:root_alcove,0.18,0.187,0.575,0.58,True,False,True,True,True
20,2,session-001,glass_harbor,Oren,lamp bright,kept net lane clear,drop_tool:seal fog catcher:lamp_pier,0.18,0.187,0.573,0.578,True,False,True,True,True
21,2,session-001,cinder_garden,Vale,shade first,remembered shade first,relationship_phrase:repair seed calendar:ash_path,0.18,0.188,0.575,0.578,True,False,True,True,True
22,2,session-001,lichen_bridge,Sol,bowl shared,waited at the rope,save_session:test rope bridge:meal_room,0.18,0.187,0.573,0.578,True,False,True,True,True
23,2,session-001,orchid_engine,Bea,valve wait,kept the gear lane open,path_to_site:clean gear wash:engine_ring,0.18,0.186,0.575,0.578,True,False,True,True,True
24,2,session-001,moss_ward,Fay,loom wait,asked before ledger,pickup_tool:copy root ledger:blanket_room,0.18,0.187,0.575,0.58,True,False,True,True,True
25,2,session-001,glass_harbor,Puck,tea first,guarded lamp for me,execute_task:mark crossing rope:fog_rail,0.18,0.186,0.575,0.578,True,False,True,True,True
26,2,session-001,cinder_garden,Wren,seed sleep,left my basket sorted,recover_failed_work:shade seed rows:seed_shelf,0.18,0.187,0.575,0.58,True,False,True,True,True
27,2,session-001,lichen_bridge,Kio,signal hush,kept bowl shared,drop_tool:weave spare rope:signal_post,0.18,0.186,0.57,0.573,True,False,True,True,True
28,2,session-001,orchid_engine,Cai,orchid rest,did not turn the valve,relationship_phrase:tend orchid lamp:orchid_bay,0.18,0.189,0.57,0.575,True,False,True,True,True
29,2,session-001,moss_ward,Milo,path dry,waited during repair,save_session:raise warm-cup shelf:rain_gate,0.187,0.194,0.575,0.58,True,False,True,True,True
30,2,session-001,glass_harbor,Sera,net keeper,shared crossing tea,path_to_site:relight public lamp:net_room,0.186,0.193,0.573,0.578,True,False,True,True,True
31,2,session-001,cinder_garden,Juno,cool hand,kept the path cool,pickup_tool:sort ember fruit:shade_tent,0.187,0.193,0.575,0.578,True,False,True,True,True
32,2,session-001,lichen_bridge,Luma,rope safe,heard my signal,execute_task:mark signal bell:rope_bridge,0.186,0.193,0.573,0.578,True,False,True,True,True
33,2,session-001,orchid_engine,Dax,gear lane,let orchid rest,recover_failed_work:stabilize steam kettle:gear_wash,0.189,0.196,0.575,0.58,True,False,True,True,True
34,2,session-001,moss_ward,Tala,ledger no touch,helped after rain,drop_tool:drain rain path:root_alcove,0.186,0.193,0.573,0.578,True,False,True,True,True
35,2,session-001,glass_harbor,Nia,lamp bright,kept net lane clear,relationship_phrase:mend fog net:lamp_pier,0.187,0.195,0.575,0.578,True,False,True,True,True
36,3,session-001,lichen_bridge,Kio,bowl shared,waited at the rope,recover_failed_work:mark signal bell:meal_room,0.18,0.187,0.573,0.578,True,False,True,True,True
37,3,session-001,orchid_engine,Cai,valve wait,kept the gear lane open,drop_tool:stabilize steam kettle:engine_ring,0.18,0.186,0.575,0.578,True,False,True,True,True
38,3,session-001,moss_ward,Milo,loom wait,asked before ledger,relationship_phrase:drain rain path:blanket_room,0.18,0.189,0.58,0.585,True,False,True,True,True
39,3,session-001,glass_harbor,Sera,tea first,guarded lamp for me,save_session:mend fog net:fog_rail,0.18,0.187,0.578,0.583,True,False,True,True,True
40,3,session-001,cinder_garden,Juno,seed sleep,left my basket sorted,path_to_site:cool ash path:seed_shelf,0.18,0.187,0.578,0.583,True,False,True,True,True
41,3,session-001,lichen_bridge,Luma,signal hush,kept bowl shared,pickup_tool:repair meal ledger:signal_post,0.18,0.187,0.578,0.583,True,False,True,True,True
42,3,session-001,orchid_engine,Dax,orchid rest,did not turn the valve,execute_task:listen to valve pulse:orchid_bay,0.18,0.187,0.58,0.585,True,False,True,True,True
43,3,session-001,moss_ward,Tala,path dry,waited during repair,recover_failed_work:patch blanket loom:rain_gate,0.18,0.187,0.578,0.583,True,False,True,True,True
44,3,session-001,glass_harbor,Nia,net keeper,shared crossing tea,drop_tool:seal fog catcher:net_room,0.18,0.187,0.578,0.583,True,False,True,True,True
45,3,session-001,cinder_garden,Pax,cool hand,kept the path cool,relationship_phrase:repair seed calendar:shade_tent,0.18,0.188,0.573,0.576,True,False,True,True,True
46,3,session-001,lichen_bridge,Rin,rope safe,heard my signal,save_session:test rope bridge:rope_bridge,0.18,0.187,0.575,0.58,True,False,True,True,True
47,3,session-001,orchid_engine,Eli,gear lane,let orchid rest,path_to_site:clean gear wash:gear_wash,0.187,0.193,0.58,0.583,True,False,True,True,True
48,3,session-001,moss_ward,Ari,ledger no touch,helped after rain,pickup_tool:copy root ledger:root_alcove,0.187,0.194,0.58,0.585,True,False,True,True,True
49,3,session-001,glass_harbor,Oren,lamp bright,kept net lane clear,execute_task:mark crossing rope:lamp_pier,0.187,0.194,0.578,0.583,True,False,True,True,True
50,3,session-001,cinder_garden,Vale,shade first,remembered shade first,recover_failed_work:shade seed rows:ash_path,0.188,0.195,0.578,0.583,True,False,True,True,True
51,3,session-001,lichen_bridge,Sol,bowl shared,waited at the rope,drop_tool:weave spare rope:meal_room,0.187,0.194,0.578,0.583,True,False,True,True,True
52,3,session-001,orchid_engine,Bea,valve wait,kept the gear lane open,relationship_phrase:tend orchid lamp:engine_ring,0.186,0.195,0.578,0.583,True,False,True,True,True
53,3,session-001,moss_ward,Fay,loom wait,asked before ledger,save_session:raise warm-cup shelf:blanket_room,0.187,0.193,0.58,0.583,True,False,True,True,True
54,4,session-001,cinder_garden,Pax,seed sleep,left my basket sorted,drop_tool:shade seed rows:seed_shelf,0.18,0.187,0.576,0.581,True,False,True,True,True
55,4,session-001,lichen_bridge,Rin,signal hush,kept bowl shared,relationship_phrase:weave spare rope:signal_post,0.18,0.188,0.58,0.583,True,False,True,True,True
56,4,session-001,orchid_engine,Eli,orchid rest,did not turn the valve,save_session:tend orchid lamp:orchid_bay,0.18,0.187,0.583,0.588,True,False,True,True,True
57,4,session-001,moss_ward,Ari,path dry,waited during repair,path_to_site:raise warm-cup shelf:rain_gate,0.18,0.186,0.585,0.588,True,False,True,True,True
58,4,session-001,glass_harbor,Oren,net keeper,shared crossing tea,pickup_tool:relight public lamp:net_room,0.18,0.187,0.583,0.588,True,False,True,True,True
59,4,session-001,cinder_garden,Vale,cool hand,kept the path cool,execute_task:sort ember fruit:shade_tent,0.18,0.186,0.583,0.586,True,False,True,True,True
60,4,session-001,lichen_bridge,Sol,rope safe,heard my signal,recover_failed_work:mark signal bell:rope_bridge,0.18,0.187,0.583,0.588,True,False,True,True,True
61,4,session-001,orchid_engine,Bea,gear lane,let orchid rest,drop_tool:stabilize steam kettle:gear_wash,0.18,0.186,0.583,0.586,True,False,True,True,True
62,4,session-001,moss_ward,Fay,ledger no touch,helped after rain,relationship_phrase:drain rain path:root_alcove,0.18,0.189,0.583,0.588,True,False,True,True,True
63,4,session-001,glass_harbor,Puck,lamp bright,kept net lane clear,save_session:mend fog net:lamp_pier,0.18,0.187,0.578,0.583,True,False,True,True,True
64,4,session-001,cinder_garden,Wren,shade first,remembered shade first,path_to_site:cool ash path:ash_path,0.18,0.187,0.58,0.585,True,False,True,True,True
65,4,session-001,lichen_bridge,Kio,bowl shared,waited at the rope,pickup_tool:repair meal ledger:meal_room,0.187,0.193,0.578,0.581,True,False,True,True,True
66,4,session-001,orchid_engine,Cai,valve wait,kept the gear lane open,execute_task:listen to valve pulse:engine_ring,0.186,0.193,0.578,0.583,True,False,True,True,True
67,4,session-001,moss_ward,Milo,loom wait,asked before ledger,recover_failed_work:patch blanket loom:blanket_room,0.189,0.196,0.585,0.59,True,False,True,True,True
68,4,session-001,glass_harbor,Sera,tea first,guarded lamp for me,drop_tool:seal fog catcher:fog_rail,0.187,0.194,0.583,0.588,True,False,True,True,True
69,4,session-001,cinder_garden,Juno,seed sleep,left my basket sorted,relationship_phrase:repair seed calendar:seed_shelf,0.187,0.195,0.583,0.586,True,False,True,True,True
70,4,session-001,lichen_bridge,Luma,signal hush,kept bowl shared,save_session:test rope bridge:signal_post,0.187,0.194,0.583,0.588,True,False,True,True,True
71,4,session-001,orchid_engine,Dax,orchid rest,did not turn the valve,path_to_site:clean gear wash:orchid_bay,0.187,0.193,0.585,0.588,True,False,True,True,True
72,5,session-001,glass_harbor,Puck,net keeper,shared crossing tea,relationship_phrase:seal fog catcher:net_room,0.187,0.196,0.583,0.588,True,False,True,True,True
73,5,session-001,cinder_garden,Wren,cool hand,kept the path cool,save_session:repair seed calendar:shade_tent,0.187,0.193,0.585,0.588,True,False,True,True,True
74,5,session-001,lichen_bridge,Kio,rope safe,heard my signal,path_to_site:test rope bridge:rope_bridge,0.18,0.187,0.581,0.586,True,False,True,True,True
75,5,session-001,orchid_engine,Cai,gear lane,let orchid rest,pickup_tool:clean gear wash:gear_wash,0.18,0.187,0.583,0.588,True,False,True,True,True
76,5,session-001,moss_ward,Milo,ledger no touch,helped after rain,execute_task:copy root ledger:root_alcove,0.18,0.187,0.59,0.595,True,False,True,True,True
77,5,session-001,glass_harbor,Sera,lamp bright,kept net lane clear,recover_failed_work:mark crossing rope:lamp_pier,0.18,0.187,0.588,0.593,True,False,True,True,True
78,5,session-001,cinder_garden,Juno,shade first,remembered shade first,drop_tool:shade seed rows:ash_path,0.18,0.187,0.586,0.591,True,False,True,True,True
79,5,session-001,lichen_bridge,Luma,bowl shared,waited at the rope,relationship_phrase:weave spare rope:meal_room,0.18,0.188,0.588,0.591,True,False,True,True,True
80,5,session-001,orchid_engine,Dax,valve wait,kept the gear lane open,save_session:tend orchid lamp:engine_ring,0.18,0.187,0.588,0.593,True,False,True,True,True
81,5,session-001,moss_ward,Tala,loom wait,asked before ledger,path_to_site:raise warm-cup shelf:blanket_room,0.18,0.186,0.583,0.586,True,False,True,True,True
82,5,session-001,glass_harbor,Nia,tea first,guarded lamp for me,pickup_tool:relight public lamp:fog_rail,0.18,0.187,0.583,0.588,True,False,True,True,True
83,5,session-001,cinder_garden,Pax,seed sleep,left my basket sorted,execute_task:sort ember fruit:seed_shelf,0.187,0.194,0.581,0.586,True,False,True,True,True
84,5,session-001,lichen_bridge,Rin,signal hush,kept bowl shared,recover_failed_work:mark signal bell:signal_post,0.188,0.195,0.583,0.588,True,False,True,True,True
85,5,session-001,orchid_engine,Eli,orchid rest,did not turn the valve,drop_tool:stabilize steam kettle:orchid_bay,0.187,0.194,0.588,0.593,True,False,True,True,True
86,5,session-001,moss_ward,Ari,path dry,waited during repair,relationship_phrase:drain rain path:rain_gate,0.186,0.195,0.588,0.593,True,False,True,True,True
87,5,session-001,glass_harbor,Oren,net keeper,shared crossing tea,save_session:mend fog net:net_room,0.187,0.193,0.588,0.591,True,False,True,True,True
88,5,session-001,cinder_garden,Vale,cool hand,kept the path cool,path_to_site:cool ash path:shade_tent,0.186,0.193,0.586,0.591,True,False,True,True,True
89,5,session-001,lichen_bridge,Sol,rope safe,heard my signal,pickup_tool:repair meal ledger:rope_bridge,0.187,0.193,0.588,0.591,True,False,True,True,True
90,6,session-001,moss_ward,Tala,ledger no touch,helped after rain,save_session:drain rain path:root_alcove,0.193,0.2,0.586,0.591,True,False,True,True,True
91,6,session-001,glass_harbor,Nia,lamp bright,kept net lane clear,path_to_site:mend fog net:lamp_pier,0.195,0.201,0.588,0.591,True,False,True,True,True
92,6,session-001,cinder_garden,Pax,shade first,remembered shade first,pickup_tool:cool ash path:ash_path,0.186,0.193,0.586,0.591,True,False,True,True,True
93,6,session-001,lichen_bridge,Rin,bowl shared,waited at the rope,execute_task:repair meal ledger:meal_room,0.187,0.193,0.588,0.591,True,False,True,True,True
94,6,session-001,orchid_engine,Eli,valve wait,kept the gear lane open,recover_failed_work:listen to valve pulse:engine_ring,0.187,0.194,0.593,0.598,True,False,True,True,True
95,6,session-001,moss_ward,Ari,loom wait,asked before ledger,drop_tool:patch blanket loom:blanket_room,0.187,0.193,0.593,0.596,True,False,True,True,True
96,6,session-001,glass_harbor,Oren,tea first,guarded lamp for me,relationship_phrase:seal fog catcher:fog_rail,0.188,0.197,0.591,0.596,True,False,True,True,True
97,6,session-001,cinder_garden,Vale,seed sleep,left my basket sorted,save_session:repair seed calendar:seed_shelf,0.187,0.194,0.591,0.596,True,False,True,True,True
98,6,session-001,lichen_bridge,Sol,signal hush,kept bowl shared,path_to_site:test rope bridge:signal_post,0.186,0.193,0.591,0.596,True,False,True,True,True
99,6,session-001,orchid_engine,Bea,orchid rest,did not turn the valve,pickup_tool:clean gear wash:orchid_bay,0.187,0.193,0.586,0.589,True,False,True,True,True
100,6,session-001,moss_ward,Fay,path dry,waited during repair,execute_task:copy root ledger:rain_gate,0.187,0.194,0.588,0.593,True,False,True,True,True
101,6,session-001,glass_harbor,Puck,net keeper,shared crossing tea,recover_failed_work:mark crossing rope:net_room,0.196,0.203,0.588,0.593,True,False,True,True,True
102,6,session-001,cinder_garden,Wren,cool hand,kept the path cool,drop_tool:shade seed rows:shade_tent,0.193,0.2,0.588,0.593,True,False,True,True,True
103,6,session-001,lichen_bridge,Kio,rope safe,heard my signal,relationship_phrase:weave spare rope:rope_bridge,0.187,0.195,0.586,0.589,True,False,True,True,True
104,6,session-001,orchid_engine,Cai,gear lane,let orchid rest,save_session:tend orchid lamp:gear_wash,0.187,0.194,0.588,0.593,True,False,True,True,True
105,6,session-001,moss_ward,Milo,ledger no touch,helped after rain,path_to_site:raise warm-cup shelf:root_alcove,0.187,0.193,0.595,0.598,True,False,True,True,True
106,6,session-001,glass_harbor,Sera,lamp bright,kept net lane clear,pickup_tool:relight public lamp:lamp_pier,0.187,0.194,0.593,0.598,True,False,True,True,True
107,6,session-001,cinder_garden,Juno,shade first,remembered shade first,execute_task:sort ember fruit:ash_path,0.187,0.193,0.591,0.594,True,False,True,True,True
108,7,session-002,orchid_engine,Bea,valve wait,kept the gear lane open,path_to_site:tend orchid lamp:engine_ring,0.195,0.202,0.589,0.594,True,True,True,True,True
109,7,session-002,moss_ward,Fay,loom wait,asked before ledger,pickup_tool:raise warm-cup shelf:blanket_room,0.193,0.199,0.593,0.596,True,True,True,True,True
110,7,session-002,glass_harbor,Puck,tea first,guarded lamp for me,execute_task:relight public lamp:fog_rail,0.186,0.193,0.593,0.598,True,True,True,True,True
111,7,session-002,cinder_garden,Wren,seed sleep,left my basket sorted,recover_failed_work:sort ember fruit:seed_shelf,0.187,0.194,0.593,0.598,True,True,True,True,True
112,7,session-002,lichen_bridge,Kio,signal hush,kept bowl shared,drop_tool:mark signal bell:signal_post,0.186,0.193,0.589,0.594,True,True,True,True,True
113,7,session-002,orchid_engine,Cai,orchid rest,did not turn the valve,relationship_phrase:stabilize steam kettle:orchid_bay,0.189,0.197,0.593,0.596,True,True,True,True,True
114,7,session-002,moss_ward,Milo,path dry,waited during repair,save_session:drain rain path:rain_gate,0.194,0.201,0.598,0.603,True,True,True,True,True
115,7,session-002,glass_harbor,Sera,net keeper,shared crossing tea,path_to_site:mend fog net:net_room,0.193,0.199,0.598,0.601,True,True,True,True,True
116,7,session-002,cinder_garden,Juno,cool hand,kept the path cool,pickup_tool:cool ash path:shade_tent,0.193,0.2,0.594,0.599,True,True,True,True,True
117,7,session-002,lichen_bridge,Luma,rope safe,heard my signal,execute_task:repair meal ledger:rope_bridge,0.193,0.2,0.591,0.596,True,True,True,True,True
118,7,session-002,orchid_engine,Dax,gear lane,let orchid rest,recover_failed_work:listen to valve pulse:gear_wash,0.196,0.203,0.593,0.598,True,True,True,True,True
119,7,session-002,moss_ward,Tala,ledger no touch,helped after rain,drop_tool:patch blanket loom:root_alcove,0.2,0.207,0.591,0.596,True,True,True,True,True
120,7,session-002,glass_harbor,Nia,lamp bright,kept net lane clear,relationship_phrase:seal fog catcher:lamp_pier,0.201,0.21,0.591,0.596,True,True,True,True,True
121,7,session-002,cinder_garden,Pax,shade first,remembered shade first,save_session:repair seed calendar:ash_path,0.193,0.2,0.591,0.596,True,True,True,True,True
122,7,session-002,lichen_bridge,Rin,bowl shared,waited at the rope,path_to_site:test rope bridge:meal_room,0.193,0.2,0.591,0.596,True,True,True,True,True
123,7,session-002,orchid_engine,Eli,valve wait,kept the gear lane open,pickup_tool:clean gear wash:engine_ring,0.194,0.2,0.598,0.601,True,True,True,True,True
124,7,session-002,moss_ward,Ari,loom wait,asked before ledger,execute_task:copy root ledger:blanket_room,0.193,0.2,0.596,0.601,True,True,True,True,True
125,7,session-002,glass_harbor,Oren,tea first,guarded lamp for me,recover_failed_work:mark crossing rope:fog_rail,0.197,0.204,0.596,0.601,True,True,True,True,True
126,8,session-002,lichen_bridge,Luma,signal hush,kept bowl shared,pickup_tool:test rope bridge:signal_post,0.194,0.201,0.596,0.601,True,True,True,True,True
127,8,session-002,orchid_engine,Dax,orchid rest,did not turn the valve,execute_task:clean gear wash:orchid_bay,0.193,0.2,0.598,0.603,True,True,True,True,True
128,8,session-002,moss_ward,Tala,path dry,waited during repair,recover_failed_work:copy root ledger:rain_gate,0.187,0.194,0.596,0.601,True,True,True,True,True
129,8,session-002,glass_harbor,Nia,net keeper,shared crossing tea,drop_tool:mark crossing rope:net_room,0.187,0.193,0.596,0.599,True,True,True,True,True
130,8,session-002,cinder_garden,Pax,cool hand,kept the path cool,relationship_phrase:shade seed rows:shade_tent,0.188,0.197,0.596,0.601,True,True,True,True,True
131,8,session-002,lichen_bridge,Rin,rope safe,heard my signal,save_session:weave spare rope:rope_bridge,0.187,0.193,0.596,0.599,True,True,True,True,True
132,8,session-002,orchid_engine,Eli,gear lane,let orchid rest,path_to_site:tend orchid lamp:gear_wash,0.193,0.2,0.601,0.606,True,True,True,True,True
133,8,session-002,moss_ward,Ari,ledger no touch,helped after rain,pickup_tool:raise warm-cup shelf:root_alcove,0.194,0.2,0.601,0.604,True,True,True,True,True
134,8,session-002,glass_harbor,Oren,lamp bright,kept net lane clear,execute_task:relight public lamp:lamp_pier,0.194,0.201,0.601,0.606,True,True,True,True,True
135,8,session-002,cinder_garden,Vale,shade first,remembered shade first,recover_failed_work:sort ember fruit:ash_path,0.195,0.202,0.596,0.601,True,True,True,True,True
136,8,session-002,lichen_bridge,Sol,bowl shared,waited at the rope,drop_tool:mark signal bell:meal_room,0.194,0.201,0.596,0.601,True,True,True,True,True
137,8,session-002,orchid_engine,Bea,valve wait,kept the gear lane open,relationship_phrase:stabilize steam kettle:engine_ring,0.202,0.21,0.594,0.597,True,True,True,True,True
138,8,session-002,moss_ward,Fay,loom wait,asked before ledger,save_session:drain rain path:blanket_room,0.199,0.206,0.596,0.601,True,True,True,True,True
139,8,session-002,glass_harbor,Puck,tea first,guarded lamp for me,path_to_site:mend fog net:fog_rail,0.193,0.199,0.598,0.601,True,True,True,True,True
140,8,session-002,cinder_garden,Wren,seed sleep,left my basket sorted,pickup_tool:cool ash path:seed_shelf,0.194,0.201,0.598,0.603,True,True,True,True,True
141,8,session-002,lichen_bridge,Kio,signal hush,kept bowl shared,execute_task:repair meal ledger:signal_post,0.193,0.199,0.594,0.597,True,True,True,True,True
142,8,session-002,orchid_engine,Cai,orchid rest,did not turn the valve,recover_failed_work:listen to valve pulse:orchid_bay,0.197,0.204,0.596,0.601,True,True,True,True,True
143,8,session-002,moss_ward,Milo,path dry,waited during repair,drop_tool:patch blanket loom:rain_gate,0.201,0.207,0.603,0.606,True,True,True,True,True
144,9,session-002,cinder_garden,Vale,cool hand,kept the path cool,execute_task:cool ash path:shade_tent,0.193,0.2,0.601,0.606,True,True,True,True,True
145,9,session-002,lichen_bridge,Sol,rope safe,heard my signal,recover_failed_work:repair meal ledger:rope_bridge,0.193,0.2,0.601,0.606,True,True,True,True,True
146,9,session-002,orchid_engine,Bea,gear lane,let orchid rest,drop_tool:listen to valve pulse:gear_wash,0.186,0.193,0.597,0.602,True,True,True,True,True
147,9,session-002,moss_ward,Fay,ledger no touch,helped after rain,relationship_phrase:patch blanket loom:root_alcove,0.189,0.197,0.601,0.604,True,True,True,True,True
148,9,session-002,glass_harbor,Puck,lamp bright,kept net lane clear,save_session:seal fog catcher:lamp_pier,0.187,0.194,0.601,0.606,True,True,True,True,True
149,9,session-002,cinder_garden,Wren,shade first,remembered shade first,path_to_site:repair seed calendar:ash_path,0.187,0.193,0.603,0.606,True,True,True,True,True
150,9,session-002,lichen_bridge,Kio,bowl shared,waited at the rope,pickup_tool:test rope bridge:meal_room,0.193,0.2,0.597,0.602,True,True,True,True,True
151,9,session-002,orchid_engine,Cai,valve wait,kept the gear lane open,execute_task:clean gear wash:engine_ring,0.193,0.2,0.601,0.606,True,True,True,True,True
152,9,session-002,moss_ward,Milo,loom wait,asked before ledger,recover_failed_work:copy root ledger:blanket_room,0.196,0.203,0.606,0.611,True,True,True,True,True
153,9,session-002,glass_harbor,Sera,tea first,guarded lamp for me,drop_tool:mark crossing rope:fog_rail,0.194,0.201,0.601,0.606,True,True,True,True,True
154,9,session-002,cinder_garden,Juno,seed sleep,left my basket sorted,relationship_phrase:shade seed rows:seed_shelf,0.195,0.204,0.599,0.604,True,True,True,True,True
155,9,session-002,lichen_bridge,Luma,signal hush,kept bowl shared,save_session:weave spare rope:signal_post,0.201,0.207,0.601,0.604,True,True,True,True,True
156,9,session-002,orchid_engine,Dax,orchid rest,did not turn the valve,path_to_site:tend orchid lamp:orchid_bay,0.2,0.207,0.603,0.608,True,True,True,True,True
157,9,session-002,moss_ward,Tala,path dry,waited during repair,pickup_tool:raise warm-cup shelf:rain_gate,0.194,0.2,0.601,0.604,True,True,True,True,True
158,9,session-002,glass_harbor,Nia,net keeper,shared crossing tea,execute_task:relight public lamp:net_room,0.193,0.2,0.599,0.604,True,True,True,True,True
159,9,session-002,cinder_garden,Pax,cool hand,kept the path cool,recover_failed_work:sort ember fruit:shade_tent,0.197,0.204,0.601,0.606,True,True,True,True,True
160,9,session-002,lichen_bridge,Rin,rope safe,heard my signal,drop_tool:mark signal bell:rope_bridge,0.193,0.2,0.599,0.604,True,True,True,True,True
161,9,session-002,orchid_engine,Eli,gear lane,let orchid rest,relationship_phrase:stabilize steam kettle:gear_wash,0.2,0.208,0.606,0.609,True,True,True,True,True
162,10,session-002,glass_harbor,Sera,lamp bright,kept net lane clear,recover_failed_work:relight public lamp:lamp_pier,0.194,0.201,0.606,0.611,True,True,True,True,True
163,10,session-002,cinder_garden,Juno,shade first,remembered shade first,drop_tool:sort ember fruit:ash_path,0.193,0.2,0.604,0.609,True,True,True,True,True
164,10,session-002,lichen_bridge,Luma,bowl shared,waited at the rope,relationship_phrase:mark signal bell:meal_room,0.188,0.197,0.604,0.609,True,True,True,True,True
165,10,session-002,orchid_engine,Dax,valve wait,kept the gear lane open,save_session:stabilize steam kettle:engine_ring,0.187,0.193,0.608,0.611,True,True,True,True,True
166,10,session-002,moss_ward,Tala,loom wait,asked before ledger,path_to_site:drain rain path:blanket_room,0.186,0.193,0.604,0.609,True,True,True,True,True
167,10,session-002,glass_harbor,Nia,tea first,guarded lamp for me,pickup_tool:mend fog net:fog_rail,0.187,0.193,0.604,0.607,True,True,True,True,True
168,10,session-002,cinder_garden,Pax,seed sleep,left my basket sorted,execute_task:cool ash path:seed_shelf,0.194,0.201,0.606,0.611,True,True,True,True,True
169,10,session-002,lichen_bridge,Rin,signal hush,kept bowl shared,recover_failed_work:repair meal ledger:signal_post,0.195,0.202,0.604,0.609,True,True,True,True,True
170,10,session-002,orchid_engine,Eli,orchid rest,did not turn the valve,drop_tool:listen to valve pulse:orchid_bay,0.194,0.201,0.609,0.614,True,True,True,True,True
171,10,session-002,moss_ward,Ari,path dry,waited during repair,relationship_phrase:patch blanket loom:rain_gate,0.195,0.203,0.604,0.607,True,True,True,True,True
172,10,session-002,glass_harbor,Oren,net keeper,shared crossing tea,save_session:seal fog catcher:net_room,0.193,0.2,0.606,0.611,True,True,True,True,True
173,10,session-002,cinder_garden,Vale,cool hand,kept the path cool,path_to_site:repair seed calendar:shade_tent,0.2,0.207,0.606,0.611,True,True,True,True,True
174,10,session-002,lichen_bridge,Sol,rope safe,heard my signal,pickup_tool:test rope bridge:rope_bridge,0.2,0.207,0.606,0.611,True,True,True,True,True
175,10,session-002,orchid_engine,Bea,gear lane,let orchid rest,execute_task:clean gear wash:gear_wash,0.193,0.199,0.602,0.605,True,True,True,True,True
176,10,session-002,moss_ward,Fay,ledger no touch,helped after rain,recover_failed_work:copy root ledger:root_alcove,0.197,0.204,0.604,0.609,True,True,True,True,True
