tick,day,scene_id,agent,sound_rate_hz,movement_rate_hz,object_resonance_hz,obligation_pressure,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_obligation,flower_phase
18,2,v24-scene-d02,Sova,1.2,1.12,2.12,0.08,18.016,0.1,0.12,0.02,1,39.419752
19,2,v24-scene-d02,Nari,1.322,1.23,3.11,0.24,17.116,0.1,0.02,0.02,1,204.981516
20,2,v24-scene-d02,Sova,1.334,1.23,2.12,0.32,18.016,0.1,0.05,0.02,1,337.64328
21,2,v24-scene-d02,Ori,1.236,1.12,3.03,0.12,17.116,0.1,0.05,0.02,0,105.485044
22,2,v24-scene-d02,Vonn,1.358,1.29,2.37,0.36,16.616,0.24,-0.01,0.02,1,260.596808
23,2,v24-scene-d02,Keth,1.37,1.23,2.34,0.32,17.116,0.1,0.05,0.02,1,33.198572
24,2,v24-scene-d02,Melo,1.382,1.23,2.67,0.24,17.116,0.1,0.02,0.02,1,168.700336
25,2,v24-scene-d02,Melo,1.284,1.12,2.78,0.08,17.116,0.1,0.12,0.02,1,290.6621
26,2,v24-scene-d02,Nari,1.296,1.12,2.78,0.08,17.116,0.1,0.12,0.02,1,68.373864
27,2,v24-scene-d02,Sova,1.418,1.23,2.89,0.32,18.016,0.1,0.02,0.02,1,230.095628
28,2,v24-scene-d02,Melo,1.32,1.12,3.11,0.08,17.116,0.1,0.12,0.02,1,347.427392
29,2,v24-scene-d02,Sova,1.332,1.12,3.11,0.08,18.016,0.1,0.12,0.02,1,125.139156
30,2,v24-scene-d02,Sova,1.344,1.12,2.12,0.08,18.016,0.1,0.12,0.02,1,251.96092
31,2,v24-scene-d02,Ori,1.396,1.18,3.11,0.24,17.116,0.1,0.02,0.02,1,54.782684
32,2,v24-scene-d02,Sova,1.368,1.12,2.34,0.08,18.016,0.1,0.12,0.02,1,169.804448
33,2,v24-scene-d02,Sova,1.38,1.12,2.59,0.12,18.016,0.1,0.05,0.02,0,313.186212
34,2,v24-scene-d02,Nari,1.502,1.23,2.56,0.32,17.116,0.1,0.05,0.02,1,110.447976
35,2,v24-scene-d02,Keth,1.404,1.12,2.56,0.08,17.116,0.1,0.12,0.02,1,225.35974
36,3,v24-scene-d03,Melo,1.24,1.18,2.89,0.24,17.124,0.1,0.02,0.02,1,17.249504
37,3,v24-scene-d03,Melo,1.212,1.12,3.0,0.08,17.124,0.1,0.12,0.02,1,141.951268
38,3,v24-scene-d03,Vonn,1.334,1.29,3.03,0.42,16.624,0.24,-0.06,0.055,1,311.953032
39,3,v24-scene-d03,Nari,1.236,1.12,3.11,0.08,17.124,0.1,0.12,0.02,1,58.584796
40,3,v24-scene-d03,Ori,1.248,1.12,3.0,0.08,17.124,0.1,0.12,0.02,1,195.08656
41,3,v24-scene-d03,Vonn,1.37,1.29,2.26,0.42,16.624,0.24,-0.06,0.055,1,356.618324
42,3,v24-scene-d03,Vonn,1.382,1.29,2.37,0.5,16.624,0.24,-0.06,0.055,1,141.380088
43,3,v24-scene-d03,Vonn,1.394,1.29,2.48,0.5,16.624,0.24,-0.06,0.08,1,280.301852
44,3,v24-scene-d03,Keth,1.296,1.12,2.45,0.08,17.124,0.1,0.12,0.02,1,19.883616
45,3,v24-scene-d03,Melo,1.308,1.12,2.7,0.12,17.124,0.1,0.05,0.02,0,163.26538
46,3,v24-scene-d03,Nari,1.32,1.12,2.56,0.08,17.124,0.1,0.12,0.02,0,296.517144
47,3,v24-scene-d03,Vonn,1.442,1.29,2.92,0.5,16.624,0.24,-0.06,0.08,1,115.988908
48,3,v24-scene-d03,Nari,1.344,1.12,2.78,0.08,17.124,0.1,0.12,0.02,1,214.360672
49,3,v24-scene-d03,Sova,1.356,1.12,3.03,0.12,18.024,0.1,0.05,0.02,0,357.742436
50,3,v24-scene-d03,Vonn,1.478,1.29,2.15,0.5,16.624,0.24,-0.06,0.08,1,160.6542
51,3,v24-scene-d03,Melo,1.38,1.12,2.34,0.08,17.124,0.1,0.12,0.02,1,262.655964
52,3,v24-scene-d03,Nari,1.392,1.12,2.12,0.08,17.124,0.1,0.12,0.02,1,37.947728
53,3,v24-scene-d03,Ori,1.404,1.12,2.15,0.12,17.124,0.1,0.05,0.02,0,178.909492
54,4,v24-scene-d04,Vonn,1.27,1.27,2.59,0.26,16.632,0.24,0.04,0.08,1,333.849256
55,4,v24-scene-d04,Keth,1.212,1.12,2.56,0.08,17.132,0.1,0.12,0.02,1,92.25102
56,4,v24-scene-d04,Keth,1.264,1.18,2.67,0.24,17.132,0.1,0.02,0.02,1,245.392784
57,4,v24-scene-d04,Keth,1.236,1.12,2.78,0.08,17.132,0.1,0.12,0.02,1,10.094548
58,4,v24-scene-d04,Sova,1.288,1.18,3.0,0.24,18.032,0.1,0.02,0.02,1,164.446312
59,4,v24-scene-d04,Vonn,1.26,1.12,2.56,0.08,17.132,0.1,0.12,0.045,1,283.098076
60,4,v24-scene-d04,Keth,1.272,1.12,3.11,0.08,17.132,0.1,0.12,0.02,1,66.85984
61,4,v24-scene-d04,Melo,1.284,1.12,2.26,0.12,17.132,0.1,0.05,0.02,0,198.141604
62,4,v24-scene-d04,Melo,1.296,1.12,2.45,0.08,17.132,0.1,0.12,0.02,1,335.023368
63,4,v24-scene-d04,Sova,1.308,1.12,2.45,0.08,18.032,0.1,0.12,0.02,1,112.735132
64,4,v24-scene-d04,Vonn,1.43,1.23,3.11,0.32,17.132,0.1,0.05,0.045,1,280.506896
65,4,v24-scene-d04,Keth,1.332,1.12,2.48,0.12,17.132,0.1,0.05,0.02,0,31.40866
66,4,v24-scene-d04,Melo,1.344,1.12,2.89,0.08,17.132,0.1,0.12,0.02,1,170.710424
67,4,v24-scene-d04,Keth,1.356,1.12,2.78,0.08,17.132,0.1,0.12,0.02,1,307.212188
68,4,v24-scene-d04,Nari,1.368,1.12,3.0,0.08,17.132,0.1,0.12,0.02,1,87.343952
69,4,v24-scene-d04,Ori,1.38,1.12,2.81,0.12,17.132,0.1,0.05,0.02,0,225.885716
70,4,v24-scene-d04,Nari,1.392,1.16,2.04,0.08,17.132,0.1,0.12,0.02,1,353.44748
71,4,v24-scene-d04,Vonn,1.404,1.16,2.78,0.08,17.132,0.1,0.12,0.02,1,139.299244
72,5,v24-scene-d05,Nari,1.2,1.12,2.12,0.08,17.14,0.1,0.12,0.02,1,264.839008
73,5,v24-scene-d05,Keth,1.212,1.12,2.26,0.12,17.14,0.1,0.05,0.02,0,47.010772
74,5,v24-scene-d05,Sova,1.224,1.12,2.78,0.08,18.04,0.1,0.12,0.02,1,187.522536
75,5,v24-scene-d05,Sova,1.346,1.27,2.67,0.24,18.04,0.1,0.02,0.02,1,342.2243
76,5,v24-scene-d05,Melo,1.248,1.12,2.89,0.08,17.14,0.1,0.12,0.02,1,104.156064
77,5,v24-scene-d05,Vonn,1.26,1.12,2.26,0.12,17.14,0.1,0.05,0.02,0,237.857828
78,5,v24-scene-d05,Sova,1.382,1.23,3.0,0.32,18.04,0.1,0.05,0.02,1,43.589592
79,5,v24-scene-d05,Melo,1.284,1.12,2.12,0.08,17.14,0.1,0.12,0.02,1,148.821356
80,5,v24-scene-d05,Ori,1.296,1.12,3.0,0.08,17.14,0.1,0.12,0.02,1,296.21312
81,5,v24-scene-d05,Keth,1.308,1.12,2.04,0.12,17.14,0.1,0.05,0.02,0,66.284884
82,5,v24-scene-d05,Melo,1.43,1.23,2.45,0.24,17.14,0.1,0.02,0.02,1,222.546648
83,5,v24-scene-d05,Vonn,1.332,1.12,3.0,0.08,17.14,0.1,0.12,0.02,0,349.348412
84,5,v24-scene-d05,Keth,1.344,1.12,2.45,0.08,17.14,0.1,0.12,0.02,1,121.010176
85,5,v24-scene-d05,Sova,1.356,1.12,2.67,0.08,18.04,0.1,0.12,0.02,1,261.14194
86,5,v24-scene-d05,Ori,1.438,1.23,2.56,0.32,17.14,0.1,0.05,0.02,1,59.763704
87,5,v24-scene-d05,Keth,1.42,1.18,2.78,0.24,17.14,0.1,0.02,0.02,1,191.995468
88,5,v24-scene-d05,Keth,1.392,1.12,2.89,0.08,17.14,0.1,0.12,0.02,1,316.697232
89,5,v24-scene-d05,Ori,1.514,1.23,2.89,0.32,17.14,0.1,0.02,0.02,1,117.208996
90,6,v24-scene-d06,Melo,1.2,1.18,2.23,0.2,17.148,0.14,0.09,0.02,1,231.80876
91,6,v24-scene-d06,Ori,1.212,1.12,3.11,0.08,17.148,0.14,0.12,0.02,1,8.580524
92,6,v24-scene-d06,Melo,1.334,1.23,2.45,0.24,17.148,0.14,0.02,0.02,1,155.992288
93,6,v24-scene-d06,Keth,1.236,1.12,2.26,0.12,17.148,0.14,0.05,0.02,0,277.574052
94,6,v24-scene-d06,Keth,1.248,1.12,2.45,0.08,17.148,0.14,0.12,0.02,1,54.455816
95,6,v24-scene-d06,Ori,1.26,1.12,2.45,0.08,17.148,0.14,0.12,0.02,1,192.16758
96,6,v24-scene-d06,Melo,1.272,1.12,2.89,0.08,17.148,0.14,0.12,0.02,1,334.719344
97,6,v24-scene-d06,Melo,1.284,1.12,2.92,0.12,17.148,0.14,0.05,0.02,0,115.681108
98,6,v24-scene-d06,Ori,1.296,1.12,2.78,0.08,17.148,0.14,0.12,0.02,1,248.932872
99,6,v24-scene-d06,Ori,1.308,1.12,2.89,0.08,17.148,0.14,0.12,0.02,1,27.854636
100,6,v24-scene-d06,Melo,1.43,1.23,2.23,0.32,17.148,0.14,0.05,0.02,1,181.1064
101,6,v24-scene-d06,Melo,1.332,1.12,2.34,0.08,17.148,0.14,0.12,0.02,1,297.228164
102,6,v24-scene-d06,Vonn,1.344,1.12,2.89,0.08,17.148,0.14,0.12,0.02,1,80.989928
103,6,v24-scene-d06,Melo,1.356,1.12,2.56,0.08,17.148,0.14,0.12,0.02,1,215.071692
104,6,v24-scene-d06,Sova,1.478,1.23,2.56,0.32,18.048,0.14,0.05,0.02,1,15.583456
105,6,v24-scene-d06,Sova,1.45,1.23,2.67,0.2,18.048,0.14,0.09,0.02,1,145.06522
106,6,v24-scene-d06,Sova,1.392,1.12,3.0,0.08,18.048,0.14,0.12,0.02,1,273.046984
107,6,v24-scene-d06,Ori,1.404,1.12,2.67,0.08,17.148,0.14,0.12,0.02,1,47.128748
108,7,v24-scene-d07,Nari,1.2,1.16,2.78,0.08,17.156,0.1,0.12,0.02,1,183.618512
109,7,v24-scene-d07,Vonn,1.212,1.12,2.48,0.12,17.156,0.1,0.05,0.02,0,319.710276
110,7,v24-scene-d07,Vonn,1.264,1.18,2.15,0.24,16.656,0.24,0.02,0.02,1,105.09204
111,7,v24-scene-d07,Keth,1.276,1.18,2.12,0.32,17.156,0.1,0.05,0.02,1,248.313804
112,7,v24-scene-d07,Nari,1.248,1.12,2.12,0.08,17.156,0.1,0.12,0.02,1,5.965568
113,7,v24-scene-d07,Melo,1.26,1.12,2.48,0.12,17.156,0.1,0.05,0.02,0,150.557332
114,7,v24-scene-d07,Ori,1.272,1.12,2.34,0.08,17.156,0.1,0.12,0.02,1,283.809096
115,7,v24-scene-d07,Melo,1.324,1.22,2.78,0.24,17.156,0.1,0.02,0.02,1,81.82086
116,7,v24-scene-d07,Ori,1.296,1.12,2.56,0.08,17.156,0.1,0.12,0.02,1,201.652624
117,7,v24-scene-d07,Keth,1.308,1.12,2.78,0.08,17.156,0.1,0.12,0.02,1,341.784388
118,7,v24-scene-d07,Melo,1.32,1.12,3.11,0.08,17.156,0.1,0.12,0.02,1,123.126152
119,7,v24-scene-d07,Keth,1.442,1.23,3.0,0.32,17.156,0.1,0.05,0.02,1,282.427916
120,7,v24-scene-d07,Nari,1.344,1.12,3.0,0.08,17.156,0.1,0.12,0.02,0,37.33968
121,7,v24-scene-d07,Melo,1.356,1.12,2.26,0.12,17.156,0.1,0.05,0.02,0,169.831444
122,7,v24-scene-d07,Ori,1.408,1.18,2.12,0.24,17.156,0.1,0.02,0.02,1,317.303208
123,7,v24-scene-d07,Ori,1.38,1.12,2.23,0.08,17.156,0.1,0.12,0.02,1,82.004972
124,7,v24-scene-d07,Vonn,1.502,1.23,2.59,0.24,16.656,0.24,0.02,0.02,1,240.636736
125,7,v24-scene-d07,Nari,1.404,1.12,2.59,0.12,17.156,0.1,0.05,0.02,0,4.3085
126,8,v24-scene-d08,Melo,1.31,1.23,2.89,0.32,17.164,0.1,0.05,0.02,1,161.528264
127,8,v24-scene-d08,Keth,1.212,1.12,2.78,0.08,17.164,0.1,0.12,0.02,1,275.230028
128,8,v24-scene-d08,Sova,1.224,1.12,3.0,0.08,18.064,0.1,0.12,0.02,1,55.361792
129,8,v24-scene-d08,Sova,1.236,1.12,2.15,0.12,18.064,0.1,0.05,0.02,0,186.643556
130,8,v24-scene-d08,Sova,1.248,1.12,2.12,0.08,18.064,0.1,0.12,0.02,1,321.10532
131,8,v24-scene-d08,Keth,1.26,1.12,2.12,0.08,17.164,0.1,0.12,0.02,1,98.817084
132,8,v24-scene-d08,Ori,1.272,1.12,2.12,0.08,17.164,0.1,0.12,0.02,1,236.528848
133,8,v24-scene-d08,Sova,1.284,1.12,2.59,0.12,18.064,0.1,0.05,0.02,0,22.330612
134,8,v24-scene-d08,Nari,1.296,1.16,2.48,0.08,17.164,0.1,0.12,0.02,1,157.152376
135,8,v24-scene-d08,Sova,1.308,1.12,2.89,0.08,18.064,0.1,0.12,0.02,1,298.13414
136,8,v24-scene-d08,Ori,1.32,1.12,2.56,0.08,17.164,0.1,0.12,0.02,1,72.215904
137,8,v24-scene-d08,Ori,1.332,1.12,2.59,0.12,17.164,0.1,0.05,0.02,0,213.177668
138,8,v24-scene-d08,Vonn,1.384,1.18,3.03,0.24,16.664,0.24,0.02,0.02,1,7.029432
139,8,v24-scene-d08,Melo,1.356,1.12,2.12,0.08,17.164,0.1,0.12,0.02,1,120.511196
140,8,v24-scene-d08,Keth,1.368,1.12,3.11,0.08,17.164,0.1,0.12,0.02,1,269.11296
141,8,v24-scene-d08,Sova,1.38,1.12,2.37,0.12,18.064,0.1,0.05,0.02,0,41.604724
142,8,v24-scene-d08,Sova,1.392,1.12,2.34,0.08,18.064,0.1,0.12,0.02,1,176.066488
143,8,v24-scene-d08,Ori,1.514,1.23,2.23,0.24,17.164,0.1,0.02,0.02,1,329.528252
144,9,v24-scene-d09,Melo,1.31,1.23,2.67,0.32,17.172,0.1,0.05,0.02,1,114.248016
145,9,v24-scene-d09,Sova,1.212,1.12,2.59,0.12,18.072,0.1,0.05,0.02,0,231.19978
146,9,v24-scene-d09,Melo,1.224,1.12,2.89,0.08,17.172,0.1,0.12,0.02,1,9.291544
147,9,v24-scene-d09,Melo,1.236,1.12,3.0,0.08,17.172,0.1,0.12,0.02,1,148.213308
148,9,v24-scene-d09,Ori,1.288,1.24,2.78,0.36,17.172,0.1,-0.01,0.02,1,308.345072
149,9,v24-scene-d09,Melo,1.26,1.12,2.04,0.12,17.172,0.1,0.05,0.02,0,55.996836
150,9,v24-scene-d09,Keth,1.272,1.12,3.11,0.08,17.172,0.1,0.12,0.02,1,202.5586
151,9,v24-scene-d09,Sova,1.284,1.12,2.23,0.08,18.072,0.1,0.12,0.02,1,330.590364
152,9,v24-scene-d09,Melo,1.406,1.23,2.45,0.24,17.172,0.1,0.02,0.02,1,127.682128
153,9,v24-scene-d09,Vonn,1.418,1.23,2.48,0.24,16.672,0.24,0.02,0.02,1,265.723892
154,9,v24-scene-d09,Keth,1.32,1.12,2.45,0.08,17.172,0.1,0.12,0.02,1,26.145656
155,9,v24-scene-d09,Nari,1.372,1.22,2.67,0.24,17.172,0.1,0.02,0.02,1,181.73742
156,9,v24-scene-d09,Keth,1.344,1.12,2.67,0.08,17.172,0.1,0.12,0.02,1,303.989184
157,9,v24-scene-d09,Nari,1.356,1.12,2.89,0.08,17.172,0.1,0.12,0.02,0,84.120948
158,9,v24-scene-d09,Vonn,1.408,1.18,3.03,0.24,16.672,0.24,0.02,0.02,1,237.592712
159,9,v24-scene-d09,Sova,1.42,1.18,3.11,0.24,18.072,0.1,0.02,0.02,1,16.184476
160,9,v24-scene-d09,Keth,1.462,1.23,3.11,0.24,17.172,0.1,0.02,0.02,1,155.95624
161,9,v24-scene-d09,Ori,1.404,1.18,3.11,0.2,17.172,0.1,0.09,0.02,1,288.008004
162,10,v24-scene-d10,Ori,1.2,1.12,2.12,0.08,17.18,0.1,0.12,0.02,1,40.537768
163,10,v24-scene-d10,Melo,1.322,1.23,2.56,0.32,17.18,0.1,0.05,0.02,1,205.889532
164,10,v24-scene-d10,Keth,1.224,1.12,2.45,0.08,17.18,0.1,0.12,0.02,1,319.591296
165,10,v24-scene-d10,Keth,1.236,1.12,2.48,0.12,17.18,0.1,0.05,0.02,0,100.55306
166,10,v24-scene-d10,Ori,1.358,1.23,2.56,0.24,17.18,0.1,0.02,0.02,1,253.184824
167,10,v24-scene-d10,Sova,1.26,1.12,2.89,0.08,18.08,0.1,0.12,0.02,1,17.566588
168,10,v24-scene-d10,Melo,1.272,1.12,3.11,0.08,17.18,0.1,0.12,0.02,1,157.698352
169,10,v24-scene-d10,Nari,1.284,1.12,2.81,0.12,17.18,0.1,0.05,0.02,0,295.030116
170,10,v24-scene-d10,Nari,1.406,1.23,2.12,0.32,17.18,0.1,0.05,0.02,1,85.03188
171,10,v24-scene-d10,Melo,1.308,1.12,2.34,0.08,17.18,0.1,0.12,0.02,1,202.363644
172,10,v24-scene-d10,Ori,1.36,1.18,2.12,0.24,17.18,0.1,0.02,0.02,1,351.875408
173,10,v24-scene-d10,Ori,1.332,1.12,2.23,0.08,17.18,0.1,0.12,0.02,1,116.577172
174,10,v24-scene-d10,Keth,1.454,1.23,2.45,0.32,17.18,0.1,0.05,0.02,1,279.508936
175,10,v24-scene-d10,Vonn,1.466,1.23,2.7,0.24,16.68,0.24,0.02,0.02,1,54.1307
176,10,v24-scene-d10,Keth,1.368,1.12,2.67,0.08,17.18,0.1,0.12,0.02,1,174.552464
177,10,v24-scene-d10,Ori,1.38,1.12,2.59,0.12,17.18,0.1,0.05,0.02,0,314.304228
178,10,v24-scene-d10,Vonn,1.392,1.16,3.03,0.08,16.68,0.24,0.12,0.02,1,95.175992
179,10,v24-scene-d10,Sova,1.404,1.12,2.23,0.08,18.08,0.1,0.12,0.02,1,222.847756
180,11,v24-scene-d11,Melo,1.2,1.12,2.23,0.08,17.188,0.1,0.12,0.02,1,356.88752
181,11,v24-scene-d11,Sova,1.212,1.12,2.15,0.12,18.088,0.1,0.05,0.02,0,136.639284
182,11,v24-scene-d11,Ori,1.224,1.12,2.12,0.08,17.188,0.1,0.12,0.02,1,271.101048
183,11,v24-scene-d11,Vonn,1.236,1.12,3.0,0.08,17.188,0.1,0.12,0.02,1,58.492812
184,11,v24-scene-d11,Melo,1.248,1.12,2.67,0.08,17.188,0.1,0.12,0.02,1,192.574576
185,11,v24-scene-d11,Nari,1.37,1.23,2.67,0.32,17.188,0.1,0.02,0.02,1,353.08634
186,11,v24-scene-d11,Sova,1.272,1.12,3.0,0.08,18.088,0.1,0.12,0.02,1,111.628104
187,11,v24-scene-d11,Nari,1.284,1.12,2.89,0.08,17.188,0.1,0.12,0.02,1,248.129868
188,11,v24-scene-d11,Vonn,1.406,1.23,3.03,0.32,16.688,0.24,0.05,0.02,1,50.181632
189,11,v24-scene-d11,Melo,1.308,1.12,2.04,0.12,17.188,0.1,0.05,0.02,0,157.123396
190,11,v24-scene-d11,Vonn,1.43,1.23,2.15,0.32,16.688,0.24,0.02,0.02,1,315.92516
191,11,v24-scene-d11,Ori,1.332,1.12,3.11,0.08,17.188,0.1,0.12,0.02,1,81.396924
192,11,v24-scene-d11,Ori,1.384,1.18,2.12,0.24,17.188,0.1,0.02,0.02,1,222.438688
193,11,v24-scene-d11,Keth,1.356,1.12,2.26,0.12,17.188,0.1,0.05,0.02,0,350.390452
194,11,v24-scene-d11,Nari,1.408,1.18,2.34,0.24,17.188,0.1,0.02,0.02,0,140.282216
195,11,v24-scene-d11,Keth,1.38,1.12,2.56,0.08,17.188,0.1,0.12,0.02,1,266.19398
196,11,v24-scene-d11,Keth,1.392,1.16,2.67,0.08,17.188,0.1,0.12,0.02,1,46.355744
197,11,v24-scene-d11,Keth,1.404,1.12,2.7,0.12,17.188,0.1,0.05,0.02,0,186.077508
198,12,v24-scene-d12,Melo,1.2,1.12,3.11,0.08,17.196,0.14,0.12,0.02,1,321.707272
199,12,v24-scene-d12,Nari,1.322,1.23,2.89,0.24,17.196,0.14,0.02,0.02,1,113.959036
200,12,v24-scene-d12,Keth,1.224,1.12,3.11,0.08,17.196,0.14,0.12,0.02,1,237.1308
201,12,v24-scene-d12,Vonn,1.346,1.23,2.26,0.32,16.696,0.28,0.02,0.02,1,28.292564
202,12,v24-scene-d12,Melo,1.248,1.12,2.45,0.08,17.196,0.14,0.12,0.02,1,145.294328
203,12,v24-scene-d12,Nari,1.3,1.24,2.23,0.36,17.196,0.14,-0.01,0.02,1,305.426092
204,12,v24-scene-d12,Vonn,1.312,1.18,2.59,0.32,16.696,0.28,0.02,0.02,1,82.317856
205,12,v24-scene-d12,Keth,1.284,1.12,2.48,0.12,17.196,0.14,0.05,0.02,0,201.67962
206,12,v24-scene-d12,Ori,1.336,1.18,2.56,0.24,17.196,0.14,0.02,0.02,1,351.571384
207,12,v24-scene-d12,Ori,1.418,1.23,2.67,0.24,17.196,0.14,0.02,0.02,1,133.233148
208,12,v24-scene-d12,Sova,1.32,1.12,3.0,0.08,18.096,0.14,0.12,0.02,1,257.614912
209,12,v24-scene-d12,Melo,1.332,1.12,2.04,0.12,17.196,0.14,0.05,0.02,0,27.686676
210,12,v24-scene-d12,Vonn,1.454,1.23,2.15,0.32,16.696,0.28,0.02,0.02,1,186.48844
211,12,v24-scene-d12,Sova,1.396,1.18,2.45,0.24,18.096,0.14,0.02,0.02,1,318.920204
212,12,v24-scene-d12,Sova,1.438,1.23,2.56,0.2,18.096,0.14,0.09,0.02,1,96.981968
213,12,v24-scene-d12,Keth,1.38,1.12,2.34,0.08,17.196,0.14,0.12,0.02,1,218.913732
214,12,v24-scene-d12,Ori,1.392,1.12,2.34,0.08,17.196,0.14,0.12,0.02,1,356.625496
215,12,v24-scene-d12,Keth,1.404,1.12,2.56,0.08,17.196,0.14,0.12,0.02,1,136.75726
216,13,v24-scene-d13,Sova,1.2,1.12,2.78,0.08,18.104,0.1,0.12,0.02,1,273.217024
217,13,v24-scene-d13,Ori,1.212,1.12,2.59,0.12,17.204,0.1,0.05,0.02,0,51.758788
218,13,v24-scene-d13,Ori,1.264,1.22,2.78,0.24,17.204,0.1,0.02,0.02,1,204.100552
219,13,v24-scene-d13,Sova,1.236,1.12,3.11,0.08,18.104,0.1,0.12,0.02,1,329.982316
220,13,v24-scene-d13,Nari,1.318,1.23,3.0,0.2,17.204,0.1,0.09,0.02,1,119.84408
221,13,v24-scene-d13,Keth,1.26,1.12,2.04,0.12,17.204,0.1,0.05,0.02,0,236.555844
222,13,v24-scene-d13,Nari,1.272,1.12,2.12,0.08,17.204,0.1,0.12,0.02,1,12.227608
223,13,v24-scene-d13,Nari,1.324,1.18,2.45,0.24,17.204,0.1,0.02,0.02,1,167.789372
224,13,v24-scene-d13,Ori,1.296,1.12,2.34,0.08,17.204,0.1,0.12,0.02,1,290.071136
225,13,v24-scene-d13,Nari,1.348,1.18,2.67,0.24,17.204,0.1,0.02,0.02,1,85.6329
226,13,v24-scene-d13,Nari,1.32,1.12,2.78,0.08,17.204,0.1,0.12,0.02,1,210.334664
227,13,v24-scene-d13,Melo,1.332,1.12,3.0,0.08,17.204,0.1,0.12,0.02,1,350.466428
228,13,v24-scene-d13,Melo,1.384,1.18,3.11,0.24,17.204,0.1,0.02,0.02,1,143.608192
229,13,v24-scene-d13,Keth,1.356,1.12,2.92,0.12,17.204,0.1,0.05,0.02,0,267.929956
230,13,v24-scene-d13,Nari,1.368,1.12,3.0,0.08,17.204,0.1,0.12,0.02,1,43.60172
231,13,v24-scene-d13,Melo,1.38,1.12,2.34,0.08,17.204,0.1,0.12,0.02,0,174.053484
232,13,v24-scene-d13,Ori,1.392,1.16,2.12,0.08,17.204,0.1,0.12,0.02,1,310.585248
233,13,v24-scene-d13,Nari,1.404,1.12,2.37,0.12,17.204,0.1,0.05,0.02,0,92.727012
234,14,v24-scene-d14,Ori,1.2,1.12,2.34,0.08,17.212,0.1,0.12,0.02,1,223.516776
235,14,v24-scene-d14,Vonn,1.252,1.18,2.7,0.32,16.712,0.24,0.02,0.02,1,25.24854
236,14,v24-scene-d14,Ori,1.264,1.22,2.56,0.24,17.212,0.1,0.02,0.02,1,156.820304
237,14,v24-scene-d14,Keth,1.236,1.12,2.7,0.12,17.212,0.1,0.05,0.02,0,283.532068
238,14,v24-scene-d14,Keth,1.248,1.12,2.89,0.08,17.212,0.1,0.12,0.02,1,60.413832
239,14,v24-scene-d14,Keth,1.26,1.12,3.0,0.08,17.212,0.1,0.12,0.02,1,199.335596
240,14,v24-scene-d14,Keth,1.382,1.23,3.11,0.32,17.212,0.1,0.05,0.02,1,1.05736
241,14,v24-scene-d14,Sova,1.284,1.12,2.37,0.12,18.112,0.1,0.05,0.02,0,110.749124
242,14,v24-scene-d14,Melo,1.296,1.12,2.45,0.08,17.212,0.1,0.12,0.02,1,246.420888
243,14,v24-scene-d14,Nari,1.418,1.23,2.23,0.32,17.212,0.1,0.05,0.02,1,44.512652
244,14,v24-scene-d14,Melo,1.32,1.12,2.67,0.08,17.212,0.1,0.12,0.02,1,164.264416
245,14,v24-scene-d14,Sova,1.332,1.12,2.81,0.12,18.112,0.1,0.05,0.02,0,306.43618
