seed,choice_id,actor,decision,reason,source_recovery_id,source_pulse_id,source_recovery_status,refusal_bounded,trust_delta,progress_delta,permanent_penalty,recovery_path
36247,36247-SHC-06,Ari,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36247-SR-06,36247-SP-06,pending,True,-0.003,-0.002,False,re-tie tool lashing and return focus
36247,36247-SHC-07,Tovan,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36247-SR-07,36247-SP-07,resolved,False,0.008,0.01,False,mediate disagreement and name source boundary
36247,36247-SHC-08,Tovan,cautious_help_with_limits,"history stabilized without materials, so help stays cautious",36247-SR-08,36247-SP-08,stabilized without materials,False,0.002,0.004,False,acknowledge help and share credit
36263,36263-SHC-01,Fay,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36263-SR-01,36263-SP-01,pending,True,-0.003,-0.002,False,patch leak and rest near dry place
36263,36263-SHC-02,Milo,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36263-SR-02,36263-SP-02,resolved,False,0.008,0.01,False,protect quiet rest and resume slowly
36263,36263-SHC-03,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36263-SR-03,36263-SP-03,resolved,False,0.008,0.01,False,re-tie tool lashing and return focus
36263,36263-SHC-04,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36263-SR-04,36263-SP-04,resolved,False,0.008,0.01,False,mediate disagreement and name source boundary
36263,36263-SHC-05,Milo,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36263-SR-05,36263-SP-05,resolved,False,0.008,0.01,False,patch leak and rest near dry place
36263,36263-SHC-06,Ari,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36263-SR-06,36263-SP-06,pending,True,-0.003,-0.002,False,patch leak and rest near dry place
36263,36263-SHC-07,Sera,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36263-SR-07,36263-SP-07,resolved,False,0.008,0.01,False,re-tie tool lashing and return focus
36263,36263-SHC-08,Sera,cautious_help_with_limits,"history stabilized without materials, so help stays cautious",36263-SR-08,36263-SP-08,stabilized without materials,False,0.002,0.004,False,acknowledge help and share credit
36281,36281-SHC-01,Fay,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36281-SR-01,36281-SP-01,pending,True,-0.003,-0.002,False,re-tie tool lashing and return focus
36281,36281-SHC-02,Tovan,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36281-SR-02,36281-SP-02,resolved,False,0.008,0.01,False,share found material with pending work
36281,36281-SHC-03,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36281-SR-03,36281-SP-03,resolved,False,0.008,0.01,False,acknowledge help and share credit
36281,36281-SHC-04,Milo,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36281-SR-04,36281-SP-04,resolved,False,0.008,0.01,False,acknowledge help and share credit
36281,36281-SHC-05,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36281-SR-05,36281-SP-05,resolved,False,0.008,0.01,False,patch leak and rest near dry place
36281,36281-SHC-06,Tovan,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36281-SR-06,36281-SP-06,pending,True,-0.003,-0.002,False,re-tie tool lashing and return focus
36281,36281-SHC-07,Sera,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36281-SR-07,36281-SP-07,resolved,False,0.008,0.01,False,protect quiet rest and resume slowly
36281,36281-SHC-08,Tovan,cautious_help_with_limits,"history stabilized without materials, so help stays cautious",36281-SR-08,36281-SP-08,stabilized without materials,False,0.002,0.004,False,mediate disagreement and name source boundary
36307,36307-SHC-01,Fay,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36307-SR-01,36307-SP-01,pending,True,-0.003,-0.002,False,patch leak and rest near dry place
36307,36307-SHC-02,Sera,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36307-SR-02,36307-SP-02,resolved,False,0.008,0.01,False,patch leak and rest near dry place
36307,36307-SHC-03,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36307-SR-03,36307-SP-03,resolved,False,0.008,0.01,False,re-tie tool lashing and return focus
36307,36307-SHC-04,Milo,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36307-SR-04,36307-SP-04,resolved,False,0.008,0.01,False,protect quiet rest and resume slowly
36307,36307-SHC-05,Sera,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36307-SR-05,36307-SP-05,resolved,False,0.008,0.01,False,mediate disagreement and name source boundary
36307,36307-SHC-06,Tovan,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36307-SR-06,36307-SP-06,pending,True,-0.003,-0.002,False,re-tie tool lashing and return focus
36307,36307-SHC-07,Milo,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36307-SR-07,36307-SP-07,resolved,False,0.008,0.01,False,mediate disagreement and name source boundary
36307,36307-SHC-08,Tovan,cautious_help_with_limits,"history stabilized without materials, so help stays cautious",36307-SR-08,36307-SP-08,stabilized without materials,False,0.002,0.004,False,re-tie tool lashing and return focus
