tick,day,snapshot_id,scene_id,storage_key,stores_avatar_position,stores_inventory,stores_object_owners,stores_agent_reactions,stores_dialogue_cursor,stores_replay_cursor,snapshot_integrity
36,3,v22-snapshot-0036,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
37,3,v22-snapshot-0037,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
38,3,v22-snapshot-0038,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
39,3,v22-snapshot-0039,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,1,1,1,1,0.833333
40,3,v22-snapshot-0040,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
41,3,v22-snapshot-0041,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
42,3,v22-snapshot-0042,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
43,3,v22-snapshot-0043,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
44,3,v22-snapshot-0044,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
45,3,v22-snapshot-0045,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
46,3,v22-snapshot-0046,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,0,1,1,1,0.666667
47,3,v22-snapshot-0047,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
48,4,v22-snapshot-0048,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
49,4,v22-snapshot-0049,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
50,4,v22-snapshot-0050,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,0,1,1,1,1,1,0.833333
51,4,v22-snapshot-0051,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
52,4,v22-snapshot-0052,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
53,4,v22-snapshot-0053,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
54,4,v22-snapshot-0054,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
55,4,v22-snapshot-0055,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
56,4,v22-snapshot-0056,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
57,4,v22-snapshot-0057,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,0,1,1,0.833333
58,4,v22-snapshot-0058,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
59,4,v22-snapshot-0059,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
60,4,v22-snapshot-0060,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
61,4,v22-snapshot-0061,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
62,4,v22-snapshot-0062,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
63,4,v22-snapshot-0063,v22-scene-d04,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
64,5,v22-snapshot-0064,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
65,5,v22-snapshot-0065,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
66,5,v22-snapshot-0066,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,0,0.666667
67,5,v22-snapshot-0067,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
68,5,v22-snapshot-0068,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
69,5,v22-snapshot-0069,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
70,5,v22-snapshot-0070,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,1,1,1,1,0.833333
71,5,v22-snapshot-0071,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
72,5,v22-snapshot-0072,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
73,5,v22-snapshot-0073,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
74,5,v22-snapshot-0074,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
75,5,v22-snapshot-0075,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
76,5,v22-snapshot-0076,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
77,5,v22-snapshot-0077,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
78,5,v22-snapshot-0078,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
79,5,v22-snapshot-0079,v22-scene-d05,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
80,6,v22-snapshot-0080,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
81,6,v22-snapshot-0081,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
82,6,v22-snapshot-0082,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
83,6,v22-snapshot-0083,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,1,1,1,1,0.833333
84,6,v22-snapshot-0084,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
85,6,v22-snapshot-0085,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
86,6,v22-snapshot-0086,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
87,6,v22-snapshot-0087,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
88,6,v22-snapshot-0088,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
89,6,v22-snapshot-0089,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
90,6,v22-snapshot-0090,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
91,6,v22-snapshot-0091,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
92,6,v22-snapshot-0092,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
93,6,v22-snapshot-0093,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,0,1,1,1,1,1,0.833333
94,6,v22-snapshot-0094,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
95,6,v22-snapshot-0095,v22-scene-d06,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
96,7,v22-snapshot-0096,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
97,7,v22-snapshot-0097,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
98,7,v22-snapshot-0098,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,0,1,1,0.833333
99,7,v22-snapshot-0099,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
100,7,v22-snapshot-0100,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
101,7,v22-snapshot-0101,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,1,1,1,1,0.833333
102,7,v22-snapshot-0102,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
103,7,v22-snapshot-0103,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
104,7,v22-snapshot-0104,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
105,7,v22-snapshot-0105,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
106,7,v22-snapshot-0106,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
107,7,v22-snapshot-0107,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
108,7,v22-snapshot-0108,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
109,7,v22-snapshot-0109,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
110,7,v22-snapshot-0110,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
111,7,v22-snapshot-0111,v22-scene-d07,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,1,0.833333
112,8,v22-snapshot-0112,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
113,8,v22-snapshot-0113,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,0,0.833333
114,8,v22-snapshot-0114,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
115,8,v22-snapshot-0115,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
116,8,v22-snapshot-0116,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,1,0.833333
117,8,v22-snapshot-0117,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
118,8,v22-snapshot-0118,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
119,8,v22-snapshot-0119,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
120,8,v22-snapshot-0120,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,1,1,1,1,0.833333
121,8,v22-snapshot-0121,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
122,8,v22-snapshot-0122,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
123,8,v22-snapshot-0123,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
124,8,v22-snapshot-0124,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
125,8,v22-snapshot-0125,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
126,8,v22-snapshot-0126,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
127,8,v22-snapshot-0127,v22-scene-d08,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
128,9,v22-snapshot-0128,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
129,9,v22-snapshot-0129,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
130,9,v22-snapshot-0130,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
131,9,v22-snapshot-0131,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,1,0.833333
132,9,v22-snapshot-0132,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,0,1,1,1,0.666667
133,9,v22-snapshot-0133,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
134,9,v22-snapshot-0134,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
135,9,v22-snapshot-0135,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
136,9,v22-snapshot-0136,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,0,1,1,1,1,1,0.833333
137,9,v22-snapshot-0137,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
138,9,v22-snapshot-0138,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
139,9,v22-snapshot-0139,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,0,1,1,0.833333
140,9,v22-snapshot-0140,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
141,9,v22-snapshot-0141,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,1,0.833333
142,9,v22-snapshot-0142,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
143,9,v22-snapshot-0143,v22-scene-d09,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
144,10,v22-snapshot-0144,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
145,10,v22-snapshot-0145,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
146,10,v22-snapshot-0146,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,1,0.833333
147,10,v22-snapshot-0147,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
148,10,v22-snapshot-0148,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
149,10,v22-snapshot-0149,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
150,10,v22-snapshot-0150,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
151,10,v22-snapshot-0151,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
152,10,v22-snapshot-0152,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
153,10,v22-snapshot-0153,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
154,10,v22-snapshot-0154,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
155,10,v22-snapshot-0155,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
156,10,v22-snapshot-0156,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
157,10,v22-snapshot-0157,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,1,1,1,1,0.833333
158,10,v22-snapshot-0158,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
159,10,v22-snapshot-0159,v22-scene-d10,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
160,11,v22-snapshot-0160,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,0,0.666667
161,11,v22-snapshot-0161,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,1,0.833333
162,11,v22-snapshot-0162,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
163,11,v22-snapshot-0163,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,1,1,1,1,0.833333
164,11,v22-snapshot-0164,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
165,11,v22-snapshot-0165,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
166,11,v22-snapshot-0166,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
167,11,v22-snapshot-0167,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
168,11,v22-snapshot-0168,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
169,11,v22-snapshot-0169,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
170,11,v22-snapshot-0170,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
171,11,v22-snapshot-0171,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
172,11,v22-snapshot-0172,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
173,11,v22-snapshot-0173,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
174,11,v22-snapshot-0174,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
175,11,v22-snapshot-0175,v22-scene-d11,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
176,12,v22-snapshot-0176,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,1,0.833333
177,12,v22-snapshot-0177,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
178,12,v22-snapshot-0178,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
179,12,v22-snapshot-0179,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,0,1,1,1,1,1,0.833333
180,12,v22-snapshot-0180,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,0,1,1,0.833333
181,12,v22-snapshot-0181,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
182,12,v22-snapshot-0182,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
183,12,v22-snapshot-0183,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
184,12,v22-snapshot-0184,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
185,12,v22-snapshot-0185,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
186,12,v22-snapshot-0186,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
187,12,v22-snapshot-0187,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
188,12,v22-snapshot-0188,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
189,12,v22-snapshot-0189,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
190,12,v22-snapshot-0190,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
191,12,v22-snapshot-0191,v22-scene-d12,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,0,1,0.833333
192,13,v22-snapshot-0192,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
193,13,v22-snapshot-0193,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
194,13,v22-snapshot-0194,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,1,1,1,1,0.833333
195,13,v22-snapshot-0195,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
196,13,v22-snapshot-0196,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
197,13,v22-snapshot-0197,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
198,13,v22-snapshot-0198,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
199,13,v22-snapshot-0199,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
200,13,v22-snapshot-0200,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
201,13,v22-snapshot-0201,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
202,13,v22-snapshot-0202,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
203,13,v22-snapshot-0203,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
204,13,v22-snapshot-0204,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
205,13,v22-snapshot-0205,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
206,13,v22-snapshot-0206,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
207,13,v22-snapshot-0207,v22-scene-d13,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,0,0.833333
208,14,v22-snapshot-0208,v22-scene-d14,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
209,14,v22-snapshot-0209,v22-scene-d14,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
210,14,v22-snapshot-0210,v22-scene-d14,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
