seed,interpretation_id,hint_id,resident,household,local_name,resident_interpretation,trust_gate,fear_or_priority_gate,wrong_or_partial_interpretation,hidden_law_known,correct_concept_received,modern_name_used
36281,36281-AHI-010-3,36281-AHD-010,Nia,house_3,busy-season refusal around edge-shame/quiet-doubt schedule conflict practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36307,36307-AHI-011-1,36307-AHD-011,Ari,house_3,storm-thread avoidance around safe-gap/half-sign safety limit practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36307,36307-AHI-011-2,36307-AHD-011,Fay,house_0,busy-season refusal around safe-gap/half-sign safety limit practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36307,36307-AHI-011-3,36307-AHD-011,Milo,house_1,quiet sign waiting around safe-gap/half-sign safety limit practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36307,36307-AHI-012-1,36307-AHD-012,Fay,house_3,wet counterexample note around safe-gap/half-sign schedule conflict practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36307,36307-AHI-012-2,36307-AHD-012,Milo,house_0,dry keeping habit around safe-gap/half-sign schedule conflict practice,dry things keep the small bite quieter and easier to repeat,0.72,accepts a limited household trial,True,False,False,False
36307,36307-AHI-012-3,36307-AHD-012,Sera,house_1,storm-thread avoidance around safe-gap/half-sign schedule conflict practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36319,36319-AHI-013-1,36319-AHD-013,Milo,house_3,quiet sign waiting around fiber-rise/edge-shame safety limit practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36319,36319-AHI-013-2,36319-AHD-013,Sera,house_0,wet counterexample note around fiber-rise/edge-shame safety limit practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36319,36319-AHI-013-3,36319-AHD-013,Tovan,house_1,dry keeping habit around fiber-rise/edge-shame safety limit practice,dry things keep the small bite quieter and easier to repeat,0.72,accepts a limited household trial,True,False,False,False
36319,36319-AHI-014-1,36319-AHD-014,Sera,house_3,storm-thread avoidance around fiber-rise/edge-shame schedule conflict practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36319,36319-AHI-014-2,36319-AHD-014,Tovan,house_0,busy-season refusal around fiber-rise/edge-shame schedule conflict practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36319,36319-AHI-014-3,36319-AHD-014,Nia,house_1,quiet sign waiting around fiber-rise/edge-shame schedule conflict practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36343,36343-AHI-015-1,36343-AHD-015,Tovan,house_3,storm-thread avoidance around smoke-bound/tool-anger safety limit practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36343,36343-AHI-015-2,36343-AHD-015,Nia,house_0,busy-season refusal around smoke-bound/tool-anger safety limit practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36343,36343-AHI-015-3,36343-AHD-015,Ari,house_1,quiet sign waiting around smoke-bound/tool-anger safety limit practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36343,36343-AHI-016-1,36343-AHD-016,Nia,house_3,wet counterexample note around smoke-bound/tool-anger schedule conflict practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36343,36343-AHI-016-2,36343-AHD-016,Ari,house_0,dry keeping habit around smoke-bound/tool-anger schedule conflict practice,dry things keep the small bite quieter and easier to repeat,0.72,accepts a limited household trial,True,False,False,False
36343,36343-AHI-016-3,36343-AHD-016,Fay,house_1,storm-thread avoidance around smoke-bound/tool-anger schedule conflict practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
