tick_id,settlement_id,ritual_anchor,technology_stage,practical_use,dialect_id,inherited_from_deep_time,bound_to_play_action,continuity_hash
28,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-477164
29,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-648720
30,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-851471
31,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-627548
32,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-521353
33,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-736439
34,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-514184
35,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-756150
36,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-778077
37,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-754095
38,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-514913
39,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-673130
40,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-546416
41,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-583343
42,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-953947
43,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-699891
44,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-458927
45,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-502448
46,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-600219
47,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-640963
48,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-817750
49,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-745771
50,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-584567
51,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-501772
52,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-485261
53,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-878284
54,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-777985
55,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-637566
56,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-748468
57,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-540691
58,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-592065
59,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-713713
60,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-744404
61,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-584956
62,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-502161
63,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-485650
64,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-878673
65,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-778374
66,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-637955
67,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-748857
68,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-541080
69,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-592454
70,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-712346
71,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-816967
72,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-629643
73,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-683792
74,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-573436
75,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-423463
76,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-640312
77,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-852319
78,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-574573
79,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-514866
80,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-625680
81,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-478067
82,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-813002
83,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-906533
84,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-702125
85,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-514190
86,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-512047
87,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-711924
88,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-679270
89,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-788590
90,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-866678
91,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-551353
92,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-617492
93,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-549209
94,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-640220
95,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-898005
96,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-802417
97,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-585465
98,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-449621
99,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-478807
100,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-780476
101,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-736864
102,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-643684
103,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-652232
104,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-518453
105,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-662235
106,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-727640
107,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-795750
108,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-644770
109,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-538174
110,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-752291
111,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-529209
112,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-772087
113,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-038285
114,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-682645
115,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-644013
116,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-590134
117,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-492636
118,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-664850
119,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-870111
120,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-715618
121,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-473747
122,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-517429
123,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-615568
124,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656477
125,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-794686
126,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-770609
127,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-530533
128,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-689337
129,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-563914
130,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-599228
131,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-971189
132,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-474138
133,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-517820
134,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-615959
135,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656868
136,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-795077
137,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-771000
138,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-530924
139,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-689728
140,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-562540
141,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-599619
142,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-971580
143,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-716596
144,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-764762
145,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-556209
146,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-607774
147,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-729889
148,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-834896
149,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-762645
150,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-600840
151,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-517728
152,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-501154
153,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-895643
154,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-794985
155,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-654040
156,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529900
157,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-642889
158,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-494720
159,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-830912
160,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-923021
161,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-645696
162,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-700043
163,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-589273
164,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-438731
165,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656411
166,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-869200
167,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-590422
168,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-568289
169,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-634670
170,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-564368
171,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-655732
172,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-914462
173,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-718449
174,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529808
175,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-527653
176,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-728275
177,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-695515
178,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-805240
179,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-885366
180,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-653204
181,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-519425
182,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-663207
183,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-728612
184,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-796722
185,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-819108
186,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-601353
187,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-464991
188,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-494287
189,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-783800
190,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-738423
191,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-645243
192,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-644985
193,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-591106
194,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493608
195,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-665822
196,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-871083
197,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-646329
198,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-539733
199,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-755615
200,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-529012
201,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-771890
202,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-038088
203,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-682448
204,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-589741
205,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-492243
206,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-664457
207,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-869718
208,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-644964
209,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-538368
210,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-752485
211,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-529403
212,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-772281
213,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-038479
214,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-682839
215,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-644207
216,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-688944
217,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-563521
218,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-600600
219,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-972561
220,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-715812
221,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-473941
222,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-517623
223,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-615762
224,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-656671
225,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-794880
226,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-770803
227,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-530727
228,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-518709
229,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-502135
230,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-894859
231,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-794201
232,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-653256
233,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-764565
234,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-556012
235,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-607577
236,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-729692
237,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-834699
238,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-762448
239,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-602408
240,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-588489
241,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-437947
242,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-655627
243,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-868416
244,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-589638
245,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529703
246,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-642692
247,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-494523
248,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-830715
249,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-924589
250,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-645499
251,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-699846
252,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-526869
253,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-727491
254,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-694731
255,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-804456
256,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-884582
257,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-568092
258,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-634473
259,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-565936
260,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-655535
261,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-914265
262,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-718252
263,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-529611
264,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-464207
265,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-493503
266,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-783016
267,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-739404
268,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-646224
269,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-654772
270,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-519228
271,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-663010
272,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-728415
273,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-796525
274,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-818911
