tick_id,day,agent_id,talk_count,recent_pattern,trust_avatar,guardedness,attachment_security,grudge_pressure,forgiveness_progress,repeated_talk_changed_behavior,behavior_summary
105,9,Milo,10,"ask_permission,move_owned_object,interrupt_task",0.48,0.499,0.472,0.37825,0.345,True,continues task
107,9,Juno,11,"move_owned_object,ask_permission,interrupt_task",0.555,0.472,0.364,0.3016,0.277,True,continues task
108,10,Fay,11,"misname_agent,ask_permission,ask_help",0.665,0.305,0.65,0.1757,0.503,True,continues task
110,10,Milo,11,"move_owned_object,interrupt_task,interrupt_task",0.43,0.554,0.446,0.44825,0.329,True,keeps distance
111,10,Ivo,11,"misname_agent,ask_permission,ask_permission",0.66,0.341,0.658,0.184,0.463,True,continues task
112,10,Juno,12,"ask_permission,interrupt_task,ask_permission",0.585,0.468,0.368,0.2904,0.28,True,continues task
115,10,Nia,11,"ask_status,request_owned_object,ask_permission",0.765,0.21,0.52,0.1329,0.409,True,continues task
117,10,Ivo,12,"ask_permission,ask_permission,ask_permission",0.69,0.337,0.662,0.16825,0.466,True,approaches after care
119,10,Ari,11,"offer_care,give_space,interrupt_task",0.615,0.364,0.638,0.28935,0.401,True,continues task
120,11,Fay,12,"ask_permission,ask_help,ask_status",0.68,0.301,0.654,0.15855,0.506,True,continues task
122,11,Milo,12,"interrupt_task,interrupt_task,misname_agent",0.38,0.609,0.42,0.51825,0.313,True,keeps distance
124,11,Juno,13,"interrupt_task,ask_permission,move_owned_object",0.535,0.523,0.372,0.3604,0.264,True,keeps distance
127,11,Nia,12,"request_owned_object,ask_permission,move_owned_object",0.715,0.265,0.524,0.2029,0.393,True,continues task
128,11,Milo,13,"interrupt_task,misname_agent,request_owned_object",0.41,0.605,0.424,0.5039,0.316,True,keeps distance
129,11,Ivo,13,"ask_permission,ask_permission,move_owned_object",0.64,0.392,0.666,0.23825,0.45,True,approaches after care
131,11,Ari,12,"give_space,interrupt_task,request_owned_object",0.645,0.36,0.642,0.2764,0.404,True,continues task
132,12,Fay,13,"ask_help,ask_status,request_owned_object",0.71,0.297,0.658,0.1414,0.509,True,continues task
133,12,Nia,13,"ask_permission,move_owned_object,interrupt_task",0.665,0.32,0.498,0.2729,0.377,True,continues task
134,12,Milo,14,"misname_agent,request_owned_object,ask_permission",0.44,0.601,0.428,0.48955,0.319,True,keeps distance
136,12,Juno,14,"ask_permission,move_owned_object,interrupt_task",0.485,0.578,0.346,0.4304,0.248,True,keeps distance
139,12,Nia,14,"move_owned_object,interrupt_task,interrupt_task",0.615,0.375,0.472,0.3429,0.361,True,continues task
141,12,Ivo,14,"ask_permission,move_owned_object,interrupt_task",0.59,0.447,0.64,0.30825,0.434,True,continues task
143,12,Ari,13,"interrupt_task,request_owned_object,ask_permission",0.675,0.356,0.646,0.26345,0.407,True,continues task
144,13,Fay,14,"ask_status,request_owned_object,move_owned_object",0.66,0.352,0.662,0.2114,0.493,True,approaches after care
146,13,Milo,15,"request_owned_object,ask_permission,request_owned_object",0.47,0.597,0.432,0.4752,0.322,True,keeps distance
148,13,Juno,15,"move_owned_object,interrupt_task,request_owned_object",0.515,0.574,0.35,0.4192,0.251,True,keeps distance
150,13,Fay,15,"request_owned_object,move_owned_object,move_owned_object",0.61,0.407,0.666,0.2814,0.477,True,approaches after care
151,13,Nia,15,"interrupt_task,interrupt_task,request_owned_object",0.645,0.371,0.476,0.331,0.364,True,continues task
153,13,Ivo,15,"move_owned_object,interrupt_task,ask_help",0.605,0.443,0.644,0.2925,0.437,True,continues task
155,13,Ari,14,"request_owned_object,ask_permission,move_owned_object",0.625,0.411,0.65,0.33345,0.391,True,continues task
156,14,Fay,16,"move_owned_object,move_owned_object,interrupt_task",0.56,0.462,0.64,0.3514,0.461,True,continues task
158,14,Milo,16,"ask_permission,request_owned_object,ask_permission",0.5,0.593,0.436,0.46085,0.325,True,keeps distance
160,14,Juno,16,"interrupt_task,request_owned_object,ask_permission",0.545,0.57,0.354,0.408,0.254,True,keeps distance
161,14,Ari,15,"ask_permission,move_owned_object,ask_permission",0.655,0.407,0.654,0.3205,0.394,True,continues task
163,14,Nia,16,"interrupt_task,request_owned_object,ask_permission",0.675,0.367,0.48,0.3191,0.367,True,continues task
165,14,Ivo,16,"interrupt_task,ask_help,offer_apology",0.655,0.403,0.648,0.27675,0.477,True,continues task
167,14,Ari,16,"move_owned_object,ask_permission,interrupt_task",0.605,0.462,0.628,0.3905,0.378,True,continues task
168,15,Fay,17,"move_owned_object,interrupt_task,misname_agent",0.51,0.517,0.614,0.4214,0.445,True,continues task
170,15,Milo,17,"request_owned_object,ask_permission,move_owned_object",0.45,0.648,0.44,0.53085,0.309,True,keeps distance
172,15,Juno,17,"request_owned_object,ask_permission,move_owned_object",0.495,0.625,0.358,0.478,0.238,True,keeps distance
175,15,Nia,17,"request_owned_object,ask_permission,move_owned_object",0.625,0.422,0.484,0.3891,0.351,True,continues task
177,15,Ivo,17,"ask_help,offer_apology,offer_care",0.705,0.363,0.684,0.261,0.48,True,approaches after care
179,15,Ari,17,"ask_permission,interrupt_task,ask_help",0.62,0.458,0.632,0.37755,0.381,True,continues task
180,16,Fay,18,"interrupt_task,misname_agent,ask_permission",0.54,0.513,0.618,0.40425,0.448,True,continues task
182,16,Milo,18,"ask_permission,move_owned_object,interrupt_task",0.4,0.703,0.414,0.60085,0.293,True,keeps distance
184,16,Juno,18,"ask_permission,move_owned_object,interrupt_task",0.445,0.68,0.332,0.548,0.222,True,keeps distance
187,16,Nia,18,"ask_permission,move_owned_object,interrupt_task",0.575,0.477,0.458,0.4591,0.335,True,continues task
189,16,Ivo,18,"offer_apology,offer_care,give_space",0.755,0.323,0.72,0.24525,0.52,True,approaches after care
190,16,Juno,19,"move_owned_object,interrupt_task,ask_help",0.46,0.676,0.336,0.5368,0.225,True,keeps distance
191,16,Ari,18,"interrupt_task,ask_help,offer_apology",0.67,0.418,0.636,0.3646,0.421,True,continues task
192,17,Fay,19,"misname_agent,ask_permission,request_owned_object",0.57,0.509,0.622,0.3871,0.451,True,continues task
194,17,Milo,19,"move_owned_object,interrupt_task,request_owned_object",0.43,0.699,0.418,0.5865,0.296,True,keeps distance
195,17,Ivo,19,"offer_care,give_space,move_owned_object",0.705,0.378,0.724,0.31525,0.504,True,approaches after care
196,17,Juno,20,"interrupt_task,ask_help,ask_help",0.475,0.672,0.34,0.5256,0.228,True,keeps distance
199,17,Nia,19,"move_owned_object,interrupt_task,ask_help",0.59,0.473,0.462,0.4472,0.338,True,continues task
201,17,Ivo,20,"give_space,move_owned_object,protect_object",0.755,0.338,0.76,0.2995,0.507,True,approaches after care
203,17,Ari,19,"ask_help,offer_apology,offer_care",0.72,0.378,0.672,0.35165,0.424,True,approaches after care
204,18,Fay,20,"ask_permission,request_owned_object,ask_permission",0.6,0.505,0.626,0.36995,0.454,True,continues task
206,18,Milo,20,"interrupt_task,request_owned_object,ask_permission",0.46,0.695,0.422,0.57215,0.299,True,keeps distance
208,18,Juno,21,"ask_help,ask_help,offer_apology",0.525,0.632,0.344,0.5144,0.268,True,keeps distance
211,18,Nia,20,"interrupt_task,ask_help,offer_apology",0.64,0.433,0.466,0.4353,0.378,True,continues task
212,18,Milo,21,"request_owned_object,ask_permission,give_space",0.51,0.655,0.458,0.5578,0.339,True,keeps distance
213,18,Ivo,21,"move_owned_object,protect_object,ask_help",0.77,0.334,0.764,0.28375,0.51,True,approaches after care
215,18,Ari,20,"offer_apology,offer_care,give_space",0.77,0.338,0.708,0.3387,0.464,True,approaches after care
216,19,Fay,21,"request_owned_object,ask_permission,move_owned_object",0.55,0.56,0.63,0.43995,0.438,True,keeps distance
217,19,Nia,21,"ask_help,offer_apology,request_owned_object",0.67,0.429,0.47,0.4234,0.381,True,continues task
218,19,Milo,22,"ask_permission,give_space,move_owned_object",0.46,0.71,0.462,0.6278,0.323,True,keeps distance
220,19,Juno,22,"ask_help,offer_apology,offer_care",0.575,0.592,0.38,0.5032,0.271,True,keeps distance
223,19,Nia,22,"offer_apology,request_owned_object,offer_care",0.72,0.389,0.506,0.4115,0.384,True,continues task
225,19,Ivo,22,"protect_object,ask_help,ask_status",0.785,0.33,0.768,0.268,0.513,True,approaches after care
227,19,Ari,21,"offer_care,give_space,protect_object",0.82,0.298,0.744,0.32575,0.467,True,approaches after care
228,20,Nia,23,"request_owned_object,offer_care,request_owned_object",0.75,0.385,0.51,0.3996,0.387,True,continues task
230,20,Ivo,23,"ask_help,ask_status,ask_help",0.8,0.326,0.772,0.25225,0.516,True,approaches after care
232,20,Ari,22,"give_space,protect_object,move_owned_object",0.77,0.353,0.748,0.39575,0.451,True,approaches after care
233,20,Fay,22,"ask_permission,move_owned_object,ask_help",0.565,0.556,0.634,0.4228,0.441,True,keeps distance
235,20,Milo,23,"give_space,move_owned_object,protect_object",0.51,0.67,0.498,0.61345,0.326,True,keeps distance
237,20,Juno,23,"offer_apology,offer_care,move_owned_object",0.525,0.647,0.384,0.5732,0.255,True,keeps distance
239,20,Fay,23,"move_owned_object,ask_help,ask_status",0.58,0.552,0.638,0.40565,0.444,True,keeps distance
240,21,Nia,24,"offer_care,request_owned_object,ask_permission",0.78,0.381,0.514,0.3877,0.39,True,continues task
242,21,Ivo,24,"ask_status,ask_help,offer_apology",0.85,0.286,0.776,0.2365,0.556,True,approaches after care
244,21,Ari,23,"protect_object,move_owned_object,interrupt_task",0.72,0.408,0.722,0.46575,0.435,True,approaches after care
247,21,Milo,24,"move_owned_object,protect_object,ask_help",0.525,0.666,0.502,0.5991,0.329,True,keeps distance
249,21,Juno,24,"offer_care,move_owned_object,interrupt_task",0.475,0.702,0.358,0.6432,0.239,True,keeps distance
250,21,Ari,24,"move_owned_object,interrupt_task,ask_help",0.735,0.404,0.726,0.4528,0.438,True,approaches after care
251,21,Fay,24,"ask_help,ask_status,request_owned_object",0.61,0.548,0.642,0.3885,0.447,True,keeps distance
252,22,Nia,25,"request_owned_object,ask_permission,move_owned_object",0.73,0.436,0.518,0.4577,0.374,True,continues task
254,22,Ivo,25,"ask_help,offer_apology,offer_care",0.9,0.246,0.812,0.22075,0.559,True,approaches after care
256,22,Ari,25,"interrupt_task,ask_help,ask_help",0.75,0.4,0.73,0.43985,0.441,True,approaches after care
259,22,Milo,25,"protect_object,ask_help,ask_status",0.54,0.662,0.506,0.58475,0.332,True,keeps distance
261,22,Juno,25,"move_owned_object,interrupt_task,misname_agent",0.425,0.757,0.332,0.7132,0.223,True,keeps distance
263,22,Fay,25,"ask_status,request_owned_object,move_owned_object",0.56,0.603,0.646,0.4585,0.431,True,keeps distance
264,23,Nia,26,"ask_permission,move_owned_object,interrupt_task",0.68,0.491,0.492,0.5277,0.358,True,continues task
266,23,Ivo,26,"offer_apology,offer_care,give_space",0.95,0.206,0.848,0.205,0.599,True,approaches after care
267,23,Juno,26,"interrupt_task,misname_agent,ask_help",0.44,0.753,0.336,0.702,0.226,True,keeps distance
268,23,Ari,26,"ask_help,ask_help,offer_apology",0.8,0.36,0.734,0.4269,0.481,True,approaches after care
271,23,Milo,26,"ask_help,ask_status,request_owned_object",0.57,0.658,0.51,0.5704,0.335,True,keeps distance
273,23,Juno,27,"misname_agent,ask_help,ask_permission",0.47,0.749,0.34,0.6908,0.229,True,keeps distance
275,23,Fay,26,"request_owned_object,move_owned_object,interrupt_task",0.51,0.658,0.62,0.5285,0.415,True,keeps distance
276,24,Nia,27,"move_owned_object,interrupt_task,ask_help",0.695,0.487,0.496,0.5158,0.361,True,continues task
278,24,Ivo,27,"offer_care,give_space,protect_object",0.96,0.166,0.884,0.18925,0.602,True,approaches after care
280,24,Ari,27,"ask_help,offer_apology,offer_care",0.85,0.32,0.77,0.41395,0.484,True,approaches after care
283,24,Milo,27,"ask_status,request_owned_object,move_owned_object",0.52,0.713,0.514,0.6404,0.319,True,keeps distance
284,24,Ivo,28,"give_space,protect_object,misname_agent",0.91,0.221,0.858,0.25925,0.586,True,approaches after care
285,24,Juno,28,"ask_help,ask_permission,request_owned_object",0.5,0.745,0.344,0.6796,0.232,True,keeps distance
287,24,Fay,27,"move_owned_object,interrupt_task,misname_agent",0.46,0.713,0.594,0.5985,0.399,True,keeps distance
288,25,Nia,28,"interrupt_task,ask_help,offer_apology",0.745,0.447,0.5,0.5039,0.401,True,continues task
289,25,Milo,28,"request_owned_object,move_owned_object,give_space",0.57,0.673,0.55,0.62605,0.359,True,keeps distance
290,25,Ivo,29,"protect_object,misname_agent,ask_help",0.925,0.217,0.862,0.2435,0.589,True,approaches after care
292,25,Ari,28,"offer_apology,offer_care,give_space",0.9,0.28,0.806,0.401,0.524,True,approaches after care
295,25,Milo,29,"move_owned_object,give_space,interrupt_task",0.52,0.728,0.524,0.69605,0.343,True,keeps distance
297,25,Juno,29,"ask_permission,request_owned_object,ask_permission",0.53,0.741,0.348,0.6684,0.235,True,keeps distance
299,25,Fay,28,"interrupt_task,misname_agent,ask_permission",0.49,0.709,0.598,0.58135,0.402,True,keeps distance
300,26,Nia,29,"ask_help,offer_apology,offer_care",0.795,0.407,0.536,0.492,0.404,True,continues task
302,26,Ivo,30,"misname_agent,ask_help,ask_status",0.94,0.213,0.866,0.22775,0.592,True,approaches after care
304,26,Ari,29,"offer_care,give_space,protect_object",0.95,0.24,0.842,0.38805,0.527,True,approaches after care
306,26,Nia,30,"offer_apology,offer_care,move_owned_object",0.745,0.462,0.54,0.562,0.388,True,continues task
307,26,Milo,30,"give_space,interrupt_task,misname_agent",0.47,0.783,0.498,0.76605,0.327,True,keeps distance
309,26,Juno,30,"request_owned_object,ask_permission,move_owned_object",0.48,0.796,0.352,0.7384,0.219,True,keeps distance
311,26,Fay,29,"misname_agent,ask_permission,request_owned_object",0.52,0.705,0.602,0.5642,0.405,True,keeps distance
312,27,Nia,31,"offer_care,move_owned_object,give_space",0.795,0.422,0.576,0.5501,0.428,True,continues task
314,27,Ivo,31,"ask_help,ask_status,request_owned_object",0.96,0.209,0.87,0.212,0.595,True,approaches after care
316,27,Ari,30,"give_space,protect_object,ask_help",0.96,0.236,0.846,0.3751,0.53,True,approaches after care
317,27,Fay,30,"ask_permission,request_owned_object,request_owned_object",0.55,0.701,0.606,0.54705,0.408,True,keeps distance
319,27,Milo,31,"interrupt_task,misname_agent,ask_permission",0.5,0.779,0.502,0.7517,0.33,True,keeps distance
321,27,Juno,31,"ask_permission,move_owned_object,interrupt_task",0.43,0.851,0.326,0.8084,0.203,True,keeps distance
323,27,Fay,31,"request_owned_object,request_owned_object,ask_permission",0.58,0.697,0.61,0.5299,0.411,True,keeps distance
324,28,Nia,32,"move_owned_object,give_space,protect_object",0.845,0.382,0.612,0.5382,0.431,True,continues task
326,28,Ivo,32,"ask_status,request_owned_object,move_owned_object",0.91,0.264,0.874,0.282,0.579,True,approaches after care
328,28,Ari,31,"protect_object,ask_help,ask_status",0.96,0.232,0.85,0.36215,0.533,True,approaches after care
331,28,Milo,32,"misname_agent,ask_permission,request_owned_object",0.53,0.775,0.506,0.73735,0.333,True,keeps distance
333,28,Juno,32,"move_owned_object,interrupt_task,request_owned_object",0.46,0.847,0.33,0.7972,0.206,True,keeps distance
334,28,Ari,32,"ask_help,ask_status,request_owned_object",0.96,0.228,0.854,0.3492,0.536,True,approaches after care
335,28,Fay,32,"request_owned_object,ask_permission,move_owned_object",0.53,0.752,0.614,0.5999,0.395,True,keeps distance
336,29,Nia,33,"give_space,protect_object,ask_help",0.86,0.378,0.616,0.5263,0.434,True,continues task
338,29,Ivo,33,"request_owned_object,move_owned_object,interrupt_task",0.86,0.319,0.848,0.352,0.563,True,approaches after care
340,29,Ari,33,"ask_status,request_owned_object,request_owned_object",0.96,0.224,0.858,0.33625,0.539,True,approaches after care
343,29,Milo,33,"ask_permission,request_owned_object,ask_permission",0.56,0.771,0.51,0.723,0.336,True,keeps distance
345,29,Juno,33,"interrupt_task,request_owned_object,ask_permission",0.49,0.843,0.334,0.786,0.209,True,keeps distance
347,29,Fay,33,"ask_permission,move_owned_object,interrupt_task",0.48,0.807,0.588,0.6699,0.379,True,keeps distance
348,30,Milo,34,"request_owned_object,ask_permission,request_owned_object",0.59,0.767,0.514,0.70865,0.339,True,keeps distance
350,30,Juno,34,"request_owned_object,ask_permission,ask_permission",0.52,0.839,0.338,0.7748,0.212,True,keeps distance
352,30,Fay,34,"move_owned_object,interrupt_task,interrupt_task",0.43,0.862,0.562,0.7399,0.363,True,keeps distance
355,30,Ivo,34,"move_owned_object,interrupt_task,interrupt_task",0.81,0.374,0.822,0.422,0.547,True,approaches after care
356,30,Juno,35,"ask_permission,ask_permission,ask_permission",0.55,0.835,0.342,0.7636,0.215,True,keeps distance
357,30,Ari,34,"request_owned_object,request_owned_object,ask_permission",0.96,0.22,0.862,0.3233,0.542,True,approaches after care
359,30,Nia,34,"protect_object,ask_help,ask_permission",0.89,0.374,0.62,0.5144,0.437,True,continues task
360,31,Milo,35,"ask_permission,request_owned_object,move_owned_object",0.54,0.822,0.518,0.77865,0.323,True,keeps distance
361,31,Ivo,35,"interrupt_task,interrupt_task,misname_agent",0.76,0.429,0.796,0.492,0.531,True,approaches after care
362,31,Juno,36,"ask_permission,ask_permission,request_owned_object",0.58,0.831,0.346,0.7524,0.218,True,keeps distance
364,31,Fay,35,"interrupt_task,interrupt_task,misname_agent",0.38,0.917,0.536,0.8099,0.347,True,keeps distance
367,31,Ivo,36,"interrupt_task,misname_agent,request_owned_object",0.79,0.425,0.8,0.47625,0.534,True,approaches after care
369,31,Ari,35,"request_owned_object,ask_permission,move_owned_object",0.91,0.275,0.866,0.3933,0.526,True,approaches after care
371,31,Nia,35,"ask_help,ask_permission,move_owned_object",0.84,0.429,0.624,0.5844,0.421,True,continues task
372,32,Milo,36,"request_owned_object,move_owned_object,interrupt_task",0.49,0.877,0.492,0.84865,0.307,True,keeps distance
374,32,Juno,37,"ask_permission,request_owned_object,ask_permission",0.61,0.827,0.35,0.7412,0.221,True,keeps distance
376,32,Fay,36,"interrupt_task,misname_agent,ask_permission",0.41,0.913,0.54,0.79275,0.35,True,keeps distance
378,32,Milo,37,"move_owned_object,interrupt_task,interrupt_task",0.44,0.92,0.466,0.9,0.291,True,keeps distance
379,32,Ivo,37,"misname_agent,request_owned_object,ask_permission",0.82,0.421,0.804,0.4605,0.537,True,approaches after care
381,32,Ari,36,"ask_permission,move_owned_object,interrupt_task",0.86,0.33,0.84,0.4633,0.51,True,approaches after care
383,32,Nia,36,"ask_permission,move_owned_object,interrupt_task",0.79,0.484,0.598,0.6544,0.405,True,continues task
384,33,Milo,38,"interrupt_task,interrupt_task,misname_agent",0.39,0.92,0.44,0.9,0.275,True,keeps distance
386,33,Juno,38,"request_owned_object,ask_permission,move_owned_object",0.56,0.882,0.354,0.8112,0.205,True,keeps distance
388,33,Fay,37,"misname_agent,ask_permission,request_owned_object",0.44,0.909,0.544,0.7756,0.353,True,keeps distance
389,33,Nia,37,"move_owned_object,interrupt_task,move_owned_object",0.74,0.539,0.602,0.7244,0.389,True,keeps distance
391,33,Ivo,38,"request_owned_object,ask_permission,move_owned_object",0.77,0.476,0.808,0.5305,0.521,True,approaches after care
393,33,Ari,37,"move_owned_object,interrupt_task,request_owned_object",0.89,0.326,0.844,0.45035,0.513,True,approaches after care
395,33,Nia,38,"interrupt_task,move_owned_object,ask_help",0.755,0.535,0.606,0.7125,0.392,True,keeps distance
396,34,Milo,39,"interrupt_task,misname_agent,ask_permission",0.42,0.916,0.444,0.88565,0.278,True,keeps distance
398,34,Juno,39,"ask_permission,move_owned_object,interrupt_task",0.51,0.92,0.328,0.8812,0.189,True,keeps distance
400,34,Fay,38,"ask_permission,request_owned_object,ask_permission",0.47,0.905,0.548,0.75845,0.356,True,keeps distance
403,34,Ivo,39,"ask_permission,move_owned_object,interrupt_task",0.72,0.531,0.782,0.6005,0.505,True,keeps distance
405,34,Ari,38,"interrupt_task,request_owned_object,ask_permission",0.92,0.322,0.848,0.4374,0.516,True,approaches after care
406,34,Fay,39,"request_owned_object,ask_permission,interrupt_task",0.42,0.92,0.522,0.82845,0.34,True,keeps distance
407,34,Nia,39,"move_owned_object,ask_help,offer_apology",0.805,0.495,0.61,0.7006,0.432,True,continues task
408,35,Milo,40,"misname_agent,ask_permission,request_owned_object",0.45,0.912,0.448,0.8713,0.281,True,keeps distance
410,35,Juno,40,"move_owned_object,interrupt_task,request_owned_object",0.54,0.916,0.332,0.87,0.192,True,keeps distance
411,35,Ari,39,"request_owned_object,ask_permission,request_owned_object",0.95,0.318,0.852,0.42445,0.519,True,approaches after care
412,35,Fay,40,"ask_permission,interrupt_task,move_owned_object",0.37,0.92,0.526,0.89845,0.324,True,keeps distance
415,35,Ivo,40,"move_owned_object,interrupt_task,ask_help",0.735,0.527,0.786,0.58475,0.508,True,keeps distance
417,35,Ari,40,"ask_permission,request_owned_object,move_owned_object",0.9,0.373,0.856,0.49445,0.503,True,approaches after care
419,35,Nia,40,"ask_help,offer_apology,offer_care",0.855,0.455,0.646,0.6887,0.435,True,continues task
420,36,Milo,41,"ask_permission,request_owned_object,ask_permission",0.48,0.908,0.452,0.85695,0.284,True,keeps distance
422,36,Juno,41,"interrupt_task,request_owned_object,ask_permission",0.57,0.912,0.336,0.8588,0.195,True,keeps distance
