tick_id,day,settlement_id,resident_id,avatar_action,routine_name,room_id,routine_phase_before,routine_phase_after,progress_before,progress_after,advanced_while_avatar_idle,routine_visible,private_workspace_sealed
18,2,riverbend,Ari,return_object,repair crossing,wet crossing,prepare,prepare,0.159,0.171,False,True,True
18,2,riverbend,Lio,return_object,trim lantern,kit alcove,work,work,0.189,0.201,False,True,True
18,2,riverbend,Cee,return_object,dry cords,plank hall,share,share,0.219,0.231,False,True,True
19,2,roofward,Fay,wait_respectfully,sort ledger,warm lane,prepare,prepare,0.182,0.217,True,True,True
19,2,roofward,Sera,wait_respectfully,clean lens,sun sill,work,work,0.212,0.247,True,True,True
19,2,roofward,Orr,wait_respectfully,shade stairs,glass stair,share,share,0.242,0.277,True,True,True
20,2,archive,Nia,inspect_inventory,sort tags,spool room,prepare,prepare,0.136,0.148,False,True,True
20,2,archive,Toma,inspect_inventory,thread spool,memory desk,work,work,0.166,0.178,False,True,True
20,2,archive,Vell,inspect_inventory,seal desk,stone stacks,share,share,0.196,0.208,False,True,True
21,2,signal,Milo,idle,check rope,lantern walk,prepare,prepare,0.182,0.217,True,True,True
21,2,signal,Ren,idle,fill lantern,signal perch,work,work,0.212,0.247,True,True,True
21,2,signal,Kesh,idle,watch lens,mast base,share,share,0.242,0.277,True,True,True
22,2,orchard,Ivo,ask_handoff,count seeds,mud row,prepare,prepare,0.159,0.171,False,True,True
22,2,orchard,Mara,ask_handoff,trade tokens,satchel shed,work,work,0.189,0.201,False,True,True
22,2,orchard,Pim,ask_handoff,dry rows,seed lane,share,share,0.219,0.231,False,True,True
23,2,repair_ring,Juno,refuse_handoff,cool bench,spark lane,prepare,prepare,0.136,0.148,False,True,True
23,2,repair_ring,Pax,refuse_handoff,clip wire,cool corner,work,work,0.166,0.178,False,True,True
23,2,repair_ring,Vale,refuse_handoff,test bell,wire bench,share,share,0.196,0.208,False,True,True
24,2,riverbend,Ari,idle,repair crossing,wet crossing,prepare,prepare,0.171,0.206,True,True,True
24,2,riverbend,Lio,idle,trim lantern,kit alcove,work,work,0.201,0.236,True,True,True
24,2,riverbend,Cee,idle,dry cords,plank hall,share,share,0.231,0.266,True,True,True
25,2,roofward,Fay,ask_handoff,sort ledger,warm lane,prepare,prepare,0.217,0.229,False,True,True
25,2,roofward,Sera,ask_handoff,clean lens,sun sill,work,work,0.247,0.259,False,True,True
25,2,roofward,Orr,ask_handoff,shade stairs,glass stair,share,share,0.277,0.289,False,True,True
26,2,archive,Nia,refuse_handoff,sort tags,spool room,prepare,prepare,0.148,0.16,False,True,True
26,2,archive,Toma,refuse_handoff,thread spool,memory desk,work,work,0.178,0.19,False,True,True
26,2,archive,Vell,refuse_handoff,seal desk,stone stacks,share,share,0.208,0.22,False,True,True
27,2,signal,Milo,return_object,check rope,lantern walk,prepare,prepare,0.217,0.229,False,True,True
27,2,signal,Ren,return_object,fill lantern,signal perch,work,work,0.247,0.259,False,True,True
27,2,signal,Kesh,return_object,watch lens,mast base,share,share,0.277,0.289,False,True,True
28,2,orchard,Ivo,wait_respectfully,count seeds,mud row,prepare,prepare,0.171,0.206,True,True,True
28,2,orchard,Mara,wait_respectfully,trade tokens,satchel shed,work,work,0.201,0.236,True,True,True
28,2,orchard,Pim,wait_respectfully,dry rows,seed lane,share,share,0.231,0.266,True,True,True
29,2,repair_ring,Juno,inspect_inventory,cool bench,spark lane,prepare,prepare,0.148,0.16,False,True,True
29,2,repair_ring,Pax,inspect_inventory,clip wire,cool corner,work,work,0.178,0.19,False,True,True
29,2,repair_ring,Vale,inspect_inventory,test bell,wire bench,share,share,0.208,0.22,False,True,True
30,2,riverbend,Ari,return_object,repair crossing,wet crossing,prepare,prepare,0.206,0.218,False,True,True
30,2,riverbend,Lio,return_object,trim lantern,kit alcove,work,work,0.236,0.248,False,True,True
30,2,riverbend,Cee,return_object,dry cords,plank hall,share,share,0.266,0.278,False,True,True
31,2,roofward,Fay,wait_respectfully,sort ledger,warm lane,prepare,prepare,0.229,0.264,True,True,True
31,2,roofward,Sera,wait_respectfully,clean lens,sun sill,work,work,0.259,0.294,True,True,True
31,2,roofward,Orr,wait_respectfully,shade stairs,glass stair,share,share,0.289,0.324,True,True,True
32,2,archive,Nia,inspect_inventory,sort tags,spool room,prepare,prepare,0.16,0.172,False,True,True
32,2,archive,Toma,inspect_inventory,thread spool,memory desk,work,work,0.19,0.202,False,True,True
32,2,archive,Vell,inspect_inventory,seal desk,stone stacks,share,share,0.22,0.232,False,True,True
33,2,signal,Milo,idle,check rope,lantern walk,prepare,prepare,0.229,0.264,True,True,True
33,2,signal,Ren,idle,fill lantern,signal perch,work,work,0.259,0.294,True,True,True
33,2,signal,Kesh,idle,watch lens,mast base,share,share,0.289,0.324,True,True,True
34,2,orchard,Ivo,ask_handoff,count seeds,mud row,prepare,prepare,0.206,0.218,False,True,True
34,2,orchard,Mara,ask_handoff,trade tokens,satchel shed,work,work,0.236,0.248,False,True,True
34,2,orchard,Pim,ask_handoff,dry rows,seed lane,share,share,0.266,0.278,False,True,True
35,2,repair_ring,Juno,refuse_handoff,cool bench,spark lane,prepare,prepare,0.16,0.172,False,True,True
35,2,repair_ring,Pax,refuse_handoff,clip wire,cool corner,work,work,0.19,0.202,False,True,True
35,2,repair_ring,Vale,refuse_handoff,test bell,wire bench,share,share,0.22,0.232,False,True,True
36,3,roofward,Fay,wait_respectfully,sort ledger,ledger loft,prepare,prepare,0.264,0.299,True,True,True
36,3,roofward,Sera,wait_respectfully,clean lens,arrival court,work,work,0.294,0.329,True,True,True
36,3,roofward,Orr,wait_respectfully,shade stairs,warm lane,share,share,0.324,0.359,True,True,True
37,3,archive,Nia,inspect_inventory,sort tags,ink niche,prepare,prepare,0.172,0.184,False,True,True
37,3,archive,Toma,inspect_inventory,thread spool,arrival court,work,work,0.202,0.214,False,True,True
37,3,archive,Vell,inspect_inventory,seal desk,spool room,share,share,0.232,0.244,False,True,True
38,3,signal,Milo,idle,check rope,lens room,prepare,prepare,0.264,0.299,True,True,True
38,3,signal,Ren,idle,fill lantern,arrival court,work,work,0.294,0.329,True,True,True
38,3,signal,Kesh,idle,watch lens,lantern walk,share,share,0.324,0.359,True,True,True
39,3,orchard,Ivo,ask_handoff,count seeds,market plank,prepare,prepare,0.218,0.23,False,True,True
39,3,orchard,Mara,ask_handoff,trade tokens,arrival court,work,work,0.248,0.26,False,True,True
39,3,orchard,Pim,ask_handoff,dry rows,mud row,share,share,0.278,0.29,False,True,True
40,3,repair_ring,Juno,refuse_handoff,cool bench,bell alcove,prepare,prepare,0.172,0.184,False,True,True
40,3,repair_ring,Pax,refuse_handoff,clip wire,arrival court,work,work,0.202,0.214,False,True,True
40,3,repair_ring,Vale,refuse_handoff,test bell,spark lane,share,share,0.232,0.244,False,True,True
41,3,riverbend,Ari,idle,repair crossing,dry ridge,prepare,prepare,0.218,0.253,True,True,True
41,3,riverbend,Lio,idle,trim lantern,arrival court,work,work,0.248,0.283,True,True,True
41,3,riverbend,Cee,idle,dry cords,wet crossing,share,share,0.278,0.313,True,True,True
42,3,roofward,Fay,ask_handoff,sort ledger,ledger loft,prepare,prepare,0.299,0.311,False,True,True
42,3,roofward,Sera,ask_handoff,clean lens,arrival court,work,work,0.329,0.341,False,True,True
42,3,roofward,Orr,ask_handoff,shade stairs,warm lane,share,share,0.359,0.371,False,True,True
43,3,archive,Nia,refuse_handoff,sort tags,ink niche,prepare,prepare,0.184,0.196,False,True,True
43,3,archive,Toma,refuse_handoff,thread spool,arrival court,work,work,0.214,0.226,False,True,True
43,3,archive,Vell,refuse_handoff,seal desk,spool room,share,share,0.244,0.256,False,True,True
44,3,signal,Milo,return_object,check rope,lens room,prepare,prepare,0.299,0.311,False,True,True
44,3,signal,Ren,return_object,fill lantern,arrival court,work,work,0.329,0.341,False,True,True
44,3,signal,Kesh,return_object,watch lens,lantern walk,share,share,0.359,0.371,False,True,True
45,3,orchard,Ivo,wait_respectfully,count seeds,market plank,prepare,prepare,0.23,0.265,True,True,True
45,3,orchard,Mara,wait_respectfully,trade tokens,arrival court,work,work,0.26,0.295,True,True,True
45,3,orchard,Pim,wait_respectfully,dry rows,mud row,share,share,0.29,0.325,True,True,True
46,3,repair_ring,Juno,inspect_inventory,cool bench,bell alcove,prepare,prepare,0.184,0.196,False,True,True
46,3,repair_ring,Pax,inspect_inventory,clip wire,arrival court,work,work,0.214,0.226,False,True,True
46,3,repair_ring,Vale,inspect_inventory,test bell,spark lane,share,share,0.244,0.256,False,True,True
47,3,riverbend,Ari,return_object,repair crossing,dry ridge,prepare,prepare,0.253,0.265,False,True,True
47,3,riverbend,Lio,return_object,trim lantern,arrival court,work,work,0.283,0.295,False,True,True
47,3,riverbend,Cee,return_object,dry cords,wet crossing,share,share,0.313,0.325,False,True,True
48,3,roofward,Fay,wait_respectfully,sort ledger,ledger loft,prepare,prepare,0.311,0.346,True,True,True
48,3,roofward,Sera,wait_respectfully,clean lens,arrival court,work,work,0.341,0.376,True,True,True
48,3,roofward,Orr,wait_respectfully,shade stairs,warm lane,share,share,0.371,0.406,True,True,True
49,3,archive,Nia,inspect_inventory,sort tags,ink niche,prepare,prepare,0.196,0.208,False,True,True
49,3,archive,Toma,inspect_inventory,thread spool,arrival court,work,work,0.226,0.238,False,True,True
49,3,archive,Vell,inspect_inventory,seal desk,spool room,share,share,0.256,0.268,False,True,True
50,3,signal,Milo,idle,check rope,lens room,prepare,prepare,0.311,0.346,True,True,True
50,3,signal,Ren,idle,fill lantern,arrival court,work,work,0.341,0.376,True,True,True
50,3,signal,Kesh,idle,watch lens,lantern walk,share,share,0.371,0.406,True,True,True
51,3,orchard,Ivo,ask_handoff,count seeds,market plank,prepare,prepare,0.265,0.277,False,True,True
51,3,orchard,Mara,ask_handoff,trade tokens,arrival court,work,work,0.295,0.307,False,True,True
51,3,orchard,Pim,ask_handoff,dry rows,mud row,share,share,0.325,0.337,False,True,True
52,3,repair_ring,Juno,refuse_handoff,cool bench,bell alcove,prepare,prepare,0.196,0.208,False,True,True
52,3,repair_ring,Pax,refuse_handoff,clip wire,arrival court,work,work,0.226,0.238,False,True,True
52,3,repair_ring,Vale,refuse_handoff,test bell,spark lane,share,share,0.256,0.268,False,True,True
53,3,riverbend,Ari,idle,repair crossing,dry ridge,prepare,prepare,0.265,0.3,True,True,True
53,3,riverbend,Lio,idle,trim lantern,arrival court,work,work,0.295,0.33,True,True,True
53,3,riverbend,Cee,idle,dry cords,wet crossing,share,share,0.325,0.36,True,True,True
54,4,archive,Nia,inspect_inventory,sort tags,memory desk,prepare,prepare,0.208,0.22,False,True,True
54,4,archive,Toma,inspect_inventory,thread spool,stone stacks,work,work,0.238,0.25,False,True,True
54,4,archive,Vell,inspect_inventory,seal desk,ink niche,share,share,0.268,0.28,False,True,True
55,4,signal,Milo,idle,check rope,signal perch,prepare,prepare,0.346,0.381,True,True,True
55,4,signal,Ren,idle,fill lantern,mast base,work,work,0.376,0.411,True,True,True
55,4,signal,Kesh,idle,watch lens,lens room,share,share,0.406,0.441,True,True,True
56,4,orchard,Ivo,ask_handoff,count seeds,satchel shed,prepare,prepare,0.277,0.289,False,True,True
56,4,orchard,Mara,ask_handoff,trade tokens,seed lane,work,work,0.307,0.319,False,True,True
56,4,orchard,Pim,ask_handoff,dry rows,market plank,share,share,0.337,0.349,False,True,True
57,4,repair_ring,Juno,refuse_handoff,cool bench,cool corner,prepare,prepare,0.208,0.22,False,True,True
57,4,repair_ring,Pax,refuse_handoff,clip wire,wire bench,work,work,0.238,0.25,False,True,True
57,4,repair_ring,Vale,refuse_handoff,test bell,bell alcove,share,share,0.268,0.28,False,True,True
58,4,riverbend,Ari,idle,repair crossing,kit alcove,prepare,prepare,0.3,0.335,True,True,True
58,4,riverbend,Lio,idle,trim lantern,plank hall,work,work,0.33,0.365,True,True,True
58,4,riverbend,Cee,idle,dry cords,dry ridge,share,share,0.36,0.395,True,True,True
59,4,roofward,Fay,ask_handoff,sort ledger,sun sill,prepare,prepare,0.346,0.358,False,True,True
59,4,roofward,Sera,ask_handoff,clean lens,glass stair,work,work,0.376,0.388,False,True,True
59,4,roofward,Orr,ask_handoff,shade stairs,ledger loft,share,share,0.406,0.418,False,True,True
60,4,archive,Nia,refuse_handoff,sort tags,memory desk,prepare,prepare,0.22,0.232,False,True,True
60,4,archive,Toma,refuse_handoff,thread spool,stone stacks,work,work,0.25,0.262,False,True,True
60,4,archive,Vell,refuse_handoff,seal desk,ink niche,share,share,0.28,0.292,False,True,True
61,4,signal,Milo,return_object,check rope,signal perch,prepare,prepare,0.381,0.393,False,True,True
61,4,signal,Ren,return_object,fill lantern,mast base,work,work,0.411,0.423,False,True,True
61,4,signal,Kesh,return_object,watch lens,lens room,share,share,0.441,0.453,False,True,True
62,4,orchard,Ivo,wait_respectfully,count seeds,satchel shed,prepare,prepare,0.289,0.324,True,True,True
62,4,orchard,Mara,wait_respectfully,trade tokens,seed lane,work,work,0.319,0.354,True,True,True
62,4,orchard,Pim,wait_respectfully,dry rows,market plank,share,share,0.349,0.384,True,True,True
63,4,repair_ring,Juno,inspect_inventory,cool bench,cool corner,prepare,prepare,0.22,0.232,False,True,True
63,4,repair_ring,Pax,inspect_inventory,clip wire,wire bench,work,work,0.25,0.262,False,True,True
63,4,repair_ring,Vale,inspect_inventory,test bell,bell alcove,share,share,0.28,0.292,False,True,True
64,4,riverbend,Ari,return_object,repair crossing,kit alcove,prepare,prepare,0.335,0.347,False,True,True
64,4,riverbend,Lio,return_object,trim lantern,plank hall,work,work,0.365,0.377,False,True,True
64,4,riverbend,Cee,return_object,dry cords,dry ridge,share,share,0.395,0.407,False,True,True
65,4,roofward,Fay,wait_respectfully,sort ledger,sun sill,prepare,prepare,0.358,0.393,True,True,True
65,4,roofward,Sera,wait_respectfully,clean lens,glass stair,work,work,0.388,0.423,True,True,True
65,4,roofward,Orr,wait_respectfully,shade stairs,ledger loft,share,share,0.418,0.453,True,True,True
66,4,archive,Nia,inspect_inventory,sort tags,memory desk,prepare,prepare,0.232,0.244,False,True,True
66,4,archive,Toma,inspect_inventory,thread spool,stone stacks,work,work,0.262,0.274,False,True,True
66,4,archive,Vell,inspect_inventory,seal desk,ink niche,share,share,0.292,0.304,False,True,True
67,4,signal,Milo,idle,check rope,signal perch,prepare,prepare,0.393,0.428,True,True,True
67,4,signal,Ren,idle,fill lantern,mast base,work,work,0.423,0.458,True,True,True
67,4,signal,Kesh,idle,watch lens,lens room,share,share,0.453,0.488,True,True,True
68,4,orchard,Ivo,ask_handoff,count seeds,satchel shed,prepare,prepare,0.324,0.336,False,True,True
68,4,orchard,Mara,ask_handoff,trade tokens,seed lane,work,work,0.354,0.366,False,True,True
68,4,orchard,Pim,ask_handoff,dry rows,market plank,share,share,0.384,0.396,False,True,True
69,4,repair_ring,Juno,refuse_handoff,cool bench,cool corner,prepare,prepare,0.232,0.244,False,True,True
69,4,repair_ring,Pax,refuse_handoff,clip wire,wire bench,work,work,0.262,0.274,False,True,True
69,4,repair_ring,Vale,refuse_handoff,test bell,bell alcove,share,share,0.292,0.304,False,True,True
70,4,riverbend,Ari,idle,repair crossing,kit alcove,prepare,prepare,0.347,0.382,True,True,True
70,4,riverbend,Lio,idle,trim lantern,plank hall,work,work,0.377,0.412,True,True,True
70,4,riverbend,Cee,idle,dry cords,dry ridge,share,share,0.407,0.442,True,True,True
71,4,roofward,Fay,ask_handoff,sort ledger,sun sill,prepare,prepare,0.393,0.405,False,True,True
71,4,roofward,Sera,ask_handoff,clean lens,glass stair,work,work,0.423,0.435,False,True,True
71,4,roofward,Orr,ask_handoff,shade stairs,ledger loft,share,share,0.453,0.465,False,True,True
72,5,signal,Milo,idle,check rope,arrival court,prepare,prepare,0.428,0.463,True,True,True
72,5,signal,Ren,idle,fill lantern,lantern walk,work,work,0.458,0.493,True,True,True
72,5,signal,Kesh,idle,watch lens,signal perch,share,share,0.488,0.523,True,True,True
73,5,orchard,Ivo,ask_handoff,count seeds,arrival court,prepare,prepare,0.336,0.348,False,True,True
73,5,orchard,Mara,ask_handoff,trade tokens,mud row,work,work,0.366,0.378,False,True,True
73,5,orchard,Pim,ask_handoff,dry rows,satchel shed,share,share,0.396,0.408,False,True,True
74,5,repair_ring,Juno,refuse_handoff,cool bench,arrival court,prepare,prepare,0.244,0.256,False,True,True
74,5,repair_ring,Pax,refuse_handoff,clip wire,spark lane,work,work,0.274,0.286,False,True,True
74,5,repair_ring,Vale,refuse_handoff,test bell,cool corner,share,share,0.304,0.316,False,True,True
75,5,riverbend,Ari,idle,repair crossing,arrival court,prepare,prepare,0.382,0.417,True,True,True
75,5,riverbend,Lio,idle,trim lantern,wet crossing,work,work,0.412,0.447,True,True,True
75,5,riverbend,Cee,idle,dry cords,kit alcove,share,share,0.442,0.477,True,True,True
76,5,roofward,Fay,ask_handoff,sort ledger,arrival court,prepare,prepare,0.405,0.417,False,True,True
76,5,roofward,Sera,ask_handoff,clean lens,warm lane,work,work,0.435,0.447,False,True,True
76,5,roofward,Orr,ask_handoff,shade stairs,sun sill,share,share,0.465,0.477,False,True,True
77,5,archive,Nia,refuse_handoff,sort tags,arrival court,prepare,prepare,0.244,0.256,False,True,True
77,5,archive,Toma,refuse_handoff,thread spool,spool room,work,work,0.274,0.286,False,True,True
77,5,archive,Vell,refuse_handoff,seal desk,memory desk,share,share,0.304,0.316,False,True,True
78,5,signal,Milo,return_object,check rope,arrival court,prepare,prepare,0.463,0.475,False,True,True
78,5,signal,Ren,return_object,fill lantern,lantern walk,work,work,0.493,0.505,False,True,True
78,5,signal,Kesh,return_object,watch lens,signal perch,share,share,0.523,0.535,False,True,True
79,5,orchard,Ivo,wait_respectfully,count seeds,arrival court,prepare,prepare,0.348,0.383,True,True,True
79,5,orchard,Mara,wait_respectfully,trade tokens,mud row,work,work,0.378,0.413,True,True,True
79,5,orchard,Pim,wait_respectfully,dry rows,satchel shed,share,share,0.408,0.443,True,True,True
80,5,repair_ring,Juno,inspect_inventory,cool bench,arrival court,prepare,prepare,0.256,0.268,False,True,True
80,5,repair_ring,Pax,inspect_inventory,clip wire,spark lane,work,work,0.286,0.298,False,True,True
80,5,repair_ring,Vale,inspect_inventory,test bell,cool corner,share,share,0.316,0.328,False,True,True
81,5,riverbend,Ari,return_object,repair crossing,arrival court,prepare,prepare,0.417,0.429,False,True,True
81,5,riverbend,Lio,return_object,trim lantern,wet crossing,work,work,0.447,0.459,False,True,True
81,5,riverbend,Cee,return_object,dry cords,kit alcove,share,share,0.477,0.489,False,True,True
82,5,roofward,Fay,wait_respectfully,sort ledger,arrival court,prepare,prepare,0.417,0.452,True,True,True
82,5,roofward,Sera,wait_respectfully,clean lens,warm lane,work,work,0.447,0.482,True,True,True
82,5,roofward,Orr,wait_respectfully,shade stairs,sun sill,share,share,0.477,0.512,True,True,True
83,5,archive,Nia,inspect_inventory,sort tags,arrival court,prepare,prepare,0.256,0.268,False,True,True
83,5,archive,Toma,inspect_inventory,thread spool,spool room,work,work,0.286,0.298,False,True,True
83,5,archive,Vell,inspect_inventory,seal desk,memory desk,share,share,0.316,0.328,False,True,True
84,5,signal,Milo,idle,check rope,arrival court,prepare,prepare,0.475,0.51,True,True,True
84,5,signal,Ren,idle,fill lantern,lantern walk,work,work,0.505,0.54,True,True,True
84,5,signal,Kesh,idle,watch lens,signal perch,share,share,0.535,0.57,True,True,True
85,5,orchard,Ivo,ask_handoff,count seeds,arrival court,prepare,prepare,0.383,0.395,False,True,True
85,5,orchard,Mara,ask_handoff,trade tokens,mud row,work,work,0.413,0.425,False,True,True
85,5,orchard,Pim,ask_handoff,dry rows,satchel shed,share,share,0.443,0.455,False,True,True
86,5,repair_ring,Juno,refuse_handoff,cool bench,arrival court,prepare,prepare,0.268,0.28,False,True,True
86,5,repair_ring,Pax,refuse_handoff,clip wire,spark lane,work,work,0.298,0.31,False,True,True
86,5,repair_ring,Vale,refuse_handoff,test bell,cool corner,share,share,0.328,0.34,False,True,True
87,5,riverbend,Ari,idle,repair crossing,arrival court,prepare,prepare,0.429,0.464,True,True,True
87,5,riverbend,Lio,idle,trim lantern,wet crossing,work,work,0.459,0.494,True,True,True
87,5,riverbend,Cee,idle,dry cords,kit alcove,share,share,0.489,0.524,True,True,True
88,5,roofward,Fay,ask_handoff,sort ledger,arrival court,prepare,prepare,0.452,0.464,False,True,True
88,5,roofward,Sera,ask_handoff,clean lens,warm lane,work,work,0.482,0.494,False,True,True
88,5,roofward,Orr,ask_handoff,shade stairs,sun sill,share,share,0.512,0.524,False,True,True
89,5,archive,Nia,refuse_handoff,sort tags,arrival court,prepare,prepare,0.268,0.28,False,True,True
89,5,archive,Toma,refuse_handoff,thread spool,spool room,work,work,0.298,0.31,False,True,True
89,5,archive,Vell,refuse_handoff,seal desk,memory desk,share,share,0.328,0.34,False,True,True
90,6,orchard,Ivo,ask_handoff,count seeds,seed lane,prepare,prepare,0.395,0.407,False,True,True
90,6,orchard,Mara,ask_handoff,trade tokens,market plank,work,work,0.425,0.437,False,True,True
90,6,orchard,Pim,ask_handoff,dry rows,arrival court,share,share,0.455,0.467,False,True,True
91,6,repair_ring,Juno,refuse_handoff,cool bench,wire bench,prepare,prepare,0.28,0.292,False,True,True
91,6,repair_ring,Pax,refuse_handoff,clip wire,bell alcove,work,work,0.31,0.322,False,True,True
91,6,repair_ring,Vale,refuse_handoff,test bell,arrival court,share,share,0.34,0.352,False,True,True
92,6,riverbend,Ari,idle,repair crossing,plank hall,prepare,prepare,0.464,0.499,True,True,True
92,6,riverbend,Lio,idle,trim lantern,dry ridge,work,work,0.494,0.529,True,True,True
92,6,riverbend,Cee,idle,dry cords,arrival court,share,share,0.524,0.559,True,True,True
93,6,roofward,Fay,ask_handoff,sort ledger,glass stair,prepare,prepare,0.464,0.476,False,True,True
93,6,roofward,Sera,ask_handoff,clean lens,ledger loft,work,work,0.494,0.506,False,True,True
93,6,roofward,Orr,ask_handoff,shade stairs,arrival court,share,share,0.524,0.536,False,True,True
94,6,archive,Nia,refuse_handoff,sort tags,stone stacks,prepare,prepare,0.28,0.292,False,True,True
94,6,archive,Toma,refuse_handoff,thread spool,ink niche,work,work,0.31,0.322,False,True,True
94,6,archive,Vell,refuse_handoff,seal desk,arrival court,share,share,0.34,0.352,False,True,True
95,6,signal,Milo,return_object,check rope,mast base,prepare,prepare,0.51,0.522,False,True,True
