tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_control
32,3,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
33,3,signal_orchard,direct route glow,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
34,3,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
35,3,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
36,3,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
37,3,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
38,3,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
39,3,signal_orchard,direct route glow,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
40,3,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
41,3,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
42,3,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
43,3,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
44,3,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
45,3,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
46,3,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
47,3,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
48,4,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
49,4,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
50,4,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
51,4,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
52,4,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
53,4,central_repair_ring,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
54,4,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
55,4,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
56,4,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
57,4,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
58,4,orchard_riverbend,highlighted detour path,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
59,4,central_repair_ring,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
60,4,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
61,4,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
62,4,archive_signal,direct route glow,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
63,4,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
64,5,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
65,5,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
66,5,riverbend_roofward,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
67,5,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
68,5,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
69,5,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
70,5,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
71,5,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
72,5,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
73,5,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
74,5,archive_signal,direct route glow,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
75,5,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
76,5,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
77,5,central_repair_ring,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
78,5,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
79,5,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
80,6,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
81,6,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
82,6,central_repair_ring,direct route glow,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
83,6,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
84,6,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
85,6,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
86,6,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
87,6,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
88,6,central_repair_ring,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
89,6,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
90,6,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
91,6,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
92,6,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
93,6,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
94,6,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
95,6,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
96,7,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
97,7,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
98,7,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
99,7,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
100,7,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,flower-node,True
101,7,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
102,7,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
103,7,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,control-pulse,True
104,7,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
105,7,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
106,7,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
107,7,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
108,7,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
109,7,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
110,7,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
111,7,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
112,8,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
113,8,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
114,8,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
115,8,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,control-pulse,True
116,8,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
117,8,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
118,8,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
119,8,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
120,8,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
121,8,archive_signal,direct route glow,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
122,8,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
123,8,orchard_riverbend,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
124,8,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,flower-node,True
125,8,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
126,8,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
127,8,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
128,9,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
129,9,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
130,9,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
131,9,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
132,9,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
133,9,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
134,9,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
135,9,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
136,9,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
137,9,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
138,9,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
139,9,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,control-pulse,True
140,9,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
141,9,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
142,9,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
143,9,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
144,10,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
145,10,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
146,10,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
147,10,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
148,10,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
149,10,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
150,10,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
151,10,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
152,10,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
153,10,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
154,10,central_repair_ring,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
155,10,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
156,10,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,flower-node,True
157,10,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
158,10,signal_orchard,highlighted detour path,caravan bell,oil and paper,mild route air,wet crossing,avatar carrying effort,control-pulse,True
159,10,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
160,11,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
161,11,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
162,11,roofward_archive,highlighted detour path,caravan bell,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
163,11,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
164,11,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,flower-node,True
165,11,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
166,11,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
167,11,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
168,11,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
169,11,archive_signal,highlighted detour path,control click,oil and paper,mild route air,dry boards,careful planning posture,control-pulse,True
170,11,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
171,11,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,control-pulse,True
172,11,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,flower-node,True
173,11,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
174,11,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,avatar carrying effort,control-pulse,True
175,11,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
176,12,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
177,12,central_repair_ring,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
178,12,riverbend_roofward,highlighted detour path,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
179,12,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
180,12,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
181,12,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
182,12,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
183,12,central_repair_ring,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
184,12,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
185,12,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
186,12,archive_signal,highlighted detour path,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
187,12,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,control-pulse,True
188,12,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
189,12,central_repair_ring,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
190,12,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
191,12,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
192,13,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
193,13,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
194,13,orchard_riverbend,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
195,13,central_repair_ring,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
196,13,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,flower-node,True
197,13,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
198,13,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
199,13,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
200,13,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
201,13,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
202,13,riverbend_roofward,highlighted detour path,control click,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
203,13,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
204,13,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
205,13,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
206,13,orchard_riverbend,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
207,13,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
208,14,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
209,14,roofward_archive,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
210,14,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
211,14,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,control-pulse,True
212,14,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
213,14,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
214,14,riverbend_roofward,highlighted detour path,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
215,14,roofward_archive,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
216,14,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
217,14,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
218,14,orchard_riverbend,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
219,14,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
220,14,riverbend_roofward,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,flower-node,True
221,14,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
222,14,archive_signal,highlighted detour path,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
223,14,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
224,15,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
225,15,central_repair_ring,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
226,15,riverbend_roofward,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
227,15,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
228,15,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
229,15,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
230,15,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
231,15,central_repair_ring,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
232,15,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
233,15,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
234,15,archive_signal,highlighted detour path,caravan bell,oil and paper,mild route air,dry boards,avatar carrying effort,control-pulse,True
235,15,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,control-pulse,True
236,15,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
237,15,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
238,15,riverbend_roofward,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
239,15,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
240,16,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
241,16,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
242,16,orchard_riverbend,direct route glow,caravan bell,wet rope,mild route air,wet crossing,avatar carrying effort,control-pulse,True
243,16,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,control-pulse,True
244,16,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
245,16,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
246,16,archive_signal,highlighted detour path,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
247,16,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,control-pulse,True
248,16,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
249,16,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
250,16,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
