tick,day,resident,schedule_before,schedule_after,debt_before,debt_after,trust_before,trust_after,memory_note,history_not_erased,non_magical_trust_repair
0,1,Tovan,sort herbs,carry water,0.56,0.558,0.357947,0.360947,enter linked to v60:tovan:water_carry:d001:s00; prehistory remains locked,True,True
58,4,Milo,recover focus,repair awning,0.265939,0.263939,0.658241,0.676241,talk linked to v60:milo:repair_promise:d004:s04; prehistory remains locked,True,True
59,4,Sera,repair awning,sort herbs,0.258717,0.236717,0.488544,0.506544,offer_help linked to v60:sera:missed_greeting:d004:s05; prehistory remains locked,True,True
60,4,Tovan,sort herbs,carry water,0.251555,0.229555,0.348878,0.366878,return_tool linked to v60:tovan:care_favor:d004:s06; prehistory remains locked,True,True
61,4,Nia,carry water,dry cloaks,0.244458,0.242458,0.345284,0.348284,inspect_memory linked to v60:nia:route_warning:d004:s07; prehistory remains locked,True,True
62,4,Ari,dry cloaks,map safe route,0.237433,0.235433,0.538998,0.541998,enter linked to v60:ari:tool_loan:d004:s08; prehistory remains locked,True,True
63,4,Fay,map safe route,rest after rain,0.230488,0.228488,0.670079,0.688079,talk linked to v60:fay:water_carry:d004:s09; prehistory remains locked,True,True
64,4,Milo,rest after rain,recover focus,0.223629,0.201629,0.657074,0.675074,offer_help linked to v60:milo:repair_promise:d004:s10; prehistory remains locked,True,True
65,4,Sera,recover focus,repair awning,0.216863,0.194863,0.510041,0.528041,return_tool linked to v60:sera:missed_greeting:d004:s11; prehistory remains locked,True,True
66,4,Tovan,repair awning,sort herbs,0.210195,0.208195,0.347368,0.350368,inspect_memory linked to v60:tovan:care_favor:d004:s12; prehistory remains locked,True,True
67,4,Nia,sort herbs,carry water,0.203633,0.201633,0.349985,0.352985,enter linked to v60:nia:route_warning:d004:s13; prehistory remains locked,True,True
68,4,Ari,carry water,dry cloaks,0.197183,0.195183,0.548194,0.566194,talk linked to v60:ari:tool_loan:d004:s14; prehistory remains locked,True,True
69,4,Fay,dry cloaks,map safe route,0.190851,0.168851,0.679587,0.697587,offer_help linked to v60:fay:water_carry:d004:s15; prehistory remains locked,True,True
70,4,Milo,map safe route,rest after rain,0.184644,0.162644,0.648446,0.666446,return_tool linked to v60:milo:repair_promise:d004:s16; prehistory remains locked,True,True
71,4,Sera,rest after rain,recover focus,0.178566,0.176566,0.508245,0.511245,inspect_memory linked to v60:sera:missed_greeting:d004:s17; prehistory remains locked,True,True
72,5,Tovan,repair awning,sort herbs,0.172624,0.170624,0.349693,0.367693,talk linked to v60:tovan:route_warning:d005:s00; prehistory remains locked,True,True
73,5,Nia,sort herbs,carry water,0.166824,0.144824,0.35125,0.36925,offer_help linked to v60:nia:tool_loan:d005:s01; prehistory remains locked,True,True
74,5,Ari,carry water,dry cloaks,0.16117,0.13917,0.551968,0.569968,return_tool linked to v60:ari:water_carry:d005:s02; prehistory remains locked,True,True
75,5,Fay,dry cloaks,map safe route,0.15567,0.15367,0.688731,0.691731,inspect_memory linked to v60:fay:repair_promise:d005:s03; prehistory remains locked,True,True
76,5,Milo,map safe route,rest after rain,0.150327,0.148327,0.651063,0.654063,enter linked to v60:milo:missed_greeting:d005:s04; prehistory remains locked,True,True
77,5,Sera,rest after rain,recover focus,0.145148,0.143148,0.486687,0.504687,talk linked to v60:sera:care_favor:d005:s05; prehistory remains locked,True,True
78,5,Tovan,recover focus,repair awning,0.140136,0.118136,0.344663,0.362663,offer_help linked to v60:tovan:route_warning:d005:s06; prehistory remains locked,True,True
79,5,Nia,repair awning,sort herbs,0.135298,0.113298,0.356932,0.374932,return_tool linked to v60:nia:tool_loan:d005:s07; prehistory remains locked,True,True
80,5,Ari,sort herbs,carry water,0.130636,0.128636,0.558412,0.561412,inspect_memory linked to v60:ari:water_carry:d005:s08; prehistory remains locked,True,True
81,5,Fay,carry water,dry cloaks,0.126157,0.124157,0.685821,0.688821,enter linked to v60:fay:repair_promise:d005:s09; prehistory remains locked,True,True
82,5,Milo,dry cloaks,map safe route,0.121864,0.119864,0.65692,0.67492,talk linked to v60:milo:missed_greeting:d005:s10; prehistory remains locked,True,True
83,5,Sera,map safe route,rest after rain,0.117762,0.095762,0.49658,0.51458,offer_help linked to v60:sera:care_favor:d005:s11; prehistory remains locked,True,True
84,5,Tovan,rest after rain,recover focus,0.113853,0.091853,0.352486,0.370486,return_tool linked to v60:tovan:route_warning:d005:s12; prehistory remains locked,True,True
85,5,Nia,recover focus,repair awning,0.110143,0.108143,0.349543,0.352543,inspect_memory linked to v60:nia:tool_loan:d005:s13; prehistory remains locked,True,True
86,5,Ari,repair awning,sort herbs,0.106635,0.104635,0.5485,0.5515,enter linked to v60:ari:water_carry:d005:s14; prehistory remains locked,True,True
87,5,Fay,sort herbs,carry water,0.103331,0.101331,0.689692,0.707692,talk linked to v60:fay:repair_promise:d005:s15; prehistory remains locked,True,True
88,5,Milo,carry water,dry cloaks,0.100236,0.078236,0.640494,0.658494,offer_help linked to v60:milo:missed_greeting:d005:s16; prehistory remains locked,True,True
89,5,Sera,dry cloaks,map safe route,0.097352,0.075352,0.494482,0.512482,return_tool linked to v60:sera:care_favor:d005:s17; prehistory remains locked,True,True
90,6,Tovan,rest after rain,recover focus,0.094682,0.092682,0.337262,0.340262,enter linked to v60:tovan:tool_loan:d006:s00; prehistory remains locked,True,True
91,6,Nia,recover focus,repair awning,0.092228,0.090228,0.372753,0.390753,talk linked to v60:nia:water_carry:d006:s01; prehistory remains locked,True,True
92,6,Ari,repair awning,sort herbs,0.089994,0.067994,0.572174,0.590174,offer_help linked to v60:ari:repair_promise:d006:s02; prehistory remains locked,True,True
93,6,Fay,sort herbs,carry water,0.08798,0.06598,0.680253,0.698253,return_tool linked to v60:fay:missed_greeting:d006:s03; prehistory remains locked,True,True
94,6,Milo,carry water,dry cloaks,0.086189,0.084189,0.64325,0.64625,inspect_memory linked to v60:milo:care_favor:d006:s04; prehistory remains locked,True,True
95,6,Sera,dry cloaks,map safe route,0.084623,0.082623,0.478123,0.481123,enter linked to v60:sera:route_warning:d006:s05; prehistory remains locked,True,True
96,6,Tovan,map safe route,rest after rain,0.083283,0.081283,0.336652,0.354652,talk linked to v60:tovan:tool_loan:d006:s06; prehistory remains locked,True,True
97,6,Nia,rest after rain,recover focus,0.082171,0.060171,0.369594,0.387594,offer_help linked to v60:nia:water_carry:d006:s07; prehistory remains locked,True,True
98,6,Ari,recover focus,repair awning,0.081287,0.059287,0.556779,0.574779,return_tool linked to v60:ari:repair_promise:d006:s08; prehistory remains locked,True,True
99,6,Fay,repair awning,sort herbs,0.080632,0.078632,0.676348,0.679348,inspect_memory linked to v60:fay:missed_greeting:d006:s09; prehistory remains locked,True,True
100,6,Milo,sort herbs,carry water,0.080208,0.078208,0.642713,0.645713,enter linked to v60:milo:care_favor:d006:s10; prehistory remains locked,True,True
101,6,Sera,carry water,dry cloaks,0.080013,0.078013,0.490927,0.508927,talk linked to v60:sera:route_warning:d006:s11; prehistory remains locked,True,True
102,6,Tovan,dry cloaks,map safe route,0.08005,0.05805,0.341209,0.359209,offer_help linked to v60:tovan:tool_loan:d006:s12; prehistory remains locked,True,True
103,6,Nia,map safe route,rest after rain,0.080317,0.058317,0.351967,0.369967,return_tool linked to v60:nia:water_carry:d006:s13; prehistory remains locked,True,True
104,6,Ari,rest after rain,recover focus,0.080814,0.078814,0.572373,0.575373,inspect_memory linked to v60:ari:repair_promise:d006:s14; prehistory remains locked,True,True
105,6,Fay,recover focus,repair awning,0.081542,0.079542,0.678827,0.681827,enter linked to v60:fay:missed_greeting:d006:s15; prehistory remains locked,True,True
106,6,Milo,repair awning,sort herbs,0.082498,0.080498,0.648079,0.666079,talk linked to v60:milo:care_favor:d006:s16; prehistory remains locked,True,True
107,6,Sera,sort herbs,carry water,0.083683,0.061683,0.479507,0.497507,offer_help linked to v60:sera:route_warning:d006:s17; prehistory remains locked,True,True
108,7,Tovan,dry cloaks,map safe route,0.085094,0.083094,0.349568,0.352568,inspect_memory linked to v60:tovan:water_carry:d007:s00; prehistory remains locked,True,True
109,7,Nia,map safe route,rest after rain,0.086732,0.084732,0.377546,0.380546,enter linked to v60:nia:repair_promise:d007:s01; prehistory remains locked,True,True
110,7,Ari,rest after rain,recover focus,0.088593,0.086593,0.583242,0.601242,talk linked to v60:ari:missed_greeting:d007:s02; prehistory remains locked,True,True
111,7,Fay,recover focus,repair awning,0.090677,0.068677,0.684785,0.702785,offer_help linked to v60:fay:care_favor:d007:s03; prehistory remains locked,True,True
112,7,Milo,repair awning,sort herbs,0.092982,0.070982,0.63189,0.64989,return_tool linked to v60:milo:route_warning:d007:s04; prehistory remains locked,True,True
113,7,Sera,sort herbs,carry water,0.095504,0.093504,0.478638,0.481638,inspect_memory linked to v60:sera:tool_loan:d007:s05; prehistory remains locked,True,True
114,7,Tovan,carry water,dry cloaks,0.098242,0.096242,0.348053,0.351053,enter linked to v60:tovan:water_carry:d007:s06; prehistory remains locked,True,True
115,7,Nia,dry cloaks,map safe route,0.101193,0.099193,0.363208,0.381208,talk linked to v60:nia:repair_promise:d007:s07; prehistory remains locked,True,True
116,7,Ari,map safe route,rest after rain,0.104355,0.082355,0.567347,0.585347,offer_help linked to v60:ari:missed_greeting:d007:s08; prehistory remains locked,True,True
117,7,Fay,rest after rain,recover focus,0.107724,0.085724,0.693716,0.711716,return_tool linked to v60:fay:care_favor:d007:s09; prehistory remains locked,True,True
118,7,Milo,recover focus,repair awning,0.111296,0.109296,0.632264,0.635264,inspect_memory linked to v60:milo:route_warning:d007:s10; prehistory remains locked,True,True
119,7,Sera,repair awning,sort herbs,0.11507,0.11307,0.464178,0.467178,enter linked to v60:sera:tool_loan:d007:s11; prehistory remains locked,True,True
120,7,Tovan,sort herbs,carry water,0.11904,0.11704,0.333987,0.351987,talk linked to v60:tovan:water_carry:d007:s12; prehistory remains locked,True,True
121,7,Nia,carry water,dry cloaks,0.123203,0.101203,0.377477,0.395477,offer_help linked to v60:nia:repair_promise:d007:s13; prehistory remains locked,True,True
122,7,Ari,dry cloaks,map safe route,0.127555,0.105555,0.575039,0.593039,return_tool linked to v60:ari:missed_greeting:d007:s14; prehistory remains locked,True,True
123,7,Fay,map safe route,rest after rain,0.132093,0.130093,0.691412,0.694412,inspect_memory linked to v60:fay:care_favor:d007:s15; prehistory remains locked,True,True
124,7,Milo,rest after rain,recover focus,0.136811,0.134811,0.627854,0.630854,enter linked to v60:milo:route_warning:d007:s16; prehistory remains locked,True,True
125,7,Sera,recover focus,repair awning,0.141705,0.139705,0.474119,0.492119,talk linked to v60:sera:tool_loan:d007:s17; prehistory remains locked,True,True
126,8,Tovan,sort herbs,carry water,0.14677,0.12477,0.346801,0.364801,return_tool linked to v60:tovan:repair_promise:d008:s00; prehistory remains locked,True,True
127,8,Nia,carry water,dry cloaks,0.152001,0.150001,0.372292,0.375292,inspect_memory linked to v60:nia:missed_greeting:d008:s01; prehistory remains locked,True,True
128,8,Ari,dry cloaks,map safe route,0.157395,0.155395,0.588908,0.591908,enter linked to v60:ari:care_favor:d008:s02; prehistory remains locked,True,True
129,8,Fay,map safe route,rest after rain,0.162944,0.160944,0.694349,0.712349,talk linked to v60:fay:route_warning:d008:s03; prehistory remains locked,True,True
130,8,Milo,rest after rain,recover focus,0.168644,0.146644,0.633746,0.651746,offer_help linked to v60:milo:tool_loan:d008:s04; prehistory remains locked,True,True
131,8,Sera,recover focus,repair awning,0.17449,0.15249,0.45408,0.47208,return_tool linked to v60:sera:water_carry:d008:s05; prehistory remains locked,True,True
132,8,Tovan,repair awning,sort herbs,0.180476,0.178476,0.328642,0.331642,inspect_memory linked to v60:tovan:repair_promise:d008:s06; prehistory remains locked,True,True
133,8,Nia,sort herbs,carry water,0.186595,0.184595,0.378484,0.381484,enter linked to v60:nia:missed_greeting:d008:s07; prehistory remains locked,True,True
134,8,Ari,carry water,dry cloaks,0.192843,0.190843,0.579055,0.597055,talk linked to v60:ari:care_favor:d008:s08; prehistory remains locked,True,True
135,8,Fay,dry cloaks,map safe route,0.199213,0.177213,0.69606,0.71406,offer_help linked to v60:fay:route_warning:d008:s09; prehistory remains locked,True,True
136,8,Milo,map safe route,rest after rain,0.205699,0.183699,0.63799,0.65599,return_tool linked to v60:milo:tool_loan:d008:s10; prehistory remains locked,True,True
137,8,Sera,rest after rain,recover focus,0.212295,0.210295,0.45249,0.45549,inspect_memory linked to v60:sera:water_carry:d008:s11; prehistory remains locked,True,True
138,8,Tovan,recover focus,repair awning,0.218995,0.216995,0.340304,0.343304,enter linked to v60:tovan:repair_promise:d008:s12; prehistory remains locked,True,True
139,8,Nia,repair awning,sort herbs,0.225791,0.223791,0.37668,0.39468,talk linked to v60:nia:missed_greeting:d008:s13; prehistory remains locked,True,True
140,8,Ari,sort herbs,carry water,0.232678,0.210678,0.582424,0.600424,offer_help linked to v60:ari:care_favor:d008:s14; prehistory remains locked,True,True
141,8,Fay,carry water,dry cloaks,0.239649,0.217649,0.694929,0.712929,return_tool linked to v60:fay:route_warning:d008:s15; prehistory remains locked,True,True
142,8,Milo,dry cloaks,map safe route,0.246697,0.244697,0.624135,0.627135,inspect_memory linked to v60:milo:tool_loan:d008:s16; prehistory remains locked,True,True
143,8,Sera,map safe route,rest after rain,0.253816,0.251816,0.462043,0.465043,enter linked to v60:sera:water_carry:d008:s17; prehistory remains locked,True,True
144,9,Tovan,recover focus,repair awning,0.260998,0.238998,0.334753,0.352753,offer_help linked to v60:tovan:missed_greeting:d009:s00; prehistory remains locked,True,True
145,9,Nia,repair awning,sort herbs,0.268237,0.246237,0.371995,0.389995,return_tool linked to v60:nia:care_favor:d009:s01; prehistory remains locked,True,True
146,9,Ari,sort herbs,carry water,0.275525,0.273525,0.588847,0.591847,inspect_memory linked to v60:ari:route_warning:d009:s02; prehistory remains locked,True,True
147,9,Fay,carry water,dry cloaks,0.282857,0.280857,0.690799,0.693799,enter linked to v60:fay:tool_loan:d009:s03; prehistory remains locked,True,True
148,9,Milo,dry cloaks,map safe route,0.290224,0.288224,0.617494,0.635494,talk linked to v60:milo:water_carry:d009:s04; prehistory remains locked,True,True
149,9,Sera,map safe route,rest after rain,0.297619,0.275619,0.464062,0.482062,offer_help linked to v60:sera:repair_promise:d009:s05; prehistory remains locked,True,True
150,9,Tovan,rest after rain,recover focus,0.305036,0.283036,0.34301,0.36101,return_tool linked to v60:tovan:missed_greeting:d009:s06; prehistory remains locked,True,True
151,9,Nia,recover focus,repair awning,0.312468,0.310468,0.383752,0.386752,inspect_memory linked to v60:nia:care_favor:d009:s07; prehistory remains locked,True,True
152,9,Ari,repair awning,sort herbs,0.319907,0.317907,0.601925,0.604925,enter linked to v60:ari:route_warning:d009:s08; prehistory remains locked,True,True
153,9,Fay,sort herbs,carry water,0.327345,0.325345,0.698362,0.716362,talk linked to v60:fay:tool_loan:d009:s09; prehistory remains locked,True,True
154,9,Milo,carry water,dry cloaks,0.334777,0.312777,0.622664,0.640664,offer_help linked to v60:milo:water_carry:d009:s10; prehistory remains locked,True,True
155,9,Sera,dry cloaks,map safe route,0.342195,0.320195,0.448148,0.466148,return_tool linked to v60:sera:repair_promise:d009:s11; prehistory remains locked,True,True
156,9,Tovan,map safe route,rest after rain,0.349591,0.347591,0.333622,0.336622,inspect_memory linked to v60:tovan:missed_greeting:d009:s12; prehistory remains locked,True,True
157,9,Nia,rest after rain,recover focus,0.356959,0.354959,0.384221,0.387221,enter linked to v60:nia:care_favor:d009:s13; prehistory remains locked,True,True
158,9,Ari,recover focus,repair awning,0.364291,0.362291,0.588282,0.606282,talk linked to v60:ari:route_warning:d009:s14; prehistory remains locked,True,True
159,9,Fay,repair awning,sort herbs,0.371581,0.349581,0.695559,0.713559,offer_help linked to v60:fay:tool_loan:d009:s15; prehistory remains locked,True,True
160,9,Milo,sort herbs,carry water,0.378821,0.356821,0.617506,0.635506,return_tool linked to v60:milo:water_carry:d009:s16; prehistory remains locked,True,True
161,9,Sera,carry water,dry cloaks,0.386005,0.384005,0.447894,0.450894,inspect_memory linked to v60:sera:repair_promise:d009:s17; prehistory remains locked,True,True
162,10,Tovan,map safe route,rest after rain,0.393125,0.391125,0.340145,0.358145,talk linked to v60:tovan:care_favor:d010:s00; prehistory remains locked,True,True
163,10,Nia,rest after rain,recover focus,0.400175,0.378175,0.39285,0.41085,offer_help linked to v60:nia:route_warning:d010:s01; prehistory remains locked,True,True
164,10,Ari,recover focus,repair awning,0.407148,0.385148,0.595005,0.613005,return_tool linked to v60:ari:tool_loan:d010:s02; prehistory remains locked,True,True
165,10,Fay,repair awning,sort herbs,0.414037,0.412037,0.689859,0.692859,inspect_memory linked to v60:fay:water_carry:d010:s03; prehistory remains locked,True,True
166,10,Milo,sort herbs,carry water,0.420836,0.418836,0.619673,0.622673,enter linked to v60:milo:repair_promise:d010:s04; prehistory remains locked,True,True
167,10,Sera,carry water,dry cloaks,0.427538,0.425538,0.453435,0.471435,talk linked to v60:sera:missed_greeting:d010:s05; prehistory remains locked,True,True
168,10,Tovan,dry cloaks,map safe route,0.434137,0.412137,0.336927,0.354927,offer_help linked to v60:tovan:care_favor:d010:s06; prehistory remains locked,True,True
169,10,Nia,map safe route,rest after rain,0.440626,0.418626,0.389488,0.407488,return_tool linked to v60:nia:route_warning:d010:s07; prehistory remains locked,True,True
170,10,Ari,rest after rain,recover focus,0.446999,0.444999,0.599967,0.602967,inspect_memory linked to v60:ari:tool_loan:d010:s08; prehistory remains locked,True,True
171,10,Fay,recover focus,repair awning,0.45325,0.45125,0.679996,0.682996,enter linked to v60:fay:water_carry:d010:s09; prehistory remains locked,True,True
172,10,Milo,repair awning,sort herbs,0.459372,0.457372,0.617337,0.635337,talk linked to v60:milo:repair_promise:d010:s10; prehistory remains locked,True,True
173,10,Sera,sort herbs,carry water,0.465361,0.443361,0.448901,0.466901,offer_help linked to v60:sera:missed_greeting:d010:s11; prehistory remains locked,True,True
174,10,Tovan,carry water,dry cloaks,0.471211,0.449211,0.335581,0.353581,return_tool linked to v60:tovan:care_favor:d010:s12; prehistory remains locked,True,True
175,10,Nia,dry cloaks,map safe route,0.476915,0.474915,0.396182,0.399182,inspect_memory linked to v60:nia:route_warning:d010:s13; prehistory remains locked,True,True
176,10,Ari,map safe route,rest after rain,0.482468,0.480468,0.598769,0.601769,enter linked to v60:ari:tool_loan:d010:s14; prehistory remains locked,True,True
177,10,Fay,rest after rain,recover focus,0.487865,0.485865,0.683003,0.701003,talk linked to v60:fay:water_carry:d010:s15; prehistory remains locked,True,True
178,10,Milo,recover focus,repair awning,0.493101,0.471101,0.614392,0.632392,offer_help linked to v60:milo:repair_promise:d010:s16; prehistory remains locked,True,True
179,10,Sera,repair awning,sort herbs,0.49817,0.47617,0.446434,0.464434,return_tool linked to v60:sera:missed_greeting:d010:s17; prehistory remains locked,True,True
