epoch_id,simulated_year,settlement_id,craft_domain,technology_stage,tool_name,apprentice_lineage_depth,material_source,failure_memory,practical_use,energy_budget,bounded_technology
34,30,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,3,steam water,year 15 gear washing failure changed training,supports steam tea,0.240824,True
35,35,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,3,rain clay,year 20 rain jar firing failure changed training,supports jar seals,0.2392,True
36,35,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,3,kelp fiber,year 20 salt cisterns failure changed training,supports salt tea,0.239741,True
37,35,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,3,ember fruit,year 20 seed calendars failure changed training,supports cool bowls,0.240282,True
38,35,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,3,rope reed,year 20 signal bells failure changed training,supports lichen soup,0.240824,True
39,35,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,3,steam water,year 20 gear washing failure changed training,supports steam tea,0.241365,True
40,40,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,3,rain clay,year 25 rain jar firing failure changed training,supports jar seals,0.239741,True
41,40,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,3,kelp fiber,year 25 salt cisterns failure changed training,supports salt tea,0.240282,True
42,40,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,3,ember fruit,year 25 seed calendars failure changed training,supports cool bowls,0.240824,True
43,40,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,3,rope reed,year 25 signal bells failure changed training,supports lichen soup,0.241365,True
44,40,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,3,steam water,year 25 gear washing failure changed training,supports steam tea,0.241906,True
45,45,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,3,rain clay,year 30 rain jar firing failure changed training,supports jar seals,0.240282,True
46,45,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,3,kelp fiber,year 30 salt cisterns failure changed training,supports salt tea,0.240824,True
47,45,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,3,ember fruit,year 30 seed calendars failure changed training,supports cool bowls,0.241365,True
48,45,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,3,rope reed,year 30 signal bells failure changed training,supports lichen soup,0.241906,True
49,45,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,3,steam water,year 30 gear washing failure changed training,supports steam tea,0.242447,True
50,50,moss_ward,path lanterns,1,path lanterns stage-1 root starch tool,4,root starch,year 35 path lanterns failure changed training,supports dry cloaks,0.240824,True
51,50,glass_harbor,lamp optics,1,lamp optics stage-1 salt reed tool,4,salt reed,year 35 lamp optics failure changed training,supports lantern lenses,0.241365,True
52,50,cinder_garden,shade rigs,1,shade rigs stage-1 shade wood tool,4,shade wood,year 35 shade rigs failure changed training,supports seed meal,0.241906,True
53,50,lichen_bridge,bridge ledgers,1,bridge ledgers stage-1 signal stone tool,4,signal stone,year 35 bridge ledgers failure changed training,supports rope kits,0.242447,True
54,50,orchid_engine,valve tools,1,valve tools stage-1 orchid oil tool,4,orchid oil,year 35 valve tools failure changed training,supports valve keys,0.242988,True
55,55,moss_ward,path lanterns,1,path lanterns stage-1 root starch tool,4,root starch,year 40 path lanterns failure changed training,supports dry cloaks,0.241365,True
56,55,glass_harbor,lamp optics,1,lamp optics stage-1 salt reed tool,4,salt reed,year 40 lamp optics failure changed training,supports lantern lenses,0.241906,True
57,55,cinder_garden,shade rigs,1,shade rigs stage-1 shade wood tool,4,shade wood,year 40 shade rigs failure changed training,supports seed meal,0.242447,True
58,55,lichen_bridge,bridge ledgers,1,bridge ledgers stage-1 signal stone tool,4,signal stone,year 40 bridge ledgers failure changed training,supports rope kits,0.242988,True
59,55,orchid_engine,valve tools,1,valve tools stage-1 orchid oil tool,4,orchid oil,year 40 valve tools failure changed training,supports valve keys,0.243529,True
60,60,moss_ward,path lanterns,1,path lanterns stage-1 root starch tool,4,root starch,year 45 path lanterns failure changed training,supports dry cloaks,0.241906,True
61,60,glass_harbor,lamp optics,1,lamp optics stage-1 salt reed tool,4,salt reed,year 45 lamp optics failure changed training,supports lantern lenses,0.242447,True
62,60,cinder_garden,shade rigs,1,shade rigs stage-1 shade wood tool,4,shade wood,year 45 shade rigs failure changed training,supports seed meal,0.242988,True
63,60,lichen_bridge,bridge ledgers,1,bridge ledgers stage-1 signal stone tool,4,signal stone,year 45 bridge ledgers failure changed training,supports rope kits,0.243529,True
64,60,orchid_engine,valve tools,1,valve tools stage-1 orchid oil tool,4,orchid oil,year 45 valve tools failure changed training,supports valve keys,0.244071,True
65,65,moss_ward,path lanterns,1,path lanterns stage-1 root starch tool,4,root starch,year 50 path lanterns failure changed training,supports dry cloaks,0.242447,True
66,65,glass_harbor,lamp optics,1,lamp optics stage-1 salt reed tool,4,salt reed,year 50 lamp optics failure changed training,supports lantern lenses,0.242988,True
67,65,cinder_garden,shade rigs,1,shade rigs stage-1 shade wood tool,4,shade wood,year 50 shade rigs failure changed training,supports seed meal,0.243529,True
68,65,lichen_bridge,bridge ledgers,1,bridge ledgers stage-1 signal stone tool,4,signal stone,year 50 bridge ledgers failure changed training,supports rope kits,0.244071,True
69,65,orchid_engine,valve tools,1,valve tools stage-1 orchid oil tool,4,orchid oil,year 50 valve tools failure changed training,supports valve keys,0.244612,True
70,70,moss_ward,path lanterns,1,path lanterns stage-1 root starch tool,4,root starch,year 55 path lanterns failure changed training,supports dry cloaks,0.242988,True
71,70,glass_harbor,lamp optics,1,lamp optics stage-1 salt reed tool,4,salt reed,year 55 lamp optics failure changed training,supports lantern lenses,0.243529,True
72,70,cinder_garden,shade rigs,1,shade rigs stage-1 shade wood tool,4,shade wood,year 55 shade rigs failure changed training,supports seed meal,0.244071,True
73,70,lichen_bridge,bridge ledgers,1,bridge ledgers stage-1 signal stone tool,4,signal stone,year 55 bridge ledgers failure changed training,supports rope kits,0.244612,True
74,70,orchid_engine,valve tools,1,valve tools stage-1 orchid oil tool,4,orchid oil,year 55 valve tools failure changed training,supports valve keys,0.245153,True
75,75,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,5,moss fiber,year 60 cloak weaving failure changed training,supports root cakes,0.243529,True
76,75,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,5,lamp oil,year 60 net knots failure changed training,supports kelp cord,0.244071,True
77,75,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,5,cool stone,year 60 ash ceramics failure changed training,supports shade poles,0.244612,True
78,75,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,5,lichen paste,year 60 rope trusses failure changed training,supports signal bells,0.245153,True
79,75,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,5,valve ore,year 60 orchid lamps failure changed training,supports orchid lamps,0.245694,True
80,80,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,5,moss fiber,year 65 cloak weaving failure changed training,supports root cakes,0.244071,True
81,80,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,5,lamp oil,year 65 net knots failure changed training,supports kelp cord,0.244612,True
82,80,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,5,cool stone,year 65 ash ceramics failure changed training,supports shade poles,0.245153,True
83,80,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,5,lichen paste,year 65 rope trusses failure changed training,supports signal bells,0.245694,True
84,80,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,5,valve ore,year 65 orchid lamps failure changed training,supports orchid lamps,0.246235,True
85,85,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,5,moss fiber,year 70 cloak weaving failure changed training,supports root cakes,0.244612,True
86,85,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,5,lamp oil,year 70 net knots failure changed training,supports kelp cord,0.245153,True
87,85,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,5,cool stone,year 70 ash ceramics failure changed training,supports shade poles,0.245694,True
88,85,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,5,lichen paste,year 70 rope trusses failure changed training,supports signal bells,0.246235,True
89,85,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,5,valve ore,year 70 orchid lamps failure changed training,supports orchid lamps,0.246776,True
90,90,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,5,moss fiber,year 75 cloak weaving failure changed training,supports root cakes,0.245153,True
91,90,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,5,lamp oil,year 75 net knots failure changed training,supports kelp cord,0.245694,True
92,90,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,5,cool stone,year 75 ash ceramics failure changed training,supports shade poles,0.246235,True
93,90,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,5,lichen paste,year 75 rope trusses failure changed training,supports signal bells,0.246776,True
94,90,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,5,valve ore,year 75 orchid lamps failure changed training,supports orchid lamps,0.247318,True
95,95,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,5,moss fiber,year 80 cloak weaving failure changed training,supports root cakes,0.245694,True
96,95,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,5,lamp oil,year 80 net knots failure changed training,supports kelp cord,0.246235,True
97,95,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,5,cool stone,year 80 ash ceramics failure changed training,supports shade poles,0.246776,True
98,95,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,5,lichen paste,year 80 rope trusses failure changed training,supports signal bells,0.247318,True
99,95,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,5,valve ore,year 80 orchid lamps failure changed training,supports orchid lamps,0.247859,True
100,100,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,6,rain clay,year 85 rain jar firing failure changed training,supports jar seals,0.246235,True
101,100,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,6,kelp fiber,year 85 salt cisterns failure changed training,supports salt tea,0.246776,True
102,100,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,6,ember fruit,year 85 seed calendars failure changed training,supports cool bowls,0.247318,True
103,100,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,6,rope reed,year 85 signal bells failure changed training,supports lichen soup,0.247859,True
104,100,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,6,steam water,year 85 gear washing failure changed training,supports steam tea,0.2392,True
105,105,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,6,rain clay,year 90 rain jar firing failure changed training,supports jar seals,0.246776,True
106,105,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,6,kelp fiber,year 90 salt cisterns failure changed training,supports salt tea,0.247318,True
107,105,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,6,ember fruit,year 90 seed calendars failure changed training,supports cool bowls,0.247859,True
108,105,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,6,rope reed,year 90 signal bells failure changed training,supports lichen soup,0.2392,True
109,105,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,6,steam water,year 90 gear washing failure changed training,supports steam tea,0.239741,True
110,110,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,6,rain clay,year 95 rain jar firing failure changed training,supports jar seals,0.247318,True
111,110,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,6,kelp fiber,year 95 salt cisterns failure changed training,supports salt tea,0.247859,True
112,110,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,6,ember fruit,year 95 seed calendars failure changed training,supports cool bowls,0.2392,True
113,110,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,6,rope reed,year 95 signal bells failure changed training,supports lichen soup,0.239741,True
114,110,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,6,steam water,year 95 gear washing failure changed training,supports steam tea,0.240282,True
115,115,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,6,rain clay,year 100 rain jar firing failure changed training,supports jar seals,0.247859,True
116,115,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,6,kelp fiber,year 100 salt cisterns failure changed training,supports salt tea,0.2392,True
117,115,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,6,ember fruit,year 100 seed calendars failure changed training,supports cool bowls,0.239741,True
118,115,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,6,rope reed,year 100 signal bells failure changed training,supports lichen soup,0.240282,True
119,115,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,6,steam water,year 100 gear washing failure changed training,supports steam tea,0.240824,True
120,120,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,6,rain clay,year 105 rain jar firing failure changed training,supports jar seals,0.2392,True
121,120,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,6,kelp fiber,year 105 salt cisterns failure changed training,supports salt tea,0.239741,True
122,120,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,6,ember fruit,year 105 seed calendars failure changed training,supports cool bowls,0.240282,True
123,120,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,6,rope reed,year 105 signal bells failure changed training,supports lichen soup,0.240824,True
124,120,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,6,steam water,year 105 gear washing failure changed training,supports steam tea,0.241365,True
125,125,moss_ward,path lanterns,2,path lanterns stage-2 root starch tool,7,root starch,year 110 path lanterns failure changed training,supports dry cloaks,0.251741,True
126,125,glass_harbor,lamp optics,2,lamp optics stage-2 salt reed tool,7,salt reed,year 110 lamp optics failure changed training,supports lantern lenses,0.252282,True
127,125,cinder_garden,shade rigs,2,shade rigs stage-2 shade wood tool,7,shade wood,year 110 shade rigs failure changed training,supports seed meal,0.252824,True
128,125,lichen_bridge,bridge ledgers,2,bridge ledgers stage-2 signal stone tool,7,signal stone,year 110 bridge ledgers failure changed training,supports rope kits,0.253365,True
129,125,orchid_engine,valve tools,2,valve tools stage-2 orchid oil tool,7,orchid oil,year 110 valve tools failure changed training,supports valve keys,0.253906,True
130,130,moss_ward,path lanterns,2,path lanterns stage-2 root starch tool,7,root starch,year 115 path lanterns failure changed training,supports dry cloaks,0.252282,True
131,130,glass_harbor,lamp optics,2,lamp optics stage-2 salt reed tool,7,salt reed,year 115 lamp optics failure changed training,supports lantern lenses,0.252824,True
132,130,cinder_garden,shade rigs,2,shade rigs stage-2 shade wood tool,7,shade wood,year 115 shade rigs failure changed training,supports seed meal,0.253365,True
133,130,lichen_bridge,bridge ledgers,2,bridge ledgers stage-2 signal stone tool,7,signal stone,year 115 bridge ledgers failure changed training,supports rope kits,0.253906,True
134,130,orchid_engine,valve tools,2,valve tools stage-2 orchid oil tool,7,orchid oil,year 115 valve tools failure changed training,supports valve keys,0.254447,True
135,135,moss_ward,path lanterns,2,path lanterns stage-2 root starch tool,7,root starch,year 120 path lanterns failure changed training,supports dry cloaks,0.252824,True
136,135,glass_harbor,lamp optics,2,lamp optics stage-2 salt reed tool,7,salt reed,year 120 lamp optics failure changed training,supports lantern lenses,0.253365,True
137,135,cinder_garden,shade rigs,2,shade rigs stage-2 shade wood tool,7,shade wood,year 120 shade rigs failure changed training,supports seed meal,0.253906,True
138,135,lichen_bridge,bridge ledgers,2,bridge ledgers stage-2 signal stone tool,7,signal stone,year 120 bridge ledgers failure changed training,supports rope kits,0.254447,True
139,135,orchid_engine,valve tools,2,valve tools stage-2 orchid oil tool,7,orchid oil,year 120 valve tools failure changed training,supports valve keys,0.254988,True
140,140,moss_ward,path lanterns,2,path lanterns stage-2 root starch tool,7,root starch,year 125 path lanterns failure changed training,supports dry cloaks,0.253365,True
141,140,glass_harbor,lamp optics,2,lamp optics stage-2 salt reed tool,7,salt reed,year 125 lamp optics failure changed training,supports lantern lenses,0.253906,True
142,140,cinder_garden,shade rigs,2,shade rigs stage-2 shade wood tool,7,shade wood,year 125 shade rigs failure changed training,supports seed meal,0.254447,True
143,140,lichen_bridge,bridge ledgers,2,bridge ledgers stage-2 signal stone tool,7,signal stone,year 125 bridge ledgers failure changed training,supports rope kits,0.254988,True
144,140,orchid_engine,valve tools,2,valve tools stage-2 orchid oil tool,7,orchid oil,year 125 valve tools failure changed training,supports valve keys,0.255529,True
145,145,moss_ward,path lanterns,2,path lanterns stage-2 root starch tool,7,root starch,year 130 path lanterns failure changed training,supports dry cloaks,0.253906,True
146,145,glass_harbor,lamp optics,2,lamp optics stage-2 salt reed tool,7,salt reed,year 130 lamp optics failure changed training,supports lantern lenses,0.254447,True
147,145,cinder_garden,shade rigs,2,shade rigs stage-2 shade wood tool,7,shade wood,year 130 shade rigs failure changed training,supports seed meal,0.254988,True
148,145,lichen_bridge,bridge ledgers,2,bridge ledgers stage-2 signal stone tool,7,signal stone,year 130 bridge ledgers failure changed training,supports rope kits,0.255529,True
149,145,orchid_engine,valve tools,2,valve tools stage-2 orchid oil tool,7,orchid oil,year 130 valve tools failure changed training,supports valve keys,0.256071,True
150,150,moss_ward,cloak weaving,2,cloak weaving stage-2 moss fiber tool,8,moss fiber,year 135 cloak weaving failure changed training,supports root cakes,0.254447,True
151,150,glass_harbor,net knots,2,net knots stage-2 lamp oil tool,8,lamp oil,year 135 net knots failure changed training,supports kelp cord,0.254988,True
152,150,cinder_garden,ash ceramics,2,ash ceramics stage-2 cool stone tool,8,cool stone,year 135 ash ceramics failure changed training,supports shade poles,0.255529,True
153,150,lichen_bridge,rope trusses,2,rope trusses stage-2 lichen paste tool,8,lichen paste,year 135 rope trusses failure changed training,supports signal bells,0.256071,True
154,150,orchid_engine,orchid lamps,2,orchid lamps stage-2 valve ore tool,8,valve ore,year 135 orchid lamps failure changed training,supports orchid lamps,0.256612,True
155,155,moss_ward,cloak weaving,2,cloak weaving stage-2 moss fiber tool,8,moss fiber,year 140 cloak weaving failure changed training,supports root cakes,0.254988,True
156,155,glass_harbor,net knots,2,net knots stage-2 lamp oil tool,8,lamp oil,year 140 net knots failure changed training,supports kelp cord,0.255529,True
157,155,cinder_garden,ash ceramics,2,ash ceramics stage-2 cool stone tool,8,cool stone,year 140 ash ceramics failure changed training,supports shade poles,0.256071,True
158,155,lichen_bridge,rope trusses,2,rope trusses stage-2 lichen paste tool,8,lichen paste,year 140 rope trusses failure changed training,supports signal bells,0.256612,True
159,155,orchid_engine,orchid lamps,2,orchid lamps stage-2 valve ore tool,8,valve ore,year 140 orchid lamps failure changed training,supports orchid lamps,0.257153,True
160,160,moss_ward,cloak weaving,2,cloak weaving stage-2 moss fiber tool,8,moss fiber,year 145 cloak weaving failure changed training,supports root cakes,0.255529,True
161,160,glass_harbor,net knots,2,net knots stage-2 lamp oil tool,8,lamp oil,year 145 net knots failure changed training,supports kelp cord,0.256071,True
162,160,cinder_garden,ash ceramics,2,ash ceramics stage-2 cool stone tool,8,cool stone,year 145 ash ceramics failure changed training,supports shade poles,0.256612,True
163,160,lichen_bridge,rope trusses,2,rope trusses stage-2 lichen paste tool,8,lichen paste,year 145 rope trusses failure changed training,supports signal bells,0.257153,True
164,160,orchid_engine,orchid lamps,2,orchid lamps stage-2 valve ore tool,8,valve ore,year 145 orchid lamps failure changed training,supports orchid lamps,0.257694,True
165,165,moss_ward,cloak weaving,2,cloak weaving stage-2 moss fiber tool,8,moss fiber,year 150 cloak weaving failure changed training,supports root cakes,0.256071,True
166,165,glass_harbor,net knots,2,net knots stage-2 lamp oil tool,8,lamp oil,year 150 net knots failure changed training,supports kelp cord,0.256612,True
167,165,cinder_garden,ash ceramics,2,ash ceramics stage-2 cool stone tool,8,cool stone,year 150 ash ceramics failure changed training,supports shade poles,0.257153,True
168,165,lichen_bridge,rope trusses,2,rope trusses stage-2 lichen paste tool,8,lichen paste,year 150 rope trusses failure changed training,supports signal bells,0.257694,True
169,165,orchid_engine,orchid lamps,2,orchid lamps stage-2 valve ore tool,8,valve ore,year 150 orchid lamps failure changed training,supports orchid lamps,0.258235,True
170,170,moss_ward,cloak weaving,2,cloak weaving stage-2 moss fiber tool,8,moss fiber,year 155 cloak weaving failure changed training,supports root cakes,0.256612,True
171,170,glass_harbor,net knots,2,net knots stage-2 lamp oil tool,8,lamp oil,year 155 net knots failure changed training,supports kelp cord,0.257153,True
172,170,cinder_garden,ash ceramics,2,ash ceramics stage-2 cool stone tool,8,cool stone,year 155 ash ceramics failure changed training,supports shade poles,0.257694,True
173,170,lichen_bridge,rope trusses,2,rope trusses stage-2 lichen paste tool,8,lichen paste,year 155 rope trusses failure changed training,supports signal bells,0.258235,True
174,170,orchid_engine,orchid lamps,2,orchid lamps stage-2 valve ore tool,8,valve ore,year 155 orchid lamps failure changed training,supports orchid lamps,0.258776,True
175,175,moss_ward,rain jar firing,2,rain jar firing stage-2 rain clay tool,9,rain clay,year 160 rain jar firing failure changed training,supports jar seals,0.259153,True
176,175,glass_harbor,salt cisterns,2,salt cisterns stage-2 kelp fiber tool,9,kelp fiber,year 160 salt cisterns failure changed training,supports salt tea,0.259694,True
177,175,cinder_garden,seed calendars,2,seed calendars stage-2 ember fruit tool,9,ember fruit,year 160 seed calendars failure changed training,supports cool bowls,0.260235,True
178,175,lichen_bridge,signal bells,2,signal bells stage-2 rope reed tool,9,rope reed,year 160 signal bells failure changed training,supports lichen soup,0.260776,True
179,175,orchid_engine,gear washing,2,gear washing stage-2 steam water tool,9,steam water,year 160 gear washing failure changed training,supports steam tea,0.261318,True
180,180,moss_ward,rain jar firing,2,rain jar firing stage-2 rain clay tool,9,rain clay,year 165 rain jar firing failure changed training,supports jar seals,0.259694,True
181,180,glass_harbor,salt cisterns,2,salt cisterns stage-2 kelp fiber tool,9,kelp fiber,year 165 salt cisterns failure changed training,supports salt tea,0.260235,True
182,180,cinder_garden,seed calendars,2,seed calendars stage-2 ember fruit tool,9,ember fruit,year 165 seed calendars failure changed training,supports cool bowls,0.260776,True
183,180,lichen_bridge,signal bells,2,signal bells stage-2 rope reed tool,9,rope reed,year 165 signal bells failure changed training,supports lichen soup,0.261318,True
184,180,orchid_engine,gear washing,2,gear washing stage-2 steam water tool,9,steam water,year 165 gear washing failure changed training,supports steam tea,0.261859,True
185,185,moss_ward,rain jar firing,2,rain jar firing stage-2 rain clay tool,9,rain clay,year 170 rain jar firing failure changed training,supports jar seals,0.260235,True
186,185,glass_harbor,salt cisterns,2,salt cisterns stage-2 kelp fiber tool,9,kelp fiber,year 170 salt cisterns failure changed training,supports salt tea,0.260776,True
