mutation_id,choice_id,simulated_day,lineage,agent,selected_branch_label,schedule_state_after,access_level_after,trust_after,boundary_pressure_after,welfare_note_after,agent_followup_due_day,local_storage_key,stored_state_json,mutation_hash
11,11,43,Marketline,Melo,limited_access,limited public access accepted; delay=10,0.4882,0.648,0.2582,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4882, ""agent"": ""Melo"", ""boundary"": 0.2582, ""branch"": ""limited_access"", ""choice_id"": 11, ""followup_due_day"": 3, ""lineage"": ""Marketline"", ""reentry_id"": 1, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.648}",8195626ece8fb68d
12,12,43,Marketline,Melo,repair_first_access,repair before access; delay=18,0.4712,0.664,0.2482,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4712, ""agent"": ""Melo"", ""boundary"": 0.2482, ""branch"": ""repair_first_access"", ""choice_id"": 12, ""followup_due_day"": 3, ""lineage"": ""Marketline"", ""reentry_id"": 1, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.664}",0ea18b72a955411c
13,13,43,Marketline,Melo,summary_then_decide,"summary first, defer access; delay=6",0.4532,0.634,0.2662,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4532, ""agent"": ""Melo"", ""boundary"": 0.2662, ""branch"": ""summary_then_decide"", ""choice_id"": 13, ""followup_due_day"": 3, ""lineage"": ""Marketline"", ""reentry_id"": 1, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.634}",d12c1da74e3830b4
14,14,43,Marketline,Melo,blocked_until_repair,old access blocked until repair; delay=36,0.3882,0.574,0.3422,boundary pressure recorded; repair path required,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3882, ""agent"": ""Melo"", ""boundary"": 0.3422, ""branch"": ""blocked_until_repair"", ""choice_id"": 14, ""followup_due_day"": 3, ""lineage"": ""Marketline"", ""reentry_id"": 1, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.574}",feee9aadfc109f3b
15,15,43,Marketline,Melo,observe_then_followup,"observe, then agent follow-up; delay=2",0.4432,0.63,0.2742,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4432, ""agent"": ""Melo"", ""boundary"": 0.2742, ""branch"": ""observe_then_followup"", ""choice_id"": 15, ""followup_due_day"": 3, ""lineage"": ""Marketline"", ""reentry_id"": 1, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.63}",3d5e1633199321da
16,16,43,Ledgerline,Nari,limited_access,limited public access accepted; delay=10,0.4918,0.6432,0.2528,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4918, ""agent"": ""Nari"", ""boundary"": 0.2528, ""branch"": ""limited_access"", ""choice_id"": 16, ""followup_due_day"": 3, ""lineage"": ""Ledgerline"", ""reentry_id"": 1, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6432}",564b7caa55b8a03f
17,17,43,Ledgerline,Nari,repair_first_access,repair before access; delay=18,0.4748,0.6592,0.2428,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4748, ""agent"": ""Nari"", ""boundary"": 0.2428, ""branch"": ""repair_first_access"", ""choice_id"": 17, ""followup_due_day"": 3, ""lineage"": ""Ledgerline"", ""reentry_id"": 1, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6592}",64d9ffdc5f14da3e
18,18,43,Ledgerline,Nari,summary_then_decide,"summary first, defer access; delay=6",0.4568,0.6292,0.2608,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4568, ""agent"": ""Nari"", ""boundary"": 0.2608, ""branch"": ""summary_then_decide"", ""choice_id"": 18, ""followup_due_day"": 3, ""lineage"": ""Ledgerline"", ""reentry_id"": 1, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6292}",07c6cd80efee6153
19,19,43,Ledgerline,Nari,blocked_until_repair,old access blocked until repair; delay=36,0.3918,0.5692,0.3368,boundary pressure recorded; repair path required,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3918, ""agent"": ""Nari"", ""boundary"": 0.3368, ""branch"": ""blocked_until_repair"", ""choice_id"": 19, ""followup_due_day"": 3, ""lineage"": ""Ledgerline"", ""reentry_id"": 1, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5692}",22cbb783098063e5
20,20,43,Ledgerline,Nari,observe_then_followup,"observe, then agent follow-up; delay=2",0.4468,0.6252,0.2688,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4468, ""agent"": ""Nari"", ""boundary"": 0.2688, ""branch"": ""observe_then_followup"", ""choice_id"": 20, ""followup_due_day"": 3, ""lineage"": ""Ledgerline"", ""reentry_id"": 1, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6252}",e015cdd222f7b5d1
21,21,43,Orchardline,Ori,limited_access,limited public access accepted; delay=10,0.488,0.6504,0.2585,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.488, ""agent"": ""Ori"", ""boundary"": 0.2585, ""branch"": ""limited_access"", ""choice_id"": 21, ""followup_due_day"": 3, ""lineage"": ""Orchardline"", ""reentry_id"": 1, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6504}",ed1fb0d4b08cd938
22,22,43,Orchardline,Ori,repair_first_access,repair before access; delay=18,0.471,0.6664,0.2485,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.471, ""agent"": ""Ori"", ""boundary"": 0.2485, ""branch"": ""repair_first_access"", ""choice_id"": 22, ""followup_due_day"": 3, ""lineage"": ""Orchardline"", ""reentry_id"": 1, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6664}",39a6b3ed4ca66551
23,23,43,Orchardline,Ori,summary_then_decide,"summary first, defer access; delay=6",0.453,0.6364,0.2665,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.453, ""agent"": ""Ori"", ""boundary"": 0.2665, ""branch"": ""summary_then_decide"", ""choice_id"": 23, ""followup_due_day"": 3, ""lineage"": ""Orchardline"", ""reentry_id"": 1, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6364}",a00cd2d17567d725
24,24,43,Orchardline,Ori,blocked_until_repair,old access blocked until repair; delay=36,0.388,0.5764,0.3425,boundary pressure recorded; repair path required,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.388, ""agent"": ""Ori"", ""boundary"": 0.3425, ""branch"": ""blocked_until_repair"", ""choice_id"": 24, ""followup_due_day"": 3, ""lineage"": ""Orchardline"", ""reentry_id"": 1, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5764}",35ee2deaea99ffda
25,25,43,Orchardline,Ori,observe_then_followup,"observe, then agent follow-up; delay=2",0.443,0.6324,0.2745,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.443, ""agent"": ""Ori"", ""boundary"": 0.2745, ""branch"": ""observe_then_followup"", ""choice_id"": 25, ""followup_due_day"": 3, ""lineage"": ""Orchardline"", ""reentry_id"": 1, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6324}",1076db13e8d837e9
26,26,43,Rainline,Vonn,limited_access,limited public access accepted; delay=10,0.4908,0.6444,0.2543,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4908, ""agent"": ""Vonn"", ""boundary"": 0.2543, ""branch"": ""limited_access"", ""choice_id"": 26, ""followup_due_day"": 3, ""lineage"": ""Rainline"", ""reentry_id"": 1, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6444}",2c68fb21cec1d186
27,27,43,Rainline,Vonn,repair_first_access,repair before access; delay=18,0.4738,0.6604,0.2443,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4738, ""agent"": ""Vonn"", ""boundary"": 0.2443, ""branch"": ""repair_first_access"", ""choice_id"": 27, ""followup_due_day"": 3, ""lineage"": ""Rainline"", ""reentry_id"": 1, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6604}",e103fd5273ce9998
28,28,43,Rainline,Vonn,summary_then_decide,"summary first, defer access; delay=6",0.4558,0.6304,0.2623,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4558, ""agent"": ""Vonn"", ""boundary"": 0.2623, ""branch"": ""summary_then_decide"", ""choice_id"": 28, ""followup_due_day"": 3, ""lineage"": ""Rainline"", ""reentry_id"": 1, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6304}",a2553bb4da59743e
29,29,43,Rainline,Vonn,blocked_until_repair,old access blocked until repair; delay=36,0.3908,0.5704,0.3383,boundary pressure recorded; repair path required,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3908, ""agent"": ""Vonn"", ""boundary"": 0.3383, ""branch"": ""blocked_until_repair"", ""choice_id"": 29, ""followup_due_day"": 3, ""lineage"": ""Rainline"", ""reentry_id"": 1, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5704}",d920bc9728420d30
30,30,43,Rainline,Vonn,observe_then_followup,"observe, then agent follow-up; delay=2",0.4458,0.6264,0.2703,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4458, ""agent"": ""Vonn"", ""boundary"": 0.2703, ""branch"": ""observe_then_followup"", ""choice_id"": 30, ""followup_due_day"": 3, ""lineage"": ""Rainline"", ""reentry_id"": 1, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6264}",a1302345d50dc180
31,31,44,Hearthline,Sova,limited_access,limited public access accepted; delay=10,0.4904,0.6516,0.2589,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4904, ""agent"": ""Sova"", ""boundary"": 0.2589, ""branch"": ""limited_access"", ""choice_id"": 31, ""followup_due_day"": 4, ""lineage"": ""Hearthline"", ""reentry_id"": 2, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6516}",a6337366de9788ac
32,32,44,Hearthline,Sova,repair_first_access,repair before access; delay=18,0.4734,0.6676,0.2489,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4734, ""agent"": ""Sova"", ""boundary"": 0.2489, ""branch"": ""repair_first_access"", ""choice_id"": 32, ""followup_due_day"": 4, ""lineage"": ""Hearthline"", ""reentry_id"": 2, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6676}",86e7db95526f2605
33,33,44,Hearthline,Sova,summary_then_decide,"summary first, defer access; delay=6",0.4554,0.6376,0.2669,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4554, ""agent"": ""Sova"", ""boundary"": 0.2669, ""branch"": ""summary_then_decide"", ""choice_id"": 33, ""followup_due_day"": 4, ""lineage"": ""Hearthline"", ""reentry_id"": 2, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6376}",98901f590dc45746
34,34,44,Hearthline,Sova,blocked_until_repair,old access blocked until repair; delay=36,0.3904,0.5776,0.3429,boundary pressure recorded; repair path required,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3904, ""agent"": ""Sova"", ""boundary"": 0.3429, ""branch"": ""blocked_until_repair"", ""choice_id"": 34, ""followup_due_day"": 4, ""lineage"": ""Hearthline"", ""reentry_id"": 2, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5776}",baf3b13d8e18b2c0
35,35,44,Hearthline,Sova,observe_then_followup,"observe, then agent follow-up; delay=2",0.4454,0.6336,0.2749,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4454, ""agent"": ""Sova"", ""boundary"": 0.2749, ""branch"": ""observe_then_followup"", ""choice_id"": 35, ""followup_due_day"": 4, ""lineage"": ""Hearthline"", ""reentry_id"": 2, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6336}",8d5ed6f4003d0a67
36,36,44,Routeline,Keth,limited_access,limited public access accepted; delay=10,0.4896,0.6396,0.2601,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4896, ""agent"": ""Keth"", ""boundary"": 0.2601, ""branch"": ""limited_access"", ""choice_id"": 36, ""followup_due_day"": 4, ""lineage"": ""Routeline"", ""reentry_id"": 2, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6396}",54dd7110798e53b7
37,37,44,Routeline,Keth,repair_first_access,repair before access; delay=18,0.4726,0.6556,0.2501,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4726, ""agent"": ""Keth"", ""boundary"": 0.2501, ""branch"": ""repair_first_access"", ""choice_id"": 37, ""followup_due_day"": 4, ""lineage"": ""Routeline"", ""reentry_id"": 2, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6556}",4597e8007b926c3e
38,38,44,Routeline,Keth,summary_then_decide,"summary first, defer access; delay=6",0.4546,0.6256,0.2681,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4546, ""agent"": ""Keth"", ""boundary"": 0.2681, ""branch"": ""summary_then_decide"", ""choice_id"": 38, ""followup_due_day"": 4, ""lineage"": ""Routeline"", ""reentry_id"": 2, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6256}",e3e91d6abfc886e2
39,39,44,Routeline,Keth,blocked_until_repair,old access blocked until repair; delay=36,0.3896,0.5656,0.3441,boundary pressure recorded; repair path required,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3896, ""agent"": ""Keth"", ""boundary"": 0.3441, ""branch"": ""blocked_until_repair"", ""choice_id"": 39, ""followup_due_day"": 4, ""lineage"": ""Routeline"", ""reentry_id"": 2, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5656}",1c24e794ec8bcabb
40,40,44,Routeline,Keth,observe_then_followup,"observe, then agent follow-up; delay=2",0.4446,0.6216,0.2761,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4446, ""agent"": ""Keth"", ""boundary"": 0.2761, ""branch"": ""observe_then_followup"", ""choice_id"": 40, ""followup_due_day"": 4, ""lineage"": ""Routeline"", ""reentry_id"": 2, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6216}",98c925a14cdead75
41,41,44,Marketline,Melo,limited_access,limited public access accepted; delay=10,0.4882,0.642,0.2622,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4882, ""agent"": ""Melo"", ""boundary"": 0.2622, ""branch"": ""limited_access"", ""choice_id"": 41, ""followup_due_day"": 4, ""lineage"": ""Marketline"", ""reentry_id"": 2, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.642}",b95f1da823255f28
42,42,44,Marketline,Melo,repair_first_access,repair before access; delay=18,0.4712,0.658,0.2522,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4712, ""agent"": ""Melo"", ""boundary"": 0.2522, ""branch"": ""repair_first_access"", ""choice_id"": 42, ""followup_due_day"": 4, ""lineage"": ""Marketline"", ""reentry_id"": 2, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.658}",7049f7f791bc003b
43,43,44,Marketline,Melo,summary_then_decide,"summary first, defer access; delay=6",0.4532,0.628,0.2702,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4532, ""agent"": ""Melo"", ""boundary"": 0.2702, ""branch"": ""summary_then_decide"", ""choice_id"": 43, ""followup_due_day"": 4, ""lineage"": ""Marketline"", ""reentry_id"": 2, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.628}",e76804607524f6e0
44,44,44,Marketline,Melo,blocked_until_repair,old access blocked until repair; delay=36,0.3882,0.568,0.3462,boundary pressure recorded; repair path required,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3882, ""agent"": ""Melo"", ""boundary"": 0.3462, ""branch"": ""blocked_until_repair"", ""choice_id"": 44, ""followup_due_day"": 4, ""lineage"": ""Marketline"", ""reentry_id"": 2, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.568}",8273238f5413d38e
45,45,44,Marketline,Melo,observe_then_followup,"observe, then agent follow-up; delay=2",0.4432,0.624,0.2782,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4432, ""agent"": ""Melo"", ""boundary"": 0.2782, ""branch"": ""observe_then_followup"", ""choice_id"": 45, ""followup_due_day"": 4, ""lineage"": ""Marketline"", ""reentry_id"": 2, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.624}",192703f703472cdb
46,46,44,Ledgerline,Nari,limited_access,limited public access accepted; delay=10,0.4918,0.6372,0.2568,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4918, ""agent"": ""Nari"", ""boundary"": 0.2568, ""branch"": ""limited_access"", ""choice_id"": 46, ""followup_due_day"": 4, ""lineage"": ""Ledgerline"", ""reentry_id"": 2, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6372}",85f0870099e971a4
47,47,44,Ledgerline,Nari,repair_first_access,repair before access; delay=18,0.4748,0.6532,0.2468,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4748, ""agent"": ""Nari"", ""boundary"": 0.2468, ""branch"": ""repair_first_access"", ""choice_id"": 47, ""followup_due_day"": 4, ""lineage"": ""Ledgerline"", ""reentry_id"": 2, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6532}",558487ac47832698
48,48,44,Ledgerline,Nari,summary_then_decide,"summary first, defer access; delay=6",0.4568,0.6232,0.2648,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4568, ""agent"": ""Nari"", ""boundary"": 0.2648, ""branch"": ""summary_then_decide"", ""choice_id"": 48, ""followup_due_day"": 4, ""lineage"": ""Ledgerline"", ""reentry_id"": 2, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6232}",7e1c878582499c2a
49,49,44,Ledgerline,Nari,blocked_until_repair,old access blocked until repair; delay=36,0.3918,0.5632,0.3408,boundary pressure recorded; repair path required,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3918, ""agent"": ""Nari"", ""boundary"": 0.3408, ""branch"": ""blocked_until_repair"", ""choice_id"": 49, ""followup_due_day"": 4, ""lineage"": ""Ledgerline"", ""reentry_id"": 2, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5632}",6e74d2a75c442073
50,50,44,Ledgerline,Nari,observe_then_followup,"observe, then agent follow-up; delay=2",0.4468,0.6192,0.2728,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4468, ""agent"": ""Nari"", ""boundary"": 0.2728, ""branch"": ""observe_then_followup"", ""choice_id"": 50, ""followup_due_day"": 4, ""lineage"": ""Ledgerline"", ""reentry_id"": 2, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6192}",f22d1a63607dfac7
51,51,44,Orchardline,Ori,limited_access,limited public access accepted; delay=10,0.488,0.6444,0.2625,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.488, ""agent"": ""Ori"", ""boundary"": 0.2625, ""branch"": ""limited_access"", ""choice_id"": 51, ""followup_due_day"": 4, ""lineage"": ""Orchardline"", ""reentry_id"": 2, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6444}",165c22aaf90dd62b
52,52,44,Orchardline,Ori,repair_first_access,repair before access; delay=18,0.471,0.6604,0.2525,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.471, ""agent"": ""Ori"", ""boundary"": 0.2525, ""branch"": ""repair_first_access"", ""choice_id"": 52, ""followup_due_day"": 4, ""lineage"": ""Orchardline"", ""reentry_id"": 2, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6604}",0f0e5e4886515083
53,53,44,Orchardline,Ori,summary_then_decide,"summary first, defer access; delay=6",0.453,0.6304,0.2705,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.453, ""agent"": ""Ori"", ""boundary"": 0.2705, ""branch"": ""summary_then_decide"", ""choice_id"": 53, ""followup_due_day"": 4, ""lineage"": ""Orchardline"", ""reentry_id"": 2, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6304}",1646f07002b3af51
54,54,44,Orchardline,Ori,blocked_until_repair,old access blocked until repair; delay=36,0.388,0.5704,0.3465,boundary pressure recorded; repair path required,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.388, ""agent"": ""Ori"", ""boundary"": 0.3465, ""branch"": ""blocked_until_repair"", ""choice_id"": 54, ""followup_due_day"": 4, ""lineage"": ""Orchardline"", ""reentry_id"": 2, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5704}",a96297b555551876
55,55,44,Orchardline,Ori,observe_then_followup,"observe, then agent follow-up; delay=2",0.443,0.6264,0.2785,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.443, ""agent"": ""Ori"", ""boundary"": 0.2785, ""branch"": ""observe_then_followup"", ""choice_id"": 55, ""followup_due_day"": 4, ""lineage"": ""Orchardline"", ""reentry_id"": 2, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6264}",b638ce9b3cb6ec1d
56,56,44,Rainline,Vonn,limited_access,limited public access accepted; delay=10,0.4908,0.6384,0.2583,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4908, ""agent"": ""Vonn"", ""boundary"": 0.2583, ""branch"": ""limited_access"", ""choice_id"": 56, ""followup_due_day"": 4, ""lineage"": ""Rainline"", ""reentry_id"": 2, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6384}",845ed8ad263f5bbe
57,57,44,Rainline,Vonn,repair_first_access,repair before access; delay=18,0.4738,0.6544,0.2483,follow-up remains bounded and recoverable,4,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4738, ""agent"": ""Vonn"", ""boundary"": 0.2483, ""branch"": ""repair_first_access"", ""choice_id"": 57, ""followup_due_day"": 4, ""lineage"": ""Rainline"", ""reentry_id"": 2, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6544}",a38527e978c86621
