tick_id,day,agent,region_id,public_memory_key,remembered_supply,remembered_season,remembered_guild,remembered_apprentice,remembered_collapse,private_workspace_sealed,replay_pointer
29,2,Ivo,orchard_fen,v28:Ivo:orchard_fen:day2,orchard_fen->riverbend:seeds:0.43,spring_rain,Seed Guild:0.32,Mara:0.34,stable,True,replay:29:orchard_fen
30,2,Ari,riverbend,v28:Ari:riverbend:day2,riverbend->roofward:planks:0.28,spring_rain,Bridgewright Guild:0.11,Toma:0.24,stable,True,replay:30:riverbend
31,2,Fay,roofward,v28:Fay:roofward:day2,roofward->archive_quarter:thread:0.38,spring_rain,Glassgarden Guild:0.14,Lio:0.26,stable,True,replay:31:roofward
32,3,Nia,archive_quarter,v28:Nia:archive_quarter:day3,archive_quarter->orchard_fen:planks:0.33,spring_rain,Index Guild:0.03,Sera:0.29,stable,True,replay:32:archive_quarter
33,3,Milo,signal_ridge,v28:Milo:signal_ridge:day3,signal_ridge->riverbend:oil:0.43,spring_rain,Signal Guild:0.06,Ren:0.33,stable,True,replay:33:signal_ridge
34,3,Ivo,orchard_fen,v28:Ivo:orchard_fen:day3,orchard_fen->roofward:seeds:0.33,spring_rain,Seed Guild:0.24,Mara:0.35,stable,True,replay:34:orchard_fen
35,3,Ari,riverbend,v28:Ari:riverbend:day3,riverbend->archive_quarter:thread:0.38,spring_rain,Bridgewright Guild:0.11,Toma:0.24,stable,True,replay:35:riverbend
36,3,Fay,roofward,v28:Fay:roofward:day3,roofward->signal_ridge:herbs:0.28,spring_rain,Glassgarden Guild:0.14,Lio:0.27,stable,True,replay:36:roofward
37,3,Nia,archive_quarter,v28:Nia:archive_quarter:day3,archive_quarter->orchard_fen:paper:0.38,spring_rain,Index Guild:0.03,Sera:0.29,stable,True,replay:37:archive_quarter
38,3,Milo,signal_ridge,v28:Milo:signal_ridge:day3,signal_ridge->riverbend:oil:0.28,spring_rain,Signal Guild:0.06,Ren:0.33,stable,True,replay:38:signal_ridge
39,3,Ivo,orchard_fen,v28:Ivo:orchard_fen:day3,orchard_fen->roofward:seeds:0.38,spring_rain,Seed Guild:0.17,Mara:0.36,stable,True,replay:39:orchard_fen
40,3,Ari,riverbend,v28:Ari:riverbend:day3,riverbend->archive_quarter:planks:0.43,spring_rain,Bridgewright Guild:0.11,Toma:0.25,stable,True,replay:40:riverbend
41,3,Fay,roofward,v28:Fay:roofward:day3,roofward->signal_ridge:wire:0.33,spring_rain,Glassgarden Guild:0.14,Lio:0.27,stable,True,replay:41:roofward
42,3,Nia,archive_quarter,v28:Nia:archive_quarter:day3,archive_quarter->orchard_fen:paper:0.43,spring_rain,Index Guild:0.03,Sera:0.30,stable,True,replay:42:archive_quarter
43,3,Milo,signal_ridge,v28:Milo:signal_ridge:day3,signal_ridge->riverbend:oil:0.33,spring_rain,Signal Guild:0.06,Ren:0.33,stable,True,replay:43:signal_ridge
44,3,Ivo,orchard_fen,v28:Ivo:orchard_fen:day3,orchard_fen->roofward:water:0.43,spring_rain,Seed Guild:0.09,Mara:0.36,stable,True,replay:44:orchard_fen
45,3,Ari,riverbend,v28:Ari:riverbend:day3,riverbend->archive_quarter:planks:0.28,spring_rain,Bridgewright Guild:0.11,Toma:0.26,stable,True,replay:45:riverbend
46,3,Fay,roofward,v28:Fay:roofward:day3,roofward->signal_ridge:herbs:0.38,spring_rain,Glassgarden Guild:0.14,Lio:0.27,stable,True,replay:46:roofward
47,3,Nia,archive_quarter,v28:Nia:archive_quarter:day3,archive_quarter->orchard_fen:planks:0.28,spring_rain,Index Guild:0.00,Sera:0.30,stable,True,replay:47:archive_quarter
48,4,Milo,signal_ridge,v28:Milo:signal_ridge:day4,signal_ridge->orchard_fen:planks:0.43,spring_rain,Signal Guild:0.06,Ren:0.34,stable,True,replay:48:signal_ridge
49,4,Ivo,orchard_fen,v28:Ivo:orchard_fen:day4,orchard_fen->riverbend:seeds:0.33,spring_rain,Seed Guild:0.09,Mara:0.36,stable,True,replay:49:orchard_fen
50,4,Ari,riverbend,v28:Ari:riverbend:day4,riverbend->roofward:planks:0.38,spring_rain,Bridgewright Guild:0.03,Toma:0.26,stable,True,replay:50:riverbend
51,4,Fay,roofward,v28:Fay:roofward:day4,roofward->archive_quarter:thread:0.28,spring_rain,Glassgarden Guild:0.14,Lio:0.28,stable,True,replay:51:roofward
52,4,Nia,archive_quarter,v28:Nia:archive_quarter:day4,archive_quarter->signal_ridge:paper:0.38,spring_rain,Index Guild:0.00,Sera:0.30,stable,True,replay:52:archive_quarter
53,4,Milo,signal_ridge,v28:Milo:signal_ridge:day4,signal_ridge->orchard_fen:oil:0.28,spring_rain,Signal Guild:0.06,Ren:0.34,stable,True,replay:53:signal_ridge
54,4,Ivo,orchard_fen,v28:Ivo:orchard_fen:day4,orchard_fen->riverbend:oil:0.38,spring_rain,Seed Guild:0.09,Mara:0.37,stable,True,replay:54:orchard_fen
55,4,Ari,riverbend,v28:Ari:riverbend:day4,riverbend->roofward:planks:0.43,spring_rain,Bridgewright Guild:0.00,Toma:0.26,stable,True,replay:55:riverbend
56,4,Fay,roofward,v28:Fay:roofward:day4,roofward->archive_quarter:herbs:0.33,spring_rain,Glassgarden Guild:0.14,Lio:0.28,stable,True,replay:56:roofward
57,4,Nia,archive_quarter,v28:Nia:archive_quarter:day4,archive_quarter->signal_ridge:wire:0.43,spring_rain,Index Guild:0.00,Sera:0.30,stable,True,replay:57:archive_quarter
58,4,Milo,signal_ridge,v28:Milo:signal_ridge:day4,signal_ridge->orchard_fen:oil:0.33,spring_rain,Signal Guild:0.06,Ren:0.34,stable,True,replay:58:signal_ridge
59,4,Ivo,orchard_fen,v28:Ivo:orchard_fen:day4,orchard_fen->riverbend:seeds:0.43,spring_rain,Seed Guild:0.09,Mara:0.37,stable,True,replay:59:orchard_fen
60,4,Ari,riverbend,v28:Ari:riverbend:day4,riverbend->roofward:water:0.28,spring_rain,Bridgewright Guild:0.00,Toma:0.26,stable,True,replay:60:riverbend
61,4,Fay,roofward,v28:Fay:roofward:day4,roofward->archive_quarter:herbs:0.38,spring_rain,Glassgarden Guild:0.14,Lio:0.29,stable,True,replay:61:roofward
62,4,Nia,archive_quarter,v28:Nia:archive_quarter:day4,archive_quarter->signal_ridge:paper:0.28,spring_rain,Index Guild:0.00,Sera:0.30,stable,True,replay:62:archive_quarter
63,4,Milo,signal_ridge,v28:Milo:signal_ridge:day4,signal_ridge->orchard_fen:planks:0.38,spring_rain,Signal Guild:0.00,Ren:0.34,stable,True,replay:63:signal_ridge
64,5,Ivo,orchard_fen,v28:Ivo:orchard_fen:day5,orchard_fen->roofward:water:0.33,spring_rain,Seed Guild:0.09,Mara:0.37,stable,True,replay:64:orchard_fen
65,5,Ari,riverbend,v28:Ari:riverbend:day5,riverbend->archive_quarter:planks:0.38,spring_rain,Bridgewright Guild:0.00,Toma:0.26,stable,True,replay:65:riverbend
66,5,Fay,roofward,v28:Fay:roofward:day5,roofward->signal_ridge:herbs:0.28,spring_rain,Glassgarden Guild:0.07,Lio:0.29,stable,True,replay:66:roofward
67,5,Nia,archive_quarter,v28:Nia:archive_quarter:day5,archive_quarter->orchard_fen:planks:0.38,spring_rain,Index Guild:0.00,Sera:0.31,stable,True,replay:67:archive_quarter
68,5,Milo,signal_ridge,v28:Milo:signal_ridge:day5,signal_ridge->riverbend:oil:0.28,spring_rain,Signal Guild:0.00,Ren:0.34,stable,True,replay:68:signal_ridge
69,5,Ivo,orchard_fen,v28:Ivo:orchard_fen:day5,orchard_fen->roofward:seeds:0.38,spring_rain,Seed Guild:0.09,Mara:0.37,stable,True,replay:69:orchard_fen
70,5,Ari,riverbend,v28:Ari:riverbend:day5,riverbend->archive_quarter:thread:0.43,spring_rain,Bridgewright Guild:0.00,Toma:0.27,stable,True,replay:70:riverbend
71,5,Fay,roofward,v28:Fay:roofward:day5,roofward->signal_ridge:herbs:0.33,spring_rain,Glassgarden Guild:0.00,Lio:0.29,stable,True,replay:71:roofward
72,5,Nia,archive_quarter,v28:Nia:archive_quarter:day5,archive_quarter->orchard_fen:paper:0.43,spring_rain,Index Guild:0.00,Sera:0.32,stable,True,replay:72:archive_quarter
73,5,Milo,signal_ridge,v28:Milo:signal_ridge:day5,signal_ridge->riverbend:oil:0.33,spring_rain,Signal Guild:0.00,Ren:0.35,stable,True,replay:73:signal_ridge
74,5,Ivo,orchard_fen,v28:Ivo:orchard_fen:day5,orchard_fen->roofward:seeds:0.43,spring_rain,Seed Guild:0.09,Mara:0.37,stable,True,replay:74:orchard_fen
75,5,Ari,riverbend,v28:Ari:riverbend:day5,riverbend->archive_quarter:planks:0.28,spring_rain,Bridgewright Guild:0.00,Toma:0.27,stable,True,replay:75:riverbend
76,5,Fay,roofward,v28:Fay:roofward:day5,roofward->signal_ridge:wire:0.38,spring_rain,Glassgarden Guild:0.00,Lio:0.29,stable,True,replay:76:roofward
77,5,Nia,archive_quarter,v28:Nia:archive_quarter:day5,archive_quarter->orchard_fen:paper:0.28,spring_rain,Index Guild:0.00,Sera:0.32,stable,True,replay:77:archive_quarter
78,5,Milo,signal_ridge,v28:Milo:signal_ridge:day5,signal_ridge->riverbend:oil:0.38,spring_rain,Signal Guild:0.00,Ren:0.35,stable,True,replay:78:signal_ridge
79,5,Ivo,orchard_fen,v28:Ivo:orchard_fen:day5,orchard_fen->roofward:water:0.28,spring_rain,Seed Guild:0.01,Mara:0.38,stable,True,replay:79:orchard_fen
80,6,Fay,roofward,v28:Fay:roofward:day6,roofward->archive_quarter:thread:0.43,spring_rain,Glassgarden Guild:0.00,Lio:0.30,stable,True,replay:80:roofward
81,6,Nia,archive_quarter,v28:Nia:archive_quarter:day6,archive_quarter->signal_ridge:paper:0.33,spring_rain,Index Guild:0.00,Sera:0.32,stable,True,replay:81:archive_quarter
82,6,Milo,signal_ridge,v28:Milo:signal_ridge:day6,signal_ridge->orchard_fen:oil:0.43,spring_rain,Signal Guild:0.00,Ren:0.35,stable,True,replay:82:signal_ridge
83,6,Ivo,orchard_fen,v28:Ivo:orchard_fen:day6,orchard_fen->riverbend:oil:0.33,spring_rain,Seed Guild:0.01,Mara:0.38,stable,True,replay:83:orchard_fen
84,6,Ari,riverbend,v28:Ari:riverbend:day6,riverbend->roofward:planks:0.38,spring_rain,Bridgewright Guild:0.00,Toma:0.27,stable,True,replay:84:riverbend
85,6,Fay,roofward,v28:Fay:roofward:day6,roofward->archive_quarter:herbs:0.28,spring_rain,Glassgarden Guild:0.00,Lio:0.30,stable,True,replay:85:roofward
86,6,Nia,archive_quarter,v28:Nia:archive_quarter:day6,archive_quarter->signal_ridge:wire:0.38,spring_rain,Index Guild:0.00,Sera:0.33,stable,True,replay:86:archive_quarter
87,6,Milo,signal_ridge,v28:Milo:signal_ridge:day6,signal_ridge->orchard_fen:oil:0.28,spring_rain,Signal Guild:0.00,Ren:0.35,stable,True,replay:87:signal_ridge
88,6,Ivo,orchard_fen,v28:Ivo:orchard_fen:day6,orchard_fen->riverbend:seeds:0.38,spring_rain,Seed Guild:0.01,Mara:0.39,stable,True,replay:88:orchard_fen
89,6,Ari,riverbend,v28:Ari:riverbend:day6,riverbend->roofward:water:0.43,spring_rain,Bridgewright Guild:0.00,Toma:0.27,stable,True,replay:89:riverbend
90,6,Fay,roofward,v28:Fay:roofward:day6,roofward->archive_quarter:herbs:0.33,spring_rain,Glassgarden Guild:0.00,Lio:0.30,stable,True,replay:90:roofward
91,6,Nia,archive_quarter,v28:Nia:archive_quarter:day6,archive_quarter->signal_ridge:paper:0.43,spring_rain,Index Guild:0.00,Sera:0.33,stable,True,replay:91:archive_quarter
92,6,Milo,signal_ridge,v28:Milo:signal_ridge:day6,signal_ridge->orchard_fen:planks:0.33,spring_rain,Signal Guild:0.00,Ren:0.35,stable,True,replay:92:signal_ridge
93,6,Ivo,orchard_fen,v28:Ivo:orchard_fen:day6,orchard_fen->riverbend:seeds:0.43,spring_rain,Seed Guild:0.01,Mara:0.39,stable,True,replay:93:orchard_fen
94,6,Ari,riverbend,v28:Ari:riverbend:day6,riverbend->roofward:planks:0.28,spring_rain,Bridgewright Guild:0.00,Toma:0.27,stable,True,replay:94:riverbend
95,6,Fay,roofward,v28:Fay:roofward:day6,roofward->archive_quarter:thread:0.38,spring_rain,Glassgarden Guild:0.00,Lio:0.30,stable,True,replay:95:roofward
96,7,Nia,archive_quarter,v28:Nia:archive_quarter:day7,archive_quarter->orchard_fen:planks:0.33,spring_rain,Index Guild:0.00,Sera:0.33,stable,True,replay:96:archive_quarter
97,7,Milo,signal_ridge,v28:Milo:signal_ridge:day7,signal_ridge->riverbend:oil:0.43,spring_rain,Signal Guild:0.00,Ren:0.36,stable,True,replay:97:signal_ridge
98,7,Ivo,orchard_fen,v28:Ivo:orchard_fen:day7,orchard_fen->roofward:seeds:0.33,spring_rain,Seed Guild:0.00,Mara:0.40,stable,True,replay:98:orchard_fen
99,7,Ari,riverbend,v28:Ari:riverbend:day7,riverbend->archive_quarter:thread:0.38,spring_rain,Bridgewright Guild:0.00,Toma:0.28,stable,True,replay:99:riverbend
100,7,Fay,roofward,v28:Fay:roofward:day7,roofward->signal_ridge:herbs:0.28,spring_rain,Glassgarden Guild:0.00,Lio:0.30,stable,True,replay:100:roofward
101,7,Nia,archive_quarter,v28:Nia:archive_quarter:day7,archive_quarter->orchard_fen:paper:0.38,spring_rain,Index Guild:0.00,Sera:0.33,stable,True,replay:101:archive_quarter
102,7,Milo,signal_ridge,v28:Milo:signal_ridge:day7,signal_ridge->riverbend:oil:0.28,spring_rain,Signal Guild:0.00,Ren:0.36,stable,True,replay:102:signal_ridge
103,7,Ivo,orchard_fen,v28:Ivo:orchard_fen:day7,orchard_fen->roofward:seeds:0.38,spring_rain,Seed Guild:0.00,Mara:0.40,stable,True,replay:103:orchard_fen
104,7,Ari,riverbend,v28:Ari:riverbend:day7,riverbend->archive_quarter:planks:0.43,spring_rain,Bridgewright Guild:0.00,Toma:0.29,stable,True,replay:104:riverbend
105,7,Fay,roofward,v28:Fay:roofward:day7,roofward->signal_ridge:wire:0.33,spring_rain,Glassgarden Guild:0.00,Lio:0.31,stable,True,replay:105:roofward
106,7,Nia,archive_quarter,v28:Nia:archive_quarter:day7,archive_quarter->orchard_fen:paper:0.43,spring_rain,Index Guild:0.00,Sera:0.33,stable,True,replay:106:archive_quarter
107,7,Milo,signal_ridge,v28:Milo:signal_ridge:day7,signal_ridge->riverbend:oil:0.33,spring_rain,Signal Guild:0.00,Ren:0.36,stable,True,replay:107:signal_ridge
108,7,Ivo,orchard_fen,v28:Ivo:orchard_fen:day7,orchard_fen->roofward:water:0.43,spring_rain,Seed Guild:0.00,Mara:0.40,stable,True,replay:108:orchard_fen
109,7,Ari,riverbend,v28:Ari:riverbend:day7,riverbend->archive_quarter:planks:0.28,spring_rain,Bridgewright Guild:0.00,Toma:0.29,stable,True,replay:109:riverbend
110,7,Fay,roofward,v28:Fay:roofward:day7,roofward->signal_ridge:herbs:0.38,spring_rain,Glassgarden Guild:0.00,Lio:0.31,stable,True,replay:110:roofward
111,7,Nia,archive_quarter,v28:Nia:archive_quarter:day7,archive_quarter->orchard_fen:planks:0.28,spring_rain,Index Guild:0.00,Sera:0.34,stable,True,replay:111:archive_quarter
112,8,Milo,signal_ridge,v28:Milo:signal_ridge:day8,signal_ridge->orchard_fen:planks:0.43,spring_rain,Signal Guild:0.00,Ren:0.36,stable,True,replay:112:signal_ridge
113,8,Ivo,orchard_fen,v28:Ivo:orchard_fen:day8,orchard_fen->riverbend:seeds:0.33,spring_rain,Seed Guild:0.00,Mara:0.40,stable,True,replay:113:orchard_fen
114,8,Ari,riverbend,v28:Ari:riverbend:day8,riverbend->roofward:planks:0.38,spring_rain,Bridgewright Guild:0.00,Toma:0.29,stable,True,replay:114:riverbend
115,8,Fay,roofward,v28:Fay:roofward:day8,roofward->archive_quarter:thread:0.28,spring_rain,Glassgarden Guild:0.00,Lio:0.31,stable,True,replay:115:roofward
116,8,Nia,archive_quarter,v28:Nia:archive_quarter:day8,archive_quarter->signal_ridge:paper:0.38,spring_rain,Index Guild:0.00,Sera:0.34,stable,True,replay:116:archive_quarter
117,8,Milo,signal_ridge,v28:Milo:signal_ridge:day8,signal_ridge->orchard_fen:oil:0.28,spring_rain,Signal Guild:0.00,Ren:0.36,stable,True,replay:117:signal_ridge
118,8,Ivo,orchard_fen,v28:Ivo:orchard_fen:day8,orchard_fen->riverbend:oil:0.38,spring_rain,Seed Guild:0.00,Mara:0.40,stable,True,replay:118:orchard_fen
119,8,Ari,riverbend,v28:Ari:riverbend:day8,riverbend->roofward:planks:0.43,spring_rain,Bridgewright Guild:0.00,Toma:0.30,stable,True,replay:119:riverbend
120,8,Fay,roofward,v28:Fay:roofward:day8,roofward->archive_quarter:herbs:0.33,spring_rain,Glassgarden Guild:0.00,Lio:0.32,stable,True,replay:120:roofward
121,8,Nia,archive_quarter,v28:Nia:archive_quarter:day8,archive_quarter->signal_ridge:wire:0.43,spring_rain,Index Guild:0.00,Sera:0.34,stable,True,replay:121:archive_quarter
122,8,Milo,signal_ridge,v28:Milo:signal_ridge:day8,signal_ridge->orchard_fen:oil:0.33,spring_rain,Signal Guild:0.00,Ren:0.37,stable,True,replay:122:signal_ridge
123,8,Ivo,orchard_fen,v28:Ivo:orchard_fen:day8,orchard_fen->riverbend:seeds:0.43,spring_rain,Seed Guild:0.00,Mara:0.41,stable,True,replay:123:orchard_fen
124,8,Ari,riverbend,v28:Ari:riverbend:day8,riverbend->roofward:water:0.28,spring_rain,Bridgewright Guild:0.00,Toma:0.30,stable,True,replay:124:riverbend
125,8,Fay,roofward,v28:Fay:roofward:day8,roofward->archive_quarter:herbs:0.38,spring_rain,Glassgarden Guild:0.00,Lio:0.33,stable,True,replay:125:roofward
126,8,Nia,archive_quarter,v28:Nia:archive_quarter:day8,archive_quarter->signal_ridge:paper:0.28,spring_rain,Index Guild:0.00,Sera:0.34,stable,True,replay:126:archive_quarter
127,8,Milo,signal_ridge,v28:Milo:signal_ridge:day8,signal_ridge->orchard_fen:planks:0.38,spring_rain,Signal Guild:0.00,Ren:0.37,stable,True,replay:127:signal_ridge
128,9,Ivo,orchard_fen,v28:Ivo:orchard_fen:day9,orchard_fen->roofward:water:0.33,spring_rain,Seed Guild:0.00,Mara:0.41,stable,True,replay:128:orchard_fen
129,9,Ari,riverbend,v28:Ari:riverbend:day9,riverbend->archive_quarter:planks:0.38,spring_rain,Bridgewright Guild:0.00,Toma:0.30,stable,True,replay:129:riverbend
130,9,Fay,roofward,v28:Fay:roofward:day9,roofward->signal_ridge:herbs:0.28,spring_rain,Glassgarden Guild:0.00,Lio:0.33,stable,True,replay:130:roofward
131,9,Nia,archive_quarter,v28:Nia:archive_quarter:day9,archive_quarter->orchard_fen:planks:0.38,spring_rain,Index Guild:0.00,Sera:0.35,stable,True,replay:131:archive_quarter
132,9,Milo,signal_ridge,v28:Milo:signal_ridge:day9,signal_ridge->riverbend:oil:0.28,spring_rain,Signal Guild:0.00,Ren:0.37,stable,True,replay:132:signal_ridge
133,9,Ivo,orchard_fen,v28:Ivo:orchard_fen:day9,orchard_fen->roofward:seeds:0.38,spring_rain,Seed Guild:0.00,Mara:0.41,stable,True,replay:133:orchard_fen
134,9,Ari,riverbend,v28:Ari:riverbend:day9,riverbend->archive_quarter:thread:0.43,spring_rain,Bridgewright Guild:0.00,Toma:0.30,stable,True,replay:134:riverbend
135,9,Fay,roofward,v28:Fay:roofward:day9,roofward->signal_ridge:herbs:0.33,spring_rain,Glassgarden Guild:0.00,Lio:0.33,stable,True,replay:135:roofward
136,9,Nia,archive_quarter,v28:Nia:archive_quarter:day9,archive_quarter->orchard_fen:paper:0.43,spring_rain,Index Guild:0.00,Sera:0.35,stable,True,replay:136:archive_quarter
137,9,Milo,signal_ridge,v28:Milo:signal_ridge:day9,signal_ridge->riverbend:oil:0.33,spring_rain,Signal Guild:0.00,Ren:0.37,stable,True,replay:137:signal_ridge
138,9,Ivo,orchard_fen,v28:Ivo:orchard_fen:day9,orchard_fen->roofward:seeds:0.43,spring_rain,Seed Guild:0.00,Mara:0.41,stable,True,replay:138:orchard_fen
139,9,Ari,riverbend,v28:Ari:riverbend:day9,riverbend->archive_quarter:planks:0.28,spring_rain,Bridgewright Guild:0.00,Toma:0.30,stable,True,replay:139:riverbend
140,9,Fay,roofward,v28:Fay:roofward:day9,roofward->signal_ridge:wire:0.38,spring_rain,Glassgarden Guild:0.00,Lio:0.33,stable,True,replay:140:roofward
141,9,Nia,archive_quarter,v28:Nia:archive_quarter:day9,archive_quarter->orchard_fen:paper:0.28,spring_rain,Index Guild:0.00,Sera:0.36,stable,True,replay:141:archive_quarter
142,9,Milo,signal_ridge,v28:Milo:signal_ridge:day9,signal_ridge->riverbend:oil:0.38,spring_rain,Signal Guild:0.00,Ren:0.37,stable,True,replay:142:signal_ridge
143,9,Ivo,orchard_fen,v28:Ivo:orchard_fen:day9,orchard_fen->roofward:water:0.28,spring_rain,Seed Guild:0.00,Mara:0.41,stable,True,replay:143:orchard_fen
144,10,Ari,riverbend,v28:Ari:riverbend:day10,riverbend->roofward:water:0.38,spring_rain,Bridgewright Guild:0.00,Toma:0.31,stable,True,replay:144:riverbend
145,10,Fay,roofward,v28:Fay:roofward:day10,roofward->archive_quarter:herbs:0.28,spring_rain,Glassgarden Guild:0.00,Lio:0.33,stable,True,replay:145:roofward
146,10,Nia,archive_quarter,v28:Nia:archive_quarter:day10,archive_quarter->signal_ridge:paper:0.38,spring_rain,Index Guild:0.00,Sera:0.36,stable,True,replay:146:archive_quarter
147,10,Milo,signal_ridge,v28:Milo:signal_ridge:day10,signal_ridge->orchard_fen:planks:0.28,spring_rain,Signal Guild:0.00,Ren:0.38,stable,True,replay:147:signal_ridge
148,10,Ivo,orchard_fen,v28:Ivo:orchard_fen:day10,orchard_fen->riverbend:seeds:0.38,spring_rain,Seed Guild:0.05,Mara:0.42,shored,True,replay:148:orchard_fen
149,10,Ari,riverbend,v28:Ari:riverbend:day10,riverbend->roofward:planks:0.43,spring_rain,Bridgewright Guild:0.00,Toma:0.31,stable,True,replay:149:riverbend
150,10,Fay,roofward,v28:Fay:roofward:day10,roofward->archive_quarter:thread:0.33,spring_rain,Glassgarden Guild:0.00,Lio:0.34,stable,True,replay:150:roofward
