tick,day,scene_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_mutation,flower_phase
83,6,v21-scene-d06,1.6,1.26,0.28,16.28,0.28,0.18,0.03,1,322.604412
84,6,v21-scene-d06,1.63,1.1,0.28,18.68,0.13,0.18,0.03,1,95.722176
85,6,v21-scene-d06,1.66,1.26,0.22,17.28,0.13,0.18,0.03,1,238.75994
86,6,v21-scene-d06,1.69,1.1,0.22,17.28,0.13,0.18,0.03,1,11.877704
87,6,v21-scene-d06,1.72,1.26,0.22,17.28,0.13,0.18,0.03,1,154.915468
88,6,v21-scene-d06,1.75,1.1,0.22,17.28,0.13,0.18,0.09,1,288.033232
89,6,v21-scene-d06,1.78,1.1,0.28,16.28,0.28,0.18,0.03,1,66.110996
90,7,v21-scene-d07,1.36,1.1,0.22,17.31,0.17,0.18,0.03,1,195.63876
91,7,v21-scene-d07,1.39,1.26,0.22,17.31,0.17,0.18,0.03,1,338.676524
92,7,v21-scene-d07,1.42,1.1,0.22,17.31,0.17,0.18,0.03,1,111.794288
93,7,v21-scene-d07,1.45,1.1,0.22,17.31,0.17,0.18,0.09,1,249.872052
94,7,v21-scene-d07,1.48,1.26,0.28,16.31,0.32,0.18,0.03,1,32.909816
95,7,v21-scene-d07,1.51,1.21,0.24,18.71,0.17,0.14,0.03,1,169.43758
96,7,v21-scene-d07,1.54,1.1,0.22,17.31,0.17,0.18,0.03,0,304.105344
97,7,v21-scene-d07,1.51,1.1,0.22,17.31,0.17,0.18,0.03,1,81.043108
98,7,v21-scene-d07,1.6,1.26,0.22,17.31,0.17,0.18,0.03,1,225.220872
99,7,v21-scene-d07,1.63,1.26,0.22,17.31,0.17,0.18,0.09,1,3.298636
100,7,v21-scene-d07,1.66,1.1,0.28,16.31,0.32,0.18,0.03,1,136.4164
101,7,v21-scene-d07,1.69,1.1,0.28,18.71,0.17,0.18,0.03,1,274.494164
102,7,v21-scene-d07,1.72,1.1,0.22,17.31,0.17,0.18,0.03,1,52.571928
103,7,v21-scene-d07,1.75,1.1,0.22,17.31,0.17,0.18,0.03,1,190.649692
104,7,v21-scene-d07,1.78,1.1,0.22,17.31,0.17,0.18,0.03,1,328.727456
105,8,v21-scene-d08,1.36,1.26,0.28,16.34,0.28,0.18,0.03,1,103.21522
106,8,v21-scene-d08,1.39,1.1,0.28,18.74,0.13,0.18,0.03,1,236.332984
107,8,v21-scene-d08,1.42,1.26,0.22,17.34,0.13,0.18,0.03,1,19.370748
108,8,v21-scene-d08,1.45,1.26,0.22,17.34,0.13,0.18,0.03,1,157.448512
109,8,v21-scene-d08,1.48,1.26,0.22,17.34,0.13,0.18,0.03,1,295.526276
110,8,v21-scene-d08,1.51,1.1,0.22,17.34,0.13,0.18,0.09,1,68.64404
111,8,v21-scene-d08,1.48,1.21,0.24,16.34,0.28,0.14,0.03,1,208.991804
112,8,v21-scene-d08,1.57,1.26,0.28,18.74,0.13,0.18,0.03,1,349.759568
113,8,v21-scene-d08,1.6,1.1,0.22,17.34,0.13,0.18,0.03,1,122.877332
114,8,v21-scene-d08,1.63,1.26,0.22,17.34,0.13,0.18,0.03,1,265.915096
115,8,v21-scene-d08,1.66,1.1,0.22,17.34,0.13,0.18,0.03,1,39.03286
116,8,v21-scene-d08,1.63,1.26,0.22,17.34,0.13,0.18,0.09,1,180.930624
117,8,v21-scene-d08,1.72,1.1,0.28,16.34,0.28,0.18,0.03,1,315.188388
118,8,v21-scene-d08,1.75,1.1,0.28,18.74,0.13,0.18,0.03,1,93.266152
119,8,v21-scene-d08,1.78,1.26,0.22,17.34,0.13,0.18,0.03,1,236.303916
120,9,v21-scene-d09,1.36,1.1,0.22,17.37,0.13,0.18,0.03,1,0.87168
121,9,v21-scene-d09,1.33,1.26,0.22,17.37,0.13,0.18,0.09,1,142.769444
122,9,v21-scene-d09,1.42,1.1,0.28,16.37,0.28,0.18,0.03,1,277.027208
123,9,v21-scene-d09,1.45,1.26,0.28,18.77,0.13,0.18,0.03,1,60.064972
124,9,v21-scene-d09,1.48,1.1,0.22,17.37,0.13,0.18,0.03,1,193.182736
125,9,v21-scene-d09,1.51,1.26,0.22,17.37,0.13,0.18,0.03,1,336.2205
126,9,v21-scene-d09,1.48,1.21,0.18,17.37,0.13,0.14,0.03,1,111.608264
127,9,v21-scene-d09,1.57,1.1,0.22,17.37,0.13,0.18,0.09,0,247.416028
128,9,v21-scene-d09,1.54,1.26,0.28,16.37,0.28,0.18,0.03,1,29.313792
129,9,v21-scene-d09,1.63,1.26,0.28,18.77,0.13,0.18,0.03,1,168.531556
130,9,v21-scene-d09,1.66,1.1,0.22,17.37,0.13,0.18,0.03,1,301.64932
131,9,v21-scene-d09,1.69,1.26,0.22,17.37,0.13,0.18,0.03,1,84.687084
132,9,v21-scene-d09,1.72,1.26,0.22,17.37,0.13,0.18,0.03,1,222.764848
133,9,v21-scene-d09,1.75,1.1,0.22,17.37,0.13,0.18,0.09,1,355.882612
134,9,v21-scene-d09,1.78,1.1,0.28,16.37,0.28,0.18,0.03,1,133.960376
135,10,v21-scene-d10,1.36,1.26,0.22,17.4,0.13,0.18,0.03,1,268.44814
136,10,v21-scene-d10,1.39,1.26,0.22,17.4,0.13,0.18,0.03,1,46.525904
137,10,v21-scene-d10,1.42,1.26,0.22,17.4,0.13,0.18,0.03,1,184.603668
138,10,v21-scene-d10,1.45,1.1,0.22,17.4,0.13,0.18,0.09,1,317.721432
139,10,v21-scene-d10,1.48,1.1,0.28,16.4,0.28,0.18,0.03,1,95.799196
140,10,v21-scene-d10,1.51,1.26,0.28,18.8,0.13,0.18,0.03,1,238.83696
141,10,v21-scene-d10,1.54,1.1,0.22,17.4,0.13,0.18,0.03,1,11.954724
142,10,v21-scene-d10,1.57,1.26,0.22,17.4,0.13,0.18,0.03,1,154.992488
143,10,v21-scene-d10,1.6,1.26,0.22,17.4,0.13,0.18,0.03,1,293.070252
144,10,v21-scene-d10,1.63,1.1,0.22,17.4,0.13,0.18,0.09,1,66.188016
145,10,v21-scene-d10,1.66,1.26,0.28,16.4,0.28,0.18,0.03,1,209.22578
146,10,v21-scene-d10,1.69,1.1,0.28,18.8,0.13,0.18,0.03,1,342.343544
147,10,v21-scene-d10,1.72,1.26,0.22,17.4,0.13,0.18,0.03,1,125.381308
148,10,v21-scene-d10,1.75,1.1,0.22,17.4,0.13,0.18,0.03,1,258.499072
149,10,v21-scene-d10,1.78,1.26,0.22,17.4,0.13,0.18,0.03,1,41.536836
150,11,v21-scene-d11,1.36,1.1,0.28,16.43,0.28,0.18,0.03,1,166.1046
151,11,v21-scene-d11,1.39,1.1,0.28,18.83,0.13,0.18,0.03,1,304.182364
152,11,v21-scene-d11,1.42,1.26,0.22,17.43,0.13,0.18,0.03,1,87.220128
153,11,v21-scene-d11,1.45,1.1,0.22,17.43,0.13,0.18,0.03,1,220.337892
154,11,v21-scene-d11,1.48,1.1,0.22,17.43,0.13,0.18,0.03,1,358.415656
155,11,v21-scene-d11,1.51,1.17,0.22,17.43,0.13,0.03,0.14,1,138.66342
156,11,v21-scene-d11,1.54,1.1,0.28,16.43,0.28,0.18,0.03,1,274.571184
157,11,v21-scene-d11,1.57,1.05,0.24,18.83,0.13,0.14,0.03,1,51.098948
158,11,v21-scene-d11,1.6,1.1,0.22,17.43,0.13,0.18,0.03,0,190.726712
159,11,v21-scene-d11,1.57,1.1,0.22,17.43,0.13,0.18,0.03,1,327.664476
160,11,v21-scene-d11,1.66,1.1,0.22,17.43,0.13,0.18,0.03,1,106.88224
161,11,v21-scene-d11,1.69,1.1,0.22,17.43,0.13,0.18,0.09,1,244.960004
162,11,v21-scene-d11,1.72,1.26,0.28,16.43,0.28,0.18,0.03,1,27.997768
163,11,v21-scene-d11,1.75,1.26,0.28,18.83,0.13,0.18,0.03,1,166.075532
164,11,v21-scene-d11,1.78,1.17,0.22,17.43,0.13,0.03,0.08,1,301.363296
165,12,v21-scene-d12,1.36,1.1,0.22,17.46,0.13,0.18,0.03,1,68.72106
166,12,v21-scene-d12,1.39,1.1,0.22,17.46,0.13,0.18,0.09,1,206.798824
167,12,v21-scene-d12,1.42,1.1,0.28,16.46,0.28,0.18,0.03,1,344.876588
168,12,v21-scene-d12,1.45,1.26,0.28,18.86,0.13,0.18,0.03,1,127.914352
169,12,v21-scene-d12,1.48,1.26,0.22,17.46,0.13,0.18,0.03,1,265.992116
170,12,v21-scene-d12,1.51,1.26,0.22,17.46,0.13,0.18,0.03,1,44.06988
171,12,v21-scene-d12,1.48,1.21,0.18,17.46,0.13,0.14,0.03,1,179.457644
172,12,v21-scene-d12,1.57,1.1,0.22,17.46,0.13,0.18,0.09,1,315.265408
173,12,v21-scene-d12,1.6,1.26,0.28,16.46,0.28,0.18,0.03,1,98.303172
174,12,v21-scene-d12,1.63,1.1,0.28,18.86,0.13,0.18,0.03,1,231.420936
175,12,v21-scene-d12,1.66,1.26,0.22,17.46,0.13,0.18,0.03,1,14.4587
176,12,v21-scene-d12,1.69,1.21,0.18,17.46,0.13,0.14,0.03,1,150.986464
177,12,v21-scene-d12,1.72,1.26,0.22,17.46,0.13,0.18,0.03,1,290.614228
178,12,v21-scene-d12,1.75,1.26,0.22,17.46,0.13,0.18,0.09,1,68.691992
179,12,v21-scene-d12,1.78,1.26,0.28,16.46,0.28,0.18,0.03,1,206.769756
180,13,v21-scene-d13,1.36,1.26,0.22,17.49,0.13,0.18,0.03,1,336.29752
181,13,v21-scene-d13,1.39,1.1,0.22,17.49,0.13,0.18,0.03,1,109.415284
182,13,v21-scene-d13,1.42,1.26,0.22,17.49,0.13,0.18,0.03,1,252.453048
183,13,v21-scene-d13,1.45,1.1,0.22,17.49,0.13,0.18,0.09,1,25.570812
184,13,v21-scene-d13,1.48,1.1,0.28,16.49,0.28,0.18,0.03,1,163.648576
185,13,v21-scene-d13,1.51,1.26,0.28,18.89,0.13,0.18,0.03,1,306.68634
186,13,v21-scene-d13,1.54,1.1,0.22,17.49,0.13,0.18,0.03,1,79.804104
187,13,v21-scene-d13,1.57,1.1,0.22,17.49,0.13,0.18,0.03,1,217.881868
188,13,v21-scene-d13,1.6,1.05,0.18,17.49,0.13,0.14,0.03,1,354.409632
189,13,v21-scene-d13,1.63,1.1,0.22,17.49,0.13,0.18,0.09,0,134.037396
190,13,v21-scene-d13,1.6,1.1,0.28,16.49,0.28,0.18,0.03,1,270.97516
191,13,v21-scene-d13,1.69,1.1,0.28,18.89,0.13,0.18,0.03,1,50.192924
192,13,v21-scene-d13,1.72,1.26,0.22,17.49,0.13,0.18,0.03,1,193.230688
193,13,v21-scene-d13,1.75,1.26,0.22,17.49,0.13,0.18,0.03,1,331.308452
194,13,v21-scene-d13,1.78,1.1,0.22,17.49,0.13,0.18,0.03,1,104.426216
195,14,v21-scene-d14,1.36,1.1,0.28,16.52,0.32,0.18,0.03,1,233.95398
196,14,v21-scene-d14,1.33,1.21,0.24,18.92,0.17,0.14,0.03,1,14.301744
197,14,v21-scene-d14,1.42,1.26,0.22,17.52,0.17,0.18,0.03,1,155.069508
198,14,v21-scene-d14,1.45,1.26,0.22,17.52,0.17,0.18,0.03,1,293.147272
199,14,v21-scene-d14,1.48,1.26,0.22,17.52,0.17,0.18,0.03,1,71.225036
200,14,v21-scene-d14,1.51,1.1,0.22,17.52,0.17,0.18,0.09,1,204.3428
201,14,v21-scene-d14,1.48,1.26,0.28,16.52,0.32,0.18,0.03,1,346.240564
202,14,v21-scene-d14,1.57,1.1,0.28,18.92,0.17,0.18,0.03,1,120.498328
203,14,v21-scene-d14,1.6,1.1,0.22,17.52,0.17,0.18,0.03,1,258.576092
204,14,v21-scene-d14,1.63,1.1,0.22,17.52,0.17,0.18,0.03,1,36.653856
205,14,v21-scene-d14,1.66,1.1,0.22,17.52,0.17,0.18,0.03,1,174.73162
206,14,v21-scene-d14,1.69,1.1,0.22,17.52,0.17,0.18,0.09,1,312.809384
207,14,v21-scene-d14,1.72,1.1,0.28,16.52,0.32,0.18,0.03,1,90.887148
208,14,v21-scene-d14,1.75,1.26,0.28,18.92,0.17,0.18,0.03,1,233.924912
209,14,v21-scene-d14,1.78,1.1,0.22,17.52,0.17,0.18,0.03,1,7.042676
210,15,v21-scene-d15,1.36,1.1,0.22,17.55,0.13,0.18,0.03,1,136.57044
211,15,v21-scene-d15,1.33,1.26,0.22,17.55,0.13,0.18,0.09,1,278.468204
212,15,v21-scene-d15,1.42,1.26,0.28,16.55,0.28,0.18,0.03,1,57.685968
213,15,v21-scene-d15,1.45,1.1,0.28,18.95,0.13,0.18,0.03,1,190.803732
214,15,v21-scene-d15,1.48,1.26,0.22,17.55,0.13,0.18,0.03,1,333.841496
215,15,v21-scene-d15,1.51,1.1,0.22,17.55,0.13,0.18,0.03,1,106.95926
216,15,v21-scene-d15,1.48,1.21,0.18,17.55,0.13,0.14,0.03,1,247.307024
217,15,v21-scene-d15,1.57,1.17,0.22,17.55,0.13,0.03,0.14,1,25.284788
218,15,v21-scene-d15,1.6,1.1,0.28,16.55,0.28,0.18,0.03,1,161.192552
219,15,v21-scene-d15,1.63,1.05,0.24,18.95,0.13,0.14,0.03,1,297.720316
220,15,v21-scene-d15,1.66,1.17,0.22,17.55,0.13,0.03,0.08,0,79.51808
221,15,v21-scene-d15,1.63,1.1,0.22,17.55,0.13,0.18,0.03,1,214.285844
222,15,v21-scene-d15,1.72,1.1,0.22,17.55,0.13,0.18,0.03,1,353.503608
223,15,v21-scene-d15,1.75,1.1,0.22,17.55,0.13,0.18,0.09,1,131.581372
224,15,v21-scene-d15,1.78,1.26,0.28,16.55,0.28,0.18,0.03,1,274.619136
225,16,v21-scene-d16,1.36,1.1,0.22,17.58,0.13,0.18,0.03,1,39.1869
226,16,v21-scene-d16,1.39,1.26,0.22,17.58,0.13,0.18,0.03,1,182.224664
227,16,v21-scene-d16,1.42,1.26,0.22,17.58,0.13,0.18,0.03,1,320.302428
228,16,v21-scene-d16,1.45,1.26,0.22,17.58,0.13,0.18,0.09,1,98.380192
229,16,v21-scene-d16,1.48,1.1,0.28,16.58,0.28,0.18,0.03,1,231.497956
230,16,v21-scene-d16,1.51,1.1,0.28,18.98,0.13,0.18,0.03,1,9.57572
231,16,v21-scene-d16,1.54,1.26,0.22,17.58,0.13,0.18,0.03,1,152.613484
232,16,v21-scene-d16,1.57,1.1,0.22,17.58,0.13,0.18,0.03,1,285.731248
233,16,v21-scene-d16,1.6,1.26,0.22,17.58,0.13,0.18,0.03,1,68.769012
234,16,v21-scene-d16,1.63,1.1,0.22,17.58,0.13,0.18,0.09,1,201.886776
235,16,v21-scene-d16,1.66,1.26,0.28,16.58,0.28,0.18,0.03,1,344.92454
236,16,v21-scene-d16,1.69,1.1,0.28,18.98,0.13,0.18,0.03,1,118.042304
237,16,v21-scene-d16,1.72,1.26,0.22,17.58,0.13,0.18,0.03,1,261.080068
238,16,v21-scene-d16,1.75,1.1,0.22,17.58,0.13,0.18,0.03,1,34.197832
239,16,v21-scene-d16,1.78,1.26,0.22,17.58,0.13,0.18,0.03,1,177.235596
240,17,v21-scene-d17,1.36,1.26,0.28,16.61,0.28,0.18,0.03,1,306.76336
241,17,v21-scene-d17,1.39,1.1,0.28,19.01,0.13,0.18,0.03,1,79.881124
242,17,v21-scene-d17,1.42,1.1,0.22,17.61,0.13,0.18,0.03,1,217.958888
243,17,v21-scene-d17,1.45,1.26,0.22,17.61,0.13,0.18,0.03,1,0.996652
244,17,v21-scene-d17,1.48,1.1,0.22,17.61,0.13,0.18,0.03,1,134.114416
245,17,v21-scene-d17,1.51,1.26,0.22,17.61,0.13,0.18,0.09,1,277.15218
246,17,v21-scene-d17,1.54,1.1,0.28,16.61,0.28,0.18,0.03,1,50.269944
247,17,v21-scene-d17,1.57,1.1,0.28,19.01,0.13,0.18,0.03,1,188.347708
248,17,v21-scene-d17,1.6,1.1,0.22,17.61,0.13,0.18,0.03,1,326.425472
249,17,v21-scene-d17,1.63,1.26,0.22,17.61,0.13,0.18,0.03,1,109.463236
250,17,v21-scene-d17,1.66,1.21,0.18,17.61,0.13,0.14,0.03,1,245.991
251,17,v21-scene-d17,1.69,1.1,0.22,17.61,0.13,0.18,0.09,0,20.658764
252,17,v21-scene-d17,1.66,1.1,0.28,16.61,0.28,0.18,0.03,1,157.596528
253,17,v21-scene-d17,1.75,1.1,0.28,19.01,0.13,0.18,0.03,1,296.814292
254,17,v21-scene-d17,1.78,1.1,0.22,17.61,0.13,0.18,0.03,1,74.892056
255,18,v21-scene-d18,1.36,1.1,0.22,17.64,0.13,0.18,0.03,1,204.41982
256,18,v21-scene-d18,1.33,1.21,0.18,17.64,0.13,0.14,0.09,1,344.767584
257,18,v21-scene-d18,1.42,1.1,0.28,16.64,0.28,0.18,0.03,1,120.575348
258,18,v21-scene-d18,1.45,1.26,0.28,19.04,0.13,0.18,0.03,1,263.613112
259,18,v21-scene-d18,1.48,1.1,0.22,17.64,0.13,0.18,0.03,1,36.730876
260,18,v21-scene-d18,1.51,1.1,0.22,17.64,0.13,0.18,0.03,1,174.80864
261,18,v21-scene-d18,1.48,1.21,0.18,17.64,0.13,0.14,0.03,1,315.156404
262,18,v21-scene-d18,1.57,1.26,0.22,17.64,0.13,0.18,0.09,1,95.924168
263,18,v21-scene-d18,1.6,1.1,0.28,16.64,0.28,0.18,0.03,1,229.041932
264,18,v21-scene-d18,1.63,1.1,0.28,19.04,0.13,0.18,0.03,1,7.119696
265,18,v21-scene-d18,1.66,1.26,0.22,17.64,0.13,0.18,0.03,1,150.15746
266,18,v21-scene-d18,1.69,1.1,0.22,17.64,0.13,0.18,0.03,1,283.275224
267,18,v21-scene-d18,1.72,1.1,0.22,17.64,0.13,0.18,0.03,1,61.352988
268,18,v21-scene-d18,1.75,1.26,0.22,17.64,0.13,0.18,0.09,1,204.390752
269,18,v21-scene-d18,1.78,1.1,0.28,16.64,0.28,0.18,0.03,1,337.508516
270,19,v21-scene-d19,1.36,1.1,0.22,17.67,0.13,0.18,0.03,1,107.03628
271,19,v21-scene-d19,1.39,1.26,0.22,17.67,0.13,0.18,0.03,1,250.074044
272,19,v21-scene-d19,1.42,1.1,0.22,17.67,0.13,0.18,0.03,1,23.191808
273,19,v21-scene-d19,1.45,1.26,0.22,17.67,0.13,0.18,0.09,1,166.229572
274,19,v21-scene-d19,1.48,1.26,0.28,16.67,0.28,0.18,0.03,1,304.307336
275,19,v21-scene-d19,1.51,1.26,0.28,19.07,0.13,0.18,0.03,1,82.3851
276,19,v21-scene-d19,1.54,1.26,0.22,17.67,0.13,0.18,0.03,1,220.462864
277,19,v21-scene-d19,1.57,1.1,0.22,17.67,0.13,0.18,0.03,1,353.580628
278,19,v21-scene-d19,1.6,1.1,0.22,17.67,0.13,0.18,0.03,1,131.658392
279,19,v21-scene-d19,1.63,1.17,0.22,17.67,0.13,0.03,0.14,1,271.906156
280,19,v21-scene-d19,1.66,1.26,0.28,16.67,0.28,0.18,0.03,1,52.77392
281,19,v21-scene-d19,1.69,1.05,0.24,19.07,0.13,0.14,0.03,1,184.341684
282,19,v21-scene-d19,1.72,1.26,0.22,17.67,0.13,0.18,0.03,0,328.929448
283,19,v21-scene-d19,1.69,1.26,0.22,17.67,0.13,0.18,0.03,1,105.867212
284,19,v21-scene-d19,1.78,1.1,0.22,17.67,0.13,0.18,0.03,1,240.124976
285,20,v21-scene-d20,1.36,1.1,0.28,16.7,0.28,0.18,0.03,1,9.65274
286,20,v21-scene-d20,1.39,1.26,0.28,19.1,0.13,0.18,0.03,1,152.690504
287,20,v21-scene-d20,1.42,1.17,0.22,17.7,0.13,0.03,0.08,1,287.978268
