tick,day,slot,selected_tick,selected_resident,event_key,event_kind,previous_event_key,next_event_key,scrubber_position,replay_row_visible,same_loop_reference
126,8,0,126,Nia,v58-loop-event-00126,wait_offscreen,v58-loop-event-00125:interrupt_work,v58-loop-event-00127:repair_trust,0.025005,True,v58_consolidated_playable_consequence_loop
127,8,1,127,Ari,v58-loop-event-00127,repair_trust,v58-loop-event-00126:wait_offscreen,v58-loop-event-00128:move,0.025203,True,v58_consolidated_playable_consequence_loop
128,8,2,128,Fay,v58-loop-event-00128,move,v58-loop-event-00127:repair_trust,v58-loop-event-00129:talk,0.025402,True,v58_consolidated_playable_consequence_loop
129,8,3,129,Milo,v58-loop-event-00129,talk,v58-loop-event-00128:move,v58-loop-event-00130:offer_help,0.0256,True,v58_consolidated_playable_consequence_loop
130,8,4,130,Sera,v58-loop-event-00130,offer_help,v58-loop-event-00129:talk,v58-loop-event-00131:borrow_tool,0.025799,True,v58_consolidated_playable_consequence_loop
131,8,5,131,Tovan,v58-loop-event-00131,borrow_tool,v58-loop-event-00130:offer_help,v58-loop-event-00132:return_tool,0.025997,True,v58_consolidated_playable_consequence_loop
132,8,6,132,Nia,v58-loop-event-00132,return_tool,v58-loop-event-00131:borrow_tool,v58-loop-event-00133:interrupt_work,0.026196,True,v58_consolidated_playable_consequence_loop
133,8,7,133,Ari,v58-loop-event-00133,interrupt_work,v58-loop-event-00132:return_tool,v58-loop-event-00134:wait_offscreen,0.026394,True,v58_consolidated_playable_consequence_loop
134,8,8,134,Fay,v58-loop-event-00134,wait_offscreen,v58-loop-event-00133:interrupt_work,v58-loop-event-00135:repair_trust,0.026593,True,v58_consolidated_playable_consequence_loop
135,8,9,135,Milo,v58-loop-event-00135,repair_trust,v58-loop-event-00134:wait_offscreen,v58-loop-event-00136:move,0.026791,True,v58_consolidated_playable_consequence_loop
136,8,10,136,Sera,v58-loop-event-00136,move,v58-loop-event-00135:repair_trust,v58-loop-event-00137:talk,0.026989,True,v58_consolidated_playable_consequence_loop
137,8,11,137,Tovan,v58-loop-event-00137,talk,v58-loop-event-00136:move,v58-loop-event-00138:offer_help,0.027188,True,v58_consolidated_playable_consequence_loop
138,8,12,138,Nia,v58-loop-event-00138,offer_help,v58-loop-event-00137:talk,v58-loop-event-00139:borrow_tool,0.027386,True,v58_consolidated_playable_consequence_loop
139,8,13,139,Ari,v58-loop-event-00139,borrow_tool,v58-loop-event-00138:offer_help,v58-loop-event-00140:return_tool,0.027585,True,v58_consolidated_playable_consequence_loop
140,8,14,140,Fay,v58-loop-event-00140,return_tool,v58-loop-event-00139:borrow_tool,v58-loop-event-00141:interrupt_work,0.027783,True,v58_consolidated_playable_consequence_loop
141,8,15,141,Milo,v58-loop-event-00141,interrupt_work,v58-loop-event-00140:return_tool,v58-loop-event-00142:wait_offscreen,0.027982,True,v58_consolidated_playable_consequence_loop
142,8,16,142,Sera,v58-loop-event-00142,wait_offscreen,v58-loop-event-00141:interrupt_work,v58-loop-event-00143:repair_trust,0.02818,True,v58_consolidated_playable_consequence_loop
143,8,17,143,Tovan,v58-loop-event-00143,repair_trust,v58-loop-event-00142:wait_offscreen,v58-loop-event-00144:move,0.028379,True,v58_consolidated_playable_consequence_loop
144,9,0,144,Nia,v58-loop-event-00144,talk,v58-loop-event-00143:move,v58-loop-event-00145:offer_help,0.028577,True,v58_consolidated_playable_consequence_loop
145,9,1,145,Ari,v58-loop-event-00145,offer_help,v58-loop-event-00144:talk,v58-loop-event-00146:borrow_tool,0.028776,True,v58_consolidated_playable_consequence_loop
146,9,2,146,Fay,v58-loop-event-00146,borrow_tool,v58-loop-event-00145:offer_help,v58-loop-event-00147:return_tool,0.028974,True,v58_consolidated_playable_consequence_loop
147,9,3,147,Milo,v58-loop-event-00147,return_tool,v58-loop-event-00146:borrow_tool,v58-loop-event-00148:interrupt_work,0.029172,True,v58_consolidated_playable_consequence_loop
148,9,4,148,Sera,v58-loop-event-00148,interrupt_work,v58-loop-event-00147:return_tool,v58-loop-event-00149:wait_offscreen,0.029371,True,v58_consolidated_playable_consequence_loop
149,9,5,149,Tovan,v58-loop-event-00149,wait_offscreen,v58-loop-event-00148:interrupt_work,v58-loop-event-00150:repair_trust,0.029569,True,v58_consolidated_playable_consequence_loop
150,9,6,150,Nia,v58-loop-event-00150,repair_trust,v58-loop-event-00149:wait_offscreen,v58-loop-event-00151:move,0.029768,True,v58_consolidated_playable_consequence_loop
151,9,7,151,Ari,v58-loop-event-00151,move,v58-loop-event-00150:repair_trust,v58-loop-event-00152:talk,0.029966,True,v58_consolidated_playable_consequence_loop
152,9,8,152,Fay,v58-loop-event-00152,talk,v58-loop-event-00151:move,v58-loop-event-00153:offer_help,0.030165,True,v58_consolidated_playable_consequence_loop
153,9,9,153,Milo,v58-loop-event-00153,offer_help,v58-loop-event-00152:talk,v58-loop-event-00154:borrow_tool,0.030363,True,v58_consolidated_playable_consequence_loop
154,9,10,154,Sera,v58-loop-event-00154,borrow_tool,v58-loop-event-00153:offer_help,v58-loop-event-00155:return_tool,0.030562,True,v58_consolidated_playable_consequence_loop
155,9,11,155,Tovan,v58-loop-event-00155,return_tool,v58-loop-event-00154:borrow_tool,v58-loop-event-00156:interrupt_work,0.03076,True,v58_consolidated_playable_consequence_loop
156,9,12,156,Nia,v58-loop-event-00156,interrupt_work,v58-loop-event-00155:return_tool,v58-loop-event-00157:wait_offscreen,0.030959,True,v58_consolidated_playable_consequence_loop
157,9,13,157,Ari,v58-loop-event-00157,wait_offscreen,v58-loop-event-00156:interrupt_work,v58-loop-event-00158:repair_trust,0.031157,True,v58_consolidated_playable_consequence_loop
158,9,14,158,Fay,v58-loop-event-00158,repair_trust,v58-loop-event-00157:wait_offscreen,v58-loop-event-00159:move,0.031355,True,v58_consolidated_playable_consequence_loop
159,9,15,159,Milo,v58-loop-event-00159,move,v58-loop-event-00158:repair_trust,v58-loop-event-00160:talk,0.031554,True,v58_consolidated_playable_consequence_loop
