tick,day,scene_id,agent,reaction_label,trust_in_avatar,guardedness,curiosity,boundary_pressure,body_marker,behavior_bound_to_reaction,reaction_persisted,private_workspace_sealed,reaction_state_score
147,10,v22-scene-d10,Keth,approaches,1.0,0.448,1.0,0.18,walks closer,1,1,1,1.0
148,10,v22-scene-d10,Keth,approaches,1.0,0.448,1.0,0.18,walks closer,1,1,1,1.0
149,10,v22-scene-d10,Keth,approaches,1.0,0.448,1.0,0.18,walks closer,1,1,1,1.0
150,10,v22-scene-d10,Keth,softens,1.0,0.434,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
151,10,v22-scene-d10,Keth,curious,1.0,0.434,1.0,0.18,leans toward object,1,1,1,1.0
152,10,v22-scene-d10,Keth,softens,1.0,0.42,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
153,10,v22-scene-d10,Keth,softens,1.0,0.406,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
154,10,v22-scene-d10,Keth,curious,1.0,0.406,1.0,0.18,leans toward object,1,1,1,1.0
155,10,v22-scene-d10,Keth,approaches,1.0,0.406,1.0,0.18,walks closer,1,1,1,1.0
156,10,v22-scene-d10,Keth,curious,1.0,0.406,1.0,0.18,leans toward object,1,1,1,1.0
157,10,v22-scene-d10,Keth,approaches,1.0,0.406,1.0,0.18,walks closer,1,1,1,1.0
158,10,v22-scene-d10,Keth,approaches,1.0,0.406,1.0,0.18,walks closer,1,1,1,1.0
159,10,v22-scene-d10,Keth,approaches,1.0,0.406,1.0,0.18,walks closer,1,1,1,1.0
160,11,v22-scene-d11,Keth,approaches,1.0,0.406,1.0,0.18,walks closer,1,1,1,1.0
161,11,v22-scene-d11,Keth,approaches,1.0,0.406,1.0,0.18,walks closer,1,1,1,1.0
162,11,v22-scene-d11,Keth,softens,1.0,0.392,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
163,11,v22-scene-d11,Keth,curious,1.0,0.392,1.0,0.18,leans toward object,1,1,1,1.0
164,11,v22-scene-d11,Keth,approaches,1.0,0.392,1.0,0.18,walks closer,1,1,1,1.0
165,11,v22-scene-d11,Keth,approaches,0.976,0.422,1.0,0.4,walks closer,1,1,1,1.0
166,11,v22-scene-d11,Keth,softens,0.994,0.408,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
167,11,v22-scene-d11,Keth,curious,1.0,0.408,1.0,0.18,leans toward object,1,1,1,1.0
168,11,v22-scene-d11,Keth,curious,0.976,0.438,1.0,0.4,leans toward object,1,1,1,1.0
169,11,v22-scene-d11,Keth,approaches,0.976,0.438,1.0,0.18,walks closer,1,1,1,1.0
170,11,v22-scene-d11,Keth,approaches,0.976,0.438,1.0,0.18,walks closer,1,1,1,1.0
171,11,v22-scene-d11,Keth,curious,0.986,0.438,1.0,0.18,leans toward object,1,1,1,1.0
172,11,v22-scene-d11,Keth,approaches,1.0,0.438,1.0,0.18,walks closer,1,1,1,1.0
173,11,v22-scene-d11,Keth,approaches,1.0,0.438,1.0,0.18,walks closer,1,1,1,1.0
174,11,v22-scene-d11,Keth,softens,1.0,0.424,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
175,11,v22-scene-d11,Keth,approaches,1.0,0.424,1.0,0.18,walks closer,1,1,1,1.0
176,12,v22-scene-d12,Keth,approaches,1.0,0.424,1.0,0.18,walks closer,1,1,1,1.0
177,12,v22-scene-d12,Keth,softens,1.0,0.41,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
178,12,v22-scene-d12,Keth,approaches,1.0,0.41,1.0,0.18,walks closer,1,1,1,1.0
179,12,v22-scene-d12,Keth,curious,1.0,0.41,1.0,0.18,leans toward object,1,1,1,1.0
180,12,v22-scene-d12,Keth,softens,1.0,0.396,1.0,0.18,faces avatar with lowered shoulders,1,0,1,0.8
181,12,v22-scene-d12,Keth,curious,1.0,0.396,1.0,0.18,leans toward object,1,1,1,1.0
182,12,v22-scene-d12,Keth,approaches,1.0,0.396,1.0,0.18,walks closer,1,1,1,1.0
183,12,v22-scene-d12,Keth,softens,1.0,0.382,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
184,12,v22-scene-d12,Keth,curious,1.0,0.382,1.0,0.18,leans toward object,1,1,1,1.0
185,12,v22-scene-d12,Keth,softens,1.0,0.368,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
186,12,v22-scene-d12,Keth,curious,1.0,0.368,1.0,0.18,leans toward object,1,1,1,1.0
187,12,v22-scene-d12,Keth,softens,1.0,0.354,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
188,12,v22-scene-d12,Keth,curious,1.0,0.354,1.0,0.18,leans toward object,1,1,1,1.0
189,12,v22-scene-d12,Keth,softens,1.0,0.34,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
190,12,v22-scene-d12,Keth,approaches,0.976,0.37,1.0,0.4,walks closer,1,1,1,1.0
191,12,v22-scene-d12,Keth,approaches,0.976,0.37,1.0,0.18,walks closer,1,1,1,1.0
192,13,v22-scene-d13,Keth,softens,0.994,0.356,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
193,13,v22-scene-d13,Keth,curious,1.0,0.356,1.0,0.18,leans toward object,1,1,1,1.0
194,13,v22-scene-d13,Keth,curious,1.0,0.356,1.0,0.18,leans toward object,1,1,1,1.0
195,13,v22-scene-d13,Keth,softens,1.0,0.342,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
196,13,v22-scene-d13,Keth,softens,1.0,0.328,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
197,13,v22-scene-d13,Keth,softens,1.0,0.314,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
198,13,v22-scene-d13,Keth,softens,1.0,0.3,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
199,13,v22-scene-d13,Keth,curious,1.0,0.3,1.0,0.18,leans toward object,1,1,1,1.0
200,13,v22-scene-d13,Keth,curious,1.0,0.3,1.0,0.18,leans toward object,1,1,1,1.0
201,13,v22-scene-d13,Keth,softens,1.0,0.286,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
202,13,v22-scene-d13,Keth,curious,1.0,0.286,1.0,0.18,leans toward object,1,1,1,1.0
203,13,v22-scene-d13,Keth,curious,1.0,0.286,1.0,0.18,leans toward object,1,1,1,1.0
204,13,v22-scene-d13,Keth,approaches,1.0,0.286,1.0,0.18,walks closer,1,1,1,1.0
205,13,v22-scene-d13,Keth,curious,1.0,0.286,1.0,0.18,leans toward object,1,1,1,1.0
206,13,v22-scene-d13,Keth,curious,1.0,0.286,1.0,0.18,leans toward object,1,1,1,1.0
207,13,v22-scene-d13,Keth,softens,1.0,0.272,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
208,14,v22-scene-d14,Keth,curious,1.0,0.272,1.0,0.18,leans toward object,1,1,1,1.0
209,14,v22-scene-d14,Keth,curious,1.0,0.272,1.0,0.18,leans toward object,1,1,1,1.0
210,14,v22-scene-d14,Keth,curious,1.0,0.272,1.0,0.18,leans toward object,1,1,1,1.0
211,14,v22-scene-d14,Keth,curious,1.0,0.272,1.0,0.18,leans toward object,1,1,1,1.0
212,14,v22-scene-d14,Keth,curious,1.0,0.272,1.0,0.18,leans toward object,1,1,1,1.0
213,14,v22-scene-d14,Keth,softens,1.0,0.258,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
214,14,v22-scene-d14,Keth,curious,1.0,0.258,1.0,0.18,leans toward object,1,1,1,1.0
215,14,v22-scene-d14,Keth,curious,1.0,0.258,1.0,0.18,leans toward object,1,1,1,1.0
216,14,v22-scene-d14,Keth,curious,1.0,0.258,1.0,0.18,leans toward object,1,1,1,1.0
217,14,v22-scene-d14,Keth,curious,1.0,0.258,1.0,0.18,leans toward object,1,1,1,1.0
218,14,v22-scene-d14,Keth,curious,1.0,0.258,1.0,0.18,leans toward object,1,1,1,1.0
219,14,v22-scene-d14,Keth,curious,1.0,0.258,1.0,0.18,leans toward object,1,1,1,1.0
220,14,v22-scene-d14,Keth,curious,1.0,0.258,1.0,0.18,leans toward object,1,1,1,1.0
221,14,v22-scene-d14,Keth,approaches,1.0,0.258,1.0,0.18,walks closer,1,0,1,0.8
222,14,v22-scene-d14,Keth,curious,1.0,0.258,1.0,0.18,leans toward object,1,1,1,1.0
223,14,v22-scene-d14,Keth,softens,1.0,0.244,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
224,15,v22-scene-d15,Keth,curious,1.0,0.244,1.0,0.18,leans toward object,1,1,1,1.0
225,15,v22-scene-d15,Keth,curious,1.0,0.244,1.0,0.18,leans toward object,1,1,1,1.0
226,15,v22-scene-d15,Keth,curious,0.976,0.274,1.0,0.4,leans toward object,1,1,1,1.0
227,15,v22-scene-d15,Keth,curious,0.976,0.274,1.0,0.18,leans toward object,1,1,1,1.0
228,15,v22-scene-d15,Keth,curious,0.976,0.274,1.0,0.18,leans toward object,1,1,1,1.0
229,15,v22-scene-d15,Keth,curious,0.976,0.274,1.0,0.18,leans toward object,1,1,1,1.0
230,15,v22-scene-d15,Keth,softens,0.986,0.26,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
231,15,v22-scene-d15,Keth,curious,0.996,0.26,1.0,0.18,leans toward object,1,1,1,1.0
232,15,v22-scene-d15,Keth,softens,1.0,0.246,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
233,15,v22-scene-d15,Keth,curious,1.0,0.246,1.0,0.18,leans toward object,1,1,1,1.0
234,15,v22-scene-d15,Keth,softens,1.0,0.232,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
235,15,v22-scene-d15,Keth,approaches,1.0,0.232,1.0,0.18,walks closer,1,1,1,1.0
236,15,v22-scene-d15,Keth,curious,1.0,0.232,1.0,0.18,leans toward object,1,1,1,1.0
237,15,v22-scene-d15,Keth,curious,0.976,0.262,1.0,0.4,leans toward object,1,1,1,1.0
238,15,v22-scene-d15,Keth,softens,1.0,0.248,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
239,15,v22-scene-d15,Sova,softens,0.654,0.278,0.504,0.18,faces avatar with lowered shoulders,1,1,1,1.0
240,16,v22-scene-d16,Sova,softens,0.672,0.264,0.504,0.18,faces avatar with lowered shoulders,1,1,1,1.0
241,16,v22-scene-d16,Keth,curious,1.0,0.248,1.0,0.18,leans toward object,1,1,1,1.0
242,16,v22-scene-d16,Keth,softens,1.0,0.234,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
243,16,v22-scene-d16,Keth,softens,1.0,0.22,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
244,16,v22-scene-d16,Keth,softens,1.0,0.206,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
245,16,v22-scene-d16,Keth,curious,0.976,0.236,1.0,0.4,leans toward object,1,1,1,1.0
246,16,v22-scene-d16,Keth,softens,1.0,0.222,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
247,16,v22-scene-d16,Keth,softens,1.0,0.208,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
248,16,v22-scene-d16,Keth,softens,1.0,0.194,1.0,0.18,faces avatar with lowered shoulders,1,1,1,1.0
249,16,v22-scene-d16,Keth,curious,1.0,0.194,1.0,0.18,leans toward object,1,1,1,1.0
250,16,v22-scene-d16,Sova,approaches,0.682,0.264,0.522,0.18,walks closer,1,1,1,1.0
251,16,v22-scene-d16,Sova,approaches,0.692,0.264,0.54,0.18,walks closer,1,1,1,1.0
