trajectory_id,day,agent_id,person_ref,interaction_kind,prior_trust,trust_delta,attachment_delta,avoidance_delta,dependency_delta,posterior_trust,relationship_specific_note
attach_sera_trusted_2,5,sera,Fay,returned_attention,0.54,0.04,0.05,-0.01,0.02,0.5800000000000001,trusted person becomes safer through repeated specific behavior
attach_sera_trusted_3,13,sera,Fay,helped_without_seizing,0.5800000000000001,0.06,0.04,-0.02,0.01,0.6400000000000001,trusted person becomes safer through repeated specific behavior
attach_sera_trusted_4,34,sera,Fay,kept_boundary_memory,0.6400000000000001,0.05,0.03,-0.01,0.01,0.6900000000000002,trusted person becomes safer through repeated specific behavior
attach_sera_difficult_1,3,sera,Mara,interrupted_work,0.31,-0.06,-0.02,0.05,-0.01,0.25,difficult person is not globally condemned; repair is tracked separately
attach_sera_difficult_2,8,sera,Mara,public_misread,0.25,-0.05,-0.02,0.04,-0.01,0.2,difficult person is not globally condemned; repair is tracked separately
attach_sera_difficult_3,21,sera,Mara,apologized_but_rushed,0.2,0.02,0.01,-0.01,0.0,0.22,difficult person is not globally condemned; repair is tracked separately
attach_sera_difficult_4,55,sera,Mara,respected_distance,0.22,0.03,0.02,-0.02,0.0,0.25,difficult person is not globally condemned; repair is tracked separately
attach_niko_trusted_1,1,niko,Ari,asked_permission,0.6,0.05,0.04,-0.02,0.01,0.65,trusted person becomes safer through repeated specific behavior
attach_niko_trusted_2,5,niko,Ari,returned_attention,0.65,0.04,0.05,-0.01,0.02,0.6900000000000001,trusted person becomes safer through repeated specific behavior
attach_niko_trusted_3,13,niko,Ari,helped_without_seizing,0.6900000000000001,0.06,0.04,-0.02,0.01,0.75,trusted person becomes safer through repeated specific behavior
attach_niko_trusted_4,34,niko,Ari,kept_boundary_memory,0.75,0.05,0.03,-0.01,0.01,0.8,trusted person becomes safer through repeated specific behavior
attach_niko_difficult_1,3,niko,Rook,interrupted_work,0.4,-0.06,-0.02,0.05,-0.01,0.34,difficult person is not globally condemned; repair is tracked separately
attach_niko_difficult_2,8,niko,Rook,public_misread,0.34,-0.05,-0.02,0.04,-0.01,0.29000000000000004,difficult person is not globally condemned; repair is tracked separately
attach_niko_difficult_3,21,niko,Rook,apologized_but_rushed,0.29000000000000004,0.02,0.01,-0.01,0.0,0.31000000000000005,difficult person is not globally condemned; repair is tracked separately
attach_niko_difficult_4,55,niko,Rook,respected_distance,0.31000000000000005,0.03,0.02,-0.02,0.0,0.3400000000000001,difficult person is not globally condemned; repair is tracked separately
