tick_id,day,agent_id,owned_object,avatar_event,ownership_appraisal,memory_episode_public,trust_delta,respect_delta,resentment_delta,gratitude_delta,memory_written,recall_key
81,7,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:81
83,7,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:83
84,8,Ari,cedar repair kit,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:84
86,8,Nia,signal spool,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:86
88,8,Ivo,seed satchel,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:88
91,8,Fay,herb ledger,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:91
93,8,Milo,oil lantern,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:93
95,8,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:95
96,9,Ari,cedar repair kit,give_space,repairs or protects self-boundary,Avatar event `give_space` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:96
98,9,Nia,signal spool,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:98
100,9,Ivo,seed satchel,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:100
101,9,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:101
103,9,Fay,herb ledger,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:103
105,9,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:105
107,9,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:107
108,10,Fay,herb ledger,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:108
110,10,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:110
111,10,Ivo,seed satchel,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:111
112,10,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:112
115,10,Nia,signal spool,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:115
117,10,Ivo,seed satchel,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near seed satchel: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ivo:117
119,10,Ari,cedar repair kit,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:119
120,11,Fay,herb ledger,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:120
122,11,Milo,oil lantern,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:122
124,11,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:124
127,11,Nia,signal spool,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:127
128,11,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:128
129,11,Ivo,seed satchel,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:129
131,11,Ari,cedar repair kit,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:131
132,12,Fay,herb ledger,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:132
133,12,Nia,signal spool,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:133
134,12,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:134
136,12,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:136
139,12,Nia,signal spool,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:139
141,12,Ivo,seed satchel,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:141
143,12,Ari,cedar repair kit,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:143
144,13,Fay,herb ledger,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:144
146,13,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:146
148,13,Juno,copper wire,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:148
150,13,Fay,herb ledger,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:150
151,13,Nia,signal spool,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:151
153,13,Ivo,seed satchel,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:153
155,13,Ari,cedar repair kit,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:155
156,14,Fay,herb ledger,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:156
158,14,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:158
160,14,Juno,copper wire,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near copper wire: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Juno:160
161,14,Ari,cedar repair kit,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near cedar repair kit: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Ari:161
163,14,Nia,signal spool,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:163
165,14,Ivo,seed satchel,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:165
167,14,Ari,cedar repair kit,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:167
168,15,Fay,herb ledger,misname_agent,crosses self-boundary without enough respect,Avatar event `misname_agent` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:168
170,15,Milo,oil lantern,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:170
172,15,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:172
175,15,Nia,signal spool,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:175
177,15,Ivo,seed satchel,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:177
179,15,Ari,cedar repair kit,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near cedar repair kit: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ari:179
180,16,Fay,herb ledger,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:180
182,16,Milo,oil lantern,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:182
184,16,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:184
187,16,Nia,signal spool,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near signal spool: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Nia:187
189,16,Ivo,seed satchel,give_space,repairs or protects self-boundary,Avatar event `give_space` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:189
190,16,Juno,copper wire,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near copper wire: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Juno:190
191,16,Ari,cedar repair kit,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:191
192,17,Fay,herb ledger,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:192
194,17,Milo,oil lantern,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:194
195,17,Ivo,seed satchel,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near seed satchel: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ivo:195
196,17,Juno,copper wire,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near copper wire: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Juno:196
199,17,Nia,signal spool,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near signal spool: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Nia:199
201,17,Ivo,seed satchel,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:201
203,17,Ari,cedar repair kit,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:203
204,18,Fay,herb ledger,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near herb ledger: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Fay:204
206,18,Milo,oil lantern,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near oil lantern: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Milo:206
208,18,Juno,copper wire,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near copper wire: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Juno:208
211,18,Nia,signal spool,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:211
212,18,Milo,oil lantern,give_space,repairs or protects self-boundary,Avatar event `give_space` near oil lantern: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Milo:212
213,18,Ivo,seed satchel,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:213
215,18,Ari,cedar repair kit,give_space,repairs or protects self-boundary,Avatar event `give_space` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:215
216,19,Fay,herb ledger,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near herb ledger: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Fay:216
217,19,Nia,signal spool,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:217
218,19,Milo,oil lantern,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near oil lantern: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Milo:218
220,19,Juno,copper wire,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near copper wire: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Juno:220
223,19,Nia,signal spool,offer_care,repairs or protects self-boundary,Avatar event `offer_care` near signal spool: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Nia:223
225,19,Ivo,seed satchel,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:225
227,19,Ari,cedar repair kit,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near cedar repair kit: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ari:227
228,20,Nia,signal spool,request_owned_object,asks before crossing ownership boundary,Avatar event `request_owned_object` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:228
230,20,Ivo,seed satchel,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near seed satchel: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ivo:230
232,20,Ari,cedar repair kit,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:232
233,20,Fay,herb ledger,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:233
235,20,Milo,oil lantern,protect_object,repairs or protects self-boundary,Avatar event `protect_object` near oil lantern: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Milo:235
237,20,Juno,copper wire,move_owned_object,crosses self-boundary without enough respect,Avatar event `move_owned_object` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:237
239,20,Fay,herb ledger,ask_status,neutral request with low boundary pressure,Avatar event `ask_status` near herb ledger: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Fay:239
240,21,Nia,signal spool,ask_permission,asks before crossing ownership boundary,Avatar event `ask_permission` near signal spool: asks before crossing ownership boundary.,0.03,0.035,-0.01,0.025,True,ownership:Nia:240
242,21,Ivo,seed satchel,offer_apology,repairs or protects self-boundary,Avatar event `offer_apology` near seed satchel: repairs or protects self-boundary.,0.05,0.06,-0.04,0.065,True,ownership:Ivo:242
244,21,Ari,cedar repair kit,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near cedar repair kit: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Ari:244
247,21,Milo,oil lantern,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near oil lantern: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Milo:247
249,21,Juno,copper wire,interrupt_task,crosses self-boundary without enough respect,Avatar event `interrupt_task` near copper wire: crosses self-boundary without enough respect.,-0.05,-0.065,0.07,-0.02,True,ownership:Juno:249
250,21,Ari,cedar repair kit,ask_help,neutral request with low boundary pressure,Avatar event `ask_help` near cedar repair kit: neutral request with low boundary pressure.,0.015,0.012,0.0,0.01,True,ownership:Ari:250
