loop_id,tick_index,phase,tick_spec_id,motion_id,conversation_id,storage_snapshot_id,replay_download_id,schedule_tick_id,sensory_tick_id,loop_state,note
loop_033,33,hexad,rt_033,motion_033,conv_033,store_033,download_033,sched_033,sense_033,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_034,34,flower,rt_034,motion_034,conv_034,store_034,download_034,sched_034,sense_034,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_035,35,fruit,rt_035,motion_035,conv_035,store_035,download_035,sched_035,sense_035,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_036,36,return,rt_036,motion_036,conv_036,store_036,download_036,sched_036,sense_036,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_037,37,seed,rt_037,motion_037,conv_037,store_037,download_037,sched_037,sense_037,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_038,38,vesica,rt_038,motion_038,conv_038,store_038,download_038,sched_038,sense_038,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_039,39,triad,rt_039,motion_039,conv_039,store_039,download_039,sched_039,sense_039,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_040,40,square,rt_040,motion_040,conv_040,store_040,download_040,sched_040,sense_040,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_041,41,pentad,rt_041,motion_041,conv_041,store_041,download_041,sched_041,sense_041,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_042,42,hexad,rt_042,motion_042,conv_042,store_042,download_042,sched_042,sense_042,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_043,43,flower,rt_043,motion_043,conv_043,store_043,download_043,sched_043,sense_043,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_044,44,fruit,rt_044,motion_044,conv_044,store_044,download_044,sched_044,sense_044,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_045,45,return,rt_045,motion_045,conv_045,store_045,download_045,sched_045,sense_045,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_046,46,seed,rt_046,motion_046,conv_046,store_046,download_046,sched_046,sense_046,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_047,47,vesica,rt_047,motion_047,conv_047,store_047,download_047,sched_047,sense_047,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_048,48,triad,rt_048,motion_048,conv_048,store_048,download_048,sched_048,sense_048,paused,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_049,49,square,rt_049,motion_049,conv_049,store_049,download_049,sched_049,sense_049,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_050,50,pentad,rt_050,motion_050,conv_050,store_050,download_050,sched_050,sense_050,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_051,51,hexad,rt_051,motion_051,conv_051,store_051,download_051,sched_051,sense_051,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_052,52,flower,rt_052,motion_052,conv_052,store_052,download_052,sched_052,sense_052,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_053,53,fruit,rt_053,motion_053,conv_053,store_053,download_053,sched_053,sense_053,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_054,54,return,rt_054,motion_054,conv_054,store_054,download_054,sched_054,sense_054,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_055,55,seed,rt_055,motion_055,conv_055,store_055,download_055,sched_055,sense_055,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_056,56,vesica,rt_056,motion_056,conv_056,store_056,download_056,sched_056,sense_056,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_057,57,triad,rt_057,motion_057,conv_057,store_057,download_057,sched_057,sense_057,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_058,58,square,rt_058,motion_058,conv_058,store_058,download_058,sched_058,sense_058,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_059,59,pentad,rt_059,motion_059,conv_059,store_059,download_059,sched_059,sense_059,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_060,60,hexad,rt_060,motion_060,conv_060,store_060,download_060,sched_060,sense_060,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_061,61,flower,rt_061,motion_061,conv_061,store_061,download_061,sched_061,sense_061,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_062,62,fruit,rt_062,motion_062,conv_062,store_062,download_062,sched_062,sense_062,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_063,63,return,rt_063,motion_063,conv_063,store_063,download_063,sched_063,sense_063,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_064,64,seed,rt_064,motion_064,conv_064,store_064,download_064,sched_064,sense_064,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_065,65,vesica,rt_065,motion_065,conv_065,store_065,download_065,sched_065,sense_065,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_066,66,triad,rt_066,motion_066,conv_066,store_066,download_066,sched_066,sense_066,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_067,67,square,rt_067,motion_067,conv_067,store_067,download_067,sched_067,sense_067,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_068,68,pentad,rt_068,motion_068,conv_068,store_068,download_068,sched_068,sense_068,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_069,69,hexad,rt_069,motion_069,conv_069,store_069,download_069,sched_069,sense_069,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_070,70,flower,rt_070,motion_070,conv_070,store_070,download_070,sched_070,sense_070,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_071,71,fruit,rt_071,motion_071,conv_071,store_071,download_071,sched_071,sense_071,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
loop_072,72,return,rt_072,motion_072,conv_072,store_072,download_072,sched_072,sense_072,running,"real-time tick binds avatar motion, typed conversation, storage, replay, schedule, goal, and sensory/body state"
