tick_id,day,task_group_id,route_id,companion_route_id,avatar_task,companion_task,simultaneous,resource_conflict,fatigue_cost,recovery_delta,conflict_visible,resolution
17,2,group:2:2:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.0,True,parallel task
18,2,group:2:3:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
19,2,group:2:4:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
20,2,group:2:5:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
21,2,group:2:6:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
22,2,group:2:7:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
23,2,group:2:8:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
24,2,group:2:9:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
25,2,group:2:10:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
26,2,group:2:11:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
27,2,group:2:12:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
28,2,group:2:13:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
29,2,group:2:14:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
30,3,group:3:0:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
31,3,group:3:1:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
32,3,group:3:2:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
33,3,group:3:3:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
34,3,group:3:4:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
35,3,group:3:5:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
36,3,group:3:6:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
37,3,group:3:7:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
38,3,group:3:8:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
39,3,group:3:9:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
40,3,group:3:10:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
41,3,group:3:11:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
42,3,group:3:12:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
43,3,group:3:13:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
44,3,group:3:14:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
45,4,group:4:0:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
46,4,group:4:1:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
47,4,group:4:2:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
48,4,group:4:3:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
49,4,group:4:4:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
50,4,group:4:5:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
51,4,group:4:6:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
52,4,group:4:7:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
53,4,group:4:8:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
54,4,group:4:9:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
55,4,group:4:10:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
56,4,group:4:11:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
57,4,group:4:12:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
58,4,group:4:13:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
59,4,group:4:14:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
60,5,group:5:0:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
61,5,group:5:1:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
62,5,group:5:2:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
63,5,group:5:3:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
64,5,group:5:4:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
65,5,group:5:5:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
66,5,group:5:6:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
67,5,group:5:7:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
68,5,group:5:8:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
69,5,group:5:9:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
70,5,group:5:10:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
71,5,group:5:11:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
72,5,group:5:12:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
73,5,group:5:13:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
74,5,group:5:14:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
75,6,group:6:0:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
76,6,group:6:1:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
77,6,group:6:2:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
78,6,group:6:3:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
79,6,group:6:4:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
80,6,group:6:5:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
81,6,group:6:6:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
82,6,group:6:7:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
83,6,group:6:8:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
84,6,group:6:9:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
85,6,group:6:10:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.0,True,parallel task
86,6,group:6:11:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
87,6,group:6:12:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
88,6,group:6:13:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
89,6,group:6:14:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
90,7,group:7:0:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
91,7,group:7:1:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
92,7,group:7:2:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
93,7,group:7:3:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
94,7,group:7:4:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
95,7,group:7:5:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,False,parallel task
96,7,group:7:6:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
97,7,group:7:7:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
98,7,group:7:8:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
99,7,group:7:9:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
100,7,group:7:10:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
101,7,group:7:11:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
102,7,group:7:12:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
103,7,group:7:13:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
104,7,group:7:14:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
105,8,group:8:0:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
106,8,group:8:1:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
107,8,group:8:2:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
108,8,group:8:3:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
109,8,group:8:4:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
110,8,group:8:5:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
111,8,group:8:6:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
112,8,group:8:7:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
113,8,group:8:8:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
114,8,group:8:9:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
115,8,group:8:10:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
116,8,group:8:11:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
117,8,group:8:12:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
118,8,group:8:13:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
119,8,group:8:14:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.0,True,parallel task
120,9,group:9:0:1,roofward_archive,signal_orchard,split cargo,hold spare route,True,True,0.056,0.03,True,split task
121,9,group:9:1:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
122,9,group:9:2:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
123,9,group:9:3:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
124,9,group:9:4:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
125,9,group:9:5:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
126,9,group:9:6:1,roofward_archive,signal_orchard,split cargo,hold spare route,True,True,0.056,0.03,True,split task
127,9,group:9:7:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
128,9,group:9:8:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
129,9,group:9:9:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
130,9,group:9:10:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
131,9,group:9:11:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
132,9,group:9:12:1,roofward_archive,signal_orchard,split cargo,hold spare route,True,True,0.056,0.03,True,split task
133,9,group:9:13:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,False,parallel task
134,9,group:9:14:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
135,10,group:10:0:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
136,10,group:10:1:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
137,10,group:10:2:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
138,10,group:10:3:2,archive_signal,signal_orchard,split cargo,hold spare route,True,True,0.056,0.03,True,split task
139,10,group:10:4:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
140,10,group:10:5:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
141,10,group:10:6:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
142,10,group:10:7:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
143,10,group:10:8:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
144,10,group:10:9:2,archive_signal,signal_orchard,split cargo,hold spare route,True,True,0.056,0.03,True,split task
145,10,group:10:10:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
146,10,group:10:11:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
147,10,group:10:12:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
148,10,group:10:13:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
149,10,group:10:14:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
150,11,group:11:0:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
151,11,group:11:1:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
152,11,group:11:2:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.046,False,parallel task
153,11,group:11:3:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
154,11,group:11:4:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
155,11,group:11:5:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
156,11,group:11:6:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
157,11,group:11:7:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
158,11,group:11:8:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
159,11,group:11:9:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
160,11,group:11:10:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
161,11,group:11:11:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
162,11,group:11:12:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
163,11,group:11:13:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
164,11,group:11:14:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
165,12,group:12:0:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
166,12,group:12:1:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
167,12,group:12:2:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
168,12,group:12:3:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
169,12,group:12:4:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
170,12,group:12:5:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.0,True,parallel task
171,12,group:12:6:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
172,12,group:12:7:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
173,12,group:12:8:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
174,12,group:12:9:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
175,12,group:12:10:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
176,12,group:12:11:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
177,12,group:12:12:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
178,12,group:12:13:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
179,12,group:12:14:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
180,13,group:13:0:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
181,13,group:13:1:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
182,13,group:13:2:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
183,13,group:13:3:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
184,13,group:13:4:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
185,13,group:13:5:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
186,13,group:13:6:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
187,13,group:13:7:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
188,13,group:13:8:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
189,13,group:13:9:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
190,13,group:13:10:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,False,parallel task
191,13,group:13:11:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
192,13,group:13:12:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
193,13,group:13:13:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
194,13,group:13:14:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
195,14,group:14:0:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
196,14,group:14:1:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
197,14,group:14:2:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
198,14,group:14:3:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
199,14,group:14:4:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
200,14,group:14:5:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
201,14,group:14:6:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
202,14,group:14:7:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
203,14,group:14:8:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
204,14,group:14:9:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
205,14,group:14:10:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
206,14,group:14:11:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
207,14,group:14:12:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
208,14,group:14:13:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
209,14,group:14:14:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
210,15,group:15:0:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
211,15,group:15:1:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
212,15,group:15:2:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
213,15,group:15:3:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
214,15,group:15:4:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
215,15,group:15:5:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
216,15,group:15:6:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
217,15,group:15:7:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
218,15,group:15:8:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
219,15,group:15:9:0,riverbend_roofward,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
220,15,group:15:10:1,roofward_archive,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
221,15,group:15:11:2,archive_signal,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
222,15,group:15:12:3,signal_orchard,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
223,15,group:15:13:4,orchard_riverbend,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
224,15,group:15:14:5,central_repair_ring,roofward_archive,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
225,16,group:16:0:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
226,16,group:16:1:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
227,16,group:16:2:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
228,16,group:16:3:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
229,16,group:16:4:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
230,16,group:16:5:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
231,16,group:16:6:0,riverbend_roofward,roofward_archive,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
232,16,group:16:7:1,roofward_archive,archive_signal,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
233,16,group:16:8:2,archive_signal,signal_orchard,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
234,16,group:16:9:3,signal_orchard,orchard_riverbend,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
235,16,group:16:10:4,orchard_riverbend,central_repair_ring,lead caravan task,parallel delivery,True,False,0.042,0.046,True,parallel task
236,16,group:16:11:5,central_repair_ring,riverbend_roofward,lead caravan task,parallel delivery,False,False,0.0,0.0,True,none
