tick_id,day,settlement_id,resident_id,resident_goal,goal_priority,goal_pressure_before,goal_pressure_after,avatar_visible,resident_goal_owned,private_workspace_sealed,visible_goal_marker,frequency_hz,flower_phase
27,2,lichen_bridge,Luma,prepare shared bowl,0.4525,0.351,0.36005,True,True,True,Luma:prepare shared bowl,8.123535,0.157929
28,2,orchid_engine,Dax,listen to valve pulse,0.485,0.3484,0.3581,True,True,True,Dax:listen to valve pulse,10.46667,0.185095
29,2,moss_ward,Tala,repair blanket loom,0.5175,0.34905,0.3594,True,True,True,Tala:repair blanket loom,5.828485,0.143262
30,2,glass_harbor,Nia,seal fog catcher,0.55,0.3397,0.3407,True,True,True,Nia:seal fog catcher,6.98162,0.160429
31,2,cinder_garden,Pax,guard seed calendar,0.42,0.35035,0.35875,True,True,True,Pax:guard seed calendar,9.5154,0.185595
32,2,lichen_bridge,Rin,test rope bridge,0.4525,0.34,0.34905,True,True,True,Rin:test rope bridge,8.197875,0.178762
33,2,orchid_engine,Eli,clean gear wash,0.485,0.34,0.3497,True,True,True,Eli:clean gear wash,10.54035,0.205929
34,2,moss_ward,Ari,protect root archive,0.5175,0.33905,0.3394,True,True,True,Ari:protect root archive,5.904145,0.164095
35,2,glass_harbor,Oren,prepare crossing tea,0.55,0.3497,0.3607,True,True,True,Oren:prepare crossing tea,7.0553,0.181262
36,3,lichen_bridge,Kio,prepare shared bowl,0.5175,0.34005,0.3404,True,True,True,Kio:prepare shared bowl,8.274585,0.196143
37,3,orchid_engine,Cai,listen to valve pulse,0.55,0.3581,0.3691,True,True,True,Cai:listen to valve pulse,10.61596,0.22331
38,3,moss_ward,Milo,repair blanket loom,0.42,0.3594,0.3678,True,True,True,Milo:repair blanket loom,5.94216,0.181476
39,3,glass_harbor,Sera,seal fog catcher,0.4525,0.3607,0.36975,True,True,True,Sera:seal fog catcher,7.093535,0.198643
40,3,cinder_garden,Juno,guard seed calendar,0.485,0.33875,0.33845,True,True,True,Juno:guard seed calendar,9.66755,0.22381
41,3,lichen_bridge,Luma,test rope bridge,0.5175,0.36005,0.3704,True,True,True,Luma:test rope bridge,8.349145,0.216976
42,3,orchid_engine,Dax,clean gear wash,0.55,0.3581,0.3691,True,True,True,Dax:clean gear wash,10.69272,0.244143
43,3,moss_ward,Tala,protect root archive,0.42,0.3594,0.3678,True,True,True,Tala:protect root archive,6.01606,0.20231
44,3,glass_harbor,Nia,prepare crossing tea,0.4525,0.3407,0.33975,True,True,True,Nia:prepare crossing tea,7.170515,0.219476
45,3,cinder_garden,Pax,shade seed rows,0.485,0.35875,0.36845,True,True,True,Pax:shade seed rows,9.74035,0.244643
46,3,lichen_bridge,Rin,weave spare rope,0.5175,0.34905,0.3594,True,True,True,Rin:weave spare rope,8.423705,0.23781
47,3,orchid_engine,Eli,tend orchid lamp,0.55,0.3497,0.3607,True,True,True,Eli:tend orchid lamp,10.76596,0.264976
48,3,moss_ward,Ari,prepare warm-cup ritual,0.42,0.3394,0.3378,True,True,True,Ari:prepare warm-cup ritual,6.09216,0.223143
49,3,glass_harbor,Oren,keep public lamp bright,0.4525,0.3607,0.36975,True,True,True,Oren:keep public lamp bright,7.243535,0.24031
50,3,cinder_garden,Vale,sort ember fruit,0.485,0.35035,0.36005,True,True,True,Vale:sort ember fruit,9.81623,0.265476
51,3,lichen_bridge,Sol,mark signal bell,0.5175,0.351,0.36135,True,True,True,Sol:mark signal bell,8.498485,0.258643
52,3,orchid_engine,Bea,prepare steam tea,0.55,0.3381,0.3391,True,True,True,Bea:prepare steam tea,10.84294,0.28581
53,3,moss_ward,Fay,keep rain path dry,0.42,0.3594,0.3678,True,True,True,Fay:keep rain path dry,6.16606,0.243976
54,4,cinder_garden,Juno,shade seed rows,0.55,0.33845,0.33945,True,True,True,Juno:shade seed rows,9.89316,0.282857
55,4,lichen_bridge,Luma,weave spare rope,0.42,0.3704,0.3788,True,True,True,Luma:weave spare rope,8.53672,0.276024
56,4,orchid_engine,Dax,tend orchid lamp,0.4525,0.3691,0.37815,True,True,True,Dax:tend orchid lamp,10.881615,0.30319
57,4,moss_ward,Tala,prepare warm-cup ritual,0.485,0.3678,0.3775,True,True,True,Tala:prepare warm-cup ritual,6.24101,0.261357
58,4,glass_harbor,Nia,keep public lamp bright,0.5175,0.33975,0.3401,True,True,True,Nia:keep public lamp bright,7.396125,0.278524
59,4,cinder_garden,Pax,sort ember fruit,0.55,0.36845,0.37945,True,True,True,Pax:sort ember fruit,9.96596,0.30369
60,4,lichen_bridge,Rin,mark signal bell,0.42,0.3594,0.3678,True,True,True,Rin:mark signal bell,8.61194,0.296857
61,4,orchid_engine,Eli,prepare steam tea,0.4525,0.3607,0.36975,True,True,True,Eli:prepare steam tea,10.953535,0.324024
62,4,moss_ward,Ari,keep rain path dry,0.485,0.3378,0.3375,True,True,True,Ari:keep rain path dry,6.31843,0.28219
63,4,glass_harbor,Oren,mend net before fog,0.5175,0.36975,0.3801,True,True,True,Oren:mend net before fog,7.469145,0.299357
64,4,cinder_garden,Vale,cool ash path,0.55,0.36005,0.37105,True,True,True,Vale:cool ash path,10.04184,0.324524
65,4,lichen_bridge,Sol,prepare shared bowl,0.42,0.36135,0.36975,True,True,True,Sol:prepare shared bowl,8.68672,0.31769
66,4,orchid_engine,Bea,listen to valve pulse,0.4525,0.3391,0.33815,True,True,True,Bea:listen to valve pulse,11.031835,0.344857
67,4,moss_ward,Fay,repair blanket loom,0.485,0.3678,0.3775,True,True,True,Fay:repair blanket loom,6.39167,0.303024
68,4,glass_harbor,Puck,seal fog catcher,0.5175,0.3607,0.37105,True,True,True,Puck:seal fog catcher,7.545025,0.32019
69,4,cinder_garden,Wren,guard seed calendar,0.55,0.35875,0.36975,True,True,True,Wren:guard seed calendar,10.1164,0.345357
70,4,lichen_bridge,Kio,test rope bridge,0.42,0.3404,0.3388,True,True,True,Kio:test rope bridge,8.76348,0.338524
71,4,orchid_engine,Cai,clean gear wash,0.4525,0.3691,0.37815,True,True,True,Cai:clean gear wash,11.103535,0.36569
72,5,glass_harbor,Nia,mend net before fog,0.42,0.3401,0.3385,True,True,True,Nia:mend net before fog,7.58436,0.337571
73,5,cinder_garden,Pax,cool ash path,0.4525,0.37945,0.3885,True,True,True,Pax:cool ash path,10.153535,0.362738
74,5,lichen_bridge,Rin,prepare shared bowl,0.485,0.3678,0.3775,True,True,True,Rin:prepare shared bowl,8.83843,0.355905
75,5,orchid_engine,Eli,listen to valve pulse,0.5175,0.36975,0.3801,True,True,True,Eli:listen to valve pulse,11.179145,0.383071
76,5,moss_ward,Ari,repair blanket loom,0.55,0.3375,0.3385,True,True,True,Ari:repair blanket loom,6.54448,0.341238
77,5,glass_harbor,Oren,seal fog catcher,0.42,0.3801,0.3885,True,True,True,Oren:seal fog catcher,7.65738,0.358405
78,5,cinder_garden,Vale,guard seed calendar,0.4525,0.37105,0.3801,True,True,True,Vale:guard seed calendar,10.230075,0.383571
79,5,lichen_bridge,Sol,test rope bridge,0.485,0.36975,0.37945,True,True,True,Sol:test rope bridge,8.91167,0.376738
80,5,orchid_engine,Bea,clean gear wash,0.5175,0.33815,0.3385,True,True,True,Bea:clean gear wash,11.258325,0.403905
81,5,moss_ward,Fay,protect root archive,0.55,0.3775,0.3885,True,True,True,Fay:protect root archive,6.61662,0.362071
82,5,glass_harbor,Puck,prepare crossing tea,0.42,0.37105,0.37945,True,True,True,Puck:prepare crossing tea,7.73304,0.379238
83,5,cinder_garden,Wren,shade seed rows,0.4525,0.36975,0.3788,True,True,True,Wren:shade seed rows,10.304635,0.404405
84,5,lichen_bridge,Kio,weave spare rope,0.485,0.3388,0.3385,True,True,True,Kio:weave spare rope,8.98909,0.397571
85,5,orchid_engine,Cai,tend orchid lamp,0.5175,0.37815,0.3885,True,True,True,Cai:tend orchid lamp,11.328485,0.424738
86,5,moss_ward,Milo,prepare warm-cup ritual,0.55,0.3678,0.3788,True,True,True,Milo:prepare warm-cup ritual,6.69272,0.382905
87,5,glass_harbor,Sera,keep public lamp bright,0.42,0.36975,0.37815,True,True,True,Sera:keep public lamp bright,7.80672,0.400071
88,5,cinder_garden,Juno,sort ember fruit,0.4525,0.33945,0.3385,True,True,True,Juno:sort ember fruit,10.382275,0.425238
89,5,lichen_bridge,Luma,mark signal bell,0.485,0.3788,0.3885,True,True,True,Luma:mark signal bell,9.06167,0.418405
90,6,moss_ward,Ari,protect root archive,0.4525,0.3385,0.33755,True,True,True,Ari:protect root archive,6.732935,0.400286
91,6,glass_harbor,Oren,prepare crossing tea,0.485,0.3885,0.3982,True,True,True,Oren:prepare crossing tea,7.88299,0.417452
92,6,cinder_garden,Vale,shade seed rows,0.5175,0.3801,0.39045,True,True,True,Vale:shade seed rows,10.456345,0.442619
93,6,lichen_bridge,Sol,weave spare rope,0.55,0.37945,0.39045,True,True,True,Sol:weave spare rope,9.13662,0.435786
94,6,orchid_engine,Bea,tend orchid lamp,0.42,0.3385,0.3369,True,True,True,Bea:tend orchid lamp,11.44722,0.462952
95,6,moss_ward,Fay,prepare warm-cup ritual,0.4525,0.3885,0.39755,True,True,True,Fay:prepare warm-cup ritual,6.804855,0.421119
96,6,glass_harbor,Puck,keep public lamp bright,0.485,0.37945,0.38915,True,True,True,Puck:keep public lamp bright,7.95887,0.438286
97,6,cinder_garden,Wren,sort ember fruit,0.5175,0.3788,0.38915,True,True,True,Wren:sort ember fruit,10.530245,0.463452
98,6,lichen_bridge,Kio,mark signal bell,0.55,0.3385,0.3395,True,True,True,Kio:mark signal bell,9.21536,0.456619
99,6,orchid_engine,Cai,prepare steam tea,0.42,0.3885,0.3969,True,True,True,Cai:prepare steam tea,11.51606,0.483786
100,6,moss_ward,Milo,keep rain path dry,0.4525,0.3788,0.38785,True,True,True,Milo:keep rain path dry,6.880955,0.441952
101,6,glass_harbor,Sera,mend net before fog,0.485,0.37815,0.38785,True,True,True,Sera:mend net before fog,8.03233,0.459119
102,6,cinder_garden,Juno,cool ash path,0.5175,0.3385,0.33885,True,True,True,Juno:cool ash path,10.608545,0.484286
103,6,lichen_bridge,Luma,prepare shared bowl,0.55,0.3885,0.3995,True,True,True,Luma:prepare shared bowl,9.28728,0.477452
104,6,orchid_engine,Dax,listen to valve pulse,0.42,0.37815,0.38655,True,True,True,Dax:listen to valve pulse,11.59524,0.504619
105,6,moss_ward,Tala,repair blanket loom,0.4525,0.3775,0.38655,True,True,True,Tala:repair blanket loom,6.954195,0.462786
106,6,glass_harbor,Nia,seal fog catcher,0.485,0.3385,0.3382,True,True,True,Nia:seal fog catcher,8.11063,0.479952
107,6,cinder_garden,Pax,guard seed calendar,0.5175,0.3885,0.39885,True,True,True,Pax:guard seed calendar,10.678485,0.505119
108,7,orchid_engine,Bea,prepare steam tea,0.485,0.3369,0.3366,True,True,True,Bea:prepare steam tea,11.67305,0.522
109,7,moss_ward,Fay,keep rain path dry,0.5175,0.39755,0.4079,True,True,True,Fay:keep rain path dry,7.029805,0.480167
110,7,glass_harbor,Puck,mend net before fog,0.55,0.38915,0.40015,True,True,True,Puck:mend net before fog,8.18492,0.497333
111,7,cinder_garden,Wren,cool ash path,0.42,0.38915,0.39755,True,True,True,Wren:cool ash path,10.71782,0.5225
112,7,lichen_bridge,Kio,prepare shared bowl,0.4525,0.3395,0.33855,True,True,True,Kio:prepare shared bowl,9.404035,0.515667
113,7,orchid_engine,Cai,listen to valve pulse,0.485,0.3969,0.4066,True,True,True,Cai:listen to valve pulse,11.74167,0.542833
114,7,moss_ward,Milo,repair blanket loom,0.5175,0.38785,0.3982,True,True,True,Milo:repair blanket loom,7.107445,0.501
115,7,glass_harbor,Sera,seal fog catcher,0.55,0.38785,0.39885,True,True,True,Sera:seal fog catcher,8.25794,0.518167
116,7,cinder_garden,Juno,guard seed calendar,0.42,0.33885,0.33725,True,True,True,Juno:guard seed calendar,10.79722,0.543333
117,7,lichen_bridge,Luma,test rope bridge,0.4525,0.3995,0.40855,True,True,True,Luma:test rope bridge,9.475515,0.5365
118,7,orchid_engine,Dax,clean gear wash,0.485,0.38655,0.39625,True,True,True,Dax:clean gear wash,11.82085,0.563667
119,7,moss_ward,Tala,protect root archive,0.5175,0.38655,0.3969,True,True,True,Tala:protect root archive,7.179805,0.521833
120,7,glass_harbor,Nia,prepare crossing tea,0.55,0.3382,0.3392,True,True,True,Nia:prepare crossing tea,8.33646,0.539
121,7,cinder_garden,Pax,shade seed rows,0.42,0.39885,0.40725,True,True,True,Pax:shade seed rows,10.86606,0.564167
122,7,lichen_bridge,Rin,weave spare rope,0.4525,0.3775,0.38655,True,True,True,Rin:weave spare rope,9.551615,0.557333
123,7,orchid_engine,Eli,tend orchid lamp,0.485,0.3801,0.3898,True,True,True,Eli:tend orchid lamp,11.89233,0.5845
124,7,moss_ward,Ari,prepare warm-cup ritual,0.5175,0.33755,0.3379,True,True,True,Ari:prepare warm-cup ritual,7.258985,0.542667
125,7,glass_harbor,Oren,keep public lamp bright,0.55,0.3982,0.4092,True,True,True,Oren:keep public lamp bright,8.4086,0.559833
126,8,lichen_bridge,Kio,test rope bridge,0.5175,0.33855,0.3389,True,True,True,Kio:test rope bridge,9.630305,0.574714
127,8,orchid_engine,Cai,clean gear wash,0.55,0.4066,0.4176,True,True,True,Cai:clean gear wash,11.96728,0.601881
128,8,moss_ward,Milo,protect root archive,0.42,0.3982,0.4066,True,True,True,Milo:protect root archive,7.29634,0.560048
129,8,glass_harbor,Sera,prepare crossing tea,0.4525,0.39885,0.4079,True,True,True,Sera:prepare crossing tea,8.445515,0.577214
130,8,cinder_garden,Juno,shade seed rows,0.485,0.33725,0.33695,True,True,True,Juno:shade seed rows,11.02305,0.602381
131,8,lichen_bridge,Luma,weave spare rope,0.5175,0.40855,0.4189,True,True,True,Luma:weave spare rope,9.701125,0.595548
132,8,orchid_engine,Dax,tend orchid lamp,0.55,0.39625,0.40725,True,True,True,Dax:tend orchid lamp,12.04712,0.622714
133,8,moss_ward,Tala,prepare warm-cup ritual,0.42,0.3969,0.4053,True,True,True,Tala:prepare warm-cup ritual,7.36804,0.580881
134,8,glass_harbor,Nia,keep public lamp bright,0.4525,0.3392,0.33825,True,True,True,Nia:keep public lamp bright,8.525355,0.598048
135,8,cinder_garden,Pax,sort ember fruit,0.485,0.40725,0.41695,True,True,True,Pax:sort ember fruit,11.09101,0.623214
136,8,lichen_bridge,Rin,mark signal bell,0.5175,0.38655,0.3969,True,True,True,Rin:mark signal bell,9.777445,0.616381
137,8,orchid_engine,Eli,prepare steam tea,0.55,0.3898,0.4008,True,True,True,Eli:prepare steam tea,12.11794,0.643548
138,8,moss_ward,Ari,keep rain path dry,0.42,0.3379,0.3363,True,True,True,Ari:keep rain path dry,7.44788,0.601714
139,8,glass_harbor,Oren,mend net before fog,0.4525,0.4092,0.41825,True,True,True,Oren:mend net before fog,8.596175,0.618881
140,8,cinder_garden,Vale,cool ash path,0.485,0.39045,0.40015,True,True,True,Vale:cool ash path,11.16997,0.644048
141,8,lichen_bridge,Sol,prepare shared bowl,0.5175,0.39045,0.4008,True,True,True,Sol:prepare shared bowl,9.849805,0.637214
142,8,orchid_engine,Bea,listen to valve pulse,0.55,0.3366,0.3376,True,True,True,Bea:listen to valve pulse,12.19932,0.664381
143,8,moss_ward,Fay,repair blanket loom,0.42,0.4079,0.4163,True,True,True,Fay:repair blanket loom,7.51804,0.622548
144,9,cinder_garden,Juno,sort ember fruit,0.55,0.33695,0.33795,True,True,True,Juno:sort ember fruit,11.24844,0.661429
145,9,lichen_bridge,Luma,mark signal bell,0.42,0.4189,0.4273,True,True,True,Luma:mark signal bell,9.88936,0.654595
146,9,orchid_engine,Dax,prepare steam tea,0.4525,0.40725,0.4163,True,True,True,Dax:prepare steam tea,12.235795,0.681762
147,9,moss_ward,Tala,keep rain path dry,0.485,0.4053,0.415,True,True,True,Tala:keep rain path dry,7.59343,0.639929
148,9,glass_harbor,Nia,mend net before fog,0.5175,0.33825,0.3386,True,True,True,Nia:mend net before fog,8.751185,0.657095
149,9,cinder_garden,Pax,cool ash path,0.55,0.41695,0.42795,True,True,True,Pax:cool ash path,11.31662,0.682262
150,9,lichen_bridge,Rin,prepare shared bowl,0.42,0.3969,0.4053,True,True,True,Rin:prepare shared bowl,9.96546,0.675429
151,9,orchid_engine,Eli,listen to valve pulse,0.4525,0.4008,0.40985,True,True,True,Eli:listen to valve pulse,12.306175,0.702595
152,9,moss_ward,Ari,repair blanket loom,0.485,0.3363,0.336,True,True,True,Ari:repair blanket loom,7.67415,0.660762
153,9,glass_harbor,Oren,seal fog catcher,0.5175,0.41825,0.4286,True,True,True,Oren:seal fog catcher,8.821125,0.677929
154,9,cinder_garden,Vale,guard seed calendar,0.55,0.40015,0.41115,True,True,True,Vale:guard seed calendar,11.3958,0.703095
155,9,lichen_bridge,Sol,test rope bridge,0.42,0.4008,0.4092,True,True,True,Sol:test rope bridge,10.03804,0.696262
156,9,orchid_engine,Bea,clean gear wash,0.4525,0.3376,0.33665,True,True,True,Bea:clean gear wash,12.387335,0.723429
157,9,moss_ward,Fay,protect root archive,0.485,0.4163,0.426,True,True,True,Fay:protect root archive,7.74299,0.681595
158,9,glass_harbor,Puck,prepare crossing tea,0.5175,0.40015,0.4105,True,True,True,Puck:prepare crossing tea,8.898325,0.698762
159,9,cinder_garden,Wren,shade seed rows,0.55,0.39755,0.40855,True,True,True,Wren:shade seed rows,11.46838,0.723929
160,9,lichen_bridge,Kio,weave spare rope,0.42,0.3389,0.3373,True,True,True,Kio:weave spare rope,10.11898,0.717095
161,9,orchid_engine,Cai,tend orchid lamp,0.4525,0.4176,0.42665,True,True,True,Cai:tend orchid lamp,12.454855,0.744262
162,10,glass_harbor,Nia,seal fog catcher,0.42,0.3386,0.337,True,True,True,Nia:seal fog catcher,8.93942,0.716143
163,10,cinder_garden,Pax,guard seed calendar,0.4525,0.42795,0.437,True,True,True,Pax:guard seed calendar,11.504855,0.74131
164,10,lichen_bridge,Rin,test rope bridge,0.485,0.4053,0.415,True,True,True,Rin:test rope bridge,10.19195,0.734476
165,10,orchid_engine,Eli,clean gear wash,0.5175,0.40985,0.4202,True,True,True,Eli:clean gear wash,12.531125,0.761643
166,10,moss_ward,Ari,protect root archive,0.55,0.336,0.337,True,True,True,Ari:protect root archive,7.90042,0.71981
167,10,glass_harbor,Oren,prepare crossing tea,0.42,0.4286,0.437,True,True,True,Oren:prepare crossing tea,9.00936,0.736976
168,10,cinder_garden,Vale,shade seed rows,0.4525,0.41115,0.4202,True,True,True,Vale:shade seed rows,11.584695,0.762143
169,10,lichen_bridge,Sol,weave spare rope,0.485,0.4092,0.4189,True,True,True,Sol:weave spare rope,10.26365,0.75531
170,10,orchid_engine,Bea,tend orchid lamp,0.5175,0.33665,0.337,True,True,True,Bea:tend orchid lamp,12.613605,0.782476
171,10,moss_ward,Fay,prepare warm-cup ritual,0.55,0.426,0.437,True,True,True,Fay:prepare warm-cup ritual,7.96794,0.740643
172,10,glass_harbor,Puck,keep public lamp bright,0.42,0.4105,0.4189,True,True,True,Puck:keep public lamp bright,9.08656,0.75781
173,10,cinder_garden,Wren,sort ember fruit,0.4525,0.40855,0.4176,True,True,True,Wren:sort ember fruit,11.656615,0.782976
174,10,lichen_bridge,Kio,mark signal bell,0.485,0.3373,0.337,True,True,True,Kio:mark signal bell,10.34459,0.776143
175,10,orchid_engine,Cai,prepare steam tea,0.5175,0.42665,0.437,True,True,True,Cai:prepare steam tea,12.680245,0.80331
176,10,moss_ward,Milo,keep rain path dry,0.55,0.4066,0.4176,True,True,True,Milo:keep rain path dry,8.04712,0.761476
177,10,glass_harbor,Sera,mend net before fog,0.42,0.4079,0.4163,True,True,True,Sera:mend net before fog,9.1587,0.778643
178,10,cinder_garden,Juno,cool ash path,0.4525,0.33795,0.337,True,True,True,Juno:cool ash path,11.737335,0.80381
179,10,lichen_bridge,Luma,prepare shared bowl,0.485,0.4273,0.437,True,True,True,Luma:prepare shared bowl,10.41431,0.796976
180,11,moss_ward,Ari,prepare warm-cup ritual,0.4525,0.337,0.33605,True,True,True,Ari:prepare warm-cup ritual,8.089315,0.778857
181,11,glass_harbor,Oren,keep public lamp bright,0.485,0.437,0.4467,True,True,True,Oren:keep public lamp bright,9.23431,0.796024
182,11,cinder_garden,Vale,sort ember fruit,0.5175,0.4202,0.43055,True,True,True,Vale:sort ember fruit,11.811185,0.82119
183,11,lichen_bridge,Sol,mark signal bell,0.55,0.4189,0.4299,True,True,True,Sol:mark signal bell,10.4886,0.814357
184,11,orchid_engine,Bea,prepare steam tea,0.42,0.337,0.3354,True,True,True,Bea:prepare steam tea,12.80162,0.841524
185,11,moss_ward,Fay,keep rain path dry,0.4525,0.437,0.44605,True,True,True,Fay:keep rain path dry,8.156175,0.79969
186,11,glass_harbor,Puck,mend net before fog,0.485,0.4189,0.4286,True,True,True,Puck:mend net before fog,9.31217,0.816857
187,11,cinder_garden,Wren,cool ash path,0.5175,0.4176,0.42795,True,True,True,Wren:cool ash path,11.881565,0.842024
188,11,lichen_bridge,Kio,prepare shared bowl,0.55,0.337,0.338,True,True,True,Kio:prepare shared bowl,10.57108,0.83519
189,11,orchid_engine,Cai,listen to valve pulse,0.42,0.437,0.4454,True,True,True,Cai:listen to valve pulse,12.86848,0.862357
190,11,moss_ward,Milo,repair blanket loom,0.4525,0.4176,0.42665,True,True,True,Milo:repair blanket loom,8.235135,0.820524
191,11,glass_harbor,Sera,seal fog catcher,0.485,0.4163,0.426,True,True,True,Sera:seal fog catcher,9.38431,0.83769
192,11,cinder_garden,Juno,guard seed calendar,0.5175,0.337,0.33735,True,True,True,Juno:guard seed calendar,11.963605,0.862857
193,11,lichen_bridge,Luma,test rope bridge,0.55,0.437,0.448,True,True,True,Luma:test rope bridge,10.63926,0.856024
194,11,orchid_engine,Dax,clean gear wash,0.42,0.4163,0.4247,True,True,True,Dax:clean gear wash,12.94898,0.88319
195,11,moss_ward,Tala,protect root archive,0.4525,0.415,0.42405,True,True,True,Tala:protect root archive,8.306615,0.841357
196,11,glass_harbor,Nia,prepare crossing tea,0.485,0.337,0.3367,True,True,True,Nia:prepare crossing tea,9.46591,0.858524
197,11,cinder_garden,Pax,shade seed rows,0.5175,0.437,0.44735,True,True,True,Pax:shade seed rows,12.030465,0.88369
198,12,orchid_engine,Bea,listen to valve pulse,0.485,0.3354,0.3351,True,True,True,Bea:listen to valve pulse,13.02745,0.900571
199,12,moss_ward,Fay,repair blanket loom,0.5175,0.44605,0.4564,True,True,True,Fay:repair blanket loom,8.381125,0.858738
200,12,glass_harbor,Puck,seal fog catcher,0.55,0.4286,0.4396,True,True,True,Puck:seal fog catcher,9.53844,0.875905
201,12,cinder_garden,Wren,guard seed calendar,0.42,0.42795,0.43635,True,True,True,Wren:guard seed calendar,12.0698,0.901071
202,12,lichen_bridge,Kio,test rope bridge,0.4525,0.338,0.33705,True,True,True,Kio:test rope bridge,10.759315,0.894238
203,12,orchid_engine,Cai,clean gear wash,0.485,0.4454,0.4551,True,True,True,Cai:clean gear wash,13.09387,0.921405
204,12,moss_ward,Milo,protect root archive,0.5175,0.42665,0.437,True,True,True,Milo:protect root archive,8.460965,0.879571
205,12,glass_harbor,Sera,prepare crossing tea,0.55,0.426,0.437,True,True,True,Sera:prepare crossing tea,9.60926,0.896738
206,12,cinder_garden,Juno,shade seed rows,0.42,0.33735,0.33575,True,True,True,Juno:shade seed rows,12.1525,0.921905
207,12,lichen_bridge,Luma,weave spare rope,0.4525,0.448,0.45705,True,True,True,Luma:weave spare rope,10.826835,0.915071
208,12,orchid_engine,Dax,tend orchid lamp,0.485,0.4247,0.4344,True,True,True,Dax:tend orchid lamp,13.17459,0.942238
209,12,moss_ward,Tala,prepare warm-cup ritual,0.5175,0.42405,0.4344,True,True,True,Tala:prepare warm-cup ritual,8.532225,0.900405
210,12,glass_harbor,Nia,keep public lamp bright,0.55,0.3367,0.3377,True,True,True,Nia:keep public lamp bright,9.69218,0.917571
211,12,cinder_garden,Pax,sort ember fruit,0.42,0.44735,0.45575,True,True,True,Pax:sort ember fruit,12.21804,0.942738
