tick_id,day,settlement_id,resident_id,cue_key,cue_kind,cue_value,relationship_before,relationship_after,memory_age_days,recalled_after_restore,dialogue_bias,persistent_memory_key,private_memory_not_dumped
54,4,riverbend,Ari,riverbend:kit alcove:sound:4,sound,cedar knock,0.65,0.654,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
55,4,roofward,Sera,roofward:glass stair:smell:4,smell,polished brass,0.656,0.66,3,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
56,4,archive,Nia,archive:ink niche:temperature:4,temperature,15.6C,0.626,0.622,2,True,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
58,4,orchard,Ivo,orchard:mud row:smell:4,smell,apple soil,0.716,0.72,3,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
60,4,riverbend,Ari,riverbend:arrival court:sound:4,sound,river slap,0.646,0.65,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
61,4,roofward,Sera,roofward:warm lane:smell:4,smell,thyme paper,0.666,0.67,3,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
62,4,archive,Nia,archive:memory desk:temperature:4,temperature,16.8C,0.628,0.632,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
64,4,orchard,Ivo,orchard:market plank:smell:4,smell,mud reed,0.726,0.73,3,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
66,4,riverbend,Ari,riverbend:plank hall:sound:4,sound,cedar knock,0.656,0.66,2,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
67,4,roofward,Sera,roofward:ledger loft:smell:4,smell,warm dust,0.676,0.68,3,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
68,4,archive,Nia,archive:arrival court:temperature:4,temperature,13.8C,0.606,0.602,2,True,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
70,4,orchard,Ivo,orchard:satchel shed:smell:4,smell,dry twine,0.736,0.74,3,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
72,5,roofward,Sera,roofward:glass stair:sound:5,sound,paper hush,0.686,0.69,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
74,5,signal,Ren,signal:arrival court:temperature:5,temperature,8.3C,0.61,0.614,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
75,5,orchard,Ivo,orchard:mud row:sound:5,sound,roof drip,0.746,0.75,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
76,5,repair_ring,Pax,repair_ring:cool corner:smell:5,smell,hot copper,0.611,0.615,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
78,5,roofward,Sera,roofward:warm lane:sound:5,sound,sun glass hum,0.696,0.7,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
80,5,signal,Ren,signal:mast base:temperature:5,temperature,9.5C,0.62,0.624,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
81,5,orchard,Ivo,orchard:market plank:sound:5,sound,cart creak,0.756,0.76,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
82,5,repair_ring,Pax,repair_ring:arrival court:smell:5,smell,clean cloth,0.618,0.614,4,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
84,5,roofward,Sera,roofward:ledger loft:sound:5,sound,hinge ticks,0.706,0.71,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
86,5,signal,Ren,signal:lantern walk:temperature:5,temperature,10.0C,0.616,0.62,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
87,5,orchard,Ivo,orchard:satchel shed:sound:5,sound,seed rattle,0.766,0.77,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
88,5,repair_ring,Pax,repair_ring:wire bench:smell:5,smell,hot copper,0.62,0.624,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
90,6,archive,Nia,archive:ink niche:sound:6,sound,page flutter,0.617,0.613,4,True,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
92,6,orchard,Ivo,orchard:mud row:temperature:6,temperature,14.5C,0.776,0.78,5,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
94,6,riverbend,Ari,riverbend:arrival court:smell:6,smell,wet cedar,0.642,0.646,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
95,6,roofward,Sera,roofward:warm lane:temperature:6,temperature,19.0C,0.716,0.72,5,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
96,6,archive,Nia,archive:memory desk:sound:6,sound,spool click,0.619,0.623,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
98,6,orchard,Ivo,orchard:market plank:temperature:6,temperature,15.7C,0.786,0.79,5,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
100,6,riverbend,Ari,riverbend:plank hall:smell:6,smell,mud thread,0.652,0.656,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
101,6,roofward,Sera,roofward:ledger loft:temperature:6,temperature,19.4C,0.726,0.73,5,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
102,6,archive,Nia,archive:arrival court:sound:6,sound,page flutter,0.626,0.622,4,True,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
104,6,orchard,Ivo,orchard:satchel shed:temperature:6,temperature,16.2C,0.796,0.8,5,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
106,6,riverbend,Ari,riverbend:wet crossing:smell:6,smell,warm oil,0.648,0.652,4,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
107,6,roofward,Sera,roofward:sun sill:temperature:6,temperature,20.6C,0.736,0.74,5,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
108,7,signal,Ren,signal:arrival court:sound:7,sound,static crickets,0.602,0.606,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
109,7,orchard,Ivo,orchard:mud row:smell:7,smell,apple soil,0.806,0.81,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
110,7,repair_ring,Pax,repair_ring:cool corner:temperature:7,temperature,17.9C,0.645,0.649,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
112,7,roofward,Sera,roofward:warm lane:smell:7,smell,thyme paper,0.746,0.75,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
114,7,signal,Ren,signal:mast base:sound:7,sound,rope creak,0.612,0.616,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
115,7,orchard,Ivo,orchard:market plank:smell:7,smell,mud reed,0.816,0.82,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
116,7,repair_ring,Pax,repair_ring:arrival court:temperature:7,temperature,15.6C,0.623,0.619,6,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
118,7,roofward,Sera,roofward:ledger loft:smell:7,smell,warm dust,0.756,0.76,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
120,7,signal,Ren,signal:lantern walk:sound:7,sound,beacon pulse,0.608,0.612,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
121,7,orchard,Ivo,orchard:satchel shed:smell:7,smell,dry twine,0.826,0.83,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
122,7,repair_ring,Pax,repair_ring:wire bench:temperature:7,temperature,16.1C,0.625,0.629,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
124,7,roofward,Sera,roofward:sun sill:smell:7,smell,polished brass,0.766,0.77,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
126,8,orchard,Ivo,orchard:mud row:sound:8,sound,roof drip,0.836,0.84,7,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
128,8,riverbend,Ari,riverbend:arrival court:temperature:8,temperature,9.9C,0.634,0.638,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
129,8,roofward,Sera,roofward:warm lane:sound:8,sound,sun glass hum,0.776,0.78,7,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
130,8,archive,Nia,archive:memory desk:smell:8,smell,ink linen,0.643,0.647,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
132,8,orchard,Ivo,orchard:market plank:sound:8,sound,cart creak,0.846,0.85,7,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
134,8,riverbend,Ari,riverbend:plank hall:temperature:8,temperature,11.1C,0.644,0.648,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
135,8,roofward,Sera,roofward:ledger loft:sound:8,sound,hinge ticks,0.786,0.79,7,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
136,8,archive,Nia,archive:arrival court:smell:8,smell,wax seal,0.621,0.617,6,True,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
138,8,orchard,Ivo,orchard:satchel shed:sound:8,sound,seed rattle,0.856,0.86,7,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
140,8,riverbend,Ari,riverbend:wet crossing:temperature:8,temperature,11.6C,0.64,0.644,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
141,8,roofward,Sera,roofward:sun sill:sound:8,sound,paper hush,0.796,0.8,7,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
142,8,archive,Nia,archive:stone stacks:smell:8,smell,ink linen,0.623,0.627,6,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
144,9,repair_ring,Pax,repair_ring:cool corner:sound:9,sound,wire snap,0.65,0.654,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
146,9,roofward,Sera,roofward:warm lane:temperature:9,temperature,18.7C,0.806,0.81,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
148,9,signal,Ren,signal:mast base:smell:9,smell,salt wind,0.622,0.626,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
149,9,orchard,Ivo,orchard:market plank:temperature:9,temperature,15.5C,0.866,0.87,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
150,9,repair_ring,Pax,repair_ring:arrival court:sound:9,sound,bell hum,0.657,0.653,8,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
152,9,roofward,Sera,roofward:ledger loft:temperature:9,temperature,19.9C,0.816,0.82,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
154,9,signal,Ren,signal:lantern walk:smell:9,smell,hot glass,0.618,0.622,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
155,9,orchard,Ivo,orchard:satchel shed:temperature:9,temperature,15.9C,0.876,0.88,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
156,9,repair_ring,Pax,repair_ring:wire bench:sound:9,sound,wire snap,0.659,0.663,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
158,9,roofward,Sera,roofward:sun sill:temperature:9,temperature,20.4C,0.826,0.83,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
160,9,signal,Ren,signal:lens room:smell:9,smell,lamp oil,0.628,0.632,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
161,9,orchard,Ivo,orchard:arrival court:temperature:9,temperature,13.6C,0.886,0.89,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
162,10,riverbend,Ari,riverbend:arrival court:sound:10,sound,river slap,0.626,0.63,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
163,10,roofward,Sera,roofward:warm lane:smell:10,smell,thyme paper,0.836,0.84,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
164,10,archive,Nia,archive:memory desk:temperature:10,temperature,16.3C,0.648,0.652,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
166,10,orchard,Ivo,orchard:market plank:smell:10,smell,mud reed,0.896,0.9,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
168,10,riverbend,Ari,riverbend:plank hall:sound:10,sound,cedar knock,0.636,0.64,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
169,10,roofward,Sera,roofward:ledger loft:smell:10,smell,warm dust,0.846,0.85,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
170,10,archive,Nia,archive:arrival court:temperature:10,temperature,14.0C,0.655,0.651,8,True,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
172,10,orchard,Ivo,orchard:satchel shed:smell:10,smell,dry twine,0.906,0.91,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
174,10,riverbend,Ari,riverbend:wet crossing:sound:10,sound,lantern tick,0.632,0.636,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
175,10,roofward,Sera,roofward:sun sill:smell:10,smell,polished brass,0.856,0.86,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
176,10,archive,Nia,archive:stone stacks:temperature:10,temperature,14.5C,0.657,0.661,8,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
178,10,orchard,Ivo,orchard:arrival court:smell:10,smell,mud reed,0.916,0.92,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
180,11,roofward,Sera,roofward:warm lane:sound:11,sound,sun glass hum,0.866,0.87,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
182,11,signal,Ren,signal:mast base:temperature:11,temperature,9.0C,0.642,0.646,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
183,11,orchard,Ivo,orchard:market plank:sound:11,sound,cart creak,0.926,0.93,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
184,11,repair_ring,Pax,repair_ring:arrival court:smell:11,smell,clean cloth,0.649,0.645,10,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
186,11,roofward,Sera,roofward:ledger loft:sound:11,sound,hinge ticks,0.876,0.88,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
188,11,signal,Ren,signal:lantern walk:temperature:11,temperature,10.2C,0.638,0.642,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
189,11,orchard,Ivo,orchard:satchel shed:sound:11,sound,seed rattle,0.936,0.94,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
190,11,repair_ring,Pax,repair_ring:wire bench:smell:11,smell,hot copper,0.651,0.655,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
192,11,roofward,Sera,roofward:sun sill:sound:11,sound,paper hush,0.886,0.89,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
194,11,signal,Ren,signal:lens room:temperature:11,temperature,10.7C,0.648,0.652,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
195,11,orchard,Ivo,orchard:arrival court:sound:11,sound,cart creak,0.946,0.95,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
196,11,repair_ring,Pax,repair_ring:spark lane:smell:11,smell,stone chalk,0.629,0.625,10,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
198,12,archive,Nia,archive:memory desk:sound:12,sound,spool click,0.682,0.686,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
200,12,orchard,Ivo,orchard:market plank:temperature:12,temperature,15.2C,0.956,0.96,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
202,12,riverbend,Ari,riverbend:plank hall:smell:12,smell,mud thread,0.646,0.65,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
203,12,roofward,Sera,roofward:ledger loft:temperature:12,temperature,19.7C,0.896,0.9,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
204,12,archive,Nia,archive:arrival court:sound:12,sound,page flutter,0.66,0.656,10,True,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
206,12,orchard,Ivo,orchard:satchel shed:temperature:12,temperature,16.4C,0.966,0.97,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
208,12,riverbend,Ari,riverbend:wet crossing:smell:12,smell,warm oil,0.642,0.646,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
209,12,roofward,Sera,roofward:sun sill:temperature:12,temperature,20.1C,0.906,0.91,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
210,12,archive,Nia,archive:stone stacks:sound:12,sound,spool click,0.662,0.666,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
212,12,orchard,Ivo,orchard:arrival court:temperature:12,temperature,13.4C,0.976,0.98,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
214,12,riverbend,Ari,riverbend:dry ridge:smell:12,smell,wet cedar,0.652,0.656,10,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
215,12,roofward,Sera,roofward:arrival court:temperature:12,temperature,17.8C,0.916,0.92,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
216,13,signal,Ren,signal:mast base:sound:13,sound,rope creak,0.662,0.666,12,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
217,13,orchard,Ivo,orchard:market plank:smell:13,smell,mud reed,0.98,0.98,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
218,13,repair_ring,Pax,repair_ring:arrival court:temperature:13,temperature,15.1C,0.64,0.636,12,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
220,13,roofward,Sera,roofward:ledger loft:smell:13,smell,warm dust,0.926,0.93,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
222,13,signal,Ren,signal:lantern walk:sound:13,sound,beacon pulse,0.658,0.662,12,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
223,13,orchard,Ivo,orchard:satchel shed:smell:13,smell,dry twine,0.98,0.98,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
224,13,repair_ring,Pax,repair_ring:wire bench:temperature:13,temperature,16.3C,0.642,0.646,12,True,warmer if cue is familiar,ssrm.v42.sensory_memory.repair_ring.Pax,True
226,13,roofward,Sera,roofward:sun sill:smell:13,smell,polished brass,0.936,0.94,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
228,13,signal,Ren,signal:lens room:sound:13,sound,static crickets,0.668,0.672,12,True,warmer if cue is familiar,ssrm.v42.sensory_memory.signal.Ren,True
229,13,orchard,Ivo,orchard:arrival court:smell:13,smell,mud reed,0.98,0.98,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
230,13,repair_ring,Pax,repair_ring:spark lane:temperature:13,temperature,16.8C,0.649,0.645,12,True,guarded after boundary strain,ssrm.v42.sensory_memory.repair_ring.Pax,True
232,13,roofward,Sera,roofward:arrival court:smell:13,smell,warm dust,0.946,0.95,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
234,14,orchard,Ivo,orchard:market plank:sound:14,sound,cart creak,0.98,0.98,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
236,14,riverbend,Ari,riverbend:plank hall:temperature:14,temperature,10.6C,0.666,0.67,12,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
237,14,roofward,Sera,roofward:ledger loft:sound:14,sound,hinge ticks,0.956,0.96,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
238,14,archive,Nia,archive:arrival court:smell:14,smell,wax seal,0.681,0.677,12,True,guarded after boundary strain,ssrm.v42.sensory_memory.archive.Nia,True
240,14,orchard,Ivo,orchard:satchel shed:sound:14,sound,seed rattle,0.98,0.98,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
242,14,riverbend,Ari,riverbend:wet crossing:temperature:14,temperature,11.8C,0.662,0.666,12,True,warmer if cue is familiar,ssrm.v42.sensory_memory.riverbend.Ari,True
243,14,roofward,Sera,roofward:sun sill:sound:14,sound,paper hush,0.966,0.97,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.roofward.Sera,True
244,14,archive,Nia,archive:stone stacks:smell:14,smell,ink linen,0.683,0.687,12,True,warmer if cue is familiar,ssrm.v42.sensory_memory.archive.Nia,True
246,14,orchard,Ivo,orchard:arrival court:sound:14,sound,cart creak,0.98,0.98,9,True,warmer if cue is familiar,ssrm.v42.sensory_memory.orchard.Ivo,True
