tick_id,day,settlement_id,resident_id,gesture,mismatch_type,repair_action,repair_success,risk_before,risk_after,visible_gesture_marker,bounded_repair
132,8,moss_ward,Milo,cup pause,none,gesture accepted,True,0.282,0.122,Milo:cup pause:none,True
134,8,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.314,0.154,Juno:cool hand:none,True
136,8,orchid_engine,Dax,open palms,none,gesture accepted,True,0.302,0.142,Dax:open palms:none,True
138,8,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.25,0.09,Nia:net-hand open:none,True
140,8,lichen_bridge,Rin,signal hush,timing,slow repeat with resident correction,True,0.426,0.266,Rin:signal hush:timing,True
142,8,moss_ward,Ari,empty hands,none,gesture accepted,True,0.272,0.112,Ari:empty hands:none,True
144,9,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.256,0.096,Kio:rope touch:none,True
146,9,moss_ward,Milo,cup pause,none,gesture accepted,True,0.278,0.118,Milo:cup pause:none,True
147,9,glass_harbor,Sera,lantern tap,meaning,slow repeat with resident correction,True,0.354,0.194,Sera:lantern tap:meaning,True
148,9,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.268,0.108,Juno:cool hand:none,True
150,9,orchid_engine,Dax,open palms,timing,slow repeat with resident correction,False,0.364,0.324,Dax:open palms:timing,True
152,9,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.246,0.086,Nia:net-hand open:none,True
153,9,cinder_garden,Pax,shade bow,none,gesture accepted,True,0.262,0.102,Pax:shade bow:none,True
154,9,lichen_bridge,Rin,signal hush,meaning,slow repeat with resident correction,True,0.38,0.22,Rin:signal hush:meaning,True
156,9,moss_ward,Ari,empty hands,none,gesture accepted,True,0.254,0.094,Ari:empty hands:none,True
158,9,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.28,0.12,Vale:seed-step stop:none,True
159,9,lichen_bridge,Sol,rope touch,none,gesture accepted,True,0.29,0.13,Sol:rope touch:none,True
160,9,orchid_engine,Bea,valve pause,timing,slow repeat with resident correction,True,0.354,0.194,Bea:valve pause:timing,True
162,10,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.29,0.13,Juno:cool hand:none,True
164,10,orchid_engine,Dax,open palms,none,gesture accepted,True,0.274,0.114,Dax:open palms:none,True
166,10,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.228,0.068,Nia:net-hand open:none,True
168,10,lichen_bridge,Rin,signal hush,meaning,slow repeat with resident correction,False,0.402,0.362,Rin:signal hush:meaning,True
170,10,moss_ward,Ari,empty hands,timing,slow repeat with resident correction,True,0.324,0.164,Ari:empty hands:timing,True
172,10,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.262,0.102,Vale:seed-step stop:none,True
174,10,orchid_engine,Bea,valve pause,none,gesture accepted,True,0.296,0.136,Bea:valve pause:none,True
176,10,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.272,0.112,Puck:lantern tap:none,True
178,10,lichen_bridge,Kio,shared bowl,none,gesture accepted,True,0.246,0.086,Kio:shared bowl:none,True
180,11,glass_harbor,Nia,net-hand open,timing,slow repeat with resident correction,True,0.304,0.144,Nia:net-hand open:timing,True
181,11,cinder_garden,Pax,shade bow,none,gesture accepted,True,0.234,0.074,Pax:shade bow:none,True
182,11,lichen_bridge,Rin,signal hush,meaning,slow repeat with resident correction,True,0.356,0.196,Rin:signal hush:meaning,True
184,11,moss_ward,Ari,empty hands,none,gesture accepted,True,0.226,0.066,Ari:empty hands:none,True
186,11,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.258,0.098,Vale:seed-step stop:none,True
187,11,lichen_bridge,Sol,rope touch,none,gesture accepted,True,0.262,0.102,Sol:rope touch:none,True
188,11,orchid_engine,Bea,valve pause,none,gesture accepted,True,0.25,0.09,Bea:valve pause:none,True
190,11,glass_harbor,Puck,lantern tap,timing,slow repeat with resident correction,True,0.334,0.174,Puck:lantern tap:timing,True
192,11,lichen_bridge,Kio,shared bowl,none,gesture accepted,True,0.242,0.082,Kio:shared bowl:none,True
193,11,orchid_engine,Cai,open palms,none,gesture accepted,True,0.252,0.092,Cai:open palms:none,True
194,11,moss_ward,Milo,door-path step,none,gesture accepted,True,0.26,0.1,Milo:door-path step:none,True
196,11,cinder_garden,Juno,shade bow,meaning,slow repeat with resident correction,True,0.324,0.164,Juno:shade bow:meaning,True
198,12,moss_ward,Ari,empty hands,none,gesture accepted,True,0.216,0.056,Ari:empty hands:none,True
200,12,cinder_garden,Vale,seed-step stop,timing,slow repeat with resident correction,True,0.32,0.16,Vale:seed-step stop:timing,True
202,12,orchid_engine,Bea,valve pause,none,gesture accepted,True,0.272,0.112,Bea:valve pause:none,True
204,12,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.244,0.084,Puck:lantern tap:none,True
206,12,lichen_bridge,Kio,shared bowl,none,gesture accepted,True,0.224,0.064,Kio:shared bowl:none,True
208,12,moss_ward,Milo,door-path step,none,gesture accepted,True,0.282,0.122,Milo:door-path step:none,True
210,12,cinder_garden,Juno,shade bow,timing,slow repeat with resident correction,True,0.314,0.154,Juno:shade bow:timing,True
212,12,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.256,0.096,Dax:orchid cup:none,True
214,12,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.246,0.086,Nia:tea hold:none,True
216,13,orchid_engine,Bea,valve pause,none,gesture accepted,True,0.226,0.066,Bea:valve pause:none,True
218,13,glass_harbor,Puck,lantern tap,none,gesture accepted,True,0.226,0.066,Puck:lantern tap:none,True
220,13,lichen_bridge,Kio,shared bowl,timing,slow repeat with resident correction,True,0.3,0.14,Kio:shared bowl:timing,True
221,13,orchid_engine,Cai,open palms,none,gesture accepted,True,0.224,0.064,Cai:open palms:none,True
222,13,moss_ward,Milo,door-path step,none,gesture accepted,True,0.236,0.076,Milo:door-path step:none,True
224,13,cinder_garden,Juno,shade bow,meaning,slow repeat with resident correction,True,0.296,0.136,Juno:shade bow:meaning,True
226,13,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.252,0.092,Dax:orchid cup:none,True
227,13,moss_ward,Tala,empty hands,none,gesture accepted,True,0.258,0.098,Tala:empty hands:none,True
228,13,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.2,0.04,Nia:tea hold:none,True
230,13,lichen_bridge,Rin,rope touch,timing,slow repeat with resident correction,True,0.338,0.178,Rin:rope touch:timing,True
232,13,moss_ward,Ari,cup pause,none,gesture accepted,True,0.198,0.038,Ari:cup pause:none,True
233,13,glass_harbor,Oren,lantern tap,none,gesture accepted,True,0.218,0.058,Oren:lantern tap:none,True
234,14,lichen_bridge,Kio,shared bowl,none,gesture accepted,True,0.202,0.042,Kio:shared bowl:none,True
236,14,moss_ward,Milo,door-path step,none,gesture accepted,True,0.258,0.098,Milo:door-path step:none,True
238,14,cinder_garden,Juno,shade bow,meaning,slow repeat with resident correction,True,0.286,0.126,Juno:shade bow:meaning,True
240,14,orchid_engine,Dax,orchid cup,timing,slow repeat with resident correction,False,0.314,0.274,Dax:orchid cup:timing,True
242,14,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.222,0.062,Nia:tea hold:none,True
244,14,lichen_bridge,Rin,rope touch,none,gesture accepted,True,0.248,0.088,Rin:rope touch:none,True
246,14,moss_ward,Ari,cup pause,none,gesture accepted,True,0.18,0.02,Ari:cup pause:none,True
248,14,cinder_garden,Vale,cool hand,none,gesture accepted,True,0.276,0.116,Vale:cool hand:none,True
250,14,orchid_engine,Bea,open palms,timing,slow repeat with resident correction,True,0.288,0.128,Bea:open palms:timing,True
252,15,cinder_garden,Juno,shade bow,meaning,slow repeat with resident correction,False,0.268,0.228,Juno:shade bow:meaning,True
254,15,orchid_engine,Dax,orchid cup,none,gesture accepted,True,0.23,0.07,Dax:orchid cup:none,True
255,15,moss_ward,Tala,empty hands,timing,slow repeat with resident correction,True,0.31,0.15,Tala:empty hands:timing,True
256,15,glass_harbor,Nia,tea hold,none,gesture accepted,True,0.176,0.02,Nia:tea hold:none,True
258,15,lichen_bridge,Rin,rope touch,none,gesture accepted,True,0.23,0.07,Rin:rope touch:none,True
260,15,moss_ward,Ari,cup pause,timing,slow repeat with resident correction,True,0.256,0.096,Ari:cup pause:timing,True
261,15,glass_harbor,Oren,lantern tap,none,gesture accepted,True,0.19,0.03,Oren:lantern tap:none,True
262,15,cinder_garden,Vale,cool hand,none,gesture accepted,True,0.23,0.07,Vale:cool hand:none,True
264,15,orchid_engine,Bea,open palms,none,gesture accepted,True,0.19,0.03,Bea:open palms:none,True
266,15,glass_harbor,Puck,net-hand open,meaning,slow repeat with resident correction,True,0.296,0.136,Puck:net-hand open:meaning,True
267,15,cinder_garden,Wren,shade bow,none,gesture accepted,True,0.222,0.062,Wren:shade bow:none,True
268,15,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.198,0.038,Kio:signal hush:none,True
270,16,glass_harbor,Nia,tea hold,timing,slow repeat with resident correction,False,0.278,0.238,Nia:tea hold:timing,True
272,16,lichen_bridge,Rin,rope touch,none,gesture accepted,True,0.22,0.06,Rin:rope touch:none,True
274,16,moss_ward,Ari,cup pause,none,gesture accepted,True,0.158,0.02,Ari:cup pause:none,True
276,16,cinder_garden,Vale,cool hand,none,gesture accepted,True,0.252,0.092,Vale:cool hand:none,True
278,16,orchid_engine,Bea,open palms,none,gesture accepted,True,0.18,0.02,Bea:open palms:none,True
280,16,glass_harbor,Puck,net-hand open,timing,slow repeat with resident correction,True,0.278,0.118,Puck:net-hand open:timing,True
282,16,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.22,0.06,Kio:signal hush:none,True
284,16,moss_ward,Milo,empty hands,none,gesture accepted,True,0.212,0.052,Milo:empty hands:none,True
286,16,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.178,0.02,Juno:seed-step stop:none,True
288,17,moss_ward,Ari,cup pause,none,gesture accepted,True,0.154,0.02,Ari:cup pause:none,True
289,17,glass_harbor,Oren,lantern tap,none,gesture accepted,True,0.162,0.02,Oren:lantern tap:none,True
290,17,cinder_garden,Vale,cool hand,timing,slow repeat with resident correction,True,0.286,0.126,Vale:cool hand:timing,True
292,17,orchid_engine,Bea,open palms,none,gesture accepted,True,0.162,0.02,Bea:open palms:none,True
294,17,glass_harbor,Puck,net-hand open,meaning,slow repeat with resident correction,True,0.274,0.114,Puck:net-hand open:meaning,True
295,17,cinder_garden,Wren,shade bow,timing,slow repeat with resident correction,True,0.274,0.114,Wren:shade bow:timing,True
296,17,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.174,0.02,Kio:signal hush:none,True
298,17,moss_ward,Milo,empty hands,none,gesture accepted,True,0.194,0.034,Milo:empty hands:none,True
300,17,cinder_garden,Juno,seed-step stop,timing,slow repeat with resident correction,True,0.254,0.094,Juno:seed-step stop:timing,True
301,17,lichen_bridge,Luma,rope touch,meaning,slow repeat with resident correction,True,0.24,0.08,Luma:rope touch:meaning,True
302,17,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.212,0.052,Dax:valve pause:none,True
304,17,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.152,0.02,Nia:lantern tap:none,True
306,18,orchid_engine,Bea,open palms,none,gesture accepted,True,0.152,0.02,Bea:open palms:none,True
308,18,glass_harbor,Puck,net-hand open,meaning,slow repeat with resident correction,True,0.256,0.096,Puck:net-hand open:meaning,True
310,18,lichen_bridge,Kio,signal hush,timing,slow repeat with resident correction,True,0.276,0.116,Kio:signal hush:timing,True
312,18,moss_ward,Milo,empty hands,none,gesture accepted,True,0.184,0.024,Milo:empty hands:none,True
314,18,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.156,0.02,Juno:seed-step stop:none,True
316,18,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.234,0.074,Dax:valve pause:none,True
318,18,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.142,0.02,Nia:lantern tap:none,True
320,18,lichen_bridge,Rin,shared bowl,timing,slow repeat with resident correction,True,0.282,0.122,Rin:shared bowl:timing,True
322,18,moss_ward,Ari,door-path step,meaning,slow repeat with resident correction,True,0.256,0.096,Ari:door-path step:meaning,True
324,19,lichen_bridge,Kio,signal hush,none,gesture accepted,True,0.15,0.02,Kio:signal hush:none,True
326,19,moss_ward,Milo,empty hands,none,gesture accepted,True,0.166,0.02,Milo:empty hands:none,True
328,19,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.152,0.02,Juno:seed-step stop:none,True
329,19,lichen_bridge,Luma,rope touch,meaning,slow repeat with resident correction,True,0.212,0.052,Luma:rope touch:meaning,True
330,19,orchid_engine,Dax,valve pause,timing,slow repeat with resident correction,True,0.268,0.108,Dax:valve pause:timing,True
332,19,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.124,0.02,Nia:lantern tap:none,True
334,19,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.198,0.038,Rin:shared bowl:none,True
335,19,orchid_engine,Eli,open palms,timing,slow repeat with resident correction,True,0.276,0.116,Eli:open palms:timing,True
336,19,moss_ward,Ari,door-path step,meaning,slow repeat with resident correction,True,0.21,0.05,Ari:door-path step:meaning,True
338,19,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.188,0.028,Vale:shade bow:none,True
340,19,orchid_engine,Bea,orchid cup,timing,slow repeat with resident correction,True,0.214,0.054,Bea:orchid cup:timing,True
341,19,moss_ward,Fay,empty hands,none,gesture accepted,True,0.15,0.02,Fay:empty hands:none,True
342,20,cinder_garden,Juno,seed-step stop,none,gesture accepted,True,0.134,0.02,Juno:seed-step stop:none,True
344,20,orchid_engine,Dax,valve pause,none,gesture accepted,True,0.21,0.05,Dax:valve pause:none,True
346,20,glass_harbor,Nia,lantern tap,none,gesture accepted,True,0.114,0.02,Nia:lantern tap:none,True
348,20,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.18,0.02,Rin:shared bowl:none,True
350,20,moss_ward,Ari,door-path step,timing,slow repeat with resident correction,True,0.232,0.072,Ari:door-path step:timing,True
352,20,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.178,0.02,Vale:shade bow:none,True
354,20,orchid_engine,Bea,orchid cup,none,gesture accepted,True,0.116,0.02,Bea:orchid cup:none,True
356,20,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.212,0.052,Puck:tea hold:none,True
358,20,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.132,0.02,Kio:rope touch:none,True
360,21,glass_harbor,Nia,lantern tap,timing,slow repeat with resident correction,False,0.176,0.136,Nia:lantern tap:timing,True
362,21,lichen_bridge,Rin,shared bowl,none,gesture accepted,True,0.176,0.02,Rin:shared bowl:none,True
363,21,orchid_engine,Eli,open palms,none,gesture accepted,True,0.168,0.02,Eli:open palms:none,True
364,21,moss_ward,Ari,door-path step,meaning,slow repeat with resident correction,True,0.186,0.026,Ari:door-path step:meaning,True
366,21,cinder_garden,Vale,shade bow,none,gesture accepted,True,0.16,0.02,Vale:shade bow:none,True
368,21,orchid_engine,Bea,orchid cup,none,gesture accepted,True,0.112,0.02,Bea:orchid cup:none,True
369,21,moss_ward,Fay,empty hands,none,gesture accepted,True,0.122,0.02,Fay:empty hands:none,True
370,21,glass_harbor,Puck,tea hold,timing,slow repeat with resident correction,True,0.246,0.086,Puck:tea hold:timing,True
372,21,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.114,0.02,Kio:rope touch:none,True
374,21,moss_ward,Milo,cup pause,none,gesture accepted,True,0.156,0.02,Milo:cup pause:none,True
375,21,glass_harbor,Sera,lantern tap,timing,slow repeat with resident correction,True,0.244,0.084,Sera:lantern tap:timing,True
376,21,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.13,0.02,Juno:cool hand:none,True
378,22,moss_ward,Ari,door-path step,meaning,slow repeat with resident correction,False,0.208,0.168,Ari:door-path step:meaning,True
380,22,cinder_garden,Vale,shade bow,timing,slow repeat with resident correction,True,0.23,0.07,Vale:shade bow:timing,True
382,22,orchid_engine,Bea,orchid cup,none,gesture accepted,True,0.094,0.02,Bea:orchid cup:none,True
384,22,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.188,0.028,Puck:tea hold:none,True
386,22,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.104,0.02,Kio:rope touch:none,True
388,22,moss_ward,Milo,cup pause,none,gesture accepted,True,0.138,0.02,Milo:cup pause:none,True
390,22,cinder_garden,Juno,cool hand,timing,slow repeat with resident correction,False,0.232,0.192,Juno:cool hand:timing,True
392,22,orchid_engine,Dax,open palms,meaning,slow repeat with resident correction,True,0.244,0.084,Dax:open palms:meaning,True
394,22,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.086,0.02,Nia:net-hand open:none,True
396,23,orchid_engine,Bea,orchid cup,none,gesture accepted,True,0.09,0.02,Bea:orchid cup:none,True
397,23,moss_ward,Fay,empty hands,none,gesture accepted,True,0.094,0.02,Fay:empty hands:none,True
398,23,glass_harbor,Puck,tea hold,none,gesture accepted,True,0.142,0.02,Puck:tea hold:none,True
400,23,lichen_bridge,Kio,rope touch,timing,slow repeat with resident correction,True,0.166,0.02,Kio:rope touch:timing,True
402,23,moss_ward,Milo,cup pause,none,gesture accepted,True,0.134,0.02,Milo:cup pause:none,True
403,23,glass_harbor,Sera,lantern tap,none,gesture accepted,True,0.136,0.02,Sera:lantern tap:none,True
404,23,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.106,0.02,Juno:cool hand:none,True
406,23,orchid_engine,Dax,open palms,meaning,slow repeat with resident correction,True,0.226,0.066,Dax:open palms:meaning,True
408,23,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.082,0.02,Nia:net-hand open:none,True
409,23,cinder_garden,Pax,shade bow,none,gesture accepted,True,0.09,0.02,Pax:shade bow:none,True
410,23,lichen_bridge,Rin,signal hush,timing,slow repeat with resident correction,True,0.238,0.078,Rin:signal hush:timing,True
412,23,moss_ward,Ari,empty hands,none,gesture accepted,True,0.082,0.02,Ari:empty hands:none,True
414,24,lichen_bridge,Kio,rope touch,none,gesture accepted,True,0.076,0.02,Kio:rope touch:none,True
416,24,moss_ward,Milo,cup pause,none,gesture accepted,True,0.116,0.02,Milo:cup pause:none,True
418,24,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.128,0.02,Juno:cool hand:none,True
420,24,orchid_engine,Dax,open palms,timing,slow repeat with resident correction,True,0.216,0.056,Dax:open palms:timing,True
422,24,glass_harbor,Nia,net-hand open,none,gesture accepted,True,0.064,0.02,Nia:net-hand open:none,True
424,24,lichen_bridge,Rin,signal hush,none,gesture accepted,True,0.18,0.02,Rin:signal hush:none,True
426,24,moss_ward,Ari,empty hands,none,gesture accepted,True,0.072,0.02,Ari:empty hands:none,True
428,24,cinder_garden,Vale,seed-step stop,none,gesture accepted,True,0.132,0.02,Vale:seed-step stop:none,True
430,24,orchid_engine,Bea,valve pause,timing,slow repeat with resident correction,True,0.192,0.032,Bea:valve pause:timing,True
432,25,cinder_garden,Juno,cool hand,none,gesture accepted,True,0.082,0.02,Juno:cool hand:none,True
