tick_id,day,tick,season,region_id,weather_pattern,intensity,temperature,wetness,production_modifier,collapse_pressure,migration_pressure,sensory_weather_marker
21,2,5,spring_rain,roofward,wet surge,0.58,0.44,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
22,2,6,spring_rain,archive_quarter,wet surge,0.66,0.46,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
23,2,7,spring_rain,signal_ridge,wet surge,0.74,0.48,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
24,2,8,spring_rain,orchard_fen,wet surge,0.42,0.5,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
25,2,9,spring_rain,riverbend,wet surge,0.6,0.52,0.78,1.15,0.213,0.4,spring_rain:wet surge:0.60
26,2,10,spring_rain,roofward,wet surge,0.58,0.44,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
27,2,11,spring_rain,archive_quarter,wet surge,0.66,0.46,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
28,2,12,spring_rain,signal_ridge,wet surge,0.74,0.48,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
29,2,13,spring_rain,orchard_fen,wet surge,0.42,0.5,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
30,2,14,spring_rain,riverbend,wet surge,0.6,0.52,0.84,1.15,0.213,0.4,spring_rain:wet surge:0.60
31,2,15,spring_rain,roofward,wet surge,0.58,0.44,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
32,3,0,spring_rain,archive_quarter,wet surge,0.66,0.44,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
33,3,1,spring_rain,signal_ridge,wet surge,0.74,0.46,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
34,3,2,spring_rain,orchard_fen,wet surge,0.42,0.48,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
35,3,3,spring_rain,riverbend,wet surge,0.5,0.5,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
36,3,4,spring_rain,roofward,wet surge,0.68,0.52,0.81,1.146,0.2274,0.408,spring_rain:wet surge:0.68
37,3,5,spring_rain,archive_quarter,wet surge,0.66,0.44,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
38,3,6,spring_rain,signal_ridge,wet surge,0.74,0.46,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
39,3,7,spring_rain,orchard_fen,wet surge,0.42,0.48,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
40,3,8,spring_rain,riverbend,wet surge,0.5,0.5,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
41,3,9,spring_rain,roofward,wet surge,0.68,0.52,0.78,1.146,0.2274,0.408,spring_rain:wet surge:0.68
42,3,10,spring_rain,archive_quarter,wet surge,0.66,0.44,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
43,3,11,spring_rain,signal_ridge,wet surge,0.74,0.46,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
44,3,12,spring_rain,orchard_fen,wet surge,0.42,0.48,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
45,3,13,spring_rain,riverbend,wet surge,0.5,0.5,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
46,3,14,spring_rain,roofward,wet surge,0.68,0.52,0.84,1.146,0.2274,0.408,spring_rain:wet surge:0.68
47,3,15,spring_rain,archive_quarter,wet surge,0.66,0.44,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
48,4,0,spring_rain,signal_ridge,wet surge,0.74,0.44,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
49,4,1,spring_rain,orchard_fen,wet surge,0.42,0.46,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
50,4,2,spring_rain,riverbend,wet surge,0.5,0.48,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
51,4,3,spring_rain,roofward,wet surge,0.58,0.5,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
52,4,4,spring_rain,archive_quarter,wet surge,0.76,0.52,0.81,1.142,0.2418,0.416,spring_rain:wet surge:0.76
53,4,5,spring_rain,signal_ridge,wet surge,0.74,0.44,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
54,4,6,spring_rain,orchard_fen,wet surge,0.42,0.46,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
55,4,7,spring_rain,riverbend,wet surge,0.5,0.48,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
56,4,8,spring_rain,roofward,wet surge,0.58,0.5,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
57,4,9,spring_rain,archive_quarter,wet surge,0.76,0.52,0.78,1.142,0.2418,0.416,spring_rain:wet surge:0.76
58,4,10,spring_rain,signal_ridge,wet surge,0.74,0.44,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
59,4,11,spring_rain,orchard_fen,wet surge,0.42,0.46,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
60,4,12,spring_rain,riverbend,wet surge,0.5,0.48,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
61,4,13,spring_rain,roofward,wet surge,0.58,0.5,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
62,4,14,spring_rain,archive_quarter,wet surge,0.76,0.52,0.84,1.142,0.2418,0.416,spring_rain:wet surge:0.76
63,4,15,spring_rain,signal_ridge,wet surge,0.74,0.44,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
64,5,0,spring_rain,orchard_fen,wet surge,0.42,0.44,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
65,5,1,spring_rain,riverbend,wet surge,0.5,0.46,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
66,5,2,spring_rain,roofward,wet surge,0.58,0.48,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
67,5,3,spring_rain,archive_quarter,wet surge,0.66,0.5,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
68,5,4,spring_rain,signal_ridge,wet surge,0.84,0.52,0.81,1.138,0.2562,0.424,spring_rain:wet surge:0.84
69,5,5,spring_rain,orchard_fen,wet surge,0.42,0.44,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
70,5,6,spring_rain,riverbend,wet surge,0.5,0.46,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
71,5,7,spring_rain,roofward,wet surge,0.58,0.48,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
72,5,8,spring_rain,archive_quarter,wet surge,0.66,0.5,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
73,5,9,spring_rain,signal_ridge,wet surge,0.84,0.52,0.78,1.138,0.2562,0.424,spring_rain:wet surge:0.84
74,5,10,spring_rain,orchard_fen,wet surge,0.42,0.44,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
75,5,11,spring_rain,riverbend,wet surge,0.5,0.46,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
76,5,12,spring_rain,roofward,wet surge,0.58,0.48,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
77,5,13,spring_rain,archive_quarter,wet surge,0.66,0.5,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
78,5,14,spring_rain,signal_ridge,wet surge,0.84,0.52,0.84,1.138,0.2562,0.424,spring_rain:wet surge:0.84
79,5,15,spring_rain,orchard_fen,wet surge,0.42,0.44,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
80,6,0,spring_rain,roofward,wet surge,0.5,0.44,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
81,6,1,spring_rain,archive_quarter,wet surge,0.58,0.46,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
82,6,2,spring_rain,signal_ridge,wet surge,0.66,0.48,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
83,6,3,spring_rain,orchard_fen,wet surge,0.74,0.5,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
84,6,4,spring_rain,riverbend,wet surge,0.52,0.52,0.81,1.154,0.1986,0.392,spring_rain:wet surge:0.52
85,6,5,spring_rain,roofward,wet surge,0.5,0.44,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
86,6,6,spring_rain,archive_quarter,wet surge,0.58,0.46,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
87,6,7,spring_rain,signal_ridge,wet surge,0.66,0.48,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
88,6,8,spring_rain,orchard_fen,wet surge,0.74,0.5,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
89,6,9,spring_rain,riverbend,wet surge,0.52,0.52,0.78,1.154,0.1986,0.392,spring_rain:wet surge:0.52
90,6,10,spring_rain,roofward,wet surge,0.5,0.44,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
91,6,11,spring_rain,archive_quarter,wet surge,0.58,0.46,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
92,6,12,spring_rain,signal_ridge,wet surge,0.66,0.48,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
93,6,13,spring_rain,orchard_fen,wet surge,0.74,0.5,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
94,6,14,spring_rain,riverbend,wet surge,0.52,0.52,0.84,1.154,0.1986,0.392,spring_rain:wet surge:0.52
95,6,15,spring_rain,roofward,wet surge,0.5,0.44,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
96,7,0,spring_rain,archive_quarter,wet surge,0.58,0.44,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
97,7,1,spring_rain,signal_ridge,wet surge,0.66,0.46,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
98,7,2,spring_rain,orchard_fen,wet surge,0.74,0.48,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
99,7,3,spring_rain,riverbend,wet surge,0.42,0.5,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
100,7,4,spring_rain,roofward,wet surge,0.6,0.52,0.81,1.15,0.213,0.4,spring_rain:wet surge:0.60
101,7,5,spring_rain,archive_quarter,wet surge,0.58,0.44,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
102,7,6,spring_rain,signal_ridge,wet surge,0.66,0.46,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
103,7,7,spring_rain,orchard_fen,wet surge,0.74,0.48,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
104,7,8,spring_rain,riverbend,wet surge,0.42,0.5,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
105,7,9,spring_rain,roofward,wet surge,0.6,0.52,0.78,1.15,0.213,0.4,spring_rain:wet surge:0.60
106,7,10,spring_rain,archive_quarter,wet surge,0.58,0.44,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
107,7,11,spring_rain,signal_ridge,wet surge,0.66,0.46,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
108,7,12,spring_rain,orchard_fen,wet surge,0.74,0.48,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
109,7,13,spring_rain,riverbend,wet surge,0.42,0.5,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
110,7,14,spring_rain,roofward,wet surge,0.6,0.52,0.84,1.15,0.213,0.4,spring_rain:wet surge:0.60
111,7,15,spring_rain,archive_quarter,wet surge,0.58,0.44,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
112,8,0,spring_rain,signal_ridge,wet surge,0.66,0.44,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
113,8,1,spring_rain,orchard_fen,wet surge,0.74,0.46,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
114,8,2,spring_rain,riverbend,wet surge,0.42,0.48,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
115,8,3,spring_rain,roofward,wet surge,0.5,0.5,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
116,8,4,spring_rain,archive_quarter,wet surge,0.68,0.52,0.81,1.146,0.2274,0.408,spring_rain:wet surge:0.68
117,8,5,spring_rain,signal_ridge,wet surge,0.66,0.44,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
118,8,6,spring_rain,orchard_fen,wet surge,0.74,0.46,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
119,8,7,spring_rain,riverbend,wet surge,0.42,0.48,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
120,8,8,spring_rain,roofward,wet surge,0.5,0.5,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
121,8,9,spring_rain,archive_quarter,wet surge,0.68,0.52,0.78,1.146,0.2274,0.408,spring_rain:wet surge:0.68
122,8,10,spring_rain,signal_ridge,wet surge,0.66,0.44,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
123,8,11,spring_rain,orchard_fen,wet surge,0.74,0.46,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
124,8,12,spring_rain,riverbend,wet surge,0.42,0.48,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
125,8,13,spring_rain,roofward,wet surge,0.5,0.5,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
126,8,14,spring_rain,archive_quarter,wet surge,0.68,0.52,0.84,1.146,0.2274,0.408,spring_rain:wet surge:0.68
127,8,15,spring_rain,signal_ridge,wet surge,0.66,0.44,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
128,9,0,spring_rain,orchard_fen,wet surge,0.74,0.44,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
129,9,1,spring_rain,riverbend,wet surge,0.42,0.46,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
130,9,2,spring_rain,roofward,wet surge,0.5,0.48,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
131,9,3,spring_rain,archive_quarter,wet surge,0.58,0.5,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
132,9,4,spring_rain,signal_ridge,wet surge,0.76,0.52,0.81,1.142,0.2418,0.416,spring_rain:wet surge:0.76
133,9,5,spring_rain,orchard_fen,wet surge,0.74,0.44,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
134,9,6,spring_rain,riverbend,wet surge,0.42,0.46,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
135,9,7,spring_rain,roofward,wet surge,0.5,0.48,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
136,9,8,spring_rain,archive_quarter,wet surge,0.58,0.5,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
137,9,9,spring_rain,signal_ridge,wet surge,0.76,0.52,0.78,1.142,0.2418,0.416,spring_rain:wet surge:0.76
138,9,10,spring_rain,orchard_fen,wet surge,0.74,0.44,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
139,9,11,spring_rain,riverbend,wet surge,0.42,0.46,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
140,9,12,spring_rain,roofward,wet surge,0.5,0.48,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
141,9,13,spring_rain,archive_quarter,wet surge,0.58,0.5,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
142,9,14,spring_rain,signal_ridge,wet surge,0.76,0.52,0.84,1.142,0.2418,0.416,spring_rain:wet surge:0.76
143,9,15,spring_rain,orchard_fen,wet surge,0.74,0.44,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
144,10,0,spring_rain,riverbend,wet surge,0.42,0.44,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
145,10,1,spring_rain,roofward,wet surge,0.5,0.46,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
146,10,2,spring_rain,archive_quarter,wet surge,0.58,0.48,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
147,10,3,spring_rain,signal_ridge,wet surge,0.66,0.5,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
148,10,4,spring_rain,orchard_fen,wet surge,0.84,0.52,0.81,1.138,0.2562,0.424,spring_rain:wet surge:0.84
149,10,5,spring_rain,riverbend,wet surge,0.42,0.44,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
150,10,6,spring_rain,roofward,wet surge,0.5,0.46,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
151,10,7,spring_rain,archive_quarter,wet surge,0.58,0.48,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
152,10,8,spring_rain,signal_ridge,wet surge,0.66,0.5,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
153,10,9,spring_rain,orchard_fen,wet surge,0.84,0.52,0.78,1.138,0.2562,0.424,spring_rain:wet surge:0.84
154,10,10,spring_rain,riverbend,wet surge,0.42,0.44,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
155,10,11,spring_rain,roofward,wet surge,0.5,0.46,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
156,10,12,spring_rain,archive_quarter,wet surge,0.58,0.48,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
157,10,13,spring_rain,signal_ridge,wet surge,0.66,0.5,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
158,10,14,spring_rain,orchard_fen,wet surge,0.84,0.52,0.84,1.138,0.2562,0.424,spring_rain:wet surge:0.84
159,10,15,spring_rain,riverbend,wet surge,0.42,0.44,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
160,11,0,spring_rain,roofward,wet surge,0.5,0.44,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
161,11,1,spring_rain,archive_quarter,wet surge,0.58,0.46,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
162,11,2,spring_rain,signal_ridge,wet surge,0.66,0.48,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
163,11,3,spring_rain,orchard_fen,wet surge,0.74,0.5,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
164,11,4,spring_rain,riverbend,wet surge,0.52,0.52,0.81,1.154,0.1986,0.392,spring_rain:wet surge:0.52
165,11,5,spring_rain,roofward,wet surge,0.5,0.44,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
166,11,6,spring_rain,archive_quarter,wet surge,0.58,0.46,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
167,11,7,spring_rain,signal_ridge,wet surge,0.66,0.48,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
168,11,8,spring_rain,orchard_fen,wet surge,0.74,0.5,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
169,11,9,spring_rain,riverbend,wet surge,0.52,0.52,0.78,1.154,0.1986,0.392,spring_rain:wet surge:0.52
170,11,10,spring_rain,roofward,wet surge,0.5,0.44,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
171,11,11,spring_rain,archive_quarter,wet surge,0.58,0.46,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
172,11,12,spring_rain,signal_ridge,wet surge,0.66,0.48,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
173,11,13,spring_rain,orchard_fen,wet surge,0.74,0.5,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
174,11,14,spring_rain,riverbend,wet surge,0.52,0.52,0.84,1.154,0.1986,0.392,spring_rain:wet surge:0.52
175,11,15,spring_rain,roofward,wet surge,0.5,0.44,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
176,12,0,spring_rain,signal_ridge,wet surge,0.58,0.44,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
177,12,1,spring_rain,orchard_fen,wet surge,0.66,0.46,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
178,12,2,spring_rain,riverbend,wet surge,0.74,0.48,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
179,12,3,spring_rain,roofward,wet surge,0.42,0.5,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
180,12,4,spring_rain,archive_quarter,wet surge,0.6,0.52,0.81,1.15,0.213,0.4,spring_rain:wet surge:0.60
181,12,5,spring_rain,signal_ridge,wet surge,0.58,0.44,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
182,12,6,spring_rain,orchard_fen,wet surge,0.66,0.46,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
183,12,7,spring_rain,riverbend,wet surge,0.74,0.48,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
184,12,8,spring_rain,roofward,wet surge,0.42,0.5,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
185,12,9,spring_rain,archive_quarter,wet surge,0.6,0.52,0.78,1.15,0.213,0.4,spring_rain:wet surge:0.60
186,12,10,spring_rain,signal_ridge,wet surge,0.58,0.44,0.81,1.151,0.2094,0.398,spring_rain:wet surge:0.58
187,12,11,spring_rain,orchard_fen,wet surge,0.66,0.46,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
188,12,12,spring_rain,riverbend,wet surge,0.74,0.48,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
189,12,13,spring_rain,roofward,wet surge,0.42,0.5,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
190,12,14,spring_rain,archive_quarter,wet surge,0.6,0.52,0.84,1.15,0.213,0.4,spring_rain:wet surge:0.60
191,12,15,spring_rain,signal_ridge,wet surge,0.58,0.44,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
192,13,0,spring_rain,orchard_fen,wet surge,0.66,0.44,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
193,13,1,spring_rain,riverbend,wet surge,0.74,0.46,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
194,13,2,spring_rain,roofward,wet surge,0.42,0.48,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
195,13,3,spring_rain,archive_quarter,wet surge,0.5,0.5,0.78,1.155,0.195,0.39,spring_rain:wet surge:0.50
196,13,4,spring_rain,signal_ridge,wet surge,0.68,0.52,0.81,1.146,0.2274,0.408,spring_rain:wet surge:0.68
197,13,5,spring_rain,orchard_fen,wet surge,0.66,0.44,0.84,1.147,0.2238,0.406,spring_rain:wet surge:0.66
198,13,6,spring_rain,riverbend,wet surge,0.74,0.46,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
199,13,7,spring_rain,roofward,wet surge,0.42,0.48,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
200,13,8,spring_rain,archive_quarter,wet surge,0.5,0.5,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
201,13,9,spring_rain,signal_ridge,wet surge,0.68,0.52,0.78,1.146,0.2274,0.408,spring_rain:wet surge:0.68
202,13,10,spring_rain,orchard_fen,wet surge,0.66,0.44,0.81,1.147,0.2238,0.406,spring_rain:wet surge:0.66
203,13,11,spring_rain,riverbend,wet surge,0.74,0.46,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
204,13,12,spring_rain,roofward,wet surge,0.42,0.48,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
205,13,13,spring_rain,archive_quarter,wet surge,0.5,0.5,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
206,13,14,spring_rain,signal_ridge,wet surge,0.68,0.52,0.84,1.146,0.2274,0.408,spring_rain:wet surge:0.68
207,13,15,spring_rain,orchard_fen,wet surge,0.66,0.44,0.78,1.147,0.2238,0.406,spring_rain:wet surge:0.66
208,14,0,spring_rain,riverbend,wet surge,0.74,0.44,0.78,1.143,0.2382,0.414,spring_rain:wet surge:0.74
209,14,1,spring_rain,roofward,wet surge,0.42,0.46,0.81,1.159,0.1806,0.382,spring_rain:wet surge:0.42
210,14,2,spring_rain,archive_quarter,wet surge,0.5,0.48,0.84,1.155,0.195,0.39,spring_rain:wet surge:0.50
211,14,3,spring_rain,signal_ridge,wet surge,0.58,0.5,0.78,1.151,0.2094,0.398,spring_rain:wet surge:0.58
212,14,4,spring_rain,orchard_fen,wet surge,0.76,0.52,0.81,1.142,0.2418,0.416,spring_rain:wet surge:0.76
213,14,5,spring_rain,riverbend,wet surge,0.74,0.44,0.84,1.143,0.2382,0.414,spring_rain:wet surge:0.74
214,14,6,spring_rain,roofward,wet surge,0.42,0.46,0.78,1.159,0.1806,0.382,spring_rain:wet surge:0.42
215,14,7,spring_rain,archive_quarter,wet surge,0.5,0.48,0.81,1.155,0.195,0.39,spring_rain:wet surge:0.50
216,14,8,spring_rain,signal_ridge,wet surge,0.58,0.5,0.84,1.151,0.2094,0.398,spring_rain:wet surge:0.58
217,14,9,spring_rain,orchard_fen,wet surge,0.76,0.52,0.78,1.142,0.2418,0.416,spring_rain:wet surge:0.76
218,14,10,spring_rain,riverbend,wet surge,0.74,0.44,0.81,1.143,0.2382,0.414,spring_rain:wet surge:0.74
219,14,11,spring_rain,roofward,wet surge,0.42,0.46,0.84,1.159,0.1806,0.382,spring_rain:wet surge:0.42
