tick,day,loop_id,agent,negotiation_phase,animation_state,posture,animation_weight,state_matches_dialogue,transition_safe,private_workspace_sealed
104,9,v19-loop-014,Vonn,listen,open_listen_idle,steps back,0.91,1,1,1
105,9,v19-loop-014,Sova,revise,side_step_reconsider,turns toward object,0.87,1,1,1
106,9,v19-loop-014,Keth,counteroffer,object_point_counteroffer,faces listener,0.88,1,1,1
107,9,v19-loop-014,Melo,repair,palms_low_repair,steps back,0.86,1,1,1
108,10,v19-loop-014,Ori,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
109,10,v19-loop-014,Vonn,listen,open_listen_idle,steps back,0.91,1,1,1
110,10,v19-loop-014,Sova,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
111,10,v19-loop-014,Keth,counteroffer,object_point_counteroffer,faces listener,0.88,1,0,1
112,10,v19-loop-015,Melo,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
113,10,v19-loop-015,Nari,counteroffer,object_point_counteroffer,faces listener,0.9,1,1,1
114,10,v19-loop-015,Ori,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
115,10,v19-loop-015,Vonn,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
116,10,v19-loop-015,Sova,ceremony,two_hand_object_mark,turns toward object,0.88,1,1,1
117,10,v19-loop-015,Keth,revise,side_step_reconsider,turns toward object,0.89,1,1,1
118,10,v19-loop-015,Melo,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
119,10,v19-loop-015,Nari,listen,open_listen_idle,steps back,0.91,1,1,1
120,11,v19-loop-016,Vonn,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
121,11,v19-loop-016,Sova,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
122,11,v19-loop-016,Keth,revise,side_step_reconsider,turns toward object,0.89,1,1,1
123,11,v19-loop-016,Melo,repair,palms_low_repair,steps back,0.87,1,1,1
124,11,v19-loop-016,Nari,counteroffer,object_point_counteroffer,faces listener,0.72,0,1,1
125,11,v19-loop-016,Ori,settle,shoulders_drop_settle,turns toward object,0.87,1,1,1
126,11,v19-loop-016,Vonn,repair,palms_low_repair,steps back,0.85,1,1,1
127,11,v19-loop-016,Sova,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
128,11,v19-loop-017,Keth,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
129,11,v19-loop-017,Melo,repair,palms_low_repair,steps back,0.88,1,1,1
130,11,v19-loop-017,Nari,repair,palms_low_repair,steps back,0.84,1,1,1
131,11,v19-loop-017,Ori,revise,side_step_reconsider,turns toward object,0.88,1,1,1
132,12,v19-loop-017,Sova,revise,side_step_reconsider,turns toward object,0.89,1,1,1
133,12,v19-loop-017,Keth,listen,open_listen_idle,steps back,0.9,1,1,1
134,12,v19-loop-017,Melo,listen,open_listen_idle,steps back,0.91,1,1,1
135,12,v19-loop-017,Nari,claim_turn,hand_raise_step_in,faces listener,0.87,1,1,1
136,12,v19-loop-018,Ori,revise,side_step_reconsider,turns toward object,0.88,1,1,1
137,12,v19-loop-018,Vonn,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
138,12,v19-loop-018,Sova,revise,side_step_reconsider,turns toward object,0.9,1,1,1
139,12,v19-loop-018,Keth,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
140,12,v19-loop-018,Melo,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
141,12,v19-loop-018,Nari,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
142,12,v19-loop-018,Ori,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
143,12,v19-loop-018,Vonn,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
144,13,v19-loop-019,Keth,listen,open_listen_idle,steps back,0.91,1,1,1
145,13,v19-loop-019,Melo,settle,shoulders_drop_settle,turns toward object,0.87,1,1,1
146,13,v19-loop-019,Nari,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
147,13,v19-loop-019,Ori,ceremony,two_hand_object_mark,turns toward object,0.89,1,1,1
148,13,v19-loop-019,Vonn,listen,open_listen_idle,steps back,0.9,1,0,1
149,13,v19-loop-019,Sova,listen,open_listen_idle,steps back,0.91,1,1,1
150,13,v19-loop-019,Keth,claim_turn,hand_raise_step_in,faces listener,0.87,1,1,1
151,13,v19-loop-019,Melo,listen,open_listen_idle,steps back,0.88,1,1,1
152,13,v19-loop-020,Nari,revise,side_step_reconsider,turns toward object,0.89,1,1,1
153,13,v19-loop-020,Ori,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
154,13,v19-loop-020,Vonn,listen,open_listen_idle,steps back,0.91,1,1,1
155,13,v19-loop-020,Sova,ceremony,two_hand_object_mark,turns toward object,0.68,0,1,1
156,14,v19-loop-020,Melo,listen,open_listen_idle,steps back,0.88,1,1,1
157,14,v19-loop-020,Nari,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
158,14,v19-loop-020,Ori,listen,open_listen_idle,steps back,0.9,1,1,1
159,14,v19-loop-020,Vonn,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
160,14,v19-loop-021,Sova,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
161,14,v19-loop-021,Keth,repair,palms_low_repair,steps back,0.85,1,1,1
162,14,v19-loop-021,Melo,ceremony,two_hand_object_mark,turns toward object,0.89,1,1,1
163,14,v19-loop-021,Nari,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
164,14,v19-loop-021,Ori,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
165,14,v19-loop-021,Vonn,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
166,14,v19-loop-021,Sova,listen,open_listen_idle,steps back,0.88,1,1,1
167,14,v19-loop-021,Keth,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
168,15,v19-loop-022,Nari,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
169,15,v19-loop-022,Ori,ceremony,two_hand_object_mark,turns toward object,0.91,1,1,1
170,15,v19-loop-022,Vonn,listen,open_listen_idle,steps back,0.87,1,1,1
171,15,v19-loop-022,Sova,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
172,15,v19-loop-022,Keth,repair,palms_low_repair,steps back,0.86,1,1,1
173,15,v19-loop-022,Melo,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
174,15,v19-loop-022,Nari,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
175,15,v19-loop-022,Ori,repair,palms_low_repair,steps back,0.84,1,1,1
176,15,v19-loop-023,Vonn,counteroffer,object_point_counteroffer,faces listener,0.88,1,1,1
177,15,v19-loop-023,Sova,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
178,15,v19-loop-023,Keth,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
179,15,v19-loop-023,Melo,listen,open_listen_idle,steps back,0.91,1,1,1
180,16,v19-loop-023,Ori,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
181,16,v19-loop-023,Vonn,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
182,16,v19-loop-023,Sova,ceremony,two_hand_object_mark,turns toward object,0.89,1,1,1
183,16,v19-loop-023,Keth,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
184,16,v19-loop-024,Melo,ceremony,two_hand_object_mark,turns toward object,0.91,1,1,1
185,16,v19-loop-024,Nari,settle,shoulders_drop_settle,turns toward object,0.87,1,0,1
186,16,v19-loop-024,Ori,claim_turn,hand_raise_step_in,faces listener,0.69,0,1,1
187,16,v19-loop-024,Vonn,ceremony,two_hand_object_mark,turns toward object,0.89,1,1,1
188,16,v19-loop-024,Sova,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
189,16,v19-loop-024,Keth,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
190,16,v19-loop-024,Melo,listen,open_listen_idle,steps back,0.87,1,1,1
191,16,v19-loop-024,Nari,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
192,17,v19-loop-025,Vonn,listen,open_listen_idle,steps back,0.89,1,1,1
193,17,v19-loop-025,Sova,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
194,17,v19-loop-025,Keth,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
195,17,v19-loop-025,Melo,claim_turn,hand_raise_step_in,faces listener,0.87,1,1,1
196,17,v19-loop-025,Nari,listen,open_listen_idle,steps back,0.88,1,1,1
197,17,v19-loop-025,Ori,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
198,17,v19-loop-025,Vonn,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
199,17,v19-loop-025,Sova,listen,open_listen_idle,steps back,0.91,1,1,1
200,17,v19-loop-026,Keth,settle,shoulders_drop_settle,turns toward object,0.87,1,1,1
201,17,v19-loop-026,Melo,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
202,17,v19-loop-026,Nari,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
203,17,v19-loop-026,Ori,revise,side_step_reconsider,turns toward object,0.9,1,1,1
204,18,v19-loop-026,Sova,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
205,18,v19-loop-026,Keth,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
206,18,v19-loop-026,Melo,listen,open_listen_idle,steps back,0.88,1,1,1
207,18,v19-loop-026,Nari,repair,palms_low_repair,steps back,0.86,1,1,1
208,18,v19-loop-027,Ori,revise,side_step_reconsider,turns toward object,0.9,1,1,1
209,18,v19-loop-027,Vonn,listen,open_listen_idle,steps back,0.91,1,1,1
210,18,v19-loop-027,Sova,repair,palms_low_repair,steps back,0.84,1,1,1
211,18,v19-loop-027,Keth,repair,palms_low_repair,steps back,0.85,1,1,1
212,18,v19-loop-027,Melo,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
213,18,v19-loop-027,Nari,revise,side_step_reconsider,turns toward object,0.9,1,1,1
214,18,v19-loop-027,Ori,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
215,18,v19-loop-027,Vonn,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
216,19,v19-loop-028,Keth,ceremony,two_hand_object_mark,turns toward object,0.88,1,1,1
217,19,v19-loop-028,Melo,settle,shoulders_drop_settle,turns toward object,0.7,0,1,1
218,19,v19-loop-028,Nari,counteroffer,object_point_counteroffer,faces listener,0.9,1,1,1
219,19,v19-loop-028,Ori,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
220,19,v19-loop-028,Vonn,repair,palms_low_repair,steps back,0.84,1,1,1
221,19,v19-loop-028,Sova,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
222,19,v19-loop-028,Keth,revise,side_step_reconsider,turns toward object,0.89,1,0,1
223,19,v19-loop-028,Melo,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
224,19,v19-loop-029,Nari,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
225,19,v19-loop-029,Ori,settle,shoulders_drop_settle,turns toward object,0.87,1,1,1
226,19,v19-loop-029,Vonn,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
227,19,v19-loop-029,Sova,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
228,20,v19-loop-029,Melo,listen,open_listen_idle,steps back,0.9,1,1,1
229,20,v19-loop-029,Nari,ceremony,two_hand_object_mark,turns toward object,0.91,1,1,1
230,20,v19-loop-029,Ori,repair,palms_low_repair,steps back,0.84,1,1,1
231,20,v19-loop-029,Vonn,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
232,20,v19-loop-030,Sova,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
233,20,v19-loop-030,Keth,counteroffer,object_point_counteroffer,faces listener,0.9,1,1,1
234,20,v19-loop-030,Melo,listen,open_listen_idle,steps back,0.91,1,1,1
235,20,v19-loop-030,Nari,repair,palms_low_repair,steps back,0.84,1,1,1
236,20,v19-loop-030,Ori,revise,side_step_reconsider,turns toward object,0.88,1,1,1
237,20,v19-loop-030,Vonn,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
238,20,v19-loop-030,Sova,counteroffer,object_point_counteroffer,faces listener,0.9,1,1,1
239,20,v19-loop-030,Keth,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
240,21,v19-loop-031,Nari,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
241,21,v19-loop-031,Ori,settle,shoulders_drop_settle,turns toward object,0.88,1,1,1
242,21,v19-loop-031,Vonn,ceremony,two_hand_object_mark,turns toward object,0.89,1,1,1
243,21,v19-loop-031,Sova,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
244,21,v19-loop-031,Keth,listen,open_listen_idle,steps back,0.91,1,1,1
245,21,v19-loop-031,Melo,listen,open_listen_idle,steps back,0.87,1,1,1
246,21,v19-loop-031,Nari,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
247,21,v19-loop-031,Ori,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
248,21,v19-loop-032,Vonn,settle,shoulders_drop_settle,turns toward object,0.71,0,1,1
249,21,v19-loop-032,Sova,settle,shoulders_drop_settle,turns toward object,0.91,1,1,1
250,21,v19-loop-032,Keth,revise,side_step_reconsider,turns toward object,0.87,1,1,1
251,21,v19-loop-032,Melo,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
252,22,v19-loop-032,Ori,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
253,22,v19-loop-032,Vonn,listen,open_listen_idle,steps back,0.9,1,1,1
254,22,v19-loop-032,Sova,listen,open_listen_idle,steps back,0.91,1,1,1
255,22,v19-loop-032,Keth,ceremony,two_hand_object_mark,turns toward object,0.87,1,1,1
256,22,v19-loop-033,Melo,repair,palms_low_repair,steps back,0.85,1,1,1
257,22,v19-loop-033,Nari,repair,palms_low_repair,steps back,0.86,1,1,1
258,22,v19-loop-033,Ori,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
259,22,v19-loop-033,Vonn,settle,shoulders_drop_settle,turns toward object,0.91,1,0,1
260,22,v19-loop-033,Sova,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
261,22,v19-loop-033,Keth,claim_turn,hand_raise_step_in,faces listener,0.88,1,1,1
262,22,v19-loop-033,Melo,ceremony,two_hand_object_mark,turns toward object,0.89,1,1,1
263,22,v19-loop-033,Nari,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
264,23,v19-loop-034,Vonn,claim_turn,hand_raise_step_in,faces listener,0.91,1,1,1
265,23,v19-loop-034,Sova,claim_turn,hand_raise_step_in,faces listener,0.87,1,1,1
266,23,v19-loop-034,Keth,listen,open_listen_idle,steps back,0.88,1,1,1
267,23,v19-loop-034,Melo,listen,open_listen_idle,steps back,0.89,1,1,1
268,23,v19-loop-034,Nari,listen,open_listen_idle,steps back,0.9,1,1,1
269,23,v19-loop-034,Ori,revise,side_step_reconsider,turns toward object,0.91,1,1,1
270,23,v19-loop-034,Vonn,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
271,23,v19-loop-034,Sova,revise,side_step_reconsider,turns toward object,0.88,1,1,1
272,23,v19-loop-035,Keth,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
273,23,v19-loop-035,Melo,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
274,23,v19-loop-035,Nari,ceremony,two_hand_object_mark,turns toward object,0.91,1,1,1
275,23,v19-loop-035,Ori,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
276,24,v19-loop-035,Sova,counteroffer,object_point_counteroffer,faces listener,0.88,1,1,1
277,24,v19-loop-035,Keth,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
278,24,v19-loop-035,Melo,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
279,24,v19-loop-035,Nari,repair,palms_low_repair,steps back,0.69,0,1,1
280,24,v19-loop-036,Ori,revise,side_step_reconsider,turns toward object,0.87,1,1,1
281,24,v19-loop-036,Vonn,repair,palms_low_repair,steps back,0.85,1,1,1
282,24,v19-loop-036,Sova,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
283,24,v19-loop-036,Keth,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
284,24,v19-loop-036,Melo,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
285,24,v19-loop-036,Nari,revise,side_step_reconsider,turns toward object,0.87,1,1,1
286,24,v19-loop-036,Ori,counteroffer,object_point_counteroffer,faces listener,0.88,1,1,1
287,24,v19-loop-036,Vonn,counteroffer,object_point_counteroffer,faces listener,0.89,1,1,1
288,25,v19-loop-037,Keth,claim_turn,hand_raise_step_in,faces listener,0.9,1,1,1
289,25,v19-loop-037,Melo,repair,palms_low_repair,steps back,0.88,1,1,1
290,25,v19-loop-037,Nari,listen,open_listen_idle,steps back,0.87,1,1,1
291,25,v19-loop-037,Ori,revise,side_step_reconsider,turns toward object,0.88,1,1,1
292,25,v19-loop-037,Vonn,settle,shoulders_drop_settle,turns toward object,0.89,1,1,1
293,25,v19-loop-037,Sova,settle,shoulders_drop_settle,turns toward object,0.9,1,1,1
294,25,v19-loop-037,Keth,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
295,25,v19-loop-037,Melo,listen,open_listen_idle,steps back,0.87,1,1,1
296,25,v19-loop-038,Nari,revise,side_step_reconsider,turns toward object,0.88,1,0,1
297,25,v19-loop-038,Ori,repair,palms_low_repair,steps back,0.86,1,1,1
298,25,v19-loop-038,Vonn,ceremony,two_hand_object_mark,turns toward object,0.9,1,1,1
299,25,v19-loop-038,Sova,repair,palms_low_repair,steps back,0.88,1,1,1
300,26,v19-loop-038,Melo,revise,side_step_reconsider,turns toward object,0.87,1,1,1
301,26,v19-loop-038,Nari,listen,open_listen_idle,steps back,0.88,1,1,1
302,26,v19-loop-038,Ori,claim_turn,hand_raise_step_in,faces listener,0.89,1,1,1
303,26,v19-loop-038,Vonn,counteroffer,object_point_counteroffer,faces listener,0.9,1,1,1
304,26,v19-loop-039,Sova,counteroffer,object_point_counteroffer,faces listener,0.91,1,1,1
305,26,v19-loop-039,Keth,counteroffer,object_point_counteroffer,faces listener,0.87,1,1,1
306,26,v19-loop-039,Melo,listen,open_listen_idle,steps back,0.88,1,1,1
