tick_id,year,tick,phase,household_id,market_exchange_id,ritual_id,token_id,technology_id,sensory_packet_id,avatar_gate_id,continuity_note
soc_tick_8_westkeepers,8,150,triad,westkeepers,market_8_westkeepers_to_redstair,ritual_8_westkeepers,token_8_westkeepers,tech_8_westkeepers,sense_8,gate_8,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_8_mossgarden,8,155,triad,mossgarden,market_8_mossgarden_to_wheelwright,ritual_8_mossgarden,token_8_mossgarden,tech_8_mossgarden,sense_8,gate_8,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_8_ledgerkin,8,160,triad,ledgerkin,market_8_ledgerkin_to_westkeepers,ritual_8_ledgerkin,token_8_ledgerkin,tech_8_ledgerkin,sense_8,gate_8,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_8_redstair,8,165,triad,redstair,market_8_redstair_to_mossgarden,ritual_8_redstair,token_8_redstair,tech_8_redstair,sense_8,gate_8,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_8_wheelwright,8,170,triad,wheelwright,market_8_wheelwright_to_ledgerkin,ritual_8_wheelwright,token_8_wheelwright,tech_8_wheelwright,sense_8,gate_8,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_55_westkeepers,55,175,square,westkeepers,market_55_westkeepers_to_wheelwright,ritual_55_westkeepers,token_55_westkeepers,tech_55_westkeepers,sense_55,gate_55,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_55_mossgarden,55,180,square,mossgarden,market_55_mossgarden_to_westkeepers,ritual_55_mossgarden,token_55_mossgarden,tech_55_mossgarden,sense_55,gate_55,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_55_ledgerkin,55,185,square,ledgerkin,market_55_ledgerkin_to_mossgarden,ritual_55_ledgerkin,token_55_ledgerkin,tech_55_ledgerkin,sense_55,gate_55,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_55_redstair,55,190,square,redstair,market_55_redstair_to_ledgerkin,ritual_55_redstair,token_55_redstair,tech_55_redstair,sense_55,gate_55,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_55_wheelwright,55,195,square,wheelwright,market_55_wheelwright_to_redstair,ritual_55_wheelwright,token_55_wheelwright,tech_55_wheelwright,sense_55,gate_55,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_377_westkeepers,377,200,pentad,westkeepers,market_377_westkeepers_to_westkeepers,ritual_377_westkeepers,token_377_westkeepers,tech_377_westkeepers,sense_377,gate_377,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_377_mossgarden,377,205,pentad,mossgarden,market_377_mossgarden_to_mossgarden,ritual_377_mossgarden,token_377_mossgarden,tech_377_mossgarden,sense_377,gate_377,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_377_ledgerkin,377,210,pentad,ledgerkin,market_377_ledgerkin_to_ledgerkin,ritual_377_ledgerkin,token_377_ledgerkin,tech_377_ledgerkin,sense_377,gate_377,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_377_redstair,377,215,pentad,redstair,market_377_redstair_to_redstair,ritual_377_redstair,token_377_redstair,tech_377_redstair,sense_377,gate_377,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_377_wheelwright,377,220,pentad,wheelwright,market_377_wheelwright_to_wheelwright,ritual_377_wheelwright,token_377_wheelwright,tech_377_wheelwright,sense_377,gate_377,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_987_westkeepers,987,225,hexad,westkeepers,market_987_westkeepers_to_mossgarden,ritual_987_westkeepers,token_987_westkeepers,tech_987_westkeepers,sense_987,gate_987,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_987_mossgarden,987,230,hexad,mossgarden,market_987_mossgarden_to_ledgerkin,ritual_987_mossgarden,token_987_mossgarden,tech_987_mossgarden,sense_987,gate_987,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_987_ledgerkin,987,235,hexad,ledgerkin,market_987_ledgerkin_to_redstair,ritual_987_ledgerkin,token_987_ledgerkin,tech_987_ledgerkin,sense_987,gate_987,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_987_redstair,987,240,hexad,redstair,market_987_redstair_to_wheelwright,ritual_987_redstair,token_987_redstair,tech_987_redstair,sense_987,gate_987,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_987_wheelwright,987,245,hexad,wheelwright,market_987_wheelwright_to_westkeepers,ritual_987_wheelwright,token_987_wheelwright,tech_987_wheelwright,sense_987,gate_987,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1597_westkeepers,1597,250,flower,westkeepers,market_1597_westkeepers_to_ledgerkin,ritual_1597_westkeepers,token_1597_westkeepers,tech_1597_westkeepers,sense_1597,gate_1597,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1597_mossgarden,1597,255,flower,mossgarden,market_1597_mossgarden_to_redstair,ritual_1597_mossgarden,token_1597_mossgarden,tech_1597_mossgarden,sense_1597,gate_1597,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1597_ledgerkin,1597,260,flower,ledgerkin,market_1597_ledgerkin_to_wheelwright,ritual_1597_ledgerkin,token_1597_ledgerkin,tech_1597_ledgerkin,sense_1597,gate_1597,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1597_redstair,1597,265,flower,redstair,market_1597_redstair_to_westkeepers,ritual_1597_redstair,token_1597_redstair,tech_1597_redstair,sense_1597,gate_1597,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_1597_wheelwright,1597,270,flower,wheelwright,market_1597_wheelwright_to_mossgarden,ritual_1597_wheelwright,token_1597_wheelwright,tech_1597_wheelwright,sense_1597,gate_1597,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_2584_westkeepers,2584,275,fruit,westkeepers,market_2584_westkeepers_to_redstair,ritual_2584_westkeepers,token_2584_westkeepers,tech_2584_westkeepers,sense_2584,gate_2584,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_2584_mossgarden,2584,280,fruit,mossgarden,market_2584_mossgarden_to_wheelwright,ritual_2584_mossgarden,token_2584_mossgarden,tech_2584_mossgarden,sense_2584,gate_2584,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_2584_ledgerkin,2584,285,fruit,ledgerkin,market_2584_ledgerkin_to_westkeepers,ritual_2584_ledgerkin,token_2584_ledgerkin,tech_2584_ledgerkin,sense_2584,gate_2584,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_2584_redstair,2584,290,fruit,redstair,market_2584_redstair_to_mossgarden,ritual_2584_redstair,token_2584_redstair,tech_2584_redstair,sense_2584,gate_2584,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_2584_wheelwright,2584,295,fruit,wheelwright,market_2584_wheelwright_to_ledgerkin,ritual_2584_wheelwright,token_2584_wheelwright,tech_2584_wheelwright,sense_2584,gate_2584,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_4181_westkeepers,4181,300,return,westkeepers,market_4181_westkeepers_to_wheelwright,ritual_4181_westkeepers,token_4181_westkeepers,tech_4181_westkeepers,sense_4181,gate_4181,"Westkeepers links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_4181_mossgarden,4181,305,return,mossgarden,market_4181_mossgarden_to_westkeepers,ritual_4181_mossgarden,token_4181_mossgarden,tech_4181_mossgarden,sense_4181,gate_4181,"Mossgarden links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_4181_ledgerkin,4181,310,return,ledgerkin,market_4181_ledgerkin_to_mossgarden,ritual_4181_ledgerkin,token_4181_ledgerkin,tech_4181_ledgerkin,sense_4181,gate_4181,"Ledgerkin links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_4181_redstair,4181,315,return,redstair,market_4181_redstair_to_ledgerkin,ritual_4181_redstair,token_4181_redstair,tech_4181_redstair,sense_4181,gate_4181,"Redstair links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
soc_tick_4181_wheelwright,4181,320,return,wheelwright,market_4181_wheelwright_to_redstair,ritual_4181_wheelwright,token_4181_wheelwright,tech_4181_wheelwright,sense_4181,gate_4181,"Wheelwright links market, ritual, proto-word, technology, and body-cost ecology before avatar entry"
