tick_id,day,settlement_id,resident_id,welfare_before,welfare_after,distress_before,distress_after,safety_before,safety_after,recovery_action,recovery_latency_ticks,care_available,no_suffering_loop,visible_state_marker,emotion_label
81,5,cinder_garden,Pax,0.736237,0.742638,0.246314,0.230258,0.625,0.585,short rest lowers activation,4,True,True,turns toward shelter route,settled
82,5,lichen_bridge,Rin,0.89254,0.833994,0.04,0.04,0.565,0.535,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
83,5,orchid_engine,Eli,0.77204,0.76245,0.171238,0.192193,0.625,0.645,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
84,5,moss_ward,Ari,0.892319,0.842295,0.04,0.04,0.635,0.655,short rest lowers activation,3,True,True,shakes cloak and avoids puddles,settled
85,5,glass_harbor,Oren,0.736171,0.719715,0.233659,0.259873,0.63,0.625,monitors body state without spectacle,10,True,True,shakes cloak and avoids puddles,settled
86,5,cinder_garden,Vale,0.907311,0.852137,0.04,0.04,0.725,0.685,household care lowers need pressure,4,True,True,seeks warmer or cooler edge,settled
87,5,lichen_bridge,Sol,0.75914,0.758239,0.203371,0.19249,0.665,0.635,short rest lowers activation,6,True,True,shakes cloak and avoids puddles,settled
88,5,orchid_engine,Bea,0.89406,0.843204,0.04,0.04,0.585,0.605,household care lowers need pressure,3,True,True,turns toward shelter route,settled
89,5,moss_ward,Fay,0.732464,0.718362,0.23459,0.261868,0.635,0.655,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,settled
90,6,cinder_garden,Juno,0.888745,0.854624,0.04,0.04,0.695,0.715,short rest lowers activation,3,True,True,turns toward shelter route,settled
91,6,lichen_bridge,Luma,0.719009,0.697266,0.252751,0.283328,0.555,0.505,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,settled
92,6,orchid_engine,Dax,0.900436,0.844058,0.04,0.04,0.665,0.635,household care lowers need pressure,4,True,True,turns toward shelter route,settled
93,6,moss_ward,Tala,0.765327,0.769111,0.188696,0.17758,0.705,0.695,short rest lowers activation,6,True,True,shakes cloak and avoids puddles,settled
94,6,glass_harbor,Nia,0.892781,0.833106,0.04,0.04,0.625,0.565,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
95,6,cinder_garden,Pax,0.742638,0.733168,0.230258,0.249713,0.585,0.605,monitors body state without spectacle,7,True,True,turns toward shelter route,settled
96,6,lichen_bridge,Rin,0.886594,0.828309,0.04,0.04,0.535,0.485,short rest lowers activation,5,True,True,shakes cloak and avoids puddles,settled
97,6,orchid_engine,Eli,0.76245,0.744895,0.192193,0.216503,0.645,0.615,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
98,6,moss_ward,Ari,0.894895,0.840927,0.04,0.04,0.655,0.645,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
99,6,glass_harbor,Oren,0.719715,0.71365,0.259873,0.255828,0.625,0.565,short rest lowers activation,4,True,True,shakes cloak and avoids puddles,settled
100,6,cinder_garden,Vale,0.904737,0.853248,0.04,0.04,0.685,0.705,household care lowers need pressure,3,True,True,seeks warmer or cooler edge,settled
101,6,lichen_bridge,Sol,0.758239,0.737483,0.19249,0.220327,0.635,0.585,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,settled
102,6,orchid_engine,Bea,0.895804,0.838795,0.04,0.04,0.605,0.575,short rest lowers activation,3,True,True,turns toward shelter route,settled
103,6,moss_ward,Fay,0.718362,0.699652,0.261868,0.291634,0.655,0.645,monitors body state without spectacle,10,True,True,shakes cloak and avoids puddles,settled
104,6,glass_harbor,Puck,0.894061,0.832394,0.04,0.04,0.63,0.57,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
105,6,cinder_garden,Wren,0.775113,0.785817,0.174569,0.157112,0.625,0.645,short rest lowers activation,6,True,True,turns toward shelter route,settled
106,6,lichen_bridge,Kio,0.890022,0.830932,0.04,0.04,0.555,0.505,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
107,6,orchid_engine,Cai,0.723412,0.704579,0.257257,0.283895,0.605,0.575,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,settled
108,7,glass_harbor,Nia,0.868306,0.831326,0.04,0.04,0.565,0.545,short rest lowers activation,3,True,True,shakes cloak and avoids puddles,settled
109,7,cinder_garden,Pax,0.733168,0.719756,0.249713,0.270385,0.605,0.57,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
110,7,lichen_bridge,Rin,0.880909,0.827915,0.04,0.04,0.485,0.46,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
111,7,orchid_engine,Eli,0.744895,0.742572,0.216503,0.20913,0.615,0.555,short rest lowers activation,6,True,True,shakes cloak and avoids puddles,settled
112,7,moss_ward,Ari,0.893527,0.834066,0.04,0.04,0.645,0.595,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
113,7,glass_harbor,Oren,0.71365,0.694159,0.255828,0.288329,0.565,0.545,monitors body state without spectacle,7,True,True,shakes cloak and avoids puddles,settled
114,7,cinder_garden,Vale,0.905848,0.855214,0.04,0.04,0.705,0.74,short rest lowers activation,5,True,True,seeks warmer or cooler edge,settled
115,7,lichen_bridge,Sol,0.737483,0.720652,0.220327,0.249112,0.585,0.56,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,settled
116,7,orchid_engine,Bea,0.891395,0.831763,0.04,0.04,0.575,0.515,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
117,7,moss_ward,Fay,0.699652,0.694324,0.291634,0.289877,0.645,0.595,short rest lowers activation,4,True,True,shakes cloak and avoids puddles,settled
118,7,glass_harbor,Puck,0.884994,0.830485,0.04,0.04,0.57,0.55,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
119,7,cinder_garden,Wren,0.785817,0.77335,0.157112,0.176011,0.645,0.61,monitors body state without spectacle,8,True,True,turns toward shelter route,settled
120,7,lichen_bridge,Kio,0.883532,0.829664,0.04,0.04,0.505,0.48,short rest lowers activation,3,True,True,shakes cloak and avoids puddles,settled
121,7,orchid_engine,Cai,0.704579,0.680497,0.283895,0.315076,0.575,0.515,monitors body state without spectacle,10,True,True,shakes cloak and avoids puddles,settled
122,7,moss_ward,Milo,0.895079,0.834927,0.04,0.04,0.665,0.615,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
123,7,glass_harbor,Sera,0.767333,0.770837,0.186858,0.174753,0.685,0.665,short rest lowers activation,6,True,True,seeks warmer or cooler edge,settled
124,7,cinder_garden,Juno,0.907224,0.852848,0.04,0.04,0.715,0.68,household care lowers need pressure,3,True,True,seeks warmer or cooler edge,settled
125,7,lichen_bridge,Luma,0.697266,0.678285,0.283328,0.315147,0.505,0.48,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,watchful
126,8,moss_ward,Ari,0.869266,0.83528,0.04,0.04,0.595,0.6,short rest lowers activation,3,True,True,shakes cloak and avoids puddles,settled
127,8,glass_harbor,Oren,0.694159,0.672003,0.288329,0.323175,0.545,0.515,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,watchful
128,8,cinder_garden,Vale,0.907814,0.852025,0.04,0.04,0.74,0.69,household care lowers need pressure,4,True,True,seeks warmer or cooler edge,settled
129,8,lichen_bridge,Sol,0.720652,0.725961,0.249112,0.242451,0.56,0.58,short rest lowers activation,6,True,True,shakes cloak and avoids puddles,settled
130,8,orchid_engine,Bea,0.884363,0.828797,0.04,0.04,0.515,0.475,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
131,8,moss_ward,Fay,0.694324,0.676835,0.289877,0.323256,0.595,0.6,monitors body state without spectacle,7,True,True,shakes cloak and avoids puddles,watchful
132,8,glass_harbor,Puck,0.883085,0.826873,0.04,0.04,0.55,0.52,short rest lowers activation,5,True,True,shakes cloak and avoids puddles,settled
133,8,cinder_garden,Wren,0.77335,0.759153,0.176011,0.196473,0.61,0.56,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
134,8,lichen_bridge,Kio,0.882264,0.831333,0.04,0.04,0.48,0.5,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
135,8,orchid_engine,Cai,0.680497,0.678934,0.315076,0.312373,0.515,0.475,short rest lowers activation,4,True,True,shakes cloak and avoids puddles,watchful
136,8,moss_ward,Milo,0.887527,0.836684,0.04,0.04,0.615,0.62,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
137,8,glass_harbor,Sera,0.770837,0.753416,0.174753,0.200335,0.665,0.635,monitors body state without spectacle,8,True,True,seeks warmer or cooler edge,settled
138,8,cinder_garden,Juno,0.905448,0.84981,0.04,0.04,0.68,0.63,short rest lowers activation,3,True,True,seeks warmer or cooler edge,settled
139,8,lichen_bridge,Luma,0.678285,0.662773,0.315147,0.346979,0.48,0.5,monitors body state without spectacle,10,True,True,shakes cloak and avoids puddles,watchful
140,8,orchid_engine,Dax,0.896658,0.839414,0.04,0.04,0.635,0.595,household care lowers need pressure,4,True,True,turns toward shelter route,settled
141,8,moss_ward,Tala,0.769111,0.773986,0.17758,0.16719,0.695,0.7,short rest lowers activation,6,True,True,shakes cloak and avoids puddles,settled
142,8,glass_harbor,Nia,0.883926,0.828016,0.04,0.04,0.545,0.515,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
143,8,cinder_garden,Pax,0.719756,0.704624,0.270385,0.292509,0.57,0.52,monitors body state without spectacle,9,True,True,turns toward shelter route,settled
144,9,orchid_engine,Bea,0.863997,0.829743,0.04,0.04,0.475,0.47,short rest lowers activation,3,True,True,turns toward shelter route,settled
145,9,moss_ward,Fay,0.676835,0.655231,0.323256,0.358403,0.6,0.57,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,watchful
146,9,glass_harbor,Puck,0.879473,0.828504,0.04,0.04,0.52,0.54,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
147,9,cinder_garden,Wren,0.759153,0.764453,0.196473,0.182797,0.56,0.53,short rest lowers activation,6,True,True,turns toward shelter route,settled
148,9,lichen_bridge,Kio,0.883933,0.8255,0.04,0.04,0.5,0.42,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
149,9,orchid_engine,Cai,0.678934,0.662651,0.312373,0.344198,0.475,0.47,monitors body state without spectacle,7,True,True,shakes cloak and avoids puddles,watchful
150,9,moss_ward,Milo,0.889284,0.830708,0.04,0.04,0.62,0.59,short rest lowers activation,5,True,True,shakes cloak and avoids puddles,settled
151,9,glass_harbor,Sera,0.753416,0.741239,0.200335,0.226048,0.635,0.655,monitors body state without spectacle,9,True,True,seeks warmer or cooler edge,settled
152,9,cinder_garden,Juno,0.90241,0.85187,0.04,0.04,0.63,0.67,household care lowers need pressure,4,True,True,turns toward shelter route,settled
153,9,lichen_bridge,Luma,0.662773,0.655521,0.346979,0.346996,0.5,0.42,short rest lowers activation,4,True,True,shakes cloak and avoids puddles,watchful
154,9,orchid_engine,Dax,0.892014,0.840527,0.04,0.04,0.595,0.59,household care lowers need pressure,3,True,True,turns toward shelter route,settled
155,9,moss_ward,Tala,0.773986,0.75216,0.16719,0.196505,0.7,0.67,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,settled
156,9,glass_harbor,Nia,0.880616,0.829704,0.04,0.04,0.515,0.535,short rest lowers activation,3,True,True,shakes cloak and avoids puddles,settled
157,9,cinder_garden,Pax,0.704624,0.68976,0.292509,0.315994,0.52,0.49,monitors body state without spectacle,10,True,True,turns toward shelter route,settled
158,9,lichen_bridge,Rin,0.880515,0.821655,0.04,0.04,0.46,0.38,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
159,9,orchid_engine,Eli,0.742572,0.747889,0.20913,0.200877,0.555,0.55,short rest lowers activation,6,True,True,turns toward shelter route,settled
160,9,moss_ward,Ari,0.88788,0.829946,0.04,0.04,0.6,0.57,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
161,9,glass_harbor,Oren,0.672003,0.654326,0.323175,0.358356,0.515,0.535,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,watchful
162,10,lichen_bridge,Kio,0.8607,0.82109,0.04,0.04,0.42,0.39,short rest lowers activation,3,True,True,shakes cloak and avoids puddles,settled
163,10,orchid_engine,Cai,0.662651,0.64717,0.344198,0.376031,0.47,0.49,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,watchful
164,10,moss_ward,Milo,0.883308,0.832795,0.04,0.04,0.59,0.61,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
165,10,glass_harbor,Sera,0.741239,0.743661,0.226048,0.218303,0.655,0.65,short rest lowers activation,6,True,True,shakes cloak and avoids puddles,settled
166,10,cinder_garden,Juno,0.90447,0.849496,0.04,0.04,0.67,0.63,household care lowers need pressure,3,True,True,turns toward shelter route,settled
167,10,lichen_bridge,Luma,0.655521,0.629503,0.346996,0.385827,0.42,0.39,monitors body state without spectacle,7,True,True,shakes cloak and avoids puddles,watchful
168,10,orchid_engine,Dax,0.893127,0.84231,0.04,0.04,0.59,0.61,short rest lowers activation,5,True,True,turns toward shelter route,settled
169,10,moss_ward,Tala,0.75216,0.737901,0.196505,0.226008,0.67,0.69,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,settled
170,10,glass_harbor,Nia,0.882304,0.827337,0.04,0.04,0.535,0.53,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
171,10,cinder_garden,Pax,0.68976,0.693359,0.315994,0.305085,0.49,0.45,short rest lowers activation,4,True,True,turns toward shelter route,settled
172,10,lichen_bridge,Rin,0.874255,0.817065,0.04,0.04,0.38,0.35,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
173,10,orchid_engine,Eli,0.747889,0.73503,0.200877,0.227801,0.55,0.57,monitors body state without spectacle,8,True,True,seeks warmer or cooler edge,settled
174,10,moss_ward,Ari,0.882546,0.832884,0.04,0.04,0.57,0.59,short rest lowers activation,3,True,True,shakes cloak and avoids puddles,settled
175,10,glass_harbor,Oren,0.654326,0.632474,0.358356,0.395542,0.535,0.53,monitors body state without spectacle,10,True,True,shakes cloak and avoids puddles,watchful
176,10,cinder_garden,Vale,0.904625,0.850273,0.04,0.04,0.69,0.65,household care lowers need pressure,4,True,True,seeks warmer or cooler edge,settled
177,10,lichen_bridge,Sol,0.725961,0.72052,0.242451,0.240408,0.58,0.55,short rest lowers activation,6,True,True,shakes cloak and avoids puddles,settled
178,10,orchid_engine,Bea,0.882343,0.831441,0.04,0.04,0.47,0.49,household care lowers need pressure,3,True,True,turns toward shelter route,settled
179,10,moss_ward,Fay,0.655231,0.637817,0.358403,0.393653,0.57,0.59,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,watchful
180,11,cinder_garden,Juno,0.884696,0.851404,0.04,0.04,0.63,0.65,short rest lowers activation,3,True,True,seeks warmer or cooler edge,settled
181,11,lichen_bridge,Luma,0.629503,0.604374,0.385827,0.42628,0.39,0.34,monitors body state without spectacle,8,True,True,shakes cloak and avoids puddles,watchful
182,11,orchid_engine,Dax,0.89491,0.838518,0.04,0.04,0.61,0.58,household care lowers need pressure,4,True,True,turns toward shelter route,settled
183,11,moss_ward,Tala,0.737901,0.737606,0.226008,0.222336,0.69,0.68,short rest lowers activation,6,True,True,shakes cloak and avoids puddles,settled
184,11,glass_harbor,Nia,0.879937,0.822121,0.04,0.04,0.53,0.47,household care lowers need pressure,3,True,True,shakes cloak and avoids puddles,settled
185,11,cinder_garden,Pax,0.693359,0.681039,0.305085,0.329775,0.45,0.47,monitors body state without spectacle,7,True,True,turns toward shelter route,settled
186,11,lichen_bridge,Rin,0.869665,0.814645,0.04,0.04,0.35,0.3,short rest lowers activation,5,True,True,shakes cloak and avoids puddles,settled
187,11,orchid_engine,Eli,0.73503,0.714454,0.227801,0.258026,0.57,0.54,monitors body state without spectacle,9,True,True,shakes cloak and avoids puddles,settled
188,11,moss_ward,Ari,0.885484,0.830192,0.04,0.04,0.59,0.58,household care lowers need pressure,4,True,True,shakes cloak and avoids puddles,settled
