tick_id,day,agent_id,cause_intent,energy,comfort,pain,safety,wetness,temperature,arousal,trust_avatar,sound_cue,smell_cue,temperature_cue,frequency_rate_hz,flower_node,body_delta_visible,localstorage_body_written
70,6,Ivo,apologize,0.663,0.607,0.099,0.596,0.174,0.577,0.454,0.626,cart creak,apple soil,damp air,0.67063,node-01,True,True
71,6,Juno,protect_object,0.663,0.602,0.086,0.74,0.164,0.578,0.365,0.665,bell hum,hot copper,warm metal,0.53344,node-09,True,True
72,7,Ari,ask_risky_action,0.665,0.707,0.095,0.652,0.159,0.585,0.416,0.654,river slap,cedar resin,cold spray,0.50343,node-03,True,True
74,7,Nia,ask_memory,0.649,0.557,0.101,0.632,0.165,0.573,0.457,0.575,page flutter,ink linen,cool stone,0.67135,node-08,True,True
75,7,Milo,ask_status,0.668,0.645,0.08,0.802,0.18,0.56,0.21,0.672,static crickets,lamp oil,cool dusk,0.505,node-11,True,True
76,7,Ivo,ask_risky_action,0.628,0.552,0.119,0.516,0.194,0.567,0.544,0.566,cart creak,apple soil,damp air,0.64863,node-01,True,True
77,7,Juno,rush_agent,0.633,0.557,0.101,0.68,0.164,0.573,0.445,0.62,bell hum,hot copper,warm metal,0.50919,node-09,True,True
79,7,Fay,ask_risky_action,0.665,0.757,0.095,0.652,0.159,0.585,0.416,0.694,hinges ticking,thyme paper,warm draft,0.62343,node-05,True,True
81,7,Milo,ask_status,0.664,0.66,0.08,0.816,0.18,0.56,0.2,0.686,static crickets,lamp oil,cool dusk,0.5432,node-11,True,True
82,7,Ivo,ask_status,0.624,0.567,0.119,0.53,0.194,0.567,0.534,0.58,cart creak,apple soil,damp air,0.68683,node-01,True,True
84,8,Ari,ask_help,0.655,0.727,0.095,0.67,0.159,0.585,0.422,0.67,river slap,cedar resin,cold spray,0.50451,node-03,True,True
86,8,Nia,apologize,0.655,0.597,0.095,0.67,0.159,0.585,0.422,0.63,page flutter,ink linen,cool stone,0.66451,node-08,True,True
87,8,Milo,protect_object,0.66,0.705,0.076,0.876,0.165,0.568,0.178,0.736,static crickets,lamp oil,cool dusk,0.49888,node-11,True,True
89,8,Juno,offer_care,0.651,0.612,0.091,0.73,0.144,0.593,0.4,0.66,bell hum,hot copper,warm metal,0.50019,node-09,True,True
91,8,Fay,ask_help,0.655,0.777,0.095,0.67,0.159,0.585,0.422,0.71,hinges ticking,thyme paper,warm draft,0.62451,node-05,True,True
93,8,Milo,apologize,0.666,0.745,0.07,0.914,0.159,0.58,0.143,0.791,static crickets,lamp oil,cool dusk,0.53204,node-11,True,True
94,8,Ivo,protect_object,0.62,0.612,0.115,0.59,0.179,0.575,0.512,0.63,cart creak,apple soil,damp air,0.68251,node-01,True,True
96,9,Fay,offer_care,0.673,0.832,0.085,0.72,0.139,0.605,0.377,0.75,hinges ticking,thyme paper,warm draft,0.53551,node-05,True,True
97,9,Nia,apologize,0.661,0.637,0.089,0.708,0.153,0.597,0.387,0.685,page flutter,ink linen,cool stone,0.61767,node-08,True,True
98,9,Milo,protect_object,0.662,0.79,0.066,0.96,0.144,0.588,0.121,0.841,static crickets,lamp oil,cool dusk,0.44772,node-11,True,True
99,9,Ivo,ask_status,0.616,0.627,0.115,0.604,0.179,0.575,0.502,0.644,cart creak,apple soil,damp air,0.60071,node-01,True,True
101,9,Ari,protect_object,0.651,0.772,0.091,0.73,0.144,0.593,0.4,0.72,river slap,cedar resin,cold spray,0.50019,node-03,True,True
103,9,Nia,offer_care,0.679,0.692,0.079,0.758,0.133,0.617,0.342,0.725,page flutter,ink linen,cool stone,0.64867,node-08,True,True
105,9,Ivo,ask_status,0.612,0.642,0.115,0.618,0.179,0.575,0.492,0.658,cart creak,apple soil,damp air,0.63891,node-01,True,True
106,9,Juno,ask_help,0.641,0.632,0.091,0.748,0.144,0.593,0.406,0.676,bell hum,hot copper,warm metal,0.50127,node-09,True,True
108,10,Fay,ask_memory,0.667,0.844,0.085,0.73,0.139,0.605,0.395,0.77,hinges ticking,thyme paper,warm draft,0.53875,node-05,True,True
110,10,Milo,ask_risky_action,0.627,0.735,0.086,0.88,0.164,0.578,0.211,0.781,static crickets,lamp oil,cool dusk,0.46572,node-11,True,True
111,10,Ivo,ask_status,0.608,0.657,0.115,0.632,0.179,0.575,0.482,0.672,cart creak,apple soil,damp air,0.59711,node-01,True,True
113,10,Ari,ask_risky_action,0.616,0.717,0.111,0.65,0.164,0.583,0.49,0.66,river slap,cedar resin,cold spray,0.51819,node-03,True,True
114,10,Fay,rush_agent,0.637,0.799,0.1,0.67,0.139,0.6,0.475,0.725,hinges ticking,thyme paper,warm draft,0.5945,node-05,True,True
115,10,Nia,ask_memory,0.673,0.704,0.079,0.768,0.133,0.617,0.36,0.745,page flutter,ink linen,cool stone,0.65191,node-08,True,True
117,10,Ivo,ask_status,0.604,0.672,0.115,0.646,0.179,0.575,0.472,0.686,cart creak,apple soil,damp air,0.63531,node-01,True,True
118,10,Juno,rush_agent,0.611,0.587,0.106,0.688,0.144,0.588,0.486,0.631,bell hum,hot copper,warm metal,0.51702,node-09,True,True
120,11,Fay,apologize,0.643,0.839,0.094,0.708,0.133,0.612,0.44,0.78,hinges ticking,thyme paper,warm draft,0.54766,node-05,True,True
122,11,Milo,ask_help,0.617,0.755,0.086,0.898,0.164,0.578,0.217,0.797,static crickets,lamp oil,cool dusk,0.4668,node-11,True,True
123,11,Ivo,ask_status,0.6,0.687,0.115,0.66,0.179,0.575,0.462,0.7,cart creak,apple soil,damp air,0.59351,node-01,True,True
125,11,Ari,ask_help,0.606,0.737,0.111,0.668,0.164,0.583,0.496,0.676,river slap,cedar resin,cold spray,0.51927,node-03,True,True
127,11,Nia,apologize,0.679,0.744,0.073,0.806,0.127,0.629,0.325,0.8,page flutter,ink linen,cool stone,0.64507,node-08,True,True
129,11,Ivo,ask_status,0.596,0.702,0.115,0.674,0.179,0.575,0.452,0.714,cart creak,apple soil,damp air,0.63171,node-01,True,True
130,11,Juno,offer_care,0.629,0.642,0.096,0.738,0.124,0.608,0.441,0.671,bell hum,hot copper,warm metal,0.50802,node-09,True,True
131,11,Ari,protect_object,0.602,0.782,0.107,0.728,0.149,0.591,0.474,0.726,river slap,cedar resin,cold spray,0.55495,node-03,True,True
132,12,Fay,ask_status,0.639,0.854,0.094,0.722,0.133,0.612,0.43,0.794,hinges ticking,thyme paper,warm draft,0.54586,node-05,True,True
134,12,Milo,rush_agent,0.587,0.71,0.101,0.838,0.164,0.573,0.297,0.752,static crickets,lamp oil,cool dusk,0.48255,node-11,True,True
135,12,Ivo,ask_status,0.592,0.717,0.115,0.688,0.179,0.575,0.442,0.728,cart creak,apple soil,damp air,0.58991,node-01,True,True
137,12,Ari,rush_agent,0.572,0.737,0.122,0.668,0.149,0.586,0.554,0.681,river slap,cedar resin,cold spray,0.5307,node-03,True,True
139,12,Nia,ask_status,0.675,0.759,0.073,0.82,0.127,0.629,0.315,0.814,page flutter,ink linen,cool stone,0.64327,node-08,True,True
141,12,Ivo,ask_status,0.588,0.732,0.115,0.702,0.179,0.575,0.432,0.742,cart creak,apple soil,damp air,0.62811,node-01,True,True
142,12,Juno,ask_memory,0.623,0.654,0.096,0.748,0.124,0.608,0.459,0.691,bell hum,hot copper,warm metal,0.51126,node-09,True,True
144,13,Fay,protect_object,0.635,0.899,0.09,0.782,0.118,0.62,0.408,0.844,hinges ticking,thyme paper,warm draft,0.54154,node-05,True,True
146,13,Milo,offer_care,0.605,0.765,0.091,0.888,0.144,0.593,0.252,0.792,static crickets,lamp oil,cool dusk,0.47355,node-11,True,True
147,13,Ivo,ask_status,0.584,0.747,0.115,0.716,0.179,0.575,0.422,0.756,cart creak,apple soil,damp air,0.58631,node-01,True,True
149,13,Ari,offer_care,0.59,0.792,0.112,0.718,0.129,0.606,0.509,0.721,river slap,cedar resin,cold spray,0.5217,node-03,True,True
151,13,Nia,protect_object,0.671,0.804,0.069,0.88,0.112,0.637,0.293,0.864,page flutter,ink linen,cool stone,0.63895,node-08,True,True
153,13,Ivo,ask_status,0.58,0.762,0.115,0.73,0.179,0.575,0.412,0.77,cart creak,apple soil,damp air,0.62451,node-01,True,True
154,13,Juno,apologize,0.629,0.694,0.09,0.786,0.118,0.62,0.424,0.746,bell hum,hot copper,warm metal,0.50442,node-09,True,True
156,14,Fay,ask_risky_action,0.6,0.844,0.11,0.702,0.138,0.61,0.498,0.784,hinges ticking,thyme paper,warm draft,0.55954,node-05,True,True
158,14,Milo,ask_memory,0.599,0.777,0.091,0.898,0.144,0.593,0.27,0.812,static crickets,lamp oil,cool dusk,0.47679,node-11,True,True
159,14,Ivo,ask_status,0.576,0.777,0.115,0.744,0.179,0.575,0.402,0.784,cart creak,apple soil,damp air,0.58271,node-01,True,True
161,14,Ari,ask_memory,0.584,0.804,0.112,0.728,0.129,0.606,0.527,0.741,river slap,cedar resin,cold spray,0.52494,node-03,True,True
163,14,Nia,ask_risky_action,0.636,0.749,0.089,0.8,0.132,0.627,0.383,0.804,page flutter,ink linen,cool stone,0.65695,node-08,True,True
165,14,Ivo,ask_status,0.572,0.792,0.115,0.758,0.179,0.575,0.392,0.798,cart creak,apple soil,damp air,0.62091,node-01,True,True
166,14,Juno,ask_status,0.625,0.709,0.09,0.8,0.118,0.62,0.414,0.76,bell hum,hot copper,warm metal,0.50262,node-09,True,True
168,15,Fay,ask_help,0.59,0.864,0.11,0.72,0.138,0.61,0.504,0.8,hinges ticking,thyme paper,warm draft,0.56062,node-05,True,True
170,15,Milo,apologize,0.605,0.817,0.085,0.936,0.138,0.605,0.235,0.867,static crickets,lamp oil,cool dusk,0.46995,node-11,True,True
171,15,Ivo,ask_status,0.568,0.807,0.115,0.772,0.179,0.575,0.382,0.812,cart creak,apple soil,damp air,0.57911,node-01,True,True
173,15,Ari,apologize,0.59,0.844,0.106,0.766,0.123,0.618,0.492,0.796,river slap,cedar resin,cold spray,0.5181,node-03,True,True
175,15,Nia,ask_help,0.626,0.769,0.089,0.818,0.132,0.627,0.389,0.82,page flutter,ink linen,cool stone,0.65803,node-08,True,True
177,15,Ivo,ask_status,0.564,0.822,0.115,0.786,0.179,0.575,0.372,0.826,cart creak,apple soil,damp air,0.61731,node-01,True,True
178,15,Juno,protect_object,0.621,0.754,0.086,0.86,0.103,0.628,0.392,0.81,bell hum,hot copper,warm metal,0.4983,node-09,True,True
180,16,Fay,rush_agent,0.56,0.819,0.125,0.66,0.138,0.605,0.584,0.755,hinges ticking,thyme paper,warm draft,0.57637,node-05,True,True
182,16,Milo,ask_status,0.601,0.832,0.085,0.95,0.138,0.605,0.225,0.881,static crickets,lamp oil,cool dusk,0.46815,node-11,True,True
183,16,Ivo,ask_status,0.56,0.837,0.115,0.8,0.179,0.575,0.362,0.84,cart creak,apple soil,damp air,0.57551,node-01,True,True
185,16,Ari,ask_status,0.586,0.859,0.106,0.78,0.123,0.618,0.482,0.81,river slap,cedar resin,cold spray,0.5163,node-03,True,True
187,16,Nia,rush_agent,0.596,0.724,0.104,0.758,0.132,0.622,0.469,0.775,page flutter,ink linen,cool stone,0.67378,node-08,True,True
189,16,Ivo,ask_status,0.556,0.852,0.115,0.814,0.179,0.575,0.352,0.854,cart creak,apple soil,damp air,0.61371,node-01,True,True
190,16,Juno,ask_risky_action,0.586,0.699,0.106,0.78,0.123,0.618,0.482,0.75,bell hum,hot copper,warm metal,0.5163,node-09,True,True
192,17,Fay,offer_care,0.578,0.874,0.115,0.71,0.118,0.625,0.539,0.795,hinges ticking,thyme paper,warm draft,0.56737,node-05,True,True
194,17,Milo,protect_object,0.597,0.877,0.081,0.96,0.123,0.613,0.203,0.931,static crickets,lamp oil,cool dusk,0.46383,node-11,True,True
195,17,Ivo,ask_status,0.552,0.867,0.115,0.828,0.179,0.575,0.342,0.868,cart creak,apple soil,damp air,0.57191,node-01,True,True
196,17,Juno,offer_care,0.604,0.754,0.096,0.83,0.103,0.638,0.437,0.79,bell hum,hot copper,warm metal,0.6673,node-09,True,True
197,17,Ari,protect_object,0.582,0.904,0.102,0.84,0.108,0.626,0.46,0.86,river slap,cedar resin,cold spray,0.51198,node-03,True,True
199,17,Nia,offer_care,0.614,0.779,0.094,0.808,0.112,0.642,0.424,0.815,page flutter,ink linen,cool stone,0.66478,node-08,True,True
201,17,Ivo,ask_status,0.548,0.882,0.115,0.842,0.179,0.575,0.332,0.882,cart creak,apple soil,damp air,0.61011,node-01,True,True
202,17,Juno,ask_help,0.594,0.774,0.096,0.848,0.103,0.638,0.443,0.806,bell hum,hot copper,warm metal,0.50838,node-09,True,True
204,18,Nia,apologize,0.62,0.819,0.088,0.846,0.106,0.654,0.389,0.87,page flutter,ink linen,cool stone,0.57794,node-08,True,True
206,18,Ivo,ask_help,0.538,0.902,0.115,0.86,0.179,0.575,0.338,0.898,cart creak,apple soil,damp air,0.53119,node-01,True,True
207,18,Juno,ask_status,0.59,0.789,0.096,0.862,0.103,0.638,0.433,0.82,bell hum,hot copper,warm metal,0.62658,node-09,True,True
209,18,Fay,ask_help,0.568,0.894,0.115,0.728,0.118,0.625,0.545,0.811,hinges ticking,thyme paper,warm draft,0.56845,node-05,True,True
211,18,Milo,apologize,0.603,0.917,0.075,0.96,0.117,0.625,0.168,0.96,static crickets,lamp oil,cool dusk,0.45699,node-11,True,True
212,18,Ivo,protect_object,0.534,0.947,0.111,0.92,0.164,0.583,0.316,0.948,cart creak,apple soil,damp air,0.56687,node-01,True,True
213,18,Juno,ask_status,0.586,0.804,0.096,0.876,0.103,0.638,0.423,0.834,bell hum,hot copper,warm metal,0.66478,node-09,True,True
214,18,Ari,apologize,0.588,0.944,0.096,0.878,0.102,0.638,0.425,0.915,river slap,cedar resin,cold spray,0.50514,node-03,True,True
216,19,Nia,ask_status,0.616,0.834,0.088,0.86,0.106,0.654,0.379,0.884,page flutter,ink linen,cool stone,0.57614,node-08,True,True
217,19,Milo,ask_risky_action,0.568,0.862,0.095,0.88,0.137,0.615,0.258,0.9,static crickets,lamp oil,cool dusk,0.63499,node-11,True,True
218,19,Ivo,rush_agent,0.504,0.902,0.126,0.86,0.164,0.578,0.396,0.903,cart creak,apple soil,damp air,0.54262,node-01,True,True
219,19,Juno,ask_status,0.582,0.819,0.096,0.89,0.103,0.638,0.413,0.848,bell hum,hot copper,warm metal,0.62298,node-09,True,True
221,19,Fay,rush_agent,0.538,0.849,0.13,0.668,0.118,0.62,0.625,0.766,hinges ticking,thyme paper,warm draft,0.5842,node-05,True,True
223,19,Milo,ask_status,0.564,0.877,0.095,0.894,0.137,0.615,0.248,0.914,static crickets,lamp oil,cool dusk,0.47319,node-11,True,True
225,19,Juno,ask_status,0.578,0.834,0.096,0.904,0.103,0.638,0.403,0.862,bell hum,hot copper,warm metal,0.66118,node-09,True,True
226,19,Ari,ask_status,0.584,0.959,0.096,0.892,0.102,0.638,0.415,0.929,river slap,cedar resin,cold spray,0.50334,node-03,True,True
228,20,Nia,protect_object,0.612,0.879,0.084,0.92,0.091,0.662,0.357,0.934,page flutter,ink linen,cool stone,0.57182,node-08,True,True
230,20,Ivo,offer_care,0.522,0.957,0.116,0.91,0.144,0.598,0.351,0.943,cart creak,apple soil,damp air,0.53362,node-01,True,True
231,20,Juno,ask_status,0.574,0.849,0.096,0.918,0.103,0.638,0.393,0.876,bell hum,hot copper,warm metal,0.61938,node-09,True,True
233,20,Fay,offer_care,0.556,0.904,0.12,0.718,0.098,0.64,0.58,0.806,hinges ticking,thyme paper,warm draft,0.5752,node-05,True,True
234,20,Nia,apologize,0.618,0.919,0.078,0.958,0.085,0.674,0.322,0.96,page flutter,ink linen,cool stone,0.60498,node-08,True,True
235,20,Milo,protect_object,0.56,0.922,0.091,0.954,0.122,0.623,0.226,0.96,static crickets,lamp oil,cool dusk,0.46887,node-11,True,True
237,20,Juno,ask_status,0.57,0.864,0.096,0.932,0.103,0.638,0.383,0.89,bell hum,hot copper,warm metal,0.65758,node-09,True,True
238,20,Ari,protect_object,0.58,0.96,0.092,0.952,0.087,0.646,0.393,0.96,river slap,cedar resin,cold spray,0.49902,node-03,True,True
240,21,Nia,ask_risky_action,0.583,0.864,0.098,0.878,0.105,0.664,0.412,0.9,page flutter,ink linen,cool stone,0.58298,node-08,True,True
242,21,Ivo,ask_memory,0.516,0.96,0.116,0.92,0.144,0.598,0.369,0.96,cart creak,apple soil,damp air,0.53686,node-01,True,True
243,21,Juno,ask_status,0.566,0.879,0.096,0.946,0.103,0.638,0.373,0.904,bell hum,hot copper,warm metal,0.61578,node-09,True,True
245,21,Fay,ask_memory,0.55,0.916,0.12,0.728,0.098,0.64,0.598,0.826,hinges ticking,thyme paper,warm draft,0.57844,node-05,True,True
247,21,Milo,ask_risky_action,0.525,0.867,0.111,0.874,0.142,0.613,0.316,0.9,static crickets,lamp oil,cool dusk,0.48687,node-11,True,True
249,21,Juno,ask_status,0.562,0.894,0.096,0.96,0.103,0.638,0.363,0.918,bell hum,hot copper,warm metal,0.65398,node-09,True,True
250,21,Ari,ask_risky_action,0.545,0.905,0.112,0.872,0.107,0.636,0.483,0.9,river slap,cedar resin,cold spray,0.51702,node-03,True,True
251,21,Fay,rush_agent,0.52,0.871,0.135,0.668,0.098,0.635,0.678,0.781,hinges ticking,thyme paper,warm draft,0.63419,node-05,True,True
252,22,Nia,ask_help,0.573,0.884,0.098,0.896,0.105,0.664,0.418,0.916,page flutter,ink linen,cool stone,0.58406,node-08,True,True
254,22,Ivo,apologize,0.522,0.96,0.11,0.958,0.138,0.61,0.334,0.96,cart creak,apple soil,damp air,0.53002,node-01,True,True
255,22,Juno,ask_status,0.558,0.909,0.096,0.96,0.103,0.638,0.353,0.932,bell hum,hot copper,warm metal,0.61218,node-09,True,True
256,22,Ari,offer_care,0.563,0.96,0.102,0.922,0.087,0.656,0.438,0.94,river slap,cedar resin,cold spray,0.66802,node-03,True,True
257,22,Fay,apologize,0.526,0.911,0.129,0.706,0.092,0.647,0.643,0.836,hinges ticking,thyme paper,warm draft,0.58735,node-05,True,True
259,22,Milo,ask_help,0.515,0.887,0.111,0.892,0.142,0.613,0.322,0.916,static crickets,lamp oil,cool dusk,0.48795,node-11,True,True
261,22,Juno,ask_status,0.554,0.924,0.096,0.96,0.103,0.638,0.343,0.946,bell hum,hot copper,warm metal,0.65038,node-09,True,True
262,22,Ari,ask_help,0.553,0.96,0.102,0.94,0.087,0.656,0.444,0.956,river slap,cedar resin,cold spray,0.5091,node-03,True,True
264,23,Nia,rush_agent,0.543,0.839,0.113,0.836,0.105,0.659,0.498,0.871,page flutter,ink linen,cool stone,0.59981,node-08,True,True
266,23,Ivo,ask_status,0.518,0.96,0.11,0.96,0.138,0.61,0.324,0.96,cart creak,apple soil,damp air,0.52822,node-01,True,True
267,23,Juno,ask_status,0.55,0.939,0.096,0.96,0.103,0.638,0.333,0.96,bell hum,hot copper,warm metal,0.60858,node-09,True,True
269,23,Fay,ask_status,0.522,0.926,0.129,0.72,0.092,0.647,0.633,0.85,hinges ticking,thyme paper,warm draft,0.58555,node-05,True,True
271,23,Milo,rush_agent,0.485,0.842,0.126,0.832,0.142,0.608,0.402,0.871,static crickets,lamp oil,cool dusk,0.5037,node-11,True,True
273,23,Juno,ask_status,0.546,0.954,0.096,0.96,0.103,0.638,0.323,0.96,bell hum,hot copper,warm metal,0.64678,node-09,True,True
274,23,Ari,rush_agent,0.523,0.915,0.117,0.88,0.087,0.651,0.524,0.911,river slap,cedar resin,cold spray,0.52485,node-03,True,True
276,24,Nia,offer_care,0.561,0.894,0.103,0.886,0.085,0.679,0.453,0.911,page flutter,ink linen,cool stone,0.59081,node-08,True,True
278,24,Ivo,protect_object,0.514,0.96,0.106,0.96,0.123,0.618,0.302,0.96,cart creak,apple soil,damp air,0.5239,node-01,True,True
279,24,Juno,ask_status,0.542,0.96,0.096,0.96,0.103,0.638,0.313,0.96,bell hum,hot copper,warm metal,0.60498,node-09,True,True
281,24,Fay,protect_object,0.518,0.96,0.125,0.78,0.077,0.655,0.611,0.9,hinges ticking,thyme paper,warm draft,0.58123,node-05,True,True
283,24,Milo,offer_care,0.503,0.897,0.116,0.882,0.122,0.628,0.357,0.911,static crickets,lamp oil,cool dusk,0.4947,node-11,True,True
285,24,Juno,ask_status,0.538,0.96,0.096,0.96,0.103,0.638,0.303,0.96,bell hum,hot copper,warm metal,0.64318,node-09,True,True
286,24,Ari,offer_care,0.541,0.96,0.107,0.93,0.067,0.671,0.479,0.951,river slap,cedar resin,cold spray,0.51585,node-03,True,True
288,25,Nia,ask_memory,0.555,0.906,0.103,0.896,0.085,0.679,0.471,0.931,page flutter,ink linen,cool stone,0.59405,node-08,True,True
290,25,Ivo,ask_risky_action,0.479,0.905,0.126,0.88,0.143,0.608,0.392,0.9,cart creak,apple soil,damp air,0.5419,node-01,True,True
291,25,Juno,ask_status,0.534,0.96,0.096,0.96,0.103,0.638,0.293,0.96,bell hum,hot copper,warm metal,0.60138,node-09,True,True
293,25,Fay,ask_risky_action,0.483,0.905,0.145,0.7,0.097,0.645,0.701,0.84,hinges ticking,thyme paper,warm draft,0.59923,node-05,True,True
295,25,Milo,ask_memory,0.497,0.909,0.116,0.892,0.122,0.628,0.375,0.931,static crickets,lamp oil,cool dusk,0.49794,node-11,True,True
297,25,Juno,ask_status,0.53,0.96,0.096,0.96,0.103,0.638,0.283,0.96,bell hum,hot copper,warm metal,0.63958,node-09,True,True
298,25,Ari,ask_memory,0.535,0.96,0.107,0.94,0.067,0.671,0.497,0.96,river slap,cedar resin,cold spray,0.51909,node-03,True,True
