tick_id,route_id,agent,sound_cue,smell_cue,temperature_cue,rhythm_marker,flower_node,sensory_bound_to_click,sensory_bound_to_body_reaction
22,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-4,False,False
23,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-6,False,True
24,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-3,True,True
25,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-5,False,True
26,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-7,True,True
27,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-9,True,True
28,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-11,False,False
29,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-1,True,True
30,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-9,True,True
31,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-11,False,True
32,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,flower-node,node-1,True,True
33,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-3,True,True
34,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-5,False,False
35,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-7,False,True
36,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-4,True,True
37,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-6,False,True
38,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-8,True,True
39,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-10,True,True
40,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,flower-node,node-0,False,False
41,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-2,True,True
42,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-10,True,True
43,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-0,False,True
44,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-2,True,True
45,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-4,True,True
46,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-6,False,False
47,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-8,False,True
48,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-5,True,True
49,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-7,False,True
50,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-9,True,True
51,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-11,True,True
52,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-1,False,False
53,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-3,True,True
54,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-11,True,True
55,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-1,False,True
56,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,flower-node,node-3,True,True
57,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-5,True,True
58,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-7,False,False
59,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-9,False,True
60,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-6,True,True
61,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-8,False,True
62,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-10,True,True
63,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-0,True,True
64,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,flower-node,node-2,False,False
65,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-4,True,True
66,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-0,True,True
67,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-2,False,True
68,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-4,True,True
69,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-6,True,True
70,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-8,False,False
71,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-10,False,True
72,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-7,True,True
73,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-9,False,True
74,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-11,True,True
75,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-1,True,True
76,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-3,False,False
77,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-5,True,True
78,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-1,True,True
79,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-3,False,True
80,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,flower-node,node-5,True,True
81,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-7,True,True
82,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-9,False,False
83,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-11,False,True
84,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-9,True,True
85,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-11,False,True
86,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-1,True,True
87,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-3,True,True
88,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,flower-node,node-5,False,True
89,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-1,True,True
90,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-3,True,True
91,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-5,False,True
92,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-7,True,True
93,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-9,True,True
94,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-11,False,True
95,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-7,False,True
96,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-10,True,True
97,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-0,False,True
98,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-2,True,True
99,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-4,True,True
100,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-6,False,True
101,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-2,True,True
102,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-4,True,True
103,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-6,False,True
104,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,flower-node,node-8,True,True
105,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-10,True,True
106,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-0,False,True
107,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-8,False,True
108,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-11,True,True
109,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-1,False,True
110,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-3,True,True
111,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-5,True,True
112,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,flower-node,node-7,False,True
113,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-3,True,True
114,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-5,True,True
115,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-7,False,True
116,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-9,True,True
117,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-11,True,True
118,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-1,False,True
119,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-9,False,True
120,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-0,True,True
121,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-2,False,True
122,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-4,True,True
123,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-6,True,True
124,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-8,False,True
125,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-4,True,True
126,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-6,True,True
127,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-8,False,True
128,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,flower-node,node-10,True,True
129,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-0,True,True
130,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-2,False,True
131,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-10,False,True
132,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-1,True,True
133,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-3,False,True
134,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-5,True,True
135,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-7,True,True
136,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,flower-node,node-9,False,True
137,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-5,True,True
138,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-7,True,True
139,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-9,False,True
140,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-11,True,True
141,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-1,True,True
142,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-3,False,True
143,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-11,False,True
144,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-2,True,True
145,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-4,False,True
146,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-6,True,True
147,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-8,True,True
148,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-10,False,True
149,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-6,True,True
150,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-8,True,True
151,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-10,False,True
152,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,flower-node,node-0,True,True
153,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-2,True,True
154,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-4,False,True
155,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-0,False,True
156,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-3,True,True
157,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-5,False,True
158,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-7,True,True
159,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-9,True,True
160,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-11,True,True
161,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-7,True,True
162,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-9,True,True
163,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-11,False,True
164,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-1,True,True
165,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-3,True,True
166,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-5,True,True
167,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-1,False,True
168,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-4,True,True
169,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-6,False,True
170,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-8,True,True
171,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-10,True,True
172,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-0,False,True
173,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-8,True,True
174,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-10,True,True
175,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,ambient-rate,node-0,False,True
176,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,flower-node,node-2,True,True
177,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,animation-pulse,node-4,True,True
178,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,ambient-rate,node-6,False,True
179,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-2,False,True
180,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-6,True,True
181,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-8,True,True
182,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-10,True,True
183,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-0,True,True
184,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,flower-node,node-8,False,True
185,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-10,True,True
186,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-0,True,True
187,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,animation-pulse,node-2,True,True
188,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-4,True,True
189,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-6,True,True
190,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-2,False,True
191,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-4,False,True
192,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-7,True,True
193,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-9,False,True
194,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-11,True,True
195,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-1,True,True
196,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-9,False,True
197,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-11,True,True
198,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-1,True,True
199,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-3,False,True
200,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,flower-node,node-5,True,True
201,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-7,True,True
202,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-3,False,True
203,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-5,False,True
204,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-8,True,True
205,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-10,False,True
206,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-0,True,True
207,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-2,True,True
208,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,flower-node,node-10,False,True
209,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-0,True,True
210,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-2,True,True
211,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-4,False,True
212,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-6,True,True
213,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-8,True,True
214,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-4,False,True
215,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,animation-pulse,node-6,True,True
216,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-9,True,True
217,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-11,False,True
218,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-1,True,True
219,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-3,True,True
220,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-11,True,True
221,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-1,True,True
222,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-3,True,True
223,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-5,False,True
224,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,flower-node,node-7,True,True
225,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-9,True,True
226,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,animation-pulse,node-5,True,True
227,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-7,False,True
228,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-10,True,True
229,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-0,False,True
230,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-2,True,True
231,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-4,True,True
232,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,flower-node,node-0,False,True
233,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-2,True,True
234,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-4,True,True
235,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-6,False,True
236,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-8,True,True
237,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-10,True,True
238,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-6,False,True
239,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-8,False,True
240,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-11,True,True
241,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-1,False,True
242,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-3,True,True
243,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-5,True,True
244,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-1,False,True
245,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-3,True,True
246,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-5,True,True
247,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-7,True,True
248,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,flower-node,node-9,True,True
249,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-11,True,True
250,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-7,False,True
251,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-9,False,True
252,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-0,True,True
253,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-2,False,True
254,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-4,True,True
255,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-6,True,True
256,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,flower-node,node-2,False,True
257,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-4,True,True
258,archive_signal,Nia,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-6,True,True
259,signal_orchard,Milo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-8,False,True
260,orchard_riverbend,Ivo,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-10,True,True
261,central_repair_ring,Juno,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-0,True,True
262,riverbend_roofward,Ari,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-8,False,True
263,roofward_archive,Fay,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-10,False,True
264,archive_signal,Milo,soft page flutter,"ink, chalk, and dry linen",cool stone,animation-pulse,node-1,True,True
265,signal_orchard,Ivo,crickets under static,lamp oil and wet grass,cool dusk,ambient-rate,node-3,False,True
266,orchard_riverbend,Ari,cart wheels creaking,apple skin and wet soil,damp air,ambient-rate,node-5,True,True
267,central_repair_ring,Pax,bell hum through walls,hot copper and dust,warm metal,animation-pulse,node-7,True,True
268,riverbend_roofward,Fay,river slap under planks,cedar resin and rain,cold spray,ambient-rate,node-3,False,True
269,roofward_archive,Nia,hinges ticking,dry paper and thyme,warm draft,ambient-rate,node-5,True,True
