tick,day,scene_id,focus_agent,object_dialogue_visible,owned_inventory_request_visible,reaction_consequence_visible,later_behavior_changed,access_gate_visible,agent_initiated_behavior_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
16,2,v23-scene-d02,Nari,1,1,1,1,1,1,1.37,140.144224,Nari requests ink ledger because prior reaction was softens,1
17,2,v23-scene-d02,Ori,0,0,1,1,1,0,1.3,270.851988,Ori changes path from saved reaction welcoming,1
18,2,v23-scene-d02,Vonn,1,1,0,0,1,0,1.2,46.859752,Vonn refuses listening shell access and offers a safer alternative,1
19,2,v23-scene-d02,Vonn,1,1,1,1,0,1,1.39,186.647516,Vonn requests rain mirror because prior reaction was asks-space,1
20,2,v23-scene-d02,Melo,1,1,1,1,1,1,1.37,325.13528,Melo requests tally beads because prior reaction was softens,1
21,2,v23-scene-d02,Keth,1,0,1,1,1,0,1.3,97.203044,Keth changes path from saved reaction welcoming,1
22,2,v23-scene-d02,Sova,1,1,1,1,1,1,1.37,241.920808,Sova requests ember bowl because prior reaction was softens,1
23,2,v23-scene-d02,Keth,0,0,1,1,1,0,1.3,14.058572,Keth changes path from saved reaction welcoming,1
24,2,v23-scene-d02,Melo,1,1,1,1,1,1,1.32,160.016336,Melo requests tally beads because prior reaction was welcoming,1
25,2,v23-scene-d02,Nari,1,0,1,1,1,0,1.35,293.7541,Nari changes path from saved reaction welcoming,1
26,2,v23-scene-d02,Vonn,1,1,1,1,1,1,1.37,72.631864,Vonn requests listening shell because prior reaction was softens,1
27,2,v23-scene-d02,Nari,1,1,1,1,1,1,1.37,214.599628,Nari requests fern key because prior reaction was welcoming,1
28,2,v23-scene-d02,Ori,0,0,1,1,1,0,1.35,336.847392,Ori changes path from saved reaction welcoming,1
29,2,v23-scene-d02,Sova,1,0,1,1,1,0,1.35,123.035156,Sova changes path from saved reaction welcoming,1
30,2,v23-scene-d02,Keth,1,1,1,1,1,1,1.32,258.93292,Keth requests path cord because prior reaction was welcoming,1
31,2,v23-scene-d02,Melo,1,1,1,1,0,1,1.39,43.070684,Melo requests tally beads because prior reaction was guarded,1
32,3,v23-scene-d03,Ori,0,0,1,1,1,0,1.3,169.008448,Ori changes path from saved reaction welcoming,1
33,3,v23-scene-d03,Nari,1,0,1,1,1,0,1.35,313.886212,Nari changes path from saved reaction welcoming,1
34,3,v23-scene-d03,Sova,1,1,1,1,1,1,1.32,84.573976,Sova refuses moth lantern access and offers a safer alternative,1
35,3,v23-scene-d03,Keth,1,1,1,1,1,1,1.32,231.75174,Keth requests path cord because prior reaction was welcoming,1
36,3,v23-scene-d03,Sova,1,1,1,1,1,1,1.39,4.959504,Sova refuses moth lantern access and offers a safer alternative,1
37,3,v23-scene-d03,Sova,1,1,1,1,1,0,1.39,139.677268,Sova requests ember bowl because prior reaction was guarded,1
38,3,v23-scene-d03,Melo,1,1,1,1,1,1,1.37,280.615032,Melo requests tally beads because prior reaction was softens,1
39,3,v23-scene-d03,Ori,0,0,1,1,1,0,1.35,51.442796,Ori changes path from saved reaction welcoming,1
40,3,v23-scene-d03,Melo,1,1,1,1,1,1,1.37,198.83056,Melo requests tally beads because prior reaction was softens,1
41,3,v23-scene-d03,Sova,1,1,1,1,1,1,1.37,336.508324,Sova requests ember bowl because prior reaction was softens,1
42,3,v23-scene-d03,Nari,1,1,1,1,1,1,1.32,111.206088,Nari requests fern key because prior reaction was curious,1
43,3,v23-scene-d03,Sova,1,0,1,1,1,1,1.37,253.733852,Sova changes path from saved reaction guarded,1
44,3,v23-scene-d03,Vonn,1,1,1,1,1,1,1.37,22.391616,Vonn requests rain mirror because prior reaction was welcoming,1
45,3,v23-scene-d03,Keth,1,0,0,0,1,0,1.18,150.73938,Keth keeps routine near path cord,1
46,3,v23-scene-d03,Nari,0,0,1,1,1,0,1.35,292.327144,Nari changes path from saved reaction welcoming,1
47,3,v23-scene-d03,Melo,1,1,1,1,1,1,1.37,79.714908,Melo requests tally beads because prior reaction was softens,1
48,4,v23-scene-d04,Sova,1,1,1,1,1,1,1.39,215.292672,Sova requests ember bowl because prior reaction was guarded,1
49,4,v23-scene-d04,Melo,1,0,1,1,1,0,1.3,351.030436,Melo changes path from saved reaction welcoming,1
50,4,v23-scene-d04,Nari,1,1,1,1,1,1,1.37,132.8882,Nari requests ink ledger because prior reaction was welcoming,1
51,4,v23-scene-d04,Ori,0,0,0,0,1,0,1.18,259.875964,Ori keeps routine near sap hook,1
52,4,v23-scene-d04,Keth,0,0,1,1,1,0,1.35,45.683728,Keth changes path from saved reaction welcoming,1
53,4,v23-scene-d04,Nari,1,1,1,1,1,1,1.39,188.481492,Nari refuses fern key access and offers a safer alternative,1
54,4,v23-scene-d04,Melo,1,1,1,1,1,1,1.32,316.329256,Melo requests tally beads because prior reaction was welcoming,1
55,4,v23-scene-d04,Sova,1,1,1,1,1,1,1.37,98.41702,Sova requests moth lantern because prior reaction was softens,1
56,4,v23-scene-d04,Keth,1,1,1,1,1,1,1.37,233.234784,Keth requests path cord because prior reaction was softens,1
57,4,v23-scene-d04,Vonn,1,0,1,1,1,0,1.35,12.572548,Vonn changes path from saved reaction welcoming,1
58,4,v23-scene-d04,Vonn,1,1,1,1,1,1,1.32,146.120312,Vonn refuses listening shell access and offers a safer alternative,1
59,4,v23-scene-d04,Ori,0,0,0,0,0,0,1.18,279.868076,Ori keeps routine near sap hook,1
60,4,v23-scene-d04,Vonn,1,1,1,1,1,1,1.39,66.50584,Vonn refuses listening shell access and offers a safer alternative,1
61,4,v23-scene-d04,Sova,1,1,1,1,1,1,1.37,200.193604,Sova requests moth lantern because prior reaction was softens,1
62,4,v23-scene-d04,Vonn,1,1,1,1,1,1,1.37,343.591368,Vonn requests listening shell because prior reaction was softens,1
63,4,v23-scene-d04,Sova,1,1,1,1,1,1,1.37,118.409132,Sova requests moth lantern because prior reaction was softens,1
64,5,v23-scene-d05,Nari,1,1,1,1,1,1,1.39,250.206896,Nari refuses fern key access and offers a safer alternative,1
65,5,v23-scene-d05,Vonn,1,1,1,1,1,1,1.37,38.19466,Vonn requests listening shell because prior reaction was softens,1
66,5,v23-scene-d05,Nari,1,1,1,1,1,0,1.37,166.272424,Nari requests fern key because prior reaction was softens,1
67,5,v23-scene-d05,Sova,1,1,1,1,1,1,1.37,309.260188,Sova requests ember bowl because prior reaction was softens,1
68,5,v23-scene-d05,Vonn,1,1,1,1,1,1,1.37,89.797952,Vonn requests rain mirror because prior reaction was welcoming,1
69,5,v23-scene-d05,Keth,0,0,0,0,1,0,1.23,218.335716,Keth keeps routine near path cord,1
70,5,v23-scene-d05,Vonn,1,1,1,1,1,1,1.37,355.14348,Vonn requests rain mirror because prior reaction was welcoming,1
71,5,v23-scene-d05,Melo,1,1,1,1,1,1,1.37,134.251244,Melo requests tally beads because prior reaction was welcoming,1
72,5,v23-scene-d05,Vonn,1,1,1,1,1,1,1.37,273.359008,Vonn requests rain mirror because prior reaction was welcoming,1
73,5,v23-scene-d05,Melo,1,0,1,1,1,0,1.35,49.836772,Melo changes path from saved reaction welcoming,1
74,5,v23-scene-d05,Melo,1,0,1,1,1,0,1.35,188.944536,Melo changes path from saved reaction welcoming,1
75,5,v23-scene-d05,Nari,1,1,1,1,1,1,1.37,329.2523,Nari requests ink ledger because prior reaction was welcoming,1
76,5,v23-scene-d05,Nari,1,1,1,1,1,1,1.37,105.500064,Nari requests fern key because prior reaction was welcoming,1
77,5,v23-scene-d05,Vonn,1,0,1,1,1,0,1.35,239.117828,Vonn changes path from saved reaction welcoming,1
78,5,v23-scene-d05,Ori,1,1,0,0,0,0,1.2,17.425592,Ori requests sap hook because prior reaction was watching,1
79,5,v23-scene-d05,Ori,1,1,1,1,1,1,1.39,163.953356,Ori refuses sap hook access and offers a safer alternative,1
80,6,v23-scene-d06,Sova,1,1,1,1,1,1,1.37,289.20112,Sova requests ember bowl because prior reaction was softens,1
81,6,v23-scene-d06,Vonn,1,1,1,1,0,1,1.32,68.188884,Vonn requests rain mirror because prior reaction was curious,1
82,6,v23-scene-d06,Sova,1,1,1,1,1,1,1.32,205.866648,Sova requests ember bowl because prior reaction was curious,1
83,6,v23-scene-d06,Sova,0,0,1,1,1,0,1.35,345.394412,Sova changes path from saved reaction welcoming,1
84,6,v23-scene-d06,Vonn,1,1,1,1,1,1,1.39,120.532176,Vonn requests listening shell because prior reaction was guarded,1
85,6,v23-scene-d06,Nari,1,0,1,1,1,0,1.35,259.24994,Nari changes path from saved reaction welcoming,1
86,6,v23-scene-d06,Sova,1,1,1,1,1,1,1.37,43.847704,Sova requests ember bowl because prior reaction was welcoming,1
87,6,v23-scene-d06,Melo,1,1,1,1,1,1,1.37,184.385468,Melo requests tally beads because prior reaction was welcoming,1
88,6,v23-scene-d06,Ori,1,1,1,1,1,1,1.39,320.333232,Ori refuses sap hook access and offers a safer alternative,1
89,6,v23-scene-d06,Melo,1,0,1,1,1,0,1.35,87.100996,Melo changes path from saved reaction welcoming,1
90,6,v23-scene-d06,Vonn,1,1,1,1,1,1,1.37,234.55876,Vonn requests listening shell because prior reaction was softens,1
91,6,v23-scene-d06,Sova,1,1,1,1,1,1,1.32,7.826524,Sova requests moth lantern because prior reaction was welcoming,1
92,6,v23-scene-d06,Sova,1,1,1,1,1,1,1.32,144.074288,Sova requests ember bowl because prior reaction was curious,1
93,6,v23-scene-d06,Ori,1,1,1,1,1,1,1.39,283.002052,Ori refuses sap hook access and offers a safer alternative,1
94,6,v23-scene-d06,Sova,1,1,1,1,1,1,1.37,63.839816,Sova requests ember bowl because prior reaction was welcoming,1
95,6,v23-scene-d06,Vonn,1,1,1,1,1,0,1.37,203.35758,Vonn requests rain mirror because prior reaction was softens,1
96,7,v23-scene-d07,Ori,1,1,1,1,1,1,1.37,336.475344,Ori requests sap hook because prior reaction was softens,1
97,7,v23-scene-d07,Melo,1,0,1,1,1,0,1.3,102.823108,Melo changes path from saved reaction welcoming,1
98,7,v23-scene-d07,Nari,1,1,1,1,1,1,1.37,254.690872,Nari requests fern key because prior reaction was welcoming,1
99,7,v23-scene-d07,Sova,1,1,1,1,1,1,1.37,23.788636,Sova requests ember bowl because prior reaction was welcoming,1
100,7,v23-scene-d07,Vonn,1,1,1,1,1,1,1.37,164.3264,Vonn requests rain mirror because prior reaction was softens,1
101,7,v23-scene-d07,Keth,0,0,0,0,1,0,1.23,292.864164,Keth keeps routine near path cord,1
102,7,v23-scene-d07,Sova,1,1,1,1,1,1,1.32,82.421928,Sova requests moth lantern because prior reaction was welcoming,1
103,7,v23-scene-d07,Vonn,1,1,1,1,0,1,1.39,215.119692,Vonn requests listening shell because prior reaction was guarded,1
104,7,v23-scene-d07,Vonn,1,1,1,1,1,1,1.39,1.377456,Vonn requests rain mirror because prior reaction was guarded,1
105,7,v23-scene-d07,Sova,1,0,1,1,1,0,1.3,134.25522,Sova changes path from saved reaction welcoming,1
106,7,v23-scene-d07,Ori,0,0,1,1,1,0,1.35,270.692984,Ori changes path from saved reaction welcoming,1
107,7,v23-scene-d07,Vonn,1,1,1,1,1,1,1.37,50.930748,Vonn requests listening shell because prior reaction was softens,1
108,7,v23-scene-d07,Nari,1,1,1,1,1,1,1.37,192.898512,Nari requests fern key because prior reaction was welcoming,1
109,7,v23-scene-d07,Vonn,1,0,1,1,1,0,1.35,326.516276,Vonn changes path from saved reaction welcoming,1
110,7,v23-scene-d07,Nari,1,1,1,1,1,1,1.37,98.24404,Nari requests fern key because prior reaction was welcoming,1
111,7,v23-scene-d07,Keth,1,1,1,1,1,1,1.32,237.231804,Keth requests path cord because prior reaction was welcoming,1
112,8,v23-scene-d08,Keth,1,1,1,1,1,1,1.32,13.619568,Keth requests path cord because prior reaction was welcoming,1
113,8,v23-scene-d08,Vonn,1,0,1,1,1,0,1.35,154.507332,Vonn changes path from saved reaction welcoming,1
114,8,v23-scene-d08,Sova,1,1,1,1,1,1,1.37,294.815096,Sova requests ember bowl because prior reaction was welcoming,1
115,8,v23-scene-d08,Sova,1,1,1,1,1,1,1.37,63.91286,Sova requests moth lantern because prior reaction was welcoming,1
116,8,v23-scene-d08,Melo,1,1,1,1,1,1,1.32,200.040624,Melo requests tally beads because prior reaction was curious,1
117,8,v23-scene-d08,Sova,1,0,1,1,1,0,1.3,337.948388,Sova changes path from saved reaction welcoming,1
118,8,v23-scene-d08,Sova,1,1,1,1,1,1,1.32,116.826152,Sova requests ember bowl because prior reaction was welcoming,1
119,8,v23-scene-d08,Keth,1,1,1,1,1,1,1.39,256.673916,Keth requests path cord because prior reaction was guarded,1
120,8,v23-scene-d08,Melo,0,0,1,1,1,0,1.35,34.03168,Melo changes path from saved reaction welcoming,1
121,8,v23-scene-d08,Ori,0,0,1,1,1,0,1.35,168.849444,Ori changes path from saved reaction welcoming,1
122,8,v23-scene-d08,Nari,1,1,1,1,0,1,1.39,315.427208,Nari requests ink ledger because prior reaction was guarded,1
123,8,v23-scene-d08,Ori,0,0,1,1,1,0,1.35,87.064972,Ori changes path from saved reaction welcoming,1
124,8,v23-scene-d08,Sova,1,1,1,1,1,0,1.37,232.002736,Sova requests ember bowl because prior reaction was welcoming,1
125,8,v23-scene-d08,Vonn,1,0,1,1,1,0,1.35,358.0605,Vonn changes path from saved reaction welcoming,1
126,8,v23-scene-d08,Nari,1,1,1,1,1,1,1.37,138.368264,Nari requests ink ledger because prior reaction was softens,1
127,8,v23-scene-d08,Melo,1,1,1,1,1,1,1.32,277.356028,Melo requests tally beads because prior reaction was welcoming,1
128,9,v23-scene-d09,Nari,1,1,1,1,1,1,1.37,51.003792,Nari requests fern key because prior reaction was softens,1
129,9,v23-scene-d09,Keth,1,1,1,1,1,1,1.37,191.541556,Keth requests path cord because prior reaction was softens,1
130,9,v23-scene-d09,Melo,1,1,1,1,1,1,1.37,333.50932,Melo requests tally beads because prior reaction was welcoming,1
131,9,v23-scene-d09,Keth,0,0,0,0,1,0,1.23,102.047084,Keth keeps routine near path cord,1
132,9,v23-scene-d09,Keth,1,1,0,0,1,1,1.25,245.144848,Keth requests path cord because prior reaction was welcoming,1
133,9,v23-scene-d09,Sova,1,0,1,1,1,0,1.3,25.222612,Sova changes path from saved reaction welcoming,1
134,9,v23-scene-d09,Keth,1,1,1,1,0,1,1.39,167.700376,Keth requests path cord because prior reaction was guarded,1
135,9,v23-scene-d09,Nari,1,1,1,1,1,1,1.37,294.74814,Nari requests ink ledger because prior reaction was welcoming,1
136,9,v23-scene-d09,Keth,1,0,1,1,0,0,1.37,70.415904,Keth changes path from saved reaction guarded,1
137,9,v23-scene-d09,Nari,1,0,1,1,1,0,1.35,210.333668,Nari changes path from saved reaction welcoming,1
138,9,v23-scene-d09,Ori,1,1,1,1,1,1,1.37,349.211432,Ori requests sap hook because prior reaction was welcoming,1
139,9,v23-scene-d09,Sova,1,1,1,1,0,1,1.32,129.629196,Sova requests ember bowl because prior reaction was curious,1
140,9,v23-scene-d09,Keth,1,1,1,1,0,1,1.32,267.30696,Keth requests path cord because prior reaction was guarded,1
141,9,v23-scene-d09,Ori,0,0,1,1,1,0,1.35,42.544724,Ori changes path from saved reaction welcoming,1
142,9,v23-scene-d09,Nari,1,1,1,1,1,1,1.37,185.642488,Nari requests fern key because prior reaction was welcoming,1
143,9,v23-scene-d09,Nari,1,1,1,1,1,1,1.37,314.740252,Nari requests ink ledger because prior reaction was welcoming,1
144,10,v23-scene-d10,Sova,1,1,1,1,1,1,1.37,91.128016,Sova requests ember bowl because prior reaction was welcoming,1
145,10,v23-scene-d10,Keth,1,1,1,1,1,1,1.32,227.25578,Keth requests path cord because prior reaction was guarded,1
146,10,v23-scene-d10,Vonn,1,1,1,1,1,1,1.37,16.493544,Vonn requests listening shell because prior reaction was welcoming,1
147,10,v23-scene-d10,Melo,1,1,1,1,1,1,1.37,149.881308,Melo requests tally beads because prior reaction was welcoming,1
148,10,v23-scene-d10,Keth,1,1,1,1,1,1,1.37,286.129072,Keth requests path cord because prior reaction was softens,1
149,10,v23-scene-d10,Keth,1,1,1,1,0,1,1.39,65.856836,Keth requests path cord because prior reaction was guarded,1
150,10,v23-scene-d10,Melo,1,1,1,1,1,1,1.37,207.2046,Melo requests tally beads because prior reaction was welcoming,1
151,10,v23-scene-d10,Melo,1,1,1,1,1,1,1.37,333.442364,Melo requests tally beads because prior reaction was welcoming,1
152,10,v23-scene-d10,Sova,1,1,1,1,1,1,1.32,109.570128,Sova requests ember bowl because prior reaction was welcoming,1
153,10,v23-scene-d10,Keth,1,1,1,1,1,0,1.37,247.777892,Keth requests path cord because prior reaction was softens,1
154,10,v23-scene-d10,Ori,0,0,1,1,1,0,1.35,22.485656,Ori changes path from saved reaction welcoming,1
155,10,v23-scene-d10,Sova,1,1,1,1,1,1,1.37,171.30342,Sova requests moth lantern because prior reaction was welcoming,1
156,10,v23-scene-d10,Sova,1,1,1,1,1,1,1.39,308.681184,Sova refuses ember bowl access and offers a safer alternative,1
157,10,v23-scene-d10,Vonn,0,0,1,1,1,0,1.37,84.718948,Vonn changes path from saved reaction guarded,1
158,10,v23-scene-d10,Sova,1,1,1,1,1,1,1.39,226.896712,Sova refuses ember bowl access and offers a safer alternative,1
159,10,v23-scene-d10,Melo,1,1,1,1,1,1,1.32,4.754476,Melo requests tally beads because prior reaction was welcoming,1
160,11,v23-scene-d11,Keth,1,1,0,0,1,1,1.2,134.56224,Keth requests path cord because prior reaction was welcoming,1
161,11,v23-scene-d11,Melo,1,0,1,1,1,0,1.3,264.750004,Melo changes path from saved reaction welcoming,1
162,11,v23-scene-d11,Vonn,1,1,1,1,0,1,1.39,48.657768,Vonn requests rain mirror because prior reaction was guarded,1
163,11,v23-scene-d11,Vonn,1,1,1,1,1,1,1.37,192.865532,Vonn requests listening shell because prior reaction was softens,1
164,11,v23-scene-d11,Nari,1,1,1,1,1,1,1.37,321.963296,Nari requests fern key because prior reaction was welcoming,1
165,11,v23-scene-d11,Vonn,1,1,1,1,0,1,1.39,98.83106,Vonn requests listening shell because prior reaction was guarded,1
166,11,v23-scene-d11,Nari,1,1,1,1,1,1,1.37,240.178824,Nari requests fern key because prior reaction was welcoming,1
167,11,v23-scene-d11,Vonn,1,0,1,1,0,1,1.37,15.436588,Vonn changes path from saved reaction guarded,1
168,11,v23-scene-d11,Ori,1,1,1,1,1,1,1.37,158.394352,Ori requests sap hook because prior reaction was welcoming,1
169,11,v23-scene-d11,Sova,1,1,1,1,1,1,1.39,300.982116,Sova requests ember bowl because prior reaction was guarded,1
170,11,v23-scene-d11,Ori,1,1,1,1,1,1,1.39,77.22988,Ori requests sap hook because prior reaction was guarded,1
171,11,v23-scene-d11,Sova,1,1,1,1,1,1,1.37,205.707644,Sova requests ember bowl because prior reaction was softens,1
172,11,v23-scene-d11,Ori,1,1,1,1,1,1,1.37,341.955408,Ori requests sap hook because prior reaction was softens,1
173,11,v23-scene-d11,Vonn,1,1,1,1,1,1,1.39,132.203172,Vonn refuses listening shell access and offers a safer alternative,1
174,11,v23-scene-d11,Melo,1,1,1,1,1,1,1.32,262.910936,Melo requests tally beads because prior reaction was welcoming,1
175,11,v23-scene-d11,Keth,1,1,1,1,1,1,1.32,39.1587,Keth requests path cord because prior reaction was welcoming,1
176,12,v23-scene-d12,Melo,1,1,1,1,0,1,1.32,178.406464,Melo requests tally beads because prior reaction was curious,1
177,12,v23-scene-d12,Keth,1,0,0,0,1,0,1.23,309.854228,Keth keeps routine near path cord,1
178,12,v23-scene-d12,Keth,1,1,0,0,1,1,1.25,91.591992,Keth requests path cord because prior reaction was welcoming,1
179,12,v23-scene-d12,Nari,1,1,1,1,1,1,1.37,232.989756,Nari requests fern key because prior reaction was welcoming,1
180,12,v23-scene-d12,Sova,1,1,1,1,1,1,1.37,2.08752,Sova requests ember bowl because prior reaction was welcoming,1
181,12,v23-scene-d12,Ori,0,0,1,1,1,0,1.35,134.345284,Ori changes path from saved reaction welcoming,1
182,12,v23-scene-d12,Nari,1,1,1,1,1,0,1.37,279.283048,Nari requests ink ledger because prior reaction was welcoming,1
183,12,v23-scene-d12,Nari,1,1,1,1,1,1,1.39,57.170812,Nari requests fern key because prior reaction was guarded,1
184,12,v23-scene-d12,Keth,1,1,1,1,1,1,1.32,195.538576,Keth requests path cord because prior reaction was welcoming,1
185,12,v23-scene-d12,Keth,1,1,1,1,1,1,1.32,335.15634,Keth refuses path cord access and offers a safer alternative,1
186,12,v23-scene-d12,Vonn,1,1,1,1,1,1,1.39,112.144104,Vonn refuses listening shell access and offers a safer alternative,1
187,12,v23-scene-d12,Sova,1,1,1,1,1,1,1.37,245.831868,Sova requests moth lantern because prior reaction was welcoming,1
188,12,v23-scene-d12,Ori,0,0,1,1,1,0,1.35,28.099632,Ori changes path from saved reaction welcoming,1
189,12,v23-scene-d12,Melo,1,0,1,1,1,0,1.35,159.987396,Melo changes path from saved reaction welcoming,1
190,12,v23-scene-d12,Keth,1,1,1,1,0,1,1.32,297.31516,Keth requests path cord because prior reaction was asks-space,1
191,12,v23-scene-d12,Keth,1,1,1,1,1,1,1.32,76.422924,Keth requests path cord because prior reaction was softens,1
192,13,v23-scene-d13,Sova,1,1,1,1,1,1,1.37,218.650688,Sova requests moth lantern because prior reaction was welcoming,1
193,13,v23-scene-d13,Ori,0,0,1,1,1,0,1.35,348.048452,Ori changes path from saved reaction welcoming,1
194,13,v23-scene-d13,Sova,0,0,1,1,1,0,1.35,132.876216,Sova changes path from saved reaction welcoming,1
195,13,v23-scene-d13,Nari,1,1,1,1,1,1,1.37,273.11398,Nari requests ink ledger because prior reaction was softens,1
196,13,v23-scene-d13,Nari,1,1,1,1,1,1,1.39,50.491744,Nari refuses fern key access and offers a safer alternative,1
197,13,v23-scene-d13,Vonn,1,1,1,1,1,1,1.39,186.739508,Vonn refuses listening shell access and offers a safer alternative,1
198,13,v23-scene-d13,Keth,1,0,1,1,1,1,1.37,315.657272,Keth refuses path cord access and offers a safer alternative,1
199,13,v23-scene-d13,Ori,0,0,1,1,1,0,1.35,89.825036,Ori changes path from saved reaction welcoming,1
200,13,v23-scene-d13,Nari,1,1,1,1,0,1,1.39,233.5428,Nari requests fern key because prior reaction was guarded,1
201,13,v23-scene-d13,Ori,0,0,1,1,1,0,1.35,8.040564,Ori changes path from saved reaction welcoming,1
202,13,v23-scene-d13,Melo,1,1,1,1,1,1,1.37,155.428328,Melo requests tally beads because prior reaction was welcoming,1
203,13,v23-scene-d13,Nari,1,1,1,1,1,1,1.37,293.106092,Nari requests ink ledger because prior reaction was softens,1
204,13,v23-scene-d13,Ori,1,1,1,1,1,1,1.32,67.803856,Ori requests sap hook because prior reaction was welcoming,1
205,13,v23-scene-d13,Nari,1,0,1,1,1,0,1.35,208.69162,Nari changes path from saved reaction welcoming,1
206,13,v23-scene-d13,Sova,1,1,1,1,1,1,1.37,340.419384,Sova requests moth lantern because prior reaction was welcoming,1
207,13,v23-scene-d13,Vonn,1,1,1,1,1,1,1.37,123.817148,Vonn requests listening shell because prior reaction was softens,1
208,14,v23-scene-d14,Keth,1,1,1,1,1,1,1.32,250.584912,Keth refuses path cord access and offers a safer alternative,1
209,14,v23-scene-d14,Melo,1,0,1,1,1,0,1.35,30.962676,Melo changes path from saved reaction welcoming,1
210,14,v23-scene-d14,Keth,1,1,1,1,0,1,1.32,168.29044,Keth requests path cord because prior reaction was asks-space,1
211,14,v23-scene-d14,Ori,0,0,1,1,1,0,1.35,303.528204,Ori changes path from saved reaction welcoming,1
212,14,v23-scene-d14,Melo,1,1,1,1,0,1,1.32,89.365968,Melo requests tally beads because prior reaction was curious,1
213,14,v23-scene-d14,Vonn,1,0,1,1,1,0,1.35,227.393732,Vonn changes path from saved reaction welcoming,1
214,14,v23-scene-d14,Keth,1,1,1,1,1,1,1.32,4.721496,Keth requests path cord because prior reaction was softens,1
215,14,v23-scene-d14,Nari,1,1,1,1,1,1,1.37,143.94926,Nari requests fern key because prior reaction was welcoming,1
216,14,v23-scene-d14,Sova,1,1,1,1,1,1,1.37,273.047024,Sova requests ember bowl because prior reaction was welcoming,1
217,14,v23-scene-d14,Ori,0,0,1,1,1,0,1.3,43.754788,Ori changes path from saved reaction welcoming,1
218,14,v23-scene-d14,Vonn,0,0,1,1,1,0,1.35,194.422552,Vonn changes path from saved reaction welcoming,1
219,14,v23-scene-d14,Nari,1,1,1,1,1,1,1.37,327.510316,Nari requests fern key because prior reaction was welcoming,1
220,14,v23-scene-d14,Melo,1,1,1,1,1,1,1.37,110.90808,Melo requests tally beads because prior reaction was welcoming,1
221,14,v23-scene-d14,Sova,1,0,1,1,1,0,1.35,248.815844,Sova changes path from saved reaction welcoming,1
222,14,v23-scene-d14,Nari,1,1,1,1,1,1,1.37,27.693608,Nari requests ink ledger because prior reaction was welcoming,1
223,14,v23-scene-d14,Nari,1,1,1,1,1,1,1.37,163.941372,Nari requests fern key because prior reaction was welcoming,1
224,15,v23-scene-d15,Melo,1,1,1,1,1,1,1.37,291.749136,Melo requests tally beads because prior reaction was welcoming,1
225,15,v23-scene-d15,Ori,0,0,1,1,1,0,1.35,75.4469,Ori changes path from saved reaction welcoming,1
226,15,v23-scene-d15,Sova,1,1,1,1,1,1,1.32,209.844664,Sova requests moth lantern because prior reaction was curious,1
227,15,v23-scene-d15,Keth,1,1,1,1,1,1,1.32,344.662428,Keth requests path cord because prior reaction was welcoming,1
228,15,v23-scene-d15,Melo,1,1,1,1,1,1,1.37,128.180192,Melo requests tally beads because prior reaction was welcoming,1
229,15,v23-scene-d15,Melo,1,0,1,1,1,0,1.35,264.657956,Melo changes path from saved reaction welcoming,1
230,15,v23-scene-d15,Melo,1,1,1,1,1,1,1.37,46.39572,Melo requests tally beads because prior reaction was welcoming,1
