tick_id,day,settlement_id,object_id,object_use,owner_id,giver_id,receiver_id,witness_id,avatar_action,handoff_state,custody_before,custody_after,owner_permission,witness_ack,chain_of_custody_visible,handoff_protocol_valid
30,2,riverbend,binding cord,repair,Cee,Ari,Lio,Cee,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
32,2,archive,signal spool,memory,Nia,Vell,Nia,Toma,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
33,2,signal,oil lantern,signal,Ren,Milo,Ren,Kesh,idle,deferred without transfer,Ren,Ren,deferred,True,True,True
34,2,orchard,dry cord,repair,Pim,Mara,Pim,Ivo,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
35,2,repair_ring,cool cloth,care,shared,Vale,Juno,Pax,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
36,3,roofward,shade cloth,care,shared,Fay,Sera,Orr,wait_respectfully,custody verified without transfer,shared,shared,custody_verified,True,True,True
37,3,archive,signal spool,memory,Nia,Toma,Vell,Nia,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
39,3,orchard,dry cord,repair,Pim,Ivo,Mara,Pim,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
40,3,repair_ring,cool cloth,care,shared,Pax,Vale,Juno,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
42,3,roofward,herb ledger,memory,Sera,Fay,Sera,Orr,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
43,3,archive,memory tag,archive,Vell,Toma,Vell,Nia,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
44,3,signal,wind wrap,care,shared,Kesh,Milo,Ren,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
45,3,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,wait_respectfully,custody verified without transfer,Ivo,Ivo,custody_verified,True,True,True
46,3,repair_ring,copper wire,craft,Pax,Pax,Vale,Juno,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
47,3,riverbend,binding cord,repair,Cee,Cee,Ari,Lio,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
48,3,roofward,shade cloth,care,shared,Fay,Sera,Orr,wait_respectfully,custody verified without transfer,shared,shared,custody_verified,True,True,True
49,3,archive,signal spool,memory,Nia,Toma,Vell,Nia,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
51,3,orchard,dry cord,repair,Pim,Ivo,Mara,Pim,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
52,3,repair_ring,cool cloth,care,shared,Pax,Vale,Juno,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
54,4,archive,signal spool,memory,Nia,Nia,Toma,Vell,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
56,4,orchard,dry cord,repair,Pim,Pim,Ivo,Mara,ask_handoff,transferred with witness,Ivo,Ivo,granted,True,True,True
57,4,repair_ring,cool cloth,care,shared,Juno,Pax,Vale,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
59,4,roofward,herb ledger,memory,Sera,Orr,Fay,Sera,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
60,4,archive,memory tag,archive,Vell,Nia,Toma,Vell,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
61,4,signal,wind wrap,care,shared,Ren,Kesh,Milo,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
63,4,repair_ring,copper wire,craft,Pax,Juno,Pax,Vale,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
64,4,riverbend,binding cord,repair,Cee,Lio,Cee,Ari,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
66,4,archive,signal spool,memory,Nia,Nia,Toma,Vell,inspect_inventory,deferred without transfer,Nia,Nia,deferred,True,True,True
68,4,orchard,dry cord,repair,Pim,Pim,Ivo,Mara,ask_handoff,transferred with witness,Ivo,Ivo,granted,True,True,True
69,4,repair_ring,cool cloth,care,shared,Juno,Pax,Vale,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
71,4,roofward,herb ledger,memory,Sera,Orr,Fay,Sera,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
72,5,signal,oil lantern,signal,Ren,Milo,Ren,Kesh,idle,custody verified without transfer,Ren,Ren,custody_verified,True,True,True
73,5,orchard,dry cord,repair,Pim,Mara,Pim,Ivo,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
74,5,repair_ring,cool cloth,care,shared,Vale,Juno,Pax,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
75,5,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,idle,custody verified without transfer,Ari,Ari,custody_verified,True,True,True
76,5,roofward,herb ledger,memory,Sera,Sera,Orr,Fay,ask_handoff,transferred with witness,Orr,Orr,granted,True,True,True
77,5,archive,memory tag,archive,Vell,Vell,Nia,Toma,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
78,5,signal,wind wrap,care,shared,Milo,Ren,Kesh,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
80,5,repair_ring,copper wire,craft,Pax,Vale,Juno,Pax,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
81,5,riverbend,binding cord,repair,Cee,Ari,Lio,Cee,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
83,5,archive,signal spool,memory,Nia,Vell,Nia,Toma,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
84,5,signal,oil lantern,signal,Ren,Milo,Ren,Kesh,idle,custody verified without transfer,Ren,Ren,custody_verified,True,True,True
85,5,orchard,dry cord,repair,Pim,Mara,Pim,Ivo,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
86,5,repair_ring,cool cloth,care,shared,Vale,Juno,Pax,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
87,5,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,idle,custody verified without transfer,Ari,Ari,custody_verified,True,True,True
88,5,roofward,herb ledger,memory,Sera,Sera,Orr,Fay,ask_handoff,transferred with witness,Orr,Orr,granted,True,True,True
89,5,archive,memory tag,archive,Vell,Vell,Nia,Toma,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
90,6,orchard,dry cord,repair,Pim,Ivo,Mara,Pim,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
91,6,repair_ring,cool cloth,care,shared,Pax,Vale,Juno,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
93,6,roofward,herb ledger,memory,Sera,Fay,Sera,Orr,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
94,6,archive,memory tag,archive,Vell,Toma,Vell,Nia,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
95,6,signal,wind wrap,care,shared,Kesh,Milo,Ren,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
96,6,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,wait_respectfully,custody verified without transfer,Ivo,Ivo,custody_verified,True,True,True
97,6,repair_ring,copper wire,craft,Pax,Pax,Vale,Juno,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
98,6,riverbend,binding cord,repair,Cee,Cee,Ari,Lio,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
99,6,roofward,shade cloth,care,shared,Fay,Sera,Orr,wait_respectfully,custody verified without transfer,shared,shared,custody_verified,True,True,True
100,6,archive,signal spool,memory,Nia,Toma,Vell,Nia,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
102,6,orchard,dry cord,repair,Pim,Ivo,Mara,Pim,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
103,6,repair_ring,cool cloth,care,shared,Pax,Vale,Juno,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
105,6,roofward,herb ledger,memory,Sera,Fay,Sera,Orr,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
106,6,archive,memory tag,archive,Vell,Toma,Vell,Nia,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
107,6,signal,wind wrap,care,shared,Kesh,Milo,Ren,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
108,7,repair_ring,cool cloth,care,shared,Juno,Pax,Vale,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
110,7,roofward,herb ledger,memory,Sera,Orr,Fay,Sera,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
111,7,archive,memory tag,archive,Vell,Nia,Toma,Vell,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
112,7,signal,wind wrap,care,shared,Ren,Kesh,Milo,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
114,7,repair_ring,copper wire,craft,Pax,Juno,Pax,Vale,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
115,7,riverbend,binding cord,repair,Cee,Lio,Cee,Ari,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
117,7,archive,signal spool,memory,Nia,Nia,Toma,Vell,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
119,7,orchard,dry cord,repair,Pim,Pim,Ivo,Mara,ask_handoff,transferred with witness,Ivo,Ivo,granted,True,True,True
120,7,repair_ring,cool cloth,care,shared,Juno,Pax,Vale,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
122,7,roofward,herb ledger,memory,Sera,Orr,Fay,Sera,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
123,7,archive,memory tag,archive,Vell,Nia,Toma,Vell,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
124,7,signal,wind wrap,care,shared,Ren,Kesh,Milo,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
126,8,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,idle,custody verified without transfer,Ari,Ari,custody_verified,True,True,True
127,8,roofward,herb ledger,memory,Sera,Sera,Orr,Fay,ask_handoff,transferred with witness,Orr,Orr,granted,True,True,True
128,8,archive,memory tag,archive,Vell,Vell,Nia,Toma,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
129,8,signal,wind wrap,care,shared,Milo,Ren,Kesh,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
131,8,repair_ring,copper wire,craft,Pax,Vale,Juno,Pax,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
132,8,riverbend,binding cord,repair,Cee,Ari,Lio,Cee,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
134,8,archive,signal spool,memory,Nia,Vell,Nia,Toma,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
135,8,signal,oil lantern,signal,Ren,Milo,Ren,Kesh,idle,custody verified without transfer,Ren,Ren,custody_verified,True,True,True
136,8,orchard,dry cord,repair,Pim,Mara,Pim,Ivo,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
137,8,repair_ring,cool cloth,care,shared,Vale,Juno,Pax,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
138,8,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,idle,custody verified without transfer,Ari,Ari,custody_verified,True,True,True
139,8,roofward,herb ledger,memory,Sera,Sera,Orr,Fay,ask_handoff,transferred with witness,Orr,Orr,granted,True,True,True
140,8,archive,memory tag,archive,Vell,Vell,Nia,Toma,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
141,8,signal,wind wrap,care,shared,Milo,Ren,Kesh,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
143,8,repair_ring,copper wire,craft,Pax,Vale,Juno,Pax,inspect_inventory,deferred without transfer,Pax,Pax,deferred,True,True,True
144,9,roofward,herb ledger,memory,Sera,Fay,Sera,Orr,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
145,9,archive,memory tag,archive,Vell,Toma,Vell,Nia,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
146,9,signal,wind wrap,care,shared,Kesh,Milo,Ren,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
147,9,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,wait_respectfully,custody verified without transfer,Ivo,Ivo,custody_verified,True,True,True
148,9,repair_ring,copper wire,craft,Pax,Pax,Vale,Juno,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
149,9,riverbend,binding cord,repair,Cee,Cee,Ari,Lio,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
150,9,roofward,shade cloth,care,shared,Fay,Sera,Orr,wait_respectfully,custody verified without transfer,shared,shared,custody_verified,True,True,True
151,9,archive,signal spool,memory,Nia,Toma,Vell,Nia,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
153,9,orchard,dry cord,repair,Pim,Ivo,Mara,Pim,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
154,9,repair_ring,cool cloth,care,shared,Pax,Vale,Juno,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
156,9,roofward,herb ledger,memory,Sera,Fay,Sera,Orr,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
157,9,archive,memory tag,archive,Vell,Toma,Vell,Nia,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
158,9,signal,wind wrap,care,shared,Kesh,Milo,Ren,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
159,9,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,wait_respectfully,custody verified without transfer,Ivo,Ivo,custody_verified,True,True,True
160,9,repair_ring,copper wire,craft,Pax,Pax,Vale,Juno,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
161,9,riverbend,binding cord,repair,Cee,Cee,Ari,Lio,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
162,10,archive,memory tag,archive,Vell,Nia,Toma,Vell,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
163,10,signal,wind wrap,care,shared,Ren,Kesh,Milo,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
165,10,repair_ring,copper wire,craft,Pax,Juno,Pax,Vale,inspect_inventory,deferred without transfer,Pax,Pax,deferred,True,True,True
166,10,riverbend,binding cord,repair,Cee,Lio,Cee,Ari,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
168,10,archive,signal spool,memory,Nia,Nia,Toma,Vell,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
170,10,orchard,dry cord,repair,Pim,Pim,Ivo,Mara,ask_handoff,transferred with witness,Ivo,Ivo,granted,True,True,True
171,10,repair_ring,cool cloth,care,shared,Juno,Pax,Vale,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
173,10,roofward,herb ledger,memory,Sera,Orr,Fay,Sera,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
174,10,archive,memory tag,archive,Vell,Nia,Toma,Vell,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
175,10,signal,wind wrap,care,shared,Ren,Kesh,Milo,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
177,10,repair_ring,copper wire,craft,Pax,Juno,Pax,Vale,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
178,10,riverbend,binding cord,repair,Cee,Lio,Cee,Ari,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
180,11,signal,wind wrap,care,shared,Milo,Ren,Kesh,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
182,11,repair_ring,copper wire,craft,Pax,Vale,Juno,Pax,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
183,11,riverbend,binding cord,repair,Cee,Ari,Lio,Cee,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
185,11,archive,signal spool,memory,Nia,Vell,Nia,Toma,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
186,11,signal,oil lantern,signal,Ren,Milo,Ren,Kesh,idle,custody verified without transfer,Ren,Ren,custody_verified,True,True,True
187,11,orchard,dry cord,repair,Pim,Mara,Pim,Ivo,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
188,11,repair_ring,cool cloth,care,shared,Vale,Juno,Pax,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
189,11,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,idle,custody verified without transfer,Ari,Ari,custody_verified,True,True,True
190,11,roofward,herb ledger,memory,Sera,Sera,Orr,Fay,ask_handoff,transferred with witness,Orr,Orr,granted,True,True,True
191,11,archive,memory tag,archive,Vell,Vell,Nia,Toma,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
192,11,signal,wind wrap,care,shared,Milo,Ren,Kesh,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
194,11,repair_ring,copper wire,craft,Pax,Vale,Juno,Pax,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
195,11,riverbend,binding cord,repair,Cee,Ari,Lio,Cee,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
197,11,archive,signal spool,memory,Nia,Vell,Nia,Toma,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
198,12,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,wait_respectfully,deferred without transfer,Ivo,Ivo,deferred,True,True,True
199,12,repair_ring,copper wire,craft,Pax,Pax,Vale,Juno,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
200,12,riverbend,binding cord,repair,Cee,Cee,Ari,Lio,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
201,12,roofward,shade cloth,care,shared,Fay,Sera,Orr,wait_respectfully,custody verified without transfer,shared,shared,custody_verified,True,True,True
202,12,archive,signal spool,memory,Nia,Toma,Vell,Nia,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
204,12,orchard,dry cord,repair,Pim,Ivo,Mara,Pim,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
205,12,repair_ring,cool cloth,care,shared,Pax,Vale,Juno,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
207,12,roofward,herb ledger,memory,Sera,Fay,Sera,Orr,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
208,12,archive,memory tag,archive,Vell,Toma,Vell,Nia,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
209,12,signal,wind wrap,care,shared,Kesh,Milo,Ren,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
210,12,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,wait_respectfully,custody verified without transfer,Ivo,Ivo,custody_verified,True,True,True
211,12,repair_ring,copper wire,craft,Pax,Pax,Vale,Juno,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
212,12,riverbend,binding cord,repair,Cee,Cee,Ari,Lio,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
213,12,roofward,shade cloth,care,shared,Fay,Sera,Orr,wait_respectfully,custody verified without transfer,shared,shared,custody_verified,True,True,True
214,12,archive,signal spool,memory,Nia,Toma,Vell,Nia,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
216,13,repair_ring,copper wire,craft,Pax,Juno,Pax,Vale,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
217,13,riverbend,binding cord,repair,Cee,Lio,Cee,Ari,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
219,13,archive,signal spool,memory,Nia,Nia,Toma,Vell,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
221,13,orchard,dry cord,repair,Pim,Pim,Ivo,Mara,ask_handoff,transferred with witness,Ivo,Ivo,granted,True,True,True
222,13,repair_ring,cool cloth,care,shared,Juno,Pax,Vale,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
224,13,roofward,herb ledger,memory,Sera,Orr,Fay,Sera,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
225,13,archive,memory tag,archive,Vell,Nia,Toma,Vell,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
226,13,signal,wind wrap,care,shared,Ren,Kesh,Milo,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
228,13,repair_ring,copper wire,craft,Pax,Juno,Pax,Vale,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
229,13,riverbend,binding cord,repair,Cee,Lio,Cee,Ari,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
231,13,archive,signal spool,memory,Nia,Nia,Toma,Vell,inspect_inventory,deferred without transfer,Nia,Nia,deferred,True,True,True
233,13,orchard,dry cord,repair,Pim,Pim,Ivo,Mara,ask_handoff,transferred with witness,Ivo,Ivo,granted,True,True,True
234,14,riverbend,binding cord,repair,Cee,Ari,Lio,Cee,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
236,14,archive,signal spool,memory,Nia,Vell,Nia,Toma,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
237,14,signal,oil lantern,signal,Ren,Milo,Ren,Kesh,idle,custody verified without transfer,Ren,Ren,custody_verified,True,True,True
238,14,orchard,dry cord,repair,Pim,Mara,Pim,Ivo,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
239,14,repair_ring,cool cloth,care,shared,Vale,Juno,Pax,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
240,14,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,idle,custody verified without transfer,Ari,Ari,custody_verified,True,True,True
241,14,roofward,herb ledger,memory,Sera,Sera,Orr,Fay,ask_handoff,transferred with witness,Orr,Orr,granted,True,True,True
242,14,archive,memory tag,archive,Vell,Vell,Nia,Toma,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
243,14,signal,wind wrap,care,shared,Milo,Ren,Kesh,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
245,14,repair_ring,copper wire,craft,Pax,Vale,Juno,Pax,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
246,14,riverbend,binding cord,repair,Cee,Ari,Lio,Cee,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
248,14,archive,signal spool,memory,Nia,Vell,Nia,Toma,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
249,14,signal,oil lantern,signal,Ren,Milo,Ren,Kesh,idle,custody verified without transfer,Ren,Ren,custody_verified,True,True,True
250,14,orchard,dry cord,repair,Pim,Mara,Pim,Ivo,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
251,14,repair_ring,cool cloth,care,shared,Vale,Juno,Pax,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
252,15,roofward,shade cloth,care,shared,Fay,Sera,Orr,wait_respectfully,custody verified without transfer,shared,shared,custody_verified,True,True,True
253,15,archive,signal spool,memory,Nia,Toma,Vell,Nia,inspect_inventory,deferred without transfer,Nia,Nia,deferred,True,True,True
255,15,orchard,dry cord,repair,Pim,Ivo,Mara,Pim,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
256,15,repair_ring,cool cloth,care,shared,Pax,Vale,Juno,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
258,15,roofward,herb ledger,memory,Sera,Fay,Sera,Orr,ask_handoff,deferred without transfer,Orr,Orr,deferred,True,True,True
259,15,archive,memory tag,archive,Vell,Toma,Vell,Nia,refuse_handoff,refused without transfer,Vell,Vell,refused,True,True,True
260,15,signal,wind wrap,care,shared,Kesh,Milo,Ren,return_object,returned to owner shelf,shared shelf,shared shelf,returning,True,True,True
261,15,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,wait_respectfully,custody verified without transfer,Ivo,Ivo,custody_verified,True,True,True
262,15,repair_ring,copper wire,craft,Pax,Pax,Vale,Juno,inspect_inventory,custody verified without transfer,Pax,Pax,custody_verified,True,True,True
263,15,riverbend,binding cord,repair,Cee,Cee,Ari,Lio,return_object,returned to owner shelf,Cee,Cee,returning,True,True,True
264,15,roofward,shade cloth,care,shared,Fay,Sera,Orr,wait_respectfully,custody verified without transfer,shared,shared,custody_verified,True,True,True
265,15,archive,signal spool,memory,Nia,Toma,Vell,Nia,inspect_inventory,custody verified without transfer,Nia,Nia,custody_verified,True,True,True
267,15,orchard,dry cord,repair,Pim,Ivo,Mara,Pim,ask_handoff,deferred without transfer,Ivo,Ivo,deferred,True,True,True
268,15,repair_ring,cool cloth,care,shared,Pax,Vale,Juno,refuse_handoff,refused without transfer,shared,shared,refused,True,True,True
