tick_id,day,settlement_id,room_id,object_id,manipulation_action,object_before,object_after,ownership_respected,localstorage_object_key,object_state_persisted,visible_affordance
91,8,archive,stone stacks,signal spool,inspect,placed_in_spool_room,placed_in_spool_room,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
92,8,signal,lantern walk,signal lens,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
95,8,riverbend,plank hall,ridge lantern,pick_up,carried_by_avatar,carried_by_avatar,False,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
98,9,signal,lantern walk,mast rope,inspect,placed_in_arrival_court,placed_in_arrival_court,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
100,9,repair_ring,bell alcove,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
103,9,archive,stone stacks,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
104,9,signal,lantern walk,mast rope,place,placed_in_arrival_court,placed_in_lantern_walk,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
105,9,orchard,seed lane,seed satchel,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.orchard.seed satchel,True,inspect/pick/place
107,9,riverbend,plank hall,plank latch,place,placed_in_arrival_court,placed_in_plank_hall,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
112,10,repair_ring,bell alcove,bell gauge,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
115,10,archive,stone stacks,memory tag,pick_up,carried_by_avatar,carried_by_avatar,False,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
119,10,riverbend,dry ridge,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
123,11,orchard,seed lane,market token,inspect,in_room,in_room,True,ssrm.v39.object.orchard.market token,True,inspect/pick/place
124,11,repair_ring,bell alcove,copper wire,place,placed_in_arrival_court,placed_in_bell_alcove,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
126,11,roofward,arrival court,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
127,11,archive,stone stacks,signal spool,place,placed_in_spool_room,placed_in_stone_stacks,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
133,12,archive,stone stacks,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
135,12,orchard,seed lane,seed satchel,pick_up,carried_by_avatar,carried_by_avatar,False,ssrm.v39.object.orchard.seed satchel,True,inspect/pick/place
138,12,roofward,arrival court,herb ledger,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
140,12,signal,mast base,mast rope,inspect,placed_in_lantern_walk,placed_in_lantern_walk,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
146,13,signal,mast base,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
147,13,orchard,seed lane,dry cord,place,placed_in_satchel_shed,placed_in_seed_lane,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
149,13,riverbend,plank hall,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
150,13,roofward,arrival court,sun lens,place,placed_in_ledger_loft,placed_in_arrival_court,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
154,13,repair_ring,wire bench,bell gauge,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
157,14,signal,mast base,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
158,14,orchard,seed lane,dry cord,place,placed_in_seed_lane,placed_in_seed_lane,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
160,14,riverbend,plank hall,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
161,14,roofward,glass stair,sun lens,place,placed_in_arrival_court,placed_in_glass_stair,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
168,15,archive,stone stacks,signal spool,inspect,placed_in_stone_stacks,placed_in_stone_stacks,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
169,15,signal,mast base,signal lens,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
172,15,riverbend,plank hall,ridge lantern,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
175,15,signal,mast base,signal lens,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
180,16,archive,ink niche,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
181,16,signal,mast base,mast rope,place,placed_in_lantern_walk,placed_in_mast_base,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
182,16,orchard,seed lane,seed satchel,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.orchard.seed satchel,True,inspect/pick/place
184,16,riverbend,plank hall,plank latch,place,placed_in_plank_hall,placed_in_plank_hall,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
189,16,repair_ring,bell alcove,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
192,17,archive,arrival court,memory tag,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
196,17,riverbend,plank hall,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
201,17,repair_ring,bell alcove,bell gauge,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
203,17,roofward,glass stair,sun lens,inspect,placed_in_glass_stair,placed_in_glass_stair,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
204,18,archive,stone stacks,signal spool,place,placed_in_stone_stacks,placed_in_stone_stacks,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
210,18,archive,stone stacks,signal spool,inspect,placed_in_stone_stacks,placed_in_stone_stacks,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
212,18,orchard,arrival court,market token,inspect,in_room,in_room,True,ssrm.v39.object.orchard.market token,True,inspect/pick/place
213,18,repair_ring,bell alcove,copper wire,place,placed_in_bell_alcove,placed_in_bell_alcove,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
215,18,roofward,glass stair,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
217,19,signal,mast base,mast rope,inspect,placed_in_mast_base,placed_in_mast_base,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
224,19,orchard,arrival court,seed satchel,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.orchard.seed satchel,True,inspect/pick/place
227,19,roofward,glass stair,herb ledger,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
231,20,repair_ring,wire bench,bell gauge,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
235,20,signal,lens room,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
236,20,orchard,arrival court,dry cord,place,placed_in_seed_lane,placed_in_arrival_court,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
238,20,riverbend,dry ridge,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
239,20,roofward,glass stair,sun lens,place,placed_in_glass_stair,placed_in_glass_stair,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
245,21,archive,spool room,memory tag,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
246,21,signal,lens room,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
247,21,orchard,arrival court,dry cord,place,placed_in_arrival_court,placed_in_arrival_court,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
249,21,riverbend,dry ridge,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
250,21,roofward,warm lane,sun lens,place,placed_in_glass_stair,placed_in_warm_lane,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
252,22,signal,lens room,signal lens,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
258,22,signal,lens room,signal lens,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
259,22,orchard,arrival court,market token,inspect,in_room,in_room,True,ssrm.v39.object.orchard.market token,True,inspect/pick/place
261,22,riverbend,dry ridge,ridge lantern,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
266,23,repair_ring,arrival court,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
269,23,archive,ink niche,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
270,23,signal,lens room,mast rope,place,placed_in_mast_base,placed_in_lens_room,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
273,23,riverbend,dry ridge,plank latch,place,placed_in_plank_hall,placed_in_dry_ridge,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
278,24,repair_ring,arrival court,bell gauge,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
280,24,roofward,warm lane,sun lens,inspect,placed_in_warm_lane,placed_in_warm_lane,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
281,24,archive,arrival court,memory tag,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
287,24,archive,arrival court,memory tag,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
289,25,orchard,market plank,market token,inspect,in_room,in_room,True,ssrm.v39.object.orchard.market token,True,inspect/pick/place
290,25,repair_ring,arrival court,copper wire,place,placed_in_bell_alcove,placed_in_arrival_court,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
292,25,roofward,ledger loft,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
293,25,archive,stone stacks,signal spool,place,placed_in_stone_stacks,placed_in_stone_stacks,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
294,25,signal,mast base,signal lens,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
301,26,orchard,market plank,seed satchel,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.orchard.seed satchel,True,inspect/pick/place
304,26,roofward,ledger loft,herb ledger,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
308,26,repair_ring,arrival court,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
312,27,signal,arrival court,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
313,27,orchard,market plank,dry cord,place,placed_in_arrival_court,placed_in_market_plank,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
315,27,riverbend,arrival court,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
316,27,roofward,ledger loft,sun lens,place,placed_in_warm_lane,placed_in_ledger_loft,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
322,27,roofward,ledger loft,sun lens,inspect,placed_in_ledger_loft,placed_in_ledger_loft,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
324,28,orchard,satchel shed,dry cord,place,placed_in_market_plank,placed_in_satchel_shed,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
326,28,riverbend,arrival court,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
327,28,roofward,ledger loft,sun lens,place,placed_in_ledger_loft,placed_in_ledger_loft,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
329,28,signal,arrival court,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
335,28,signal,arrival court,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
336,29,orchard,arrival court,market token,inspect,in_room,in_room,True,ssrm.v39.object.orchard.market token,True,inspect/pick/place
338,29,riverbend,arrival court,ridge lantern,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
343,29,repair_ring,bell alcove,copper wire,inspect,placed_in_arrival_court,placed_in_arrival_court,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
347,29,signal,arrival court,signal lens,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
350,30,riverbend,arrival court,plank latch,place,placed_in_dry_ridge,placed_in_arrival_court,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
355,30,repair_ring,bell alcove,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
357,30,roofward,glass stair,herb ledger,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
358,30,archive,stone stacks,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
359,30,signal,arrival court,mast rope,place,placed_in_lens_room,placed_in_arrival_court,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
364,31,archive,stone stacks,memory tag,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
367,31,repair_ring,bell alcove,bell gauge,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
370,31,archive,spool room,memory tag,pick_up,carried_by_avatar,carried_by_avatar,False,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
371,31,signal,mast base,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
378,32,orchard,arrival court,market token,inspect,in_room,in_room,True,ssrm.v39.object.orchard.market token,True,inspect/pick/place
379,32,repair_ring,bell alcove,copper wire,place,placed_in_arrival_court,placed_in_bell_alcove,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
381,32,roofward,glass stair,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
382,32,archive,ink niche,signal spool,place,placed_in_stone_stacks,placed_in_ink_niche,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
385,33,repair_ring,bell alcove,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
390,33,orchard,arrival court,seed satchel,pick_up,carried_by_avatar,carried_by_avatar,False,ssrm.v39.object.orchard.seed satchel,True,inspect/pick/place
392,33,riverbend,kit alcove,plank latch,inspect,placed_in_arrival_court,placed_in_arrival_court,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
393,33,roofward,glass stair,herb ledger,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
399,34,roofward,glass stair,sun lens,inspect,placed_in_ledger_loft,placed_in_ledger_loft,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
401,34,signal,arrival court,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
402,34,orchard,arrival court,dry cord,place,placed_in_satchel_shed,placed_in_arrival_court,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
404,34,riverbend,kit alcove,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
405,34,roofward,glass stair,sun lens,place,placed_in_ledger_loft,placed_in_glass_stair,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
406,34,archive,spool room,memory tag,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
412,35,signal,arrival court,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
413,35,orchard,seed lane,dry cord,place,placed_in_arrival_court,placed_in_seed_lane,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
415,35,riverbend,kit alcove,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
416,35,roofward,glass stair,sun lens,place,placed_in_glass_stair,placed_in_glass_stair,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
420,36,repair_ring,bell alcove,copper wire,inspect,placed_in_bell_alcove,placed_in_bell_alcove,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
424,36,signal,arrival court,signal lens,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
427,36,riverbend,kit alcove,ridge lantern,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
432,37,repair_ring,wire bench,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
434,37,roofward,warm lane,herb ledger,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
435,37,archive,arrival court,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
436,37,signal,arrival court,mast rope,place,placed_in_arrival_court,placed_in_arrival_court,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
439,37,riverbend,kit alcove,plank latch,place,placed_in_arrival_court,placed_in_kit_alcove,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
441,37,archive,arrival court,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
444,38,repair_ring,spark lane,bell gauge,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
447,38,archive,arrival court,memory tag,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
448,38,signal,arrival court,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
455,38,orchard,seed lane,dry cord,inspect,placed_in_seed_lane,placed_in_seed_lane,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
456,39,repair_ring,bell alcove,copper wire,place,placed_in_bell_alcove,placed_in_bell_alcove,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
458,39,roofward,arrival court,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
459,39,archive,arrival court,signal spool,place,placed_in_ink_niche,placed_in_arrival_court,True,ssrm.v39.object.archive.signal spool,True,inspect/pick/place
462,39,repair_ring,bell alcove,copper wire,inspect,placed_in_bell_alcove,placed_in_bell_alcove,True,ssrm.v39.object.repair_ring.copper wire,True,inspect/pick/place
467,39,orchard,seed lane,market token,inspect,in_room,in_room,True,ssrm.v39.object.orchard.market token,True,inspect/pick/place
469,40,riverbend,kit alcove,plank latch,inspect,placed_in_kit_alcove,placed_in_kit_alcove,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
470,40,roofward,arrival court,herb ledger,pick_up,carried_by_avatar,carried_by_avatar,False,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
476,40,roofward,arrival court,herb ledger,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.roofward.herb ledger,True,inspect/pick/place
479,40,orchard,seed lane,seed satchel,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.orchard.seed satchel,True,inspect/pick/place
481,41,riverbend,plank hall,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
482,41,roofward,arrival court,sun lens,place,placed_in_glass_stair,placed_in_arrival_court,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
483,41,archive,arrival court,memory tag,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
490,41,signal,mast base,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
491,41,orchard,seed lane,dry cord,place,placed_in_seed_lane,placed_in_seed_lane,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
492,42,riverbend,dry ridge,cedar kit,inspect,in_room,in_room,True,ssrm.v39.object.riverbend.cedar kit,True,inspect/pick/place
493,42,roofward,arrival court,sun lens,place,placed_in_arrival_court,placed_in_arrival_court,True,ssrm.v39.object.roofward.sun lens,True,inspect/pick/place
497,42,repair_ring,arrival court,bell gauge,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
501,42,signal,mast base,oil lantern,inspect,in_room,in_room,True,ssrm.v39.object.signal.oil lantern,True,inspect/pick/place
502,42,orchard,market plank,dry cord,place,placed_in_seed_lane,placed_in_market_plank,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
504,43,riverbend,kit alcove,ridge lantern,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.riverbend.ridge lantern,True,inspect/pick/place
511,43,roofward,arrival court,glass latch,inspect,in_room,in_room,True,ssrm.v39.object.roofward.glass latch,True,inspect/pick/place
513,43,signal,mast base,signal lens,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.signal.signal lens,True,inspect/pick/place
516,44,riverbend,arrival court,plank latch,place,placed_in_kit_alcove,placed_in_arrival_court,True,ssrm.v39.object.riverbend.plank latch,True,inspect/pick/place
518,44,archive,stone stacks,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
521,44,repair_ring,wire bench,insulated tongs,inspect,in_room,in_room,True,ssrm.v39.object.repair_ring.insulated tongs,True,inspect/pick/place
524,44,archive,stone stacks,inkstone,inspect,in_room,in_room,True,ssrm.v39.object.archive.inkstone,True,inspect/pick/place
525,44,signal,mast base,mast rope,place,placed_in_arrival_court,placed_in_mast_base,True,ssrm.v39.object.signal.mast rope,True,inspect/pick/place
532,45,orchard,market plank,dry cord,inspect,placed_in_market_plank,placed_in_market_plank,True,ssrm.v39.object.orchard.dry cord,True,inspect/pick/place
533,45,repair_ring,spark lane,bell gauge,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
536,45,archive,stone stacks,memory tag,pick_up,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.archive.memory tag,True,inspect/pick/place
539,45,repair_ring,spark lane,bell gauge,inspect,carried_by_avatar,carried_by_avatar,True,ssrm.v39.object.repair_ring.bell gauge,True,inspect/pick/place
