tick,day,snapshot_key,avatar_room,selected_resident,resident_state_digest,resource_state_digest,replay_event_count,snapshot_size_bytes,restored_ok,storage_keys_present
17,1,ssrm:v59:audit:snapshot:d001:t00017,arrival court,Tovan,"{""debt"": 0.4799, ""memory"": ""tovan:care_favor:audit:d001:s17"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.3381}","{""care"": 28, ""fiber"": 19, ""herb"": 25, ""tool time"": 12, ""water"": 16, ""wood"": 22}",18,246,True,True
18,2,ssrm:v59:audit:snapshot:d002:t00018,rain court,Nia,"{""debt"": 0.475, ""memory"": ""nia:tool_loan:audit:d002:s00"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.3201}","{""care"": 10, ""fiber"": 20, ""herb"": 26, ""tool time"": 13, ""water"": 17, ""wood"": 23}",19,232,True,True
19,2,ssrm:v59:audit:snapshot:d002:t00019,fiber loft,Ari,"{""debt"": 0.5118, ""memory"": ""ari:repair_promise:audit:d002:s01"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.4904}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",20,248,True,True
20,2,ssrm:v59:audit:snapshot:d002:t00020,west hearth,Fay,"{""debt"": 0.4785, ""memory"": ""fay:care_favor:audit:d002:s02"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.668}","{""care"": 12, ""fiber"": 22, ""herb"": 28, ""tool time"": 15, ""water"": 19, ""wood"": 25}",21,243,True,True
21,2,ssrm:v59:audit:snapshot:d002:t00021,river gate,Milo,"{""debt"": 0.4589, ""memory"": ""milo:tool_loan:audit:d002:s03"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.6691}","{""care"": 13, ""fiber"": 23, ""herb"": 10, ""tool time"": 16, ""water"": 20, ""wood"": 26}",22,240,True,True
22,2,ssrm:v59:audit:snapshot:d002:t00022,arrival court,Sera,"{""debt"": 0.4671, ""memory"": ""sera:repair_promise:audit:d002:s04"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.496}","{""care"": 14, ""fiber"": 24, ""herb"": 11, ""tool time"": 17, ""water"": 21, ""wood"": 27}",23,244,True,True
23,2,ssrm:v59:audit:snapshot:d002:t00023,tool alcove,Tovan,"{""debt"": 0.461, ""memory"": ""tovan:care_favor:audit:d002:s05"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.3509}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",24,245,True,True
24,2,ssrm:v59:audit:snapshot:d002:t00024,rain court,Nia,"{""debt"": 0.4408, ""memory"": ""nia:tool_loan:audit:d002:s06"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.3183}","{""care"": 16, ""fiber"": 26, ""herb"": 13, ""tool time"": 19, ""water"": 23, ""wood"": 10}",25,242,True,True
25,2,ssrm:v59:audit:snapshot:d002:t00025,fiber loft,Ari,"{""debt"": 0.4764, ""memory"": ""ari:repair_promise:audit:d002:s07"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.4931}","{""care"": 17, ""fiber"": 27, ""herb"": 14, ""tool time"": 20, ""water"": 24, ""wood"": 11}",26,238,True,True
26,2,ssrm:v59:audit:snapshot:d002:t00026,west hearth,Fay,"{""debt"": 0.4278, ""memory"": ""fay:care_favor:audit:d002:s08"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.6869}","{""care"": 18, ""fiber"": 28, ""herb"": 15, ""tool time"": 21, ""water"": 25, ""wood"": 12}",27,234,True,True
27,2,ssrm:v59:audit:snapshot:d002:t00027,river gate,Milo,"{""debt"": 0.4631, ""memory"": ""milo:tool_loan:audit:d002:s09"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.6383}","{""care"": 19, ""fiber"": 10, ""herb"": 16, ""tool time"": 22, ""water"": 26, ""wood"": 13}",28,240,True,True
28,2,ssrm:v59:audit:snapshot:d002:t00028,arrival court,Sera,"{""debt"": 0.4281, ""memory"": ""sera:repair_promise:audit:d002:s10"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.4868}","{""care"": 20, ""fiber"": 11, ""herb"": 17, ""tool time"": 23, ""water"": 27, ""wood"": 14}",29,245,True,True
29,2,ssrm:v59:audit:snapshot:d002:t00029,tool alcove,Tovan,"{""debt"": 0.407, ""memory"": ""tovan:care_favor:audit:d002:s11"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.3357}","{""care"": 21, ""fiber"": 12, ""herb"": 18, ""tool time"": 24, ""water"": 28, ""wood"": 15}",30,242,True,True
30,2,ssrm:v59:audit:snapshot:d002:t00030,rain court,Nia,"{""debt"": 0.4138, ""memory"": ""nia:tool_loan:audit:d002:s12"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.3217}","{""care"": 22, ""fiber"": 13, ""herb"": 19, ""tool time"": 25, ""water"": 10, ""wood"": 16}",31,241,True,True
31,2,ssrm:v59:audit:snapshot:d002:t00031,fiber loft,Ari,"{""debt"": 0.4065, ""memory"": ""ari:repair_promise:audit:d002:s13"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.5324}","{""care"": 23, ""fiber"": 14, ""herb"": 20, ""tool time"": 26, ""water"": 11, ""wood"": 17}",32,247,True,True
32,2,ssrm:v59:audit:snapshot:d002:t00032,west hearth,Fay,"{""debt"": 0.385, ""memory"": ""fay:care_favor:audit:d002:s14"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.7018}","{""care"": 24, ""fiber"": 15, ""herb"": 21, ""tool time"": 27, ""water"": 12, ""wood"": 18}",33,233,True,True
33,2,ssrm:v59:audit:snapshot:d002:t00033,river gate,Milo,"{""debt"": 0.4194, ""memory"": ""milo:tool_loan:audit:d002:s15"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.634}","{""care"": 25, ""fiber"": 16, ""herb"": 22, ""tool time"": 28, ""water"": 13, ""wood"": 19}",34,244,True,True
34,2,ssrm:v59:audit:snapshot:d002:t00034,arrival court,Sera,"{""debt"": 0.3697, ""memory"": ""sera:repair_promise:audit:d002:s16"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.516}","{""care"": 26, ""fiber"": 17, ""herb"": 23, ""tool time"": 10, ""water"": 14, ""wood"": 20}",35,249,True,True
35,2,ssrm:v59:audit:snapshot:d002:t00035,tool alcove,Tovan,"{""debt"": 0.4039, ""memory"": ""tovan:care_favor:audit:d002:s17"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.3054}","{""care"": 27, ""fiber"": 18, ""herb"": 24, ""tool time"": 11, ""water"": 15, ""wood"": 21}",36,243,True,True
36,3,ssrm:v59:audit:snapshot:d003:t00036,fiber loft,Nia,"{""debt"": 0.354, ""memory"": ""nia:tool_loan:audit:d003:s00"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.3376}","{""care"": 28, ""fiber"": 19, ""herb"": 25, ""tool time"": 12, ""water"": 16, ""wood"": 22}",37,240,True,True
37,3,ssrm:v59:audit:snapshot:d003:t00037,west hearth,Ari,"{""debt"": 0.3601, ""memory"": ""ari:repair_promise:audit:d003:s01"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.539}","{""care"": 10, ""fiber"": 20, ""herb"": 26, ""tool time"": 13, ""water"": 17, ""wood"": 23}",38,246,True,True
38,3,ssrm:v59:audit:snapshot:d003:t00038,river gate,Fay,"{""debt"": 0.3521, ""memory"": ""fay:care_favor:audit:d003:s02"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.6883}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",39,234,True,True
39,3,ssrm:v59:audit:snapshot:d003:t00039,arrival court,Milo,"{""debt"": 0.33, ""memory"": ""milo:tool_loan:audit:d003:s03"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.6607}","{""care"": 12, ""fiber"": 22, ""herb"": 28, ""tool time"": 15, ""water"": 19, ""wood"": 25}",40,233,True,True
40,3,ssrm:v59:audit:snapshot:d003:t00040,tool alcove,Sera,"{""debt"": 0.3639, ""memory"": ""sera:repair_promise:audit:d003:s04"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.4772}","{""care"": 13, ""fiber"": 23, ""herb"": 10, ""tool time"": 16, ""water"": 20, ""wood"": 26}",41,245,True,True
41,3,ssrm:v59:audit:snapshot:d003:t00041,rain court,Tovan,"{""debt"": 0.3138, ""memory"": ""tovan:care_favor:audit:d003:s05"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.3244}","{""care"": 14, ""fiber"": 24, ""herb"": 11, ""tool time"": 17, ""water"": 21, ""wood"": 27}",42,243,True,True
42,3,ssrm:v59:audit:snapshot:d003:t00042,fiber loft,Nia,"{""debt"": 0.3477, ""memory"": ""nia:tool_loan:audit:d003:s06"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.2911}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",43,241,True,True
43,3,ssrm:v59:audit:snapshot:d003:t00043,west hearth,Ari,"{""debt"": 0.3116, ""memory"": ""ari:repair_promise:audit:d003:s07"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.5256}","{""care"": 16, ""fiber"": 26, ""herb"": 13, ""tool time"": 19, ""water"": 23, ""wood"": 10}",44,246,True,True
44,3,ssrm:v59:audit:snapshot:d003:t00044,river gate,Fay,"{""debt"": 0.2894, ""memory"": ""fay:care_favor:audit:d003:s08"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.6944}","{""care"": 17, ""fiber"": 27, ""herb"": 14, ""tool time"": 20, ""water"": 24, ""wood"": 11}",45,243,True,True
45,3,ssrm:v59:audit:snapshot:d003:t00045,arrival court,Milo,"{""debt"": 0.2953, ""memory"": ""milo:tool_loan:audit:d003:s09"", ""resident"": ""Milo"", ""schedule"": ""work"", ""trust"": 0.6527}","{""care"": 18, ""fiber"": 28, ""herb"": 15, ""tool time"": 21, ""water"": 25, ""wood"": 12}",46,235,True,True
46,3,ssrm:v59:audit:snapshot:d003:t00046,tool alcove,Sera,"{""debt"": 0.2872, ""memory"": ""sera:repair_promise:audit:d003:s10"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.5062}","{""care"": 19, ""fiber"": 10, ""herb"": 16, ""tool time"": 22, ""water"": 26, ""wood"": 13}",47,240,True,True
47,3,ssrm:v59:audit:snapshot:d003:t00047,rain court,Tovan,"{""debt"": 0.2652, ""memory"": ""tovan:care_favor:audit:d003:s11"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.3375}","{""care"": 20, ""fiber"": 11, ""herb"": 17, ""tool time"": 23, ""water"": 27, ""wood"": 14}",48,248,True,True
48,3,ssrm:v59:audit:snapshot:d003:t00048,fiber loft,Nia,"{""debt"": 0.2992, ""memory"": ""nia:tool_loan:audit:d003:s12"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.3013}","{""care"": 21, ""fiber"": 12, ""herb"": 18, ""tool time"": 24, ""water"": 28, ""wood"": 15}",49,238,True,True
49,3,ssrm:v59:audit:snapshot:d003:t00049,west hearth,Ari,"{""debt"": 0.2492, ""memory"": ""ari:repair_promise:audit:d003:s13"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.5539}","{""care"": 22, ""fiber"": 13, ""herb"": 19, ""tool time"": 25, ""water"": 10, ""wood"": 16}",50,243,True,True
50,3,ssrm:v59:audit:snapshot:d003:t00050,river gate,Fay,"{""debt"": 0.2834, ""memory"": ""fay:care_favor:audit:d003:s14"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.654}","{""care"": 23, ""fiber"": 14, ""herb"": 20, ""tool time"": 26, ""water"": 11, ""wood"": 17}",51,242,True,True
51,3,ssrm:v59:audit:snapshot:d003:t00051,arrival court,Milo,"{""debt"": 0.2476, ""memory"": ""milo:tool_loan:audit:d003:s15"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.6546}","{""care"": 24, ""fiber"": 15, ""herb"": 21, ""tool time"": 27, ""water"": 12, ""wood"": 18}",52,244,True,True
52,3,ssrm:v59:audit:snapshot:d003:t00052,tool alcove,Sera,"{""debt"": 0.2259, ""memory"": ""sera:repair_promise:audit:d003:s16"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.508}","{""care"": 25, ""fiber"": 16, ""herb"": 22, ""tool time"": 28, ""water"": 13, ""wood"": 19}",53,239,True,True
53,3,ssrm:v59:audit:snapshot:d003:t00053,rain court,Tovan,"{""debt"": 0.2323, ""memory"": ""tovan:care_favor:audit:d003:s17"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.3343}","{""care"": 26, ""fiber"": 17, ""herb"": 23, ""tool time"": 10, ""water"": 14, ""wood"": 20}",54,238,True,True
54,4,ssrm:v59:audit:snapshot:d004:t00054,west hearth,Nia,"{""debt"": 0.2108, ""memory"": ""nia:tool_loan:audit:d004:s00"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.337}","{""care"": 27, ""fiber"": 18, ""herb"": 24, ""tool time"": 11, ""water"": 15, ""wood"": 21}",55,237,True,True
55,4,ssrm:v59:audit:snapshot:d004:t00055,river gate,Ari,"{""debt"": 0.2455, ""memory"": ""ari:repair_promise:audit:d004:s01"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.5352}","{""care"": 28, ""fiber"": 19, ""herb"": 25, ""tool time"": 12, ""water"": 16, ""wood"": 22}",56,246,True,True
56,4,ssrm:v59:audit:snapshot:d004:t00056,arrival court,Fay,"{""debt"": 0.1963, ""memory"": ""fay:care_favor:audit:d004:s02"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.6974}","{""care"": 10, ""fiber"": 20, ""herb"": 26, ""tool time"": 13, ""water"": 17, ""wood"": 23}",57,242,True,True
57,4,ssrm:v59:audit:snapshot:d004:t00057,tool alcove,Milo,"{""debt"": 0.2312, ""memory"": ""milo:tool_loan:audit:d004:s03"", ""resident"": ""Milo"", ""schedule"": ""work"", ""trust"": 0.6222}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",58,235,True,True
58,4,ssrm:v59:audit:snapshot:d004:t00058,rain court,Sera,"{""debt"": 0.1963, ""memory"": ""sera:repair_promise:audit:d004:s04"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.4789}","{""care"": 12, ""fiber"": 22, ""herb"": 28, ""tool time"": 15, ""water"": 19, ""wood"": 25}",59,240,True,True
59,4,ssrm:v59:audit:snapshot:d004:t00059,fiber loft,Tovan,"{""debt"": 0.1756, ""memory"": ""tovan:care_favor:audit:d004:s05"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.3273}","{""care"": 13, ""fiber"": 23, ""herb"": 10, ""tool time"": 16, ""water"": 20, ""wood"": 26}",60,238,True,True
60,4,ssrm:v59:audit:snapshot:d004:t00060,west hearth,Nia,"{""debt"": 0.183, ""memory"": ""nia:tool_loan:audit:d004:s06"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.3329}","{""care"": 14, ""fiber"": 24, ""herb"": 11, ""tool time"": 17, ""water"": 21, ""wood"": 27}",61,242,True,True
61,4,ssrm:v59:audit:snapshot:d004:t00061,river gate,Ari,"{""debt"": 0.1766, ""memory"": ""ari:repair_promise:audit:d004:s07"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.556}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",62,242,True,True
62,4,ssrm:v59:audit:snapshot:d004:t00062,arrival court,Fay,"{""debt"": 0.1564, ""memory"": ""fay:care_favor:audit:d004:s08"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.6991}","{""care"": 16, ""fiber"": 26, ""herb"": 13, ""tool time"": 19, ""water"": 23, ""wood"": 10}",63,239,True,True
63,4,ssrm:v59:audit:snapshot:d004:t00063,tool alcove,Milo,"{""debt"": 0.1924, ""memory"": ""milo:tool_loan:audit:d004:s09"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.627}","{""care"": 17, ""fiber"": 27, ""herb"": 14, ""tool time"": 20, ""water"": 24, ""wood"": 11}",64,243,True,True
64,4,ssrm:v59:audit:snapshot:d004:t00064,rain court,Sera,"{""debt"": 0.1446, ""memory"": ""sera:repair_promise:audit:d004:s10"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.4955}","{""care"": 18, ""fiber"": 28, ""herb"": 15, ""tool time"": 21, ""water"": 25, ""wood"": 12}",65,249,True,True
65,4,ssrm:v59:audit:snapshot:d004:t00065,fiber loft,Tovan,"{""debt"": 0.181, ""memory"": ""tovan:care_favor:audit:d004:s11"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.2972}","{""care"": 19, ""fiber"": 10, ""herb"": 16, ""tool time"": 22, ""water"": 26, ""wood"": 13}",66,237,True,True
66,4,ssrm:v59:audit:snapshot:d004:t00066,west hearth,Nia,"{""debt"": 0.1477, ""memory"": ""nia:tool_loan:audit:d004:s12"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.3184}","{""care"": 20, ""fiber"": 11, ""herb"": 17, ""tool time"": 23, ""water"": 27, ""wood"": 14}",67,233,True,True
67,4,ssrm:v59:audit:snapshot:d004:t00067,river gate,Ari,"{""debt"": 0.1286, ""memory"": ""ari:repair_promise:audit:d004:s13"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.5506}","{""care"": 21, ""fiber"": 12, ""herb"": 18, ""tool time"": 24, ""water"": 28, ""wood"": 15}",68,248,True,True
68,4,ssrm:v59:audit:snapshot:d004:t00068,arrival court,Fay,"{""debt"": 0.1377, ""memory"": ""fay:care_favor:audit:d004:s14"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.6889}","{""care"": 22, ""fiber"": 13, ""herb"": 19, ""tool time"": 25, ""water"": 10, ""wood"": 16}",69,239,True,True
69,4,ssrm:v59:audit:snapshot:d004:t00069,tool alcove,Milo,"{""debt"": 0.133, ""memory"": ""milo:tool_loan:audit:d004:s15"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.6627}","{""care"": 23, ""fiber"": 14, ""herb"": 20, ""tool time"": 26, ""water"": 11, ""wood"": 17}",70,239,True,True
70,4,ssrm:v59:audit:snapshot:d004:t00070,rain court,Sera,"{""debt"": 0.1146, ""memory"": ""sera:repair_promise:audit:d004:s16"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.4972}","{""care"": 24, ""fiber"": 15, ""herb"": 21, ""tool time"": 27, ""water"": 12, ""wood"": 18}",71,248,True,True
71,4,ssrm:v59:audit:snapshot:d004:t00071,fiber loft,Tovan,"{""debt"": 0.1525, ""memory"": ""tovan:care_favor:audit:d004:s17"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.3077}","{""care"": 25, ""fiber"": 16, ""herb"": 22, ""tool time"": 28, ""water"": 13, ""wood"": 19}",72,238,True,True
72,5,ssrm:v59:audit:snapshot:d005:t00072,river gate,Nia,"{""debt"": 0.1486, ""memory"": ""nia:tool_loan:audit:d005:s00"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.3032}","{""care"": 26, ""fiber"": 17, ""herb"": 23, ""tool time"": 10, ""water"": 14, ""wood"": 20}",73,243,True,True
73,5,ssrm:v59:audit:snapshot:d005:t00073,arrival court,Ari,"{""debt"": 0.117, ""memory"": ""ari:repair_promise:audit:d005:s01"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.5462}","{""care"": 27, ""fiber"": 18, ""herb"": 24, ""tool time"": 11, ""water"": 15, ""wood"": 21}",74,247,True,True
74,5,ssrm:v59:audit:snapshot:d005:t00074,tool alcove,Fay,"{""debt"": 0.0997, ""memory"": ""fay:care_favor:audit:d005:s02"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.6935}","{""care"": 28, ""fiber"": 19, ""herb"": 25, ""tool time"": 12, ""water"": 16, ""wood"": 22}",75,239,True,True
75,5,ssrm:v59:audit:snapshot:d005:t00075,rain court,Milo,"{""debt"": 0.1106, ""memory"": ""milo:tool_loan:audit:d005:s03"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.6394}","{""care"": 10, ""fiber"": 20, ""herb"": 26, ""tool time"": 13, ""water"": 17, ""wood"": 23}",76,240,True,True
76,5,ssrm:v59:audit:snapshot:d005:t00076,fiber loft,Sera,"{""debt"": 0.1078, ""memory"": ""sera:repair_promise:audit:d005:s04"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.4686}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",77,248,True,True
