tick,day,active_panel,control_group,keyboard_hint,mobile_layout_supported,visible_feedback_panel,debug_toggle_available,replay_export_available,no_private_workspace_leak
130,8,schedule,conversation,E,True,True,True,True,True
131,8,debt,debt,WASD,True,True,True,True,True
132,8,memory,save,Tab,True,True,True,True,True
133,8,consequence,movement,Enter,True,True,True,True,True
134,8,audit,schedule,R,True,True,True,True,True
135,8,replay,offscreen,S,True,True,True,True,True
136,8,scene,audit,A,True,True,True,True,True
137,8,resident,conversation,E,True,True,True,True,True
138,8,schedule,debt,WASD,True,True,True,True,True
139,8,debt,save,Tab,True,True,True,True,True
140,8,memory,movement,Enter,True,True,True,True,True
141,8,consequence,schedule,R,True,True,True,True,True
142,8,audit,offscreen,S,True,True,True,True,True
143,8,replay,audit,A,True,True,True,True,True
144,9,resident,offscreen,E,True,True,True,True,True
145,9,schedule,audit,WASD,True,True,True,True,True
146,9,debt,conversation,Tab,True,True,True,True,True
147,9,memory,debt,Enter,True,True,True,True,True
148,9,consequence,save,R,True,True,True,True,True
149,9,audit,movement,S,True,True,True,True,True
150,9,replay,schedule,A,True,True,True,True,True
151,9,scene,offscreen,E,True,True,True,True,True
152,9,resident,audit,WASD,True,True,True,True,True
153,9,schedule,conversation,Tab,True,True,True,True,True
154,9,debt,debt,Enter,True,True,True,True,True
155,9,memory,save,R,True,True,True,True,True
156,9,consequence,movement,S,True,True,True,True,True
157,9,audit,schedule,A,True,True,True,True,True
158,9,replay,offscreen,E,True,True,True,True,True
159,9,scene,audit,WASD,True,True,True,True,True
160,9,resident,conversation,Tab,True,True,True,True,True
161,9,schedule,debt,Enter,True,True,True,True,True
162,10,memory,conversation,R,True,True,True,True,True
163,10,consequence,debt,S,True,True,True,True,True
164,10,audit,save,A,True,True,True,True,True
165,10,replay,movement,E,True,True,True,True,True
166,10,scene,schedule,WASD,True,True,True,True,True
167,10,resident,offscreen,Tab,True,True,True,True,True
168,10,schedule,audit,Enter,True,True,True,True,True
169,10,debt,conversation,R,True,True,True,True,True
170,10,memory,debt,S,True,True,True,True,True
171,10,consequence,save,A,True,True,True,True,True
172,10,audit,movement,E,True,True,True,True,True
173,10,replay,schedule,WASD,True,True,True,True,True
174,10,scene,offscreen,Tab,True,True,True,True,True
175,10,resident,audit,Enter,True,True,True,True,True
176,10,schedule,conversation,R,True,True,True,True,True
177,10,debt,debt,S,True,True,True,True,True
178,10,memory,save,A,True,True,True,True,True
179,10,consequence,movement,E,True,True,True,True,True
180,11,replay,save,WASD,True,True,True,True,True
181,11,scene,movement,Tab,True,True,True,True,True
182,11,resident,schedule,Enter,True,True,True,True,True
183,11,schedule,offscreen,R,True,True,True,True,True
184,11,debt,audit,S,True,True,True,True,True
185,11,memory,conversation,A,True,True,True,True,True
186,11,consequence,debt,E,True,True,True,True,True
187,11,audit,save,WASD,True,True,True,True,True
188,11,replay,movement,Tab,True,True,True,True,True
189,11,scene,schedule,Enter,True,True,True,True,True
190,11,resident,offscreen,R,True,True,True,True,True
191,11,schedule,audit,S,True,True,True,True,True
192,11,debt,conversation,A,True,True,True,True,True
193,11,memory,debt,E,True,True,True,True,True
194,11,consequence,save,WASD,True,True,True,True,True
195,11,audit,movement,Tab,True,True,True,True,True
196,11,replay,schedule,Enter,True,True,True,True,True
197,11,scene,offscreen,R,True,True,True,True,True
198,12,schedule,schedule,S,True,True,True,True,True
199,12,debt,offscreen,A,True,True,True,True,True
200,12,memory,audit,E,True,True,True,True,True
201,12,consequence,conversation,WASD,True,True,True,True,True
202,12,audit,debt,Tab,True,True,True,True,True
203,12,replay,save,Enter,True,True,True,True,True
204,12,scene,movement,R,True,True,True,True,True
205,12,resident,schedule,S,True,True,True,True,True
206,12,schedule,offscreen,A,True,True,True,True,True
207,12,debt,audit,E,True,True,True,True,True
208,12,memory,conversation,WASD,True,True,True,True,True
209,12,consequence,debt,Tab,True,True,True,True,True
210,12,audit,save,Enter,True,True,True,True,True
211,12,replay,movement,R,True,True,True,True,True
212,12,scene,schedule,S,True,True,True,True,True
213,12,resident,offscreen,A,True,True,True,True,True
214,12,schedule,audit,E,True,True,True,True,True
215,12,debt,conversation,WASD,True,True,True,True,True
216,13,consequence,audit,Tab,True,True,True,True,True
217,13,audit,conversation,Enter,True,True,True,True,True
218,13,replay,debt,R,True,True,True,True,True
219,13,scene,save,S,True,True,True,True,True
220,13,resident,movement,A,True,True,True,True,True
221,13,schedule,schedule,E,True,True,True,True,True
222,13,debt,offscreen,WASD,True,True,True,True,True
223,13,memory,audit,Tab,True,True,True,True,True
224,13,consequence,conversation,Enter,True,True,True,True,True
225,13,audit,debt,R,True,True,True,True,True
226,13,replay,save,S,True,True,True,True,True
227,13,scene,movement,A,True,True,True,True,True
228,13,resident,schedule,E,True,True,True,True,True
229,13,schedule,offscreen,WASD,True,True,True,True,True
230,13,debt,audit,Tab,True,True,True,True,True
231,13,memory,conversation,Enter,True,True,True,True,True
232,13,consequence,debt,R,True,True,True,True,True
233,13,audit,save,S,True,True,True,True,True
234,14,scene,debt,A,True,True,True,True,True
235,14,resident,save,E,True,True,True,True,True
236,14,schedule,movement,WASD,True,True,True,True,True
237,14,debt,schedule,Tab,True,True,True,True,True
238,14,memory,offscreen,Enter,True,True,True,True,True
239,14,consequence,audit,R,True,True,True,True,True
240,14,audit,conversation,S,True,True,True,True,True
241,14,replay,debt,A,True,True,True,True,True
242,14,scene,save,E,True,True,True,True,True
243,14,resident,movement,WASD,True,True,True,True,True
244,14,schedule,schedule,Tab,True,True,True,True,True
245,14,debt,offscreen,Enter,True,True,True,True,True
246,14,memory,audit,R,True,True,True,True,True
247,14,consequence,conversation,S,True,True,True,True,True
248,14,audit,debt,A,True,True,True,True,True
249,14,replay,save,E,True,True,True,True,True
250,14,scene,movement,WASD,True,True,True,True,True
251,14,resident,schedule,Tab,True,True,True,True,True
252,15,debt,movement,Enter,True,True,True,True,True
253,15,memory,schedule,R,True,True,True,True,True
254,15,consequence,offscreen,S,True,True,True,True,True
255,15,audit,audit,A,True,True,True,True,True
256,15,replay,conversation,E,True,True,True,True,True
257,15,scene,debt,WASD,True,True,True,True,True
258,15,resident,save,Tab,True,True,True,True,True
259,15,schedule,movement,Enter,True,True,True,True,True
260,15,debt,schedule,R,True,True,True,True,True
261,15,memory,offscreen,S,True,True,True,True,True
262,15,consequence,audit,A,True,True,True,True,True
263,15,audit,conversation,E,True,True,True,True,True
264,15,replay,debt,WASD,True,True,True,True,True
265,15,scene,save,Tab,True,True,True,True,True
266,15,resident,movement,Enter,True,True,True,True,True
267,15,schedule,schedule,R,True,True,True,True,True
268,15,debt,offscreen,S,True,True,True,True,True
269,15,memory,audit,A,True,True,True,True,True
270,16,audit,offscreen,E,True,True,True,True,True
271,16,replay,audit,WASD,True,True,True,True,True
272,16,scene,conversation,Tab,True,True,True,True,True
273,16,resident,debt,Enter,True,True,True,True,True
274,16,schedule,save,R,True,True,True,True,True
275,16,debt,movement,S,True,True,True,True,True
276,16,memory,schedule,A,True,True,True,True,True
277,16,consequence,offscreen,E,True,True,True,True,True
278,16,audit,audit,WASD,True,True,True,True,True
279,16,replay,conversation,Tab,True,True,True,True,True
280,16,scene,debt,Enter,True,True,True,True,True
281,16,resident,save,R,True,True,True,True,True
282,16,schedule,movement,S,True,True,True,True,True
283,16,debt,schedule,A,True,True,True,True,True
284,16,memory,offscreen,E,True,True,True,True,True
285,16,consequence,audit,WASD,True,True,True,True,True
286,16,audit,conversation,Tab,True,True,True,True,True
287,16,replay,debt,Enter,True,True,True,True,True
288,17,resident,conversation,R,True,True,True,True,True
289,17,schedule,debt,S,True,True,True,True,True
290,17,debt,save,A,True,True,True,True,True
291,17,memory,movement,E,True,True,True,True,True
292,17,consequence,schedule,WASD,True,True,True,True,True
293,17,audit,offscreen,Tab,True,True,True,True,True
294,17,replay,audit,Enter,True,True,True,True,True
295,17,scene,conversation,R,True,True,True,True,True
296,17,resident,debt,S,True,True,True,True,True
297,17,schedule,save,A,True,True,True,True,True
298,17,debt,movement,E,True,True,True,True,True
299,17,memory,schedule,WASD,True,True,True,True,True
300,17,consequence,offscreen,Tab,True,True,True,True,True
301,17,audit,audit,Enter,True,True,True,True,True
302,17,replay,conversation,R,True,True,True,True,True
303,17,scene,debt,S,True,True,True,True,True
304,17,resident,save,A,True,True,True,True,True
305,17,schedule,movement,E,True,True,True,True,True
306,18,memory,save,WASD,True,True,True,True,True
307,18,consequence,movement,Tab,True,True,True,True,True
308,18,audit,schedule,Enter,True,True,True,True,True
309,18,replay,offscreen,R,True,True,True,True,True
310,18,scene,audit,S,True,True,True,True,True
311,18,resident,conversation,A,True,True,True,True,True
312,18,schedule,debt,E,True,True,True,True,True
313,18,debt,save,WASD,True,True,True,True,True
314,18,memory,movement,Tab,True,True,True,True,True
315,18,consequence,schedule,Enter,True,True,True,True,True
316,18,audit,offscreen,R,True,True,True,True,True
317,18,replay,audit,S,True,True,True,True,True
318,18,scene,conversation,A,True,True,True,True,True
319,18,resident,debt,E,True,True,True,True,True
320,18,schedule,save,WASD,True,True,True,True,True
321,18,debt,movement,Tab,True,True,True,True,True
322,18,memory,schedule,Enter,True,True,True,True,True
323,18,consequence,offscreen,R,True,True,True,True,True
324,19,replay,schedule,S,True,True,True,True,True
325,19,scene,offscreen,A,True,True,True,True,True
326,19,resident,audit,E,True,True,True,True,True
327,19,schedule,conversation,WASD,True,True,True,True,True
328,19,debt,debt,Tab,True,True,True,True,True
329,19,memory,save,Enter,True,True,True,True,True
330,19,consequence,movement,R,True,True,True,True,True
331,19,audit,schedule,S,True,True,True,True,True
332,19,replay,offscreen,A,True,True,True,True,True
333,19,scene,audit,E,True,True,True,True,True
334,19,resident,conversation,WASD,True,True,True,True,True
335,19,schedule,debt,Tab,True,True,True,True,True
336,19,debt,save,Enter,True,True,True,True,True
337,19,memory,movement,R,True,True,True,True,True
338,19,consequence,schedule,S,True,True,True,True,True
339,19,audit,offscreen,A,True,True,True,True,True
340,19,replay,audit,E,True,True,True,True,True
341,19,scene,conversation,WASD,True,True,True,True,True
342,20,schedule,audit,Tab,True,True,True,True,True
343,20,debt,conversation,Enter,True,True,True,True,True
344,20,memory,debt,R,True,True,True,True,True
345,20,consequence,save,S,True,True,True,True,True
346,20,audit,movement,A,True,True,True,True,True
347,20,replay,schedule,E,True,True,True,True,True
348,20,scene,offscreen,WASD,True,True,True,True,True
349,20,resident,audit,Tab,True,True,True,True,True
350,20,schedule,conversation,Enter,True,True,True,True,True
351,20,debt,debt,R,True,True,True,True,True
352,20,memory,save,S,True,True,True,True,True
353,20,consequence,movement,A,True,True,True,True,True
354,20,audit,schedule,E,True,True,True,True,True
355,20,replay,offscreen,WASD,True,True,True,True,True
356,20,scene,audit,Tab,True,True,True,True,True
357,20,resident,conversation,Enter,True,True,True,True,True
358,20,schedule,debt,R,True,True,True,True,True
359,20,debt,save,S,True,True,True,True,True
360,21,consequence,debt,A,True,True,True,True,True
361,21,audit,save,E,True,True,True,True,True
362,21,replay,movement,WASD,True,True,True,True,True
363,21,scene,schedule,Tab,True,True,True,True,True
364,21,resident,offscreen,Enter,True,True,True,True,True
365,21,schedule,audit,R,True,True,True,True,True
366,21,debt,conversation,S,True,True,True,True,True
367,21,memory,debt,A,True,True,True,True,True
368,21,consequence,save,E,True,True,True,True,True
369,21,audit,movement,WASD,True,True,True,True,True
370,21,replay,schedule,Tab,True,True,True,True,True
371,21,scene,offscreen,Enter,True,True,True,True,True
372,21,resident,audit,R,True,True,True,True,True
373,21,schedule,conversation,S,True,True,True,True,True
374,21,debt,debt,A,True,True,True,True,True
375,21,memory,save,E,True,True,True,True,True
376,21,consequence,movement,WASD,True,True,True,True,True
377,21,audit,schedule,Tab,True,True,True,True,True
378,22,scene,movement,Enter,True,True,True,True,True
379,22,resident,schedule,R,True,True,True,True,True
380,22,schedule,offscreen,S,True,True,True,True,True
381,22,debt,audit,A,True,True,True,True,True
382,22,memory,conversation,E,True,True,True,True,True
383,22,consequence,debt,WASD,True,True,True,True,True
384,22,audit,save,Tab,True,True,True,True,True
385,22,replay,movement,Enter,True,True,True,True,True
386,22,scene,schedule,R,True,True,True,True,True
387,22,resident,offscreen,S,True,True,True,True,True
388,22,schedule,audit,A,True,True,True,True,True
389,22,debt,conversation,E,True,True,True,True,True
390,22,memory,debt,WASD,True,True,True,True,True
391,22,consequence,save,Tab,True,True,True,True,True
392,22,audit,movement,Enter,True,True,True,True,True
393,22,replay,schedule,R,True,True,True,True,True
394,22,scene,offscreen,S,True,True,True,True,True
395,22,resident,audit,A,True,True,True,True,True
396,23,debt,offscreen,E,True,True,True,True,True
397,23,memory,audit,WASD,True,True,True,True,True
398,23,consequence,conversation,Tab,True,True,True,True,True
399,23,audit,debt,Enter,True,True,True,True,True
400,23,replay,save,R,True,True,True,True,True
401,23,scene,movement,S,True,True,True,True,True
402,23,resident,schedule,A,True,True,True,True,True
403,23,schedule,offscreen,E,True,True,True,True,True
404,23,debt,audit,WASD,True,True,True,True,True
405,23,memory,conversation,Tab,True,True,True,True,True
406,23,consequence,debt,Enter,True,True,True,True,True
407,23,audit,save,R,True,True,True,True,True
408,23,replay,movement,S,True,True,True,True,True
409,23,scene,schedule,A,True,True,True,True,True
410,23,resident,offscreen,E,True,True,True,True,True
411,23,schedule,audit,WASD,True,True,True,True,True
412,23,debt,conversation,Tab,True,True,True,True,True
413,23,memory,debt,Enter,True,True,True,True,True
414,24,audit,conversation,R,True,True,True,True,True
415,24,replay,debt,S,True,True,True,True,True
416,24,scene,save,A,True,True,True,True,True
417,24,resident,movement,E,True,True,True,True,True
418,24,schedule,schedule,WASD,True,True,True,True,True
419,24,debt,offscreen,Tab,True,True,True,True,True
420,24,memory,audit,Enter,True,True,True,True,True
421,24,consequence,conversation,R,True,True,True,True,True
422,24,audit,debt,S,True,True,True,True,True
423,24,replay,save,A,True,True,True,True,True
424,24,scene,movement,E,True,True,True,True,True
425,24,resident,schedule,WASD,True,True,True,True,True
426,24,schedule,offscreen,Tab,True,True,True,True,True
427,24,debt,audit,Enter,True,True,True,True,True
428,24,memory,conversation,R,True,True,True,True,True
429,24,consequence,debt,S,True,True,True,True,True
430,24,audit,save,A,True,True,True,True,True
431,24,replay,movement,E,True,True,True,True,True
432,25,resident,save,WASD,True,True,True,True,True
433,25,schedule,movement,Tab,True,True,True,True,True
434,25,debt,schedule,Enter,True,True,True,True,True
435,25,memory,offscreen,R,True,True,True,True,True
436,25,consequence,audit,S,True,True,True,True,True
437,25,audit,conversation,A,True,True,True,True,True
438,25,replay,debt,E,True,True,True,True,True
439,25,scene,save,WASD,True,True,True,True,True
440,25,resident,movement,Tab,True,True,True,True,True
441,25,schedule,schedule,Enter,True,True,True,True,True
442,25,debt,offscreen,R,True,True,True,True,True
443,25,memory,audit,S,True,True,True,True,True
444,25,consequence,conversation,A,True,True,True,True,True
445,25,audit,debt,E,True,True,True,True,True
446,25,replay,save,WASD,True,True,True,True,True
447,25,scene,movement,Tab,True,True,True,True,True
448,25,resident,schedule,Enter,True,True,True,True,True
449,25,schedule,offscreen,R,True,True,True,True,True
450,26,memory,schedule,S,True,True,True,True,True
451,26,consequence,offscreen,A,True,True,True,True,True
452,26,audit,audit,E,True,True,True,True,True
453,26,replay,conversation,WASD,True,True,True,True,True
454,26,scene,debt,Tab,True,True,True,True,True
455,26,resident,save,Enter,True,True,True,True,True
456,26,schedule,movement,R,True,True,True,True,True
457,26,debt,schedule,S,True,True,True,True,True
458,26,memory,offscreen,A,True,True,True,True,True
459,26,consequence,audit,E,True,True,True,True,True
460,26,audit,conversation,WASD,True,True,True,True,True
461,26,replay,debt,Tab,True,True,True,True,True
462,26,scene,save,Enter,True,True,True,True,True
463,26,resident,movement,R,True,True,True,True,True
464,26,schedule,schedule,S,True,True,True,True,True
465,26,debt,offscreen,A,True,True,True,True,True
466,26,memory,audit,E,True,True,True,True,True
467,26,consequence,conversation,WASD,True,True,True,True,True
468,27,replay,audit,Tab,True,True,True,True,True
469,27,scene,conversation,Enter,True,True,True,True,True
470,27,resident,debt,R,True,True,True,True,True
471,27,schedule,save,S,True,True,True,True,True
472,27,debt,movement,A,True,True,True,True,True
473,27,memory,schedule,E,True,True,True,True,True
474,27,consequence,offscreen,WASD,True,True,True,True,True
475,27,audit,audit,Tab,True,True,True,True,True
476,27,replay,conversation,Enter,True,True,True,True,True
477,27,scene,debt,R,True,True,True,True,True
478,27,resident,save,S,True,True,True,True,True
479,27,schedule,movement,A,True,True,True,True,True
480,27,debt,schedule,E,True,True,True,True,True
481,27,memory,offscreen,WASD,True,True,True,True,True
482,27,consequence,audit,Tab,True,True,True,True,True
483,27,audit,conversation,Enter,True,True,True,True,True
484,27,replay,debt,R,True,True,True,True,True
485,27,scene,save,S,True,True,True,True,True
486,28,schedule,debt,A,True,True,True,True,True
487,28,debt,save,E,True,True,True,True,True
488,28,memory,movement,WASD,True,True,True,True,True
489,28,consequence,schedule,Tab,True,True,True,True,True
490,28,audit,offscreen,Enter,True,True,True,True,True
491,28,replay,audit,R,True,True,True,True,True
492,28,scene,conversation,S,True,True,True,True,True
493,28,resident,debt,A,True,True,True,True,True
494,28,schedule,save,E,True,True,True,True,True
495,28,debt,movement,WASD,True,True,True,True,True
496,28,memory,schedule,Tab,True,True,True,True,True
497,28,consequence,offscreen,Enter,True,True,True,True,True
498,28,audit,audit,R,True,True,True,True,True
499,28,replay,conversation,S,True,True,True,True,True
500,28,scene,debt,A,True,True,True,True,True
501,28,resident,save,E,True,True,True,True,True
502,28,schedule,movement,WASD,True,True,True,True,True
503,28,debt,schedule,Tab,True,True,True,True,True
504,29,consequence,movement,Enter,True,True,True,True,True
505,29,audit,schedule,R,True,True,True,True,True
506,29,replay,offscreen,S,True,True,True,True,True
507,29,scene,audit,A,True,True,True,True,True
508,29,resident,conversation,E,True,True,True,True,True
509,29,schedule,debt,WASD,True,True,True,True,True
510,29,debt,save,Tab,True,True,True,True,True
511,29,memory,movement,Enter,True,True,True,True,True
512,29,consequence,schedule,R,True,True,True,True,True
513,29,audit,offscreen,S,True,True,True,True,True
514,29,replay,audit,A,True,True,True,True,True
515,29,scene,conversation,E,True,True,True,True,True
516,29,resident,debt,WASD,True,True,True,True,True
517,29,schedule,save,Tab,True,True,True,True,True
518,29,debt,movement,Enter,True,True,True,True,True
519,29,memory,schedule,R,True,True,True,True,True
520,29,consequence,offscreen,S,True,True,True,True,True
521,29,audit,audit,A,True,True,True,True,True
522,30,scene,offscreen,E,True,True,True,True,True
523,30,resident,audit,WASD,True,True,True,True,True
524,30,schedule,conversation,Tab,True,True,True,True,True
525,30,debt,debt,Enter,True,True,True,True,True
526,30,memory,save,R,True,True,True,True,True
527,30,consequence,movement,S,True,True,True,True,True
528,30,audit,schedule,A,True,True,True,True,True
529,30,replay,offscreen,E,True,True,True,True,True
530,30,scene,audit,WASD,True,True,True,True,True
531,30,resident,conversation,Tab,True,True,True,True,True
532,30,schedule,debt,Enter,True,True,True,True,True
533,30,debt,save,R,True,True,True,True,True
534,30,memory,movement,S,True,True,True,True,True
535,30,consequence,schedule,A,True,True,True,True,True
536,30,audit,offscreen,E,True,True,True,True,True
537,30,replay,audit,WASD,True,True,True,True,True
538,30,scene,conversation,Tab,True,True,True,True,True
539,30,resident,debt,Enter,True,True,True,True,True
540,31,debt,conversation,R,True,True,True,True,True
541,31,memory,debt,S,True,True,True,True,True
542,31,consequence,save,A,True,True,True,True,True
543,31,audit,movement,E,True,True,True,True,True
544,31,replay,schedule,WASD,True,True,True,True,True
545,31,scene,offscreen,Tab,True,True,True,True,True
546,31,resident,audit,Enter,True,True,True,True,True
547,31,schedule,conversation,R,True,True,True,True,True
548,31,debt,debt,S,True,True,True,True,True
549,31,memory,save,A,True,True,True,True,True
550,31,consequence,movement,E,True,True,True,True,True
551,31,audit,schedule,WASD,True,True,True,True,True
552,31,replay,offscreen,Tab,True,True,True,True,True
553,31,scene,audit,Enter,True,True,True,True,True
554,31,resident,conversation,R,True,True,True,True,True
555,31,schedule,debt,S,True,True,True,True,True
556,31,debt,save,A,True,True,True,True,True
557,31,memory,movement,E,True,True,True,True,True
558,32,audit,save,WASD,True,True,True,True,True
559,32,replay,movement,Tab,True,True,True,True,True
560,32,scene,schedule,Enter,True,True,True,True,True
561,32,resident,offscreen,R,True,True,True,True,True
562,32,schedule,audit,S,True,True,True,True,True
563,32,debt,conversation,A,True,True,True,True,True
564,32,memory,debt,E,True,True,True,True,True
565,32,consequence,save,WASD,True,True,True,True,True
566,32,audit,movement,Tab,True,True,True,True,True
567,32,replay,schedule,Enter,True,True,True,True,True
568,32,scene,offscreen,R,True,True,True,True,True
569,32,resident,audit,S,True,True,True,True,True
570,32,schedule,conversation,A,True,True,True,True,True
571,32,debt,debt,E,True,True,True,True,True
572,32,memory,save,WASD,True,True,True,True,True
573,32,consequence,movement,Tab,True,True,True,True,True
574,32,audit,schedule,Enter,True,True,True,True,True
575,32,replay,offscreen,R,True,True,True,True,True
576,33,resident,schedule,S,True,True,True,True,True
577,33,schedule,offscreen,A,True,True,True,True,True
578,33,debt,audit,E,True,True,True,True,True
579,33,memory,conversation,WASD,True,True,True,True,True
580,33,consequence,debt,Tab,True,True,True,True,True
581,33,audit,save,Enter,True,True,True,True,True
582,33,replay,movement,R,True,True,True,True,True
583,33,scene,schedule,S,True,True,True,True,True
584,33,resident,offscreen,A,True,True,True,True,True
585,33,schedule,audit,E,True,True,True,True,True
586,33,debt,conversation,WASD,True,True,True,True,True
587,33,memory,debt,Tab,True,True,True,True,True
