rehearsal_id,day,lineage,agent,rehearsal_seed_memory,rehearsal_theme,updated_plan,relationship_memory_touched,schedule_adjustment,private_workspace_sealed,public_trace,rehearsal_specificity
37,7,Hearthline,Sova,Sova remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
38,7,Routeline,Keth,Keth remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
39,7,Marketline,Melo,Melo remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
40,7,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
41,7,Orchardline,Ori,Ori remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
42,7,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
43,8,Hearthline,Sova,Sova remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
44,8,Routeline,Keth,Keth remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
45,8,Marketline,Melo,Melo remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
46,8,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
47,8,Orchardline,Ori,Ori remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
48,8,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
49,9,Hearthline,Sova,Sova remembers avatar absence age 1 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8786
50,9,Routeline,Keth,Keth remembers avatar absence age 1 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8754
51,9,Marketline,Melo,Melo remembers avatar absence age 1 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8698
52,9,Ledgerline,Nari,Nari remembers avatar absence age 1 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8842
53,9,Orchardline,Ori,Ori remembers avatar absence age 1 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.869
54,9,Rainline,Vonn,Vonn remembers avatar absence age 1 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8802
55,10,Hearthline,Sova,Sova remembers avatar absence age 2 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8556
56,10,Routeline,Keth,Keth remembers avatar absence age 2 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8524
57,10,Marketline,Melo,Melo remembers avatar absence age 2 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8468
58,10,Ledgerline,Nari,Nari remembers avatar absence age 2 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8612
59,10,Orchardline,Ori,Ori remembers avatar absence age 2 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.846
60,10,Rainline,Vonn,Vonn remembers avatar absence age 2 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8572
61,11,Hearthline,Sova,Sova remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
62,11,Routeline,Keth,Keth remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
63,11,Marketline,Melo,Melo remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
64,11,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
65,11,Orchardline,Ori,Ori remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
66,11,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
67,12,Hearthline,Sova,Sova remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
68,12,Routeline,Keth,Keth remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
69,12,Marketline,Melo,Melo remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
70,12,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
71,12,Orchardline,Ori,Ori remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
72,12,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust weather bells work around rest before work.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
73,13,Hearthline,Sova,Sova remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust hearth ceramics work around route safety.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
74,13,Routeline,Keth,Keth remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust stone bridge joints work around public token teaching.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
75,13,Marketline,Melo,Melo remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust measure weights work around weather bell caution.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
76,13,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust seed ledgers work around market fairness.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
77,13,Orchardline,Ori,Ori remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust water terraces work around rest before work.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
78,13,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust weather bells work around repair apology.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
79,14,Hearthline,Sova,Sova remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust hearth ceramics work around public token teaching.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
80,14,Routeline,Keth,Keth remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust stone bridge joints work around weather bell caution.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
81,14,Marketline,Melo,Melo remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust measure weights work around market fairness.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
82,14,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust seed ledgers work around rest before work.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
83,14,Orchardline,Ori,Ori remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust water terraces work around repair apology.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
84,14,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust weather bells work around route safety.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
85,15,Hearthline,Sova,Sova remembers avatar absence age 0 and prior weather bell caution.,weather bell caution,next wake: adjust hearth ceramics work around weather bell caution.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.9016
86,15,Routeline,Keth,Keth remembers avatar absence age 0 and prior market fairness.,market fairness,next wake: adjust stone bridge joints work around market fairness.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8984
87,15,Marketline,Melo,Melo remembers avatar absence age 0 and prior rest before work.,rest before work,next wake: adjust measure weights work around rest before work.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8928
88,15,Ledgerline,Nari,Nari remembers avatar absence age 0 and prior repair apology.,repair apology,next wake: adjust seed ledgers work around repair apology.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.9072
89,15,Orchardline,Ori,Ori remembers avatar absence age 0 and prior route safety.,route safety,next wake: adjust water terraces work around route safety.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.892
90,15,Rainline,Vonn,Vonn remembers avatar absence age 0 and prior public token teaching.,public token teaching,next wake: adjust weather bells work around public token teaching.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.9032
91,16,Hearthline,Sova,Sova remembers avatar absence age 1 and prior market fairness.,market fairness,next wake: adjust hearth ceramics work around market fairness.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8786
92,16,Routeline,Keth,Keth remembers avatar absence age 1 and prior rest before work.,rest before work,next wake: adjust stone bridge joints work around rest before work.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8754
93,16,Marketline,Melo,Melo remembers avatar absence age 1 and prior repair apology.,repair apology,next wake: adjust measure weights work around repair apology.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8698
94,16,Ledgerline,Nari,Nari remembers avatar absence age 1 and prior route safety.,route safety,next wake: adjust seed ledgers work around route safety.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8842
95,16,Orchardline,Ori,Ori remembers avatar absence age 1 and prior public token teaching.,public token teaching,next wake: adjust water terraces work around public token teaching.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.869
96,16,Rainline,Vonn,Vonn remembers avatar absence age 1 and prior weather bell caution.,weather bell caution,next wake: adjust weather bells work around weather bell caution.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8802
97,17,Hearthline,Sova,Sova remembers avatar absence age 2 and prior rest before work.,rest before work,next wake: adjust hearth ceramics work around rest before work.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8556
98,17,Routeline,Keth,Keth remembers avatar absence age 2 and prior repair apology.,repair apology,next wake: adjust stone bridge joints work around repair apology.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8524
99,17,Marketline,Melo,Melo remembers avatar absence age 2 and prior route safety.,route safety,next wake: adjust measure weights work around route safety.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8468
100,17,Ledgerline,Nari,Nari remembers avatar absence age 2 and prior public token teaching.,public token teaching,next wake: adjust seed ledgers work around public token teaching.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8612
101,17,Orchardline,Ori,Ori remembers avatar absence age 2 and prior weather bell caution.,weather bell caution,next wake: adjust water terraces work around weather bell caution.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.846
102,17,Rainline,Vonn,Vonn remembers avatar absence age 2 and prior market fairness.,market fairness,next wake: adjust weather bells work around market fairness.,avatar relationship remains public-summary only while Vonn sleeps,continue normal work with rehearsal note,True,"Vonn rehearsed a public plan, not private workspace content.",0.8572
103,18,Hearthline,Sova,Sova remembers avatar absence age 3 and prior repair apology.,repair apology,next wake: adjust hearth ceramics work around repair apology.,avatar relationship remains public-summary only while Sova sleeps,continue normal work with rehearsal note,True,"Sova rehearsed a public plan, not private workspace content.",0.8326
104,18,Routeline,Keth,Keth remembers avatar absence age 3 and prior route safety.,route safety,next wake: adjust stone bridge joints work around route safety.,avatar relationship remains public-summary only while Keth sleeps,continue normal work with rehearsal note,True,"Keth rehearsed a public plan, not private workspace content.",0.8294
105,18,Marketline,Melo,Melo remembers avatar absence age 3 and prior public token teaching.,public token teaching,next wake: adjust measure weights work around public token teaching.,avatar relationship remains public-summary only while Melo sleeps,continue normal work with rehearsal note,True,"Melo rehearsed a public plan, not private workspace content.",0.8238
106,18,Ledgerline,Nari,Nari remembers avatar absence age 3 and prior weather bell caution.,weather bell caution,next wake: adjust seed ledgers work around weather bell caution.,avatar relationship remains public-summary only while Nari sleeps,continue normal work with rehearsal note,True,"Nari rehearsed a public plan, not private workspace content.",0.8382
107,18,Orchardline,Ori,Ori remembers avatar absence age 3 and prior market fairness.,market fairness,next wake: adjust water terraces work around market fairness.,avatar relationship remains public-summary only while Ori sleeps,continue normal work with rehearsal note,True,"Ori rehearsed a public plan, not private workspace content.",0.823
