tick_id,day,debtor,infrastructure_id,owed_work,debt_before,debt_delta,debt_after,settled,visible_to_household,repair_option
78,5,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
79,5,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.0,0.15,False,True,"schedule repair, borrow tool, exchange stock"
80,5,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.085458,0.0,0.085458,False,True,"schedule repair, borrow tool, exchange stock"
81,5,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.0,0.091862,False,True,"schedule repair, borrow tool, exchange stock"
82,5,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
83,5,Ari,river_mill_bridge,maintain River mill bridge,0.15,0.012,0.162,False,True,"schedule repair, borrow tool, exchange stock"
84,5,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.085458,0.0,0.085458,False,True,"schedule repair, borrow tool, exchange stock"
85,5,Nia,archive_public_kiosk,maintain Archive public kiosk,0.091862,0.012,0.103862,False,True,"schedule repair, borrow tool, exchange stock"
86,5,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
87,5,Ari,river_mill_bridge,maintain River mill bridge,0.162,0.012,0.174,False,True,"schedule repair, borrow tool, exchange stock"
88,5,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.085458,0.0,0.085458,False,True,"schedule repair, borrow tool, exchange stock"
89,5,Nia,archive_public_kiosk,maintain Archive public kiosk,0.103862,0.0,0.103862,False,True,"schedule repair, borrow tool, exchange stock"
90,6,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.0,0.120753,False,True,"schedule repair, borrow tool, exchange stock"
91,6,Ari,river_mill_bridge,maintain River mill bridge,0.174,0.012,0.186,False,True,"schedule repair, borrow tool, exchange stock"
92,6,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.085458,0.0,0.085458,False,True,"schedule repair, borrow tool, exchange stock"
93,6,Nia,archive_public_kiosk,maintain Archive public kiosk,0.103862,0.012,0.115862,False,True,"schedule repair, borrow tool, exchange stock"
94,6,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.120753,0.012,0.132753,False,True,"schedule repair, borrow tool, exchange stock"
95,6,Ari,river_mill_bridge,maintain River mill bridge,0.186,0.012,0.198,False,True,"schedule repair, borrow tool, exchange stock"
96,6,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.085458,0.0,0.085458,False,True,"schedule repair, borrow tool, exchange stock"
97,6,Nia,archive_public_kiosk,maintain Archive public kiosk,0.115862,0.012,0.127862,False,True,"schedule repair, borrow tool, exchange stock"
98,6,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.132753,0.012,0.144753,False,True,"schedule repair, borrow tool, exchange stock"
99,6,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
100,6,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.085458,0.0,0.085458,False,True,"schedule repair, borrow tool, exchange stock"
101,6,Nia,archive_public_kiosk,maintain Archive public kiosk,0.127862,0.012,0.139862,False,True,"schedule repair, borrow tool, exchange stock"
102,6,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.144753,0.012,0.156753,False,True,"schedule repair, borrow tool, exchange stock"
103,6,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
104,6,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.085458,0.012,0.097458,False,True,"schedule repair, borrow tool, exchange stock"
105,6,Nia,archive_public_kiosk,maintain Archive public kiosk,0.139862,0.012,0.151862,False,True,"schedule repair, borrow tool, exchange stock"
106,6,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.156753,0.012,0.168753,False,True,"schedule repair, borrow tool, exchange stock"
107,6,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
108,7,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.097458,0.0,0.097458,False,True,"schedule repair, borrow tool, exchange stock"
109,7,Nia,archive_public_kiosk,maintain Archive public kiosk,0.151862,0.012,0.163862,False,True,"schedule repair, borrow tool, exchange stock"
110,7,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.168753,0.012,0.180753,False,True,"schedule repair, borrow tool, exchange stock"
111,7,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
112,7,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.097458,0.012,0.109458,False,True,"schedule repair, borrow tool, exchange stock"
113,7,Nia,archive_public_kiosk,maintain Archive public kiosk,0.163862,0.012,0.175862,False,True,"schedule repair, borrow tool, exchange stock"
114,7,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.180753,0.012,0.192753,False,True,"schedule repair, borrow tool, exchange stock"
115,7,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
116,7,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.109458,0.012,0.121458,False,True,"schedule repair, borrow tool, exchange stock"
117,7,Nia,archive_public_kiosk,maintain Archive public kiosk,0.175862,0.0,0.175862,False,True,"schedule repair, borrow tool, exchange stock"
118,7,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.192753,0.012,0.204753,False,True,"schedule repair, borrow tool, exchange stock"
119,7,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
120,7,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.121458,0.012,0.133458,False,True,"schedule repair, borrow tool, exchange stock"
121,7,Nia,archive_public_kiosk,maintain Archive public kiosk,0.175862,0.012,0.187862,False,True,"schedule repair, borrow tool, exchange stock"
122,7,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.204753,0.012,0.216753,False,True,"schedule repair, borrow tool, exchange stock"
123,7,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
124,7,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.133458,0.012,0.145458,False,True,"schedule repair, borrow tool, exchange stock"
125,7,Nia,archive_public_kiosk,maintain Archive public kiosk,0.187862,0.0,0.187862,False,True,"schedule repair, borrow tool, exchange stock"
126,8,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
127,8,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.145458,0.012,0.157458,False,True,"schedule repair, borrow tool, exchange stock"
128,8,Nia,archive_public_kiosk,maintain Archive public kiosk,0.187862,0.012,0.199862,False,True,"schedule repair, borrow tool, exchange stock"
129,8,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.216753,0.012,0.228753,False,True,"schedule repair, borrow tool, exchange stock"
130,8,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
131,8,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.157458,0.012,0.169458,False,True,"schedule repair, borrow tool, exchange stock"
132,8,Nia,archive_public_kiosk,maintain Archive public kiosk,0.199862,0.012,0.211862,False,True,"schedule repair, borrow tool, exchange stock"
133,8,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.228753,0.012,0.240753,False,True,"schedule repair, borrow tool, exchange stock"
134,8,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
135,8,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.169458,0.0,0.169458,False,True,"schedule repair, borrow tool, exchange stock"
136,8,Nia,archive_public_kiosk,maintain Archive public kiosk,0.211862,0.012,0.223862,False,True,"schedule repair, borrow tool, exchange stock"
137,8,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.240753,-0.122019,0.118734,True,True,"schedule repair, borrow tool, exchange stock"
138,8,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
139,8,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.169458,0.012,0.181458,False,True,"schedule repair, borrow tool, exchange stock"
140,8,Nia,archive_public_kiosk,maintain Archive public kiosk,0.223862,0.012,0.235862,False,True,"schedule repair, borrow tool, exchange stock"
141,8,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.118734,0.012,0.130734,False,True,"schedule repair, borrow tool, exchange stock"
142,8,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
143,8,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.181458,0.0,0.181458,False,True,"schedule repair, borrow tool, exchange stock"
144,9,Nia,archive_public_kiosk,maintain Archive public kiosk,0.235862,-0.121994,0.113868,True,True,"schedule repair, borrow tool, exchange stock"
145,9,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.130734,0.012,0.142734,False,True,"schedule repair, borrow tool, exchange stock"
146,9,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
147,9,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.181458,0.012,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
148,9,Nia,archive_public_kiosk,maintain Archive public kiosk,0.113868,0.0,0.113868,False,True,"schedule repair, borrow tool, exchange stock"
149,9,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.142734,0.012,0.154734,False,True,"schedule repair, borrow tool, exchange stock"
150,9,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
151,9,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
152,9,Nia,archive_public_kiosk,maintain Archive public kiosk,0.113868,0.012,0.125868,False,True,"schedule repair, borrow tool, exchange stock"
153,9,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.154734,0.0,0.154734,False,True,"schedule repair, borrow tool, exchange stock"
154,9,Ari,river_mill_bridge,maintain River mill bridge,0.198,0.0,0.198,False,True,"schedule repair, borrow tool, exchange stock"
155,9,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
156,9,Nia,archive_public_kiosk,maintain Archive public kiosk,0.125868,0.012,0.137868,False,True,"schedule repair, borrow tool, exchange stock"
157,9,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.154734,0.012,0.166734,False,True,"schedule repair, borrow tool, exchange stock"
158,9,Ari,river_mill_bridge,maintain River mill bridge,0.378,0.0,0.378,False,True,"schedule repair, borrow tool, exchange stock"
159,9,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
160,9,Nia,archive_public_kiosk,maintain Archive public kiosk,0.137868,0.012,0.149868,False,True,"schedule repair, borrow tool, exchange stock"
161,9,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.166734,0.0,0.166734,False,True,"schedule repair, borrow tool, exchange stock"
162,10,Ari,river_mill_bridge,maintain River mill bridge,0.378,-0.129904,0.248096,True,True,"schedule repair, borrow tool, exchange stock"
163,10,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
164,10,Nia,archive_public_kiosk,maintain Archive public kiosk,0.149868,0.012,0.161868,False,True,"schedule repair, borrow tool, exchange stock"
165,10,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.166734,0.012,0.178734,False,True,"schedule repair, borrow tool, exchange stock"
166,10,Ari,river_mill_bridge,maintain River mill bridge,0.248096,0.0,0.248096,False,True,"schedule repair, borrow tool, exchange stock"
167,10,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
168,10,Nia,archive_public_kiosk,maintain Archive public kiosk,0.161868,0.012,0.173868,False,True,"schedule repair, borrow tool, exchange stock"
169,10,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.178734,0.012,0.190734,False,True,"schedule repair, borrow tool, exchange stock"
170,10,Ari,river_mill_bridge,maintain River mill bridge,0.248096,0.0,0.248096,False,True,"schedule repair, borrow tool, exchange stock"
171,10,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
172,10,Nia,archive_public_kiosk,maintain Archive public kiosk,0.173868,0.012,0.185868,False,True,"schedule repair, borrow tool, exchange stock"
173,10,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.190734,0.012,0.202734,False,True,"schedule repair, borrow tool, exchange stock"
174,10,Ari,river_mill_bridge,maintain River mill bridge,0.248096,-0.120608,0.127488,True,True,"schedule repair, borrow tool, exchange stock"
175,10,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
176,10,Nia,archive_public_kiosk,maintain Archive public kiosk,0.185868,0.012,0.197868,False,True,"schedule repair, borrow tool, exchange stock"
177,10,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.202734,0.012,0.214734,False,True,"schedule repair, borrow tool, exchange stock"
178,10,Ari,river_mill_bridge,maintain River mill bridge,0.127488,0.0,0.127488,False,True,"schedule repair, borrow tool, exchange stock"
179,10,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
180,11,Nia,archive_public_kiosk,maintain Archive public kiosk,0.197868,0.0,0.197868,False,True,"schedule repair, borrow tool, exchange stock"
181,11,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.214734,0.012,0.226734,False,True,"schedule repair, borrow tool, exchange stock"
182,11,Ari,river_mill_bridge,maintain River mill bridge,0.127488,0.0,0.127488,False,True,"schedule repair, borrow tool, exchange stock"
183,11,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
184,11,Nia,archive_public_kiosk,maintain Archive public kiosk,0.197868,0.0,0.197868,False,True,"schedule repair, borrow tool, exchange stock"
185,11,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.226734,0.012,0.238734,False,True,"schedule repair, borrow tool, exchange stock"
186,11,Ari,river_mill_bridge,maintain River mill bridge,0.127488,0.0,0.127488,False,True,"schedule repair, borrow tool, exchange stock"
187,11,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
188,11,Nia,archive_public_kiosk,maintain Archive public kiosk,0.197868,0.0,0.197868,False,True,"schedule repair, borrow tool, exchange stock"
189,11,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.238734,-0.123556,0.115177,True,True,"schedule repair, borrow tool, exchange stock"
190,11,Ari,river_mill_bridge,maintain River mill bridge,0.127488,0.0,0.127488,False,True,"schedule repair, borrow tool, exchange stock"
191,11,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
192,11,Nia,archive_public_kiosk,maintain Archive public kiosk,0.197868,0.0,0.197868,False,True,"schedule repair, borrow tool, exchange stock"
193,11,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.115177,0.012,0.127177,False,True,"schedule repair, borrow tool, exchange stock"
194,11,Ari,river_mill_bridge,maintain River mill bridge,0.127488,0.0,0.127488,False,True,"schedule repair, borrow tool, exchange stock"
195,11,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
196,11,Nia,archive_public_kiosk,maintain Archive public kiosk,0.197868,0.0,0.197868,False,True,"schedule repair, borrow tool, exchange stock"
197,11,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.127177,0.0,0.127177,False,True,"schedule repair, borrow tool, exchange stock"
198,12,Fay,roof_greenhouse_cistern,maintain Roof greenhouse cistern,0.193458,0.0,0.193458,False,True,"schedule repair, borrow tool, exchange stock"
199,12,Nia,archive_public_kiosk,maintain Archive public kiosk,0.197868,0.0,0.197868,False,True,"schedule repair, borrow tool, exchange stock"
200,12,Milo,dusk_signal_workshop,maintain Dusk signal workshop,0.127177,0.012,0.139177,False,True,"schedule repair, borrow tool, exchange stock"
201,12,Ari,river_mill_bridge,maintain River mill bridge,0.127488,0.0,0.127488,False,True,"schedule repair, borrow tool, exchange stock"
