generation,year,settlement_id,technology_stage,prerequisite_stage,practical_need,material,failure_memory,adoption_rate,rollback_or_loss,causally_linked
13,390,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.39,False,True
13,390,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.39,False,True
13,390,signal,woven counters,hand marks,path visibility,copper,storage decay,0.39,False,True
13,390,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.39,False,True
13,390,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.39,False,True
14,420,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.4,False,True
14,420,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.4,False,True
14,420,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.4,False,True
14,420,signal,woven counters,hand marks,path visibility,copper,storage decay,0.4,False,True
14,420,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.4,False,True
14,420,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.4,False,True
15,450,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.41,False,True
15,450,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.41,False,True
15,450,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.41,False,True
15,450,signal,woven counters,hand marks,path visibility,copper,storage decay,0.41,False,True
15,450,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.41,False,True
15,450,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.41,False,True
16,480,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.42,False,True
16,480,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.42,False,True
16,480,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.42,False,True
16,480,signal,woven counters,hand marks,path visibility,copper,storage decay,0.42,False,True
16,480,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.42,False,True
16,480,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.42,False,True
17,510,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.43,False,True
17,510,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.43,False,True
17,510,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.43,False,True
17,510,signal,woven counters,hand marks,path visibility,copper,storage decay,0.43,False,True
17,510,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.43,False,True
17,510,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.43,False,True
18,540,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.44,False,True
18,540,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.44,False,True
18,540,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.44,False,True
18,540,signal,woven counters,hand marks,path visibility,copper,storage decay,0.44,False,True
18,540,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.44,False,True
18,540,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.44,False,True
19,570,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.45,False,True
19,570,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.45,False,True
19,570,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.45,False,True
19,570,signal,woven counters,hand marks,path visibility,copper,storage decay,0.45,False,True
19,570,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.45,False,True
19,570,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.45,False,True
20,600,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.46,False,True
20,600,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.46,False,True
20,600,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.46,False,True
20,600,signal,woven counters,hand marks,path visibility,copper,storage decay,0.46,False,True
20,600,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.38,True,True
20,600,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.46,False,True
21,630,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.51,False,True
21,630,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.51,False,True
21,630,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.51,False,True
21,630,signal,water clocks,woven counters,path visibility,copper,storage decay,0.51,False,True
21,630,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.51,False,True
21,630,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.51,False,True
22,660,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.52,False,True
22,660,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.52,False,True
22,660,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.52,False,True
22,660,signal,water clocks,woven counters,path visibility,copper,storage decay,0.52,False,True
22,660,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.52,False,True
22,660,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.52,False,True
23,690,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.53,False,True
23,690,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.53,False,True
23,690,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.53,False,True
23,690,signal,water clocks,woven counters,path visibility,copper,storage decay,0.53,False,True
23,690,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.53,False,True
23,690,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.53,False,True
24,720,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.46,True,True
24,720,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.54,False,True
24,720,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.54,False,True
24,720,signal,water clocks,woven counters,path visibility,copper,storage decay,0.54,False,True
24,720,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.54,False,True
24,720,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.54,False,True
25,750,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.55,False,True
25,750,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.55,False,True
25,750,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.55,False,True
25,750,signal,water clocks,woven counters,path visibility,copper,storage decay,0.55,False,True
25,750,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.55,False,True
25,750,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.55,False,True
26,780,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.56,False,True
26,780,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.56,False,True
26,780,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.56,False,True
26,780,signal,water clocks,woven counters,path visibility,copper,storage decay,0.56,False,True
26,780,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.56,False,True
26,780,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.56,False,True
27,810,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.57,False,True
27,810,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.57,False,True
27,810,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.57,False,True
27,810,signal,water clocks,woven counters,path visibility,copper,storage decay,0.57,False,True
27,810,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.57,False,True
27,810,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.57,False,True
28,840,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.58,False,True
28,840,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.58,False,True
28,840,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.58,False,True
28,840,signal,water clocks,woven counters,path visibility,copper,storage decay,0.58,False,True
28,840,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.58,False,True
28,840,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.5,True,True
29,870,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.59,False,True
29,870,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.59,False,True
29,870,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.59,False,True
29,870,signal,water clocks,woven counters,path visibility,copper,storage decay,0.59,False,True
29,870,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.59,False,True
29,870,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.59,False,True
30,900,riverbend,water clocks,woven counters,dry crossing,cedar,flood loss,0.6,False,True
30,900,roofward,water clocks,woven counters,herb preservation,glass,storage decay,0.6,False,True
30,900,archive,water clocks,woven counters,signal memory,inkstone,storage decay,0.6,False,True
30,900,signal,water clocks,woven counters,path visibility,copper,storage decay,0.6,False,True
30,900,orchard,water clocks,woven counters,dry seed continuity,clay,storage decay,0.6,False,True
30,900,repair_ring,water clocks,woven counters,safe repair space,bronze,spark crowding,0.6,False,True
31,930,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.65,False,True
31,930,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.65,False,True
31,930,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.65,False,True
31,930,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.65,False,True
31,930,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.65,False,True
31,930,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.65,False,True
32,960,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.66,False,True
32,960,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.58,True,True
32,960,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.66,False,True
32,960,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.66,False,True
32,960,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.66,False,True
32,960,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.66,False,True
33,990,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.67,False,True
33,990,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.67,False,True
33,990,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.67,False,True
33,990,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.67,False,True
33,990,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.67,False,True
33,990,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.67,False,True
34,1020,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.68,False,True
34,1020,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.68,False,True
34,1020,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.68,False,True
34,1020,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.68,False,True
34,1020,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.68,False,True
34,1020,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.68,False,True
35,1050,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.69,False,True
35,1050,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.69,False,True
35,1050,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.69,False,True
35,1050,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.69,False,True
35,1050,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.69,False,True
35,1050,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.69,False,True
36,1080,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.7,False,True
36,1080,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.7,False,True
36,1080,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.7,False,True
36,1080,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.7,False,True
36,1080,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.7,False,True
36,1080,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.7,False,True
37,1110,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.71,False,True
37,1110,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.71,False,True
37,1110,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.71,False,True
37,1110,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.71,False,True
37,1110,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.71,False,True
37,1110,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.71,False,True
38,1140,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.72,False,True
38,1140,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.72,False,True
38,1140,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.72,False,True
38,1140,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.72,False,True
38,1140,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.72,False,True
38,1140,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.72,False,True
39,1170,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.73,False,True
39,1170,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.73,False,True
39,1170,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.73,False,True
39,1170,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.73,False,True
39,1170,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.73,False,True
39,1170,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.73,False,True
40,1200,riverbend,kiln alloys,water clocks,dry crossing,cedar,flood loss,0.74,False,True
40,1200,roofward,kiln alloys,water clocks,herb preservation,glass,storage decay,0.74,False,True
40,1200,archive,kiln alloys,water clocks,signal memory,inkstone,storage decay,0.66,True,True
40,1200,signal,kiln alloys,water clocks,path visibility,copper,storage decay,0.74,False,True
40,1200,orchard,kiln alloys,water clocks,dry seed continuity,clay,storage decay,0.74,False,True
40,1200,repair_ring,kiln alloys,water clocks,safe repair space,bronze,spark crowding,0.74,False,True
41,1230,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.79,False,True
41,1230,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.79,False,True
41,1230,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.79,False,True
41,1230,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.79,False,True
41,1230,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.79,False,True
41,1230,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.79,False,True
42,1260,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.8,False,True
42,1260,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.8,False,True
42,1260,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.8,False,True
42,1260,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.8,False,True
42,1260,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.8,False,True
42,1260,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.8,False,True
43,1290,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.81,False,True
43,1290,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.81,False,True
43,1290,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.81,False,True
43,1290,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.81,False,True
43,1290,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.81,False,True
43,1290,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.81,False,True
44,1320,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.82,False,True
44,1320,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.82,False,True
44,1320,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.82,False,True
44,1320,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.82,False,True
44,1320,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.82,False,True
44,1320,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.82,False,True
45,1350,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.83,False,True
45,1350,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.83,False,True
45,1350,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.83,False,True
45,1350,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.83,False,True
45,1350,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.83,False,True
45,1350,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.83,False,True
46,1380,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.84,False,True
46,1380,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.84,False,True
46,1380,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.84,False,True
46,1380,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.84,False,True
46,1380,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.84,False,True
46,1380,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.84,False,True
47,1410,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.85,False,True
47,1410,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.85,False,True
47,1410,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.85,False,True
47,1410,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.85,False,True
47,1410,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.85,False,True
47,1410,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.85,False,True
48,1440,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.86,False,True
48,1440,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.86,False,True
48,1440,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.86,False,True
48,1440,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.78,True,True
48,1440,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.86,False,True
48,1440,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.86,False,True
49,1470,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.87,False,True
49,1470,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.87,False,True
49,1470,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.87,False,True
49,1470,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.87,False,True
49,1470,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.87,False,True
49,1470,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.87,False,True
50,1500,riverbend,signal lenses,kiln alloys,dry crossing,cedar,flood loss,0.88,False,True
50,1500,roofward,signal lenses,kiln alloys,herb preservation,glass,storage decay,0.88,False,True
50,1500,archive,signal lenses,kiln alloys,signal memory,inkstone,storage decay,0.88,False,True
50,1500,signal,signal lenses,kiln alloys,path visibility,copper,storage decay,0.88,False,True
50,1500,orchard,signal lenses,kiln alloys,dry seed continuity,clay,storage decay,0.88,False,True
50,1500,repair_ring,signal lenses,kiln alloys,safe repair space,bronze,spark crowding,0.88,False,True
51,1530,riverbend,memory looms,signal lenses,dry crossing,cedar,flood loss,0.93,False,True
51,1530,roofward,memory looms,signal lenses,herb preservation,glass,storage decay,0.93,False,True
51,1530,archive,memory looms,signal lenses,signal memory,inkstone,storage decay,0.93,False,True
51,1530,signal,memory looms,signal lenses,path visibility,copper,storage decay,0.93,False,True
51,1530,orchard,memory looms,signal lenses,dry seed continuity,clay,storage decay,0.93,False,True
51,1530,repair_ring,memory looms,signal lenses,safe repair space,bronze,spark crowding,0.93,False,True
52,1560,riverbend,memory looms,signal lenses,dry crossing,cedar,flood loss,0.94,False,True
52,1560,roofward,memory looms,signal lenses,herb preservation,glass,storage decay,0.94,False,True
52,1560,archive,memory looms,signal lenses,signal memory,inkstone,storage decay,0.94,False,True
52,1560,signal,memory looms,signal lenses,path visibility,copper,storage decay,0.94,False,True
52,1560,orchard,memory looms,signal lenses,dry seed continuity,clay,storage decay,0.94,False,True
52,1560,repair_ring,memory looms,signal lenses,safe repair space,bronze,spark crowding,0.94,False,True
53,1590,riverbend,memory looms,signal lenses,dry crossing,cedar,flood loss,0.95,False,True
53,1590,roofward,memory looms,signal lenses,herb preservation,glass,storage decay,0.95,False,True
53,1590,archive,memory looms,signal lenses,signal memory,inkstone,storage decay,0.95,False,True
53,1590,signal,memory looms,signal lenses,path visibility,copper,storage decay,0.95,False,True
53,1590,orchard,memory looms,signal lenses,dry seed continuity,clay,storage decay,0.95,False,True
53,1590,repair_ring,memory looms,signal lenses,safe repair space,bronze,spark crowding,0.95,False,True
54,1620,riverbend,memory looms,signal lenses,dry crossing,cedar,flood loss,0.96,False,True
54,1620,roofward,memory looms,signal lenses,herb preservation,glass,storage decay,0.96,False,True
54,1620,archive,memory looms,signal lenses,signal memory,inkstone,storage decay,0.96,False,True
54,1620,signal,memory looms,signal lenses,path visibility,copper,storage decay,0.96,False,True
54,1620,orchard,memory looms,signal lenses,dry seed continuity,clay,storage decay,0.96,False,True
54,1620,repair_ring,memory looms,signal lenses,safe repair space,bronze,spark crowding,0.96,False,True
55,1650,riverbend,memory looms,signal lenses,dry crossing,cedar,flood loss,0.96,False,True
55,1650,roofward,memory looms,signal lenses,herb preservation,glass,storage decay,0.96,False,True
55,1650,archive,memory looms,signal lenses,signal memory,inkstone,storage decay,0.96,False,True
