tick_id,day,settlement_id,caregiver_id,recipient_id,duty,care_tool,need_addressed,care_quality_before,care_quality_after,welfare_before,welfare_after,burden_before,burden_after,accepted_or_refused,visible_care_card,reciprocal_memory,bounded_care
26,2,orchid_engine,Dax,Bea,Dax uses gear glove for Bea,gear glove,pain,0.66992,0.73992,0.825384,0.877984,0.238,0.256,accepted,True,Bea remembers Dax care: accepted,True
28,2,glass_harbor,Nia,Puck,Nia uses salt tea for Puck,salt tea,thirst,0.66992,0.73992,0.799471,0.852071,0.238,0.256,accepted,True,Puck remembers Nia care: accepted,True
30,2,lichen_bridge,Rin,Kio,Rin uses rest alcove for Kio,rest alcove,fatigue,0.66992,0.73992,0.802754,0.855354,0.238,0.256,accepted,True,Kio remembers Rin care: accepted,True
32,2,moss_ward,Ari,Milo,Ari uses warm broth for Milo,warm broth,hunger,0.6728,0.7428,0.68,0.7326,0.22,0.238,accepted,True,Milo remembers Ari care: accepted,True
34,2,cinder_garden,Vale,Juno,Vale uses seed meal for Juno,seed meal,hunger,0.67184,0.74184,0.825497,0.878097,0.226,0.244,accepted,True,Juno remembers Vale care: accepted,True
36,3,moss_ward,Milo,Ari,Milo uses bandage for Ari,bandage,pain,0.66704,0.70704,0.832174,0.867374,0.256,0.262,deferred with consent,True,Ari remembers Milo care: deferred with consent,True
38,3,cinder_garden,Juno,Vale,Juno uses shade cloth for Vale,shade cloth,safety,0.66704,0.73704,0.853664,0.906264,0.256,0.274,accepted,True,Vale remembers Juno care: accepted,True
40,3,orchid_engine,Dax,Bea,Dax uses heat vent for Bea,heat vent,temperature,0.66704,0.73704,0.842675,0.895275,0.256,0.274,accepted,True,Bea remembers Dax care: accepted,True
42,3,glass_harbor,Nia,Puck,Nia uses steam wrap for Puck,steam wrap,temperature,0.66704,0.73704,0.828502,0.881102,0.256,0.274,accepted,True,Puck remembers Nia care: accepted,True
44,3,lichen_bridge,Rin,Kio,Rin uses hand warmer for Kio,hand warmer,temperature,0.66704,0.73704,0.846305,0.898905,0.256,0.274,accepted,True,Kio remembers Rin care: accepted,True
46,3,moss_ward,Ari,Milo,Ari uses dry cloak for Milo,dry cloak,wetness,0.66992,0.73992,0.798695,0.851295,0.238,0.256,accepted,True,Milo remembers Ari care: accepted,True
48,3,cinder_garden,Vale,Juno,Vale uses soft glove for Juno,soft glove,pain,0.66896,0.73896,0.855416,0.908016,0.244,0.262,accepted,True,Juno remembers Vale care: accepted,True
50,3,orchid_engine,Bea,Dax,Bea uses cot pass for Dax,cot pass,rest_debt,0.66992,0.73992,0.804893,0.857493,0.238,0.256,accepted,True,Dax remembers Bea care: accepted,True
52,3,glass_harbor,Puck,Nia,Puck uses salve for Nia,salve,pain,0.66896,0.73896,0.840707,0.893307,0.244,0.262,accepted,True,Nia remembers Puck care: accepted,True
54,4,orchid_engine,Dax,Bea,Dax uses orchid tea for Bea,orchid tea,thirst,0.66416,0.70416,0.840468,0.875668,0.274,0.28,deferred with consent,True,Bea remembers Dax care: deferred with consent,True
56,4,glass_harbor,Nia,Puck,Nia uses soft bunk for Puck,soft bunk,rest_debt,0.66416,0.73416,0.839761,0.892361,0.274,0.292,accepted,True,Puck remembers Nia care: accepted,True
58,4,lichen_bridge,Rin,Kio,Rin uses lichen soup for Kio,lichen soup,hunger,0.66416,0.73416,0.848046,0.900646,0.274,0.292,accepted,True,Kio remembers Rin care: accepted,True
60,4,moss_ward,Ari,Milo,Ari uses quiet mat for Milo,quiet mat,fatigue,0.66704,0.73704,0.830752,0.883352,0.256,0.274,accepted,True,Milo remembers Ari care: accepted,True
62,4,cinder_garden,Vale,Juno,Vale uses cool water for Juno,cool water,temperature,0.66608,0.73608,0.853141,0.905741,0.262,0.28,accepted,True,Juno remembers Vale care: accepted,True
64,4,orchid_engine,Bea,Dax,Bea uses gear glove for Dax,gear glove,pain,0.66704,0.73704,0.831287,0.883887,0.256,0.274,accepted,True,Dax remembers Bea care: accepted,True
66,4,glass_harbor,Puck,Nia,Puck uses salt tea for Nia,salt tea,thirst,0.66608,0.73608,0.840156,0.892756,0.262,0.28,accepted,True,Nia remembers Puck care: accepted,True
68,4,lichen_bridge,Kio,Rin,Kio uses rest alcove for Rin,rest alcove,fatigue,0.66704,0.73704,0.845735,0.898335,0.256,0.274,accepted,True,Rin remembers Kio care: accepted,True
70,4,moss_ward,Milo,Ari,Milo uses warm broth for Ari,warm broth,hunger,0.66608,0.73608,0.845143,0.897743,0.262,0.28,accepted,True,Ari remembers Milo care: accepted,True
72,5,lichen_bridge,Rin,Kio,Rin uses rope splint for Kio,rope splint,injury,0.66128,0.70128,0.841446,0.876646,0.292,0.298,deferred with consent,True,Kio remembers Rin care: deferred with consent,True
74,5,moss_ward,Ari,Milo,Ari uses bandage for Milo,bandage,pain,0.66416,0.73416,0.840791,0.893391,0.274,0.292,accepted,True,Milo remembers Ari care: accepted,True
76,5,cinder_garden,Vale,Juno,Vale uses shade cloth for Juno,shade cloth,safety,0.6632,0.7332,0.851643,0.904243,0.28,0.298,accepted,True,Juno remembers Vale care: accepted,True
78,5,orchid_engine,Bea,Dax,Bea uses heat vent for Dax,heat vent,temperature,0.66416,0.73416,0.845284,0.897884,0.274,0.292,accepted,True,Dax remembers Bea care: accepted,True
80,5,glass_harbor,Puck,Nia,Puck uses steam wrap for Nia,steam wrap,temperature,0.6632,0.7332,0.842743,0.895343,0.28,0.298,accepted,True,Nia remembers Puck care: accepted,True
82,5,lichen_bridge,Kio,Rin,Kio uses hand warmer for Rin,hand warmer,temperature,0.66416,0.73416,0.83994,0.89254,0.274,0.292,accepted,True,Rin remembers Kio care: accepted,True
84,5,moss_ward,Milo,Ari,Milo uses dry cloak for Ari,dry cloak,wetness,0.6632,0.7332,0.839719,0.892319,0.28,0.298,accepted,True,Ari remembers Milo care: accepted,True
86,5,cinder_garden,Juno,Vale,Juno uses soft glove for Vale,soft glove,pain,0.66416,0.73416,0.854711,0.907311,0.274,0.292,accepted,True,Vale remembers Juno care: accepted,True
88,5,orchid_engine,Dax,Bea,Dax uses cot pass for Bea,cot pass,rest_debt,0.6632,0.7332,0.84146,0.89406,0.28,0.298,accepted,True,Bea remembers Dax care: accepted,True
90,6,cinder_garden,Vale,Juno,Vale uses seed meal for Juno,seed meal,hunger,0.66032,0.70032,0.853545,0.888745,0.298,0.304,deferred with consent,True,Juno remembers Vale care: deferred with consent,True
92,6,orchid_engine,Bea,Dax,Bea uses orchid tea for Dax,orchid tea,thirst,0.66128,0.73128,0.847836,0.900436,0.292,0.31,accepted,True,Dax remembers Bea care: accepted,True
94,6,glass_harbor,Puck,Nia,Puck uses soft bunk for Nia,soft bunk,rest_debt,0.66032,0.73032,0.840181,0.892781,0.298,0.316,accepted,True,Nia remembers Puck care: accepted,True
96,6,lichen_bridge,Kio,Rin,Kio uses lichen soup for Rin,lichen soup,hunger,0.66128,0.73128,0.833994,0.886594,0.292,0.31,accepted,True,Rin remembers Kio care: accepted,True
98,6,moss_ward,Milo,Ari,Milo uses quiet mat for Ari,quiet mat,fatigue,0.66032,0.73032,0.842295,0.894895,0.298,0.316,accepted,True,Ari remembers Milo care: accepted,True
100,6,cinder_garden,Juno,Vale,Juno uses cool water for Vale,cool water,temperature,0.66128,0.73128,0.852137,0.904737,0.292,0.31,accepted,True,Vale remembers Juno care: accepted,True
102,6,orchid_engine,Dax,Bea,Dax uses gear glove for Bea,gear glove,pain,0.66032,0.73032,0.843204,0.895804,0.298,0.316,accepted,True,Bea remembers Dax care: accepted,True
104,6,glass_harbor,Nia,Puck,Nia uses salt tea for Puck,salt tea,thirst,0.66128,0.73128,0.841461,0.894061,0.292,0.31,accepted,True,Puck remembers Nia care: accepted,True
106,6,lichen_bridge,Rin,Kio,Rin uses rest alcove for Kio,rest alcove,fatigue,0.66032,0.73032,0.837422,0.890022,0.298,0.316,accepted,True,Kio remembers Rin care: accepted,True
108,7,glass_harbor,Puck,Nia,Puck uses salve for Nia,salve,pain,0.65744,0.69744,0.833106,0.868306,0.316,0.322,deferred with consent,True,Nia remembers Puck care: deferred with consent,True
110,7,lichen_bridge,Kio,Rin,Kio uses rope splint for Rin,rope splint,injury,0.6584,0.7284,0.828309,0.880909,0.31,0.328,accepted,True,Rin remembers Kio care: accepted,True
112,7,moss_ward,Milo,Ari,Milo uses bandage for Ari,bandage,pain,0.65744,0.72744,0.840927,0.893527,0.316,0.334,accepted,True,Ari remembers Milo care: accepted,True
114,7,cinder_garden,Juno,Vale,Juno uses shade cloth for Vale,shade cloth,safety,0.6584,0.7284,0.853248,0.905848,0.31,0.328,accepted,True,Vale remembers Juno care: accepted,True
116,7,orchid_engine,Dax,Bea,Dax uses heat vent for Bea,heat vent,temperature,0.65744,0.72744,0.838795,0.891395,0.316,0.334,accepted,True,Bea remembers Dax care: accepted,True
118,7,glass_harbor,Nia,Puck,Nia uses steam wrap for Puck,steam wrap,temperature,0.6584,0.7284,0.832394,0.884994,0.31,0.328,accepted,True,Puck remembers Nia care: accepted,True
120,7,lichen_bridge,Rin,Kio,Rin uses hand warmer for Kio,hand warmer,temperature,0.65744,0.72744,0.830932,0.883532,0.316,0.334,accepted,True,Kio remembers Rin care: accepted,True
122,7,moss_ward,Ari,Milo,Ari uses dry cloak for Milo,dry cloak,wetness,0.66128,0.73128,0.842479,0.895079,0.292,0.31,accepted,True,Milo remembers Ari care: accepted,True
124,7,cinder_garden,Vale,Juno,Vale uses soft glove for Juno,soft glove,pain,0.65936,0.72936,0.854624,0.907224,0.304,0.322,accepted,True,Juno remembers Vale care: accepted,True
126,8,moss_ward,Milo,Ari,Milo uses warm broth for Ari,warm broth,hunger,0.65456,0.69456,0.834066,0.869266,0.334,0.34,deferred with consent,True,Ari remembers Milo care: deferred with consent,True
128,8,cinder_garden,Juno,Vale,Juno uses seed meal for Vale,seed meal,hunger,0.65552,0.72552,0.855214,0.907814,0.328,0.346,accepted,True,Vale remembers Juno care: accepted,True
130,8,orchid_engine,Dax,Bea,Dax uses orchid tea for Bea,orchid tea,thirst,0.65456,0.72456,0.831763,0.884363,0.334,0.352,accepted,True,Bea remembers Dax care: accepted,True
132,8,glass_harbor,Nia,Puck,Nia uses soft bunk for Puck,soft bunk,rest_debt,0.65552,0.72552,0.830485,0.883085,0.328,0.346,accepted,True,Puck remembers Nia care: accepted,True
134,8,lichen_bridge,Rin,Kio,Rin uses lichen soup for Kio,lichen soup,hunger,0.65456,0.72456,0.829664,0.882264,0.334,0.352,accepted,True,Kio remembers Rin care: accepted,True
136,8,moss_ward,Ari,Milo,Ari uses quiet mat for Milo,quiet mat,fatigue,0.6584,0.7284,0.834927,0.887527,0.31,0.328,accepted,True,Milo remembers Ari care: accepted,True
138,8,cinder_garden,Vale,Juno,Vale uses cool water for Juno,cool water,temperature,0.65648,0.72648,0.852848,0.905448,0.322,0.34,accepted,True,Juno remembers Vale care: accepted,True
140,8,orchid_engine,Bea,Dax,Bea uses gear glove for Dax,gear glove,pain,0.6584,0.7284,0.844058,0.896658,0.31,0.328,accepted,True,Dax remembers Bea care: accepted,True
142,8,glass_harbor,Puck,Nia,Puck uses salt tea for Nia,salt tea,thirst,0.65648,0.72648,0.831326,0.883926,0.322,0.34,accepted,True,Nia remembers Puck care: accepted,True
144,9,orchid_engine,Dax,Bea,Dax uses cot pass for Bea,cot pass,rest_debt,0.65168,0.69168,0.828797,0.863997,0.352,0.358,deferred with consent,True,Bea remembers Dax care: deferred with consent,True
146,9,glass_harbor,Nia,Puck,Nia uses salve for Puck,salve,pain,0.65264,0.72264,0.826873,0.879473,0.346,0.364,accepted,True,Puck remembers Nia care: accepted,True
148,9,lichen_bridge,Rin,Kio,Rin uses rope splint for Kio,rope splint,injury,0.65168,0.72168,0.831333,0.883933,0.352,0.37,accepted,True,Kio remembers Rin care: accepted,True
150,9,moss_ward,Ari,Milo,Ari uses bandage for Milo,bandage,pain,0.65552,0.72552,0.836684,0.889284,0.328,0.346,accepted,True,Milo remembers Ari care: accepted,True
152,9,cinder_garden,Vale,Juno,Vale uses shade cloth for Juno,shade cloth,safety,0.6536,0.7236,0.84981,0.90241,0.34,0.358,accepted,True,Juno remembers Vale care: accepted,True
154,9,orchid_engine,Bea,Dax,Bea uses heat vent for Dax,heat vent,temperature,0.65552,0.72552,0.839414,0.892014,0.328,0.346,accepted,True,Dax remembers Bea care: accepted,True
156,9,glass_harbor,Puck,Nia,Puck uses steam wrap for Nia,steam wrap,temperature,0.6536,0.7236,0.828016,0.880616,0.34,0.358,accepted,True,Nia remembers Puck care: accepted,True
158,9,lichen_bridge,Kio,Rin,Kio uses hand warmer for Rin,hand warmer,temperature,0.65552,0.72552,0.827915,0.880515,0.328,0.346,accepted,True,Rin remembers Kio care: accepted,True
160,9,moss_ward,Milo,Ari,Milo uses dry cloak for Ari,dry cloak,wetness,0.6536,0.7236,0.83528,0.88788,0.34,0.358,accepted,True,Ari remembers Milo care: accepted,True
162,10,lichen_bridge,Rin,Kio,Rin uses rest alcove for Kio,rest alcove,fatigue,0.6488,0.6888,0.8255,0.8607,0.37,0.376,deferred with consent,True,Kio remembers Rin care: deferred with consent,True
164,10,moss_ward,Ari,Milo,Ari uses warm broth for Milo,warm broth,hunger,0.65264,0.72264,0.830708,0.883308,0.346,0.364,accepted,True,Milo remembers Ari care: accepted,True
166,10,cinder_garden,Vale,Juno,Vale uses seed meal for Juno,seed meal,hunger,0.65072,0.72072,0.85187,0.90447,0.358,0.376,accepted,True,Juno remembers Vale care: accepted,True
168,10,orchid_engine,Bea,Dax,Bea uses orchid tea for Dax,orchid tea,thirst,0.65264,0.72264,0.840527,0.893127,0.346,0.364,accepted,True,Dax remembers Bea care: accepted,True
170,10,glass_harbor,Puck,Nia,Puck uses soft bunk for Nia,soft bunk,rest_debt,0.65072,0.72072,0.829704,0.882304,0.358,0.376,accepted,True,Nia remembers Puck care: accepted,True
172,10,lichen_bridge,Kio,Rin,Kio uses lichen soup for Rin,lichen soup,hunger,0.65264,0.72264,0.821655,0.874255,0.346,0.364,accepted,True,Rin remembers Kio care: accepted,True
174,10,moss_ward,Milo,Ari,Milo uses quiet mat for Ari,quiet mat,fatigue,0.65072,0.72072,0.829946,0.882546,0.358,0.376,accepted,True,Ari remembers Milo care: accepted,True
176,10,cinder_garden,Juno,Vale,Juno uses cool water for Vale,cool water,temperature,0.65264,0.72264,0.852025,0.904625,0.346,0.364,accepted,True,Vale remembers Juno care: accepted,True
178,10,orchid_engine,Dax,Bea,Dax uses gear glove for Bea,gear glove,pain,0.65072,0.72072,0.829743,0.882343,0.358,0.376,accepted,True,Bea remembers Dax care: accepted,True
180,11,cinder_garden,Vale,Juno,Vale uses soft glove for Juno,soft glove,pain,0.64784,0.68784,0.849496,0.884696,0.376,0.382,deferred with consent,True,Juno remembers Vale care: deferred with consent,True
182,11,orchid_engine,Bea,Dax,Bea uses cot pass for Dax,cot pass,rest_debt,0.64976,0.71976,0.84231,0.89491,0.364,0.382,accepted,True,Dax remembers Bea care: accepted,True
184,11,glass_harbor,Puck,Nia,Puck uses salve for Nia,salve,pain,0.64784,0.71784,0.827337,0.879937,0.376,0.394,accepted,True,Nia remembers Puck care: accepted,True
186,11,lichen_bridge,Kio,Rin,Kio uses rope splint for Rin,rope splint,injury,0.64976,0.71976,0.817065,0.869665,0.364,0.382,accepted,True,Rin remembers Kio care: accepted,True
188,11,moss_ward,Milo,Ari,Milo uses bandage for Ari,bandage,pain,0.64784,0.71784,0.832884,0.885484,0.376,0.394,accepted,True,Ari remembers Milo care: accepted,True
190,11,cinder_garden,Juno,Vale,Juno uses shade cloth for Vale,shade cloth,safety,0.64976,0.71976,0.850273,0.902873,0.364,0.382,accepted,True,Vale remembers Juno care: accepted,True
192,11,orchid_engine,Dax,Bea,Dax uses heat vent for Bea,heat vent,temperature,0.64784,0.71784,0.831441,0.884041,0.376,0.394,accepted,True,Bea remembers Dax care: accepted,True
194,11,glass_harbor,Nia,Puck,Nia uses steam wrap for Puck,steam wrap,temperature,0.64976,0.71976,0.828504,0.881104,0.364,0.382,accepted,True,Puck remembers Nia care: accepted,True
196,11,lichen_bridge,Rin,Kio,Rin uses hand warmer for Kio,hand warmer,temperature,0.64784,0.71784,0.82109,0.87369,0.376,0.394,accepted,True,Kio remembers Rin care: accepted,True
198,12,glass_harbor,Puck,Nia,Puck uses salt tea for Nia,salt tea,thirst,0.64496,0.68496,0.822121,0.857321,0.394,0.4,deferred with consent,True,Nia remembers Puck care: deferred with consent,True
200,12,lichen_bridge,Kio,Rin,Kio uses rest alcove for Rin,rest alcove,fatigue,0.64688,0.71688,0.814645,0.867245,0.382,0.4,accepted,True,Rin remembers Kio care: accepted,True
202,12,moss_ward,Milo,Ari,Milo uses warm broth for Ari,warm broth,hunger,0.64496,0.71496,0.830192,0.882792,0.394,0.412,accepted,True,Ari remembers Milo care: accepted,True
204,12,cinder_garden,Juno,Vale,Juno uses seed meal for Vale,seed meal,hunger,0.64688,0.71688,0.855508,0.908108,0.382,0.4,accepted,True,Vale remembers Juno care: accepted,True
206,12,orchid_engine,Dax,Bea,Dax uses orchid tea for Bea,orchid tea,thirst,0.64496,0.71496,0.827617,0.880217,0.394,0.412,accepted,True,Bea remembers Dax care: accepted,True
208,12,glass_harbor,Nia,Puck,Nia uses soft bunk for Puck,soft bunk,rest_debt,0.64688,0.71688,0.823274,0.875874,0.382,0.4,accepted,True,Puck remembers Nia care: accepted,True
210,12,lichen_bridge,Rin,Kio,Rin uses lichen soup for Kio,lichen soup,hunger,0.64496,0.71496,0.816286,0.868886,0.394,0.412,accepted,True,Kio remembers Rin care: accepted,True
212,12,moss_ward,Ari,Milo,Ari uses quiet mat for Milo,quiet mat,fatigue,0.64976,0.71976,0.832795,0.885395,0.364,0.382,accepted,True,Milo remembers Ari care: accepted,True
214,12,cinder_garden,Vale,Juno,Vale uses cool water for Juno,cool water,temperature,0.64688,0.71688,0.851404,0.904004,0.382,0.4,accepted,True,Juno remembers Vale care: accepted,True
216,13,moss_ward,Milo,Ari,Milo uses dry cloak for Ari,dry cloak,wetness,0.64208,0.68208,0.827348,0.862548,0.412,0.418,deferred with consent,True,Ari remembers Milo care: deferred with consent,True
218,13,cinder_garden,Juno,Vale,Juno uses soft glove for Vale,soft glove,pain,0.644,0.714,0.853263,0.905863,0.4,0.418,accepted,True,Vale remembers Juno care: accepted,True
220,13,orchid_engine,Dax,Bea,Dax uses cot pass for Bea,cot pass,rest_debt,0.64208,0.71208,0.820608,0.873208,0.412,0.43,accepted,True,Bea remembers Dax care: accepted,True
222,13,glass_harbor,Nia,Puck,Nia uses salve for Puck,salve,pain,0.644,0.714,0.821791,0.874391,0.4,0.418,accepted,True,Puck remembers Nia care: accepted,True
224,13,lichen_bridge,Rin,Kio,Rin uses rope splint for Kio,rope splint,injury,0.64208,0.71208,0.815079,0.867679,0.412,0.43,accepted,True,Kio remembers Rin care: accepted,True
226,13,moss_ward,Ari,Milo,Ari uses bandage for Milo,bandage,pain,0.64688,0.71688,0.829592,0.882192,0.382,0.4,accepted,True,Milo remembers Ari care: accepted,True
228,13,cinder_garden,Vale,Juno,Vale uses shade cloth for Juno,shade cloth,safety,0.644,0.714,0.849293,0.901893,0.4,0.418,accepted,True,Juno remembers Vale care: accepted,True
230,13,orchid_engine,Bea,Dax,Bea uses heat vent for Dax,heat vent,temperature,0.64688,0.71688,0.838518,0.891118,0.382,0.4,accepted,True,Dax remembers Bea care: accepted,True
232,13,glass_harbor,Puck,Nia,Puck uses steam wrap for Nia,steam wrap,temperature,0.644,0.714,0.821276,0.873876,0.4,0.418,accepted,True,Nia remembers Puck care: accepted,True
234,14,orchid_engine,Dax,Bea,Dax uses gear glove for Bea,gear glove,pain,0.6392,0.6792,0.817601,0.852801,0.43,0.436,deferred with consent,True,Bea remembers Dax care: deferred with consent,True
236,14,glass_harbor,Nia,Puck,Nia uses salt tea for Puck,salt tea,thirst,0.64112,0.71112,0.819731,0.872331,0.418,0.436,accepted,True,Puck remembers Nia care: accepted,True
238,14,lichen_bridge,Rin,Kio,Rin uses rest alcove for Kio,rest alcove,fatigue,0.6392,0.7092,0.817553,0.870153,0.43,0.448,accepted,True,Kio remembers Rin care: accepted,True
240,14,moss_ward,Ari,Milo,Ari uses warm broth for Milo,warm broth,hunger,0.644,0.714,0.830152,0.882752,0.4,0.418,accepted,True,Milo remembers Ari care: accepted,True
242,14,cinder_garden,Vale,Juno,Vale uses seed meal for Juno,seed meal,hunger,0.64112,0.71112,0.850348,0.902948,0.418,0.436,accepted,True,Juno remembers Vale care: accepted,True
244,14,orchid_engine,Bea,Dax,Bea uses orchid tea for Dax,orchid tea,thirst,0.644,0.714,0.833863,0.886463,0.4,0.418,accepted,True,Dax remembers Bea care: accepted,True
246,14,glass_harbor,Puck,Nia,Puck uses soft bunk for Nia,soft bunk,rest_debt,0.64112,0.71112,0.819192,0.871792,0.418,0.436,accepted,True,Nia remembers Puck care: accepted,True
248,14,lichen_bridge,Kio,Rin,Kio uses lichen soup for Rin,lichen soup,hunger,0.644,0.714,0.815448,0.868048,0.4,0.418,accepted,True,Rin remembers Kio care: accepted,True
250,14,moss_ward,Milo,Ari,Milo uses quiet mat for Ari,quiet mat,fatigue,0.64112,0.71112,0.828771,0.881371,0.418,0.436,accepted,True,Ari remembers Milo care: accepted,True
252,15,lichen_bridge,Rin,Kio,Rin uses hand warmer for Kio,hand warmer,temperature,0.63632,0.67632,0.814544,0.849744,0.448,0.454,deferred with consent,True,Kio remembers Rin care: deferred with consent,True
254,15,moss_ward,Ari,Milo,Ari uses dry cloak for Milo,dry cloak,wetness,0.64112,0.71112,0.82805,0.88065,0.418,0.436,accepted,True,Milo remembers Ari care: accepted,True
256,15,cinder_garden,Vale,Juno,Vale uses soft glove for Juno,soft glove,pain,0.63824,0.70824,0.848134,0.900734,0.436,0.454,accepted,True,Juno remembers Vale care: accepted,True
258,15,orchid_engine,Bea,Dax,Bea uses cot pass for Dax,cot pass,rest_debt,0.64112,0.71112,0.83481,0.88741,0.418,0.436,accepted,True,Dax remembers Bea care: accepted,True
260,15,glass_harbor,Puck,Nia,Puck uses salve for Nia,salve,pain,0.63824,0.70824,0.820871,0.873471,0.436,0.454,accepted,True,Nia remembers Puck care: accepted,True
262,15,lichen_bridge,Kio,Rin,Kio uses rope splint for Rin,rope splint,injury,0.64112,0.71112,0.8146,0.8672,0.418,0.436,accepted,True,Rin remembers Kio care: accepted,True
264,15,moss_ward,Milo,Ari,Milo uses bandage for Ari,bandage,pain,0.63824,0.70824,0.826147,0.878747,0.436,0.454,accepted,True,Ari remembers Milo care: accepted,True
266,15,cinder_garden,Juno,Vale,Juno uses shade cloth for Vale,shade cloth,safety,0.64112,0.71112,0.850911,0.903511,0.418,0.436,accepted,True,Vale remembers Juno care: accepted,True
268,15,orchid_engine,Dax,Bea,Dax uses heat vent for Bea,heat vent,temperature,0.63824,0.70824,0.818509,0.871109,0.436,0.454,accepted,True,Bea remembers Dax care: accepted,True
270,16,cinder_garden,Vale,Juno,Vale uses cool water for Juno,cool water,temperature,0.63536,0.67536,0.846656,0.881856,0.454,0.46,deferred with consent,True,Juno remembers Vale care: deferred with consent,True
272,16,orchid_engine,Bea,Dax,Bea uses gear glove for Dax,gear glove,pain,0.63824,0.70824,0.836562,0.889162,0.436,0.454,accepted,True,Dax remembers Bea care: accepted,True
274,16,glass_harbor,Puck,Nia,Puck uses salt tea for Nia,salt tea,thirst,0.63536,0.70536,0.819551,0.872151,0.454,0.472,accepted,True,Nia remembers Puck care: accepted,True
276,16,lichen_bridge,Kio,Rin,Kio uses rest alcove for Rin,rest alcove,fatigue,0.63824,0.70824,0.815156,0.867756,0.436,0.454,accepted,True,Rin remembers Kio care: accepted,True
278,16,moss_ward,Milo,Ari,Milo uses warm broth for Ari,warm broth,hunger,0.63536,0.70536,0.827817,0.880417,0.454,0.472,accepted,True,Ari remembers Milo care: accepted,True
280,16,cinder_garden,Juno,Vale,Juno uses seed meal for Vale,seed meal,hunger,0.63824,0.70824,0.852868,0.905468,0.436,0.454,accepted,True,Vale remembers Juno care: accepted,True
282,16,orchid_engine,Dax,Bea,Dax uses orchid tea for Bea,orchid tea,thirst,0.63536,0.70536,0.820715,0.873315,0.454,0.472,accepted,True,Bea remembers Dax care: accepted,True
284,16,glass_harbor,Nia,Puck,Nia uses soft bunk for Puck,soft bunk,rest_debt,0.63824,0.70824,0.82186,0.87446,0.436,0.454,accepted,True,Puck remembers Nia care: accepted,True
286,16,lichen_bridge,Rin,Kio,Rin uses lichen soup for Kio,lichen soup,hunger,0.63536,0.70536,0.814284,0.866884,0.454,0.472,accepted,True,Kio remembers Rin care: accepted,True
288,17,glass_harbor,Puck,Nia,Puck uses steam wrap for Nia,steam wrap,temperature,0.63248,0.67248,0.81632,0.85152,0.472,0.478,deferred with consent,True,Nia remembers Puck care: deferred with consent,True
290,17,lichen_bridge,Kio,Rin,Kio uses hand warmer for Rin,hand warmer,temperature,0.63536,0.70536,0.815402,0.868002,0.454,0.472,accepted,True,Rin remembers Kio care: accepted,True
