tick_id,day,settlement_id,resident_id,object_id,memory_key,reload_index,trust_before,trust_after,debt_before,debt_after,memory_span_days,recalled_after_multiple_reloads,inventory_trust_effect_visible,private_memory_not_dumped
107,6,signal,Milo,wind wrap,ssrm.v45.inventory_trust.signal.Milo,1,0.664,0.674,0.0,0.0,3,False,True,True
108,7,repair_ring,Pax,cool cloth,ssrm.v45.inventory_trust.repair_ring.Pax,3,0.658,0.66,0.08,0.08,6,True,True,True
110,7,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.676,0.678,0.11,0.11,6,True,True,True
112,7,signal,Kesh,wind wrap,ssrm.v45.inventory_trust.signal.Kesh,2,0.7,0.71,0.0,0.0,6,True,True,True
114,7,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,4,0.66,0.661,0.08,0.08,6,True,True,True
115,7,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,2,0.844,0.854,0.0,0.0,6,True,True,True
116,7,roofward,Fay,shade cloth,ssrm.v45.inventory_trust.roofward.Fay,2,0.63,0.631,0.08,0.08,6,True,True,True
117,7,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,4,0.637,0.638,0.08,0.08,6,True,True,True
118,7,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,2,0.702,0.703,0.0,0.0,6,True,True,True
119,7,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,2,0.704,0.71,0.12,0.13,6,True,True,True
120,7,repair_ring,Pax,cool cloth,ssrm.v45.inventory_trust.repair_ring.Pax,4,0.663,0.665,0.08,0.08,6,True,True,True
122,7,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.678,0.68,0.11,0.11,6,True,True,True
124,7,signal,Kesh,wind wrap,ssrm.v45.inventory_trust.signal.Kesh,2,0.71,0.72,0.0,0.0,6,True,True,True
126,8,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,2,0.625,0.626,0.08,0.08,6,True,True,True
127,8,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.68,0.686,0.11,0.12,7,True,True,True
128,8,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,4,0.67,0.672,0.08,0.08,6,True,True,True
129,8,signal,Ren,wind wrap,ssrm.v45.inventory_trust.signal.Ren,2,0.703,0.713,0.0,0.0,7,True,True,True
130,8,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,3,0.673,0.674,0.14,0.14,6,True,True,True
131,8,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,4,0.665,0.666,0.08,0.08,7,True,True,True
132,8,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,3,0.866,0.876,0.0,0.0,7,True,True,True
134,8,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,4,0.64,0.641,0.08,0.08,7,True,True,True
136,8,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,3,0.712,0.714,0.13,0.13,7,True,True,True
138,8,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,3,0.626,0.627,0.08,0.08,6,True,True,True
139,8,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.686,0.692,0.12,0.13,7,True,True,True
140,8,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,4,0.672,0.674,0.08,0.08,6,True,True,True
141,8,signal,Ren,wind wrap,ssrm.v45.inventory_trust.signal.Ren,2,0.713,0.723,0.0,0.0,7,True,True,True
142,8,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,3,0.674,0.675,0.14,0.14,6,True,True,True
143,8,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,4,0.666,0.668,0.08,0.08,7,True,True,True
144,9,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,2,0.694,0.696,0.13,0.13,8,True,True,True
146,9,signal,Milo,wind wrap,ssrm.v45.inventory_trust.signal.Milo,2,0.698,0.708,0.0,0.0,6,True,True,True
148,9,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,5,0.668,0.669,0.08,0.08,8,True,True,True
149,9,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,3,0.888,0.898,0.0,0.0,8,True,True,True
150,9,roofward,Sera,shade cloth,ssrm.v45.inventory_trust.roofward.Sera,3,0.696,0.697,0.13,0.13,8,True,True,True
151,9,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,4,0.643,0.644,0.08,0.08,8,True,True,True
152,9,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,2,0.735,0.736,0.0,0.0,8,True,True,True
153,9,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,3,0.714,0.716,0.13,0.13,8,True,True,True
154,9,repair_ring,Vale,cool cloth,ssrm.v45.inventory_trust.repair_ring.Vale,6,0.67,0.672,0.08,0.08,6,True,True,True
156,9,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,3,0.699,0.701,0.13,0.13,8,True,True,True
158,9,signal,Milo,wind wrap,ssrm.v45.inventory_trust.signal.Milo,2,0.708,0.718,0.0,0.0,6,True,True,True
160,9,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,6,0.669,0.67,0.08,0.08,8,True,True,True
161,9,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,3,0.91,0.92,0.0,0.0,8,True,True,True
162,10,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,4,0.678,0.68,0.08,0.08,8,True,True,True
163,10,signal,Kesh,wind wrap,ssrm.v45.inventory_trust.signal.Kesh,2,0.744,0.754,0.0,0.0,9,True,True,True
164,10,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,3,0.675,0.676,0.14,0.14,8,True,True,True
165,10,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,6,0.672,0.674,0.08,0.08,9,True,True,True
166,10,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.932,0.942,0.0,0.0,9,True,True,True
168,10,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,5,0.644,0.645,0.08,0.08,9,True,True,True
170,10,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,3,0.716,0.722,0.13,0.14,9,True,True,True
172,10,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,4,0.627,0.628,0.08,0.08,8,True,True,True
173,10,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,3,0.701,0.703,0.13,0.13,9,True,True,True
174,10,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,5,0.68,0.682,0.08,0.08,8,True,True,True
175,10,signal,Kesh,wind wrap,ssrm.v45.inventory_trust.signal.Kesh,2,0.754,0.764,0.0,0.0,9,True,True,True
176,10,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,3,0.686,0.688,0.152,0.152,8,True,True,True
177,10,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,6,0.676,0.677,0.08,0.08,9,True,True,True
178,10,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.954,0.964,0.0,0.0,9,True,True,True
180,11,signal,Ren,wind wrap,ssrm.v45.inventory_trust.signal.Ren,2,0.748,0.758,0.0,0.0,10,True,True,True
182,11,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,6,0.677,0.678,0.08,0.08,10,True,True,True
183,11,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.976,0.98,0.0,0.0,10,True,True,True
184,11,roofward,Orr,shade cloth,ssrm.v45.inventory_trust.roofward.Orr,4,0.707,0.708,0.14,0.14,6,True,True,True
185,11,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,5,0.645,0.646,0.08,0.08,10,True,True,True
186,11,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,3,0.758,0.759,0.0,0.0,10,True,True,True
187,11,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,3,0.724,0.726,0.14,0.14,10,True,True,True
188,11,repair_ring,Juno,cool cloth,ssrm.v45.inventory_trust.repair_ring.Juno,6,0.638,0.64,0.08,0.08,6,True,True,True
190,11,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,4,0.703,0.709,0.13,0.14,10,True,True,True
192,11,signal,Ren,wind wrap,ssrm.v45.inventory_trust.signal.Ren,3,0.759,0.769,0.0,0.0,10,True,True,True
194,11,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,6,0.678,0.679,0.08,0.08,10,True,True,True
195,11,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.98,0.98,0.0,0.0,10,True,True,True
196,11,roofward,Orr,shade cloth,ssrm.v45.inventory_trust.roofward.Orr,4,0.718,0.719,0.152,0.152,6,True,True,True
197,11,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,6,0.648,0.649,0.08,0.08,10,True,True,True
198,12,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,3,0.688,0.69,0.152,0.152,10,True,True,True
199,12,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,6,0.679,0.68,0.08,0.08,11,True,True,True
200,12,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.98,0.98,0.0,0.0,11,True,True,True
202,12,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,7,0.649,0.65,0.08,0.08,11,True,True,True
204,12,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,4,0.726,0.728,0.14,0.14,11,True,True,True
206,12,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,4,0.628,0.629,0.08,0.08,10,True,True,True
207,12,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,4,0.711,0.713,0.14,0.14,11,True,True,True
208,12,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,7,0.684,0.686,0.08,0.08,10,True,True,True
209,12,signal,Milo,wind wrap,ssrm.v45.inventory_trust.signal.Milo,3,0.742,0.752,0.0,0.0,9,True,True,True
210,12,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,4,0.69,0.691,0.152,0.152,10,True,True,True
211,12,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,6,0.68,0.681,0.08,0.08,11,True,True,True
212,12,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.98,0.98,0.0,0.0,11,True,True,True
214,12,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,7,0.65,0.651,0.08,0.08,11,True,True,True
216,13,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,6,0.681,0.682,0.08,0.08,12,True,True,True
217,13,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.98,0.98,0.0,0.0,12,True,True,True
218,13,roofward,Fay,shade cloth,ssrm.v45.inventory_trust.roofward.Fay,4,0.635,0.636,0.08,0.08,12,True,True,True
219,13,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,7,0.651,0.652,0.08,0.08,12,True,True,True
220,13,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,4,0.781,0.783,0.0,0.0,12,True,True,True
221,13,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,4,0.728,0.734,0.14,0.15,12,True,True,True
222,13,repair_ring,Pax,cool cloth,ssrm.v45.inventory_trust.repair_ring.Pax,7,0.684,0.686,0.08,0.08,12,True,True,True
224,13,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,4,0.713,0.715,0.14,0.14,12,True,True,True
226,13,signal,Kesh,wind wrap,ssrm.v45.inventory_trust.signal.Kesh,4,0.788,0.798,0.0,0.0,12,True,True,True
228,13,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,8,0.686,0.687,0.08,0.08,12,True,True,True
229,13,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.98,0.98,0.0,0.0,12,True,True,True
230,13,roofward,Fay,shade cloth,ssrm.v45.inventory_trust.roofward.Fay,4,0.638,0.639,0.08,0.08,12,True,True,True
231,13,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,7,0.652,0.654,0.08,0.08,12,True,True,True
232,13,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,4,0.783,0.784,0.0,0.0,12,True,True,True
233,13,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,4,0.734,0.74,0.15,0.16,12,True,True,True
234,14,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,4,0.98,0.98,0.0,0.0,13,True,True,True
236,14,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,7,0.654,0.655,0.08,0.08,13,True,True,True
238,14,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,5,0.742,0.744,0.16,0.16,13,True,True,True
240,14,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,5,0.629,0.63,0.08,0.08,12,True,True,True
241,14,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,4,0.715,0.721,0.14,0.15,13,True,True,True
242,14,archive,Vell,memory tag,ssrm.v45.inventory_trust.archive.Vell,7,0.686,0.688,0.08,0.08,12,True,True,True
243,14,signal,Ren,wind wrap,ssrm.v45.inventory_trust.signal.Ren,4,0.784,0.794,0.0,0.0,13,True,True,True
244,14,orchard,Ivo,seed satchel,ssrm.v45.inventory_trust.orchard.Ivo,5,0.711,0.712,0.176,0.176,12,True,True,True
245,14,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,8,0.687,0.688,0.08,0.08,13,True,True,True
246,14,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,5,0.98,0.98,0.0,0.0,13,True,True,True
248,14,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,7,0.657,0.658,0.08,0.08,13,True,True,True
250,14,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,5,0.746,0.748,0.16,0.16,13,True,True,True
252,15,roofward,Sera,shade cloth,ssrm.v45.inventory_trust.roofward.Sera,4,0.721,0.722,0.15,0.15,14,True,True,True
253,15,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,7,0.658,0.66,0.08,0.08,14,True,True,True
254,15,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,4,0.794,0.795,0.0,0.0,14,True,True,True
255,15,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,5,0.748,0.75,0.16,0.16,14,True,True,True
256,15,repair_ring,Vale,cool cloth,ssrm.v45.inventory_trust.repair_ring.Vale,9,0.676,0.678,0.08,0.08,12,True,True,True
258,15,roofward,Sera,herb ledger,ssrm.v45.inventory_trust.roofward.Sera,5,0.724,0.726,0.15,0.15,14,True,True,True
260,15,signal,Milo,wind wrap,ssrm.v45.inventory_trust.signal.Milo,4,0.764,0.774,0.0,0.0,12,True,True,True
262,15,repair_ring,Pax,copper wire,ssrm.v45.inventory_trust.repair_ring.Pax,9,0.688,0.689,0.08,0.08,14,True,True,True
263,15,riverbend,Cee,binding cord,ssrm.v45.inventory_trust.riverbend.Cee,5,0.98,0.98,0.0,0.0,14,True,True,True
264,15,roofward,Sera,shade cloth,ssrm.v45.inventory_trust.roofward.Sera,5,0.726,0.727,0.15,0.15,14,True,True,True
265,15,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,8,0.66,0.661,0.08,0.08,14,True,True,True
266,15,signal,Ren,oil lantern,ssrm.v45.inventory_trust.signal.Ren,4,0.807,0.808,0.0,0.0,14,True,True,True
267,15,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,5,0.75,0.752,0.16,0.16,14,True,True,True
268,15,repair_ring,Vale,cool cloth,ssrm.v45.inventory_trust.repair_ring.Vale,9,0.68,0.682,0.08,0.08,12,True,True,True
270,16,archive,Nia,signal spool,ssrm.v45.inventory_trust.archive.Nia,8,0.661,0.662,0.08,0.08,15,True,True,True
272,16,orchard,Pim,dry cord,ssrm.v45.inventory_trust.orchard.Pim,5,0.752,0.758,0.16,0.17,15,True,True,True
274,16,riverbend,Ari,cedar plank,ssrm.v45.inventory_trust.riverbend.Ari,6,0.63,0.631,0.08,0.08,14,True,True,True
