tick_id,day,route_id,animation_controls_panel,merge_buttons_panel,snapshot_import_panel,delayed_followup_panel,localstorage_state_panel,avatar_control_surface,save_restore_key,replay_key,visible_boundary_notice
21,2,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0021,True
22,2,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0022,True
23,2,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0023,True
24,3,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0024,True
25,3,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0025,True
26,3,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0026,True
27,3,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0027,True
28,3,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0028,True
29,3,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0029,True
30,3,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0030,True
31,3,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0031,True
32,3,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0032,True
33,3,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0033,True
34,3,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0034,True
35,3,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0035,True
36,4,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0036,True
37,4,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0037,True
38,4,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0038,True
39,4,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0039,True
40,4,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0040,True
41,4,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0041,True
42,4,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0042,True
43,4,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0043,True
44,4,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0044,True
45,4,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0045,True
46,4,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0046,True
47,4,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0047,True
48,5,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0048,True
49,5,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0049,True
50,5,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0050,True
51,5,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0051,True
52,5,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0052,True
53,5,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0053,True
54,5,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0054,True
55,5,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0055,True
56,5,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0056,True
57,5,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0057,True
58,5,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0058,True
59,5,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0059,True
60,6,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0060,True
61,6,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0061,True
62,6,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0062,True
63,6,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0063,True
64,6,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0064,True
65,6,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0065,True
66,6,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0066,True
67,6,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0067,True
68,6,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0068,True
69,6,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0069,True
70,6,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0070,True
71,6,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0071,True
72,7,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0072,True
73,7,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0073,True
74,7,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0074,True
75,7,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0075,True
76,7,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0076,True
77,7,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0077,True
78,7,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0078,True
79,7,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0079,True
80,7,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0080,True
81,7,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0081,True
82,7,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0082,True
83,7,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0083,True
84,8,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0084,True
85,8,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0085,True
86,8,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0086,True
87,8,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0087,True
88,8,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0088,True
89,8,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0089,True
90,8,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0090,True
91,8,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0091,True
92,8,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0092,True
93,8,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0093,True
94,8,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0094,True
95,8,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0095,True
96,9,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0096,True
97,9,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0097,True
98,9,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0098,True
99,9,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0099,True
100,9,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0100,True
101,9,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0101,True
102,9,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0102,True
103,9,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0103,True
104,9,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0104,True
105,9,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0105,True
106,9,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0106,True
107,9,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0107,True
108,10,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0108,True
109,10,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0109,True
110,10,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0110,True
111,10,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0111,True
112,10,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0112,True
113,10,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0113,True
114,10,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0114,True
115,10,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0115,True
116,10,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0116,True
117,10,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0117,True
118,10,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0118,True
119,10,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0119,True
120,11,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0120,True
121,11,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0121,True
122,11,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0122,True
123,11,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0123,True
124,11,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0124,True
125,11,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0125,True
126,11,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0126,True
127,11,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0127,True
128,11,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0128,True
129,11,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0129,True
130,11,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0130,True
131,11,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0131,True
132,12,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0132,True
133,12,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0133,True
134,12,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0134,True
135,12,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0135,True
136,12,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0136,True
137,12,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0137,True
138,12,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0138,True
139,12,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0139,True
140,12,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0140,True
141,12,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0141,True
142,12,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0142,True
143,12,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0143,True
144,13,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0144,True
145,13,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0145,True
146,13,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0146,True
147,13,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0147,True
148,13,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0148,True
149,13,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0149,True
150,13,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0150,True
151,13,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0151,True
152,13,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0152,True
153,13,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0153,True
154,13,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0154,True
155,13,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0155,True
156,14,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0156,True
157,14,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0157,True
158,14,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0158,True
159,14,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0159,True
160,14,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0160,True
161,14,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0161,True
162,14,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0162,True
163,14,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0163,True
164,14,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0164,True
165,14,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0165,True
166,14,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0166,True
167,14,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0167,True
168,15,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0168,True
169,15,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0169,True
170,15,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0170,True
171,15,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0171,True
172,15,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0172,True
173,15,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0173,True
174,15,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0174,True
175,15,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0175,True
176,15,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0176,True
177,15,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0177,True
178,15,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0178,True
179,15,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0179,True
180,16,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0180,True
181,16,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0181,True
182,16,orchard_riverbend,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.orchard_riverbend,ssrm.v34.replay.0182,True
183,16,central_repair_ring,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.central_repair_ring,ssrm.v34.replay.0183,True
184,16,riverbend_roofward,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.riverbend_roofward,ssrm.v34.replay.0184,True
185,16,roofward_archive,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.roofward_archive,ssrm.v34.replay.0185,True
186,16,archive_signal,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.archive_signal,ssrm.v34.replay.0186,True
187,16,signal_orchard,True,True,True,True,True,clickable browser controls with paste/import snapshot box,ssrm.v34.route.signal_orchard,ssrm.v34.replay.0187,True
