tick,day,lineage,agent,schedule_before,autonomous_action,schedule_after,work_progress,delay_minutes,care_pause_minutes,avatar_required,schedule_hash
1,1,Hearthline,Sova,Sova morning: warm cups and public archive,work_project,work_project complete; progress=0.24; avatar_required=false,0.238,1,0,False,17c05e6d4a6ecf17
131,10,Routeline,Keth,Keth midday: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.56; avatar_required=false,0.564,4,0,False,b8566e663e8a7af9
132,10,Marketline,Melo,Melo midday: market weights and fair exchange,weather_watch,weather_watch complete; progress=0.43; avatar_required=false,0.431,4,0,False,8d78314529377a02
133,10,Ledgerline,Nari,Nari midday: public ledger and sealed memory,archive_update,archive_update complete; progress=0.71; avatar_required=false,0.712,1,0,False,4fa1daf53387ec46
134,10,Orchardline,Ori,Ori midday: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.62; avatar_required=false,0.624,2,0,False,00c330f633d3f1aa
135,10,Rainline,Vonn,Vonn midday: weather bell and wet route warning,archive_update,archive_update complete; progress=0.68; avatar_required=false,0.68,2,0,False,0b4ddfd7049ce55c
136,10,Hearthline,Sova,Sova evening: warm cups and public archive,work_project,work_project complete; progress=0.56; avatar_required=false,0.562,1,0,False,36364e73a5bbf6be
137,10,Routeline,Keth,Keth evening: route repair and boundary marks,work_project,work_project complete; progress=0.58; avatar_required=false,0.582,2,0,False,97c4794d54cb012a
138,10,Marketline,Melo,Melo evening: market weights and fair exchange,agent_checkin,agent_checkin complete; progress=0.44; avatar_required=false,0.44,2,0,False,9cb793874c0ca2cf
139,10,Ledgerline,Nari,Nari evening: public ledger and sealed memory,maintain_tool,maintain_tool complete; progress=0.73; avatar_required=false,0.73,1,0,False,4a0901d675451afa
140,10,Orchardline,Ori,Ori evening: terrace water and care pauses,share_resource,share_resource complete; progress=0.63; avatar_required=false,0.633,1,0,False,11108f1d31bf7277
141,11,Hearthline,Sova,Sova morning: warm cups and public archive,boundary_review,boundary_review complete; progress=0.57; avatar_required=false,0.571,4,0,False,bc9b65f17ca7d8a4
142,11,Routeline,Keth,Keth morning: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.59; avatar_required=false,0.591,4,0,False,08c6361edfb78a05
143,11,Marketline,Melo,Melo morning: market weights and fair exchange,weather_watch,weather_watch complete; progress=0.45; avatar_required=false,0.449,4,0,False,75200e7ae58fb148
144,11,Ledgerline,Nari,Nari morning: public ledger and sealed memory,archive_update,archive_update complete; progress=0.75; avatar_required=false,0.748,2,0,False,4e3b9062a5b08d5b
145,11,Orchardline,Ori,Ori midday: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.65; avatar_required=false,0.651,1,0,False,1245df9be957f2e3
146,11,Rainline,Vonn,Vonn midday: weather bell and wet route warning,archive_update,archive_update complete; progress=0.70; avatar_required=false,0.698,1,0,False,c564bed19439ea3f
147,11,Hearthline,Sova,Sova midday: warm cups and public archive,work_project,work_project complete; progress=0.59; avatar_required=false,0.589,2,0,False,ce54ae9963b9bf2f
148,11,Routeline,Keth,Keth midday: route repair and boundary marks,work_project,work_project complete; progress=0.61; avatar_required=false,0.609,2,0,False,7619f2fa96fe23df
149,11,Marketline,Melo,Melo midday: market weights and fair exchange,agent_checkin,agent_checkin complete; progress=0.46; avatar_required=false,0.458,1,0,False,f323da560c00ee41
150,11,Ledgerline,Nari,Nari evening: public ledger and sealed memory,maintain_tool,maintain_tool complete; progress=0.77; avatar_required=false,0.766,2,0,False,208b135965e2e171
151,11,Orchardline,Ori,Ori evening: terrace water and care pauses,share_resource,share_resource complete; progress=0.66; avatar_required=false,0.66,2,0,False,b00a0edf96d97ae5
152,11,Rainline,Vonn,Vonn evening: weather bell and wet route warning,maintain_tool,maintain_tool complete; progress=0.72; avatar_required=false,0.716,1,0,False,98bc0e46c1ba329f
153,11,Hearthline,Sova,Sova evening: warm cups and public archive,boundary_review,boundary_review complete; progress=0.60; avatar_required=false,0.598,4,0,False,b6c8f9b44f8ceb60
154,11,Routeline,Keth,Keth evening: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.62; avatar_required=false,0.618,4,0,False,5878a2887bd10eee
155,12,Ledgerline,Nari,Nari morning: public ledger and sealed memory,archive_update,archive_update complete; progress=0.78; avatar_required=false,0.784,1,0,False,54ddc6373373b993
156,12,Orchardline,Ori,Ori morning: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.68; avatar_required=false,0.678,2,0,False,1f0eef8ef74dfe90
157,12,Rainline,Vonn,Vonn morning: weather bell and wet route warning,archive_update,archive_update complete; progress=0.73; avatar_required=false,0.734,2,0,False,d60110940d937d5e
158,12,Hearthline,Sova,Sova morning: warm cups and public archive,work_project,work_project complete; progress=0.62; avatar_required=false,0.616,1,0,False,2c53e46dffa026a2
159,12,Routeline,Keth,Keth midday: route repair and boundary marks,work_project,work_project complete; progress=0.64; avatar_required=false,0.636,1,0,False,1c169b89fb2f2b95
160,12,Marketline,Melo,Melo midday: market weights and fair exchange,agent_checkin,agent_checkin complete; progress=0.47; avatar_required=false,0.467,2,0,False,0db7ebdbde965570
161,12,Ledgerline,Nari,Nari midday: public ledger and sealed memory,maintain_tool,maintain_tool complete; progress=0.80; avatar_required=false,0.802,2,0,False,291bd173496db68b
162,12,Orchardline,Ori,Ori midday: terrace water and care pauses,share_resource,share_resource complete; progress=0.69; avatar_required=false,0.687,1,0,False,62dc3e459853d1c3
163,12,Rainline,Vonn,Vonn midday: weather bell and wet route warning,maintain_tool,maintain_tool complete; progress=0.75; avatar_required=false,0.752,2,0,False,50c65f158b525a96
164,12,Hearthline,Sova,Sova evening: warm cups and public archive,boundary_review,boundary_review complete; progress=0.63; avatar_required=false,0.625,4,0,False,2139874b3f5435f1
165,12,Routeline,Keth,Keth evening: route repair and boundary marks,boundary_review,boundary_review complete; progress=0.65; avatar_required=false,0.645,4,0,False,d69400e539c8adf4
166,12,Marketline,Melo,Melo evening: market weights and fair exchange,weather_watch,weather_watch complete; progress=0.48; avatar_required=false,0.476,4,0,False,ae22df385dbeb315
167,12,Ledgerline,Nari,Nari evening: public ledger and sealed memory,archive_update,archive_update complete; progress=0.82; avatar_required=false,0.82,2,0,False,52910d35e0356d35
168,12,Orchardline,Ori,Ori evening: terrace water and care pauses,route_patrol,route_patrol complete; progress=0.71; avatar_required=false,0.705,2,0,False,50ef5f648db6bbe6
169,13,Hearthline,Sova,Sova morning: warm cups and public archive,work_project,work_project complete; progress=0.64; avatar_required=false,0.643,2,0,False,5cb436c8f4f6211d
170,13,Routeline,Keth,Keth morning: route repair and boundary marks,work_project,work_project complete; progress=0.66; avatar_required=false,0.663,2,0,False,f4afd81979993e2e
171,13,Marketline,Melo,Melo morning: market weights and fair exchange,agent_checkin,agent_checkin complete; progress=0.49; avatar_required=false,0.485,1,0,False,384fd57aabd2f124
172,13,Ledgerline,Nari,Nari morning: public ledger and sealed memory,maintain_tool,maintain_tool complete; progress=0.84; avatar_required=false,0.838,1,0,False,e319996915583bdf
