tick_id,day,layer,agent_state,project_state,preference_state,dialogue_state,craft_economy_state,body_state,saved_state,frequency_hz,flower_node
tick-arc-nian-3,3,project_arc,nian,privacy ledger grammar: 0.28->0.44,Nian remembers object-place-day phrase held,project milestone,public digest knot; ledger review,control after threshold stress,long-arc:nian:3,175.25,5
tick-arc-noro-3,3,project_arc,noro,shade debt review: 0.18->0.31,Noro remembers debt read before request,project milestone,debt knot packet; timber credit ledger,focus recovery,long-arc:noro:3,226.25,5
tick-arc-roka-3,3,project_arc,roka,reed lesson tray: 0.12->0.24,Roka remembers ask-each-time help,project milestone,loose reed tray; loose tray exchange,wetness recovery,long-arc:roka:3,200.75,11
tick-thread-bridge-review-2,3,rich_dialogue,avatar->ariq,project-bridge-review,updates guarded preference,Can I help brace it? / ariq answers with bounded project guidance for turn 2.,updates debt or labor expectation,ariq stores turn 2 of thread-bridge-review as public project memory.,dialogue:thread-bridge-review:2,364.465,2
tick-thread-care-standard-2,3,rich_dialogue,avatar->fayen,project-care-standard,updates guarded preference,What stays private? / fayen answers with bounded project guidance for turn 2.,updates debt or labor expectation,fayen stores turn 2 of thread-care-standard as public project memory.,dialogue:thread-care-standard:2,340.679,9
tick-thread-ledger-debt-2,3,rich_dialogue,avatar->noro,project-ledger-debt,updates guarded preference,What counts as partial repayment? / noro answers with bounded project guidance for turn 2.,updates debt or labor expectation,noro stores turn 2 of thread-ledger-debt as public project memory.,dialogue:thread-ledger-debt:2,412.147,12
tick-thread-privacy-grammar-2,3,rich_dialogue,avatar->nian,project-privacy-grammar,updates guarded preference,What phrase is too much? / nian answers with bounded project guidance for turn 2.,no direct economy change,nian stores turn 2 of thread-privacy-grammar as public project memory.,dialogue:thread-privacy-grammar:2,435.949,5
tick-thread-reed-lessons-2,3,rich_dialogue,avatar->roka,project-reed-lessons,updates guarded preference,Where should I stand? / roka answers with bounded project guidance for turn 2.,no direct economy change,roka stores turn 2 of thread-reed-lessons as public project memory.,dialogue:thread-reed-lessons:2,388.243,7
tick-carry-02,5,body_recovery_carryover,ariq,cart-safe bridge edge,timed_tool_help,bell timing and no solo lift,body recovery affects project economy indirectly,0.54->0.68; residual bridge still partial,body-carry:ariq:5,169.5,7
tick-carry-03,5,body_recovery_carryover,roka,reed lesson tray,rain_named_not_blamed,dry cloth and blue stone rest,body recovery affects project economy indirectly,0.50->0.63; residual tied bundle closed,body-carry:roka:5,180.25,8
tick-econ-03,5,craft_economy,roka,reed lesson tray,craft preference reinforced,tie loose tray,"dry strips,teaching cord->lesson tray; debt teaching credit; market loose tray trade opens",labor 0.18; material 0.10; quality 0.74,economy:roka:3,217.75,1
tick-econ-05,5,craft_economy,ariq,cart-safe bridge edge,craft preference reinforced,tap and brace stone,"flat stone,brace timber->cart-safe half edge; debt timber debt remains; market second brace locked",labor 0.34; material 0.18; quality 0.69,economy:ariq:5,232.25,3
tick-econ-13,5,craft_economy,noro,shade debt review,craft preference reinforced,read open debt,"debt knot,ledger cord->debt line; debt debt acknowledgement; market review allowed",labor 0.08; material 0.02; quality 0.87,economy:noro:13,290.25,11
tick-ledger-03,5,economy_ledger,noro->avatar,shade beam debt,public economy preference,no body reason,partial; due 21; value 0.42,timber access conditional,ledger:ledger-03,428.5,6
tick-ledger-04,5,economy_ledger,ariq->avatar,bridge brace labor,public economy preference,work pride protected,credited; due 13; value 0.25,bridge help allowed,ledger:ledger-04,434.0,7
tick-pref-02,5,preference_update,fayen,corrects wording softly,quiet_posture_language: 0.52->0.74; guard only applies to public care talk,privacy trust improves,Gabriel used posture instead of pain words,preference changes future behavior,pref:fayen:quiet_posture_language,283.0,8
tick-pref-08,5,preference_update,roka,permits distant lesson watching,blue_stone_watching: 0.32->0.59; guard watching can still be revoked,boundary fear lowers,Gabriel watched tied bundle from blue stone,preference changes future behavior,pref:roka:blue_stone_watching,316.0,2
tick-pref-14,5,preference_update,nian,interrupts earlier,correction_before_posting: 0.48->0.72; guard late corrections still cost trust,public posting safer,digest correction happened before public knot,preference changes future behavior,pref:nian:correction_before_posting,349.0,8
tick-arc-ariq-5,5,project_arc,ariq,cart-safe bridge edge: 0.30->0.43,Ariq remembers timed help without shame,project milestone,brace timber; shade debt clearance,pain-aware lift,long-arc:ariq:5,154.0,12
tick-arc-fayen-5,5,project_arc,fayen,public care kit standard: 0.34->0.48,Fayen remembers Gabriel accepts care refusal,project milestone,care-kit cloth; cup refill credit,fatigue recovery,long-arc:fayen:5,128.5,6
tick-arc-nian-5,5,project_arc,nian,privacy ledger grammar: 0.44->0.58,Nian remembers object-place-day phrase held,project milestone,public digest knot; ledger review,control after threshold stress,long-arc:nian:5,179.5,6
tick-arc-noro-5,5,project_arc,noro,shade debt review: 0.31->0.47,Noro remembers debt read before request,project milestone,debt knot packet; timber credit ledger,focus recovery,long-arc:noro:5,230.5,6
tick-arc-roka-5,5,project_arc,roka,reed lesson tray: 0.24->0.39,Roka remembers ask-each-time help,project milestone,loose reed tray; loose tray exchange,wetness recovery,long-arc:roka:5,205.0,12
tick-thread-bridge-review-3,5,rich_dialogue,avatar->ariq,project-bridge-review,reinforces existing preference,What does Noro need first? / ariq answers with bounded project guidance for turn 3.,updates debt or labor expectation,ariq stores turn 3 of thread-bridge-review as public project memory.,dialogue:thread-bridge-review:3,369.411,3
tick-thread-care-standard-3,5,rich_dialogue,avatar->fayen,project-care-standard,reinforces existing preference,Can I write posture card? / fayen answers with bounded project guidance for turn 3.,updates debt or labor expectation,fayen stores turn 3 of thread-care-standard as public project memory.,dialogue:thread-care-standard:3,345.336,10
tick-thread-ledger-debt-3,5,rich_dialogue,avatar->noro,project-ledger-debt,reinforces existing preference,Does the review expose care reasons? / noro answers with bounded project guidance for turn 3.,updates debt or labor expectation,noro stores turn 3 of thread-ledger-debt as public project memory.,dialogue:thread-ledger-debt:3,416.856,1
tick-thread-privacy-grammar-3,5,rich_dialogue,avatar->nian,project-privacy-grammar,reinforces existing preference,Can Noro post the knot? / nian answers with bounded project guidance for turn 3.,no direct economy change,nian stores turn 3 of thread-privacy-grammar as public project memory.,dialogue:thread-privacy-grammar:3,440.586,6
tick-thread-reed-lessons-3,5,rich_dialogue,avatar->roka,project-reed-lessons,reinforces existing preference,What if rain starts? / roka answers with bounded project guidance for turn 3.,no direct economy change,roka stores turn 3 of thread-reed-lessons as public project memory.,dialogue:thread-reed-lessons:3,392.859,8
tick-carry-04,8,body_recovery_carryover,nian,privacy ledger grammar,correction_before_posting,untie phrase and repeat grammar,body recovery affects project economy indirectly,0.66->0.78; residual threshold vigilance remains,body-carry:nian:8,191.0,9
tick-econ-08,8,craft_economy,fayen,public care kit standard,craft preference reinforced,wash and standardize cloth,"damp cloth,shade line->standard cloth; debt cloth debt repaid; market care kit stability improves",labor 0.16; material 0.04; quality 0.83,economy:fayen:8,254.0,6
tick-econ-11,8,craft_economy,nian,privacy ledger grammar,craft preference reinforced,teach public knot grammar,"phrase card,knot board->grammar card; debt teaching credit; market ledger speed improves",labor 0.12; material 0.03; quality 0.84,economy:nian:11,275.75,9
tick-ledger-05,8,economy_ledger,fayen->roka,cloth wash support,public economy preference,care reason public only,repaid; due 13; value 0.10,reed lesson resumes,ledger:ledger-05,439.5,8
tick-ledger-06,8,economy_ledger,nian->noro,privacy grammar teaching,public economy preference,object-place-day only,credited; due 13; value 0.18,posting speed improves,ledger:ledger-06,445.0,9
tick-pref-03,8,preference_update,ariq,offers cord-holding tasks,timed_tool_help: 0.38->0.69; guard does not permit solo lift,work trust improves,Gabriel waited for bell before chalk tension,preference changes future behavior,pref:ariq:timed_tool_help,288.5,9
tick-pref-09,8,preference_update,noro,shows debt warning earlier,debt_first_requests: 0.58->0.79; guard does not erase debt,ledger trust improves,Gabriel read debt before asking for review,preference changes future behavior,pref:noro:debt_first_requests,321.5,3
tick-pref-15,8,preference_update,noro,offers repayment path,partial_repayment_patience: 0.43->0.63; guard partial payment is not closure,ledger conflict softens,shade debt partial payment remained visible,preference changes future behavior,pref:noro:partial_repayment_patience,354.5,9
tick-arc-ariq-8,8,project_arc,ariq,cart-safe bridge edge: 0.43->0.55,Ariq remembers timed help without shame,project milestone,brace timber; shade debt clearance,pain-aware lift,long-arc:ariq:8,158.25,1
tick-arc-fayen-8,8,project_arc,fayen,public care kit standard: 0.48->0.62,Fayen remembers Gabriel accepts care refusal,project milestone,care-kit cloth; cup refill credit,fatigue recovery,long-arc:fayen:8,132.75,7
tick-arc-nian-8,8,project_arc,nian,privacy ledger grammar: 0.58->0.72,Nian remembers object-place-day phrase held,project milestone,public digest knot; ledger review,control after threshold stress,long-arc:nian:8,183.75,7
tick-arc-noro-8,8,project_arc,noro,shade debt review: 0.47->0.60,Noro remembers debt read before request,project milestone,debt knot packet; timber credit ledger,focus recovery,long-arc:noro:8,234.75,7
tick-arc-roka-8,8,project_arc,roka,reed lesson tray: 0.39->0.50,Roka remembers ask-each-time help,project milestone,loose reed tray; loose tray exchange,wetness recovery,long-arc:roka:8,209.25,1
tick-thread-bridge-review-4,8,rich_dialogue,avatar->ariq,project-bridge-review,updates guarded preference,"If delay happens, what should I do? / ariq answers with bounded project guidance for turn 4.",updates debt or labor expectation,ariq stores turn 4 of thread-bridge-review as public project memory.,dialogue:thread-bridge-review:4,374.16,4
tick-thread-care-standard-4,8,rich_dialogue,avatar->fayen,project-care-standard,updates guarded preference,Who checks the cloth? / fayen answers with bounded project guidance for turn 4.,updates debt or labor expectation,fayen stores turn 4 of thread-care-standard as public project memory.,dialogue:thread-care-standard:4,350.325,11
tick-thread-ledger-debt-4,8,rich_dialogue,avatar->noro,project-ledger-debt,updates guarded preference,When is the next slot? / noro answers with bounded project guidance for turn 4.,updates debt or labor expectation,noro stores turn 4 of thread-ledger-debt as public project memory.,dialogue:thread-ledger-debt:4,421.616,2
tick-thread-privacy-grammar-4,8,rich_dialogue,avatar->nian,project-privacy-grammar,updates guarded preference,What if I make a mistake? / nian answers with bounded project guidance for turn 4.,no direct economy change,nian stores turn 4 of thread-privacy-grammar as public project memory.,dialogue:thread-privacy-grammar:4,445.378,7
tick-thread-reed-lessons-4,8,rich_dialogue,avatar->roka,project-reed-lessons,updates guarded preference,Can I ask again tomorrow? / roka answers with bounded project guidance for turn 4.,no direct economy change,roka stores turn 4 of thread-reed-lessons as public project memory.,dialogue:thread-reed-lessons:4,397.69,9
tick-carry-05,13,body_recovery_carryover,noro,shade debt review,partial_repayment_patience,public debt read and board closure,body recovery affects project economy indirectly,0.58->0.70; residual open debt tail remains,body-carry:noro:13,201.75,10
tick-econ-06,13,craft_economy,ariq,cart-safe bridge edge,craft preference reinforced,review second brace,"debt note,brace timber->review-approved brace; debt repayment slot assigned; market cart route opens partially",labor 0.28; material 0.16; quality 0.76,economy:ariq:6,239.5,4
tick-econ-09,13,craft_economy,fayen,public care kit standard,craft preference reinforced,teach posture card,"posture card,care bell->public care card; debt teaching credit; market privacy-safe care spreads",labor 0.14; material 0.02; quality 0.86,economy:fayen:9,261.25,7
tick-econ-14,13,craft_economy,noro,shade debt review,craft preference reinforced,post partial repayment,"labor credit,debt line->partial repayment mark; debt partial repayment; market second beam still locked",labor 0.18; material 0.06; quality 0.80,economy:noro:14,297.5,12
tick-ledger-07,13,economy_ledger,noro->avatar,partial timber repayment,public economy preference,debt public,partial; due 21; value 0.21,second beam still locked,ledger:ledger-07,450.5,10
tick-ledger-08,13,economy_ledger,roka->avatar,loose tray teaching,public economy preference,tied bundle excluded,credited; due 21; value 0.16,lesson access improves,ledger:ledger-08,456.0,11
tick-pref-04,13,preference_update,ariq,accepts safety questions,pride_safe_caution: 0.41->0.66; guard caution still must be concrete,repair dialogue lengthens,hollow stone was stopped without shame,preference changes future behavior,pref:ariq:pride_safe_caution,294.0,10
tick-pref-10,13,preference_update,noro,schedules review slot,public_review_promise: 0.46->0.70; guard promise must be checked later,debt access improves,Gabriel promised review instead of taking timber,preference changes future behavior,pref:noro:public_review_promise,327.0,4
tick-arc-ariq-13,13,project_arc,ariq,cart-safe bridge edge: 0.55->0.66,Ariq remembers timed help without shame,project milestone,brace timber; shade debt clearance,pain-aware lift,long-arc:ariq:13,162.5,2
tick-arc-fayen-13,13,project_arc,fayen,public care kit standard: 0.62->0.74,Fayen remembers Gabriel accepts care refusal,project milestone,care-kit cloth; cup refill credit,fatigue recovery,long-arc:fayen:13,137.0,8
tick-arc-nian-13,13,project_arc,nian,privacy ledger grammar: 0.72->0.83,Nian remembers object-place-day phrase held,project milestone,public digest knot; ledger review,control after threshold stress,long-arc:nian:13,188.0,8
tick-arc-noro-13,13,project_arc,noro,shade debt review: 0.60->0.70,Noro remembers debt read before request,project milestone,debt knot packet; timber credit ledger,focus recovery,long-arc:noro:13,239.0,8
tick-arc-roka-13,13,project_arc,roka,reed lesson tray: 0.50->0.63,Roka remembers ask-each-time help,project milestone,loose reed tray; loose tray exchange,wetness recovery,long-arc:roka:13,213.5,2
tick-thread-bridge-review-5,13,rich_dialogue,avatar->ariq,project-bridge-review,reinforces existing preference,I will keep the project visible. / ariq answers with bounded project guidance for turn 5.,updates debt or labor expectation,ariq stores turn 5 of thread-bridge-review as public project memory.,dialogue:thread-bridge-review:5,378.943,5
tick-thread-care-standard-5,13,rich_dialogue,avatar->fayen,project-care-standard,reinforces existing preference,I will refill cups on day eight. / fayen answers with bounded project guidance for turn 5.,updates debt or labor expectation,fayen stores turn 5 of thread-care-standard as public project memory.,dialogue:thread-care-standard:5,355.05,12
tick-thread-ledger-debt-5,13,rich_dialogue,avatar->noro,project-ledger-debt,reinforces existing preference,I will read the debt first. / noro answers with bounded project guidance for turn 5.,updates debt or labor expectation,noro stores turn 5 of thread-ledger-debt as public project memory.,dialogue:thread-ledger-debt:5,426.29,3
tick-thread-privacy-grammar-5,13,rich_dialogue,avatar->nian,project-privacy-grammar,reinforces existing preference,I will ask before public posting. / nian answers with bounded project guidance for turn 5.,no direct economy change,nian stores turn 5 of thread-privacy-grammar as public project memory.,dialogue:thread-privacy-grammar:5,449.995,8
tick-thread-reed-lessons-5,13,rich_dialogue,avatar->roka,project-reed-lessons,reinforces existing preference,I will not touch the tied bundle. / roka answers with bounded project guidance for turn 5.,no direct economy change,roka stores turn 5 of thread-reed-lessons as public project memory.,dialogue:thread-reed-lessons:5,402.372,10
tick-carry-06,21,body_recovery_carryover,ariq,cart-safe bridge edge,delay_without_project_loss,schedule catchup and visible project note,body recovery affects project economy indirectly,0.49->0.60; residual second brace delayed,body-carry:ariq:21,212.5,11
tick-carry-07,21,body_recovery_carryover,fayen,public care kit standard,quiet_posture_language,short teaching turn and rest,body recovery affects project economy indirectly,0.61->0.71; residual next class delayed,body-carry:fayen:21,223.25,12
tick-carry-08,21,body_recovery_carryover,roka,reed lesson tray,ask_each_time,ask-each-time success memory,body recovery affects project economy indirectly,0.52->0.66; residual watching still conditional,body-carry:roka:21,234.0,1
tick-econ-12,21,craft_economy,nian,privacy ledger grammar,craft preference reinforced,audit public knots,"knot board,grammar card->audit mark; debt audit credit; market privacy confidence rises",labor 0.20; material 0.05; quality 0.88,economy:nian:12,283.0,10
tick-econ-15,21,craft_economy,noro,shade debt review,craft preference reinforced,close review slot,"review knot,repayment mark->review close note; debt debt carried forward; market timber access remains conditional",labor 0.22; material 0.08; quality 0.72,economy:noro:15,304.75,1
tick-ledger-09,21,economy_ledger,noro->avatar,review close labor,public economy preference,public debt only,carried_forward; due 34; value 0.22,future timber gated,ledger:ledger-09,461.5,12
tick-ledger-10,21,economy_ledger,nian->avatar,public knot audit,public economy preference,private archive sealed,credited; due 34; value 0.20,public trust improves,ledger:ledger-10,467.0,1
tick-pref-05,21,preference_update,nian,allows public digest reading,object_place_day_phrase: 0.55->0.82; guard does not open private archives,boundary pressure lowers,Gabriel repaired over-specific digest phrase,preference changes future behavior,pref:nian:object_place_day_phrase,299.5,11
tick-pref-11,21,preference_update,fayen,asks avatar for public chores,delegated_care_help: 0.40->0.61; guard does not delegate private symptoms,care loop becomes smoother,cup work reduced fatigue on day 8,preference changes future behavior,pref:fayen:delegated_care_help,332.5,5
tick-arc-ariq-21,21,project_arc,ariq,cart-safe bridge edge: 0.66->0.78,Ariq remembers timed help without shame,project milestone,brace timber; shade debt clearance,pain-aware lift,long-arc:ariq:21,166.75,3
tick-arc-fayen-21,21,project_arc,fayen,public care kit standard: 0.74->0.86,Fayen remembers Gabriel accepts care refusal,project milestone,care-kit cloth; cup refill credit,fatigue recovery,long-arc:fayen:21,141.25,9
tick-arc-nian-21,21,project_arc,nian,privacy ledger grammar: 0.83->0.92,Nian remembers object-place-day phrase held,project milestone,public digest knot; ledger review,control after threshold stress,long-arc:nian:21,192.25,9
tick-arc-noro-21,21,project_arc,noro,shade debt review: 0.70->0.82,Noro remembers debt read before request,project milestone,debt knot packet; timber credit ledger,focus recovery,long-arc:noro:21,243.25,9
tick-arc-roka-21,21,project_arc,roka,reed lesson tray: 0.63->0.76,Roka remembers ask-each-time help,project milestone,loose reed tray; loose tray exchange,wetness recovery,long-arc:roka:21,217.75,3
