tick,day,scene_id,input_mode,avatar_x_before,avatar_y_before,avatar_x_after,avatar_y_after,raw_dx,raw_dy,movement_effort,movement_applied,collision_blocked,collision_feedback_visible,free_move_input_valid
20,2,v22-scene-d02,slow-step,5.841231,3.723703,5.717569,3.618971,-0.123662,-0.104732,0.352287,1,0,1,1
21,2,v22-scene-d02,slow-step,5.717569,3.618971,5.671831,3.457867,-0.045738,-0.161104,0.364067,1,0,1,1
22,2,v22-scene-d02,touch-arc,5.671831,3.457867,5.712536,3.281051,0.040705,-0.176816,0.394436,1,0,1,1
23,2,v22-scene-d02,touch-arc,5.712536,3.281051,5.82855,3.126814,0.116013,-0.154237,0.419561,1,0,1,1
24,2,v22-scene-d02,analog-drift,5.82855,3.126814,6.035698,2.99562,0.207148,-0.131194,0.53304,1,0,1,1
25,2,v22-scene-d02,hold-space,6.035698,2.99562,6.079113,2.985746,0.043415,-0.009874,0.09679,1,0,1,1
26,2,v22-scene-d02,diagonal-stick,6.079113,2.985746,6.28954,3.022013,0.210427,0.036267,0.464194,1,0,1,1
27,2,v22-scene-d02,touch-arc,6.28954,3.022013,6.410584,3.084309,0.121045,0.062296,0.295944,1,0,1,1
28,2,v22-scene-d02,wasd,6.410584,3.084309,6.475037,3.167226,0.064453,0.082918,0.228307,1,0,1,1
29,2,v22-scene-d02,touch-arc,6.475037,3.167226,6.481571,3.246029,0.006534,0.078803,0.171898,1,0,1,1
30,2,v22-scene-d02,touch-arc,6.481571,3.246029,6.440026,3.299505,-0.041545,0.053476,0.147213,1,0,1,1
31,2,v22-scene-d02,mouse-drag,6.440026,3.299505,6.322826,3.334248,-0.117199,0.034743,0.265741,1,0,1,1
32,3,v22-scene-d03,slow-step,6.322826,3.334248,6.260994,3.336079,-0.061832,0.001831,0.134477,1,0,1,1
33,3,v22-scene-d03,analog-drift,6.260994,3.336079,6.194151,3.25763,-0.066843,-0.078449,0.224053,1,0,1,1
34,3,v22-scene-d03,mouse-drag,6.194151,3.25763,6.191997,3.138206,-0.002154,-0.119424,0.25966,1,0,1,1
35,3,v22-scene-d03,analog-drift,6.191997,3.138206,6.265029,3.007568,0.073032,-0.130638,0.325362,1,0,1,1
36,3,v22-scene-d03,analog-drift,6.265029,3.007568,6.40928,2.897863,0.144251,-0.109705,0.393973,1,0,1,1
37,3,v22-scene-d03,diagonal-stick,6.40928,2.897863,6.606273,2.837627,0.196993,-0.060236,0.447819,1,0,1,1
38,3,v22-scene-d03,touch-arc,6.606273,2.837627,6.775485,2.844328,0.169212,0.006701,0.368141,1,0,1,1
39,3,v22-scene-d03,wasd,6.775485,2.844328,6.775485,2.844328,0.159885,0.057299,0.509223,0,1,1,1
40,3,v22-scene-d03,analog-drift,6.775485,2.844328,6.775485,2.844328,0.150705,0.14202,0.590172,0,1,1,1
41,3,v22-scene-d03,analog-drift,6.775485,2.844328,6.775485,2.844328,0.068209,0.174238,0.546769,0,1,1,1
42,3,v22-scene-d03,mouse-drag,6.775485,2.844328,6.775485,2.844328,-0.028036,0.166373,0.50678,0,1,1,1
43,3,v22-scene-d03,touch-arc,6.775485,2.844328,6.775485,2.844328,-0.081165,0.08043,0.388406,0,1,1,1
44,3,v22-scene-d03,analog-drift,6.775485,2.844328,6.597068,2.870801,-0.178416,0.026473,0.392108,1,0,1,1
45,3,v22-scene-d03,hold-space,6.597068,2.870801,6.56226,2.853139,-0.034808,-0.017662,0.084854,1,0,1,1
46,3,v22-scene-d03,analog-drift,6.56226,2.853139,6.40522,2.664674,-0.15704,-0.188465,0.533299,1,0,1,1
47,3,v22-scene-d03,wasd,6.40522,2.664674,6.35591,2.44361,-0.04931,-0.221064,0.492385,1,0,1,1
48,4,v22-scene-d04,wasd,6.35591,2.44361,6.474749,2.277229,0.118839,-0.166381,0.444486,1,0,1,1
49,4,v22-scene-d04,diagonal-stick,6.474749,2.277229,6.720954,2.123317,0.246205,-0.153912,0.631205,1,0,1,1
50,4,v22-scene-d04,touch-arc,6.720954,2.123317,6.991988,2.088944,0.271033,-0.034373,0.593922,1,0,1,1
51,4,v22-scene-d04,slow-step,6.991988,2.088944,7.276248,2.158,0.28426,0.069056,0.63593,1,0,1,1
52,4,v22-scene-d04,analog-drift,7.276248,2.158,7.560949,2.354398,0.284701,0.196398,0.751894,1,0,1,1
53,4,v22-scene-d04,wasd,7.560949,2.354398,7.560949,2.354398,0.159135,0.233749,0.754731,0,1,1,1
54,4,v22-scene-d04,diagonal-stick,7.560949,2.354398,7.560949,2.354398,0.046663,0.302141,0.804616,0,1,1,1
55,4,v22-scene-d04,touch-arc,7.560949,2.354398,7.560949,2.354398,-0.066063,0.215026,0.629011,0,1,1,1
56,4,v22-scene-d04,wasd,7.560949,2.354398,7.407312,2.483456,-0.153637,0.129058,0.436195,1,0,1,1
57,4,v22-scene-d04,analog-drift,7.407312,2.483456,7.162341,2.504,-0.244971,0.020544,0.534416,1,0,1,1
58,4,v22-scene-d04,wasd,7.162341,2.504,6.979396,2.396336,-0.182945,-0.107664,0.461466,1,0,1,1
59,4,v22-scene-d04,mouse-drag,6.979396,2.396336,6.823864,2.155126,-0.155532,-0.24121,0.623927,1,0,1,1
60,4,v22-scene-d04,slow-step,6.823864,2.155126,6.800324,1.894243,-0.02354,-0.260883,0.56944,1,0,1,1
61,4,v22-scene-d04,mouse-drag,6.800324,1.894243,6.891441,1.582123,0.091117,-0.312121,0.706845,1,0,1,1
62,4,v22-scene-d04,analog-drift,6.891441,1.582123,7.096602,1.327602,0.205161,-0.254521,0.710679,1,0,1,1
63,4,v22-scene-d04,mouse-drag,7.096602,1.327602,7.375281,1.176185,0.278679,-0.151417,0.689473,1,0,1,1
64,5,v22-scene-d05,touch-arc,7.375281,1.176185,7.615375,1.27591,0.240094,0.099724,0.565175,1,0,1,1
65,5,v22-scene-d05,diagonal-stick,7.615375,1.27591,7.836549,1.482231,0.221175,0.206322,0.657539,1,0,1,1
66,5,v22-scene-d05,touch-arc,7.836549,1.482231,7.944004,1.687561,0.107455,0.20533,0.503798,1,0,1,1
67,5,v22-scene-d05,slow-step,7.944004,1.687561,7.969533,1.88486,0.025529,0.197299,0.432487,1,0,1,1
68,5,v22-scene-d05,touch-arc,7.969533,1.88486,7.927206,2.037328,-0.042327,0.152468,0.343988,1,0,1,1
69,5,v22-scene-d05,touch-arc,7.927206,2.037328,7.843861,2.12052,-0.083345,0.083191,0.255998,1,0,1,1
70,5,v22-scene-d05,touch-arc,7.843861,2.12052,7.751735,2.125835,-0.092126,0.005316,0.200608,1,0,1,1
71,5,v22-scene-d05,slow-step,7.751735,2.125835,7.68104,2.060145,-0.070694,-0.06569,0.20979,1,0,1,1
72,5,v22-scene-d05,wasd,7.68104,2.060145,7.654178,1.942341,-0.026862,-0.117805,0.262671,1,0,1,1
73,5,v22-scene-d05,mouse-drag,7.654178,1.942341,7.673626,1.74897,0.019448,-0.19337,0.422491,1,0,1,1
74,5,v22-scene-d05,slow-step,7.673626,1.74897,7.756812,1.60563,0.083186,-0.14334,0.360282,1,0,1,1
75,5,v22-scene-d05,hold-space,7.756812,1.60563,7.787432,1.577174,0.03062,-0.028456,0.090873,1,0,1,1
76,5,v22-scene-d05,touch-arc,7.787432,1.577174,7.94157,1.50076,0.154137,-0.076414,0.373998,1,0,1,1
77,5,v22-scene-d05,analog-drift,7.94157,1.50076,8.149972,1.481878,0.208402,-0.018883,0.454905,1,0,1,1
78,5,v22-scene-d05,mouse-drag,8.149972,1.481878,8.332341,1.535308,0.182369,0.05343,0.413119,1,0,1,1
79,5,v22-scene-d05,wasd,8.332341,1.535308,8.436242,1.601592,0.103901,0.066284,0.267921,1,0,1,1
80,6,v22-scene-d06,touch-arc,8.436242,1.601592,8.449512,1.753514,0.01327,0.151922,0.331522,1,0,1,1
81,6,v22-scene-d06,mouse-drag,8.449512,1.753514,8.378208,1.91759,-0.071304,0.164076,0.388913,1,0,1,1
82,6,v22-scene-d06,slow-step,8.378208,1.91759,8.304108,1.996433,-0.0741,0.078843,0.235215,1,0,1,1
83,6,v22-scene-d06,hold-space,8.304108,1.996433,8.304108,1.996433,-0.021118,0.003185,0.046428,0,0,1,1
84,6,v22-scene-d06,wasd,8.304108,1.996433,8.231158,1.938881,-0.07295,-0.057553,0.201999,1,0,1,1
85,6,v22-scene-d06,slow-step,8.231158,1.938881,8.202597,1.819617,-0.028561,-0.119263,0.266599,1,0,1,1
86,6,v22-scene-d06,hold-space,8.202597,1.819617,8.211909,1.781783,0.009312,-0.037834,0.084703,1,0,1,1
87,6,v22-scene-d06,slow-step,8.211909,1.781783,8.32817,1.619673,0.116261,-0.16211,0.433674,1,0,1,1
88,6,v22-scene-d06,hold-space,8.32817,1.619673,8.372947,1.588721,0.044777,-0.030952,0.118335,1,0,1,1
89,6,v22-scene-d06,diagonal-stick,8.372947,1.588721,8.653828,1.515309,0.280881,-0.073411,0.631121,1,0,1,1
90,6,v22-scene-d06,hold-space,8.653828,1.515309,8.711046,1.520319,0.057218,0.00501,0.124862,1,0,1,1
91,6,v22-scene-d06,hold-space,8.711046,1.520319,8.75915,1.54525,0.048104,0.02493,0.117783,1,0,1,1
92,6,v22-scene-d06,touch-arc,8.75915,1.54525,8.882096,1.709583,0.122947,0.164333,0.446162,1,0,1,1
93,6,v22-scene-d06,analog-drift,8.882096,1.709583,8.898098,1.944363,0.016002,0.234781,0.511577,1,0,1,1
94,6,v22-scene-d06,hold-space,8.898098,1.944363,8.878489,1.982273,-0.019609,0.03791,0.092784,1,0,1,1
95,6,v22-scene-d06,hold-space,8.878489,1.982273,8.839715,2.003101,-0.038775,0.020828,0.095684,1,0,1,1
96,7,v22-scene-d07,touch-arc,8.839715,2.003101,8.639989,1.981333,-0.199726,-0.021768,0.436759,1,0,1,1
97,7,v22-scene-d07,hold-space,8.639989,1.981333,8.604289,1.951232,-0.035699,-0.030102,0.101514,1,0,1,1
98,7,v22-scene-d07,mouse-drag,8.604289,1.951232,8.53089,1.70776,-0.073399,-0.243472,0.552815,1,0,1,1
99,7,v22-scene-d07,touch-arc,8.53089,1.70776,8.590837,1.488163,0.059947,-0.219597,0.494852,1,0,1,1
100,7,v22-scene-d07,hold-space,8.590837,1.488163,8.631555,1.442841,0.040719,-0.045322,0.13245,1,0,1,1
101,7,v22-scene-d07,hold-space,8.631555,1.442841,8.691225,1.415614,0.059669,-0.027227,0.142582,1,0,1,1
102,7,v22-scene-d07,mouse-drag,8.691225,1.415614,9.020252,1.399238,0.329028,-0.016376,0.716163,1,0,1,1
103,7,v22-scene-d07,slow-step,9.020252,1.399238,9.275808,1.48604,0.255555,0.086802,0.586727,1,0,1,1
104,7,v22-scene-d07,slow-step,9.275808,1.48604,9.461161,1.647874,0.185354,0.161834,0.534916,1,0,1,1
105,7,v22-scene-d07,wasd,9.461161,1.647874,9.547912,1.842518,0.08675,0.194644,0.463263,1,0,1,1
106,7,v22-scene-d07,diagonal-stick,9.547912,1.842518,9.519518,2.070053,-0.028394,0.227535,0.498477,1,0,1,1
107,7,v22-scene-d07,slow-step,9.519518,2.070053,9.419055,2.190834,-0.100463,0.120781,0.341524,1,0,1,1
108,7,v22-scene-d07,slow-step,9.419055,2.190834,9.27065,2.226468,-0.148405,0.035634,0.331789,1,0,1,1
109,7,v22-scene-d07,slow-step,9.27065,2.226468,9.117928,2.171004,-0.152722,-0.055464,0.353221,1,0,1,1
110,7,v22-scene-d07,hold-space,9.117928,2.171004,9.089933,2.139382,-0.027995,-0.031622,0.091813,1,0,1,1
111,7,v22-scene-d07,diagonal-stick,9.089933,2.139382,9.011706,1.919105,-0.078227,-0.220277,0.508164,1,0,1,1
112,8,v22-scene-d08,slow-step,9.011706,1.919105,9.071342,1.803545,0.059636,-0.11556,0.282696,1,0,1,1
113,8,v22-scene-d08,wasd,9.071342,1.803545,9.19141,1.727393,0.120068,-0.076152,0.30909,1,0,1,1
114,8,v22-scene-d08,diagonal-stick,9.19141,1.727393,9.391005,1.688053,0.199595,-0.03934,0.44225,1,0,1,1
115,8,v22-scene-d08,wasd,9.391005,1.688053,9.54734,1.726858,0.156334,0.038805,0.35017,1,0,1,1
116,8,v22-scene-d08,diagonal-stick,9.54734,1.726858,9.721719,1.839567,0.174379,0.11271,0.451377,1,0,1,1
117,8,v22-scene-d08,mouse-drag,9.721719,1.839567,9.835263,1.99699,0.113544,0.157423,0.421953,1,0,1,1
118,8,v22-scene-d08,touch-arc,9.835263,1.99699,9.868502,2.115485,0.033239,0.118495,0.267541,1,0,1,1
119,8,v22-scene-d08,analog-drift,9.868502,2.115485,9.830935,2.259419,-0.037567,0.143934,0.323381,1,0,1,1
120,8,v22-scene-d08,diagonal-stick,9.830935,2.259419,9.733052,2.348732,-0.097883,0.089313,0.288056,1,0,1,1
121,8,v22-scene-d08,slow-step,9.733052,2.348732,9.649341,2.350847,-0.083711,0.002116,0.182039,1,0,1,1
122,8,v22-scene-d08,wasd,9.649341,2.350847,9.564085,2.294653,-0.085257,-0.056194,0.221978,1,0,1,1
123,8,v22-scene-d08,hold-space,9.564085,2.294653,9.548655,2.268526,-0.015429,-0.026127,0.065963,1,0,1,1
124,8,v22-scene-d08,slow-step,9.548655,2.268526,9.524954,2.122099,-0.023701,-0.146427,0.322462,1,0,1,1
125,8,v22-scene-d08,wasd,9.524954,2.122099,9.554969,1.961159,0.030014,-0.16094,0.355902,1,0,1,1
126,8,v22-scene-d08,diagonal-stick,9.554969,1.961159,9.667368,1.770518,0.112399,-0.190642,0.481107,1,0,1,1
127,8,v22-scene-d08,mouse-drag,9.667368,1.770518,9.845417,1.63782,0.178049,-0.132698,0.482737,1,0,1,1
128,9,v22-scene-d09,analog-drift,9.845417,1.63782,10.040906,1.717618,0.195488,0.079798,0.459017,1,0,1,1
129,9,v22-scene-d09,mouse-drag,10.040906,1.717618,10.204794,1.882719,0.163889,0.165101,0.505723,1,0,1,1
130,9,v22-scene-d09,hold-space,10.204794,1.882719,10.222315,1.926336,0.017521,0.043617,0.102183,1,0,1,1
131,9,v22-scene-d09,slow-step,10.222315,1.926336,10.221298,2.125972,-0.001017,0.199636,0.433998,1,0,1,1
132,9,v22-scene-d09,wasd,10.221298,2.125972,10.139067,2.30449,-0.082231,0.178518,0.427274,1,0,1,1
133,9,v22-scene-d09,hold-space,10.139067,2.30449,10.102606,2.332703,-0.036461,0.028213,0.100222,1,0,1,1
134,9,v22-scene-d09,mouse-drag,10.102606,2.332703,9.861033,2.36386,-0.241573,0.031157,0.52951,1,0,1,1
135,9,v22-scene-d09,diagonal-stick,9.861033,2.36386,9.624842,2.266127,-0.23619,-0.097733,0.555679,1,0,1,1
136,9,v22-scene-d09,slow-step,9.624842,2.266127,9.484016,2.088897,-0.140826,-0.177231,0.492106,1,0,1,1
137,9,v22-scene-d09,wasd,9.484016,2.088897,9.429798,1.845969,-0.054218,-0.242927,0.541096,1,0,1,1
138,9,v22-scene-d09,analog-drift,9.429798,1.845969,9.491952,1.536069,0.062154,-0.3099,0.687112,1,0,1,1
139,9,v22-scene-d09,diagonal-stick,9.491952,1.536069,9.677626,1.271665,0.185675,-0.264404,0.702361,1,0,1,1
140,9,v22-scene-d09,wasd,9.677626,1.271665,9.90587,1.129273,0.228243,-0.142393,0.584822,1,0,1,1
141,9,v22-scene-d09,mouse-drag,9.90587,1.129273,10.210066,1.0999,0.304196,-0.029372,0.664372,1,0,1,1
142,9,v22-scene-d09,slow-step,10.210066,1.0999,10.435366,1.183079,0.2253,0.083179,0.522095,1,0,1,1
143,9,v22-scene-d09,hold-space,10.435366,1.183079,10.470731,1.224862,0.035365,0.041783,0.119001,1,0,1,1
144,10,v22-scene-d10,slow-step,10.470731,1.224862,10.415567,1.50985,-0.055164,0.284989,0.63104,1,0,1,1
145,10,v22-scene-d10,hold-space,10.415567,1.50985,10.377209,1.566194,-0.038358,0.056343,0.148176,1,0,1,1
146,10,v22-scene-d10,analog-drift,10.377209,1.566194,10.103036,1.728037,-0.274173,0.161844,0.692125,1,0,1,1
147,10,v22-scene-d10,wasd,10.103036,1.728037,9.855007,1.75173,-0.248029,0.023693,0.541648,1,0,1,1
148,10,v22-scene-d10,mouse-drag,9.855007,1.75173,9.596659,1.639546,-0.258347,-0.112184,0.61229,1,0,1,1
149,10,v22-scene-d10,mouse-drag,9.596659,1.639546,9.429953,1.426035,-0.166707,-0.213511,0.588879,1,0,1,1
150,10,v22-scene-d10,hold-space,9.429953,1.426035,9.42052,1.375045,-0.009433,-0.05099,0.112728,1,0,1,1
151,10,v22-scene-d10,touch-arc,9.42052,1.375045,9.47907,1.170816,0.05855,-0.204229,0.461861,1,0,1,1
152,10,v22-scene-d10,touch-arc,9.47907,1.170816,9.612748,1.0158,0.133678,-0.155016,0.444987,1,0,1,1
153,10,v22-scene-d10,touch-arc,9.612748,1.0158,9.784214,0.935037,0.171466,-0.080763,0.412031,1,0,1,1
154,10,v22-scene-d10,hold-space,9.784214,0.935037,9.824345,0.934705,0.040131,-0.000332,0.087244,1,0,1,1
155,10,v22-scene-d10,wasd,9.824345,0.934705,9.950528,0.999152,0.126184,0.064447,0.308019,1,0,1,1
156,10,v22-scene-d10,hold-space,9.950528,0.999152,9.965221,1.024004,0.014693,0.024852,0.062761,1,0,1,1
157,10,v22-scene-d10,mouse-drag,9.965221,1.024004,9.953493,1.184574,-0.011728,0.16057,0.349996,1,0,1,1
158,10,v22-scene-d10,slow-step,9.953493,1.184574,9.878443,1.272669,-0.07505,0.088096,0.251585,1,0,1,1
159,10,v22-scene-d10,slow-step,9.878443,1.272669,9.760103,1.317499,-0.11834,0.044829,0.275102,1,0,1,1
160,11,v22-scene-d11,diagonal-stick,9.760103,1.317499,9.560623,1.329319,-0.19948,0.01182,0.434413,1,0,1,1
161,11,v22-scene-d11,mouse-drag,9.560623,1.329319,9.397595,1.267445,-0.163028,-0.061874,0.379075,1,0,1,1
162,11,v22-scene-d11,wasd,9.397595,1.267445,9.319907,1.199107,-0.077688,-0.068338,0.224929,1,0,1,1
163,11,v22-scene-d11,hold-space,9.319907,1.199107,9.313875,1.179094,-0.006032,-0.020013,0.045439,1,0,1,1
164,11,v22-scene-d11,wasd,9.313875,1.179094,9.338849,1.102049,0.024975,-0.077045,0.17607,1,0,1,1
165,11,v22-scene-d11,diagonal-stick,9.338849,1.102049,9.44294,1.020215,0.10409,-0.081834,0.287841,1,0,1,1
166,11,v22-scene-d11,touch-arc,9.44294,1.020215,9.527246,1.005236,0.084307,-0.014979,0.186145,1,0,1,1
167,11,v22-scene-d11,hold-space,9.527246,1.005236,9.547076,1.011764,0.01983,0.006528,0.045384,1,0,1,1
168,11,v22-scene-d11,analog-drift,9.547076,1.011764,9.640622,1.112124,0.093546,0.10036,0.298254,1,0,1,1
169,11,v22-scene-d11,mouse-drag,9.640622,1.112124,9.66986,1.249655,0.029238,0.137531,0.305662,1,0,1,1
170,11,v22-scene-d11,mouse-drag,9.66986,1.249655,9.618651,1.393222,-0.051209,0.143567,0.331361,1,0,1,1
171,11,v22-scene-d11,touch-arc,9.618651,1.393222,9.515574,1.466036,-0.103077,0.072815,0.274351,1,0,1,1
172,11,v22-scene-d11,wasd,9.515574,1.466036,9.3641,1.49273,-0.151474,0.026694,0.334366,1,0,1,1
173,11,v22-scene-d11,analog-drift,9.3641,1.49273,9.137497,1.455586,-0.226602,-0.037145,0.499188,1,0,1,1
174,11,v22-scene-d11,hold-space,9.137497,1.455586,9.096818,1.429551,-0.04068,-0.026035,0.104995,1,0,1,1
175,11,v22-scene-d11,analog-drift,9.096818,1.429551,8.93926,1.220179,-0.157557,-0.209371,0.569635,1,0,1,1
176,12,v22-scene-d12,slow-step,8.93926,1.220179,8.925957,1.081145,-0.013303,-0.139035,0.303629,1,0,1,1
177,12,v22-scene-d12,hold-space,8.925957,1.081145,8.942947,1.05284,0.01699,-0.028305,0.071766,1,0,1,1
178,12,v22-scene-d12,mouse-drag,8.942947,1.05284,9.125506,0.969081,0.182559,-0.083759,0.436644,1,0,1,1
179,12,v22-scene-d12,hold-space,9.125506,0.969081,9.166745,0.974868,0.041239,0.005786,0.090528,1,0,1,1
180,12,v22-scene-d12,diagonal-stick,9.166745,0.974868,9.371165,1.112135,0.204421,0.137268,0.535287,1,0,1,1
181,12,v22-scene-d12,touch-arc,9.371165,1.112135,9.471302,1.304231,0.100136,0.192096,0.470932,1,0,1,1
182,12,v22-scene-d12,mouse-drag,9.471302,1.304231,9.485697,1.585584,0.014395,0.281353,0.612436,1,0,1,1
183,12,v22-scene-d12,diagonal-stick,9.485697,1.585584,9.366631,1.856099,-0.119066,0.270515,0.64252,1,0,1,1
184,12,v22-scene-d12,mouse-drag,9.366631,1.856099,9.127415,2.053628,-0.239216,0.197529,0.674411,1,0,1,1
185,12,v22-scene-d12,diagonal-stick,9.127415,2.053628,8.809846,2.129403,-0.317569,0.075775,0.709747,1,0,1,1
186,12,v22-scene-d12,hold-space,8.809846,2.129403,8.741369,2.11432,-0.068477,-0.015083,0.152431,1,0,1,1
187,12,v22-scene-d12,diagonal-stick,8.741369,2.11432,8.454889,1.909492,-0.286481,-0.204827,0.765592,1,0,1,1
188,12,v22-scene-d12,hold-space,8.454889,1.909492,8.41677,1.847709,-0.038118,-0.061784,0.157818,1,0,1,1
189,12,v22-scene-d12,slow-step,8.41677,1.847709,8.3698,1.561166,-0.046971,-0.286543,0.631232,1,0,1,1
190,12,v22-scene-d12,slow-step,8.3698,1.561166,8.434073,1.302815,0.064273,-0.258351,0.578752,1,0,1,1
191,12,v22-scene-d12,analog-drift,8.434073,1.302815,8.622738,1.09136,0.188665,-0.211455,0.616057,1,0,1,1
192,13,v22-scene-d13,slow-step,8.622738,1.09136,8.807219,1.157385,0.184481,0.066025,0.425956,1,0,1,1
193,13,v22-scene-d13,touch-arc,8.807219,1.157385,8.948907,1.320002,0.141688,0.162617,0.46888,1,0,1,1
194,13,v22-scene-d13,mouse-drag,8.948907,1.320002,9.034886,1.587163,0.085978,0.267161,0.61012,1,0,1,1
195,13,v22-scene-d13,mouse-drag,9.034886,1.587163,9.00098,1.87449,-0.033905,0.287326,0.628956,1,0,1,1
196,13,v22-scene-d13,wasd,9.00098,1.87449,8.873142,2.077657,-0.127839,0.203168,0.521829,1,0,1,1
197,13,v22-scene-d13,mouse-drag,8.873142,2.077657,8.640619,2.240546,-0.232523,0.162889,0.617175,1,0,1,1
198,13,v22-scene-d13,mouse-drag,8.640619,2.240546,8.36997,2.291015,-0.270649,0.050468,0.598509,1,0,1,1
199,13,v22-scene-d13,wasd,8.36997,2.291015,8.159989,2.240272,-0.209981,-0.050742,0.46962,1,0,1,1
200,13,v22-scene-d13,hold-space,8.159989,2.240272,8.12033,2.21073,-0.039659,-0.029542,0.107505,1,0,1,1
201,13,v22-scene-d13,diagonal-stick,8.12033,2.21073,8.001457,1.998976,-0.118873,-0.211755,0.527911,1,0,1,1
202,13,v22-scene-d13,mouse-drag,8.001457,1.998976,7.97409,1.776409,-0.027367,-0.222566,0.487484,1,0,1,1
203,13,v22-scene-d13,diagonal-stick,7.97409,1.776409,8.02666,1.584893,0.05257,-0.191516,0.43174,1,0,1,1
204,13,v22-scene-d13,diagonal-stick,8.02666,1.584893,8.132464,1.455888,0.105803,-0.129005,0.362704,1,0,1,1
205,13,v22-scene-d13,wasd,8.132464,1.455888,8.206459,1.40877,0.073996,-0.047117,0.190703,1,0,1,1
206,13,v22-scene-d13,diagonal-stick,8.206459,1.40877,8.312302,1.437329,0.105842,0.028558,0.23832,1,0,1,1
207,13,v22-scene-d13,analog-drift,8.312302,1.437329,8.369576,1.529733,0.057275,0.092404,0.236336,1,0,1,1
208,14,v22-scene-d14,touch-arc,8.369576,1.529733,8.309882,1.679901,-0.059694,0.150168,0.3513,1,0,1,1
209,14,v22-scene-d14,mouse-drag,8.309882,1.679901,8.175181,1.854372,-0.134701,0.174471,0.479172,1,0,1,1
210,14,v22-scene-d14,slow-step,8.175181,1.854372,8.030312,1.946704,-0.144868,0.092332,0.373458,1,0,1,1
211,14,v22-scene-d14,slow-step,8.030312,1.946704,7.867583,1.984169,-0.16273,0.037465,0.363015,1,0,1,1
212,14,v22-scene-d14,diagonal-stick,7.867583,1.984169,7.663942,1.941264,-0.20364,-0.042905,0.452415,1,0,1,1
213,14,v22-scene-d14,touch-arc,7.663942,1.941264,7.535359,1.861151,-0.128583,-0.080113,0.329344,1,0,1,1
214,14,v22-scene-d14,analog-drift,7.535359,1.861151,7.444328,1.69113,-0.091031,-0.17002,0.419254,1,0,1,1
215,14,v22-scene-d14,diagonal-stick,7.444328,1.69113,7.437709,1.504334,-0.006619,-0.186796,0.406333,1,0,1,1
216,14,v22-scene-d14,hold-space,7.437709,1.504334,7.447988,1.474257,0.010279,-0.030077,0.069097,1,0,1,1
217,14,v22-scene-d14,slow-step,7.447988,1.474257,7.538124,1.390867,0.090136,-0.08339,0.266944,1,0,1,1
218,14,v22-scene-d14,analog-drift,7.538124,1.390867,7.698692,1.37482,0.160567,-0.016048,0.350798,1,0,1,1
