tick,day,slot,resident,room,schedule_state,need_state,debt_focus,project_progress,offscreen,schedule_changed_by_avatar,agency_preserved
33,2,15,Ari,rain court,negotiate debt,relieved,route warning,0.11948,False,True,True
34,2,16,Fay,fiber loft,negotiate debt,tired,tool loan,0.07257,False,True,True
35,2,17,Milo,west hearth,care duty,hungry,water carry,0.008896,False,True,True
36,3,0,Sera,arrival court,private task,tired,missed greeting,0.121448,True,True,True
37,3,1,Tovan,tool alcove,recover focus,hungry,care favor,0.163522,False,False,True
38,3,2,Nia,rain court,work,guarded,route warning,0.166913,False,False,True
39,3,3,Ari,fiber loft,rest,steady,tool loan,0.128504,False,True,True
40,3,4,Fay,west hearth,seek tool,wet,water carry,0.083608,False,True,False
41,3,5,Milo,river gate,seek tool,focused,repair promise,0.073502,False,True,True
42,3,6,Sera,arrival court,private task,relieved,missed greeting,0.077478,False,True,True
43,3,7,Tovan,tool alcove,private task,tired,care favor,0.154298,True,False,True
44,3,8,Nia,rain court,recover focus,hungry,route warning,0.170916,False,True,True
45,3,9,Ari,fiber loft,work,guarded,tool loan,0.142054,False,False,True
46,3,10,Fay,west hearth,rest,steady,water carry,0.094247,False,False,True
47,3,11,Milo,river gate,negotiate debt,wet,repair promise,0.071449,False,True,True
48,3,12,Sera,arrival court,care duty,focused,missed greeting,0.09462,False,True,False
49,3,13,Tovan,tool alcove,care duty,relieved,care favor,0.142457,False,True,True
50,3,14,Nia,rain court,recover focus,tired,route warning,0.140979,False,True,True
51,3,15,Ari,fiber loft,recover focus,hungry,tool loan,0.153963,True,False,True
52,3,16,Fay,west hearth,work,guarded,water carry,0.107053,False,True,True
53,3,17,Milo,river gate,rest,steady,repair promise,0.073378,True,False,True
54,4,0,Sera,tool alcove,seek tool,guarded,care favor,0.155931,False,True,True
55,4,1,Tovan,rain court,private task,steady,route warning,0.198005,False,True,True
56,4,2,Nia,fiber loft,private task,wet,tool loan,0.201396,False,True,True
57,4,3,Ari,west hearth,work,focused,water carry,0.132987,False,True,True
58,4,4,Fay,river gate,work,relieved,repair promise,0.118091,True,False,True
59,4,5,Milo,arrival court,rest,tired,missed greeting,0.107985,False,True,True
60,4,6,Sera,tool alcove,negotiate debt,hungry,care favor,0.14196,False,False,True
61,4,7,Tovan,rain court,seek tool,guarded,route warning,0.18878,False,False,True
62,4,8,Nia,fiber loft,care duty,steady,tool loan,0.205399,False,True,True
63,4,9,Ari,west hearth,recover focus,wet,water carry,0.176537,False,True,True
64,4,10,Fay,river gate,recover focus,focused,repair promise,0.12873,False,True,True
65,4,11,Milo,arrival court,rest,relieved,missed greeting,0.075932,False,True,True
66,4,12,Sera,tool alcove,rest,tired,care favor,0.129102,True,False,True
67,4,13,Tovan,rain court,negotiate debt,hungry,route warning,0.176939,False,True,True
68,4,14,Nia,fiber loft,seek tool,guarded,tool loan,0.205461,False,False,True
69,4,15,Ari,west hearth,care duty,steady,water carry,0.188445,False,False,True
70,4,16,Fay,river gate,private task,wet,repair promise,0.141536,False,True,True
71,4,17,Milo,arrival court,work,focused,missed greeting,0.107861,False,True,True
72,5,0,Sera,rain court,negotiate debt,wet,route warning,0.160414,False,True,False
73,5,1,Tovan,fiber loft,negotiate debt,focused,tool loan,0.232487,True,False,True
74,5,2,Nia,west hearth,seek tool,relieved,water carry,0.235879,False,True,True
75,5,3,Ari,river gate,care duty,tired,repair promise,0.19747,False,False,True
76,5,4,Fay,arrival court,private task,hungry,missed greeting,0.152574,False,False,True
77,5,5,Milo,tool alcove,recover focus,guarded,care favor,0.142468,False,True,True
78,5,6,Sera,rain court,rest,steady,route warning,0.176443,False,True,True
79,5,7,Tovan,fiber loft,rest,wet,tool loan,0.223263,False,True,True
80,5,8,Nia,west hearth,seek tool,focused,water carry,0.209882,False,True,False
81,5,9,Ari,river gate,seek tool,relieved,repair promise,0.21102,True,False,True
82,5,10,Fay,arrival court,care duty,tired,missed greeting,0.163213,False,True,True
83,5,11,Milo,tool alcove,private task,hungry,care favor,0.140414,False,False,True
84,5,12,Sera,rain court,recover focus,guarded,route warning,0.163585,False,False,True
85,5,13,Tovan,fiber loft,work,steady,tool loan,0.211422,False,True,True
86,5,14,Nia,west hearth,negotiate debt,wet,water carry,0.239944,False,True,True
87,5,15,Ari,river gate,negotiate debt,focused,repair promise,0.222928,False,True,True
88,5,16,Fay,arrival court,care duty,relieved,missed greeting,0.146019,False,True,False
89,5,17,Milo,tool alcove,care duty,tired,care favor,0.142344,True,False,True
90,6,0,Sera,fiber loft,recover focus,relieved,tool loan,0.224897,True,False,True
91,6,1,Tovan,west hearth,work,tired,water carry,0.26697,False,False,True
92,6,2,Nia,river gate,rest,hungry,repair promise,0.270361,False,True,True
93,6,3,Ari,arrival court,seek tool,guarded,missed greeting,0.231953,False,True,True
94,6,4,Fay,tool alcove,seek tool,steady,care favor,0.187056,False,True,True
95,6,5,Milo,rain court,private task,wet,route warning,0.14695,False,True,True
96,6,6,Sera,fiber loft,private task,focused,tool loan,0.210926,True,False,True
97,6,7,Tovan,west hearth,recover focus,relieved,water carry,0.257746,False,True,True
98,6,8,Nia,river gate,work,tired,repair promise,0.274364,False,False,True
99,6,9,Ari,arrival court,rest,hungry,missed greeting,0.245502,False,False,True
100,6,10,Fay,tool alcove,negotiate debt,guarded,care favor,0.197695,False,True,True
101,6,11,Milo,rain court,care duty,steady,route warning,0.174897,False,True,True
102,6,12,Sera,fiber loft,care duty,wet,tool loan,0.198068,False,True,True
103,6,13,Tovan,west hearth,recover focus,focused,water carry,0.215905,False,True,True
104,6,14,Nia,river gate,recover focus,relieved,repair promise,0.274427,True,False,True
105,6,15,Ari,arrival court,work,tired,missed greeting,0.257411,False,True,True
106,6,16,Fay,tool alcove,rest,hungry,care favor,0.210501,False,False,True
107,6,17,Milo,rain court,negotiate debt,guarded,route warning,0.176827,True,False,True
108,7,0,Sera,west hearth,private task,hungry,water carry,0.259379,False,True,False
109,7,1,Tovan,river gate,private task,guarded,repair promise,0.301453,False,True,True
110,7,2,Nia,arrival court,work,steady,missed greeting,0.274844,False,True,True
111,7,3,Ari,tool alcove,work,wet,care favor,0.266435,True,False,True
112,7,4,Fay,rain court,rest,focused,route warning,0.221539,False,True,True
113,7,5,Milo,fiber loft,negotiate debt,relieved,tool loan,0.211433,False,False,True
114,7,6,Sera,west hearth,seek tool,tired,water carry,0.245409,False,False,True
115,7,7,Tovan,river gate,care duty,hungry,repair promise,0.292229,False,True,True
116,7,8,Nia,arrival court,recover focus,guarded,missed greeting,0.308847,False,True,False
117,7,9,Ari,tool alcove,recover focus,steady,care favor,0.279985,False,True,True
118,7,10,Fay,rain court,rest,wet,route warning,0.202178,False,True,True
119,7,11,Milo,fiber loft,rest,focused,tool loan,0.20938,True,False,True
120,7,12,Sera,west hearth,negotiate debt,relieved,water carry,0.232551,False,True,True
121,7,13,Tovan,river gate,seek tool,tired,repair promise,0.280388,False,False,True
122,7,14,Nia,arrival court,care duty,hungry,missed greeting,0.30891,False,False,True
123,7,15,Ari,tool alcove,private task,guarded,care favor,0.291894,False,True,True
124,7,16,Fay,rain court,work,steady,route warning,0.244984,False,True,False
125,7,17,Milo,fiber loft,work,wet,tool loan,0.211309,False,True,True
126,8,0,Sera,river gate,negotiate debt,steady,repair promise,0.293862,True,False,True
127,8,1,Tovan,arrival court,seek tool,wet,missed greeting,0.335936,False,True,True
128,8,2,Nia,tool alcove,care duty,focused,care favor,0.339327,False,False,True
129,8,3,Ari,rain court,private task,relieved,route warning,0.300918,False,False,True
130,8,4,Fay,fiber loft,recover focus,tired,tool loan,0.256022,False,True,True
131,8,5,Milo,west hearth,rest,hungry,water carry,0.245916,False,True,True
132,8,6,Sera,river gate,rest,guarded,repair promise,0.279891,False,True,True
133,8,7,Tovan,arrival court,seek tool,steady,missed greeting,0.296711,False,True,True
134,8,8,Nia,tool alcove,seek tool,wet,care favor,0.34333,True,False,True
135,8,9,Ari,rain court,care duty,focused,route warning,0.314468,False,True,True
136,8,10,Fay,fiber loft,private task,relieved,tool loan,0.266661,False,False,True
137,8,11,Milo,west hearth,recover focus,tired,water carry,0.243863,False,False,True
138,8,12,Sera,river gate,work,hungry,repair promise,0.267033,False,True,True
139,8,13,Tovan,arrival court,negotiate debt,guarded,missed greeting,0.31487,False,True,True
140,8,14,Nia,tool alcove,negotiate debt,steady,care favor,0.343392,False,True,True
141,8,15,Ari,rain court,care duty,wet,route warning,0.296376,False,True,True
142,8,16,Fay,fiber loft,care duty,focused,tool loan,0.279467,True,False,True
143,8,17,Milo,west hearth,private task,relieved,water carry,0.245792,False,True,True
144,9,0,Sera,arrival court,work,focused,missed greeting,0.328345,True,False,True
145,9,1,Tovan,tool alcove,rest,relieved,care favor,0.370418,False,True,True
146,9,2,Nia,rain court,seek tool,tired,route warning,0.37381,False,True,True
147,9,3,Ari,fiber loft,seek tool,hungry,tool loan,0.335401,False,True,True
148,9,4,Fay,west hearth,private task,guarded,water carry,0.260505,False,True,False
149,9,5,Milo,river gate,private task,steady,repair promise,0.280399,True,False,True
150,9,6,Sera,arrival court,recover focus,wet,missed greeting,0.314374,False,True,True
151,9,7,Tovan,tool alcove,work,focused,care favor,0.361194,False,False,True
152,9,8,Nia,rain court,rest,relieved,route warning,0.377813,False,False,True
153,9,9,Ari,fiber loft,negotiate debt,tired,tool loan,0.348951,False,True,True
154,9,10,Fay,west hearth,care duty,hungry,water carry,0.301144,False,True,True
155,9,11,Milo,river gate,care duty,guarded,repair promise,0.278345,False,True,True
156,9,12,Sera,arrival court,recover focus,steady,missed greeting,0.271516,False,True,False
157,9,13,Tovan,tool alcove,recover focus,wet,care favor,0.349353,True,False,True
158,9,14,Nia,rain court,work,focused,route warning,0.377875,False,True,True
159,9,15,Ari,fiber loft,rest,relieved,tool loan,0.360859,False,False,True
160,9,16,Fay,west hearth,negotiate debt,tired,water carry,0.31395,False,False,True
161,9,17,Milo,river gate,seek tool,hungry,repair promise,0.280275,True,True,True
162,10,0,Sera,tool alcove,private task,tired,care favor,0.362828,False,True,True
163,10,1,Tovan,rain court,work,hungry,route warning,0.374901,False,True,True
164,10,2,Nia,fiber loft,work,guarded,tool loan,0.408292,True,False,True
165,10,3,Ari,west hearth,rest,steady,water carry,0.369884,False,True,True
166,10,4,Fay,river gate,negotiate debt,wet,repair promise,0.324987,False,False,True
167,10,5,Milo,arrival court,seek tool,focused,missed greeting,0.314881,False,False,True
168,10,6,Sera,tool alcove,care duty,relieved,care favor,0.348857,False,True,True
169,10,7,Tovan,rain court,recover focus,tired,route warning,0.395677,False,True,True
170,10,8,Nia,fiber loft,recover focus,hungry,tool loan,0.412295,False,True,True
171,10,9,Ari,west hearth,rest,guarded,water carry,0.353434,False,True,True
172,10,10,Fay,river gate,rest,steady,repair promise,0.335627,True,False,True
173,10,11,Milo,arrival court,negotiate debt,wet,missed greeting,0.312828,False,True,True
174,10,12,Sera,tool alcove,seek tool,focused,care favor,0.335999,False,False,True
175,10,13,Tovan,rain court,care duty,relieved,route warning,0.383836,False,False,True
176,10,14,Nia,fiber loft,private task,tired,tool loan,0.412358,False,True,True
177,10,15,Ari,west hearth,work,hungry,water carry,0.395342,False,True,True
178,10,16,Fay,river gate,work,guarded,repair promise,0.348432,False,True,True
179,10,17,Milo,arrival court,negotiate debt,steady,missed greeting,0.284758,False,True,True
180,11,0,Sera,rain court,seek tool,guarded,route warning,0.39731,False,True,True
181,11,1,Tovan,fiber loft,care duty,steady,tool loan,0.439384,False,False,True
182,11,2,Nia,west hearth,private task,wet,water carry,0.442775,False,False,True
183,11,3,Ari,river gate,recover focus,focused,repair promise,0.404366,False,True,True
184,11,4,Fay,arrival court,rest,relieved,missed greeting,0.35947,False,True,False
185,11,5,Milo,tool alcove,rest,tired,care favor,0.349364,False,True,True
186,11,6,Sera,rain court,seek tool,hungry,route warning,0.35334,False,True,True
187,11,7,Tovan,fiber loft,seek tool,guarded,tool loan,0.43016,True,False,True
188,11,8,Nia,west hearth,care duty,steady,water carry,0.446778,False,True,True
189,11,9,Ari,river gate,private task,wet,repair promise,0.417916,False,False,True
190,11,10,Fay,arrival court,recover focus,focused,missed greeting,0.370109,False,False,True
191,11,11,Milo,tool alcove,work,relieved,care favor,0.347311,False,True,True
192,11,12,Sera,rain court,negotiate debt,tired,route warning,0.370482,False,True,False
193,11,13,Tovan,fiber loft,negotiate debt,hungry,tool loan,0.418319,False,True,True
194,11,14,Nia,west hearth,care duty,guarded,water carry,0.416841,False,True,True
195,11,15,Ari,river gate,care duty,steady,repair promise,0.429825,True,False,True
196,11,16,Fay,arrival court,private task,wet,missed greeting,0.382915,False,True,True
197,11,17,Milo,tool alcove,recover focus,focused,care favor,0.34924,False,False,True
198,12,0,Sera,fiber loft,rest,wet,tool loan,0.431793,True,True,True
199,12,1,Tovan,west hearth,seek tool,focused,water carry,0.473867,False,True,True
200,12,2,Nia,river gate,seek tool,relieved,repair promise,0.477258,False,True,True
201,12,3,Ari,arrival court,private task,tired,missed greeting,0.408849,False,True,True
202,12,4,Fay,tool alcove,private task,hungry,care favor,0.393953,True,False,True
203,12,5,Milo,rain court,recover focus,guarded,route warning,0.383847,False,True,True
204,12,6,Sera,fiber loft,work,steady,tool loan,0.417822,False,False,True
205,12,7,Tovan,west hearth,rest,wet,water carry,0.464642,False,False,True
206,12,8,Nia,river gate,negotiate debt,focused,repair promise,0.481261,False,True,True
207,12,9,Ari,arrival court,care duty,relieved,missed greeting,0.452399,False,True,True
208,12,10,Fay,tool alcove,care duty,tired,care favor,0.404592,False,True,True
209,12,11,Milo,rain court,recover focus,hungry,route warning,0.351794,False,True,True
210,12,12,Sera,fiber loft,recover focus,guarded,tool loan,0.404964,True,False,True
211,12,13,Tovan,west hearth,work,steady,water carry,0.452801,False,True,True
212,12,14,Nia,river gate,rest,wet,repair promise,0.481323,False,False,True
213,12,15,Ari,arrival court,negotiate debt,focused,missed greeting,0.464307,False,False,True
214,12,16,Fay,tool alcove,seek tool,relieved,care favor,0.417398,False,True,True
215,12,17,Milo,rain court,private task,tired,route warning,0.383723,True,True,True
216,13,0,Sera,west hearth,work,relieved,water carry,0.436276,False,True,False
217,13,1,Tovan,river gate,work,tired,repair promise,0.508349,True,False,True
218,13,2,Nia,arrival court,rest,hungry,missed greeting,0.511741,False,True,True
219,13,3,Ari,tool alcove,negotiate debt,guarded,care favor,0.473332,False,False,True
220,13,4,Fay,rain court,seek tool,steady,route warning,0.428436,False,False,True
221,13,5,Milo,fiber loft,care duty,wet,tool loan,0.41833,False,True,True
222,13,6,Sera,west hearth,recover focus,focused,water carry,0.452305,False,True,True
223,13,7,Tovan,river gate,recover focus,relieved,repair promise,0.499125,False,True,True
224,13,8,Nia,arrival court,rest,tired,missed greeting,0.485744,False,True,False
225,13,9,Ari,tool alcove,rest,hungry,care favor,0.486882,True,False,True
226,13,10,Fay,rain court,negotiate debt,guarded,route warning,0.439075,False,True,True
227,13,11,Milo,fiber loft,seek tool,steady,tool loan,0.416276,False,False,True
228,13,12,Sera,west hearth,care duty,wet,water carry,0.439447,False,False,True
229,13,13,Tovan,river gate,private task,focused,repair promise,0.487284,False,True,True
230,13,14,Nia,arrival court,work,relieved,missed greeting,0.515806,False,True,True
231,13,15,Ari,tool alcove,work,tired,care favor,0.49879,False,True,True
232,13,16,Fay,rain court,negotiate debt,hungry,route warning,0.421881,False,True,False
233,13,17,Milo,fiber loft,negotiate debt,guarded,tool loan,0.418206,True,False,True
234,14,0,Sera,river gate,care duty,hungry,repair promise,0.500759,False,False,True
235,14,1,Tovan,arrival court,private task,guarded,missed greeting,0.542832,False,False,True
236,14,2,Nia,tool alcove,recover focus,steady,care favor,0.546223,False,True,True
237,14,3,Ari,rain court,rest,wet,route warning,0.507815,False,True,True
238,14,4,Fay,fiber loft,rest,focused,tool loan,0.462918,False,True,True
239,14,5,Milo,west hearth,seek tool,relieved,water carry,0.422812,False,True,True
240,14,6,Sera,river gate,seek tool,tired,repair promise,0.486788,True,False,True
241,14,7,Tovan,arrival court,care duty,hungry,missed greeting,0.533608,False,True,True
242,14,8,Nia,tool alcove,private task,guarded,care favor,0.550227,False,False,True
243,14,9,Ari,rain court,recover focus,steady,route warning,0.521365,False,False,True
244,14,10,Fay,fiber loft,work,wet,tool loan,0.473558,False,True,True
245,14,11,Milo,west hearth,negotiate debt,focused,water carry,0.450759,False,True,True
246,14,12,Sera,river gate,negotiate debt,relieved,repair promise,0.47393,False,True,True
247,14,13,Tovan,arrival court,care duty,tired,missed greeting,0.491767,False,True,True
248,14,14,Nia,tool alcove,care duty,hungry,care favor,0.550289,True,False,True
249,14,15,Ari,rain court,private task,guarded,route warning,0.533273,False,True,True
250,14,16,Fay,fiber loft,recover focus,steady,tool loan,0.486363,False,False,True
251,14,17,Milo,west hearth,work,wet,water carry,0.452689,False,False,True
252,15,0,Sera,arrival court,seek tool,steady,missed greeting,0.535241,True,True,False
253,15,1,Tovan,tool alcove,seek tool,wet,care favor,0.577315,False,True,True
254,15,2,Nia,rain court,private task,focused,route warning,0.550706,False,True,True
255,15,3,Ari,fiber loft,private task,relieved,tool loan,0.542297,True,False,True
256,15,4,Fay,west hearth,recover focus,tired,water carry,0.497401,False,True,True
257,15,5,Milo,river gate,work,hungry,repair promise,0.487295,False,False,True
258,15,6,Sera,arrival court,rest,guarded,missed greeting,0.521271,False,False,True
259,15,7,Tovan,tool alcove,negotiate debt,steady,care favor,0.568091,False,True,True
260,15,8,Nia,rain court,care duty,wet,route warning,0.584709,False,True,False
261,15,9,Ari,fiber loft,care duty,focused,tool loan,0.555847,False,True,True
262,15,10,Fay,west hearth,recover focus,relieved,water carry,0.47804,False,True,True
263,15,11,Milo,river gate,recover focus,tired,repair promise,0.485242,True,False,True
264,15,12,Sera,arrival court,work,hungry,missed greeting,0.508413,False,True,True
265,15,13,Tovan,tool alcove,rest,guarded,care favor,0.55625,False,False,True
266,15,14,Nia,rain court,negotiate debt,steady,route warning,0.584772,False,False,True
267,15,15,Ari,fiber loft,seek tool,wet,tool loan,0.567756,False,True,True
268,15,16,Fay,west hearth,private task,focused,water carry,0.520846,False,True,False
269,15,17,Milo,river gate,private task,relieved,repair promise,0.487172,True,True,True
270,16,0,Sera,tool alcove,work,focused,care favor,0.569724,True,False,True
271,16,1,Tovan,rain court,rest,relieved,route warning,0.611798,False,True,True
272,16,2,Nia,fiber loft,negotiate debt,tired,tool loan,0.615189,False,False,True
273,16,3,Ari,west hearth,seek tool,hungry,water carry,0.57678,False,False,True
274,16,4,Fay,river gate,care duty,guarded,repair promise,0.531884,False,True,True
275,16,5,Milo,arrival court,recover focus,steady,missed greeting,0.521778,False,True,True
276,16,6,Sera,tool alcove,recover focus,wet,care favor,0.555753,False,True,True
277,16,7,Tovan,rain court,rest,focused,route warning,0.572573,False,True,True
278,16,8,Nia,fiber loft,rest,relieved,tool loan,0.619192,True,False,True
279,16,9,Ari,west hearth,negotiate debt,tired,water carry,0.59033,False,True,True
280,16,10,Fay,river gate,seek tool,hungry,repair promise,0.542523,False,False,True
281,16,11,Milo,arrival court,care duty,guarded,missed greeting,0.519725,False,False,True
282,16,12,Sera,tool alcove,private task,steady,care favor,0.542895,False,True,True
283,16,13,Tovan,rain court,work,wet,route warning,0.590732,False,True,True
284,16,14,Nia,fiber loft,work,focused,tool loan,0.619255,False,True,True
285,16,15,Ari,west hearth,negotiate debt,relieved,water carry,0.572239,False,True,True
286,16,16,Fay,river gate,negotiate debt,tired,repair promise,0.555329,True,False,True
287,16,17,Milo,arrival court,seek tool,hungry,missed greeting,0.521654,False,True,True
288,17,0,Sera,rain court,private task,tired,route warning,0.604207,False,False,True
289,17,1,Tovan,fiber loft,recover focus,hungry,tool loan,0.64628,False,True,True
290,17,2,Nia,west hearth,rest,guarded,water carry,0.649672,False,True,True
291,17,3,Ari,river gate,rest,steady,repair promise,0.611263,False,True,True
292,17,4,Fay,arrival court,seek tool,wet,missed greeting,0.536367,False,True,False
293,17,5,Milo,tool alcove,seek tool,focused,care favor,0.556261,True,False,True
294,17,6,Sera,rain court,care duty,relieved,route warning,0.590236,False,True,True
295,17,7,Tovan,fiber loft,private task,tired,tool loan,0.637056,False,False,True
296,17,8,Nia,west hearth,recover focus,hungry,water carry,0.653675,False,False,True
297,17,9,Ari,river gate,work,guarded,repair promise,0.624813,False,True,True
298,17,10,Fay,arrival court,negotiate debt,steady,missed greeting,0.577006,False,True,True
299,17,11,Milo,tool alcove,negotiate debt,wet,care favor,0.554207,False,True,True
300,17,12,Sera,rain court,care duty,focused,route warning,0.547378,False,True,False
301,17,13,Tovan,fiber loft,care duty,relieved,tool loan,0.625215,True,False,True
302,17,14,Nia,west hearth,private task,tired,water carry,0.653737,False,True,True
303,17,15,Ari,river gate,recover focus,hungry,repair promise,0.636721,False,False,True
304,17,16,Fay,arrival court,work,guarded,missed greeting,0.589812,False,False,True
305,17,17,Milo,tool alcove,rest,steady,care favor,0.556137,False,True,True
306,18,0,Sera,fiber loft,seek tool,guarded,tool loan,0.63869,True,True,True
307,18,1,Tovan,west hearth,private task,steady,water carry,0.650763,False,True,True
308,18,2,Nia,river gate,private task,wet,repair promise,0.684155,True,False,True
309,18,3,Ari,arrival court,recover focus,focused,missed greeting,0.645746,False,True,True
310,18,4,Fay,tool alcove,work,relieved,care favor,0.60085,False,False,True
311,18,5,Milo,rain court,rest,tired,route warning,0.590743,False,False,True
312,18,6,Sera,fiber loft,negotiate debt,hungry,tool loan,0.624719,False,True,True
313,18,7,Tovan,west hearth,care duty,guarded,water carry,0.671539,False,True,True
314,18,8,Nia,river gate,care duty,steady,repair promise,0.688158,False,True,True
315,18,9,Ari,arrival court,recover focus,wet,missed greeting,0.629296,False,True,True
316,18,10,Fay,tool alcove,recover focus,focused,care favor,0.611489,True,False,True
317,18,11,Milo,rain court,work,relieved,route warning,0.58869,False,True,True
318,18,12,Sera,fiber loft,rest,tired,tool loan,0.611861,False,False,True
319,18,13,Tovan,west hearth,negotiate debt,hungry,water carry,0.659698,False,False,True
320,18,14,Nia,river gate,seek tool,guarded,repair promise,0.68822,False,True,True
321,18,15,Ari,arrival court,private task,steady,missed greeting,0.671204,False,True,True
322,18,16,Fay,tool alcove,private task,wet,care favor,0.624294,False,True,True
323,18,17,Milo,rain court,work,focused,route warning,0.56062,True,True,True
324,19,0,Sera,west hearth,rest,wet,water carry,0.673172,False,True,True
325,19,1,Tovan,river gate,negotiate debt,focused,repair promise,0.715246,False,False,True
326,19,2,Nia,arrival court,seek tool,relieved,missed greeting,0.718637,False,False,True
327,19,3,Ari,tool alcove,care duty,tired,care favor,0.680228,False,True,True
328,19,4,Fay,rain court,recover focus,hungry,route warning,0.635332,False,True,False
329,19,5,Milo,fiber loft,recover focus,guarded,tool loan,0.625226,False,True,True
330,19,6,Sera,west hearth,rest,steady,water carry,0.629202,False,True,True
331,19,7,Tovan,river gate,rest,wet,repair promise,0.706022,True,False,True
332,19,8,Nia,arrival court,negotiate debt,focused,missed greeting,0.72264,False,True,True
333,19,9,Ari,tool alcove,seek tool,relieved,care favor,0.693778,False,False,True
334,19,10,Fay,rain court,care duty,tired,route warning,0.645971,False,False,True
335,19,11,Milo,fiber loft,private task,hungry,tool loan,0.623173,False,True,True
336,19,12,Sera,west hearth,work,guarded,water carry,0.646344,False,True,False
337,19,13,Tovan,river gate,work,steady,repair promise,0.694181,False,True,True
338,19,14,Nia,arrival court,negotiate debt,wet,missed greeting,0.692703,False,True,True
339,19,15,Ari,tool alcove,negotiate debt,focused,care favor,0.705687,True,False,True
340,19,16,Fay,rain court,seek tool,relieved,route warning,0.658777,False,True,True
341,19,17,Milo,fiber loft,care duty,tired,tool loan,0.625103,False,False,True
342,20,0,Sera,river gate,recover focus,relieved,repair promise,0.707655,False,True,True
343,20,1,Tovan,arrival court,rest,tired,missed greeting,0.749729,False,True,True
344,20,2,Nia,tool alcove,rest,hungry,care favor,0.75312,False,True,True
345,20,3,Ari,rain court,seek tool,guarded,route warning,0.684711,False,True,True
346,20,4,Fay,fiber loft,seek tool,steady,tool loan,0.669815,True,False,True
347,20,5,Milo,west hearth,care duty,wet,water carry,0.659709,False,True,True
348,20,6,Sera,river gate,private task,focused,repair promise,0.693684,False,False,True
349,20,7,Tovan,arrival court,recover focus,relieved,missed greeting,0.740505,False,False,True
350,20,8,Nia,tool alcove,work,tired,care favor,0.757123,False,True,True
351,20,9,Ari,rain court,negotiate debt,hungry,route warning,0.728261,False,True,True
352,20,10,Fay,fiber loft,negotiate debt,guarded,tool loan,0.680454,False,True,True
353,20,11,Milo,west hearth,care duty,steady,water carry,0.627656,False,True,True
354,20,12,Sera,river gate,care duty,wet,repair promise,0.680827,True,False,True
355,20,13,Tovan,arrival court,private task,focused,missed greeting,0.728664,False,True,True
356,20,14,Nia,tool alcove,recover focus,relieved,care favor,0.757186,False,False,True
357,20,15,Ari,rain court,work,tired,route warning,0.74017,False,False,True
358,20,16,Fay,fiber loft,rest,hungry,tool loan,0.69326,False,True,True
359,20,17,Milo,west hearth,seek tool,guarded,water carry,0.659585,False,True,True
360,21,0,Sera,arrival court,private task,hungry,missed greeting,0.712138,True,True,False
