tick,day,hour,avatar_mode,lineage,agent,place,autonomous_action,routine_phase,avatar_required,action_reason,sound_rate,smell_intensity,temperature,wetness,ceremony_pulse_hz,flower_phase_deg,tick_hash
11,1,16,present_passive,Orchardline,Ori,Ceremony Center,route_patrol,evening,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=present_passive.",0.396993,0.292255,0.558761,0.204258,2.4,146.785404,759dc059a9fc7c8c
12,1,17,absent_saved,Rainline,Vonn,Rainwalk Threshold,archive_update,evening,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=absent_saved.",0.398597,0.307392,0.537853,0.456526,2.12,277.853168,0ad2a5d53c3e9785
13,1,18,present_passive,Hearthline,Sova,Hearth Archive,work_project,evening,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=present_passive.",0.399601,0.293076,0.652255,0.217932,2.31,59.730932,7120bec69e01aa60
14,1,19,idle_nearby,Routeline,Keth,Gate Ring,work_project,evening,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=idle_nearby.",0.399994,0.29227,0.575409,0.204504,2.17,194.018696,2aa0f78101b8e17a
15,2,6,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,morning,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.39977,0.472827,0.5177,0.213783,2.06,347.99646,6219d9fd4cc14f0b
16,2,7,idle_nearby,Orchardline,Ori,Ceremony Center,share_resource,morning,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=idle_nearby.",0.398933,0.473847,0.504676,0.23078,2.4,133.324224,1dec86142cc3af7c
17,2,8,present_passive,Rainline,Vonn,Rainwalk Threshold,maintain_tool,morning,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=present_passive.",0.397492,0.487015,0.470397,0.450247,2.12,264.391988,e09cb7280be2a6d4
18,2,9,absent_saved,Hearthline,Sova,Hearth Archive,boundary_review,morning,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",0.395465,0.292705,0.57499,0.211755,2.31,46.269752,1982a420745058e4
19,2,10,present_passive,Routeline,Keth,Gate Ring,boundary_review,midday,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=present_passive.",0.392877,0.292058,0.496617,0.200967,2.17,180.557516,b0e71dc744a493be
20,2,11,idle_nearby,Marketline,Melo,Market Measure,weather_watch,midday,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=idle_nearby.",0.389761,0.29183,0.501729,0.197166,2.47,324.96528,a27e46a298bba779
21,2,12,absent_saved,Ledgerline,Nari,Hearth Archive,archive_update,midday,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",0.386154,0.292798,0.508258,0.213306,2.06,93.043044,c9e4a1da120f9f0d
22,2,13,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,midday,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.382102,0.292567,0.520064,0.209452,2.4,238.370808,f957a6929905354e
23,2,14,idle_nearby,Rainline,Vonn,Rainwalk Threshold,archive_update,midday,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=idle_nearby.",0.377653,0.304817,0.508537,0.413623,2.12,9.438572,7fcb0cc0727ac66c
24,2,15,present_passive,Hearthline,Sova,Hearth Archive,work_project,evening,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=present_passive.",0.372864,0.291291,0.628764,0.188191,2.31,151.316336,4e6fc204a778d8aa
25,2,16,absent_saved,Routeline,Keth,Gate Ring,work_project,evening,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.367792,0.290348,0.562575,0.172473,2.17,285.6041,f4059c2f3c2a78d2
26,2,17,present_passive,Marketline,Melo,Market Measure,agent_checkin,evening,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=present_passive.",0.482501,0.289852,0.572932,0.164195,2.47,70.011864,f87fad255a11581e
27,2,18,idle_nearby,Ledgerline,Nari,Hearth Archive,maintain_tool,evening,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=idle_nearby.",0.357056,0.470188,0.578032,0.169794,2.06,198.089628,bfcbee0fa93a4e1e
28,2,19,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,evening,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.351524,0.469803,0.580343,0.163389,2.4,343.417392,84eacfcf8d3fe10f
29,3,6,idle_nearby,Hearthline,Sova,Hearth Archive,boundary_review,morning,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=idle_nearby.",0.345973,0.28776,0.607834,0.129339,2.31,137.855156,1cca61a97f894753
30,3,7,present_passive,Routeline,Keth,Gate Ring,boundary_review,morning,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=present_passive.",0.340472,0.287535,0.5173,0.125577,2.17,272.14292,a1c668c568660372
31,3,8,absent_saved,Marketline,Melo,Market Measure,weather_watch,morning,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",0.335088,0.287169,0.51009,0.119476,2.47,56.550684,f86fdfe9f0994bcb
32,3,9,present_passive,Ledgerline,Nari,Hearth Archive,archive_update,morning,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=present_passive.",0.329888,0.287357,0.505686,0.12262,2.06,184.628448,677419263109cc32
33,3,10,idle_nearby,Orchardline,Ori,Ceremony Center,route_patrol,midday,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=idle_nearby.",0.324936,0.28666,0.507413,0.110998,2.4,329.956212,425a82fe2e2ffbff
34,3,11,absent_saved,Rainline,Vonn,Rainwalk Threshold,archive_update,midday,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=absent_saved.",0.320293,0.299877,0.485634,0.33129,2.12,101.023976,5c96919069d0abd5
35,3,12,absent_saved,Hearthline,Sova,Hearth Archive,work_project,midday,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.316017,0.285065,0.603724,0.084418,2.31,242.90174,542529256d3f56ba
36,3,13,idle_nearby,Routeline,Keth,Gate Ring,work_project,midday,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=idle_nearby.",0.31216,0.284411,0.536377,0.073513,2.17,17.189504,6485b3127ac8946e
37,3,14,present_passive,Marketline,Melo,Market Measure,agent_checkin,midday,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=present_passive.",0.428769,0.283736,0.5507,0.062262,2.47,161.597268,49524ffaad845000
38,3,15,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,evening,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.305887,0.463542,0.564263,0.059033,2.06,289.675032,2fb9396f8d85df42
39,3,16,present_passive,Orchardline,Ori,Ceremony Center,share_resource,evening,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=present_passive.",0.303549,0.463303,0.576666,0.055049,2.4,75.002796,ef2fdb662efbf8e3
40,3,17,idle_nearby,Rainline,Vonn,Rainwalk Threshold,maintain_tool,evening,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=idle_nearby.",0.301784,0.477703,0.55723,0.295049,2.12,206.07056,443f7fe79911c076
41,3,18,absent_saved,Hearthline,Sova,Hearth Archive,boundary_review,evening,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",0.300614,0.282973,0.672461,0.049546,2.31,347.948324,dcf8e10e92db6f6b
42,3,19,absent_saved,Routeline,Keth,Gate Ring,boundary_review,evening,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.300052,0.281668,0.596615,0.027792,2.17,122.236088,6180145618d61fe5
43,4,6,present_passive,Ledgerline,Nari,Hearth Archive,archive_update,morning,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=present_passive.",0.300107,0.281564,0.540227,0.026059,2.06,276.213852,115c9725dfe60ea8
44,4,7,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,morning,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.300777,0.281518,0.529335,0.025293,2.4,61.541616,186b2fee3e3c66b0
45,4,8,present_passive,Rainline,Vonn,Rainwalk Threshold,archive_update,morning,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=present_passive.",0.302054,0.294469,0.495489,0.24115,2.12,192.60938,a48544d3b8a41f5a
46,4,9,idle_nearby,Hearthline,Sova,Hearth Archive,work_project,morning,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=idle_nearby.",0.303922,0.281655,0.59709,0.027589,2.31,334.487144,7cfc70db606723cc
47,4,10,absent_saved,Routeline,Keth,Gate Ring,work_project,midday,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.306359,0.280888,0.518958,0.014794,2.17,108.774908,fd596aed635d1333
48,4,11,absent_saved,Marketline,Melo,Market Measure,agent_checkin,midday,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=absent_saved.",0.429334,0.280856,0.523676,0.014272,2.47,253.182672,b4b4e31dcd2e2612
49,4,12,idle_nearby,Ledgerline,Nari,Hearth Archive,maintain_tool,midday,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=idle_nearby.",0.31281,0.460631,0.532592,0.01052,2.06,21.260436,89217e80c642a056
50,4,13,present_passive,Orchardline,Ori,Ceremony Center,share_resource,midday,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=present_passive.",0.316745,0.461226,0.542745,0.02044,2.4,166.5882,a4a21fa5d17bab79
51,4,14,absent_saved,Rainline,Vonn,Rainwalk Threshold,maintain_tool,midday,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=absent_saved.",0.32109,0.475247,0.527679,0.254109,2.12,297.655964,25862076c28f737b
52,4,15,present_passive,Hearthline,Sova,Hearth Archive,boundary_review,evening,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=present_passive.",0.325792,0.281172,0.649003,0.019529,2.31,79.533728,15761cc3d010725f
53,4,16,idle_nearby,Routeline,Keth,Gate Ring,boundary_review,evening,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=idle_nearby.",0.330792,0.281701,0.579871,0.028344,2.17,213.821492,0a315e1dffe3faa4
54,4,17,absent_saved,Marketline,Melo,Market Measure,weather_watch,evening,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",0.336029,0.282911,0.586814,0.048515,2.47,358.229256,602e5110df035508
55,4,18,absent_saved,Ledgerline,Nari,Hearth Archive,archive_update,evening,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",0.341439,0.282376,0.593654,0.039608,2.06,126.30702,113ae573648a9e3f
56,4,19,idle_nearby,Orchardline,Ori,Ceremony Center,route_patrol,evening,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=idle_nearby.",0.346954,0.282653,0.594645,0.04421,2.4,271.634784,149bbc262613e151
57,5,6,absent_saved,Hearthline,Sova,Hearth Archive,work_project,morning,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.352506,0.284276,0.614801,0.071273,2.31,66.072548,34a8cd0f77dbfdcb
58,5,7,present_passive,Routeline,Keth,Gate Ring,work_project,morning,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=present_passive.",0.358028,0.28326,0.52585,0.054332,2.17,200.360312,33c63d705abcf500
59,5,8,idle_nearby,Marketline,Melo,Market Measure,agent_checkin,morning,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=idle_nearby.",0.483451,0.285253,0.513921,0.087552,2.47,344.768076,83f2eefc897ca388
60,5,9,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,morning,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.368708,0.46482,0.510759,0.080341,2.06,112.84584,948f4d4229aecf49
61,5,10,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,midday,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.373734,0.465724,0.509285,0.095399,2.4,258.173604,bd656aa4509d5b69
62,5,11,idle_nearby,Rainline,Vonn,Rainwalk Threshold,maintain_tool,midday,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=idle_nearby.",0.378467,0.480615,0.484159,0.343581,2.12,29.241368,821fd28807357d4e
63,5,12,present_passive,Hearthline,Sova,Hearth Archive,boundary_review,midday,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=present_passive.",0.382849,0.285776,0.602301,0.096275,2.31,171.119132,96c4f6f857863b9f
64,5,13,absent_saved,Routeline,Keth,Gate Ring,boundary_review,midday,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.386826,0.288004,0.529191,0.133394,2.17,305.406896,ba0265a6d15b9729
65,5,14,present_passive,Marketline,Melo,Market Measure,weather_watch,midday,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=present_passive.",0.390349,0.288313,0.541546,0.138549,2.47,89.81466,4db117bb23327c6b
66,5,15,idle_nearby,Ledgerline,Nari,Hearth Archive,archive_update,evening,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=idle_nearby.",0.393375,0.28793,0.555486,0.13217,2.06,217.892424,36bc64d1ad8e981c
67,5,16,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,evening,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.395865,0.289375,0.564523,0.156242,2.4,3.220188,ae94bfc496a85f44
68,5,17,absent_saved,Rainline,Vonn,Rainwalk Threshold,archive_update,evening,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=absent_saved.",0.39779,0.303368,0.545899,0.389472,2.12,134.287952,328c4faea7877d77
69,5,18,idle_nearby,Hearthline,Sova,Hearth Archive,work_project,evening,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=idle_nearby.",0.399125,0.290397,0.657612,0.173286,2.31,276.165716,383ad932ec73d5b5
70,5,19,present_passive,Routeline,Keth,Gate Ring,work_project,evening,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=present_passive.",0.399855,0.290788,0.578373,0.179807,2.17,50.45348,5c8373acbd93decf
71,6,6,present_passive,Ledgerline,Nari,Hearth Archive,maintain_tool,morning,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=present_passive.",0.39997,0.47049,0.522373,0.174841,2.06,204.431244,900390b9edbf8b44
72,6,7,idle_nearby,Orchardline,Ori,Ceremony Center,share_resource,morning,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=idle_nearby.",0.399468,0.470925,0.51052,0.182081,2.4,349.759008,dec68f3b7c181439
73,6,8,absent_saved,Rainline,Vonn,Rainwalk Threshold,maintain_tool,morning,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=absent_saved.",0.398356,0.486138,0.47215,0.435642,2.12,120.826772,16a0250b1d47dfb3
74,6,9,absent_saved,Hearthline,Sova,Hearth Archive,boundary_review,morning,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",0.396648,0.292909,0.574582,0.215154,2.31,262.704536,3a14b6ed6ade4939
75,6,10,idle_nearby,Routeline,Keth,Gate Ring,boundary_review,midday,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=idle_nearby.",0.394365,0.292946,0.49484,0.215774,2.17,36.9923,5c4db00ca9a7abfb
76,6,11,present_passive,Marketline,Melo,Market Measure,weather_watch,midday,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=present_passive.",0.391534,0.293374,0.498641,0.222898,2.47,181.400064,86ce4f1475c0ba88
77,6,12,absent_saved,Ledgerline,Nari,Hearth Archive,archive_update,midday,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",0.388191,0.292417,0.50902,0.206952,2.06,309.477828,27dd5ba60345aba9
78,6,13,present_passive,Orchardline,Ori,Ceremony Center,route_patrol,midday,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=present_passive.",0.384378,0.293019,0.51916,0.216983,2.4,94.805592,5bad4dc4b4430d23
79,6,14,idle_nearby,Rainline,Vonn,Rainwalk Threshold,archive_update,midday,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=idle_nearby.",0.38014,0.306423,0.505326,0.440377,2.12,225.873356,b6725ff9ac246a24
80,6,15,absent_saved,Hearthline,Sova,Hearth Archive,work_project,evening,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.37553,0.293676,0.623995,0.22793,2.31,7.75112,64b9cd52aa4b933a
81,6,16,absent_saved,Routeline,Keth,Gate Ring,work_project,evening,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.370606,0.292872,0.557528,0.214532,2.17,142.038884,0040320a45e9dcf1
82,6,17,idle_nearby,Marketline,Melo,Market Measure,agent_checkin,evening,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=idle_nearby.",0.485427,0.292586,0.567464,0.209764,2.47,286.446648,9a56cf2c23ec6c90
83,6,18,present_passive,Ledgerline,Nari,Hearth Archive,maintain_tool,evening,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=present_passive.",0.360059,0.473337,0.571733,0.222279,2.06,54.524412,cfd170c1114ab717
84,6,19,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,evening,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.354566,0.472461,0.575027,0.207687,2.4,199.852176,31cda000e62b0bbf
85,7,6,idle_nearby,Hearthline,Sova,Hearth Archive,boundary_review,morning,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=idle_nearby.",0.349017,0.291585,0.600185,0.193075,2.31,354.28994,cb18cb040b5a94fb
86,7,7,absent_saved,Routeline,Keth,Gate Ring,boundary_review,morning,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=absent_saved.",0.34348,0.292781,0.506808,0.213017,2.17,128.577704,2334ae5d1626c540
87,7,8,absent_saved,Marketline,Melo,Market Measure,weather_watch,morning,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",0.338023,0.29195,0.500526,0.199174,2.47,272.985468,79c990afcd76f4f8
88,7,9,idle_nearby,Ledgerline,Nari,Hearth Archive,archive_update,morning,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=idle_nearby.",0.332714,0.290621,0.499158,0.177021,2.06,41.063232,6bd33abb1569ebb8
89,7,10,present_passive,Orchardline,Ori,Ceremony Center,route_patrol,midday,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=present_passive.",0.327619,0.290441,0.499851,0.17402,2.4,186.390996,396163d8e0efad60
90,7,11,absent_saved,Rainline,Vonn,Rainwalk Threshold,archive_update,midday,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=absent_saved.",0.322799,0.304687,0.476015,0.411449,2.12,317.45876,e3518dde51b66f71
91,7,12,present_passive,Hearthline,Sova,Hearth Archive,work_project,midday,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=present_passive.",0.318315,0.29001,0.593834,0.166833,2.31,99.336524,ecbf1cd83123cbf9
92,7,13,idle_nearby,Routeline,Keth,Gate Ring,work_project,midday,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=idle_nearby.",0.314221,0.288895,0.527408,0.148252,2.17,233.624288,ec8b259b6c52adbb
93,7,14,absent_saved,Marketline,Melo,Market Measure,agent_checkin,midday,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=absent_saved.",0.430569,0.288831,0.540509,0.14719,2.47,18.032052,b4ca2d3aef5c9998
94,7,15,absent_saved,Ledgerline,Nari,Hearth Archive,maintain_tool,evening,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",0.307403,0.469087,0.553173,0.151447,2.06,146.109816,288fbae3c3c81fa1
95,7,16,idle_nearby,Orchardline,Ori,Ceremony Center,share_resource,evening,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=idle_nearby.",0.304763,0.468441,0.566391,0.140679,2.4,291.43758,c693b7385b3b66c9
96,7,17,present_passive,Rainline,Vonn,Rainwalk Threshold,maintain_tool,evening,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=present_passive.",0.30268,0.481322,0.549991,0.35537,2.12,62.505344,9e7507af11544708
97,7,18,absent_saved,Hearthline,Sova,Hearth Archive,boundary_review,evening,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",0.301181,0.287735,0.662937,0.128918,2.31,204.383108,9b6fa75f2b014f72
98,7,19,present_passive,Routeline,Keth,Gate Ring,boundary_review,evening,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=present_passive.",0.300284,0.287311,0.585327,0.121855,2.17,338.670872,2552ebc367529e26
99,8,6,absent_saved,Ledgerline,Nari,Hearth Archive,archive_update,morning,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",0.3,0.285338,0.532679,0.08896,2.06,132.648636,3513af87ee753edc
100,8,7,absent_saved,Orchardline,Ori,Ceremony Center,route_patrol,morning,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",0.300333,0.284972,0.522426,0.082866,2.4,277.9764,accbc2d0ac96c346
101,8,8,idle_nearby,Rainline,Vonn,Rainwalk Threshold,archive_update,morning,False,"Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=idle_nearby.",0.301279,0.298052,0.488323,0.30087,2.12,49.044164,2d6ba8c686961877
102,8,9,present_passive,Hearthline,Sova,Hearth Archive,work_project,morning,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=present_passive.",0.302825,0.28372,0.592959,0.062007,2.31,190.921928,8c0bb7a1c817d105
103,8,10,absent_saved,Routeline,Keth,Gate Ring,work_project,midday,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",0.304953,0.283298,0.514137,0.054966,2.17,325.209692,f73a505811371c7d
104,8,11,present_passive,Marketline,Melo,Market Measure,agent_checkin,midday,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=present_passive.",0.427637,0.283669,0.518051,0.061146,2.47,109.617456,9d957d2187c38dcd
105,8,12,idle_nearby,Ledgerline,Nari,Hearth Archive,maintain_tool,midday,False,"Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=idle_nearby.",0.310843,0.46242,0.529013,0.04034,2.06,237.69522,edafc010055376af
106,8,13,absent_saved,Orchardline,Ori,Ceremony Center,share_resource,midday,False,"Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",0.314532,0.46166,0.541878,0.027672,2.4,23.022984,3a823f04f30928c7
107,8,14,absent_saved,Rainline,Vonn,Rainwalk Threshold,maintain_tool,midday,False,"Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=absent_saved.",0.318658,0.4756,0.526973,0.259992,2.12,154.090748,0b8b2d9489e3b997
108,8,15,idle_nearby,Hearthline,Sova,Hearth Archive,boundary_review,evening,False,"Sova continues warm cups and public archive because boundary_review is due, avatar_mode=idle_nearby.",0.323171,0.281787,0.647772,0.029785,2.31,295.968512,f445d0ada54bcf2f
109,8,16,present_passive,Routeline,Keth,Gate Ring,boundary_review,evening,False,"Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=present_passive.",0.328015,0.281746,0.579779,0.029106,2.17,70.256276,b34398f69bc7bae9
110,8,17,absent_saved,Marketline,Melo,Market Measure,weather_watch,evening,False,"Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",0.33313,0.281782,0.589072,0.029697,2.47,214.66404,3bd11b0ac8a14abc
111,8,18,present_passive,Ledgerline,Nari,Hearth Archive,archive_update,evening,False,"Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=present_passive.",0.338453,0.281461,0.595484,0.024355,2.06,342.741804,f5455d09183e6a38
112,8,19,idle_nearby,Orchardline,Ori,Ceremony Center,route_patrol,evening,False,"Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=idle_nearby.",0.343919,0.281069,0.597812,0.017814,2.4,128.069568,c7d31dc3daed920a
113,9,6,absent_saved,Hearthline,Sova,Hearth Archive,work_project,morning,False,"Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",0.349459,0.280992,0.621371,0.016528,2.31,282.507332,3c0ac1b958a54cb2
114,9,7,idle_nearby,Routeline,Keth,Gate Ring,work_project,morning,False,"Keth continues route repair and boundary marks because work_project is due, avatar_mode=idle_nearby.",0.355006,0.282065,0.52824,0.034416,2.17,56.795096,5db0e7879ec859fb
115,9,8,present_passive,Marketline,Melo,Market Measure,agent_checkin,morning,False,"Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=present_passive.",0.480492,0.281077,0.522273,0.017954,2.47,201.20286,a3b1e2d7b1c666ca
