episode_id,agent,trust_after,respect_after,familiarity_after,avoidance_after,gratitude_after,resentment_after,learned_about_avatar,relationship_consequence
33,Ari,0.66,0.652,0.512,0.182,0.336,0.128,avatar can help without taking over,warmer later greeting
34,Fay,0.746,0.652,0.522,0.174,0.366,0.108,avatar is familiar but not decisive,neutral continuity
35,Milo,0.782,0.68,0.522,0.12,0.374,0.082,avatar can help without taking over,warmer later greeting
36,Sol,0.692,0.68,0.522,0.12,0.384,0.082,avatar can help without taking over,warmer later greeting
37,Ari,0.642,0.638,0.53,0.212,0.328,0.154,avatar is familiar but not decisive,neutral continuity
38,Fay,0.754,0.666,0.55,0.166,0.396,0.088,avatar can help without taking over,warmer later greeting
39,Milo,0.818,0.694,0.55,0.1,0.414,0.062,avatar can help without taking over,warmer later greeting
40,Sol,0.728,0.724,0.55,0.1,0.414,0.062,avatar can help without taking over,warmer later greeting
41,Ari,0.678,0.652,0.558,0.192,0.358,0.134,avatar can help without taking over,warmer later greeting
42,Fay,0.79,0.68,0.578,0.146,0.436,0.068,avatar can help without taking over,warmer later greeting
43,Milo,0.854,0.738,0.578,0.08,0.444,0.042,avatar can help without taking over,warmer later greeting
44,Sol,0.764,0.738,0.578,0.08,0.444,0.042,avatar can help without taking over,warmer later greeting
45,Ari,0.686,0.666,0.586,0.184,0.398,0.114,avatar can help without taking over,warmer later greeting
46,Fay,0.826,0.724,0.606,0.126,0.466,0.048,avatar can help without taking over,warmer later greeting
47,Milo,0.862,0.752,0.606,0.072,0.474,0.022,avatar can help without taking over,warmer later greeting
48,Sol,0.776,0.752,0.596,0.08,0.444,0.042,avatar is familiar but not decisive,neutral continuity
49,Ari,0.722,0.71,0.614,0.164,0.428,0.094,avatar can help without taking over,warmer later greeting
50,Fay,0.862,0.738,0.634,0.106,0.496,0.028,avatar can help without taking over,warmer later greeting
51,Milo,0.874,0.766,0.624,0.072,0.474,0.022,avatar is familiar but not decisive,neutral continuity
52,Sol,0.758,0.738,0.614,0.11,0.436,0.068,avatar is familiar but not decisive,neutral continuity
53,Ari,0.758,0.724,0.642,0.144,0.458,0.074,avatar can help without taking over,warmer later greeting
54,Fay,0.874,0.752,0.652,0.106,0.496,0.028,avatar is familiar but not decisive,neutral continuity
55,Milo,0.856,0.752,0.642,0.102,0.466,0.048,avatar is familiar but not decisive,neutral continuity
56,Sol,0.766,0.752,0.642,0.102,0.466,0.048,avatar can help without taking over,warmer later greeting
57,Ari,0.794,0.738,0.67,0.124,0.488,0.054,avatar can help without taking over,warmer later greeting
58,Fay,0.856,0.738,0.67,0.136,0.488,0.054,avatar is familiar but not decisive,neutral continuity
59,Milo,0.892,0.766,0.67,0.082,0.496,0.028,avatar can help without taking over,warmer later greeting
60,Sol,0.802,0.766,0.67,0.082,0.506,0.028,avatar can help without taking over,warmer later greeting
61,Ari,0.776,0.724,0.688,0.154,0.48,0.08,avatar is familiar but not decisive,neutral continuity
62,Fay,0.892,0.752,0.698,0.116,0.518,0.034,avatar can help without taking over,warmer later greeting
63,Milo,0.928,0.78,0.698,0.062,0.536,0.008,avatar can help without taking over,warmer later greeting
64,Sol,0.838,0.81,0.698,0.062,0.536,0.008,avatar can help without taking over,warmer later greeting
65,Ari,0.784,0.738,0.716,0.146,0.51,0.06,avatar can help without taking over,warmer later greeting
66,Fay,0.928,0.766,0.726,0.096,0.558,0.014,avatar can help without taking over,warmer later greeting
67,Milo,0.964,0.824,0.726,0.042,0.566,0.0,avatar can help without taking over,warmer later greeting
68,Sol,0.874,0.824,0.726,0.042,0.566,0.0,avatar can help without taking over,warmer later greeting
69,Ari,0.82,0.752,0.744,0.126,0.55,0.04,avatar can help without taking over,warmer later greeting
70,Fay,0.964,0.81,0.754,0.076,0.588,0.0,avatar can help without taking over,warmer later greeting
71,Milo,1.0,0.838,0.754,0.022,0.596,0.0,avatar can help without taking over,warmer later greeting
72,Sol,0.886,0.838,0.744,0.042,0.566,0.0,avatar is familiar but not decisive,neutral continuity
73,Ari,0.856,0.796,0.772,0.106,0.58,0.02,avatar can help without taking over,warmer later greeting
74,Fay,0.972,0.824,0.782,0.068,0.618,0.0,avatar can help without taking over,warmer later greeting
75,Milo,1.0,0.852,0.772,0.022,0.596,0.0,avatar is familiar but not decisive,neutral continuity
76,Sol,0.868,0.824,0.762,0.072,0.558,0.026,avatar is familiar but not decisive,neutral continuity
77,Ari,0.892,0.81,0.8,0.086,0.61,0.0,avatar can help without taking over,warmer later greeting
78,Fay,0.984,0.838,0.8,0.068,0.618,0.0,avatar is familiar but not decisive,neutral continuity
79,Milo,0.982,0.838,0.79,0.052,0.588,0.026,avatar is familiar but not decisive,neutral continuity
80,Sol,0.876,0.838,0.79,0.064,0.588,0.006,avatar can help without taking over,warmer later greeting
81,Ari,0.904,0.824,0.818,0.086,0.61,0.0,avatar is familiar but not decisive,neutral continuity
82,Fay,0.966,0.824,0.818,0.098,0.61,0.026,avatar is familiar but not decisive,neutral continuity
83,Milo,0.99,0.852,0.818,0.044,0.618,0.006,avatar can help without taking over,warmer later greeting
84,Sol,0.858,0.824,0.808,0.094,0.58,0.032,avatar is familiar but not decisive,neutral continuity
85,Ari,0.886,0.81,0.836,0.116,0.602,0.026,avatar is familiar but not decisive,neutral continuity
86,Fay,1.0,0.838,0.846,0.078,0.64,0.006,avatar can help without taking over,warmer later greeting
87,Milo,1.0,0.866,0.846,0.024,0.658,0.0,avatar can help without taking over,warmer later greeting
88,Sol,0.894,0.868,0.836,0.074,0.61,0.012,avatar can help without taking over,warmer later greeting
89,Ari,0.922,0.824,0.864,0.096,0.632,0.006,avatar can help without taking over,warmer later greeting
90,Fay,1.0,0.852,0.874,0.058,0.68,0.0,avatar can help without taking over,warmer later greeting
91,Milo,1.0,0.91,0.874,0.004,0.688,0.0,avatar can help without taking over,warmer later greeting
92,Sol,0.93,0.882,0.864,0.054,0.64,0.0,avatar can help without taking over,warmer later greeting
93,Ari,0.958,0.838,0.892,0.076,0.672,0.0,avatar can help without taking over,warmer later greeting
94,Fay,1.0,0.896,0.902,0.038,0.71,0.0,avatar can help without taking over,warmer later greeting
95,Milo,1.0,0.924,0.902,0.0,0.718,0.0,avatar can help without taking over,warmer later greeting
96,Sol,0.914,0.896,0.882,0.066,0.64,0.0,my no changed the interaction path,bounded refusal becomes available
97,Ari,0.994,0.882,0.92,0.056,0.702,0.0,avatar can help without taking over,warmer later greeting
98,Fay,1.0,0.91,0.93,0.018,0.74,0.0,avatar can help without taking over,warmer later greeting
99,Milo,1.0,0.938,0.92,0.0,0.718,0.0,avatar is familiar but not decisive,neutral continuity
100,Sol,0.896,0.882,0.9,0.096,0.632,0.026,avatar is familiar but not decisive,neutral continuity
101,Ari,1.0,0.896,0.948,0.048,0.732,0.0,avatar can help without taking over,warmer later greeting
102,Fay,1.0,0.924,0.948,0.018,0.74,0.0,avatar is familiar but not decisive,neutral continuity
103,Milo,0.982,0.924,0.938,0.03,0.71,0.026,avatar is familiar but not decisive,neutral continuity
104,Sol,0.932,0.896,0.928,0.076,0.662,0.006,avatar can help without taking over,warmer later greeting
105,Ari,1.0,0.91,0.966,0.048,0.732,0.0,avatar is familiar but not decisive,neutral continuity
106,Fay,0.982,0.91,0.966,0.048,0.732,0.026,avatar is familiar but not decisive,neutral continuity
107,Milo,0.99,0.938,0.966,0.022,0.74,0.006,avatar can help without taking over,warmer later greeting
108,Sol,0.914,0.882,0.946,0.106,0.654,0.032,avatar is familiar but not decisive,neutral continuity
109,Ari,0.982,0.896,0.984,0.078,0.724,0.026,avatar is familiar but not decisive,neutral continuity
110,Fay,0.99,0.924,0.994,0.04,0.762,0.006,avatar can help without taking over,warmer later greeting
111,Milo,0.972,0.924,0.984,0.052,0.732,0.032,avatar is familiar but not decisive,neutral continuity
112,Sol,0.95,0.896,0.974,0.086,0.684,0.012,avatar can help without taking over,warmer later greeting
113,Ari,1.0,0.91,1.0,0.058,0.754,0.006,avatar can help without taking over,warmer later greeting
114,Fay,1.0,0.938,1.0,0.02,0.802,0.0,avatar can help without taking over,warmer later greeting
115,Milo,1.0,0.968,1.0,0.032,0.762,0.012,avatar can help without taking over,warmer later greeting
116,Sol,0.986,0.91,1.0,0.066,0.714,0.0,avatar can help without taking over,warmer later greeting
117,Ari,1.0,0.924,1.0,0.038,0.794,0.0,avatar can help without taking over,warmer later greeting
118,Fay,1.0,0.982,1.0,0.0,0.832,0.0,avatar can help without taking over,warmer later greeting
119,Milo,1.0,0.982,1.0,0.012,0.792,0.0,avatar can help without taking over,warmer later greeting
120,Sol,0.998,0.924,1.0,0.066,0.714,0.0,avatar is familiar but not decisive,neutral continuity
121,Ari,1.0,0.968,1.0,0.018,0.824,0.0,avatar can help without taking over,warmer later greeting
122,Fay,1.0,0.996,1.0,0.0,0.862,0.0,avatar can help without taking over,warmer later greeting
123,Milo,0.984,0.996,1.0,0.024,0.792,0.0,my no changed the interaction path,bounded refusal becomes available
124,Sol,0.98,0.91,1.0,0.096,0.706,0.026,avatar is familiar but not decisive,neutral continuity
125,Ari,1.0,0.982,1.0,0.0,0.854,0.0,avatar can help without taking over,warmer later greeting
126,Fay,1.0,1.0,1.0,0.0,0.862,0.0,avatar is familiar but not decisive,neutral continuity
127,Milo,0.966,0.982,1.0,0.054,0.784,0.026,avatar is familiar but not decisive,neutral continuity
128,Sol,1.0,0.924,1.0,0.076,0.736,0.006,avatar can help without taking over,warmer later greeting
129,Ari,1.0,0.996,1.0,0.0,0.854,0.0,avatar is familiar but not decisive,neutral continuity
130,Fay,0.982,0.986,1.0,0.03,0.854,0.026,avatar is familiar but not decisive,neutral continuity
131,Milo,1.0,0.996,1.0,0.034,0.814,0.006,avatar can help without taking over,warmer later greeting
132,Sol,0.982,0.91,1.0,0.106,0.728,0.032,avatar is familiar but not decisive,neutral continuity
133,Ari,0.982,0.982,1.0,0.03,0.846,0.026,avatar is familiar but not decisive,neutral continuity
134,Fay,0.99,1.0,1.0,0.022,0.884,0.006,avatar can help without taking over,warmer later greeting
135,Milo,0.982,0.982,1.0,0.064,0.806,0.032,avatar is familiar but not decisive,neutral continuity
136,Sol,1.0,0.924,1.0,0.086,0.758,0.012,avatar can help without taking over,warmer later greeting
137,Ari,1.0,0.996,1.0,0.01,0.876,0.006,avatar can help without taking over,warmer later greeting
138,Fay,0.972,0.986,1.0,0.052,0.876,0.032,avatar is familiar but not decisive,neutral continuity
139,Milo,1.0,0.996,1.0,0.044,0.836,0.012,avatar can help without taking over,warmer later greeting
140,Sol,1.0,0.938,1.0,0.066,0.798,0.0,avatar can help without taking over,warmer later greeting
141,Ari,1.0,1.0,1.0,0.0,0.916,0.0,avatar can help without taking over,warmer later greeting
142,Fay,1.0,1.0,1.0,0.032,0.906,0.012,avatar can help without taking over,warmer later greeting
143,Milo,1.0,1.0,1.0,0.024,0.866,0.0,avatar can help without taking over,warmer later greeting
144,Sol,1.0,0.952,1.0,0.066,0.798,0.0,avatar is familiar but not decisive,neutral continuity
145,Ari,1.0,1.0,1.0,0.0,0.946,0.0,avatar can help without taking over,warmer later greeting
146,Fay,1.0,1.0,1.0,0.012,0.936,0.0,avatar can help without taking over,warmer later greeting
147,Milo,1.0,1.0,1.0,0.024,0.866,0.0,avatar is familiar but not decisive,neutral continuity
148,Sol,0.982,0.938,1.0,0.096,0.79,0.026,avatar is familiar but not decisive,neutral continuity
149,Ari,1.0,1.0,1.0,0.0,0.976,0.0,avatar can help without taking over,warmer later greeting
150,Fay,0.984,1.0,1.0,0.024,0.936,0.0,my no changed the interaction path,bounded refusal becomes available
151,Milo,0.982,0.986,1.0,0.054,0.858,0.026,avatar is familiar but not decisive,neutral continuity
152,Sol,1.0,0.952,1.0,0.076,0.82,0.006,avatar can help without taking over,warmer later greeting
153,Ari,1.0,1.0,1.0,0.0,0.976,0.0,avatar is familiar but not decisive,neutral continuity
154,Fay,0.966,0.986,1.0,0.054,0.928,0.026,avatar is familiar but not decisive,neutral continuity
155,Milo,1.0,1.0,1.0,0.034,0.888,0.006,avatar can help without taking over,warmer later greeting
156,Sol,0.982,0.938,1.0,0.106,0.812,0.032,avatar is familiar but not decisive,neutral continuity
157,Ari,0.982,0.986,1.0,0.03,0.968,0.026,avatar is familiar but not decisive,neutral continuity
158,Fay,1.0,1.0,1.0,0.034,0.958,0.006,avatar can help without taking over,warmer later greeting
159,Milo,0.982,0.986,1.0,0.064,0.88,0.032,avatar is familiar but not decisive,neutral continuity
160,Sol,1.0,0.952,1.0,0.086,0.842,0.012,avatar can help without taking over,warmer later greeting
161,Ari,1.0,1.0,1.0,0.01,0.998,0.006,avatar can help without taking over,warmer later greeting
162,Fay,0.982,0.986,1.0,0.064,0.95,0.032,avatar is familiar but not decisive,neutral continuity
163,Milo,1.0,1.0,1.0,0.044,0.91,0.012,avatar can help without taking over,warmer later greeting
164,Sol,1.0,0.966,1.0,0.066,0.882,0.0,avatar can help without taking over,warmer later greeting
165,Ari,0.982,0.986,1.0,0.04,0.99,0.032,avatar is familiar but not decisive,neutral continuity
166,Fay,1.0,1.0,1.0,0.044,0.98,0.012,avatar can help without taking over,warmer later greeting
167,Milo,1.0,1.0,1.0,0.024,0.95,0.0,avatar can help without taking over,warmer later greeting
168,Sol,1.0,1.0,1.0,0.046,0.912,0.0,avatar can help without taking over,warmer later greeting
