tick,day,resident,absent_ticks,offscreen_activity,progress_before,progress_after,resource_delta,interaction_without_avatar,visible_after_return
70,4,Fay,5,ambient household tick,0.110463,0.124463,0,True,True
71,4,Milo,6,ambient household tick,0.076788,0.090788,0,True,True
72,5,Sera,7,ambient household tick,0.178087,0.192087,1,True,True
73,5,Tovan,8,resident schedule advanced,0.220161,0.246161,0,True,True
74,5,Nia,9,ambient household tick,0.223552,0.237552,0,True,True
75,5,Ari,10,ambient household tick,0.185143,0.199143,0,True,True
76,5,Fay,11,ambient household tick,0.140247,0.154247,0,True,True
77,5,Milo,12,ambient household tick,0.130141,0.144141,1,True,True
78,5,Sera,13,ambient household tick,0.164116,0.178116,0,True,True
79,5,Tovan,14,ambient household tick,0.210936,0.224936,0,True,True
80,5,Nia,15,ambient household tick,0.227555,0.241555,-1,True,True
81,5,Ari,16,resident schedule advanced,0.198693,0.224693,0,True,True
82,5,Fay,17,ambient household tick,0.150886,0.164886,1,True,True
83,5,Milo,18,ambient household tick,0.128088,0.142088,0,True,True
84,5,Sera,19,ambient household tick,0.151258,0.165258,0,True,True
85,5,Tovan,20,ambient household tick,0.199095,0.213095,0,True,True
86,5,Nia,21,ambient household tick,0.227617,0.241617,0,True,True
87,5,Ari,22,ambient household tick,0.210601,0.224601,1,True,True
88,5,Fay,23,ambient household tick,0.163692,0.177692,-1,True,True
89,5,Milo,24,resident schedule advanced,0.130017,0.156017,0,True,True
90,6,Sera,25,resident schedule advanced,0.2261,0.2521,1,True,True
91,6,Tovan,26,ambient household tick,0.268174,0.282174,0,True,True
92,6,Nia,4,ambient household tick,0.271565,0.285565,0,True,True
93,6,Ari,5,ambient household tick,0.233156,0.247156,0,True,True
94,6,Fay,6,ambient household tick,0.18826,0.20226,0,True,True
95,6,Milo,7,ambient household tick,0.178154,0.192154,1,True,True
96,6,Sera,8,resident schedule advanced,0.212129,0.238129,0,True,True
97,6,Tovan,9,ambient household tick,0.258949,0.272949,0,True,True
98,6,Nia,10,ambient household tick,0.275568,0.289568,0,True,True
99,6,Ari,11,ambient household tick,0.246706,0.260706,0,True,True
100,6,Fay,12,ambient household tick,0.198899,0.212899,1,True,True
101,6,Milo,13,ambient household tick,0.1761,0.1901,0,True,True
102,6,Sera,14,ambient household tick,0.199271,0.213271,0,True,True
103,6,Tovan,15,ambient household tick,0.247108,0.261108,-1,True,True
104,6,Nia,16,resident schedule advanced,0.27563,0.30163,0,True,True
105,6,Ari,17,ambient household tick,0.258614,0.272614,1,True,True
106,6,Fay,18,ambient household tick,0.211705,0.225705,0,True,True
107,6,Milo,19,resident schedule advanced,0.17803,0.20403,0,True,True
108,7,Sera,20,ambient household tick,0.256457,0.270457,1,True,True
109,7,Tovan,21,ambient household tick,0.298531,0.312531,0,True,True
110,7,Nia,22,ambient household tick,0.301922,0.315922,-1,True,True
111,7,Ari,23,resident schedule advanced,0.263513,0.289513,0,True,True
112,7,Fay,24,ambient household tick,0.218617,0.232617,0,True,True
113,7,Milo,25,ambient household tick,0.208511,0.222511,1,True,True
114,7,Sera,26,ambient household tick,0.242487,0.256487,0,True,True
115,7,Tovan,4,ambient household tick,0.289307,0.303307,0,True,True
116,7,Nia,5,ambient household tick,0.305925,0.319925,0,True,True
117,7,Ari,6,ambient household tick,0.277063,0.291063,0,True,True
118,7,Fay,7,ambient household tick,0.229256,0.243256,1,True,True
119,7,Milo,8,resident schedule advanced,0.206458,0.232458,0,True,True
120,7,Sera,9,ambient household tick,0.229629,0.243629,0,True,True
121,7,Tovan,10,ambient household tick,0.277466,0.291466,0,True,True
122,7,Nia,11,ambient household tick,0.305988,0.319988,0,True,True
123,7,Ari,12,ambient household tick,0.288972,0.302972,1,True,True
124,7,Fay,13,ambient household tick,0.242062,0.256062,0,True,True
125,7,Milo,14,ambient household tick,0.208387,0.222387,0,True,True
126,8,Sera,15,resident schedule advanced,0.272952,0.298952,1,True,True
127,8,Tovan,16,ambient household tick,0.315026,0.329026,0,True,True
128,8,Nia,17,ambient household tick,0.318417,0.332417,0,True,True
129,8,Ari,18,ambient household tick,0.280008,0.294008,0,True,True
130,8,Fay,19,ambient household tick,0.235112,0.249112,0,True,True
131,8,Milo,20,ambient household tick,0.225006,0.239006,1,True,True
132,8,Sera,21,ambient household tick,0.258981,0.272981,0,True,True
133,8,Tovan,22,ambient household tick,0.305801,0.319801,-1,True,True
134,8,Nia,23,resident schedule advanced,0.32242,0.34842,0,True,True
135,8,Ari,24,ambient household tick,0.293558,0.307558,0,True,True
136,8,Fay,25,ambient household tick,0.245751,0.259751,1,True,True
137,8,Milo,26,ambient household tick,0.222953,0.236953,0,True,True
138,8,Sera,4,ambient household tick,0.246123,0.260123,0,True,True
139,8,Tovan,5,ambient household tick,0.29396,0.30796,0,True,True
140,8,Nia,6,ambient household tick,0.322482,0.336482,0,True,True
141,8,Ari,7,ambient household tick,0.305466,0.319466,1,True,True
142,8,Fay,8,resident schedule advanced,0.258557,0.284557,0,True,True
143,8,Milo,9,ambient household tick,0.224882,0.238882,0,True,True
144,9,Sera,10,resident schedule advanced,0.292122,0.318122,1,True,True
145,9,Tovan,11,ambient household tick,0.334196,0.348196,0,True,True
146,9,Nia,12,ambient household tick,0.337587,0.351587,0,True,True
147,9,Ari,13,ambient household tick,0.299178,0.313178,0,True,True
148,9,Fay,14,ambient household tick,0.254282,0.268282,-1,True,True
149,9,Milo,15,resident schedule advanced,0.244176,0.270176,1,True,True
150,9,Sera,16,ambient household tick,0.278151,0.292151,0,True,True
151,9,Tovan,17,ambient household tick,0.324972,0.338972,0,True,True
152,9,Nia,18,ambient household tick,0.34159,0.35559,0,True,True
153,9,Ari,19,ambient household tick,0.312728,0.326728,0,True,True
154,9,Fay,20,ambient household tick,0.264921,0.278921,1,True,True
155,9,Milo,21,ambient household tick,0.242123,0.256123,0,True,True
156,9,Sera,22,ambient household tick,0.265294,0.279294,-1,True,True
157,9,Tovan,23,resident schedule advanced,0.313131,0.339131,0,True,True
158,9,Nia,24,ambient household tick,0.341653,0.355653,0,True,True
159,9,Ari,25,ambient household tick,0.324637,0.338637,1,True,True
160,9,Fay,26,ambient household tick,0.277727,0.291727,0,True,True
161,9,Milo,4,resident schedule advanced,0.244052,0.270052,0,True,True
162,10,Sera,5,ambient household tick,0.328046,0.342046,1,True,True
163,10,Tovan,6,ambient household tick,0.37012,0.38412,-1,True,True
164,10,Nia,7,resident schedule advanced,0.373511,0.399511,0,True,True
165,10,Ari,8,ambient household tick,0.335102,0.349102,0,True,True
166,10,Fay,9,ambient household tick,0.290206,0.304206,0,True,True
167,10,Milo,10,ambient household tick,0.2801,0.2941,1,True,True
168,10,Sera,11,ambient household tick,0.314075,0.328075,0,True,True
169,10,Tovan,12,ambient household tick,0.360895,0.374895,0,True,True
170,10,Nia,13,ambient household tick,0.377514,0.391514,0,True,True
171,10,Ari,14,ambient household tick,0.348652,0.362652,-1,True,True
172,10,Fay,15,resident schedule advanced,0.300845,0.326845,1,True,True
173,10,Milo,16,ambient household tick,0.278047,0.292047,0,True,True
174,10,Sera,17,ambient household tick,0.301218,0.315218,0,True,True
175,10,Tovan,18,ambient household tick,0.349055,0.363055,0,True,True
176,10,Nia,19,ambient household tick,0.377577,0.391577,0,True,True
177,10,Ari,20,ambient household tick,0.360561,0.374561,1,True,True
178,10,Fay,21,ambient household tick,0.313651,0.327651,0,True,True
179,10,Milo,22,ambient household tick,0.279976,0.293976,-1,True,True
180,11,Sera,23,ambient household tick,0.379399,0.393399,1,True,True
181,11,Tovan,24,ambient household tick,0.421472,0.435472,0,True,True
182,11,Nia,25,ambient household tick,0.424864,0.438864,0,True,True
183,11,Ari,26,ambient household tick,0.386455,0.400455,0,True,True
184,11,Fay,4,ambient household tick,0.341559,0.355559,0,True,True
185,11,Milo,5,ambient household tick,0.331453,0.345453,1,True,True
186,11,Sera,6,ambient household tick,0.365428,0.379428,-1,True,True
187,11,Tovan,7,resident schedule advanced,0.412248,0.438248,0,True,True
188,11,Nia,8,ambient household tick,0.428867,0.442867,0,True,True
189,11,Ari,9,ambient household tick,0.400005,0.414005,0,True,True
190,11,Fay,10,ambient household tick,0.352198,0.366198,1,True,True
191,11,Milo,11,ambient household tick,0.329399,0.343399,0,True,True
192,11,Sera,12,ambient household tick,0.35257,0.36657,0,True,True
193,11,Tovan,13,ambient household tick,0.400407,0.414407,0,True,True
194,11,Nia,14,ambient household tick,0.428929,0.442929,-1,True,True
195,11,Ari,15,resident schedule advanced,0.411913,0.437913,1,True,True
196,11,Fay,16,ambient household tick,0.365004,0.379004,0,True,True
197,11,Milo,17,ambient household tick,0.331329,0.345329,0,True,True
198,12,Sera,18,resident schedule advanced,0.43067,0.45667,1,True,True
199,12,Tovan,19,ambient household tick,0.472744,0.486744,0,True,True
200,12,Nia,20,ambient household tick,0.476135,0.490135,0,True,True
201,12,Ari,21,ambient household tick,0.437726,0.451726,-1,True,True
202,12,Fay,22,resident schedule advanced,0.39283,0.41883,0,True,True
203,12,Milo,23,ambient household tick,0.382724,0.396724,1,True,True
204,12,Sera,24,ambient household tick,0.416699,0.430699,0,True,True
205,12,Tovan,25,ambient household tick,0.46352,0.47752,0,True,True
206,12,Nia,26,ambient household tick,0.480138,0.494138,0,True,True
207,12,Ari,4,ambient household tick,0.451276,0.465276,0,True,True
208,12,Fay,5,ambient household tick,0.403469,0.417469,1,True,True
209,12,Milo,6,ambient household tick,0.380671,0.394671,-1,True,True
210,12,Sera,7,resident schedule advanced,0.403842,0.429842,0,True,True
211,12,Tovan,8,ambient household tick,0.451679,0.465679,0,True,True
212,12,Nia,9,ambient household tick,0.480201,0.494201,0,True,True
213,12,Ari,10,ambient household tick,0.463185,0.477185,1,True,True
214,12,Fay,11,ambient household tick,0.416275,0.430275,0,True,True
215,12,Milo,12,resident schedule advanced,0.3826,0.4086,0,True,True
216,13,Sera,13,ambient household tick,0.466425,0.480425,1,True,True
217,13,Tovan,14,resident schedule advanced,0.508498,0.534498,0,True,True
218,13,Nia,15,ambient household tick,0.51189,0.52589,0,True,True
219,13,Ari,16,ambient household tick,0.473481,0.487481,0,True,True
220,13,Fay,17,ambient household tick,0.428585,0.442585,0,True,True
221,13,Milo,18,ambient household tick,0.418479,0.432479,1,True,True
222,13,Sera,19,ambient household tick,0.452454,0.466454,0,True,True
223,13,Tovan,20,ambient household tick,0.499274,0.513274,0,True,True
224,13,Nia,21,ambient household tick,0.515893,0.529893,-1,True,True
225,13,Ari,22,resident schedule advanced,0.487031,0.513031,0,True,True
226,13,Fay,23,ambient household tick,0.439224,0.453224,1,True,True
227,13,Milo,24,ambient household tick,0.416425,0.430425,0,True,True
228,13,Sera,25,ambient household tick,0.439596,0.453596,0,True,True
229,13,Tovan,26,ambient household tick,0.487433,0.501433,0,True,True
230,13,Nia,4,ambient household tick,0.515955,0.529955,0,True,True
231,13,Ari,5,ambient household tick,0.498939,0.512939,1,True,True
232,13,Fay,6,ambient household tick,0.45203,0.46603,-1,True,True
233,13,Milo,7,resident schedule advanced,0.418355,0.444355,0,True,True
234,14,Sera,8,ambient household tick,0.485493,0.499493,1,True,True
235,14,Tovan,9,ambient household tick,0.527567,0.541567,0,True,True
236,14,Nia,10,ambient household tick,0.530958,0.544958,0,True,True
237,14,Ari,11,ambient household tick,0.492549,0.506549,0,True,True
238,14,Fay,12,ambient household tick,0.447653,0.461653,0,True,True
239,14,Milo,13,ambient household tick,0.437547,0.451547,1,True,True
240,14,Sera,14,resident schedule advanced,0.471523,0.497523,0,True,True
241,14,Tovan,15,ambient household tick,0.518343,0.532343,0,True,True
242,14,Nia,16,ambient household tick,0.534961,0.548961,0,True,True
243,14,Ari,17,ambient household tick,0.506099,0.520099,0,True,True
244,14,Fay,18,ambient household tick,0.458292,0.472292,1,True,True
245,14,Milo,19,ambient household tick,0.435494,0.449494,0,True,True
246,14,Sera,20,ambient household tick,0.458665,0.472665,0,True,True
247,14,Tovan,21,ambient household tick,0.506502,0.520502,-1,True,True
248,14,Nia,22,resident schedule advanced,0.535024,0.561024,0,True,True
249,14,Ari,23,ambient household tick,0.518008,0.532008,1,True,True
250,14,Fay,24,ambient household tick,0.471098,0.485098,0,True,True
251,14,Milo,25,ambient household tick,0.437423,0.451423,0,True,True
252,15,Sera,26,resident schedule advanced,0.502048,0.528048,1,True,True
253,15,Tovan,4,ambient household tick,0.544121,0.558121,0,True,True
254,15,Nia,5,ambient household tick,0.547512,0.561512,-1,True,True
255,15,Ari,6,resident schedule advanced,0.509104,0.535104,0,True,True
256,15,Fay,7,ambient household tick,0.464207,0.478207,0,True,True
257,15,Milo,8,ambient household tick,0.454101,0.468101,1,True,True
258,15,Sera,9,ambient household tick,0.488077,0.502077,0,True,True
259,15,Tovan,10,ambient household tick,0.534897,0.548897,0,True,True
260,15,Nia,11,ambient household tick,0.551516,0.565516,0,True,True
261,15,Ari,12,ambient household tick,0.522654,0.536654,0,True,True
262,15,Fay,13,ambient household tick,0.474847,0.488847,1,True,True
263,15,Milo,14,resident schedule advanced,0.452048,0.478048,0,True,True
264,15,Sera,15,ambient household tick,0.475219,0.489219,0,True,True
265,15,Tovan,16,ambient household tick,0.523056,0.537056,0,True,True
266,15,Nia,17,ambient household tick,0.551578,0.565578,0,True,True
267,15,Ari,18,ambient household tick,0.534562,0.548562,1,True,True
268,15,Fay,19,ambient household tick,0.487652,0.501652,0,True,True
269,15,Milo,20,resident schedule advanced,0.453978,0.479978,0,True,True
270,16,Sera,21,resident schedule advanced,0.532571,0.558571,1,True,True
271,16,Tovan,22,ambient household tick,0.574644,0.588644,0,True,True
272,16,Nia,23,ambient household tick,0.578036,0.592036,0,True,True
273,16,Ari,24,ambient household tick,0.539627,0.553627,0,True,True
274,16,Fay,25,ambient household tick,0.494731,0.508731,0,True,True
275,16,Milo,26,ambient household tick,0.484625,0.498625,1,True,True
276,16,Sera,4,ambient household tick,0.5186,0.5326,0,True,True
277,16,Tovan,5,ambient household tick,0.56542,0.57942,-1,True,True
278,16,Nia,6,resident schedule advanced,0.582039,0.608039,0,True,True
279,16,Ari,7,ambient household tick,0.553177,0.567177,0,True,True
280,16,Fay,8,ambient household tick,0.50537,0.51937,1,True,True
281,16,Milo,9,ambient household tick,0.482571,0.496571,0,True,True
282,16,Sera,10,ambient household tick,0.505742,0.519742,0,True,True
283,16,Tovan,11,ambient household tick,0.553579,0.567579,0,True,True
284,16,Nia,12,ambient household tick,0.582101,0.596101,0,True,True
285,16,Ari,13,ambient household tick,0.565085,0.579085,1,True,True
286,16,Fay,14,resident schedule advanced,0.518176,0.544176,0,True,True
287,16,Milo,15,ambient household tick,0.484501,0.498501,0,True,True
288,17,Sera,16,ambient household tick,0.580704,0.594704,1,True,True
289,17,Tovan,17,ambient household tick,0.622777,0.636777,0,True,True
290,17,Nia,18,ambient household tick,0.626169,0.640169,0,True,True
291,17,Ari,19,ambient household tick,0.58776,0.60176,0,True,True
292,17,Fay,20,ambient household tick,0.542864,0.556864,-1,True,True
293,17,Milo,21,resident schedule advanced,0.532757,0.558757,1,True,True
294,17,Sera,22,ambient household tick,0.566733,0.580733,0,True,True
295,17,Tovan,23,ambient household tick,0.613553,0.627553,0,True,True
296,17,Nia,24,ambient household tick,0.630172,0.644172,0,True,True
297,17,Ari,25,ambient household tick,0.60131,0.61531,0,True,True
298,17,Fay,26,ambient household tick,0.553503,0.567503,1,True,True
299,17,Milo,4,ambient household tick,0.530704,0.544704,0,True,True
300,17,Sera,5,ambient household tick,0.553875,0.567875,-1,True,True
301,17,Tovan,6,resident schedule advanced,0.601712,0.627712,0,True,True
302,17,Nia,7,ambient household tick,0.630234,0.644234,0,True,True
303,17,Ari,8,ambient household tick,0.613218,0.627218,1,True,True
304,17,Fay,9,ambient household tick,0.566308,0.580308,0,True,True
305,17,Milo,10,ambient household tick,0.532634,0.546634,0,True,True
306,18,Sera,11,resident schedule advanced,0.633896,0.659896,1,True,True
307,18,Tovan,12,ambient household tick,0.67597,0.68997,-1,True,True
308,18,Nia,13,resident schedule advanced,0.679361,0.705361,0,True,True
309,18,Ari,14,ambient household tick,0.640952,0.654952,0,True,True
310,18,Fay,15,ambient household tick,0.596056,0.610056,0,True,True
311,18,Milo,16,ambient household tick,0.58595,0.59995,1,True,True
312,18,Sera,17,ambient household tick,0.619925,0.633925,0,True,True
313,18,Tovan,18,ambient household tick,0.666745,0.680745,0,True,True
314,18,Nia,19,ambient household tick,0.683364,0.697364,0,True,True
315,18,Ari,20,ambient household tick,0.654502,0.668502,-1,True,True
316,18,Fay,21,resident schedule advanced,0.606695,0.632695,1,True,True
317,18,Milo,22,ambient household tick,0.583896,0.597896,0,True,True
318,18,Sera,23,ambient household tick,0.607067,0.621067,0,True,True
319,18,Tovan,24,ambient household tick,0.654904,0.668904,0,True,True
320,18,Nia,25,ambient household tick,0.683426,0.697426,0,True,True
321,18,Ari,26,ambient household tick,0.66641,0.68041,1,True,True
322,18,Fay,4,ambient household tick,0.619501,0.633501,0,True,True
323,18,Milo,5,resident schedule advanced,0.585826,0.611826,-1,True,True
324,19,Sera,6,ambient household tick,0.674947,0.688947,1,True,True
325,19,Tovan,7,ambient household tick,0.71702,0.73102,0,True,True
326,19,Nia,8,ambient household tick,0.720411,0.734411,0,True,True
327,19,Ari,9,ambient household tick,0.682003,0.696003,0,True,True
328,19,Fay,10,ambient household tick,0.637106,0.651106,0,True,True
329,19,Milo,11,ambient household tick,0.627,0.641,1,True,True
330,19,Sera,12,ambient household tick,0.660976,0.674976,-1,True,True
331,19,Tovan,13,resident schedule advanced,0.707796,0.733796,0,True,True
332,19,Nia,14,ambient household tick,0.724414,0.738414,0,True,True
333,19,Ari,15,ambient household tick,0.695552,0.709552,0,True,True
334,19,Fay,16,ambient household tick,0.647745,0.661745,1,True,True
335,19,Milo,17,ambient household tick,0.624947,0.638947,0,True,True
336,19,Sera,18,ambient household tick,0.648118,0.662118,0,True,True
337,19,Tovan,19,ambient household tick,0.695955,0.709955,0,True,True
338,19,Nia,20,ambient household tick,0.724477,0.738477,-1,True,True
339,19,Ari,21,resident schedule advanced,0.707461,0.733461,1,True,True
340,19,Fay,22,ambient household tick,0.660551,0.674551,0,True,True
341,19,Milo,23,ambient household tick,0.626877,0.640877,0,True,True
342,20,Sera,24,ambient household tick,0.697817,0.711817,1,True,True
343,20,Tovan,25,ambient household tick,0.73989,0.75389,0,True,True
344,20,Nia,26,ambient household tick,0.743282,0.757282,0,True,True
345,20,Ari,4,ambient household tick,0.704873,0.718873,-1,True,True
346,20,Fay,5,resident schedule advanced,0.659977,0.685977,0,True,True
347,20,Milo,6,ambient household tick,0.649871,0.663871,1,True,True
348,20,Sera,7,ambient household tick,0.683846,0.697846,0,True,True
349,20,Tovan,8,ambient household tick,0.730666,0.744666,0,True,True
350,20,Nia,9,ambient household tick,0.747285,0.761285,0,True,True
351,20,Ari,10,ambient household tick,0.718423,0.732423,0,True,True
352,20,Fay,11,ambient household tick,0.670616,0.684616,1,True,True
353,20,Milo,12,ambient household tick,0.647817,0.661817,-1,True,True
354,20,Sera,13,resident schedule advanced,0.670988,0.696988,0,True,True
355,20,Tovan,14,ambient household tick,0.718825,0.732825,0,True,True
356,20,Nia,15,ambient household tick,0.747347,0.761347,0,True,True
357,20,Ari,16,ambient household tick,0.730331,0.744331,1,True,True
358,20,Fay,17,ambient household tick,0.683422,0.697422,0,True,True
359,20,Milo,18,ambient household tick,0.649747,0.663747,0,True,True
360,21,Sera,19,resident schedule advanced,0.713183,0.739183,1,True,True
361,21,Tovan,20,resident schedule advanced,0.755257,0.781257,0,True,True
362,21,Nia,21,ambient household tick,0.758648,0.772648,0,True,True
363,21,Ari,22,ambient household tick,0.720239,0.734239,0,True,True
364,21,Fay,23,ambient household tick,0.675343,0.689343,0,True,True
365,21,Milo,24,ambient household tick,0.665237,0.679237,1,True,True
366,21,Sera,25,ambient household tick,0.699213,0.713213,0,True,True
367,21,Tovan,26,ambient household tick,0.746033,0.760033,0,True,True
368,21,Nia,4,ambient household tick,0.762651,0.776651,-1,True,True
369,21,Ari,5,resident schedule advanced,0.733789,0.759789,0,True,True
370,21,Fay,6,ambient household tick,0.685982,0.699982,1,True,True
371,21,Milo,7,ambient household tick,0.663184,0.677184,0,True,True
372,21,Sera,8,ambient household tick,0.686355,0.700355,0,True,True
373,21,Tovan,9,ambient household tick,0.734192,0.748192,0,True,True
374,21,Nia,10,ambient household tick,0.762714,0.776714,0,True,True
375,21,Ari,11,ambient household tick,0.745698,0.759698,1,True,True
376,21,Fay,12,ambient household tick,0.698788,0.712788,-1,True,True
377,21,Milo,13,resident schedule advanced,0.665113,0.691113,0,True,True
378,22,Sera,14,ambient household tick,0.738621,0.752621,1,True,True
379,22,Tovan,15,ambient household tick,0.780695,0.794695,0,True,True
380,22,Nia,16,ambient household tick,0.784086,0.798086,0,True,True
381,22,Ari,17,ambient household tick,0.745677,0.759677,0,True,True
382,22,Fay,18,ambient household tick,0.700781,0.714781,0,True,True
383,22,Milo,19,ambient household tick,0.690675,0.704675,1,True,True
384,22,Sera,20,resident schedule advanced,0.724651,0.750651,0,True,True
385,22,Tovan,21,ambient household tick,0.771471,0.785471,0,True,True
386,22,Nia,22,ambient household tick,0.788089,0.802089,0,True,True
387,22,Ari,23,ambient household tick,0.759227,0.773227,0,True,True
388,22,Fay,24,ambient household tick,0.71142,0.72542,1,True,True
389,22,Milo,25,ambient household tick,0.688622,0.702622,0,True,True
390,22,Sera,26,ambient household tick,0.711793,0.725793,0,True,True
391,22,Tovan,4,ambient household tick,0.75963,0.77363,-1,True,True
392,22,Nia,5,resident schedule advanced,0.788152,0.814152,0,True,True
393,22,Ari,6,ambient household tick,0.771136,0.785136,1,True,True
394,22,Fay,7,ambient household tick,0.724226,0.738226,0,True,True
395,22,Milo,8,ambient household tick,0.690552,0.704552,0,True,True
396,23,Sera,9,ambient household tick,0.782447,0.796447,1,True,True
397,23,Tovan,10,ambient household tick,0.82452,0.83852,0,True,True
398,23,Nia,11,ambient household tick,0.827912,0.841912,-1,True,True
399,23,Ari,12,resident schedule advanced,0.789503,0.815503,0,True,True
400,23,Fay,13,ambient household tick,0.744607,0.758607,0,True,True
401,23,Milo,14,ambient household tick,0.734501,0.748501,1,True,True
402,23,Sera,15,ambient household tick,0.768476,0.782476,0,True,True
403,23,Tovan,16,ambient household tick,0.815296,0.829296,0,True,True
404,23,Nia,17,ambient household tick,0.831915,0.845915,0,True,True
405,23,Ari,18,ambient household tick,0.803053,0.817053,0,True,True
406,23,Fay,19,ambient household tick,0.755246,0.769246,1,True,True
407,23,Milo,20,resident schedule advanced,0.732447,0.758447,0,True,True
408,23,Sera,21,ambient household tick,0.755618,0.769618,0,True,True
409,23,Tovan,22,ambient household tick,0.803455,0.817455,0,True,True
410,23,Nia,23,ambient household tick,0.831977,0.845977,0,True,True
411,23,Ari,24,ambient household tick,0.814961,0.828961,1,True,True
412,23,Fay,25,ambient household tick,0.768052,0.782052,0,True,True
