tick,day,public_state,avatar_state,agent_focus,ceremony_marker,lineage_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
1,1,day 1 tick 1: avatar at Outer Quiet; ceremony phase outer_wait; gate entry_timing=0.99,cmd=wait; energy=0.92; breath=0.25; boundary=clear,Sova/Hearthline: public explanation,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=distant bell harmonics; smell=cold clay and rain fern; temp=0.52; wet=0.18; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,43d8f339120aa08bbb
17,1,day 1 tick 17: avatar at Ceremony Center; ceremony phase rollback_vow; gate rollback_path=0.97,cmd=inspect; energy=0.74; breath=0.29; boundary=clear,Ori/Orchardline: public explanation,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,1853da2e1911bbd97f
18,1,day 1 tick 18: avatar at Ceremony Center; ceremony phase entry_allowed; gate final_entry=0.96,cmd=left; energy=0.72; breath=0.29; boundary=clear,Vonn/Rainline: conditional welcome,entry-held-for-care,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,fd361a27ef478e863a
19,1,day 1 tick 19: avatar at Ceremony Center; ceremony phase outer_wait; gate entry_timing=0.99,cmd=forward; energy=0.71; breath=0.30; boundary=clear,Sova/Hearthline: firm boundary,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,1bac112d6e47306b21
20,1,day 1 tick 20: avatar at Ceremony Center; ceremony phase boundary_recital; gate movement_boundary=1.00,cmd=ask; energy=0.70; breath=0.30; boundary=clear,Keth/Routeline: public explanation,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,8d2445277bf472e05d
21,1,day 1 tick 21: avatar at Ceremony Center; ceremony phase public_history; gate lineage_history=1.00,cmd=offer_help; energy=0.69; breath=0.30; boundary=clear,Melo/Marketline: public explanation,entry-held-for-care,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,False,ssrm248_browser_world_v8_entry,7d0bd09d9912f930e3
22,1,day 1 tick 22: avatar at Rainwalk Threshold; ceremony phase market_witness; gate exchange_safety=1.00,cmd=back; energy=0.68; breath=0.33; boundary=clear,Nari/Ledgerline: public explanation,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.47Hz,False,ssrm248_browser_world_v8_entry,110f8a681edd8f050b
23,1,day 1 tick 23: avatar at Ceremony Center; ceremony phase rain_permission; gate weather_boundary=1.00,cmd=forward; energy=0.66; breath=0.31; boundary=clear,Ori/Orchardline: conditional welcome,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,4614ec56c1ec43aaff
24,1,day 1 tick 24: avatar at Ceremony Center; ceremony phase care_pause; gate fatigue_pause=0.98,cmd=ceremony; energy=0.65; breath=0.31; boundary=clear,Vonn/Rainline: firm boundary,entry-allowed,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,False,ssrm248_browser_world_v8_entry,aa008d8dfee4481d6d
25,1,day 1 tick 25: avatar at Ceremony Center; ceremony phase shared_token; gate safe_greeting=0.98,cmd=wait; energy=0.66; breath=0.31; boundary=clear,Sova/Hearthline: teaching,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,55b31af1da213ecc1e
26,1,day 1 tick 26: avatar at Ceremony Center; ceremony phase rollback_vow; gate rollback_path=0.97,cmd=forward; energy=0.64; breath=0.31; boundary=clear,Keth/Routeline: softening repair,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,4a8a8ef1b6783f4c4b
27,1,day 1 tick 27: avatar at Ceremony Center; ceremony phase entry_allowed; gate final_entry=0.96,cmd=right; energy=0.63; breath=0.31; boundary=clear,Melo/Marketline: public explanation,entry-held-for-care,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,186f29a9fd2b20c120
28,1,day 1 tick 28: avatar at Ceremony Center; ceremony phase outer_wait; gate entry_timing=0.99,cmd=forward; energy=0.61; breath=0.32; boundary=clear,Nari/Ledgerline: conditional welcome,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,d98dd970c71d3d9b21
29,1,day 1 tick 29: avatar at Ceremony Center; ceremony phase boundary_recital; gate movement_boundary=1.00,cmd=inspect; energy=0.61; breath=0.32; boundary=clear,Ori/Orchardline: firm boundary,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,7dd4c05a6bfb9d440b
30,1,day 1 tick 30: avatar at Ceremony Center; ceremony phase public_history; gate lineage_history=1.00,cmd=left; energy=0.59; breath=0.32; boundary=clear,Vonn/Rainline: public explanation,entry-held-for-care,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,False,ssrm248_browser_world_v8_entry,4693a4acd35a0c9323
31,1,day 1 tick 31: avatar at Ceremony Center; ceremony phase market_witness; gate exchange_safety=1.00,cmd=forward; energy=0.58; breath=0.33; boundary=clear,Sova/Hearthline: public explanation,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,False,ssrm248_browser_world_v8_entry,5ebba3cd5e5408dbf3
32,1,day 1 tick 32: avatar at Ceremony Center; ceremony phase rain_permission; gate weather_boundary=1.00,cmd=ask; energy=0.57; breath=0.33; boundary=clear,Keth/Routeline: public explanation,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,7897bae41582b8ce39
33,1,day 1 tick 33: avatar at Ceremony Center; ceremony phase care_pause; gate fatigue_pause=0.98,cmd=offer_help; energy=0.56; breath=0.33; boundary=clear,Melo/Marketline: conditional welcome,entry-allowed,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,False,ssrm248_browser_world_v8_entry,044a9ebf1616867059
34,1,day 1 tick 34: avatar at Rainwalk Threshold; ceremony phase shared_token; gate safe_greeting=0.98,cmd=back; energy=0.55; breath=0.36; boundary=clear,Nari/Ledgerline: firm boundary,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,718ea296e7a6bc1ff6
35,1,day 1 tick 35: avatar at Ceremony Center; ceremony phase rollback_vow; gate rollback_path=0.97,cmd=forward; energy=0.53; breath=0.34; boundary=clear,Ori/Orchardline: teaching,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,704944ca5920745aed
36,1,day 1 tick 36: avatar at Ceremony Center; ceremony phase entry_allowed; gate final_entry=0.96,cmd=ceremony; energy=0.52; breath=0.34; boundary=clear,Vonn/Rainline: softening repair,entry-held-for-care,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,35aad9167d08075a30
37,1,day 1 tick 37: avatar at Ceremony Center; ceremony phase outer_wait; gate entry_timing=0.99,cmd=wait; energy=0.53; breath=0.34; boundary=clear,Sova/Hearthline: public explanation,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,e987f2f0447606d1a8
38,1,day 1 tick 38: avatar at Ceremony Center; ceremony phase boundary_recital; gate movement_boundary=1.00,cmd=forward; energy=0.51; breath=0.34; boundary=clear,Keth/Routeline: public explanation,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,7b639c0a647e673be2
39,1,day 1 tick 39: avatar at Ceremony Center; ceremony phase public_history; gate lineage_history=1.00,cmd=right; energy=0.50; breath=0.34; boundary=clear,Melo/Marketline: conditional welcome,entry-held-for-care,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,False,ssrm248_browser_world_v8_entry,39ba4e581bf4b12b2a
40,1,day 1 tick 40: avatar at Ceremony Center; ceremony phase market_witness; gate exchange_safety=1.00,cmd=forward; energy=0.48; breath=0.35; boundary=clear,Nari/Ledgerline: firm boundary,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,False,ssrm248_browser_world_v8_entry,1754581bf95f2a1cc0
41,1,day 1 tick 41: avatar at Ceremony Center; ceremony phase rain_permission; gate weather_boundary=1.00,cmd=inspect; energy=0.48; breath=0.35; boundary=clear,Ori/Orchardline: teaching,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,74084d3a27300c62fd
42,1,day 1 tick 42: avatar at Ceremony Center; ceremony phase care_pause; gate fatigue_pause=0.98,cmd=left; energy=0.46; breath=0.35; boundary=clear,Vonn/Rainline: softening repair,entry-allowed,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,False,ssrm248_browser_world_v8_entry,da0fac931c551ff224
43,1,day 1 tick 43: avatar at Ceremony Center; ceremony phase shared_token; gate safe_greeting=0.98,cmd=forward; energy=0.45; breath=0.35; boundary=clear,Sova/Hearthline: public explanation,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,dd6265d88bbc8ea4ea
44,1,day 1 tick 44: avatar at Ceremony Center; ceremony phase rollback_vow; gate rollback_path=0.97,cmd=ask; energy=0.44; breath=0.36; boundary=clear,Keth/Routeline: conditional welcome,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,04a21b7af6684f9c24
45,1,day 1 tick 45: avatar at Ceremony Center; ceremony phase entry_allowed; gate final_entry=0.96,cmd=offer_help; energy=0.43; breath=0.36; boundary=clear,Melo/Marketline: firm boundary,entry-held-for-care,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,95ea1751b8ea2eb6b8
46,1,day 1 tick 46: avatar at Rainwalk Threshold; ceremony phase outer_wait; gate entry_timing=0.99,cmd=back; energy=0.42; breath=0.39; boundary=clear,Nari/Ledgerline: public explanation,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,d55fef21ac92947a36
47,1,day 1 tick 47: avatar at Ceremony Center; ceremony phase boundary_recital; gate movement_boundary=1.00,cmd=forward; energy=0.40; breath=0.36; boundary=clear,Ori/Orchardline: public explanation,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,6a0c31ff4b7cb896b9
48,1,day 1 tick 48: avatar at Ceremony Center; ceremony phase public_history; gate lineage_history=1.00,cmd=ceremony; energy=0.39; breath=0.37; boundary=clear,Vonn/Rainline: public explanation,entry-held-for-care,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,False,ssrm248_browser_world_v8_entry,3b0dd6850221770920
49,1,day 1 tick 49: avatar at Ceremony Center; ceremony phase market_witness; gate exchange_safety=1.00,cmd=wait; energy=0.40; breath=0.36; boundary=clear,Sova/Hearthline: conditional welcome,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,False,ssrm248_browser_world_v8_entry,954543b8cf435bed05
50,1,day 1 tick 50: avatar at Ceremony Center; ceremony phase rain_permission; gate weather_boundary=1.00,cmd=forward; energy=0.39; breath=0.37; boundary=clear,Keth/Routeline: firm boundary,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,ff5d2369ca8829d388
51,1,day 1 tick 51: avatar at Ceremony Center; ceremony phase care_pause; gate fatigue_pause=0.98,cmd=right; energy=0.37; breath=0.37; boundary=clear,Melo/Marketline: teaching,entry-allowed,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,False,ssrm248_browser_world_v8_entry,01505543deff100870
52,1,day 1 tick 52: avatar at Ceremony Center; ceremony phase shared_token; gate safe_greeting=0.98,cmd=forward; energy=0.36; breath=0.37; boundary=clear,Nari/Ledgerline: softening repair,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,47b24560383cdc0045
53,1,day 1 tick 53: avatar at Ceremony Center; ceremony phase rollback_vow; gate rollback_path=0.97,cmd=inspect; energy=0.35; breath=0.38; boundary=clear,Ori/Orchardline: public explanation,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,e28960aa87d1cc4ce2
54,1,day 1 tick 54: avatar at Ceremony Center; ceremony phase entry_allowed; gate final_entry=0.96,cmd=left; energy=0.33; breath=0.38; boundary=clear,Vonn/Rainline: conditional welcome,entry-held-for-care,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,b56efdf8209a8d340f
55,1,day 1 tick 55: avatar at Ceremony Center; ceremony phase outer_wait; gate entry_timing=0.99,cmd=forward; energy=0.32; breath=0.38; boundary=clear,Sova/Hearthline: firm boundary,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,64ce2e6c67a7c54c47
56,1,day 1 tick 56: avatar at Ceremony Center; ceremony phase boundary_recital; gate movement_boundary=1.00,cmd=ask; energy=0.31; breath=0.38; boundary=clear,Keth/Routeline: public explanation,entry-allowed,"Routeline offers public history: token tek-nari, branch routeline-tek-84, technology stone bridge joints.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,False,ssrm248_browser_world_v8_entry,bd6c741ffe7c4a24a1
57,1,day 1 tick 57: avatar at Ceremony Center; ceremony phase public_history; gate lineage_history=1.00,cmd=offer_help; energy=0.30; breath=0.39; boundary=clear,Melo/Marketline: public explanation,entry-held-for-care,"Marketline offers public history: token melo-keth, branch marketline-melo-84, technology measure weights.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,False,ssrm248_browser_world_v8_entry,6621e139fedf0556a6
58,1,day 1 tick 58: avatar at Rainwalk Threshold; ceremony phase market_witness; gate exchange_safety=1.00,cmd=back; energy=0.29; breath=0.42; boundary=clear,Nari/Ledgerline: public explanation,entry-allowed,"Ledgerline offers public history: token nari-vonn, branch ledgerline-vonn-84, technology seed ledgers.",sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.47Hz,False,ssrm248_browser_world_v8_entry,0d1b330ab2b46bec2c
59,1,day 1 tick 59: avatar at Ceremony Center; ceremony phase rain_permission; gate weather_boundary=1.00,cmd=forward; energy=0.27; breath=0.39; boundary=clear,Ori/Orchardline: conditional welcome,entry-allowed,"Orchardline offers public history: token lum-melo, branch orchardline-lum-84, technology water terraces.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,False,ssrm248_browser_world_v8_entry,c55abe5ad0d2630c43
60,1,day 1 tick 60: avatar at Ceremony Center; ceremony phase care_pause; gate fatigue_pause=0.98,cmd=ceremony; energy=0.27; breath=0.39; boundary=clear,Vonn/Rainline: firm boundary,entry-allowed,"Rainline offers public history: token sova-vonn, branch rainline-sova-84, technology weather bells.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,False,ssrm248_browser_world_v8_entry,45ba4a1e4ab6af30f3
61,1,day 1 tick 61: avatar at Ceremony Center; ceremony phase shared_token; gate safe_greeting=0.98,cmd=wait; energy=0.27; breath=0.39; boundary=clear,Sova/Hearthline: teaching,entry-allowed,"Hearthline offers public history: token lum-ori, branch hearthline-lum-84, technology hearth ceramics.",sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,False,ssrm248_browser_world_v8_entry,763c56e45e42415731
