tick,day,scene_id,agent,trust_before,trust_after,access_before,access_after,unresolved_debt,compounding_applied,repair_restored_access,trust_access_score
30,2,v24-scene-d02,Sova,0.766,0.796,open,open,0,0,0,1.0
31,2,v24-scene-d02,Ori,0.708,0.708,open,conditional,1,1,0,1.0
32,2,v24-scene-d02,Sova,0.796,0.826,open,open,0,0,0,1.0
33,2,v24-scene-d02,Sova,0.826,0.826,open,open,0,0,0,1.0
34,2,v24-scene-d02,Nari,0.666,0.674,open,conditional,2,1,0,1.0
35,2,v24-scene-d02,Keth,0.68,0.71,conditional,open,0,0,1,1.0
36,3,v24-scene-d03,Melo,0.744,0.744,open,conditional,1,1,0,1.0
37,3,v24-scene-d03,Melo,0.744,0.774,conditional,open,0,0,1,1.0
38,3,v24-scene-d03,Vonn,0.56,0.525,conditional,conditional,2,1,0,1.0
39,3,v24-scene-d03,Nari,0.674,0.704,conditional,open,0,0,1,1.0
40,3,v24-scene-d03,Ori,0.708,0.738,conditional,open,0,0,1,1.0
41,3,v24-scene-d03,Vonn,0.525,0.49,conditional,conditional,2,1,0,1.0
42,3,v24-scene-d03,Vonn,0.49,0.455,conditional,conditional,3,1,0,1.0
43,3,v24-scene-d03,Vonn,0.455,0.408,conditional,closed,3,1,0,1.0
44,3,v24-scene-d03,Keth,0.71,0.74,open,open,0,0,0,1.0
45,3,v24-scene-d03,Melo,0.774,0.774,open,open,0,0,0,1.0
46,3,v24-scene-d03,Nari,0.704,0.734,open,open,0,0,0,1.0
47,3,v24-scene-d03,Vonn,0.408,0.373,closed,closed,3,1,0,1.0
48,3,v24-scene-d03,Nari,0.734,0.764,open,open,0,0,0,1.0
49,3,v24-scene-d03,Sova,0.826,0.826,open,open,0,0,0,1.0
50,3,v24-scene-d03,Vonn,0.373,0.338,closed,closed,3,1,0,1.0
51,3,v24-scene-d03,Melo,0.774,0.804,open,open,0,0,0,1.0
52,3,v24-scene-d03,Nari,0.764,0.794,open,open,0,0,0,1.0
53,3,v24-scene-d03,Ori,0.738,0.738,open,open,0,0,0,1.0
54,4,v24-scene-d04,Vonn,0.338,0.357,closed,closed,1,1,0,0.75
55,4,v24-scene-d04,Keth,0.74,0.77,open,open,0,0,0,1.0
56,4,v24-scene-d04,Keth,0.77,0.77,open,conditional,1,1,0,1.0
57,4,v24-scene-d04,Keth,0.77,0.8,conditional,open,0,0,1,1.0
58,4,v24-scene-d04,Sova,0.826,0.826,open,conditional,1,1,0,1.0
59,4,v24-scene-d04,Vonn,0.357,0.387,closed,closed,0,0,0,0.75
60,4,v24-scene-d04,Keth,0.8,0.83,open,open,0,0,0,1.0
61,4,v24-scene-d04,Melo,0.804,0.804,open,open,0,0,0,1.0
62,4,v24-scene-d04,Melo,0.804,0.834,open,open,0,0,0,1.0
63,4,v24-scene-d04,Sova,0.826,0.856,conditional,open,0,0,1,1.0
64,4,v24-scene-d04,Vonn,0.387,0.395,closed,closed,2,1,0,1.0
65,4,v24-scene-d04,Keth,0.83,0.83,open,open,0,0,0,1.0
66,4,v24-scene-d04,Melo,0.834,0.864,open,open,0,0,0,1.0
67,4,v24-scene-d04,Keth,0.83,0.86,open,open,0,0,0,1.0
68,4,v24-scene-d04,Nari,0.794,0.824,open,open,0,0,0,1.0
69,4,v24-scene-d04,Ori,0.738,0.738,open,open,0,0,0,1.0
70,4,v24-scene-d04,Nari,0.824,0.868,open,open,0,0,0,1.0
71,4,v24-scene-d04,Vonn,0.395,0.439,closed,conditional,0,0,1,1.0
72,5,v24-scene-d05,Nari,0.868,0.898,open,open,0,0,0,1.0
73,5,v24-scene-d05,Keth,0.86,0.86,open,open,0,0,0,1.0
74,5,v24-scene-d05,Sova,0.856,0.886,open,open,0,0,0,1.0
75,5,v24-scene-d05,Sova,0.886,0.9,open,conditional,1,1,0,1.0
76,5,v24-scene-d05,Melo,0.864,0.894,open,open,0,0,0,1.0
77,5,v24-scene-d05,Vonn,0.439,0.439,conditional,conditional,0,0,0,1.0
78,5,v24-scene-d05,Sova,0.9,0.908,conditional,conditional,2,1,0,1.0
79,5,v24-scene-d05,Melo,0.894,0.92,open,open,0,0,0,1.0
80,5,v24-scene-d05,Ori,0.738,0.768,open,open,0,0,0,1.0
81,5,v24-scene-d05,Keth,0.86,0.86,open,open,0,0,0,1.0
82,5,v24-scene-d05,Melo,0.92,0.92,open,conditional,1,1,0,1.0
83,5,v24-scene-d05,Vonn,0.439,0.469,conditional,conditional,0,0,1,1.0
84,5,v24-scene-d05,Keth,0.86,0.89,open,open,0,0,0,1.0
85,5,v24-scene-d05,Sova,0.908,0.92,conditional,open,0,0,1,1.0
86,5,v24-scene-d05,Ori,0.768,0.776,open,conditional,2,1,0,1.0
87,5,v24-scene-d05,Keth,0.89,0.89,open,conditional,1,1,0,1.0
88,5,v24-scene-d05,Keth,0.89,0.92,conditional,open,0,0,1,1.0
89,5,v24-scene-d05,Ori,0.776,0.776,conditional,conditional,2,1,0,1.0
90,6,v24-scene-d06,Melo,0.92,0.92,conditional,conditional,1,1,1,1.0
91,6,v24-scene-d06,Ori,0.776,0.806,conditional,open,0,0,1,1.0
92,6,v24-scene-d06,Melo,0.92,0.92,conditional,conditional,1,1,0,1.0
93,6,v24-scene-d06,Keth,0.92,0.92,open,open,0,0,0,1.0
94,6,v24-scene-d06,Keth,0.92,0.92,open,open,0,0,0,1.0
95,6,v24-scene-d06,Ori,0.806,0.836,open,open,0,0,0,1.0
96,6,v24-scene-d06,Melo,0.92,0.92,conditional,open,0,0,1,1.0
97,6,v24-scene-d06,Melo,0.92,0.92,open,open,0,0,0,1.0
98,6,v24-scene-d06,Ori,0.836,0.866,open,open,0,0,0,1.0
99,6,v24-scene-d06,Ori,0.866,0.896,open,open,0,0,0,1.0
100,6,v24-scene-d06,Melo,0.92,0.92,open,conditional,2,1,0,1.0
101,6,v24-scene-d06,Melo,0.92,0.92,conditional,open,0,0,1,1.0
102,6,v24-scene-d06,Vonn,0.469,0.499,conditional,conditional,0,0,1,1.0
103,6,v24-scene-d06,Melo,0.92,0.92,open,open,0,0,0,1.0
104,6,v24-scene-d06,Sova,0.92,0.92,open,conditional,2,1,0,1.0
105,6,v24-scene-d06,Sova,0.92,0.92,conditional,conditional,1,1,1,1.0
106,6,v24-scene-d06,Sova,0.92,0.92,conditional,open,0,0,1,1.0
107,6,v24-scene-d06,Ori,0.896,0.92,open,open,0,0,0,1.0
108,7,v24-scene-d07,Nari,0.898,0.92,open,open,0,0,0,1.0
109,7,v24-scene-d07,Vonn,0.499,0.499,conditional,conditional,0,0,0,1.0
110,7,v24-scene-d07,Vonn,0.499,0.499,conditional,conditional,1,1,0,1.0
111,7,v24-scene-d07,Keth,0.92,0.92,open,conditional,2,1,0,1.0
112,7,v24-scene-d07,Nari,0.92,0.92,open,open,0,0,0,1.0
113,7,v24-scene-d07,Melo,0.92,0.92,open,open,0,0,0,1.0
114,7,v24-scene-d07,Ori,0.92,0.92,open,open,0,0,0,1.0
115,7,v24-scene-d07,Melo,0.92,0.92,open,conditional,1,1,0,1.0
116,7,v24-scene-d07,Ori,0.92,0.92,open,open,0,0,0,1.0
117,7,v24-scene-d07,Keth,0.92,0.92,conditional,open,0,0,1,1.0
118,7,v24-scene-d07,Melo,0.92,0.92,conditional,open,0,0,1,1.0
119,7,v24-scene-d07,Keth,0.92,0.92,open,conditional,2,1,0,1.0
120,7,v24-scene-d07,Nari,0.92,0.92,open,open,0,0,0,1.0
121,7,v24-scene-d07,Melo,0.92,0.92,open,open,0,0,0,1.0
122,7,v24-scene-d07,Ori,0.92,0.92,open,conditional,1,1,0,1.0
123,7,v24-scene-d07,Ori,0.92,0.92,conditional,open,0,0,1,1.0
124,7,v24-scene-d07,Vonn,0.499,0.499,conditional,conditional,1,1,0,1.0
125,7,v24-scene-d07,Nari,0.92,0.92,open,open,0,0,0,1.0
126,8,v24-scene-d08,Melo,0.92,0.92,open,conditional,2,1,0,1.0
127,8,v24-scene-d08,Keth,0.92,0.92,conditional,open,0,0,1,1.0
128,8,v24-scene-d08,Sova,0.92,0.92,open,open,0,0,0,1.0
129,8,v24-scene-d08,Sova,0.92,0.92,open,open,0,0,0,1.0
130,8,v24-scene-d08,Sova,0.92,0.92,open,open,0,0,0,1.0
131,8,v24-scene-d08,Keth,0.92,0.92,open,open,0,0,0,1.0
132,8,v24-scene-d08,Ori,0.92,0.92,open,open,0,0,0,1.0
133,8,v24-scene-d08,Sova,0.92,0.92,open,open,0,0,0,1.0
134,8,v24-scene-d08,Nari,0.92,0.92,open,open,0,0,0,1.0
135,8,v24-scene-d08,Sova,0.92,0.92,open,open,0,0,0,1.0
136,8,v24-scene-d08,Ori,0.92,0.92,open,open,0,0,0,1.0
137,8,v24-scene-d08,Ori,0.92,0.92,open,open,0,0,0,1.0
138,8,v24-scene-d08,Vonn,0.499,0.499,conditional,conditional,1,1,0,1.0
139,8,v24-scene-d08,Melo,0.92,0.92,conditional,open,0,0,1,1.0
140,8,v24-scene-d08,Keth,0.92,0.92,open,open,0,0,0,1.0
141,8,v24-scene-d08,Sova,0.92,0.92,open,open,0,0,0,1.0
142,8,v24-scene-d08,Sova,0.92,0.92,open,open,0,0,0,1.0
143,8,v24-scene-d08,Ori,0.92,0.92,open,conditional,1,1,0,1.0
144,9,v24-scene-d09,Melo,0.92,0.92,open,conditional,2,1,0,1.0
145,9,v24-scene-d09,Sova,0.92,0.92,open,open,0,0,0,1.0
146,9,v24-scene-d09,Melo,0.92,0.92,conditional,open,0,0,1,1.0
147,9,v24-scene-d09,Melo,0.92,0.92,open,open,0,0,0,1.0
148,9,v24-scene-d09,Ori,0.92,0.91,conditional,conditional,2,1,0,1.0
149,9,v24-scene-d09,Melo,0.92,0.92,open,open,0,0,0,1.0
150,9,v24-scene-d09,Keth,0.92,0.92,open,open,0,0,0,1.0
151,9,v24-scene-d09,Sova,0.92,0.92,open,open,0,0,0,1.0
152,9,v24-scene-d09,Melo,0.92,0.92,open,conditional,1,1,0,1.0
153,9,v24-scene-d09,Vonn,0.499,0.499,conditional,conditional,1,1,0,1.0
154,9,v24-scene-d09,Keth,0.92,0.92,open,open,0,0,0,1.0
155,9,v24-scene-d09,Nari,0.92,0.92,open,conditional,1,1,0,1.0
156,9,v24-scene-d09,Keth,0.92,0.92,open,open,0,0,0,1.0
157,9,v24-scene-d09,Nari,0.92,0.92,conditional,open,0,0,1,1.0
158,9,v24-scene-d09,Vonn,0.499,0.499,conditional,conditional,1,1,0,1.0
159,9,v24-scene-d09,Sova,0.92,0.92,open,conditional,1,1,0,1.0
160,9,v24-scene-d09,Keth,0.92,0.92,open,conditional,1,1,0,1.0
161,9,v24-scene-d09,Ori,0.91,0.92,conditional,conditional,1,1,1,1.0
162,10,v24-scene-d10,Ori,0.92,0.92,conditional,open,0,0,1,1.0
163,10,v24-scene-d10,Melo,0.92,0.92,conditional,conditional,2,1,0,1.0
164,10,v24-scene-d10,Keth,0.92,0.92,conditional,open,0,0,1,1.0
165,10,v24-scene-d10,Keth,0.92,0.92,open,open,0,0,0,1.0
166,10,v24-scene-d10,Ori,0.92,0.92,open,conditional,1,1,0,1.0
167,10,v24-scene-d10,Sova,0.92,0.92,conditional,open,0,0,1,1.0
168,10,v24-scene-d10,Melo,0.92,0.92,conditional,open,0,0,1,1.0
169,10,v24-scene-d10,Nari,0.92,0.92,open,open,0,0,0,1.0
170,10,v24-scene-d10,Nari,0.92,0.92,open,conditional,2,1,0,1.0
171,10,v24-scene-d10,Melo,0.92,0.92,open,open,0,0,0,1.0
172,10,v24-scene-d10,Ori,0.92,0.92,conditional,conditional,1,1,0,1.0
173,10,v24-scene-d10,Ori,0.92,0.92,conditional,open,0,0,1,1.0
174,10,v24-scene-d10,Keth,0.92,0.92,open,conditional,2,1,0,1.0
175,10,v24-scene-d10,Vonn,0.499,0.487,conditional,conditional,1,1,0,1.0
176,10,v24-scene-d10,Keth,0.92,0.92,conditional,open,0,0,1,1.0
177,10,v24-scene-d10,Ori,0.92,0.92,open,open,0,0,0,1.0
178,10,v24-scene-d10,Vonn,0.487,0.531,conditional,conditional,0,0,1,1.0
179,10,v24-scene-d10,Sova,0.92,0.92,open,open,0,0,0,1.0
180,11,v24-scene-d11,Melo,0.92,0.92,open,open,0,0,0,1.0
181,11,v24-scene-d11,Sova,0.92,0.92,open,open,0,0,0,1.0
182,11,v24-scene-d11,Ori,0.92,0.92,open,open,0,0,0,1.0
183,11,v24-scene-d11,Vonn,0.531,0.561,conditional,conditional,0,0,1,1.0
184,11,v24-scene-d11,Melo,0.92,0.92,open,open,0,0,0,1.0
185,11,v24-scene-d11,Nari,0.92,0.92,conditional,conditional,2,1,0,1.0
186,11,v24-scene-d11,Sova,0.92,0.92,open,open,0,0,0,1.0
187,11,v24-scene-d11,Nari,0.92,0.92,conditional,open,0,0,1,1.0
188,11,v24-scene-d11,Vonn,0.561,0.569,conditional,conditional,2,1,0,1.0
189,11,v24-scene-d11,Melo,0.92,0.92,open,open,0,0,0,1.0
190,11,v24-scene-d11,Vonn,0.569,0.557,conditional,conditional,2,1,0,1.0
191,11,v24-scene-d11,Ori,0.92,0.92,open,open,0,0,0,1.0
192,11,v24-scene-d11,Ori,0.92,0.92,open,conditional,1,1,0,1.0
193,11,v24-scene-d11,Keth,0.92,0.92,open,open,0,0,0,1.0
194,11,v24-scene-d11,Nari,0.92,0.92,open,conditional,1,1,0,1.0
195,11,v24-scene-d11,Keth,0.92,0.92,open,open,0,0,0,1.0
196,11,v24-scene-d11,Keth,0.92,0.92,open,open,0,0,0,1.0
197,11,v24-scene-d11,Keth,0.92,0.92,open,open,0,0,0,1.0
198,12,v24-scene-d12,Melo,0.92,0.92,open,open,0,0,0,1.0
199,12,v24-scene-d12,Nari,0.92,0.92,conditional,conditional,1,1,0,1.0
200,12,v24-scene-d12,Keth,0.92,0.92,open,open,0,0,0,1.0
201,12,v24-scene-d12,Vonn,0.557,0.545,conditional,conditional,2,1,0,1.0
202,12,v24-scene-d12,Melo,0.92,0.92,open,open,0,0,0,1.0
203,12,v24-scene-d12,Nari,0.92,0.91,conditional,conditional,2,1,0,1.0
204,12,v24-scene-d12,Vonn,0.545,0.545,conditional,conditional,2,1,0,1.0
205,12,v24-scene-d12,Keth,0.92,0.92,open,open,0,0,0,1.0
206,12,v24-scene-d12,Ori,0.92,0.92,conditional,conditional,1,1,0,1.0
207,12,v24-scene-d12,Ori,0.92,0.92,conditional,conditional,1,1,0,1.0
208,12,v24-scene-d12,Sova,0.92,0.92,open,open,0,0,0,1.0
209,12,v24-scene-d12,Melo,0.92,0.92,open,open,0,0,0,1.0
210,12,v24-scene-d12,Vonn,0.545,0.545,conditional,conditional,2,1,0,1.0
211,12,v24-scene-d12,Sova,0.92,0.92,open,conditional,1,1,0,1.0
212,12,v24-scene-d12,Sova,0.92,0.92,conditional,conditional,1,1,1,1.0
213,12,v24-scene-d12,Keth,0.92,0.92,open,open,0,0,0,1.0
214,12,v24-scene-d12,Ori,0.92,0.92,conditional,open,0,0,1,1.0
215,12,v24-scene-d12,Keth,0.92,0.92,open,open,0,0,0,1.0
216,13,v24-scene-d13,Sova,0.92,0.92,conditional,open,0,0,1,1.0
217,13,v24-scene-d13,Ori,0.92,0.92,open,open,0,0,0,1.0
218,13,v24-scene-d13,Ori,0.92,0.92,open,conditional,1,1,0,1.0
219,13,v24-scene-d13,Sova,0.92,0.92,open,open,0,0,0,1.0
220,13,v24-scene-d13,Nari,0.91,0.92,conditional,conditional,1,1,1,1.0
221,13,v24-scene-d13,Keth,0.92,0.92,open,open,0,0,0,1.0
222,13,v24-scene-d13,Nari,0.92,0.92,conditional,open,0,0,1,1.0
223,13,v24-scene-d13,Nari,0.92,0.92,open,conditional,1,1,0,1.0
224,13,v24-scene-d13,Ori,0.92,0.92,conditional,open,0,0,1,1.0
225,13,v24-scene-d13,Nari,0.92,0.92,conditional,conditional,1,1,0,1.0
226,13,v24-scene-d13,Nari,0.92,0.92,conditional,open,0,0,1,1.0
227,13,v24-scene-d13,Melo,0.92,0.92,open,open,0,0,0,1.0
228,13,v24-scene-d13,Melo,0.92,0.92,open,conditional,1,1,0,1.0
229,13,v24-scene-d13,Keth,0.92,0.92,open,open,0,0,0,1.0
230,13,v24-scene-d13,Nari,0.92,0.92,open,open,0,0,0,1.0
231,13,v24-scene-d13,Melo,0.92,0.92,conditional,open,0,0,1,1.0
232,13,v24-scene-d13,Ori,0.92,0.92,open,open,0,0,0,1.0
233,13,v24-scene-d13,Nari,0.92,0.92,open,open,0,0,0,1.0
234,14,v24-scene-d14,Ori,0.92,0.92,open,open,0,0,0,1.0
235,14,v24-scene-d14,Vonn,0.545,0.545,conditional,conditional,2,1,0,1.0
236,14,v24-scene-d14,Ori,0.92,0.92,open,conditional,1,1,0,1.0
237,14,v24-scene-d14,Keth,0.92,0.92,open,open,0,0,0,1.0
238,14,v24-scene-d14,Keth,0.92,0.92,open,open,0,0,0,1.0
239,14,v24-scene-d14,Keth,0.92,0.92,open,open,0,0,0,1.0
240,14,v24-scene-d14,Keth,0.92,0.92,open,conditional,2,1,0,1.0
241,14,v24-scene-d14,Sova,0.92,0.92,open,open,0,0,0,1.0
242,14,v24-scene-d14,Melo,0.92,0.92,open,open,0,0,0,1.0
243,14,v24-scene-d14,Nari,0.92,0.92,open,conditional,2,1,0,1.0
244,14,v24-scene-d14,Melo,0.92,0.92,open,open,0,0,0,1.0
245,14,v24-scene-d14,Sova,0.92,0.92,open,open,0,0,0,1.0
246,14,v24-scene-d14,Vonn,0.545,0.545,conditional,conditional,2,1,0,1.0
247,14,v24-scene-d14,Melo,0.92,0.92,open,conditional,1,1,0,1.0
248,14,v24-scene-d14,Nari,0.92,0.92,conditional,open,0,0,1,1.0
249,14,v24-scene-d14,Ori,0.92,0.92,conditional,open,0,0,1,1.0
250,14,v24-scene-d14,Sova,0.92,0.92,open,open,0,0,0,1.0
251,14,v24-scene-d14,Sova,0.92,0.92,open,conditional,2,1,0,1.0
252,15,v24-scene-d15,Nari,0.92,0.92,open,open,0,0,0,1.0
253,15,v24-scene-d15,Keth,0.92,0.92,conditional,open,0,0,1,1.0
254,15,v24-scene-d15,Keth,0.92,0.92,open,conditional,2,1,0,1.0
255,15,v24-scene-d15,Keth,0.92,0.92,conditional,open,0,0,1,1.0
256,15,v24-scene-d15,Melo,0.92,0.92,conditional,open,0,0,1,1.0
257,15,v24-scene-d15,Keth,0.92,0.92,open,open,0,0,0,1.0
258,15,v24-scene-d15,Melo,0.92,0.92,open,conditional,2,1,0,1.0
259,15,v24-scene-d15,Melo,0.92,0.92,conditional,open,0,0,1,1.0
260,15,v24-scene-d15,Ori,0.92,0.92,open,open,0,0,0,1.0
261,15,v24-scene-d15,Keth,0.92,0.92,open,open,0,0,0,1.0
262,15,v24-scene-d15,Melo,0.92,0.92,open,conditional,1,1,0,1.0
263,15,v24-scene-d15,Melo,0.92,0.92,conditional,open,0,0,1,1.0
264,15,v24-scene-d15,Keth,0.92,0.92,open,open,0,0,0,1.0
265,15,v24-scene-d15,Nari,0.92,0.92,open,open,0,0,0,1.0
266,15,v24-scene-d15,Keth,0.92,0.92,open,open,0,0,0,1.0
267,15,v24-scene-d15,Melo,0.92,0.92,open,open,0,0,0,1.0
268,15,v24-scene-d15,Melo,0.92,0.92,open,open,0,0,0,1.0
269,15,v24-scene-d15,Vonn,0.545,0.564,conditional,conditional,0,1,1,1.0
270,16,v24-scene-d16,Ori,0.92,0.92,open,open,0,0,0,1.0
271,16,v24-scene-d16,Keth,0.92,0.92,open,open,0,0,0,1.0
272,16,v24-scene-d16,Keth,0.92,0.92,open,open,0,0,0,1.0
273,16,v24-scene-d16,Vonn,0.564,0.564,conditional,conditional,0,0,0,1.0
274,16,v24-scene-d16,Keth,0.92,0.92,open,conditional,1,1,0,1.0
275,16,v24-scene-d16,Ori,0.92,0.92,open,open,0,0,0,1.0
276,16,v24-scene-d16,Nari,0.92,0.92,open,open,0,0,0,1.0
277,16,v24-scene-d16,Keth,0.92,0.92,conditional,conditional,1,1,1,1.0
278,16,v24-scene-d16,Vonn,0.564,0.594,conditional,conditional,0,0,1,1.0
279,16,v24-scene-d16,Melo,0.92,0.92,open,conditional,1,1,0,1.0
280,16,v24-scene-d16,Ori,0.92,0.92,open,conditional,1,1,0,1.0
281,16,v24-scene-d16,Sova,0.92,0.92,conditional,open,0,0,1,1.0
282,16,v24-scene-d16,Sova,0.92,0.92,open,open,0,0,0,1.0
283,16,v24-scene-d16,Vonn,0.594,0.638,conditional,conditional,0,0,1,1.0
284,16,v24-scene-d16,Nari,0.92,0.92,open,conditional,2,1,0,1.0
285,16,v24-scene-d16,Melo,0.92,0.92,conditional,open,0,0,1,1.0
286,16,v24-scene-d16,Vonn,0.638,0.668,conditional,open,0,0,1,1.0
287,16,v24-scene-d16,Keth,0.92,0.92,conditional,open,0,0,1,1.0
288,17,v24-scene-d17,Melo,0.92,0.92,open,open,0,0,0,1.0
289,17,v24-scene-d17,Keth,0.92,0.92,open,open,0,0,0,1.0
290,17,v24-scene-d17,Melo,0.92,0.92,open,open,0,0,0,1.0
291,17,v24-scene-d17,Vonn,0.668,0.676,open,conditional,2,1,0,1.0
292,17,v24-scene-d17,Sova,0.92,0.92,open,open,0,0,0,1.0
293,17,v24-scene-d17,Vonn,0.676,0.706,conditional,open,0,0,1,1.0
294,17,v24-scene-d17,Nari,0.92,0.92,conditional,open,0,0,1,1.0
295,17,v24-scene-d17,Vonn,0.706,0.75,open,open,0,0,0,1.0
296,17,v24-scene-d17,Vonn,0.75,0.758,open,conditional,2,1,0,1.0
297,17,v24-scene-d17,Ori,0.92,0.92,conditional,open,0,0,1,1.0
298,17,v24-scene-d17,Vonn,0.758,0.758,conditional,conditional,2,1,0,1.0
299,17,v24-scene-d17,Vonn,0.758,0.758,conditional,conditional,2,1,0,1.0
300,17,v24-scene-d17,Vonn,0.758,0.758,conditional,conditional,2,1,0,1.0
301,17,v24-scene-d17,Nari,0.92,0.92,open,open,0,0,0,1.0
302,17,v24-scene-d17,Ori,0.92,0.92,open,open,0,0,0,1.0
303,17,v24-scene-d17,Nari,0.92,0.92,open,conditional,2,1,0,1.0
304,17,v24-scene-d17,Keth,0.92,0.92,open,open,0,0,0,1.0
305,17,v24-scene-d17,Vonn,0.758,0.758,conditional,conditional,2,1,0,1.0
306,18,v24-scene-d18,Sova,0.92,0.92,open,conditional,1,1,0,1.0
307,18,v24-scene-d18,Keth,0.92,0.92,open,open,0,0,0,1.0
308,18,v24-scene-d18,Ori,0.92,0.92,open,conditional,1,1,0,1.0
309,18,v24-scene-d18,Keth,0.92,0.92,open,open,0,0,0,1.0
310,18,v24-scene-d18,Keth,0.92,0.92,open,open,0,0,0,1.0
311,18,v24-scene-d18,Ori,0.92,0.92,conditional,conditional,1,1,1,1.0
312,18,v24-scene-d18,Vonn,0.758,0.746,conditional,conditional,2,1,0,1.0
313,18,v24-scene-d18,Nari,0.92,0.92,conditional,conditional,2,1,0,1.0
314,18,v24-scene-d18,Keth,0.92,0.92,open,open,0,0,0,1.0
315,18,v24-scene-d18,Vonn,0.746,0.734,conditional,conditional,2,1,0,1.0
316,18,v24-scene-d18,Sova,0.92,0.92,conditional,conditional,1,1,1,1.0
317,18,v24-scene-d18,Melo,0.92,0.92,open,open,0,0,0,1.0
318,18,v24-scene-d18,Keth,0.92,0.92,open,open,0,0,0,1.0
319,18,v24-scene-d18,Vonn,0.734,0.722,conditional,conditional,2,1,0,1.0
320,18,v24-scene-d18,Keth,0.92,0.92,open,conditional,2,1,0,1.0
321,18,v24-scene-d18,Melo,0.92,0.92,open,open,0,0,0,1.0
322,18,v24-scene-d18,Ori,0.92,0.92,conditional,open,0,0,1,1.0
323,18,v24-scene-d18,Sova,0.92,0.92,conditional,open,0,0,1,1.0
324,19,v24-scene-d19,Melo,0.92,0.92,open,conditional,2,1,0,1.0
325,19,v24-scene-d19,Melo,0.92,0.92,conditional,conditional,2,1,0,1.0
326,19,v24-scene-d19,Ori,0.92,0.92,open,open,0,0,0,1.0
327,19,v24-scene-d19,Sova,0.92,0.92,open,open,0,0,0,1.0
328,19,v24-scene-d19,Nari,0.92,0.92,conditional,conditional,2,1,0,1.0
329,19,v24-scene-d19,Sova,0.92,0.92,open,open,0,0,0,1.0
330,19,v24-scene-d19,Vonn,0.722,0.73,conditional,conditional,2,1,0,1.0
331,19,v24-scene-d19,Keth,0.92,0.92,conditional,conditional,2,1,0,1.0
332,19,v24-scene-d19,Vonn,0.73,0.774,conditional,open,0,0,1,1.0
333,19,v24-scene-d19,Ori,0.92,0.92,open,open,0,0,0,1.0
334,19,v24-scene-d19,Keth,0.92,0.92,conditional,conditional,1,1,1,1.0
335,19,v24-scene-d19,Melo,0.92,0.92,conditional,conditional,2,1,0,1.0
336,19,v24-scene-d19,Sova,0.92,0.92,open,open,0,0,0,1.0
337,19,v24-scene-d19,Nari,0.92,0.92,conditional,open,0,0,1,1.0
338,19,v24-scene-d19,Keth,0.92,0.92,conditional,conditional,1,1,1,1.0
339,19,v24-scene-d19,Ori,0.92,0.908,open,conditional,1,1,0,1.0
340,19,v24-scene-d19,Sova,0.92,0.92,open,open,0,0,0,1.0
