tick_id,day,settlement_id,room_id,sound_cue,sound_intensity,smell_cue,smell_intensity,temperature_c,wetness_level,light_level,vibration_hz,flower_phase,field_bound_to_room,bounded_sensory_rate,visible_field_marker
22,2,archive,ink niche,spool click,0.61,wax seal,0.3,15.8,0.24,0.72,6.445,0.452778,True,True,True
23,2,signal,arrival court,beacon pulse,0.43,hot glass,0.4,8.58,0.67,0.54,9.135,0.159722,True,True,True
24,2,orchard,mud row,roof drip,0.48,mud reed,0.5,14.86,0.68,0.66,5.74,0.366667,True,True,True
25,2,repair_ring,cool corner,cool fan,0.65,hot copper,0.35,18.34,0.25,0.42,10.135,0.573611,True,True,True
26,2,riverbend,arrival court,lantern tick,0.4,warm oil,0.4,10.42,0.23,0.54,7.89,0.180556,True,True,True
27,2,roofward,warm lane,sun glass hum,0.57,warm dust,0.5,18.58,0.3,0.66,8.315,0.3875,True,True,True
28,2,archive,memory desk,stone echo,0.62,ink linen,0.35,16.26,0.28,0.42,6.55,0.594444,True,True,True
29,2,signal,mast base,static crickets,0.44,lamp oil,0.45,9.04,0.29,0.6,9.24,0.301389,True,True,True
30,2,orchard,market plank,cart creak,0.61,dry twine,0.3,15.32,0.22,0.72,5.68,0.508333,True,True,True
31,2,repair_ring,arrival court,wire snap,0.43,clean cloth,0.4,15.3,0.23,0.54,10.165,0.215278,True,True,True
32,2,riverbend,plank hall,river slap,0.41,wet cedar,0.45,10.88,0.27,0.6,7.83,0.322222,True,True,True
33,2,roofward,ledger loft,hinge ticks,0.58,polished brass,0.3,19.76,0.25,0.72,8.255,0.529167,True,True,True
34,2,archive,arrival court,spool click,0.4,wax seal,0.4,13.94,0.68,0.54,6.415,0.236111,True,True,True
35,2,signal,lantern walk,rope creak,0.57,salt wind,0.5,10.22,0.28,0.66,9.18,0.443056,True,True,True
36,3,repair_ring,bell alcove,bell hum,0.55,hot copper,0.35,17.08,0.23,0.42,10.12,0.55,True,True,True
37,3,riverbend,kit alcove,lantern tick,0.65,mud thread,0.4,12.66,0.27,0.48,7.95,0.656944,True,True,True
38,3,roofward,glass stair,hinge ticks,0.47,warm dust,0.5,18.04,0.28,0.66,8.3,0.363889,True,True,True
39,3,archive,ink niche,page flutter,0.64,ink linen,0.35,15.72,0.26,0.42,6.535,0.570833,True,True,True
40,3,signal,arrival court,rope creak,0.34,lamp oil,0.45,8.5,0.64,0.6,9.225,0.277778,True,True,True
41,3,orchard,mud row,seed rattle,0.51,dry twine,0.3,14.78,0.65,0.72,5.83,0.484722,True,True,True
42,3,repair_ring,cool corner,wire snap,0.68,stone chalk,0.4,18.26,0.27,0.48,10.06,0.691667,True,True,True
43,3,riverbend,arrival court,cedar knock,0.43,wet cedar,0.45,10.34,0.25,0.6,7.98,0.298611,True,True,True
44,3,roofward,warm lane,paper hush,0.48,polished brass,0.3,19.22,0.32,0.72,8.24,0.505556,True,True,True
45,3,archive,memory desk,spool click,0.65,cold dust,0.4,16.18,0.25,0.48,6.475,0.7125,True,True,True
46,3,signal,mast base,beacon pulse,0.47,salt wind,0.5,8.96,0.26,0.66,9.165,0.419444,True,True,True
47,3,orchard,market plank,roof drip,0.64,apple soil,0.35,15.24,0.24,0.42,5.77,0.626389,True,True,True
48,3,repair_ring,arrival court,bell hum,0.34,hot copper,0.45,15.22,0.25,0.6,10.09,0.333333,True,True,True
49,3,riverbend,plank hall,lantern tick,0.44,mud thread,0.5,10.8,0.29,0.66,7.92,0.440278,True,True,True
50,3,roofward,ledger loft,sun glass hum,0.61,thyme paper,0.35,19.68,0.22,0.42,8.345,0.647222,True,True,True
51,3,archive,arrival court,page flutter,0.43,ink linen,0.45,13.86,0.65,0.6,6.505,0.354167,True,True,True
52,3,signal,lantern walk,static crickets,0.48,hot glass,0.3,10.14,0.3,0.72,9.27,0.561111,True,True,True
53,3,orchard,satchel shed,cart creak,0.65,mud reed,0.4,16.42,0.28,0.48,5.71,0.768056,True,True,True
54,4,riverbend,kit alcove,cedar knock,0.68,warm oil,0.45,12.58,0.29,0.54,7.875,0.775,True,True,True
55,4,roofward,glass stair,sun glass hum,0.5,polished brass,0.3,17.96,0.25,0.72,8.225,0.481944,True,True,True
56,4,archive,ink niche,stone echo,0.55,cold dust,0.4,15.64,0.23,0.48,6.46,0.688889,True,True,True
57,4,signal,arrival court,static crickets,0.37,salt wind,0.5,8.42,0.66,0.66,9.15,0.395833,True,True,True
58,4,orchard,mud row,cart creak,0.54,apple soil,0.35,14.7,0.67,0.42,5.755,0.602778,True,True,True
59,4,repair_ring,cool corner,bell hum,0.71,clean cloth,0.45,18.18,0.29,0.54,10.15,0.809722,True,True,True
60,4,riverbend,arrival court,river slap,0.34,mud thread,0.5,10.26,0.22,0.66,7.905,0.416667,True,True,True
61,4,roofward,warm lane,hinge ticks,0.51,thyme paper,0.35,19.14,0.29,0.42,8.33,0.623611,True,True,True
62,4,archive,memory desk,page flutter,0.68,wax seal,0.45,16.82,0.27,0.54,6.4,0.830556,True,True,True
63,4,signal,mast base,rope creak,0.5,hot glass,0.3,8.88,0.28,0.72,9.255,0.5375,True,True,True
64,4,orchard,market plank,seed rattle,0.55,mud reed,0.4,15.16,0.26,0.48,5.695,0.744444,True,True,True
65,4,repair_ring,arrival court,cool fan,0.37,stone chalk,0.5,15.14,0.22,0.66,10.18,0.451389,True,True,True
66,4,riverbend,plank hall,cedar knock,0.47,warm oil,0.3,10.72,0.26,0.72,7.845,0.558333,True,True,True
67,4,roofward,ledger loft,paper hush,0.64,warm dust,0.4,19.6,0.24,0.48,8.27,0.765278,True,True,True
68,4,archive,arrival court,stone echo,0.34,cold dust,0.5,13.78,0.67,0.66,6.43,0.472222,True,True,True
69,4,signal,lantern walk,beacon pulse,0.51,lamp oil,0.35,10.06,0.32,0.42,9.195,0.679167,True,True,True
70,4,orchard,satchel shed,roof drip,0.68,dry twine,0.45,16.34,0.25,0.54,5.8,0.886111,True,True,True
71,4,repair_ring,wire bench,bell hum,0.5,clean cloth,0.3,16.32,0.26,0.72,10.12,0.593056,True,True,True
72,5,roofward,glass stair,paper hush,0.41,thyme paper,0.35,17.88,0.27,0.42,8.315,0.6,True,True,True
73,5,archive,ink niche,spool click,0.58,wax seal,0.45,15.56,0.25,0.54,6.55,0.806944,True,True,True
74,5,signal,arrival court,beacon pulse,0.4,hot glass,0.3,8.34,0.68,0.72,9.24,0.513889,True,True,True
75,5,orchard,mud row,roof drip,0.57,mud reed,0.4,14.62,0.64,0.48,5.68,0.720833,True,True,True
76,5,repair_ring,cool corner,cool fan,0.62,hot copper,0.5,18.1,0.26,0.6,10.075,0.927778,True,True,True
77,5,riverbend,arrival court,lantern tick,0.37,warm oil,0.3,10.18,0.24,0.72,7.83,0.534722,True,True,True
78,5,roofward,warm lane,sun glass hum,0.54,warm dust,0.4,19.06,0.31,0.48,8.255,0.741667,True,True,True
79,5,archive,memory desk,stone echo,0.71,ink linen,0.5,16.74,0.29,0.6,6.49,0.948611,True,True,True
80,5,signal,mast base,static crickets,0.41,lamp oil,0.35,9.52,0.25,0.42,9.18,0.655556,True,True,True
81,5,orchard,market plank,cart creak,0.58,dry twine,0.45,15.08,0.23,0.54,5.785,0.8625,True,True,True
82,5,repair_ring,arrival court,wire snap,0.4,clean cloth,0.3,15.06,0.24,0.72,10.105,0.569444,True,True,True
83,5,riverbend,plank hall,river slap,0.5,wet cedar,0.35,10.64,0.28,0.42,7.935,0.676389,True,True,True
84,5,roofward,ledger loft,hinge ticks,0.55,polished brass,0.45,19.52,0.26,0.54,8.36,0.883333,True,True,True
85,5,archive,arrival court,spool click,0.37,wax seal,0.3,13.7,0.64,0.72,6.52,0.590278,True,True,True
86,5,signal,lantern walk,rope creak,0.54,salt wind,0.4,9.98,0.29,0.48,9.12,0.797222,True,True,True
87,5,orchard,satchel shed,seed rattle,0.71,apple soil,0.5,16.26,0.27,0.6,5.725,0.004167,True,True,True
88,5,repair_ring,wire bench,cool fan,0.41,hot copper,0.35,16.24,0.28,0.42,10.045,0.711111,True,True,True
89,5,riverbend,wet crossing,cedar knock,0.51,mud thread,0.4,11.82,0.68,0.48,7.875,0.818056,True,True,True
90,6,archive,ink niche,page flutter,0.61,ink linen,0.5,15.48,0.22,0.6,6.475,0.925,True,True,True
91,6,signal,arrival court,rope creak,0.43,lamp oil,0.35,8.26,0.65,0.42,9.165,0.631944,True,True,True
92,6,orchard,mud row,seed rattle,0.48,dry twine,0.45,14.54,0.66,0.54,5.77,0.838889,True,True,True
93,6,repair_ring,cool corner,wire snap,0.65,stone chalk,0.3,18.02,0.28,0.66,10.165,0.045833,True,True,True
94,6,riverbend,arrival court,cedar knock,0.4,wet cedar,0.35,10.1,0.26,0.42,7.92,0.652778,True,True,True
95,6,roofward,warm lane,paper hush,0.57,polished brass,0.45,18.98,0.28,0.54,8.345,0.859722,True,True,True
96,6,archive,memory desk,spool click,0.62,cold dust,0.3,16.66,0.26,0.66,6.415,0.066667,True,True,True
97,6,signal,mast base,beacon pulse,0.44,salt wind,0.4,9.44,0.27,0.48,9.27,0.773611,True,True,True
98,6,orchard,market plank,roof drip,0.61,apple soil,0.5,15.72,0.25,0.6,5.71,0.980556,True,True,True
99,6,repair_ring,arrival court,bell hum,0.43,hot copper,0.35,14.98,0.26,0.42,10.03,0.6875,True,True,True
100,6,riverbend,plank hall,lantern tick,0.41,mud thread,0.4,10.56,0.25,0.48,7.86,0.794444,True,True,True
101,6,roofward,ledger loft,sun glass hum,0.58,thyme paper,0.5,19.44,0.23,0.6,8.285,0.001389,True,True,True
102,6,archive,arrival court,page flutter,0.4,ink linen,0.35,13.62,0.66,0.42,6.445,0.708333,True,True,True
103,6,signal,lantern walk,static crickets,0.57,hot glass,0.45,9.9,0.31,0.54,9.21,0.915278,True,True,True
104,6,orchard,satchel shed,cart creak,0.62,mud reed,0.3,16.18,0.29,0.66,5.815,0.122222,True,True,True
105,6,repair_ring,wire bench,wire snap,0.44,stone chalk,0.4,16.16,0.25,0.48,10.135,0.829167,True,True,True
106,6,riverbend,wet crossing,river slap,0.54,warm oil,0.45,11.74,0.65,0.54,7.965,0.936111,True,True,True
107,6,roofward,sun sill,hinge ticks,0.71,warm dust,0.3,20.62,0.27,0.66,8.225,0.143056,True,True,True
108,7,signal,arrival court,static crickets,0.34,salt wind,0.4,8.18,0.67,0.48,9.255,0.75,True,True,True
109,7,orchard,mud row,cart creak,0.51,apple soil,0.5,14.46,0.68,0.6,5.695,0.956944,True,True,True
110,7,repair_ring,cool corner,bell hum,0.68,clean cloth,0.35,17.94,0.25,0.72,10.09,0.163889,True,True,True
111,7,riverbend,arrival court,river slap,0.43,mud thread,0.4,10.02,0.23,0.48,7.845,0.770833,True,True,True
112,7,roofward,warm lane,hinge ticks,0.48,thyme paper,0.5,18.9,0.3,0.6,8.27,0.977778,True,True,True
113,7,archive,memory desk,page flutter,0.65,wax seal,0.35,16.58,0.28,0.72,6.505,0.184722,True,True,True
114,7,signal,mast base,rope creak,0.47,hot glass,0.45,9.36,0.29,0.54,9.195,0.891667,True,True,True
115,7,orchard,market plank,seed rattle,0.64,mud reed,0.3,15.64,0.22,0.66,5.8,0.098611,True,True,True
116,7,repair_ring,arrival court,cool fan,0.34,stone chalk,0.4,15.62,0.23,0.48,10.12,0.805556,True,True,True
117,7,riverbend,plank hall,cedar knock,0.44,warm oil,0.45,10.48,0.27,0.54,7.95,0.9125,True,True,True
118,7,roofward,ledger loft,paper hush,0.61,warm dust,0.3,19.36,0.25,0.66,8.21,0.119444,True,True,True
119,7,archive,arrival court,stone echo,0.43,cold dust,0.4,13.54,0.68,0.48,6.535,0.826389,True,True,True
120,7,signal,lantern walk,beacon pulse,0.48,lamp oil,0.5,9.82,0.28,0.6,9.135,0.033333,True,True,True
121,7,orchard,satchel shed,roof drip,0.65,dry twine,0.35,16.1,0.26,0.72,5.74,0.240278,True,True,True
122,7,repair_ring,wire bench,bell hum,0.47,clean cloth,0.45,16.08,0.27,0.54,10.06,0.947222,True,True,True
123,7,riverbend,wet crossing,lantern tick,0.57,wet cedar,0.5,11.66,0.67,0.6,7.89,0.054167,True,True,True
124,7,roofward,sun sill,sun glass hum,0.62,polished brass,0.35,20.54,0.29,0.72,8.315,0.261111,True,True,True
125,7,archive,stone stacks,page flutter,0.44,wax seal,0.45,14.72,0.25,0.54,6.475,0.968056,True,True,True
126,8,orchard,mud row,roof drip,0.54,mud reed,0.3,14.38,0.65,0.66,5.785,0.075,True,True,True
127,8,repair_ring,cool corner,cool fan,0.71,hot copper,0.4,17.86,0.27,0.42,10.18,0.281944,True,True,True
128,8,riverbend,arrival court,lantern tick,0.34,warm oil,0.45,9.94,0.25,0.54,7.935,0.888889,True,True,True
129,8,roofward,warm lane,sun glass hum,0.51,warm dust,0.3,18.82,0.32,0.66,8.36,0.095833,True,True,True
130,8,archive,memory desk,stone echo,0.68,ink linen,0.4,16.5,0.25,0.42,6.43,0.302778,True,True,True
131,8,signal,mast base,static crickets,0.5,lamp oil,0.5,9.28,0.26,0.6,9.12,0.009722,True,True,True
132,8,orchard,market plank,cart creak,0.55,dry twine,0.35,15.56,0.24,0.72,5.725,0.216667,True,True,True
133,8,repair_ring,arrival court,wire snap,0.37,clean cloth,0.45,15.54,0.25,0.54,10.045,0.923611,True,True,True
134,8,riverbend,plank hall,river slap,0.47,wet cedar,0.5,11.12,0.29,0.6,7.875,0.030556,True,True,True
135,8,roofward,ledger loft,hinge ticks,0.64,polished brass,0.35,19.28,0.22,0.72,8.3,0.2375,True,True,True
136,8,archive,arrival court,spool click,0.34,wax seal,0.45,13.46,0.65,0.54,6.46,0.944444,True,True,True
137,8,signal,lantern walk,rope creak,0.51,salt wind,0.3,9.74,0.3,0.66,9.225,0.151389,True,True,True
138,8,orchard,satchel shed,seed rattle,0.68,apple soil,0.4,16.02,0.28,0.42,5.83,0.358333,True,True,True
139,8,repair_ring,wire bench,cool fan,0.5,hot copper,0.5,16.0,0.29,0.6,10.15,0.065278,True,True,True
140,8,riverbend,wet crossing,cedar knock,0.48,mud thread,0.3,11.58,0.64,0.66,7.98,0.172222,True,True,True
141,8,roofward,sun sill,paper hush,0.65,thyme paper,0.4,20.46,0.26,0.42,8.24,0.379167,True,True,True
142,8,archive,stone stacks,stone echo,0.47,ink linen,0.5,14.64,0.27,0.6,6.4,0.086111,True,True,True
143,8,signal,lens room,beacon pulse,0.64,hot glass,0.35,10.92,0.25,0.72,9.165,0.293056,True,True,True
144,9,repair_ring,cool corner,wire snap,0.62,stone chalk,0.45,17.78,0.29,0.48,10.105,0.4,True,True,True
145,9,riverbend,arrival court,cedar knock,0.37,wet cedar,0.5,9.86,0.22,0.6,7.86,0.006944,True,True,True
146,9,roofward,warm lane,paper hush,0.54,polished brass,0.35,18.74,0.29,0.72,8.285,0.213889,True,True,True
147,9,archive,memory desk,spool click,0.71,cold dust,0.45,16.42,0.27,0.48,6.52,0.420833,True,True,True
148,9,signal,mast base,beacon pulse,0.41,salt wind,0.3,9.2,0.28,0.66,9.21,0.127778,True,True,True
149,9,orchard,market plank,roof drip,0.58,apple soil,0.4,15.48,0.26,0.42,5.815,0.334722,True,True,True
150,9,repair_ring,arrival court,bell hum,0.4,hot copper,0.5,15.46,0.22,0.6,10.135,0.041667,True,True,True
151,9,riverbend,plank hall,lantern tick,0.5,mud thread,0.3,11.04,0.26,0.66,7.965,0.148611,True,True,True
152,9,roofward,ledger loft,sun glass hum,0.55,thyme paper,0.4,19.92,0.24,0.42,8.225,0.355556,True,True,True
153,9,archive,arrival court,page flutter,0.37,ink linen,0.5,13.38,0.67,0.6,6.55,0.0625,True,True,True
154,9,signal,lantern walk,static crickets,0.54,hot glass,0.35,9.66,0.32,0.72,9.15,0.269444,True,True,True
155,9,orchard,satchel shed,cart creak,0.71,mud reed,0.45,15.94,0.25,0.48,5.755,0.476389,True,True,True
156,9,repair_ring,wire bench,wire snap,0.41,stone chalk,0.3,15.92,0.26,0.66,10.075,0.183333,True,True,True
157,9,riverbend,wet crossing,river slap,0.51,warm oil,0.35,11.5,0.66,0.72,7.905,0.290278,True,True,True
158,9,roofward,sun sill,hinge ticks,0.68,warm dust,0.45,20.38,0.28,0.48,8.33,0.497222,True,True,True
159,9,archive,stone stacks,spool click,0.5,cold dust,0.3,14.56,0.29,0.66,6.49,0.204167,True,True,True
160,9,signal,lens room,rope creak,0.55,lamp oil,0.4,10.84,0.22,0.42,9.255,0.411111,True,True,True
161,9,orchard,arrival court,roof drip,0.37,apple soil,0.5,13.62,0.23,0.6,5.785,0.118056,True,True,True
162,10,riverbend,arrival court,river slap,0.4,mud thread,0.3,9.78,0.24,0.66,7.95,0.125,True,True,True
163,10,roofward,warm lane,hinge ticks,0.57,thyme paper,0.4,18.66,0.31,0.42,8.21,0.331944,True,True,True
164,10,archive,memory desk,page flutter,0.62,wax seal,0.5,16.34,0.29,0.54,6.445,0.538889,True,True,True
165,10,signal,mast base,rope creak,0.44,hot glass,0.35,9.12,0.25,0.72,9.135,0.245833,True,True,True
166,10,orchard,market plank,seed rattle,0.61,mud reed,0.45,15.4,0.23,0.48,5.74,0.452778,True,True,True
167,10,repair_ring,arrival court,cool fan,0.43,stone chalk,0.3,15.38,0.24,0.66,10.06,0.159722,True,True,True
168,10,riverbend,plank hall,cedar knock,0.41,warm oil,0.35,10.96,0.28,0.72,7.89,0.266667,True,True,True
169,10,roofward,ledger loft,paper hush,0.58,warm dust,0.45,19.84,0.26,0.48,8.315,0.473611,True,True,True
170,10,archive,arrival court,stone echo,0.4,cold dust,0.3,14.02,0.64,0.66,6.475,0.180556,True,True,True
171,10,signal,lantern walk,beacon pulse,0.57,lamp oil,0.4,9.58,0.29,0.42,9.24,0.3875,True,True,True
172,10,orchard,satchel shed,roof drip,0.62,dry twine,0.5,15.86,0.27,0.54,5.68,0.594444,True,True,True
173,10,repair_ring,wire bench,bell hum,0.44,clean cloth,0.35,15.84,0.28,0.72,10.165,0.301389,True,True,True
174,10,riverbend,wet crossing,lantern tick,0.54,wet cedar,0.4,11.42,0.68,0.42,7.83,0.408333,True,True,True
175,10,roofward,sun sill,sun glass hum,0.71,polished brass,0.5,20.3,0.25,0.54,8.255,0.615278,True,True,True
176,10,archive,stone stacks,page flutter,0.41,wax seal,0.35,14.48,0.26,0.72,6.415,0.322222,True,True,True
177,10,signal,lens room,static crickets,0.58,salt wind,0.45,10.76,0.24,0.48,9.18,0.529167,True,True,True
178,10,orchard,arrival court,seed rattle,0.4,mud reed,0.3,13.54,0.25,0.66,5.71,0.236111,True,True,True
179,10,repair_ring,spark lane,wire snap,0.57,hot copper,0.4,17.02,0.68,0.42,10.105,0.443056,True,True,True
180,11,roofward,warm lane,sun glass hum,0.48,warm dust,0.45,18.58,0.28,0.48,8.3,0.45,True,True,True
181,11,archive,memory desk,stone echo,0.65,ink linen,0.3,16.26,0.26,0.6,6.535,0.656944,True,True,True
182,11,signal,mast base,static crickets,0.47,lamp oil,0.4,9.04,0.27,0.42,9.225,0.363889,True,True,True
183,11,orchard,market plank,cart creak,0.64,dry twine,0.5,15.32,0.25,0.54,5.83,0.570833,True,True,True
184,11,repair_ring,arrival court,wire snap,0.34,clean cloth,0.35,15.3,0.26,0.72,10.15,0.277778,True,True,True
185,11,riverbend,plank hall,river slap,0.44,wet cedar,0.4,10.88,0.25,0.42,7.98,0.384722,True,True,True
186,11,roofward,ledger loft,hinge ticks,0.61,polished brass,0.5,19.76,0.23,0.54,8.24,0.591667,True,True,True
187,11,archive,arrival court,spool click,0.43,wax seal,0.35,13.94,0.66,0.72,6.4,0.298611,True,True,True
188,11,signal,lantern walk,rope creak,0.48,salt wind,0.45,10.22,0.31,0.48,9.165,0.505556,True,True,True
189,11,orchard,satchel shed,seed rattle,0.65,apple soil,0.3,15.78,0.29,0.6,5.77,0.7125,True,True,True
190,11,repair_ring,wire bench,cool fan,0.47,hot copper,0.4,15.76,0.25,0.42,10.09,0.419444,True,True,True
191,11,riverbend,wet crossing,cedar knock,0.57,mud thread,0.45,11.34,0.65,0.48,7.92,0.526389,True,True,True
192,11,roofward,sun sill,paper hush,0.62,thyme paper,0.3,20.22,0.27,0.6,8.345,0.733333,True,True,True
193,11,archive,stone stacks,stone echo,0.44,ink linen,0.4,14.4,0.28,0.42,6.505,0.440278,True,True,True
194,11,signal,lens room,beacon pulse,0.61,hot glass,0.5,10.68,0.26,0.54,9.27,0.647222,True,True,True
195,11,orchard,arrival court,cart creak,0.43,dry twine,0.35,13.46,0.22,0.72,5.8,0.354167,True,True,True
196,11,repair_ring,spark lane,bell hum,0.48,stone chalk,0.45,16.94,0.65,0.48,10.03,0.561111,True,True,True
197,11,riverbend,dry ridge,lantern tick,0.58,warm oil,0.5,12.52,0.24,0.54,7.86,0.668056,True,True,True
198,12,archive,memory desk,spool click,0.68,cold dust,0.35,16.18,0.28,0.66,6.46,0.775,True,True,True
199,12,signal,mast base,beacon pulse,0.5,salt wind,0.45,8.96,0.29,0.48,9.15,0.481944,True,True,True
200,12,orchard,market plank,roof drip,0.55,apple soil,0.3,15.24,0.22,0.6,5.755,0.688889,True,True,True
201,12,repair_ring,arrival court,bell hum,0.37,hot copper,0.4,15.22,0.23,0.42,10.075,0.395833,True,True,True
202,12,riverbend,plank hall,lantern tick,0.47,mud thread,0.45,10.8,0.27,0.48,7.905,0.502778,True,True,True
203,12,roofward,ledger loft,sun glass hum,0.64,thyme paper,0.3,19.68,0.25,0.6,8.33,0.709722,True,True,True
204,12,archive,arrival court,page flutter,0.34,ink linen,0.4,13.86,0.68,0.42,6.49,0.416667,True,True,True
205,12,signal,lantern walk,static crickets,0.51,hot glass,0.5,10.14,0.28,0.54,9.255,0.623611,True,True,True
206,12,orchard,satchel shed,cart creak,0.68,mud reed,0.35,16.42,0.26,0.66,5.695,0.830556,True,True,True
207,12,repair_ring,wire bench,wire snap,0.5,stone chalk,0.45,15.68,0.27,0.48,10.18,0.5375,True,True,True
208,12,riverbend,wet crossing,river slap,0.48,warm oil,0.5,11.26,0.67,0.54,7.845,0.644444,True,True,True
209,12,roofward,sun sill,hinge ticks,0.65,warm dust,0.35,20.14,0.29,0.66,8.27,0.851389,True,True,True
210,12,archive,stone stacks,spool click,0.47,cold dust,0.45,14.32,0.25,0.48,6.43,0.558333,True,True,True
211,12,signal,lens room,rope creak,0.64,lamp oil,0.3,10.6,0.23,0.6,9.195,0.765278,True,True,True
212,12,orchard,arrival court,roof drip,0.34,apple soil,0.4,13.38,0.24,0.42,5.725,0.472222,True,True,True
213,12,repair_ring,spark lane,cool fan,0.51,clean cloth,0.5,16.86,0.67,0.54,10.12,0.679167,True,True,True
214,12,riverbend,dry ridge,cedar knock,0.61,wet cedar,0.3,12.44,0.26,0.6,7.95,0.786111,True,True,True
215,12,roofward,arrival court,sun glass hum,0.43,thyme paper,0.4,17.82,0.64,0.42,8.3,0.493056,True,True,True
216,13,signal,mast base,rope creak,0.41,hot glass,0.5,8.88,0.26,0.54,9.24,0.6,True,True,True
217,13,orchard,market plank,seed rattle,0.58,mud reed,0.35,15.16,0.24,0.66,5.68,0.806944,True,True,True
218,13,repair_ring,arrival court,cool fan,0.4,stone chalk,0.45,15.14,0.25,0.48,10.165,0.513889,True,True,True
219,13,riverbend,plank hall,cedar knock,0.5,warm oil,0.5,10.72,0.29,0.54,7.83,0.620833,True,True,True
220,13,roofward,ledger loft,paper hush,0.55,warm dust,0.35,19.6,0.22,0.66,8.255,0.827778,True,True,True
221,13,archive,arrival court,stone echo,0.37,cold dust,0.45,13.78,0.65,0.48,6.415,0.534722,True,True,True
222,13,signal,lantern walk,beacon pulse,0.54,lamp oil,0.3,10.06,0.3,0.6,9.18,0.741667,True,True,True
223,13,orchard,satchel shed,roof drip,0.71,dry twine,0.4,16.34,0.28,0.72,5.785,0.948611,True,True,True
224,13,repair_ring,wire bench,bell hum,0.41,clean cloth,0.5,16.32,0.29,0.54,10.105,0.655556,True,True,True
225,13,riverbend,wet crossing,lantern tick,0.51,wet cedar,0.3,11.18,0.64,0.6,7.935,0.7625,True,True,True
226,13,roofward,sun sill,sun glass hum,0.68,polished brass,0.4,20.06,0.26,0.72,8.36,0.969444,True,True,True
227,13,archive,stone stacks,page flutter,0.5,wax seal,0.5,14.24,0.27,0.54,6.52,0.676389,True,True,True
228,13,signal,lens room,static crickets,0.55,salt wind,0.35,10.52,0.25,0.66,9.12,0.883333,True,True,True
229,13,orchard,arrival court,seed rattle,0.37,mud reed,0.45,13.3,0.26,0.48,5.815,0.590278,True,True,True
230,13,repair_ring,spark lane,wire snap,0.54,hot copper,0.3,16.78,0.64,0.6,10.045,0.797222,True,True,True
231,13,riverbend,dry ridge,river slap,0.64,mud thread,0.35,12.36,0.23,0.66,7.875,0.904167,True,True,True
232,13,roofward,arrival court,paper hush,0.34,warm dust,0.45,17.74,0.66,0.48,8.225,0.611111,True,True,True
233,13,archive,spool room,spool click,0.51,ink linen,0.3,15.42,0.31,0.6,6.46,0.818056,True,True,True
